Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
41, 19, 0.8482458421052632, [3; 1; 5; 0; 2; 24; 94; 76; 31; 91; 55; 19; 17; 20; 18; 21; 57; 54; 49; 51; 56; 13; 15; 14; 16; 12; 79; 87; 44; 68; 80; 8; 9; 10; 7; 11; 25; 28; 23; 27; 26; 30; 37; 33; 36; 35; 60; 73; 86; 61; 59; 29; 72; 93; 90; 58; 34; 83; 99; 63; 48; 46; 47; 52; 75; 81; 92; 6; 64; 85; 50; 82; 84; 67; 4; 96; 66; 74; 95; 42; 69; 22; 43; 97; 70; 71; 45; 39; 41; 40; 38; 32; 53; 62; 78; 65; 77; 98; 88; 89], [[3; 1; 5; 0; 2]; [24; 94; 76; 31; 91; 55]; [19; 17; 20; 18; 21]; [57; 54; 49; 51; 56]; [13; 15; 14; 16; 12]; [79; 87; 44; 68; 80]; [8; 9; 10; 7; 11]; [25; 28; 23; 27; 26]; [30; 37; 33; 36; 35]; [60; 73; 86; 61; 59]; [29; 72; 93; 90; 58; 34]; [83; 99; 63; 48; 46; 47]; [52; 75; 81; 92; 6; 64]; [85; 50; 82; 84; 67]; [4; 96; 66; 74; 95; 42]; [69; 22; 43; 97; 70; 71]; [45; 39; 41; 40; 38]; [32; 53; 62; 78; 65; 77]; [98; 88; 89]], [99700; 100000; 93900; 85800; 95300; 80700; 97000; 92300; 90900; 82000; 100000; 100000; 100000; 80300; 100000; 100000; 89400; 100000; 45800], 207900, 207901, 5.590597867965698
55, 19, 0.842491105263158, [32; 31; 30; 27; 34; 59; 54; 85; 76; 80; 11; 10; 5; 8; 14; 21; 20; 22; 18; 19; 45; 43; 41; 46; 42; 91; 64; 56; 63; 55; 35; 38; 36; 37; 39; 60; 73; 72; 74; 83; 6; 16; 15; 17; 12; 0; 1; 2; 3; 4; 62; 70; 68; 50; 49; 71; 77; 87; 81; 66; 52; 7; 84; 96; 33; 75; 78; 24; 28; 25; 26; 23; 29; 65; 89; 93; 44; 58; 69; 47; 67; 53; 48; 94; 92; 57; 86; 79; 9; 51; 40; 82; 61; 90; 13; 88; 95; 98; 97; 99], [[32; 31; 30; 27; 34]; [59; 54; 85; 76; 80]; [11; 10; 5; 8; 14]; [21; 20; 22; 18; 19]; [45; 43; 41; 46; 42]; [91; 64; 56; 63; 55]; [35; 38; 36; 37; 39]; [60; 73; 72; 74; 83]; [6; 16; 15; 17; 12]; [0; 1; 2; 3; 4]; [62; 70; 68; 50; 49; 71]; [77; 87; 81; 66; 52]; [7; 84; 96; 33; 75; 78]; [24; 28; 25; 26; 23]; [29; 65; 89; 93; 44; 58]; [69; 47; 67; 53; 48; 94]; [92; 57; 86; 79; 9; 51]; [40; 82; 61; 90; 13; 88]; [95; 98; 97; 99]], [91500; 80900; 96800; 93600; 89000; 82300; 90300; 80400; 95700; 99700; 100000; 80400; 100000; 92400; 100000; 100000; 100000; 100000; 60100], 277200, 277201, 7.349730730056763
42, 19, 0.8423764736842105, [48; 44; 63; 66; 74; 71; 55; 75; 62; 52; 82; 46; 40; 45; 56; 43; 90; 78; 60; 23; 35; 89; 26; 27; 25; 28; 29; 77; 70; 81; 59; 53; 24; 30; 32; 34; 31; 76; 61; 65; 69; 95; 5; 15; 18; 16; 13; 57; 86; 14; 80; 87; 51; 49; 58; 92; 72; 85; 12; 19; 20; 21; 22; 2; 6; 4; 3; 1; 39; 38; 36; 41; 42; 79; 47; 67; 54; 50; 73; 9; 8; 11; 10; 7; 37; 17; 99; 91; 64; 68; 88; 83; 0; 33; 93; 84; 97; 98; 94; 96], [[48; 44; 63; 66; 74; 71]; [55; 75; 62; 52; 82]; [46; 40; 45; 56; 43]; [90; 78; 60; 23; 35; 89]; [26; 27; 25; 28; 29]; [77; 70; 81; 59; 53]; [24; 30; 32; 34; 31]; [76; 61; 65; 69; 95]; [5; 15; 18; 16; 13]; [57; 86; 14; 80; 87; 51]; [49; 58; 92; 72; 85]; [12; 19; 20; 21; 22]; [2; 6; 4; 3; 1]; [39; 38; 36; 41; 42]; [79; 47; 67; 54; 50; 73]; [9; 8; 11; 10; 7]; [37; 17; 99; 91; 64; 68]; [88; 83; 0; 33; 93; 84]; [97; 98; 94; 96]], [100000; 82400; 88100; 100000; 92200; 81600; 91600; 80300; 95700; 100000; 81000; 93900; 99400; 89800; 100000; 97000; 100000; 100000; 60100], 212850, 212851, 5.688671350479126
38, 19, 0.857202052631579, [45; 55; 65; 72; 46; 20; 22; 17; 18; 23; 9; 91; 28; 97; 63; 85; 94; 42; 70; 87; 86; 3; 5; 2; 0; 6; 29; 27; 26; 24; 31; 37; 34; 36; 30; 33; 77; 69; 80; 40; 25; 74; 57; 92; 83; 48; 50; 49; 89; 56; 76; 88; 64; 1; 7; 8; 11; 10; 47; 38; 44; 39; 41; 79; 95; 90; 52; 58; 4; 35; 68; 59; 78; 75; 53; 51; 93; 66; 60; 82; 21; 15; 16; 12; 14; 13; 73; 61; 54; 84; 32; 67; 71; 62; 43; 81; 19; 96; 98; 99], [[45; 55; 65; 72; 46]; [20; 22; 17; 18; 23]; [9; 91; 28; 97; 63; 85]; [94; 42; 70; 87; 86]; [3; 5; 2; 0; 6]; [29; 27; 26; 24; 31]; [37; 34; 36; 30; 33]; [77; 69; 80; 40; 25; 74]; [57; 92; 83; 48; 50; 49]; [89; 56; 76; 88; 64]; [1; 7; 8; 11; 10]; [47; 38; 44; 39; 41]; [79; 95; 90; 52; 58; 4]; [35; 68; 59; 78; 75; 53]; [51; 93; 66; 60; 82; 21]; [15; 16; 12; 14; 13]; [73; 61; 54; 84; 32; 67]; [71; 62; 43; 81; 19; 96]; [98; 99]], [84900; 93500; 100000; 80200; 99400; 92100; 90900; 100000; 100000; 80100; 97600; 89200; 99900; 100000; 100000; 95300; 100000; 100000; 30000], 193050, 193051, 5.2128753662109375
49, 19, 0.8386864736842106, [79; 92; 57; 56; 81; 7; 20; 18; 19; 21; 54; 62; 55; 53; 48; 66; 52; 74; 61; 78; 30; 41; 85; 87; 86; 51; 37; 36; 35; 38; 42; 58; 82; 76; 84; 68; 3; 10; 8; 9; 11; 28; 31; 27; 29; 33; 60; 90; 45; 65; 75; 40; 89; 88; 49; 80; 69; 1; 73; 71; 50; 83; 97; 22; 25; 23; 24; 26; 32; 72; 77; 93; 63; 34; 0; 6; 4; 5; 2; 15; 12; 13; 16; 14; 47; 46; 44; 39; 43; 64; 17; 91; 67; 70; 59; 96; 99; 94; 95; 98], [[79; 92; 57; 56; 81]; [7; 20; 18; 19; 21]; [54; 62; 55; 53; 48]; [66; 52; 74; 61; 78]; [30; 41; 85; 87; 86; 51]; [37; 36; 35; 38; 42]; [58; 82; 76; 84; 68]; [3; 10; 8; 9; 11]; [28; 31; 27; 29; 33]; [60; 90; 45; 65; 75; 40]; [89; 88; 49; 80; 69]; [1; 73; 71; 50; 83; 97]; [22; 25; 23; 24; 26]; [32; 72; 77; 93; 63; 34]; [0; 6; 4; 5; 2]; [15; 12; 13; 16; 14]; [47; 46; 44; 39; 43]; [64; 17; 91; 67; 70; 59]; [96; 99; 94; 95; 98]], [80400; 94700; 85500; 81800; 100000; 90300; 80200; 97200; 91700; 100000; 80100; 100000; 92600; 100000; 99300; 95300; 88800; 100000; 75200], 247500, 247501, 6.6197731494903564
44, 19, 0.838373947368421, [87; 43; 75; 71; 86; 8; 19; 16; 15; 14; 50; 54; 52; 56; 53; 80; 76; 59; 49; 85; 17; 18; 20; 22; 25; 65; 60; 3; 81; 74; 90; 35; 34; 33; 29; 32; 4; 2; 5; 1; 0; 45; 46; 51; 48; 39; 78; 9; 94; 95; 73; 21; 62; 11; 83; 44; 93; 82; 57; 64; 61; 72; 67; 41; 37; 42; 38; 36; 77; 79; 58; 70; 66; 10; 6; 12; 7; 13; 89; 69; 84; 40; 31; 63; 28; 26; 23; 24; 27; 88; 55; 47; 91; 68; 30; 98; 92; 99; 97; 96], [[87; 43; 75; 71; 86]; [8; 19; 16; 15; 14]; [50; 54; 52; 56; 53]; [80; 76; 59; 49; 85]; [17; 18; 20; 22; 25]; [65; 60; 3; 81; 74; 90]; [35; 34; 33; 29; 32]; [4; 2; 5; 1; 0]; [45; 46; 51; 48; 39]; [78; 9; 94; 95; 73; 21]; [62; 11; 83; 44; 93; 82]; [57; 64; 61; 72; 67]; [41; 37; 42; 38; 36]; [77; 79; 58; 70; 66]; [10; 6; 12; 7; 13]; [89; 69; 84; 40; 31; 63]; [28; 26; 23; 24; 27]; [88; 55; 47; 91; 68; 30]; [98; 92; 99; 97; 96]], [80700; 95300; 85700; 81200; 93500; 100000; 91300; 99600; 88100; 100000; 100000; 82500; 90000; 80800; 96900; 100000; 92300; 100000; 75200], 222750, 222751, 5.851253986358643
54, 19, 0.8683378421052632, [99; 71; 95; 35; 47; 41; 78; 51; 52; 55; 53; 80; 85; 40; 90; 87; 54; 18; 67; 93; 83; 32; 75; 84; 94; 14; 48; 59; 77; 91; 23; 27; 88; 79; 60; 44; 62; 69; 42; 66; 34; 38; 96; 92; 61; 58; 72; 45; 68; 65; 49; 70; 74; 89; 82; 73; 39; 10; 11; 15; 13; 12; 3; 2; 5; 0; 1; 16; 19; 20; 21; 17; 31; 36; 33; 37; 28; 30; 46; 98; 63; 86; 57; 25; 22; 26; 24; 29; 81; 56; 43; 50; 76; 64; 7; 9; 8; 4; 6; 97], [[99; 71; 95; 35; 47; 41]; [78; 51; 52; 55; 53; 80]; [85; 40; 90; 87; 54]; [18; 67; 93; 83; 32; 75]; [84; 94; 14; 48; 59; 77]; [91; 23; 27; 88; 79; 60]; [44; 62; 69; 42; 66]; [34; 38; 96; 92; 61; 58]; [72; 45; 68; 65; 49; 70]; [74; 89; 82; 73; 39]; [10; 11; 15; 13; 12]; [3; 2; 5; 0; 1]; [16; 19; 20; 21; 17]; [31; 36; 33; 37; 28]; [30; 46; 98; 63; 86; 57]; [25; 22; 26; 24; 29]; [81; 56; 43; 50; 76; 64]; [7; 9; 8; 4; 6]; [97]], [100000; 100000; 81300; 100000; 100000; 100000; 84900; 100000; 100000; 80800; 95700; 99700; 94100; 91100; 100000; 92500; 100000; 98000; 15000], 272250, 272251, 7.3627214431762695
42, 19, 0.8679693157894736, [11; 7; 9; 10; 6; 17; 12; 13; 16; 15; 22; 18; 26; 19; 24; 91; 96; 69; 72; 37; 8; 90; 65; 79; 49; 55; 32; 33; 36; 34; 42; 21; 58; 66; 93; 70; 61; 78; 63; 59; 14; 67; 87; 43; 71; 83; 50; 84; 46; 31; 75; 85; 81; 53; 94; 20; 27; 62; 82; 86; 3; 2; 1; 4; 0; 30; 29; 28; 23; 25; 5; 76; 80; 48; 68; 98; 51; 35; 92; 54; 99; 52; 56; 60; 45; 64; 47; 40; 39; 77; 88; 73; 57; 38; 41; 89; 44; 74; 95; 97], [[11; 7; 9; 10; 6]; [17; 12; 13; 16; 15]; [22; 18; 26; 19; 24]; [91; 96; 69; 72; 37; 8]; [90; 65; 79; 49; 55]; [32; 33; 36; 34; 42]; [21; 58; 66; 93; 70; 61]; [78; 63; 59; 14; 67; 87]; [43; 71; 83; 50; 84]; [46; 31; 75; 85; 81; 53]; [94; 20; 27; 62; 82; 86]; [3; 2; 1; 4; 0]; [30; 29; 28; 23; 25]; [5; 76; 80; 48; 68; 98]; [51; 35; 92; 54; 99; 52]; [56; 60; 45; 64; 47]; [40; 39; 77; 88; 73; 57]; [38; 41; 89; 44; 74; 95]; [97]], [97300; 95100; 93200; 100000; 81800; 90700; 100000; 100000; 82400; 100000; 100000; 99700; 92100; 100000; 100000; 85800; 100000; 100000; 15000], 212850, 212851, 5.633176326751709
36, 19, 0.868090052631579, [59; 14; 30; 96; 85; 91; 3; 2; 1; 0; 5; 45; 84; 10; 61; 83; 95; 94; 62; 33; 73; 78; 29; 48; 46; 49; 60; 39; 86; 77; 21; 53; 99; 76; 66; 74; 65; 67; 9; 20; 25; 22; 26; 80; 35; 17; 82; 93; 63; 50; 43; 68; 88; 38; 92; 52; 57; 75; 72; 55; 58; 42; 36; 37; 34; 47; 64; 79; 81; 40; 51; 54; 6; 11; 8; 4; 7; 15; 16; 12; 19; 18; 32; 31; 27; 28; 23; 13; 44; 89; 90; 69; 70; 24; 87; 71; 41; 56; 97; 98], [[59; 14; 30; 96; 85; 91]; [3; 2; 1; 0; 5]; [45; 84; 10; 61; 83; 95]; [94; 62; 33; 73; 78]; [29; 48; 46; 49; 60]; [39; 86; 77; 21; 53; 99]; [76; 66; 74; 65; 67]; [9; 20; 25; 22; 26]; [80; 35; 17; 82; 93; 63]; [50; 43; 68; 88; 38; 92]; [52; 57; 75; 72; 55; 58]; [42; 36; 37; 34; 47]; [64; 79; 81; 40; 51; 54]; [6; 11; 8; 4; 7]; [15; 16; 12; 19; 18]; [32; 31; 27; 28; 23]; [13; 44; 89; 90; 69; 70]; [24; 87; 71; 41; 56; 97]; [98]], [100000; 99700; 100000; 81700; 87900; 100000; 80700; 93700; 100000; 100000; 100000; 90000; 100000; 97800; 94700; 91900; 100000; 100000; 15000], 183150, 183151, 4.8400092124938965
43, 19, 0.8486726842105262, [72; 85; 69; 50; 52; 46; 74; 59; 68; 78; 89; 3; 10; 7; 6; 11; 32; 90; 91; 86; 65; 9; 22; 20; 19; 21; 45; 55; 56; 53; 51; 93; 48; 60; 92; 54; 33; 36; 37; 34; 30; 12; 15; 18; 14; 16; 80; 57; 94; 8; 41; 97; 43; 39; 44; 38; 40; 25; 88; 84; 47; 64; 67; 76; 62; 70; 17; 71; 66; 87; 63; 83; 31; 49; 61; 0; 4; 5; 1; 2; 24; 26; 23; 28; 29; 75; 95; 35; 27; 82; 58; 73; 13; 77; 42; 81; 79; 96; 99; 98], [[72; 85; 69; 50; 52; 46]; [74; 59; 68; 78; 89]; [3; 10; 7; 6; 11]; [32; 90; 91; 86; 65]; [9; 22; 20; 19; 21]; [45; 55; 56; 53; 51]; [93; 48; 60; 92; 54]; [33; 36; 37; 34; 30]; [12; 15; 18; 14; 16]; [80; 57; 94; 8; 41; 97]; [43; 39; 44; 38; 40]; [25; 88; 84; 47; 64; 67]; [76; 62; 70; 17; 71; 66]; [87; 63; 83; 31; 49; 61]; [0; 4; 5; 1; 2]; [24; 26; 23; 28; 29]; [75; 95; 35; 27; 82; 58]; [73; 13; 77; 42; 81; 79]; [96; 99; 98]], [100000; 80200; 97800; 80700; 94200; 86200; 81900; 90900; 95000; 100000; 89300; 100000; 100000; 100000; 99600; 92300; 100000; 100000; 45000], 217800, 217801, 5.802380323410034
