Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
49, 19, 0.8387569473684211, [70; 56; 59; 63; 71; 42; 43; 45; 40; 47; 35; 37; 33; 32; 34; 52; 55; 54; 44; 57; 84; 76; 85; 69; 73; 5; 10; 7; 6; 8; 15; 18; 17; 23; 19; 78; 82; 50; 79; 92; 9; 86; 30; 88; 41; 83; 53; 77; 62; 90; 94; 64; 1; 2; 4; 0; 3; 24; 20; 22; 21; 26; 91; 68; 72; 49; 75; 25; 31; 27; 29; 28; 48; 60; 65; 80; 89; 39; 12; 16; 11; 13; 14; 66; 81; 36; 51; 58; 87; 61; 67; 38; 74; 97; 46; 95; 98; 96; 93; 99], [[70; 56; 59; 63; 71]; [42; 43; 45; 40; 47]; [35; 37; 33; 32; 34]; [52; 55; 54; 44; 57]; [84; 76; 85; 69; 73]; [5; 10; 7; 6; 8]; [15; 18; 17; 23; 19]; [78; 82; 50; 79; 92; 9]; [86; 30; 88; 41; 83; 53]; [77; 62; 90; 94; 64]; [1; 2; 4; 0; 3]; [24; 20; 22; 21; 26]; [91; 68; 72; 49; 75]; [25; 31; 27; 29; 28]; [48; 60; 65; 80; 89; 39]; [12; 16; 11; 13; 14]; [66; 81; 36; 51; 58; 87]; [61; 67; 38; 74; 97; 46]; [95; 98; 96; 93; 99]], [82700; 88700; 90000; 85400; 80300; 97900; 93300; 100000; 100000; 80100; 99600; 92300; 81700; 90900; 100000; 95200; 100000; 100000; 75300], 247500, 247501, 6.339607000350952
41, 19, 0.8486328421052631, [84; 15; 91; 58; 48; 87; 1; 0; 3; 2; 5; 34; 36; 32; 33; 37; 82; 26; 71; 78; 61; 56; 89; 76; 88; 57; 72; 6; 13; 11; 12; 14; 42; 45; 47; 40; 43; 31; 29; 30; 24; 20; 51; 68; 53; 52; 54; 90; 83; 67; 55; 79; 9; 10; 8; 7; 4; 50; 27; 85; 75; 70; 73; 65; 46; 49; 64; 44; 92; 59; 62; 22; 41; 95; 69; 86; 25; 81; 38; 80; 16; 18; 21; 23; 17; 93; 60; 19; 66; 35; 99; 28; 39; 77; 74; 63; 98; 97; 96; 94], [[84; 15; 91; 58; 48; 87]; [1; 0; 3; 2; 5]; [34; 36; 32; 33; 37]; [82; 26; 71; 78; 61; 56]; [89; 76; 88; 57; 72]; [6; 13; 11; 12; 14]; [42; 45; 47; 40; 43]; [31; 29; 30; 24; 20]; [51; 68; 53; 52; 54]; [90; 83; 67; 55; 79]; [9; 10; 8; 7; 4]; [50; 27; 85; 75; 70; 73]; [65; 46; 49; 64; 44]; [92; 59; 62; 22; 41; 95]; [69; 86; 25; 81; 38; 80]; [16; 18; 21; 23; 17]; [93; 60; 19; 66; 35; 99]; [28; 39; 77; 74; 63; 98]; [97; 96; 94]], [100000; 99600; 90000; 100000; 80400; 96100; 88700; 91300; 84600; 80800; 97500; 100000; 86000; 100000; 100000; 93200; 100000; 100000; 45200], 207900, 207901, 5.327626705169678
39, 19, 0.8574324210526317, [3; 5; 1; 0; 2; 43; 64; 90; 54; 93; 30; 79; 82; 55; 81; 78; 10; 17; 19; 18; 21; 25; 24; 23; 26; 20; 7; 9; 6; 8; 4; 46; 56; 87; 68; 88; 38; 74; 59; 42; 69; 94; 41; 57; 70; 86; 77; 48; 71; 66; 89; 76; 33; 58; 53; 50; 51; 63; 96; 16; 13; 14; 11; 12; 36; 29; 27; 35; 37; 85; 75; 31; 91; 62; 28; 22; 67; 73; 95; 47; 80; 83; 72; 92; 39; 15; 84; 52; 60; 34; 65; 61; 99; 40; 45; 44; 49; 32; 97; 98], [[3; 5; 1; 0; 2]; [43; 64; 90; 54; 93; 30]; [79; 82; 55; 81; 78]; [10; 17; 19; 18; 21]; [25; 24; 23; 26; 20]; [7; 9; 6; 8; 4]; [46; 56; 87; 68; 88; 38]; [74; 59; 42; 69; 94]; [41; 57; 70; 86; 77]; [48; 71; 66; 89; 76; 33]; [58; 53; 50; 51; 63; 96]; [16; 13; 14; 11; 12]; [36; 29; 27; 35; 37]; [85; 75; 31; 91; 62; 28]; [22; 67; 73; 95; 47; 80]; [83; 72; 92; 39; 15; 84]; [52; 60; 34; 65; 61; 99]; [40; 45; 44; 49; 32]; [97; 98]], [99600; 100000; 80800; 93800; 92200; 97900; 100000; 82300; 82700; 100000; 100000; 95200; 90300; 100000; 100000; 100000; 100000; 88600; 30000], 198000, 198001, 5.080281734466553
43, 19, 0.8483693684210527, [62; 65; 61; 55; 51; 77; 72; 71; 89; 63; 12; 23; 19; 22; 20; 73; 34; 17; 81; 94; 80; 0; 4; 2; 1; 3; 31; 28; 33; 38; 29; 59; 68; 82; 64; 57; 46; 39; 43; 41; 45; 78; 66; 67; 21; 75; 76; 30; 25; 26; 27; 24; 83; 35; 32; 79; 58; 92; 69; 40; 87; 42; 90; 53; 96; 70; 99; 5; 97; 14; 16; 11; 18; 13; 15; 85; 49; 44; 86; 74; 50; 56; 54; 48; 60; 47; 6; 9; 10; 8; 7; 52; 84; 37; 36; 88; 91; 98; 93; 95], [[62; 65; 61; 55; 51]; [77; 72; 71; 89; 63]; [12; 23; 19; 22; 20]; [73; 34; 17; 81; 94; 80]; [0; 4; 2; 1; 3]; [31; 28; 33; 38; 29]; [59; 68; 82; 64; 57]; [46; 39; 43; 41; 45]; [78; 66; 67; 21; 75; 76]; [30; 25; 26; 27; 24]; [83; 35; 32; 79; 58; 92]; [69; 40; 87; 42; 90; 53]; [96; 70; 99; 5; 97; 14]; [16; 11; 18; 13; 15]; [85; 49; 44; 86; 74; 50]; [56; 54; 48; 60; 47]; [6; 9; 10; 8; 7]; [52; 84; 37; 36; 88; 91]; [98; 93; 95]], [83900; 80900; 93300; 100000; 99600; 90200; 82400; 88700; 100000; 91500; 100000; 100000; 100000; 94600; 100000; 85600; 97400; 100000; 45300], 217800, 217801, 5.475885629653931
43, 19, 0.8572031578947367, [79; 59; 60; 45; 82; 53; 65; 87; 85; 15; 58; 61; 48; 80; 54; 75; 55; 64; 94; 56; 43; 71; 83; 27; 37; 36; 29; 35; 70; 57; 93; 76; 69; 9; 7; 6; 8; 10; 38; 42; 33; 40; 34; 28; 30; 24; 22; 25; 50; 44; 89; 81; 46; 49; 5; 91; 67; 84; 97; 88; 92; 32; 73; 78; 17; 14; 11; 12; 16; 13; 1; 3; 0; 2; 4; 21; 18; 20; 19; 23; 62; 68; 39; 66; 86; 52; 77; 90; 98; 26; 51; 41; 72; 74; 47; 63; 31; 96; 95; 99], [[79; 59; 60; 45; 82; 53]; [65; 87; 85; 15; 58; 61]; [48; 80; 54; 75; 55; 64]; [94; 56; 43; 71; 83]; [27; 37; 36; 29; 35]; [70; 57; 93; 76; 69]; [9; 7; 6; 8; 10]; [38; 42; 33; 40; 34]; [28; 30; 24; 22; 25]; [50; 44; 89; 81; 46]; [49; 5; 91; 67; 84; 97]; [88; 92; 32; 73; 78; 17]; [14; 11; 12; 16; 13]; [1; 3; 0; 2; 4]; [21; 18; 20; 19; 23]; [62; 68; 39; 66; 86; 52]; [77; 90; 98; 26; 51; 41]; [72; 74; 47; 63; 31; 96]; [95; 99]], [100000; 100000; 100000; 81900; 90300; 80800; 97400; 89500; 91600; 84200; 100000; 100000; 95200; 99600; 92800; 100000; 100000; 100000; 30100], 217800, 217801, 5.429671287536621
37, 19, 0.8486388421052631, [47; 39; 41; 42; 38; 85; 89; 36; 28; 54; 81; 13; 10; 11; 14; 12; 93; 66; 82; 71; 48; 18; 19; 22; 20; 24; 8; 4; 9; 7; 6; 87; 60; 45; 68; 52; 63; 99; 59; 70; 65; 15; 75; 64; 57; 44; 49; 73; 72; 35; 53; 76; 77; 83; 78; 79; 46; 84; 21; 37; 32; 31; 33; 25; 26; 23; 27; 30; 67; 92; 88; 51; 62; 16; 17; 80; 40; 61; 91; 86; 0; 5; 2; 1; 3; 56; 34; 55; 58; 69; 94; 74; 90; 43; 50; 29; 98; 96; 97; 95], [[47; 39; 41; 42; 38]; [85; 89; 36; 28; 54; 81]; [13; 10; 11; 14; 12]; [93; 66; 82; 71; 48]; [18; 19; 22; 20; 24]; [8; 4; 9; 7; 6]; [87; 60; 45; 68; 52]; [63; 99; 59; 70; 65; 15]; [75; 64; 57; 44; 49]; [73; 72; 35; 53; 76; 77]; [83; 78; 79; 46; 84]; [21; 37; 32; 31; 33]; [25; 26; 23; 27; 30]; [67; 92; 88; 51; 62; 16]; [17; 80; 40; 61; 91; 86]; [0; 5; 2; 1; 3]; [56; 34; 55; 58; 69; 94]; [74; 90; 43; 50; 29; 98]; [96; 97; 95]], [89000; 100000; 95700; 81400; 92800; 97900; 83500; 100000; 84700; 100000; 81600; 90600; 91500; 100000; 100000; 99600; 100000; 100000; 45100], 188100, 188101, 4.767139673233032
38, 19, 0.8486993684210525, [43; 48; 65; 64; 49; 75; 80; 44; 93; 82; 9; 83; 26; 72; 97; 94; 69; 66; 51; 71; 84; 40; 45; 81; 70; 47; 87; 53; 91; 74; 85; 59; 13; 11; 15; 12; 14; 77; 52; 60; 50; 79; 62; 88; 89; 36; 78; 58; 34; 7; 5; 8; 6; 10; 24; 22; 25; 28; 23; 96; 67; 92; 39; 21; 54; 37; 32; 35; 30; 29; 55; 76; 86; 56; 73; 27; 1; 0; 3; 4; 2; 42; 41; 38; 33; 46; 16; 17; 19; 18; 20; 57; 31; 68; 61; 63; 90; 95; 99; 98], [[43; 48; 65; 64; 49]; [75; 80; 44; 93; 82]; [9; 83; 26; 72; 97; 94]; [69; 66; 51; 71; 84; 40]; [45; 81; 70; 47; 87]; [53; 91; 74; 85; 59]; [13; 11; 15; 12; 14]; [77; 52; 60; 50; 79; 62]; [88; 89; 36; 78; 58; 34]; [7; 5; 8; 6; 10]; [24; 22; 25; 28; 23]; [96; 67; 92; 39; 21; 54]; [37; 32; 35; 30; 29]; [55; 76; 86; 56; 73; 27]; [1; 0; 3; 4; 2]; [42; 41; 38; 33; 46]; [16; 17; 19; 18; 20]; [57; 31; 68; 61; 63; 90]; [95; 99; 98]], [85800; 80900; 100000; 100000; 83200; 81000; 95200; 100000; 100000; 97900; 92000; 100000; 90200; 100000; 99600; 89200; 93300; 100000; 45100], 193050, 193051, 4.774089574813843
45, 19, 0.8385246315789473, [10; 6; 8; 7; 9; 62; 70; 83; 90; 81; 4; 93; 37; 60; 68; 43; 79; 73; 56; 85; 76; 58; 25; 24; 21; 20; 26; 80; 74; 75; 82; 63; 12; 16; 14; 15; 11; 69; 54; 84; 64; 53; 49; 34; 66; 95; 96; 32; 57; 44; 51; 52; 71; 65; 72; 50; 59; 89; 48; 67; 61; 88; 78; 77; 13; 18; 22; 23; 17; 30; 27; 29; 28; 31; 46; 45; 47; 40; 39; 92; 19; 36; 55; 86; 87; 1; 3; 2; 5; 0; 41; 38; 42; 35; 33; 94; 91; 99; 97; 98], [[10; 6; 8; 7; 9]; [62; 70; 83; 90; 81; 4]; [93; 37; 60; 68; 43; 79]; [73; 56; 85; 76; 58]; [25; 24; 21; 20; 26]; [80; 74; 75; 82; 63]; [12; 16; 14; 15; 11]; [69; 54; 84; 64; 53]; [49; 34; 66; 95; 96; 32]; [57; 44; 51; 52; 71]; [65; 72; 50; 59; 89; 48]; [67; 61; 88; 78; 77]; [13; 18; 22; 23; 17]; [30; 27; 29; 28; 31]; [46; 45; 47; 40; 39]; [92; 19; 36; 55; 86; 87]; [1; 3; 2; 5; 0]; [41; 38; 42; 35; 33]; [94; 91; 99; 97; 98]], [97400; 100000; 100000; 81700; 92200; 80900; 94900; 82700; 100000; 85100; 100000; 81000; 93500; 90600; 88700; 100000; 99600; 89500; 75600], 227700, 227701, 5.69169020652771
42, 19, 0.8486387368421052, [21; 25; 27; 29; 28; 57; 43; 56; 59; 62; 87; 75; 81; 82; 64; 3; 5; 1; 2; 0; 60; 58; 48; 90; 55; 63; 37; 31; 32; 35; 36; 40; 91; 72; 66; 14; 95; 61; 71; 88; 74; 41; 50; 45; 42; 33; 34; 44; 92; 70; 67; 65; 69; 7; 80; 85; 73; 76; 68; 16; 15; 11; 13; 12; 9; 10; 8; 6; 4; 46; 51; 53; 47; 52; 54; 24; 26; 93; 94; 84; 23; 78; 89; 77; 39; 83; 19; 17; 18; 20; 22; 79; 30; 99; 49; 38; 86; 96; 97; 98], [[21; 25; 27; 29; 28]; [57; 43; 56; 59; 62]; [87; 75; 81; 82; 64]; [3; 5; 1; 2; 0]; [60; 58; 48; 90; 55; 63]; [37; 31; 32; 35; 36]; [40; 91; 72; 66; 14; 95]; [61; 71; 88; 74; 41; 50]; [45; 42; 33; 34; 44]; [92; 70; 67; 65; 69]; [7; 80; 85; 73; 76; 68]; [16; 15; 11; 13; 12]; [9; 10; 8; 6; 4]; [46; 51; 53; 47; 52]; [54; 24; 26; 93; 94; 84]; [23; 78; 89; 77; 39; 83]; [19; 17; 18; 20; 22]; [79; 30; 99; 49; 38; 86]; [96; 97; 98]], [91300; 84600; 80200; 99600; 100000; 90100; 100000; 100000; 89200; 81000; 100000; 95100; 97600; 86700; 100000; 100000; 93000; 100000; 45000], 212850, 212851, 5.518990993499756
44, 19, 0.837792947368421, [93; 84; 89; 82; 48; 0; 47; 77; 70; 80; 71; 43; 81; 99; 72; 67; 17; 19; 21; 23; 22; 10; 11; 12; 7; 9; 27; 25; 26; 20; 24; 91; 95; 74; 56; 59; 4; 3; 6; 1; 2; 30; 33; 36; 31; 34; 41; 42; 37; 38; 32; 69; 75; 97; 5; 50; 92; 83; 62; 66; 94; 51; 18; 14; 15; 13; 16; 79; 76; 73; 53; 57; 40; 54; 58; 55; 96; 45; 46; 44; 49; 52; 60; 28; 88; 68; 65; 63; 98; 85; 8; 61; 90; 39; 87; 86; 29; 64; 78; 35], [[93; 84; 89; 82; 48; 0]; [47; 77; 70; 80; 71]; [43; 81; 99; 72; 67]; [17; 19; 21; 23; 22]; [10; 11; 12; 7; 9]; [27; 25; 26; 20; 24]; [91; 95; 74; 56; 59]; [4; 3; 6; 1; 2]; [30; 33; 36; 31; 34]; [41; 42; 37; 38; 32]; [69; 75; 97; 5; 50; 92]; [83; 62; 66; 94; 51]; [18; 14; 15; 13; 16]; [79; 76; 73; 53; 57]; [40; 54; 58; 55; 96]; [45; 46; 44; 49; 52]; [60; 28; 88; 68; 65; 63]; [98; 85; 8; 61; 90; 39]; [87; 86; 29; 64; 78; 35]], [100000; 82400; 81400; 92800; 96600; 91900; 80300; 99300; 90200; 89500; 100000; 81400; 94300; 82300; 83400; 87600; 100000; 100000; 100000], 222750, 222751, 5.6273956298828125
