Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
23, 21, 0.9061714285714286, [0; 44; 15; 45; 43; 33; 40; 4; 2; 37; 42; 20; 46; 22; 12; 24; 19; 16; 6; 7; 41; 36; 14; 49; 23; 32; 11; 47; 3; 35; 21; 13; 1; 38; 8; 30; 9; 29; 5; 48; 26; 39; 31; 25; 18; 34; 27; 28; 10; 17], [[0; 44]; [15; 45; 43; 33; 40]; [4]; [2; 37]; [42; 20; 46; 22]; [12; 24]; [19; 16]; [6]; [7; 41; 36]; [14; 49; 23]; [32; 11; 47]; [3; 35]; [21; 13]; [1; 38]; [8; 30]; [9; 29]; [5; 48]; [26; 39; 31; 25]; [18; 34; 27]; [28; 10]; [17]], [10000; 10000; 8200; 10000; 10000; 9900; 9900; 8100; 10000; 9800; 9300; 9900; 10000; 10000; 9900; 10000; 8800; 10000; 10000; 9700; 4900], 29400, 29401, 0.517507791519165
35, 21, 0.9152285714285714, [12; 38; 30; 40; 7; 35; 47; 1; 33; 6; 11; 28; 4; 34; 23; 16; 41; 32; 20; 26; 2; 37; 14; 27; 42; 21; 13; 25; 10; 0; 43; 9; 29; 48; 8; 31; 45; 5; 44; 49; 39; 3; 46; 36; 24; 17; 15; 22; 18; 19], [[12; 38; 30]; [40; 7; 35]; [47; 1]; [33; 6]; [11; 28]; [4; 34]; [23; 16; 41]; [32; 20; 26]; [2; 37]; [14; 27; 42]; [21; 13]; [25]; [10]; [0; 43]; [9; 29]; [48; 8; 31]; [45; 5; 44; 49]; [39; 3; 46]; [36; 24; 17]; [15; 22]; [18; 19]], [10000; 10000; 9500; 10000; 9700; 10000; 10000; 10000; 10000; 10000; 10000; 3500; 6700; 10000; 10000; 10000; 10000; 10000; 10000; 9500; 9500], 44100, 44101, 0.8269400596618652
28, 21, 0.9115714285714286, [15; 8; 31; 47; 7; 35; 42; 33; 6; 49; 40; 2; 45; 14; 25; 23; 19; 36; 9; 29; 20; 16; 48; 1; 26; 12; 21; 18; 38; 0; 44; 4; 43; 39; 17; 3; 46; 41; 22; 13; 24; 27; 28; 30; 10; 34; 5; 32; 11; 37], [[15]; [8; 31; 47]; [7; 35; 42]; [33; 6]; [49; 40; 2]; [45; 14; 25]; [23; 19; 36]; [9; 29]; [20; 16]; [48; 1]; [26; 12]; [21; 18; 38]; [0; 44]; [4; 43; 39]; [17]; [3; 46; 41]; [22; 13]; [24; 27; 28]; [30; 10]; [34; 5]; [32; 11; 37]], [5600; 10000; 9900; 10000; 10000; 9900; 10000; 10000; 9800; 9500; 9700; 10000; 10000; 10000; 4900; 10000; 9800; 10000; 9300; 10000; 10000], 35525, 35526, 0.6523680686950684
20, 21, 0.9219142857142855, [39; 27; 15; 4; 33; 6; 34; 7; 45; 44; 0; 43; 22; 20; 47; 8; 31; 46; 13; 21; 37; 3; 49; 12; 24; 14; 26; 42; 17; 25; 41; 48; 1; 38; 18; 16; 9; 29; 32; 2; 40; 36; 19; 23; 5; 35; 28; 11; 30; 10], [[39; 27; 15]; [4]; [33; 6]; [34; 7; 45]; [44; 0]; [43; 22; 20; 47]; [8; 31; 46]; [13; 21]; [37; 3; 49]; [12; 24]; [14; 26; 42]; [17; 25; 41; 48]; [1; 38]; [18; 16]; [9; 29]; [32]; [2; 40]; [36; 19; 23]; [5; 35]; [28; 11]; [30; 10]], [10000; 8200; 10000; 10000; 10000; 9900; 10000; 10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 2000; 9700; 10000; 9700; 9700; 9300], 25725, 25726, 0.4422008991241455
28, 21, 0.9161904761904763, [29; 25; 24; 45; 20; 19; 31; 35; 14; 48; 42; 32; 9; 30; 8; 6; 33; 18; 16; 39; 3; 47; 0; 43; 12; 27; 10; 28; 49; 11; 5; 34; 17; 22; 26; 2; 37; 21; 13; 1; 38; 23; 15; 46; 36; 7; 41; 4; 40; 44], [[29; 25; 24]; [45; 20; 19]; [31; 35; 14; 48]; [42; 32; 9]; [30; 8]; [6; 33]; [18; 16]; [39; 3; 47]; [0; 43]; [12; 27]; [10; 28; 49]; [11]; [5; 34]; [17; 22]; [26]; [2; 37]; [21; 13]; [1; 38]; [23; 15; 46]; [36; 7; 41]; [4; 40; 44]], [10000; 10000; 9900; 10000; 9900; 10000; 10000; 10000; 10000; 9700; 10000; 6700; 10000; 8800; 3400; 10000; 10000; 10000; 10000; 10000; 10000], 35525, 35526, 0.6433391571044922
28, 21, 0.9088857142857143, [21; 13; 18; 38; 31; 32; 40; 27; 15; 11; 46; 5; 44; 39; 4; 34; 8; 30; 14; 26; 9; 29; 41; 1; 37; 2; 19; 36; 23; 12; 25; 6; 33; 24; 16; 47; 48; 20; 10; 28; 45; 7; 3; 35; 0; 43; 49; 22; 17; 42], [[21; 13]; [18; 38; 31; 32]; [40; 27; 15]; [11; 46]; [5; 44; 39]; [4; 34]; [8; 30]; [14; 26]; [9; 29]; [41; 1]; [37; 2]; [19; 36; 23]; [12; 25]; [6; 33]; [24; 16; 47; 48]; [20]; [10; 28]; [45; 7]; [3; 35]; [0; 43]; [49; 22; 17; 42]], [10000; 10000; 10000; 7300; 10000; 10000; 9900; 9100; 10000; 9900; 10000; 10000; 9800; 10000; 10000; 4600; 9700; 8200; 9900; 10000; 10000], 35525, 35526, 0.6558279991149902
25, 21, 0.9136190476190477, [24; 12; 8; 32; 45; 46; 19; 26; 49; 41; 35; 3; 1; 38; 16; 0; 43; 20; 18; 48; 10; 28; 27; 42; 14; 11; 31; 30; 25; 22; 2; 37; 29; 9; 21; 13; 23; 15; 47; 36; 39; 7; 40; 44; 4; 17; 6; 33; 34; 5], [[24; 12]; [8; 32; 45]; [46; 19; 26; 49; 41]; [35; 3]; [1; 38]; [16]; [0; 43]; [20; 18; 48]; [10; 28]; [27; 42; 14]; [11; 31]; [30; 25; 22]; [2; 37]; [29; 9]; [21; 13]; [23; 15; 47]; [36; 39; 7]; [40; 44; 4]; [17]; [6; 33]; [34; 5]], [9900; 10000; 10000; 9900; 10000; 5200; 10000; 10000; 9700; 10000; 8800; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 4900; 10000; 10000], 31850, 31851, 0.5519394874572754
29, 21, 0.9146095238095239, [45; 30; 11; 12; 27; 25; 14; 43; 5; 34; 48; 15; 23; 8; 9; 29; 10; 28; 49; 3; 47; 41; 1; 35; 24; 17; 32; 31; 38; 18; 36; 40; 7; 2; 37; 4; 44; 39; 19; 20; 6; 33; 0; 46; 22; 42; 16; 21; 13; 26], [[45; 30; 11]; [12; 27]; [25; 14; 43]; [5; 34]; [48; 15; 23]; [8]; [9; 29]; [10; 28; 49]; [3; 47; 41]; [1]; [35; 24; 17]; [32; 31; 38; 18]; [36; 40; 7]; [2; 37]; [4; 44; 39]; [19; 20]; [6; 33]; [0; 46]; [22; 42; 16]; [21; 13]; [26]], [10000; 9700; 10000; 10000; 10000; 7300; 10000; 10000; 10000; 8900; 10000; 10000; 10000; 10000; 10000; 9300; 10000; 9800; 10000; 10000; 3400], 36750, 36751, 0.6381015777587891
26, 21, 0.9135238095238094, [3; 36; 24; 12; 45; 23; 46; 17; 44; 0; 43; 2; 30; 8; 49; 28; 33; 18; 6; 48; 37; 4; 34; 7; 32; 14; 22; 13; 21; 31; 41; 11; 19; 40; 42; 26; 9; 29; 20; 16; 15; 27; 39; 38; 1; 25; 5; 35; 10; 47], [[3; 36]; [24; 12]; [45; 23; 46; 17]; [44; 0]; [43; 2]; [30; 8]; [49; 28; 33; 18]; [6; 48; 37]; [4; 34]; [7; 32]; [14; 22]; [13; 21]; [31; 41; 11]; [19; 40; 42; 26]; [9; 29]; [20; 16]; [15; 27; 39]; [38; 1]; [25]; [5; 35]; [10; 47]], [9900; 9900; 10000; 10000; 9500; 9900; 10000; 10000; 10000; 9500; 9600; 10000; 9800; 10000; 10000; 9800; 10000; 10000; 3500; 9700; 7300], 33075, 33076, 0.6388816833496094
25, 21, 0.9144095238095238, [2; 37; 7; 23; 24; 36; 38; 19; 16; 21; 13; 8; 30; 27; 6; 33; 29; 9; 49; 17; 18; 41; 3; 47; 5; 34; 14; 44; 25; 26; 39; 15; 32; 12; 35; 4; 45; 40; 43; 0; 22; 20; 1; 42; 28; 11; 10; 31; 48; 46], [[2; 37]; [7]; [23; 24; 36; 38]; [19; 16]; [21; 13]; [8; 30]; [27]; [6; 33]; [29; 9]; [49; 17; 18]; [41; 3; 47]; [5; 34]; [14; 44; 25]; [26; 39; 15]; [32; 12; 35]; [4; 45; 40]; [43; 0]; [22; 20]; [1; 42]; [28; 11]; [10; 31; 48; 46]], [10000; 7500; 10000; 9900; 10000; 9900; 3400; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9800; 9900; 10000; 8500; 9800; 9700; 10000], 31850, 31851, 0.5483827590942383
