Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 28, 0.834567857142857, [0; 6; 30; 19; 4; 9; 42; 2; 17; 15; 33; 24; 29; 7; 25; 21; 34; 12; 32; 10; 39; 49; 8; 11; 38; 43; 16; 40; 27; 3; 1; 13; 35; 45; 44; 23; 37; 28; 26; 36; 20; 46; 14; 41; 31; 22; 18; 5; 48; 47], [[0]; [6]; [30; 19]; [4]; [9; 42]; [2]; [17]; [15; 33]; [24; 29]; [7]; [25]; [21; 34]; [12; 32]; [10; 39; 49]; [8]; [11; 38]; [43; 16; 40]; [27]; [3]; [1]; [13; 35]; [45; 44; 23; 37]; [28; 26]; [36; 20; 46]; [14; 41]; [31; 22]; [18]; [5; 48; 47]], [10000; 9200; 9600; 9500; 9200; 9800; 7100; 9700; 10000; 9200; 5900; 8700; 10000; 9700; 9100; 9800; 9700; 4500; 9700; 9900; 9800; 9800; 9700; 9300; 8700; 8800; 6800; 9900], 8575, 8576, 0.1721031665802002
5, 28, 0.8319821428571428, [9; 14; 26; 49; 27; 36; 16; 21; 2; 37; 48; 17; 5; 46; 47; 33; 15; 4; 20; 30; 7; 22; 18; 31; 1; 11; 35; 13; 39; 32; 12; 29; 24; 3; 42; 10; 6; 25; 44; 28; 38; 8; 41; 40; 19; 45; 23; 34; 43; 0], [[9]; [14]; [26; 49; 27]; [36; 16]; [21]; [2]; [37; 48; 17]; [5; 46]; [47; 33; 15]; [4]; [20; 30]; [7]; [22]; [18; 31]; [1]; [11; 35]; [13; 39]; [32; 12]; [29; 24]; [3]; [42; 10]; [6]; [25; 44]; [28; 38]; [8]; [41; 40; 19; 45]; [23; 34; 43]; [0]], [8200; 7300; 10000; 9500; 6300; 9800; 9400; 10000; 10000; 9500; 9600; 9200; 6300; 9300; 9900; 10000; 9000; 10000; 10000; 9700; 9000; 9200; 6600; 6500; 9100; 10000; 9700; 10000], 6125, 6126, 0.10938215255737305
6, 28, 0.8273464285714285, [40; 22; 35; 46; 30; 21; 20; 31; 24; 8; 17; 10; 13; 47; 33; 18; 11; 36; 49; 23; 34; 43; 32; 12; 5; 16; 4; 38; 25; 44; 7; 42; 45; 9; 1; 29; 26; 19; 41; 27; 28; 14; 39; 2; 6; 3; 48; 0; 15; 37], [[40; 22; 35]; [46; 30; 21]; [20; 31]; [24]; [8]; [17]; [10]; [13; 47]; [33; 18]; [11; 36]; [49; 23; 34; 43]; [32; 12]; [5]; [16]; [4]; [38; 25; 44]; [7]; [42; 45; 9]; [1]; [29; 26]; [19; 41]; [27; 28]; [14; 39]; [2]; [6]; [3; 48]; [0]; [15; 37]], [10000; 10000; 9000; 6000; 9100; 7100; 8000; 7800; 9200; 9900; 9900; 10000; 9400; 7300; 9500; 8700; 9200; 9900; 9900; 9300; 7900; 8900; 8800; 9800; 9200; 9900; 10000; 9400], 7350, 7351, 0.1410825252532959
6, 28, 0.832267857142857, [4; 44; 7; 10; 9; 19; 49; 1; 5; 8; 38; 47; 16; 15; 23; 27; 26; 14; 33; 28; 34; 43; 36; 13; 35; 21; 31; 42; 2; 24; 46; 48; 30; 29; 25; 6; 11; 37; 20; 0; 32; 12; 3; 45; 40; 17; 41; 39; 18; 22], [[4]; [44; 7]; [10]; [9]; [19; 49]; [1]; [5]; [8]; [38; 47; 16]; [15]; [23]; [27; 26]; [14; 33]; [28; 34; 43; 36]; [13; 35]; [21; 31; 42]; [2]; [24; 46; 48; 30]; [29; 25]; [6]; [11; 37]; [20]; [0]; [32; 12]; [3]; [45; 40; 17]; [41; 39; 18]; [22]], [9500; 9900; 8000; 8200; 6700; 9900; 9400; 9100; 9700; 7300; 6300; 9800; 9700; 10000; 9800; 9800; 9800; 9900; 9900; 9200; 9800; 6500; 10000; 10000; 9700; 9200; 9700; 6300], 7350, 7351, 0.14734911918640137
5, 28, 0.8316607142857144, [2; 6; 35; 20; 11; 36; 0; 8; 7; 43; 19; 26; 49; 27; 21; 34; 14; 10; 4; 18; 46; 32; 45; 9; 3; 29; 25; 5; 42; 12; 40; 48; 17; 31; 33; 24; 39; 38; 13; 28; 1; 47; 41; 44; 15; 30; 22; 37; 23; 16], [[2]; [6]; [35; 20]; [11; 36]; [0]; [8]; [7]; [43; 19]; [26; 49; 27]; [21; 34]; [14]; [10]; [4]; [18; 46; 32]; [45; 9]; [3]; [29; 25]; [5]; [42; 12; 40]; [48; 17; 31]; [33; 24; 39]; [38; 13]; [28]; [1]; [47; 41; 44; 15]; [30; 22]; [37; 23]; [16]], [9800; 9200; 8800; 9900; 10000; 9100; 9200; 7500; 10000; 8700; 7300; 8000; 9500; 9800; 8900; 9700; 9900; 9400; 10000; 9800; 9900; 9600; 4400; 9900; 9700; 9400; 8400; 7300], 6125, 6126, 0.12516498565673828
6, 28, 0.8289535714285713, [11; 48; 27; 26; 10; 40; 46; 6; 45; 21; 37; 39; 2; 8; 9; 15; 29; 25; 49; 4; 0; 3; 32; 18; 12; 5; 30; 22; 20; 31; 36; 13; 33; 17; 23; 7; 41; 28; 38; 47; 44; 19; 35; 42; 1; 14; 34; 43; 16; 24], [[11; 48]; [27; 26]; [10; 40; 46]; [6; 45]; [21; 37; 39]; [2]; [8]; [9]; [15]; [29; 25]; [49; 4]; [0]; [3]; [32; 18]; [12]; [5]; [30; 22]; [20; 31]; [36; 13]; [33; 17]; [23]; [7]; [41; 28; 38; 47; 44]; [19; 35; 42]; [1]; [14; 34]; [43; 16]; [24]], [7900; 9800; 10000; 9900; 9900; 9800; 9100; 8200; 7300; 9900; 9700; 10000; 9700; 9200; 7600; 9400; 9400; 9000; 9700; 9500; 6300; 9200; 8900; 9800; 9900; 9700; 8300; 6000], 7350, 7351, 0.14078593254089355
3, 28, 0.8251464285714285, [6; 34; 13; 30; 44; 24; 1; 18; 32; 7; 23; 40; 9; 36; 15; 47; 33; 22; 29; 25; 10; 41; 14; 39; 42; 38; 11; 0; 28; 48; 27; 37; 21; 5; 43; 19; 3; 2; 26; 35; 31; 20; 16; 17; 4; 45; 12; 8; 49; 46], [[6]; [34; 13]; [30; 44; 24]; [1]; [18; 32]; [7]; [23; 40]; [9]; [36; 15; 47]; [33; 22]; [29; 25]; [10; 41]; [14; 39; 42]; [38; 11]; [0]; [28; 48; 27]; [37; 21]; [5]; [43; 19]; [3]; [2]; [26; 35]; [31; 20]; [16]; [17]; [4]; [45; 12]; [8; 49; 46]], [9200; 9900; 9800; 9900; 9200; 9200; 7700; 8200; 9800; 8700; 9900; 9400; 9800; 9800; 10000; 9100; 8400; 9400; 7500; 9700; 9800; 7600; 9000; 7300; 7100; 9500; 8300; 9900], 3675, 3676, 0.06317687034606934
3, 28, 0.8259535714285713, [43; 9; 24; 29; 19; 40; 13; 44; 4; 7; 28; 26; 49; 10; 14; 27; 39; 48; 30; 0; 3; 18; 36; 1; 35; 25; 42; 45; 41; 23; 5; 6; 17; 37; 20; 34; 2; 8; 22; 11; 21; 32; 46; 38; 47; 12; 31; 16; 33; 15], [[43; 9]; [24; 29]; [19; 40]; [13; 44]; [4]; [7]; [28; 26; 49]; [10]; [14]; [27; 39; 48; 30]; [0]; [3]; [18; 36]; [1]; [35; 25; 42; 45]; [41; 23]; [5]; [6]; [17; 37]; [20; 34]; [2]; [8]; [22]; [11]; [21; 32; 46]; [38; 47; 12]; [31; 16]; [33; 15]], [9200; 10000; 7900; 8200; 9500; 9200; 9900; 8000; 7300; 9300; 10000; 9700; 9000; 9900; 9900; 7700; 9400; 9200; 9200; 8900; 9800; 9100; 6300; 7700; 9300; 10000; 9800; 9700], 3675, 3676, 0.09465360641479492
4, 28, 0.833432142857143, [26; 27; 28; 14; 33; 2; 0; 13; 45; 32; 23; 44; 31; 15; 24; 29; 38; 25; 6; 19; 9; 49; 39; 16; 40; 11; 43; 46; 21; 34; 42; 1; 47; 7; 36; 12; 41; 10; 20; 30; 22; 3; 5; 35; 17; 4; 8; 48; 37; 18], [[26; 27]; [28]; [14; 33]; [2]; [0]; [13; 45]; [32; 23; 44]; [31; 15]; [24; 29]; [38; 25]; [6]; [19]; [9; 49; 39]; [16; 40]; [11; 43; 46]; [21; 34; 42]; [1]; [47; 7]; [36; 12]; [41; 10]; [20; 30]; [22]; [3]; [5]; [35; 17]; [4]; [8; 48]; [37; 18]], [9800; 4400; 9700; 9800; 10000; 8200; 9400; 9800; 10000; 8000; 9200; 6500; 9900; 8700; 9300; 9700; 9900; 9500; 9800; 9400; 9600; 6300; 9700; 9400; 9400; 9500; 9300; 8900], 4900, 4901, 0.09379005432128906
3, 28, 0.8262392857142858, [6; 21; 30; 22; 36; 34; 17; 19; 33; 3; 7; 13; 35; 5; 12; 48; 45; 9; 24; 29; 8; 1; 4; 28; 27; 46; 16; 2; 0; 39; 38; 23; 41; 18; 31; 42; 20; 15; 40; 11; 49; 25; 37; 43; 32; 14; 44; 10; 26; 47], [[6]; [21; 30]; [22; 36]; [34; 17]; [19; 33]; [3]; [7]; [13; 35]; [5]; [12; 48; 45]; [9]; [24; 29]; [8]; [1]; [4]; [28; 27; 46]; [16]; [2]; [0]; [39; 38; 23]; [41; 18]; [31; 42; 20]; [15; 40]; [11; 49]; [25; 37; 43]; [32; 14]; [44; 10]; [26; 47]], [9200; 9400; 8500; 9500; 8900; 9700; 9200; 9800; 9400; 8500; 8200; 10000; 9100; 9900; 9500; 9500; 7300; 9800; 10000; 9900; 8200; 10000; 8700; 7900; 9000; 9700; 8700; 5600], 3675, 3676, 0.07649421691894531
