Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 33, 0.7896545454545454, [28; 31; 34; 27; 39; 19; 38; 21; 1; 7; 18; 9; 23; 10; 32; 35; 42; 14; 16; 41; 49; 13; 48; 40; 15; 11; 2; 4; 3; 45; 17; 46; 12; 25; 44; 8; 29; 36; 20; 26; 37; 5; 24; 0; 6; 33; 30; 22; 47; 43], [[28]; [31; 34]; [27; 39]; [19]; [38; 21]; [1]; [7]; [18]; [9]; [23]; [10]; [32; 35]; [42; 14]; [16; 41; 49]; [13; 48]; [40; 15]; [11]; [2]; [4]; [3]; [45; 17]; [46; 12]; [25; 44]; [8]; [29; 36]; [20]; [26; 37]; [5]; [24]; [0]; [6]; [33; 30]; [22; 47; 43]], [5500; 9800; 9200; 6400; 9900; 9900; 9200; 6400; 8700; 5900; 8500; 9600; 10000; 10000; 8900; 10000; 8500; 9800; 9500; 9600; 8700; 9900; 7900; 8900; 9200; 6300; 9600; 9300; 5700; 9900; 9200; 10000; 9700], 8575, 8576, 0.18166255950927734
8, 33, 0.7877696969696971, [8; 33; 29; 12; 28; 7; 24; 36; 45; 27; 2; 35; 49; 32; 23; 43; 11; 44; 48; 16; 37; 22; 14; 21; 38; 20; 41; 25; 39; 4; 46; 31; 42; 1; 19; 9; 26; 10; 3; 34; 30; 18; 0; 6; 17; 5; 13; 47; 40; 15], [[8]; [33; 29]; [12]; [28]; [7]; [24; 36]; [45; 27]; [2]; [35; 49; 32]; [23; 43]; [11]; [44; 48; 16]; [37; 22]; [14]; [21; 38]; [20; 41]; [25; 39]; [4]; [46; 31; 42]; [1]; [19]; [9]; [26]; [10]; [3]; [34; 30]; [18]; [0]; [6]; [17]; [5]; [13; 47]; [40; 15]], [8900; 10000; 8200; 5500; 9200; 9700; 7400; 9800; 10000; 8100; 8500; 9900; 9800; 7200; 9900; 9100; 9400; 9500; 9600; 9900; 6400; 8700; 5700; 8500; 9600; 9900; 6400; 9900; 9200; 6800; 9300; 9600; 10000], 9800, 9801, 0.18867993354797363
7, 33, 0.7902727272727272, [21; 1; 34; 30; 13; 28; 35; 29; 27; 9; 32; 39; 5; 8; 14; 41; 40; 16; 20; 47; 7; 38; 24; 23; 10; 26; 18; 46; 45; 11; 2; 31; 33; 17; 43; 42; 15; 6; 19; 48; 44; 0; 4; 12; 36; 22; 3; 25; 49; 37], [[21]; [1]; [34; 30]; [13]; [28]; [35; 29]; [27]; [9]; [32; 39]; [5]; [8]; [14; 41]; [40; 16]; [20; 47]; [7]; [38; 24]; [23]; [10]; [26]; [18; 46; 45]; [11]; [2]; [31; 33]; [17; 43]; [42; 15]; [6]; [19; 48; 44]; [0]; [4]; [12]; [36; 22]; [3]; [25; 49; 37]], [6100; 9900; 9900; 8000; 5500; 9900; 5500; 8700; 8600; 9300; 8900; 10000; 9700; 7900; 9200; 9500; 5900; 8500; 5700; 10000; 8500; 9800; 9900; 9000; 9900; 9200; 9500; 9900; 9500; 8200; 9900; 9600; 10000], 8575, 8576, 0.17912888526916504
6, 33, 0.7902000000000001, [4; 32; 31; 7; 19; 44; 37; 23; 35; 20; 3; 39; 26; 12; 47; 41; 16; 6; 0; 1; 43; 49; 21; 34; 29; 40; 17; 5; 38; 27; 13; 11; 10; 2; 9; 14; 48; 45; 15; 46; 30; 33; 18; 25; 28; 24; 42; 22; 36; 8], [[4]; [32; 31]; [7]; [19; 44]; [37; 23]; [35]; [20]; [3]; [39; 26]; [12; 47]; [41; 16]; [6]; [0]; [1]; [43; 49; 21]; [34; 29]; [40; 17]; [5]; [38; 27]; [13]; [11]; [10]; [2]; [9]; [14; 48; 45]; [15; 46]; [30; 33]; [18]; [25]; [28]; [24; 42]; [22; 36]; [8]], [9500; 10000; 9200; 8600; 9800; 4700; 6300; 9600; 9400; 9800; 9600; 9200; 9900; 9900; 8700; 9900; 9700; 9300; 9300; 8000; 8500; 8500; 9800; 8700; 10000; 8800; 10000; 6400; 5700; 5500; 8500; 9900; 8900], 7350, 7351, 0.14057278633117676
5, 33, 0.7893151515151516, [47; 45; 19; 2; 17; 8; 5; 6; 32; 11; 20; 38; 21; 28; 40; 48; 41; 18; 12; 15; 1; 13; 25; 30; 33; 31; 34; 3; 43; 46; 26; 29; 35; 42; 16; 37; 24; 23; 39; 27; 36; 49; 14; 44; 7; 9; 10; 22; 4; 0], [[47; 45; 19]; [2]; [17]; [8]; [5]; [6]; [32]; [11]; [20]; [38; 21]; [28; 40; 48]; [41; 18]; [12]; [15]; [1]; [13]; [25]; [30; 33]; [31; 34]; [3]; [43; 46; 26]; [29; 35]; [42; 16]; [37; 24]; [23; 39]; [27; 36; 49]; [14; 44]; [7]; [9]; [10]; [22]; [4]; [0]], [9900; 9800; 6800; 8900; 9300; 9200; 4900; 8500; 6300; 9900; 9300; 9200; 8200; 7100; 9900; 8000; 5700; 10000; 9800; 9600; 9600; 9900; 9600; 9600; 9600; 9900; 9400; 9200; 8700; 8500; 5900; 9500; 9900], 6125, 6126, 0.12510156631469727
9, 33, 0.794933333333333, [41; 16; 32; 35; 11; 12; 1; 31; 34; 4; 14; 44; 28; 9; 3; 42; 49; 17; 5; 38; 22; 2; 48; 10; 29; 8; 21; 37; 6; 25; 20; 39; 13; 45; 23; 33; 30; 18; 46; 47; 26; 15; 40; 36; 24; 27; 0; 7; 19; 43], [[41; 16]; [32; 35]; [11]; [12]; [1]; [31; 34]; [4]; [14; 44]; [28]; [9]; [3]; [42; 49; 17]; [5]; [38; 22]; [2]; [48; 10]; [29]; [8]; [21; 37]; [6]; [25]; [20; 39]; [13; 45]; [23]; [33; 30]; [18; 46; 47]; [26]; [15; 40]; [36; 24]; [27]; [0]; [7]; [19; 43]], [9600; 9600; 8500; 8200; 9900; 9800; 9500; 9400; 5500; 8700; 9600; 10000; 9300; 9700; 9800; 9400; 5200; 8900; 10000; 9200; 5700; 10000; 9900; 5900; 10000; 9700; 5700; 10000; 9700; 5500; 9900; 9200; 8600], 11025, 11026, 0.21901512145996094
5, 33, 0.7878484848484848, [14; 41; 2; 28; 49; 26; 38; 19; 47; 4; 35; 33; 40; 15; 11; 27; 24; 39; 1; 21; 43; 46; 25; 36; 17; 44; 32; 31; 7; 29; 37; 8; 34; 30; 5; 3; 18; 9; 13; 20; 42; 12; 0; 45; 16; 6; 10; 48; 22; 23], [[14; 41]; [2]; [28; 49]; [26; 38]; [19; 47]; [4]; [35; 33]; [40; 15]; [11]; [27]; [24; 39]; [1]; [21; 43; 46]; [25; 36]; [17; 44]; [32; 31]; [7]; [29; 37]; [8]; [34; 30]; [5]; [3]; [18]; [9]; [13]; [20; 42]; [12]; [0]; [45; 16]; [6]; [10; 48]; [22]; [23]], [10000; 9800; 5900; 9500; 8000; 9500; 9500; 10000; 8500; 5500; 9400; 9900; 10000; 9700; 9000; 10000; 9200; 9100; 8900; 9900; 9300; 9600; 6400; 8700; 8000; 9100; 8200; 9900; 8700; 9200; 9400; 5900; 5900], 6125, 6126, 0.10954689979553223
7, 33, 0.7894060606060606, [6; 42; 14; 28; 7; 3; 17; 41; 4; 11; 12; 46; 22; 37; 20; 10; 30; 34; 5; 16; 18; 27; 39; 36; 25; 29; 33; 24; 2; 38; 23; 19; 0; 44; 43; 32; 31; 35; 9; 26; 40; 48; 45; 13; 47; 21; 1; 49; 8; 15], [[6]; [42; 14]; [28]; [7]; [3]; [17; 41]; [4]; [11]; [12; 46]; [22; 37]; [20]; [10]; [30; 34]; [5]; [16]; [18]; [27; 39]; [36; 25]; [29; 33]; [24]; [2]; [38; 23]; [19]; [0]; [44; 43; 32]; [31; 35]; [9]; [26; 40; 48]; [45; 13]; [47; 21]; [1]; [49; 8]; [15]], [9200; 10000; 5500; 9200; 9600; 9600; 9500; 8500; 9900; 9800; 6300; 8500; 9900; 9300; 6800; 6400; 9200; 9700; 10000; 5700; 9800; 9700; 6400; 9900; 9300; 9800; 8700; 9500; 9900; 7700; 9900; 9300; 7100], 8575, 8576, 0.15710878372192383
6, 33, 0.7901333333333335, [48; 16; 46; 3; 42; 14; 47; 39; 34; 5; 24; 26; 29; 35; 11; 1; 6; 49; 7; 15; 9; 18; 40; 45; 13; 20; 19; 32; 31; 17; 10; 22; 12; 4; 41; 28; 38; 21; 2; 30; 33; 23; 36; 37; 25; 8; 44; 27; 43; 0], [[48; 16; 46]; [3]; [42; 14]; [47; 39; 34]; [5]; [24]; [26]; [29; 35]; [11]; [1]; [6; 49]; [7]; [15]; [9]; [18; 40]; [45; 13]; [20]; [19]; [32; 31]; [17]; [10]; [22]; [12]; [4]; [41; 28]; [38; 21]; [2]; [30; 33]; [23; 36]; [37; 25]; [8]; [44; 27; 43]; [0]], [9400; 9600; 10000; 10000; 9300; 5700; 5700; 9900; 8500; 9900; 9600; 9200; 7100; 8700; 9300; 9900; 6300; 6400; 10000; 6800; 8500; 5900; 8200; 9500; 8300; 9900; 9800; 10000; 9900; 9600; 8900; 9900; 9900], 7350, 7351, 0.1407160758972168
7, 33, 0.7899030303030303, [36; 26; 35; 29; 47; 16; 21; 38; 13; 15; 8; 20; 9; 23; 44; 39; 22; 7; 4; 14; 41; 43; 48; 19; 24; 37; 25; 2; 5; 46; 12; 0; 34; 31; 27; 10; 40; 32; 45; 1; 6; 18; 30; 33; 49; 3; 42; 17; 28; 11], [[36; 26]; [35; 29]; [47; 16]; [21; 38]; [13]; [15]; [8]; [20]; [9]; [23; 44]; [39; 22]; [7]; [4]; [14; 41]; [43; 48; 19]; [24; 37]; [25]; [2]; [5]; [46; 12]; [0]; [34; 31]; [27]; [10]; [40; 32; 45]; [1]; [6]; [18]; [30; 33]; [49; 3]; [42; 17]; [28]; [11]], [9700; 9900; 8400; 9900; 8000; 7100; 8900; 6300; 8700; 8100; 9600; 9200; 9500; 10000; 9500; 9600; 5700; 9800; 9300; 9900; 9900; 9800; 5500; 8500; 9700; 9900; 9200; 6400; 10000; 10000; 9600; 5500; 8500], 8575, 8576, 0.17225956916809082
