Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 33, 0.8493545454545455, [11; 13; 2; 46; 18; 15; 24; 39; 5; 26; 37; 3; 17; 43; 34; 38; 9; 1; 32; 33; 40; 23; 22; 42; 8; 4; 47; 30; 45; 29; 35; 44; 25; 0; 10; 36; 27; 7; 28; 31; 14; 16; 6; 12; 48; 20; 19; 49; 41; 21], [[11]; [13]; [2]; [46; 18]; [15]; [24; 39]; [5]; [26; 37]; [3]; [17; 43]; [34; 38]; [9]; [1]; [32; 33]; [40; 23]; [22; 42]; [8]; [4]; [47; 30; 45]; [29; 35]; [44; 25]; [0]; [10]; [36; 27]; [7]; [28; 31]; [14]; [16]; [6]; [12]; [48; 20]; [19; 49]; [41; 21]], [8500; 8300; 9800; 9700; 8100; 10000; 9300; 10000; 9700; 9900; 7900; 8900; 9900; 8800; 10000; 9500; 8900; 9400; 9500; 9000; 8900; 10000; 8500; 9800; 8900; 9900; 8100; 7800; 9100; 8400; 9400; 9400; 10000], 14700, 14701, 0.28162288665771484
13, 33, 0.8512636363636363, [28; 31; 36; 39; 45; 9; 24; 40; 3; 16; 48; 41; 23; 18; 42; 29; 30; 25; 32; 33; 21; 49; 6; 8; 12; 7; 26; 37; 11; 38; 34; 14; 13; 5; 10; 27; 35; 47; 17; 1; 43; 20; 2; 15; 0; 22; 44; 4; 19; 46], [[28; 31]; [36; 39; 45]; [9]; [24; 40]; [3]; [16; 48]; [41; 23]; [18; 42]; [29; 30]; [25]; [32; 33]; [21; 49]; [6]; [8]; [12]; [7]; [26; 37]; [11]; [38; 34]; [14]; [13]; [5]; [10]; [27; 35]; [47; 17]; [1]; [43; 20]; [2]; [15]; [0]; [22; 44]; [4]; [19; 46]], [9900; 9900; 8900; 9600; 9700; 9900; 9800; 9900; 9700; 6400; 8800; 9100; 9100; 8900; 8400; 8900; 10000; 8500; 7900; 8100; 8300; 9300; 8500; 10000; 9600; 9900; 9900; 9800; 8100; 10000; 9400; 9400; 9700], 15925, 15926, 0.31293773651123047
11, 33, 0.8512090909090909, [21; 47; 32; 34; 26; 37; 6; 12; 4; 25; 8; 43; 20; 48; 16; 36; 31; 9; 45; 18; 38; 39; 46; 14; 15; 11; 27; 35; 1; 2; 5; 0; 10; 22; 41; 7; 3; 13; 40; 23; 28; 33; 42; 17; 19; 44; 49; 24; 29; 30], [[21; 47]; [32; 34]; [26; 37]; [6]; [12]; [4]; [25]; [8]; [43; 20]; [48; 16]; [36; 31]; [9]; [45; 18]; [38; 39; 46]; [14]; [15]; [11]; [27; 35]; [1]; [2]; [5]; [0]; [10]; [22; 41]; [7]; [3]; [13]; [40; 23]; [28; 33]; [42; 17]; [19; 44]; [49; 24]; [29; 30]], [9300; 8700; 10000; 9100; 8400; 9400; 6400; 8900; 9900; 9900; 8400; 8900; 9700; 9700; 8100; 8100; 8500; 10000; 9900; 9800; 9300; 10000; 8500; 9900; 8900; 9700; 8300; 10000; 9700; 9900; 9800; 8500; 9700], 13475, 13476, 0.2664783000946045
13, 33, 0.8527969696969696, [11; 15; 38; 36; 46; 37; 26; 6; 3; 25; 35; 27; 20; 42; 19; 44; 32; 29; 14; 4; 28; 33; 1; 13; 9; 22; 41; 45; 17; 40; 31; 47; 24; 39; 7; 0; 43; 18; 23; 10; 8; 48; 16; 30; 34; 2; 21; 49; 5; 12], [[11]; [15]; [38; 36; 46]; [37; 26]; [6]; [3]; [25]; [35; 27]; [20; 42]; [19; 44]; [32; 29]; [14]; [4]; [28; 33]; [1]; [13]; [9]; [22; 41]; [45; 17]; [40; 31; 47]; [24; 39]; [7]; [0]; [43; 18]; [23]; [10]; [8]; [48; 16]; [30; 34]; [2]; [21; 49]; [5]; [12]], [8500; 8100; 10000; 10000; 9100; 9700; 6400; 10000; 9900; 9800; 9400; 8100; 9400; 9700; 9900; 8300; 8900; 9900; 9700; 10000; 10000; 8900; 10000; 9900; 6800; 8500; 8900; 9900; 9000; 9800; 9100; 9300; 8400], 15925, 15926, 0.3075826168060303
9, 33, 0.8523545454545455, [0; 27; 35; 44; 22; 21; 10; 46; 38; 36; 20; 42; 1; 9; 13; 39; 25; 30; 29; 12; 7; 37; 26; 14; 43; 40; 34; 32; 31; 3; 24; 6; 5; 4; 47; 17; 41; 23; 33; 28; 15; 49; 18; 8; 45; 19; 2; 16; 48; 11], [[0]; [27; 35]; [44; 22]; [21]; [10]; [46; 38; 36]; [20; 42]; [1]; [9]; [13]; [39; 25]; [30; 29]; [12]; [7]; [37; 26]; [14]; [43; 40; 34]; [32; 31]; [3]; [24]; [6]; [5]; [4]; [47; 17]; [41; 23]; [33; 28]; [15]; [49; 18]; [8]; [45; 19]; [2]; [16; 48]; [11]], [10000; 10000; 9400; 7000; 8500; 10000; 9900; 9900; 8900; 8300; 10000; 9700; 8400; 8900; 10000; 8100; 10000; 9000; 9700; 6400; 9100; 9300; 9400; 9600; 9800; 9700; 8100; 9400; 8900; 9700; 9800; 9900; 8500], 11025, 11026, 0.21887683868408203
10, 33, 0.8488818181818183, [26; 38; 21; 41; 7; 0; 29; 35; 44; 17; 2; 9; 39; 24; 14; 13; 3; 1; 18; 42; 5; 27; 40; 15; 37; 33; 22; 47; 45; 23; 6; 4; 20; 43; 11; 19; 46; 36; 31; 32; 30; 12; 8; 16; 49; 28; 34; 10; 25; 48], [[26; 38]; [21; 41]; [7]; [0]; [29; 35]; [44; 17]; [2]; [9]; [39; 24]; [14]; [13]; [3]; [1]; [18; 42]; [5]; [27; 40]; [15]; [37; 33]; [22; 47]; [45; 23]; [6]; [4]; [20; 43]; [11]; [19; 46]; [36; 31]; [32; 30]; [12]; [8]; [16; 49]; [28; 34]; [10]; [25; 48]], [10000; 10000; 8900; 10000; 9000; 9800; 9800; 8900; 10000; 8100; 8300; 9700; 9900; 9900; 9300; 9100; 8100; 8000; 9200; 9200; 9100; 9400; 9900; 8500; 9700; 8400; 9300; 8400; 8900; 9900; 9600; 8500; 8500], 12250, 12251, 0.23471498489379883
11, 33, 0.8525424242424242, [6; 31; 32; 24; 39; 49; 16; 21; 41; 5; 38; 26; 30; 29; 47; 20; 33; 40; 44; 9; 25; 0; 7; 15; 12; 14; 1; 2; 3; 10; 28; 34; 35; 48; 37; 17; 43; 19; 46; 36; 27; 22; 8; 18; 42; 23; 45; 11; 4; 13], [[6]; [31; 32]; [24; 39]; [49; 16]; [21; 41]; [5]; [38; 26]; [30; 29]; [47; 20]; [33; 40; 44]; [9]; [25]; [0]; [7]; [15]; [12]; [14]; [1]; [2]; [3]; [10]; [28; 34]; [35; 48; 37]; [17; 43]; [19; 46]; [36; 27]; [22]; [8]; [18; 42]; [23; 45]; [11]; [4]; [13]], [9100; 9000; 10000; 9900; 10000; 9300; 10000; 9700; 9600; 10000; 8900; 6400; 10000; 8900; 8100; 8400; 8100; 9900; 9800; 9700; 8500; 9600; 9900; 9900; 9700; 9800; 6900; 8900; 9900; 9200; 8500; 9400; 8300], 13475, 13476, 0.2501213550567627
14, 33, 0.8528818181818183, [4; 12; 10; 15; 39; 25; 47; 17; 46; 21; 19; 42; 28; 31; 40; 23; 6; 11; 14; 30; 29; 9; 3; 45; 18; 5; 22; 0; 20; 44; 32; 36; 8; 43; 33; 41; 1; 26; 37; 24; 7; 27; 35; 13; 48; 16; 38; 49; 34; 2], [[4]; [12]; [10]; [15]; [39; 25]; [47; 17]; [46; 21]; [19; 42]; [28; 31]; [40; 23]; [6]; [11]; [14]; [30; 29]; [9]; [3]; [45; 18]; [5]; [22]; [0]; [20; 44]; [32; 36]; [8]; [43; 33; 41]; [1]; [26; 37]; [24]; [7]; [27; 35]; [13]; [48; 16]; [38; 49; 34]; [2]], [9400; 8400; 8500; 8100; 10000; 9600; 9400; 9900; 9900; 10000; 9100; 8500; 8100; 9700; 8900; 9700; 9700; 9300; 6900; 10000; 9800; 8400; 8900; 9900; 9900; 10000; 6400; 8900; 10000; 8300; 9900; 10000; 9800], 17150, 17151, 0.32653355598449707
9, 33, 0.8489969696969698, [7; 2; 9; 17; 42; 3; 30; 31; 19; 44; 13; 11; 27; 37; 32; 33; 5; 1; 23; 40; 20; 49; 14; 12; 41; 25; 15; 16; 47; 18; 34; 36; 0; 45; 21; 4; 8; 6; 43; 22; 24; 39; 38; 26; 10; 28; 48; 46; 35; 29], [[7]; [2]; [9]; [17; 42]; [3]; [30; 31]; [19; 44]; [13]; [11]; [27; 37]; [32; 33]; [5]; [1]; [23; 40]; [20; 49]; [14]; [12]; [41; 25]; [15]; [16]; [47; 18]; [34; 36]; [0]; [45; 21]; [4]; [8]; [6]; [43; 22]; [24; 39]; [38; 26]; [10]; [28; 48; 46]; [35; 29]], [8900; 9800; 8900; 9900; 9700; 9300; 9800; 8300; 8500; 9600; 8800; 9300; 9900; 10000; 9400; 8100; 8400; 9400; 8100; 7800; 9600; 8100; 10000; 9400; 9400; 8900; 9100; 9500; 10000; 10000; 8500; 9900; 9000], 11025, 11026, 0.21153044700622559
8, 33, 0.8499909090909091, [26; 38; 2; 5; 1; 16; 49; 36; 28; 46; 21; 27; 35; 8; 23; 40; 0; 12; 9; 22; 14; 13; 20; 42; 33; 34; 41; 24; 18; 48; 4; 19; 44; 3; 30; 29; 25; 47; 45; 17; 39; 37; 43; 10; 11; 7; 6; 31; 32; 15], [[26; 38]; [2]; [5]; [1]; [16; 49]; [36; 28]; [46; 21]; [27; 35]; [8]; [23; 40]; [0]; [12]; [9]; [22]; [14]; [13]; [20; 42]; [33; 34]; [41; 24]; [18; 48]; [4]; [19; 44]; [3]; [30; 29]; [25; 47]; [45; 17]; [39; 37; 43]; [10]; [11]; [7]; [6]; [31; 32]; [15]], [10000; 9800; 9300; 9900; 9900; 9300; 9400; 10000; 8900; 10000; 10000; 8400; 8900; 6900; 8100; 8300; 9900; 8500; 9400; 9400; 9400; 9800; 9700; 9700; 8700; 9700; 9900; 8500; 8500; 8900; 9100; 9000; 8100], 9800, 9801, 0.20281171798706055
