Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 33, 0.7840363636363636, [21; 24; 40; 5; 9; 49; 6; 26; 36; 32; 33; 1; 16; 12; 43; 46; 30; 18; 2; 13; 42; 20; 25; 39; 35; 27; 31; 28; 45; 14; 19; 37; 38; 44; 15; 34; 29; 3; 22; 7; 47; 10; 17; 11; 48; 41; 23; 8; 4; 0], [[21]; [24; 40]; [5]; [9; 49]; [6]; [26; 36]; [32; 33]; [1]; [16]; [12]; [43; 46; 30]; [18]; [2]; [13]; [42; 20]; [25; 39]; [35; 27]; [31; 28]; [45; 14]; [19]; [37; 38]; [44; 15]; [34; 29]; [3]; [22]; [7]; [47; 10]; [17]; [11; 48]; [41; 23]; [8]; [4]; [0]], [6400; 10000; 8400; 10000; 8300; 9800; 9200; 9600; 7100; 7600; 10000; 6900; 9500; 7400; 9700; 10000; 9600; 10000; 9800; 6600; 8000; 10000; 9500; 8500; 6400; 8200; 9900; 7100; 9700; 9900; 8100; 8400; 9800], 14700, 14701, 0.30750155448913574
8, 33, 0.7770363636363636, [29; 34; 17; 4; 36; 28; 8; 14; 11; 9; 21; 49; 20; 42; 23; 48; 31; 39; 1; 2; 3; 18; 45; 10; 16; 30; 32; 35; 26; 24; 41; 0; 44; 22; 12; 40; 25; 33; 27; 43; 19; 37; 38; 5; 15; 46; 47; 13; 7; 6], [[29; 34]; [17]; [4]; [36; 28]; [8]; [14]; [11]; [9]; [21; 49]; [20; 42]; [23; 48]; [31; 39]; [1]; [2]; [3]; [18; 45]; [10]; [16]; [30; 32]; [35; 26]; [24; 41]; [0]; [44; 22]; [12]; [40; 25]; [33; 27]; [43; 19]; [37; 38]; [5]; [15; 46]; [47; 13]; [7]; [6]], [9500; 7100; 8400; 9400; 8100; 7200; 7600; 8000; 8400; 9700; 8300; 8800; 9600; 9500; 8500; 9500; 7800; 7100; 9600; 9900; 9800; 9800; 9200; 7600; 9900; 9800; 9600; 8000; 8400; 9300; 9500; 8200; 8300], 9800, 9801, 0.18759918212890625
9, 33, 0.7836787878787879, [7; 26; 35; 2; 19; 43; 29; 34; 3; 5; 11; 42; 21; 33; 32; 4; 28; 31; 20; 41; 23; 9; 49; 14; 0; 38; 25; 12; 22; 15; 18; 37; 47; 40; 39; 30; 44; 17; 10; 48; 24; 1; 45; 13; 8; 27; 36; 46; 16; 6], [[7]; [26; 35]; [2]; [19; 43]; [29; 34]; [3]; [5]; [11]; [42; 21]; [33; 32]; [4]; [28; 31]; [20]; [41; 23]; [9; 49]; [14]; [0]; [38; 25]; [12]; [22]; [15]; [18]; [37; 47; 40]; [39; 30]; [44; 17]; [10; 48]; [24]; [1]; [45; 13]; [8]; [27; 36]; [46; 16]; [6]], [8200; 9900; 9500; 9600; 9500; 8500; 8400; 7600; 9600; 9200; 8400; 10000; 6500; 9900; 10000; 7200; 9800; 10000; 7600; 6400; 7200; 6900; 10000; 8900; 9900; 9900; 6100; 9600; 10000; 8100; 9500; 9200; 8300], 11025, 11026, 0.2187049388885498
7, 33, 0.7800909090909093, [26; 35; 42; 22; 43; 33; 14; 47; 2; 29; 31; 27; 37; 49; 19; 9; 23; 41; 34; 36; 11; 38; 28; 20; 46; 21; 15; 17; 44; 4; 8; 1; 40; 24; 13; 45; 12; 30; 32; 7; 16; 18; 25; 39; 3; 5; 0; 6; 10; 48], [[26; 35]; [42; 22]; [43; 33]; [14; 47]; [2]; [29; 31]; [27; 37]; [49; 19]; [9]; [23; 41]; [34; 36]; [11]; [38; 28]; [20; 46]; [21]; [15]; [17; 44]; [4]; [8]; [1]; [40; 24]; [13; 45]; [12]; [30; 32]; [7]; [16]; [18]; [25; 39]; [3]; [5]; [0]; [6]; [10; 48]], [9900; 9600; 7500; 9300; 9500; 10000; 9300; 8600; 8000; 9900; 8500; 7600; 9200; 8600; 6400; 7200; 9900; 8400; 8100; 9600; 10000; 10000; 7600; 9600; 8200; 7100; 6900; 10000; 8500; 8400; 9800; 8300; 9900], 8575, 8576, 0.15622830390930176
7, 33, 0.7795515151515152, [0; 14; 31; 35; 3; 1; 4; 2; 41; 24; 18; 10; 48; 7; 15; 47; 6; 17; 39; 30; 8; 26; 36; 11; 19; 42; 46; 12; 49; 20; 16; 33; 28; 45; 13; 44; 23; 27; 32; 29; 37; 9; 22; 43; 5; 38; 34; 25; 40; 21], [[0]; [14]; [31; 35]; [3]; [1]; [4]; [2]; [41; 24]; [18]; [10; 48]; [7]; [15; 47]; [6]; [17]; [39; 30]; [8]; [26; 36]; [11]; [19; 42]; [46; 12]; [49; 20]; [16]; [33; 28]; [45; 13]; [44; 23]; [27; 32]; [29; 37]; [9]; [22; 43]; [5]; [38; 34]; [25; 40]; [21]], [9800; 7200; 9100; 8500; 9600; 8400; 9500; 9800; 6900; 9900; 8200; 9300; 8300; 7100; 8900; 8100; 9800; 7600; 9800; 9700; 8500; 7100; 9700; 10000; 9000; 10000; 9200; 8000; 9400; 8400; 8300; 9900; 6400], 8575, 8576, 0.15629863739013672
9, 33, 0.7823454545454549, [37; 25; 0; 33; 28; 5; 47; 15; 46; 32; 42; 48; 14; 22; 3; 45; 13; 7; 16; 8; 38; 30; 31; 29; 11; 1; 24; 40; 19; 18; 2; 9; 4; 6; 36; 34; 44; 17; 21; 39; 26; 12; 35; 27; 49; 10; 41; 23; 43; 20], [[37; 25]; [0]; [33; 28]; [5]; [47; 15]; [46; 32; 42]; [48; 14]; [22]; [3]; [45; 13]; [7]; [16]; [8]; [38; 30]; [31; 29]; [11]; [1]; [24; 40]; [19]; [18]; [2]; [9]; [4]; [6]; [36; 34]; [44; 17]; [21]; [39; 26]; [12]; [35; 27]; [49; 10]; [41; 23]; [43; 20]], [10000; 9800; 9700; 8400; 9300; 10000; 9300; 6400; 8500; 10000; 8200; 7100; 8100; 8900; 10000; 7600; 9600; 10000; 6600; 6900; 9500; 8000; 8400; 8300; 8500; 9900; 6400; 9600; 7600; 9600; 9800; 9900; 9500], 11025, 11026, 0.19564056396484375
9, 33, 0.7828424242424243, [14; 44; 28; 45; 48; 24; 40; 6; 33; 32; 13; 46; 8; 0; 27; 34; 3; 23; 41; 4; 15; 9; 16; 12; 25; 39; 11; 47; 38; 29; 19; 42; 18; 43; 22; 26; 35; 20; 10; 49; 1; 5; 36; 37; 7; 31; 30; 2; 21; 17], [[14; 44]; [28; 45; 48]; [24; 40]; [6]; [33; 32]; [13; 46]; [8]; [0]; [27; 34]; [3]; [23; 41]; [4]; [15]; [9]; [16]; [12]; [25; 39]; [11; 47]; [38; 29]; [19; 42]; [18; 43]; [22]; [26; 35]; [20]; [10; 49]; [1]; [5]; [36; 37]; [7]; [31; 30]; [2]; [21]; [17]], [10000; 9900; 10000; 8300; 9200; 9500; 8100; 9800; 9600; 8500; 9900; 8400; 7200; 8000; 7100; 7600; 10000; 9700; 9200; 9800; 9900; 6400; 9900; 6500; 9800; 9600; 8400; 8200; 8200; 9700; 9500; 6400; 7100], 11025, 11026, 0.22434639930725098
7, 33, 0.7796666666666668, [35; 26; 24; 42; 9; 22; 23; 41; 3; 5; 12; 40; 29; 38; 25; 4; 0; 36; 27; 16; 45; 7; 14; 30; 37; 48; 10; 18; 43; 8; 28; 31; 21; 33; 34; 15; 2; 46; 13; 39; 32; 11; 19; 47; 1; 20; 49; 44; 17; 6], [[35; 26]; [24; 42]; [9]; [22]; [23; 41]; [3]; [5]; [12]; [40; 29]; [38; 25]; [4]; [0]; [36; 27]; [16; 45]; [7]; [14]; [30; 37]; [48; 10]; [18; 43]; [8]; [28; 31]; [21]; [33; 34]; [15]; [2]; [46; 13]; [39; 32]; [11]; [19; 47]; [1]; [20; 49]; [44; 17]; [6]], [9900; 9300; 8000; 6400; 9900; 8500; 8400; 7600; 9100; 10000; 8400; 9800; 9500; 9700; 8200; 7200; 8900; 9900; 9900; 8100; 10000; 6400; 8800; 7200; 9500; 9500; 8700; 7600; 8700; 9600; 8500; 9900; 8300], 8575, 8576, 0.15640664100646973
9, 33, 0.7840787878787879, [37; 25; 3; 36; 30; 26; 39; 1; 2; 17; 33; 31; 15; 45; 14; 48; 5; 4; 43; 18; 6; 0; 42; 19; 28; 7; 12; 9; 49; 21; 32; 34; 16; 8; 22; 27; 35; 20; 44; 13; 46; 40; 24; 29; 38; 11; 10; 47; 41; 23], [[37; 25]; [3]; [36; 30]; [26; 39]; [1]; [2]; [17]; [33; 31]; [15; 45]; [14; 48]; [5]; [4]; [43; 18]; [6]; [0]; [42; 19]; [28]; [7]; [12]; [9; 49]; [21]; [32; 34]; [16]; [8]; [22]; [27; 35]; [20; 44]; [13; 46]; [40; 24]; [29; 38]; [11]; [10; 47]; [41; 23]], [10000; 8500; 9100; 9600; 9600; 9500; 7100; 9300; 9800; 9300; 8400; 8400; 9900; 8300; 9800; 9800; 5200; 8200; 7600; 10000; 6400; 9000; 7100; 8100; 6400; 9600; 9300; 9500; 10000; 9200; 7600; 9900; 9900], 11025, 11026, 0.2031714916229248
11, 33, 0.7848606060606061, [14; 44; 21; 34; 29; 13; 45; 5; 27; 36; 17; 16; 3; 26; 37; 1; 19; 42; 12; 4; 6; 9; 49; 43; 18; 10; 46; 8; 20; 24; 2; 35; 33; 47; 15; 31; 30; 11; 0; 22; 7; 28; 32; 48; 39; 40; 38; 25; 41; 23], [[14; 44]; [21]; [34; 29]; [13; 45]; [5]; [27; 36]; [17]; [16]; [3]; [26; 37]; [1]; [19; 42]; [12]; [4]; [6]; [9; 49]; [43; 18]; [10; 46]; [8]; [20]; [24]; [2]; [35; 33]; [47; 15]; [31; 30]; [11]; [0]; [22]; [7]; [28; 32]; [48; 39; 40]; [38; 25]; [41; 23]], [10000; 6400; 9500; 10000; 8400; 9500; 7100; 7100; 8500; 9600; 9600; 9800; 7600; 8400; 8300; 10000; 9900; 9900; 8100; 6500; 6100; 9500; 8800; 9300; 9700; 7600; 9800; 6400; 8200; 9900; 10000; 10000; 9900], 13475, 13476, 0.25048112869262695
