Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
6, 38, 0.7566052631578947, [34; 36; 21; 24; 45; 33; 42; 18; 35; 41; 39; 32; 46; 25; 19; 48; 6; 4; 12; 10; 49; 30; 29; 38; 37; 43; 1; 0; 9; 23; 47; 17; 8; 13; 27; 11; 14; 26; 5; 3; 22; 40; 31; 15; 7; 20; 28; 44; 2; 16], [[34; 36]; [21]; [24; 45]; [33; 42]; [18]; [35; 41]; [39; 32]; [46; 25]; [19; 48]; [6]; [4]; [12]; [10]; [49; 30]; [29]; [38; 37]; [43]; [1]; [0]; [9]; [23; 47]; [17]; [8]; [13]; [27]; [11]; [14]; [26]; [5]; [3]; [22]; [40; 31]; [15]; [7]; [20]; [28; 44]; [2]; [16]], [9500; 7300; 10000; 9300; 7700; 9000; 9900; 9700; 9800; 9100; 9600; 8300; 8500; 8500; 6200; 8800; 3900; 10000; 10000; 8600; 9600; 7900; 8900; 8300; 6500; 8400; 8200; 6700; 9200; 9700; 7300; 9900; 8100; 9100; 7400; 10000; 10000; 7900], 7350, 7351, 0.15652108192443848
3, 38, 0.753578947368421, [14; 17; 35; 6; 0; 30; 44; 23; 13; 12; 7; 25; 26; 22; 48; 47; 24; 36; 37; 41; 32; 49; 21; 1; 19; 3; 11; 2; 27; 38; 40; 16; 46; 29; 10; 5; 8; 4; 20; 45; 28; 9; 18; 42; 31; 34; 43; 39; 33; 15], [[14]; [17]; [35]; [6]; [0]; [30; 44]; [23]; [13]; [12]; [7]; [25]; [26]; [22; 48]; [47; 24]; [36; 37]; [41; 32]; [49; 21]; [1]; [19]; [3]; [11]; [2]; [27]; [38; 40]; [16]; [46; 29]; [10]; [5]; [8]; [4]; [20]; [45; 28]; [9]; [18]; [42; 31]; [34; 43]; [39; 33]; [15]], [8200; 7900; 4700; 9100; 10000; 9900; 7000; 8300; 8300; 9100; 6700; 6700; 9700; 9400; 8900; 9800; 9600; 10000; 7400; 9700; 8400; 10000; 6500; 8800; 7900; 9200; 8500; 9200; 8900; 9600; 7400; 9500; 8600; 7700; 9600; 8900; 9600; 8100], 3675, 3676, 0.06677079200744629
5, 38, 0.7507052631578947, [40; 36; 1; 4; 46; 26; 30; 12; 21; 32; 44; 3; 7; 16; 15; 38; 41; 0; 37; 42; 23; 10; 20; 27; 47; 35; 34; 14; 8; 28; 11; 49; 18; 22; 6; 5; 17; 33; 39; 2; 9; 45; 25; 48; 29; 31; 43; 13; 24; 19], [[40; 36]; [1]; [4]; [46; 26]; [30]; [12]; [21]; [32; 44]; [3]; [7]; [16]; [15]; [38; 41]; [0]; [37; 42]; [23]; [10]; [20]; [27; 47]; [35; 34]; [14]; [8]; [28]; [11]; [49; 18]; [22]; [6]; [5]; [17]; [33; 39]; [2]; [9]; [45; 25]; [48; 29]; [31; 43]; [13]; [24]; [19]], [8900; 10000; 9600; 9700; 6200; 8300; 7300; 9200; 9700; 9100; 7900; 8100; 8700; 10000; 8500; 7000; 8500; 7400; 9100; 9700; 8200; 8900; 6300; 8400; 10000; 7300; 9100; 9200; 7900; 9600; 10000; 8600; 9900; 8600; 9400; 8300; 6800; 7400], 6125, 6126, 0.12655043601989746
7, 38, 0.7579842105263157, [19; 47; 10; 2; 30; 39; 34; 1; 24; 17; 7; 22; 48; 8; 15; 29; 4; 36; 32; 18; 27; 21; 49; 12; 20; 45; 25; 5; 28; 44; 35; 40; 11; 37; 31; 46; 23; 41; 16; 38; 33; 0; 13; 9; 14; 6; 3; 26; 43; 42], [[19; 47]; [10]; [2]; [30]; [39; 34]; [1]; [24]; [17]; [7]; [22; 48]; [8]; [15]; [29]; [4]; [36; 32]; [18]; [27]; [21; 49]; [12]; [20]; [45; 25]; [5]; [28; 44]; [35; 40]; [11]; [37; 31]; [46; 23]; [41]; [16]; [38; 33]; [0]; [13]; [9]; [14]; [6]; [3]; [26]; [43; 42]], [10000; 8500; 10000; 6200; 9400; 10000; 6800; 7900; 9100; 9700; 8900; 8100; 6200; 9600; 10000; 7700; 6500; 9600; 8300; 7400; 9900; 9200; 10000; 9100; 8400; 9900; 10000; 4300; 7900; 9600; 10000; 8300; 8600; 8200; 9100; 9700; 6700; 8000], 8575, 8576, 0.1766645908355713
6, 38, 0.7570368421052631, [16; 41; 42; 4; 6; 3; 31; 39; 18; 8; 27; 0; 24; 47; 35; 34; 17; 29; 2; 45; 30; 14; 9; 10; 26; 28; 44; 21; 38; 40; 7; 43; 22; 13; 12; 11; 23; 20; 48; 36; 33; 1; 5; 15; 46; 25; 19; 49; 32; 37], [[16]; [41; 42]; [4]; [6]; [3]; [31; 39]; [18]; [8]; [27]; [0]; [24; 47]; [35; 34]; [17]; [29]; [2]; [45; 30]; [14]; [9]; [10]; [26]; [28; 44]; [21]; [38; 40]; [7]; [43]; [22]; [13]; [12]; [11]; [23]; [20; 48]; [36; 33]; [1]; [5]; [15]; [46; 25]; [19; 49]; [32; 37]], [7900; 8400; 9600; 9100; 9700; 9900; 7700; 8900; 6500; 10000; 9400; 9700; 7900; 6200; 10000; 9400; 8200; 8600; 8500; 6700; 10000; 7300; 8800; 9100; 3900; 7300; 8300; 8300; 8400; 7000; 9800; 9700; 10000; 9200; 8100; 9700; 9700; 9900], 7350, 7351, 0.15635204315185547
4, 38, 0.7544842105263158, [8; 17; 1; 31; 39; 13; 2; 4; 42; 33; 26; 27; 47; 16; 6; 9; 36; 43; 29; 19; 24; 20; 12; 7; 32; 37; 21; 48; 14; 46; 23; 5; 28; 44; 11; 34; 3; 10; 41; 40; 25; 38; 35; 15; 45; 30; 18; 49; 0; 22], [[8]; [17]; [1]; [31; 39]; [13]; [2]; [4]; [42; 33]; [26]; [27; 47]; [16]; [6]; [9]; [36; 43]; [29]; [19]; [24]; [20]; [12]; [7]; [32; 37]; [21; 48]; [14]; [46; 23]; [5]; [28; 44]; [11]; [34]; [3]; [10]; [41; 40]; [25]; [38; 35]; [15]; [45; 30]; [18; 49]; [0]; [22]], [8900; 7900; 10000; 9900; 8300; 10000; 9600; 9300; 6700; 9100; 7900; 9100; 8600; 8400; 6200; 7400; 6800; 7400; 8300; 9100; 9900; 9700; 8200; 10000; 9200; 10000; 8400; 5000; 9700; 8500; 8700; 6700; 9100; 8100; 9400; 10000; 10000; 7300], 4900, 4901, 0.09378790855407715
4, 38, 0.7517578947368421, [17; 5; 7; 40; 32; 9; 39; 38; 14; 41; 44; 31; 37; 15; 11; 13; 24; 0; 28; 20; 30; 1; 18; 21; 36; 35; 27; 49; 33; 42; 46; 23; 43; 34; 6; 29; 10; 4; 26; 47; 3; 2; 22; 48; 8; 19; 12; 16; 25; 45], [[17]; [5]; [7]; [40; 32]; [9]; [39; 38]; [14]; [41; 44]; [31; 37]; [15]; [11]; [13]; [24]; [0]; [28]; [20]; [30]; [1]; [18]; [21]; [36; 35]; [27; 49]; [33; 42]; [46; 23]; [43; 34]; [6]; [29]; [10]; [4]; [26; 47]; [3]; [2]; [22; 48]; [8]; [19]; [12]; [16]; [25; 45]], [7900; 9200; 9100; 9900; 8600; 8800; 8200; 8000; 9900; 8100; 8400; 8300; 6800; 10000; 6300; 7400; 6200; 10000; 7700; 7300; 9200; 8800; 9300; 10000; 8900; 9100; 6200; 8500; 9600; 9300; 9700; 10000; 9700; 8900; 7400; 8300; 7900; 9900], 4900, 4901, 0.09367752075195312
5, 38, 0.7540736842105262, [8; 44; 28; 25; 26; 29; 10; 5; 9; 12; 13; 15; 43; 38; 22; 6; 11; 0; 47; 19; 41; 32; 49; 18; 3; 16; 34; 36; 24; 46; 17; 7; 30; 35; 37; 40; 31; 39; 33; 4; 45; 48; 42; 21; 14; 2; 1; 20; 27; 23], [[8]; [44; 28]; [25]; [26]; [29]; [10]; [5]; [9]; [12]; [13]; [15]; [43; 38]; [22]; [6]; [11]; [0]; [47; 19]; [41; 32]; [49; 18]; [3]; [16]; [34; 36]; [24; 46]; [17]; [7]; [30]; [35; 37]; [40; 31]; [39; 33]; [4]; [45; 48; 42]; [21]; [14]; [2]; [1]; [20]; [27]; [23]], [8900; 10000; 6700; 6700; 6200; 8500; 9200; 8600; 8300; 8300; 8100; 8300; 7300; 9100; 8400; 10000; 10000; 9800; 10000; 9700; 7900; 9500; 9800; 7900; 9100; 6200; 9100; 9900; 9600; 9600; 9700; 7300; 8200; 10000; 10000; 7400; 6500; 7000], 6125, 6126, 0.12413954734802246
5, 38, 0.7515263157894738, [34; 47; 48; 11; 23; 46; 3; 26; 9; 30; 7; 0; 14; 41; 40; 38; 36; 8; 17; 24; 27; 5; 15; 22; 2; 49; 29; 20; 6; 28; 44; 18; 32; 43; 19; 45; 25; 10; 1; 39; 35; 31; 42; 4; 13; 12; 21; 33; 37; 16], [[34; 47; 48]; [11]; [23; 46]; [3]; [26]; [9]; [30]; [7]; [0]; [14]; [41; 40]; [38; 36]; [8]; [17]; [24]; [27]; [5]; [15]; [22]; [2]; [49; 29]; [20]; [6]; [28; 44]; [18]; [32; 43]; [19]; [45; 25]; [10]; [1]; [39; 35]; [31; 42]; [4]; [13]; [12]; [21]; [33; 37]; [16]], [10000; 8400; 10000; 9700; 6700; 8600; 6200; 9100; 10000; 8200; 8700; 8900; 8900; 7900; 6800; 6500; 9200; 8100; 7300; 10000; 8500; 7400; 9100; 10000; 7700; 9400; 7400; 9900; 8500; 10000; 9100; 9600; 9600; 8300; 8300; 7300; 9600; 7900], 6125, 6126, 0.10952305793762207
7, 38, 0.7538631578947369, [5; 3; 17; 2; 35; 37; 43; 42; 18; 13; 7; 20; 45; 25; 16; 23; 29; 30; 10; 24; 46; 12; 4; 9; 19; 49; 0; 14; 1; 8; 15; 27; 31; 39; 21; 36; 32; 22; 47; 33; 40; 6; 26; 44; 28; 48; 41; 38; 34; 11], [[5]; [3]; [17]; [2]; [35; 37]; [43; 42]; [18]; [13]; [7]; [20]; [45; 25]; [16]; [23]; [29]; [30]; [10]; [24; 46]; [12]; [4]; [9]; [19; 49]; [0]; [14]; [1]; [8]; [15]; [27]; [31; 39]; [21]; [36; 32]; [22; 47]; [33; 40]; [6]; [26]; [44; 28]; [48; 41]; [38; 34]; [11]], [9200; 9700; 7900; 10000; 9100; 8000; 7700; 8300; 9100; 7400; 9900; 7900; 7000; 6200; 6200; 8500; 9800; 8300; 9600; 8600; 9700; 10000; 8200; 10000; 8900; 8100; 6500; 9900; 7300; 10000; 9900; 9600; 9100; 6700; 10000; 6700; 9400; 8400], 8575, 8576, 0.17185258865356445
