Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
15, 35, 0.8076257142857145, [45; 21; 9; 36; 29; 40; 30; 48; 23; 13; 19; 47; 32; 33; 46; 24; 28; 38; 35; 31; 12; 14; 44; 22; 3; 10; 49; 2; 11; 17; 20; 43; 0; 18; 4; 15; 1; 5; 16; 6; 39; 26; 8; 27; 37; 7; 41; 34; 42; 25], [[45; 21]; [9]; [36; 29]; [40; 30]; [48; 23]; [13]; [19; 47]; [32; 33]; [46; 24]; [28; 38]; [35; 31]; [12]; [14]; [44; 22]; [3]; [10]; [49]; [2]; [11]; [17]; [20; 43]; [0]; [18]; [4]; [15]; [1]; [5]; [16]; [6]; [39; 26]; [8]; [27; 37]; [7]; [41; 34]; [42; 25]], [9800; 8500; 10000; 9200; 9400; 8000; 10000; 10000; 9500; 9400; 10000; 8400; 8000; 9900; 9200; 8400; 3000; 9300; 8400; 7600; 10000; 9900; 7200; 9100; 7900; 9500; 8900; 7700; 8900; 9700; 8800; 10000; 8800; 8900; 10000], 19600, 19601, 0.36516451835632324
17, 35, 0.8076257142857145, [24; 47; 15; 18; 20; 44; 45; 22; 11; 41; 35; 14; 34; 31; 32; 33; 0; 17; 13; 10; 8; 9; 3; 25; 42; 2; 4; 37; 27; 36; 29; 46; 23; 48; 19; 49; 12; 7; 39; 26; 28; 38; 6; 16; 5; 1; 40; 30; 21; 43], [[24; 47]; [15]; [18]; [20; 44]; [45; 22]; [11]; [41; 35]; [14]; [34; 31]; [32; 33]; [0]; [17]; [13]; [10]; [8]; [9]; [3]; [25; 42]; [2]; [4]; [37; 27]; [36; 29]; [46; 23]; [48; 19]; [49]; [12]; [7]; [39; 26]; [28; 38]; [6]; [16]; [5]; [1]; [40; 30]; [21; 43]], [9400; 7900; 7200; 10000; 9800; 8400; 8900; 8000; 10000; 10000; 9900; 7600; 8000; 8400; 8800; 8500; 9200; 10000; 9300; 9100; 10000; 10000; 9500; 10000; 3000; 8400; 8800; 9700; 9400; 8900; 7700; 8900; 9500; 9200; 9900], 22050, 22051, 0.4215056896209717
17, 35, 0.8076257142857145, [9; 30; 40; 31; 34; 16; 37; 27; 5; 43; 20; 23; 46; 13; 32; 33; 15; 28; 39; 2; 19; 47; 12; 1; 29; 36; 3; 14; 48; 24; 18; 4; 44; 22; 7; 49; 11; 25; 42; 8; 0; 10; 17; 26; 38; 35; 41; 6; 45; 21], [[9]; [30; 40]; [31; 34]; [16]; [37; 27]; [5]; [43; 20]; [23; 46]; [13]; [32; 33]; [15]; [28; 39]; [2]; [19; 47]; [12]; [1]; [29; 36]; [3]; [14]; [48; 24]; [18]; [4]; [44; 22]; [7]; [49]; [11]; [25; 42]; [8]; [0]; [10]; [17]; [26; 38]; [35; 41]; [6]; [45; 21]], [8500; 9200; 10000; 7700; 10000; 8900; 10000; 9500; 8000; 10000; 7900; 9400; 9300; 10000; 8400; 9500; 10000; 9200; 8000; 9400; 7200; 9100; 9900; 8800; 3000; 8400; 10000; 8800; 9900; 8400; 7600; 9700; 8900; 8900; 9800], 22050, 22051, 0.41280627250671387
19, 35, 0.8076257142857145, [5; 23; 48; 15; 35; 41; 26; 38; 17; 4; 16; 27; 37; 8; 45; 21; 14; 2; 11; 3; 29; 36; 12; 9; 31; 34; 10; 43; 22; 24; 46; 33; 32; 47; 19; 39; 28; 7; 44; 20; 18; 30; 42; 6; 0; 25; 40; 49; 1; 13], [[5]; [23; 48]; [15]; [35; 41]; [26; 38]; [17]; [4]; [16]; [27; 37]; [8]; [45; 21]; [14]; [2]; [11]; [3]; [29; 36]; [12]; [9]; [31; 34]; [10]; [43; 22]; [24; 46]; [33; 32]; [47; 19]; [39; 28]; [7]; [44; 20]; [18]; [30; 42]; [6]; [0]; [25; 40]; [49]; [1]; [13]], [8900; 9400; 7900; 8900; 9700; 7600; 9100; 7700; 10000; 8800; 9800; 8000; 9300; 8400; 9200; 10000; 8400; 8500; 10000; 8400; 9900; 9500; 10000; 10000; 9400; 8800; 10000; 7200; 9200; 8900; 9900; 10000; 3000; 9500; 8000], 24500, 24501, 0.46975159645080566
13, 35, 0.8076257142857145, [32; 33; 26; 38; 7; 8; 24; 46; 45; 22; 39; 29; 0; 20; 44; 2; 35; 31; 30; 42; 28; 36; 27; 37; 34; 41; 3; 19; 48; 16; 1; 49; 4; 47; 23; 6; 5; 12; 17; 11; 13; 10; 40; 25; 18; 15; 21; 43; 9; 14], [[32; 33]; [26; 38]; [7]; [8]; [24; 46]; [45; 22]; [39; 29]; [0]; [20; 44]; [2]; [35; 31]; [30; 42]; [28; 36]; [27; 37]; [34; 41]; [3]; [19; 48]; [16]; [1]; [49]; [4]; [47; 23]; [6]; [5]; [12]; [17]; [11]; [13]; [10]; [40; 25]; [18]; [15]; [21; 43]; [9]; [14]], [10000; 9700; 8800; 8800; 9500; 9800; 9400; 9900; 10000; 9300; 10000; 9200; 10000; 10000; 8900; 9200; 10000; 7700; 9500; 3000; 9100; 9400; 8900; 8900; 8400; 7600; 8400; 8000; 8400; 10000; 7200; 7900; 9900; 8500; 8000], 17150, 17151, 0.32944321632385254
17, 35, 0.8076257142857146, [6; 5; 26; 39; 43; 21; 14; 4; 29; 36; 34; 40; 19; 47; 3; 20; 44; 15; 17; 12; 18; 37; 27; 41; 30; 2; 46; 24; 8; 23; 48; 49; 13; 0; 1; 38; 28; 22; 45; 31; 35; 10; 7; 11; 33; 32; 9; 25; 42; 16], [[6]; [5]; [26; 39]; [43; 21]; [14]; [4]; [29; 36]; [34; 40]; [19; 47]; [3]; [20; 44]; [15]; [17]; [12]; [18]; [37; 27]; [41; 30]; [2]; [46; 24]; [8]; [23; 48]; [49]; [13]; [0]; [1]; [38; 28]; [22; 45]; [31; 35]; [10]; [7]; [11]; [33; 32]; [9]; [25; 42]; [16]], [8900; 8900; 9700; 9900; 8000; 9100; 10000; 8900; 10000; 9200; 10000; 7900; 7600; 8400; 7200; 10000; 9200; 9300; 9500; 8800; 9400; 3000; 8000; 9900; 9500; 9400; 9800; 10000; 8400; 8800; 8400; 10000; 8500; 10000; 7700], 22050, 22051, 0.4219386577606201
18, 35, 0.8076257142857145, [11; 0; 10; 4; 14; 44; 20; 26; 37; 24; 46; 25; 42; 49; 1; 2; 45; 21; 31; 34; 41; 30; 15; 27; 38; 40; 35; 32; 33; 36; 28; 12; 5; 7; 48; 23; 16; 18; 47; 19; 8; 13; 9; 6; 43; 22; 3; 29; 39; 17], [[11]; [0]; [10]; [4]; [14]; [44; 20]; [26; 37]; [24; 46]; [25; 42]; [49]; [1]; [2]; [45; 21]; [31; 34]; [41; 30]; [15]; [27; 38]; [40; 35]; [32; 33]; [36; 28]; [12]; [5]; [7]; [48; 23]; [16]; [18]; [47; 19]; [8]; [13]; [9]; [6]; [43; 22]; [3]; [29; 39]; [17]], [8400; 9900; 8400; 9100; 8000; 10000; 10000; 9500; 10000; 3000; 9500; 9300; 9800; 10000; 9200; 7900; 9700; 8900; 10000; 10000; 8400; 8900; 8800; 9400; 7700; 7200; 10000; 8800; 8000; 8500; 8900; 9900; 9200; 9400; 7600], 23275, 23276, 0.5702073574066162
18, 35, 0.8076257142857146, [25; 42; 2; 36; 28; 3; 17; 26; 37; 4; 16; 9; 8; 43; 20; 47; 19; 10; 45; 21; 15; 13; 32; 33; 18; 1; 24; 46; 11; 31; 35; 22; 44; 27; 38; 29; 39; 12; 6; 48; 23; 14; 49; 0; 7; 40; 30; 5; 34; 41], [[25; 42]; [2]; [36; 28]; [3]; [17]; [26; 37]; [4]; [16]; [9]; [8]; [43; 20]; [47; 19]; [10]; [45; 21]; [15]; [13]; [32; 33]; [18]; [1]; [24; 46]; [11]; [31; 35]; [22; 44]; [27; 38]; [29; 39]; [12]; [6]; [48; 23]; [14]; [49]; [0]; [7]; [40; 30]; [5]; [34; 41]], [10000; 9300; 10000; 9200; 7600; 10000; 9100; 7700; 8500; 8800; 10000; 10000; 8400; 9800; 7900; 8000; 10000; 7200; 9500; 9500; 8400; 10000; 9900; 9700; 9400; 8400; 8900; 9400; 8000; 3000; 9900; 8800; 9200; 8900; 8900], 23275, 23276, 0.5114514827728271
13, 35, 0.8076257142857146, [2; 23; 46; 27; 37; 21; 45; 1; 3; 4; 10; 33; 32; 11; 44; 20; 13; 15; 17; 34; 31; 0; 16; 43; 22; 36; 29; 35; 41; 8; 30; 42; 6; 38; 26; 47; 24; 19; 48; 9; 25; 40; 14; 28; 39; 49; 7; 12; 5; 18], [[2]; [23; 46]; [27; 37]; [21; 45]; [1]; [3]; [4]; [10]; [33; 32]; [11]; [44; 20]; [13]; [15]; [17]; [34; 31]; [0]; [16]; [43; 22]; [36; 29]; [35; 41]; [8]; [30; 42]; [6]; [38; 26]; [47; 24]; [19; 48]; [9]; [25; 40]; [14]; [28; 39]; [49]; [7]; [12]; [5]; [18]], [9300; 9500; 10000; 9800; 9500; 9200; 9100; 8400; 10000; 8400; 10000; 8000; 7900; 7600; 10000; 9900; 7700; 9900; 10000; 8900; 8800; 9200; 8900; 9700; 9400; 10000; 8500; 10000; 8000; 9400; 3000; 8800; 8400; 8900; 7200], 17150, 17151, 0.36391735076904297
13, 35, 0.8076257142857144, [30; 42; 26; 39; 36; 29; 18; 14; 11; 5; 13; 43; 21; 49; 15; 40; 35; 17; 9; 6; 12; 0; 1; 48; 24; 31; 34; 2; 7; 33; 32; 27; 37; 3; 28; 38; 22; 45; 25; 41; 10; 44; 20; 23; 46; 8; 4; 47; 19; 16], [[30; 42]; [26; 39]; [36; 29]; [18]; [14]; [11]; [5]; [13]; [43; 21]; [49]; [15]; [40; 35]; [17]; [9]; [6]; [12]; [0]; [1]; [48; 24]; [31; 34]; [2]; [7]; [33; 32]; [27; 37]; [3]; [28; 38]; [22; 45]; [25; 41]; [10]; [44; 20]; [23; 46]; [8]; [4]; [47; 19]; [16]], [9200; 9700; 10000; 7200; 8000; 8400; 8900; 8000; 9900; 3000; 7900; 8900; 7600; 8500; 8900; 8400; 9900; 9500; 9400; 10000; 9300; 8800; 10000; 10000; 9200; 9400; 9800; 10000; 8400; 10000; 9500; 8800; 9100; 10000; 7700], 17150, 17151, 0.35706090927124023
