Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 38, 0.7772710526315789, [10; 18; 0; 37; 36; 34; 42; 1; 46; 35; 2; 17; 45; 28; 25; 47; 13; 41; 32; 20; 4; 19; 29; 40; 9; 16; 33; 38; 14; 27; 22; 49; 21; 43; 7; 6; 39; 31; 30; 44; 12; 23; 48; 26; 11; 15; 24; 3; 5; 8], [[10]; [18]; [0]; [37; 36]; [34; 42]; [1]; [46; 35]; [2]; [17]; [45; 28]; [25; 47]; [13]; [41; 32]; [20]; [4]; [19]; [29; 40]; [9]; [16]; [33; 38]; [14]; [27]; [22; 49]; [21]; [43]; [7]; [6]; [39; 31]; [30; 44]; [12]; [23]; [48; 26]; [11]; [15]; [24]; [3]; [5]; [8]], [9000; 7700; 10000; 10000; 9200; 9700; 8800; 9500; 7800; 9800; 10000; 8300; 9500; 7400; 9500; 7700; 10000; 9100; 7900; 9900; 8200; 6400; 10000; 7100; 3800; 9300; 9400; 9900; 9200; 8700; 6800; 9800; 8900; 7900; 6800; 9500; 9500; 9300], 8575, 8576, 0.18859577178955078
5, 38, 0.7730973684210526, [25; 48; 45; 28; 1; 30; 39; 19; 6; 2; 33; 21; 26; 20; 14; 41; 29; 24; 38; 40; 8; 16; 13; 11; 42; 32; 5; 22; 43; 35; 36; 37; 44; 31; 15; 9; 23; 49; 46; 34; 4; 47; 27; 10; 18; 17; 12; 0; 7; 3], [[25; 48]; [45; 28]; [1]; [30; 39]; [19]; [6]; [2]; [33]; [21]; [26]; [20]; [14]; [41; 29]; [24]; [38; 40]; [8]; [16]; [13]; [11]; [42; 32]; [5]; [22]; [43; 35]; [36; 37]; [44; 31]; [15]; [9]; [23; 49]; [46; 34]; [4]; [47; 27]; [10]; [18]; [17]; [12]; [0]; [7]; [3]], [9800; 9800; 9700; 9900; 7700; 9400; 9500; 5300; 7100; 6500; 7400; 8200; 9900; 6800; 8800; 9300; 7900; 8300; 8900; 9300; 9500; 6900; 8900; 10000; 9200; 7900; 9100; 9900; 9000; 9500; 9900; 9000; 7700; 7800; 8700; 10000; 9300; 9500], 6125, 6126, 0.12754058837890625
5, 38, 0.7703868421052631, [35; 40; 8; 6; 16; 30; 48; 18; 49; 26; 45; 28; 43; 36; 19; 14; 27; 12; 10; 4; 42; 32; 47; 25; 2; 23; 34; 44; 39; 37; 7; 21; 11; 0; 29; 46; 13; 5; 22; 9; 38; 33; 31; 41; 3; 15; 17; 20; 24; 1], [[35; 40]; [8]; [6]; [16]; [30; 48]; [18]; [49; 26]; [45; 28]; [43; 36]; [19]; [14]; [27]; [12]; [10]; [4]; [42; 32]; [47; 25]; [2]; [23]; [34; 44]; [39; 37]; [7]; [21]; [11]; [0]; [29; 46]; [13]; [5]; [22]; [9]; [38; 33]; [31; 41]; [3]; [15]; [17]; [20]; [24]; [1]], [9300; 9300; 9400; 7900; 8800; 7700; 9600; 9800; 8900; 7700; 8200; 6400; 8700; 9000; 9500; 9300; 10000; 9500; 6800; 9000; 9300; 9300; 7100; 8900; 10000; 9500; 8300; 9500; 6900; 9100; 9900; 9600; 9500; 7900; 7800; 7400; 6800; 9700], 6125, 6126, 0.1251218318939209
7, 38, 0.7726763157894736, [33; 40; 1; 0; 26; 47; 19; 25; 41; 29; 3; 31; 39; 17; 13; 6; 27; 16; 15; 14; 10; 24; 20; 35; 42; 5; 18; 45; 34; 23; 37; 36; 12; 11; 4; 48; 44; 9; 2; 28; 46; 49; 22; 43; 30; 32; 38; 21; 7; 8], [[33; 40]; [1]; [0]; [26; 47]; [19]; [25]; [41; 29]; [3]; [31; 39]; [17]; [13]; [6]; [27]; [16]; [15]; [14]; [10]; [24]; [20]; [35; 42]; [5]; [18]; [45; 34]; [23]; [37; 36]; [12]; [11]; [4]; [48; 44]; [9]; [2]; [28; 46]; [49; 22]; [43; 30]; [32; 38]; [21]; [7]; [8]], [9500; 9700; 10000; 10000; 7700; 6500; 9900; 9500; 9900; 7800; 8300; 9400; 6400; 7900; 7900; 8200; 9000; 6800; 7400; 9000; 9500; 7700; 9000; 6800; 10000; 8700; 8900; 9500; 7000; 9100; 9500; 9800; 10000; 9300; 10000; 7100; 9300; 9300], 8575, 8576, 0.1723785400390625
6, 38, 0.7775657894736842, [18; 37; 36; 17; 32; 43; 4; 24; 15; 9; 14; 46; 27; 3; 12; 42; 28; 49; 22; 16; 10; 31; 39; 21; 13; 44; 34; 40; 29; 8; 26; 47; 38; 35; 11; 6; 23; 1; 25; 48; 5; 19; 33; 45; 41; 30; 0; 7; 20; 2], [[18]; [37; 36]; [17]; [32; 43]; [4]; [24]; [15]; [9]; [14]; [46]; [27]; [3]; [12]; [42; 28]; [49; 22]; [16]; [10]; [31; 39]; [21]; [13]; [44; 34]; [40; 29]; [8]; [26; 47]; [38; 35]; [11]; [6]; [23]; [1]; [25; 48]; [5]; [19]; [33; 45]; [41; 30]; [0]; [7]; [20]; [2]], [7700; 10000; 7800; 9200; 9500; 6800; 7900; 9100; 8200; 3700; 6400; 9500; 8700; 10000; 10000; 7900; 9000; 9900; 7100; 8300; 9000; 10000; 9300; 10000; 9700; 8900; 9400; 6800; 9700; 9800; 9500; 7700; 9000; 9600; 10000; 9300; 7400; 9500], 7350, 7351, 0.15653324127197266
7, 38, 0.7729605263157894, [46; 33; 45; 35; 13; 34; 44; 17; 47; 27; 38; 37; 11; 42; 31; 16; 26; 48; 6; 30; 41; 12; 7; 24; 18; 23; 5; 14; 20; 36; 29; 40; 49; 25; 15; 21; 22; 0; 10; 9; 1; 32; 39; 2; 28; 43; 19; 8; 4; 3], [[46; 33]; [45; 35]; [13]; [34; 44]; [17]; [47; 27]; [38; 37]; [11]; [42; 31]; [16]; [26; 48]; [6]; [30; 41]; [12]; [7]; [24]; [18]; [23]; [5]; [14]; [20]; [36]; [29; 40]; [49; 25]; [15]; [21]; [22]; [0]; [10]; [9]; [1]; [32; 39]; [2]; [28; 43]; [19]; [8]; [4]; [3]], [9000; 8800; 8300; 9000; 7800; 9900; 9500; 8900; 9400; 7900; 9800; 9400; 9600; 8700; 9300; 6800; 7700; 6800; 9500; 8200; 7400; 5100; 10000; 9600; 7900; 7100; 6900; 10000; 9000; 9100; 9700; 9800; 9500; 9900; 7700; 9300; 9500; 9500], 8575, 8576, 0.17220497131347656
8, 38, 0.7743815789473685, [17; 6; 49; 23; 0; 25; 39; 32; 43; 45; 28; 44; 24; 15; 5; 2; 22; 8; 7; 12; 27; 47; 14; 9; 3; 11; 31; 42; 21; 37; 35; 29; 41; 20; 16; 40; 30; 19; 33; 38; 48; 26; 46; 34; 36; 13; 4; 18; 1; 10], [[17]; [6]; [49; 23]; [0]; [25]; [39; 32]; [43; 45]; [28; 44]; [24]; [15]; [5]; [2]; [22]; [8]; [7]; [12]; [27; 47]; [14]; [9]; [3]; [11]; [31; 42]; [21]; [37; 35]; [29; 41]; [20]; [16]; [40; 30]; [19]; [33; 38]; [48; 26]; [46; 34]; [36]; [13]; [4]; [18]; [1]; [10]], [7800; 9400; 9900; 10000; 6500; 9800; 7500; 9800; 6800; 7900; 9500; 9500; 6900; 9300; 9300; 8700; 9900; 8200; 9100; 9500; 8900; 9400; 7100; 10000; 9900; 7400; 7900; 9700; 7700; 9900; 9800; 9000; 5100; 8300; 9500; 7700; 9700; 9000], 9800, 9801, 0.22629046440124512
5, 38, 0.7733815789473684, [23; 37; 39; 17; 10; 6; 19; 7; 11; 5; 25; 47; 12; 38; 33; 27; 48; 9; 1; 36; 41; 16; 28; 43; 8; 18; 15; 4; 29; 40; 3; 13; 35; 14; 20; 42; 31; 32; 45; 34; 46; 24; 49; 44; 30; 2; 0; 26; 21; 22], [[23]; [37; 39]; [17]; [10]; [6]; [19]; [7]; [11]; [5]; [25; 47]; [12]; [38; 33]; [27; 48]; [9]; [1]; [36; 41]; [16]; [28; 43]; [8]; [18]; [15]; [4]; [29; 40]; [3]; [13]; [35]; [14]; [20]; [42; 31]; [32; 45]; [34; 46]; [24; 49]; [44; 30]; [2]; [0]; [26]; [21]; [22]], [6800; 9300; 7800; 9000; 9400; 7700; 9300; 8900; 9500; 10000; 8700; 9900; 9700; 9100; 9700; 9200; 7900; 9900; 9300; 7700; 7900; 9500; 10000; 9500; 8300; 5100; 8200; 7400; 9400; 9100; 9000; 9900; 9200; 9500; 10000; 6500; 7100; 6900], 6125, 6126, 0.12525224685668945
8, 38, 0.7719605263157894, [20; 17; 26; 4; 40; 32; 21; 42; 29; 7; 22; 11; 6; 0; 28; 45; 36; 37; 35; 43; 15; 3; 14; 18; 19; 9; 49; 24; 38; 34; 30; 39; 44; 46; 25; 5; 23; 13; 12; 27; 47; 2; 31; 41; 1; 8; 48; 33; 16; 10], [[20]; [17]; [26]; [4]; [40; 32]; [21]; [42; 29]; [7]; [22]; [11]; [6]; [0]; [28; 45]; [36; 37]; [35; 43]; [15]; [3]; [14]; [18]; [19]; [9]; [49; 24]; [38; 34]; [30; 39]; [44; 46]; [25]; [5]; [23]; [13]; [12]; [27; 47]; [2]; [31; 41]; [1]; [8]; [48; 33]; [16]; [10]], [7400; 7800; 6500; 9500; 9600; 7100; 9700; 9300; 6900; 8900; 9400; 10000; 9800; 10000; 8900; 7900; 9500; 8200; 7700; 7700; 9100; 9900; 9900; 9900; 7400; 6500; 9500; 6800; 8300; 8700; 9900; 9500; 9600; 9700; 9300; 8600; 7900; 9000], 9800, 9801, 0.19379711151123047
8, 38, 0.7721236842105262, [22; 49; 12; 19; 0; 17; 37; 36; 8; 7; 41; 45; 9; 24; 16; 13; 10; 11; 35; 46; 27; 29; 40; 4; 5; 44; 30; 23; 15; 43; 33; 26; 20; 42; 28; 14; 48; 34; 47; 25; 18; 1; 38; 32; 31; 39; 21; 3; 6; 2], [[22; 49]; [12]; [19]; [0]; [17]; [37; 36]; [8]; [7]; [41; 45]; [9]; [24]; [16]; [13]; [10]; [11]; [35; 46]; [27]; [29; 40]; [4]; [5]; [44; 30]; [23]; [15]; [43; 33]; [26]; [20]; [42; 28]; [14]; [48; 34]; [47; 25]; [18]; [1]; [38; 32]; [31; 39]; [21]; [3]; [6]; [2]], [10000; 8700; 7700; 10000; 7800; 10000; 9300; 9300; 7800; 9100; 6800; 7900; 8300; 9000; 8900; 8800; 6400; 10000; 9500; 9500; 9200; 6800; 7900; 9100; 6500; 7400; 10000; 8200; 8600; 10000; 7700; 9700; 10000; 9900; 7100; 9500; 9400; 9500], 9800, 9801, 0.18756437301635742
