Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
11, 32, 0.8659125000000001, [31; 29; 10; 1; 0; 15; 49; 12; 14; 2; 8; 6; 22; 37; 28; 34; 4; 21; 39; 18; 47; 45; 19; 36; 25; 5; 41; 20; 35; 30; 13; 16; 46; 27; 33; 3; 32; 26; 7; 43; 48; 42; 17; 44; 9; 11; 24; 38; 23; 40], [[31; 29]; [10]; [1]; [0]; [15; 49]; [12]; [14]; [2]; [8]; [6]; [22; 37]; [28; 34]; [4]; [21; 39]; [18; 47]; [45; 19]; [36; 25]; [5]; [41; 20]; [35; 30]; [13]; [16; 46]; [27; 33]; [3]; [32; 26]; [7]; [43; 48; 42]; [17; 44]; [9]; [11]; [24; 38]; [23; 40]], [9800; 8000; 9800; 9800; 10000; 7900; 7600; 9300; 8500; 8900; 10000; 9700; 9200; 9900; 9600; 9300; 9600; 9100; 10000; 9400; 7800; 9900; 10000; 9300; 10000; 8600; 9800; 9900; 8400; 8000; 9900; 9800], 13475, 13476, 0.2728004455566406
15, 32, 0.86591875, [10; 23; 38; 9; 1; 35; 26; 46; 16; 11; 45; 42; 47; 7; 43; 17; 44; 18; 15; 48; 4; 8; 25; 36; 3; 20; 40; 12; 2; 14; 34; 32; 0; 6; 41; 21; 30; 28; 5; 31; 29; 39; 22; 13; 33; 27; 37; 24; 19; 49], [[10]; [23; 38]; [9]; [1]; [35; 26]; [46; 16]; [11]; [45; 42; 47]; [7]; [43; 17]; [44; 18]; [15; 48]; [4]; [8]; [25; 36]; [3]; [20; 40]; [12]; [2]; [14]; [34; 32]; [0]; [6]; [41; 21]; [30; 28]; [5]; [31; 29]; [39; 22]; [13]; [33; 27]; [37; 24]; [19; 49]], [8000; 9900; 8400; 9800; 9700; 9900; 8000; 9600; 8600; 10000; 9800; 10000; 9200; 8500; 9600; 9300; 10000; 7900; 9300; 7600; 9500; 9800; 8900; 9900; 9900; 9100; 9800; 9900; 7800; 10000; 9900; 9200], 18375, 18376, 0.3653545379638672
12, 32, 0.86603125, [18; 44; 34; 25; 8; 30; 29; 26; 36; 3; 20; 41; 19; 42; 38; 21; 27; 32; 2; 43; 24; 9; 12; 28; 31; 11; 37; 23; 13; 0; 14; 49; 47; 39; 1; 4; 22; 40; 7; 46; 17; 15; 48; 33; 35; 16; 45; 6; 10; 5], [[18; 44]; [34; 25]; [8]; [30; 29]; [26; 36]; [3]; [20; 41]; [19; 42]; [38; 21]; [27; 32]; [2]; [43; 24]; [9]; [12]; [28; 31]; [11]; [37; 23]; [13]; [0]; [14]; [49; 47; 39]; [1]; [4]; [22; 40]; [7]; [46; 17]; [15; 48]; [33; 35]; [16; 45]; [6]; [10]; [5]], [9800; 10000; 8500; 9900; 9500; 9300; 10000; 9700; 10000; 10000; 9300; 9100; 8400; 7900; 9800; 8000; 9900; 7800; 9800; 7600; 10000; 9800; 9200; 9900; 8600; 9800; 10000; 9300; 9900; 8900; 8000; 9100], 14700, 14701, 0.3159675598144531
13, 32, 0.8660999999999999, [26; 33; 30; 34; 13; 6; 17; 44; 46; 16; 32; 36; 40; 20; 43; 18; 9; 27; 31; 14; 4; 39; 24; 8; 25; 35; 1; 0; 12; 22; 37; 42; 19; 29; 28; 48; 47; 45; 49; 15; 2; 3; 5; 41; 23; 7; 10; 21; 38; 11], [[26; 33]; [30; 34]; [13]; [6]; [17; 44]; [46; 16]; [32; 36]; [40; 20]; [43; 18]; [9]; [27; 31]; [14]; [4]; [39; 24]; [8]; [25; 35]; [1]; [0]; [12]; [22; 37]; [42; 19]; [29; 28]; [48; 47; 45]; [49; 15]; [2]; [3]; [5]; [41; 23]; [7]; [10]; [21; 38]; [11]], [10000; 9600; 7800; 8900; 9900; 9900; 9100; 10000; 9900; 8400; 10000; 7600; 9200; 9800; 8500; 9800; 9800; 9800; 7900; 10000; 9700; 10000; 9100; 10000; 9300; 9300; 9100; 9800; 8600; 8000; 10000; 8000], 15925, 15926, 0.2967216968536377
9, 32, 0.86596875, [24; 41; 26; 31; 1; 15; 47; 8; 5; 7; 45; 17; 21; 39; 37; 22; 11; 9; 23; 38; 30; 32; 33; 36; 49; 18; 12; 29; 28; 14; 13; 34; 25; 10; 4; 35; 27; 3; 16; 46; 44; 42; 48; 19; 43; 20; 40; 6; 2; 0], [[24; 41]; [26; 31]; [1]; [15; 47]; [8]; [5]; [7]; [45; 17]; [21; 39]; [37; 22]; [11]; [9]; [23; 38]; [30; 32]; [33; 36]; [49; 18]; [12]; [29; 28]; [14]; [13]; [34; 25]; [10]; [4]; [35; 27]; [3]; [16; 46]; [44; 42; 48]; [19; 43]; [20; 40]; [6]; [2]; [0]], [9800; 10000; 9800; 10000; 8500; 9100; 8600; 9800; 9900; 10000; 8000; 8400; 9900; 9700; 9100; 9600; 7900; 10000; 7600; 7800; 10000; 8000; 9200; 9700; 9300; 9900; 9700; 9500; 10000; 8900; 9300; 9800], 11025, 11026, 0.20229578018188477
12, 32, 0.86598125, [48; 49; 42; 15; 47; 43; 17; 34; 32; 5; 4; 31; 26; 30; 28; 22; 41; 16; 45; 2; 11; 36; 29; 18; 44; 10; 9; 0; 12; 3; 8; 13; 35; 25; 39; 24; 14; 21; 38; 20; 40; 33; 27; 6; 23; 37; 1; 7; 19; 46], [[48; 49; 42]; [15; 47]; [43; 17]; [34; 32]; [5]; [4]; [31; 26]; [30; 28]; [22; 41]; [16; 45]; [2]; [11]; [36; 29]; [18; 44]; [10]; [9]; [0]; [12]; [3]; [8]; [13]; [35; 25]; [39; 24]; [14]; [21; 38]; [20; 40]; [33; 27]; [6]; [23; 37]; [1]; [7]; [19; 46]], [9500; 10000; 10000; 9500; 9100; 9200; 10000; 9900; 9900; 9900; 9300; 8000; 9300; 9800; 8000; 8400; 9800; 7900; 9300; 8500; 7800; 9800; 9800; 7600; 10000; 10000; 10000; 8900; 9900; 9800; 8600; 9300], 14700, 14701, 0.281527042388916
16, 32, 0.8660125, [3; 14; 43; 17; 6; 44; 18; 12; 9; 7; 25; 34; 5; 41; 20; 32; 27; 45; 49; 47; 36; 29; 0; 1; 8; 31; 33; 42; 19; 39; 21; 10; 22; 40; 16; 46; 23; 37; 26; 35; 13; 30; 28; 4; 15; 48; 24; 38; 2; 11], [[3]; [14]; [43; 17]; [6]; [44; 18]; [12]; [9]; [7]; [25; 34]; [5]; [41; 20]; [32; 27]; [45; 49; 47]; [36; 29]; [0]; [1]; [8]; [31; 33]; [42; 19]; [39; 21]; [10]; [22; 40]; [16; 46]; [23; 37]; [26; 35]; [13]; [30; 28]; [4]; [15; 48]; [24; 38]; [2]; [11]], [9300; 7600; 10000; 8900; 9800; 7900; 8400; 8600; 10000; 9100; 10000; 10000; 9100; 9300; 9800; 9800; 8500; 9600; 9700; 9900; 8000; 9900; 9900; 9900; 9700; 7800; 9900; 9200; 10000; 9900; 9300; 8000], 19600, 19601, 0.3710517883300781
12, 32, 0.8660812499999999, [47; 15; 9; 18; 46; 8; 20; 39; 0; 44; 42; 48; 5; 23; 41; 25; 34; 14; 2; 38; 22; 36; 32; 35; 30; 12; 24; 40; 4; 3; 28; 29; 21; 37; 49; 16; 1; 27; 33; 6; 11; 7; 10; 31; 26; 45; 19; 13; 17; 43], [[47; 15]; [9]; [18; 46]; [8]; [20; 39]; [0]; [44; 42; 48]; [5]; [23; 41]; [25; 34]; [14]; [2]; [38; 22]; [36; 32]; [35; 30]; [12]; [24; 40]; [4]; [3]; [28; 29]; [21; 37]; [49; 16]; [1]; [27; 33]; [6]; [11]; [7]; [10]; [31; 26]; [45; 19]; [13]; [17; 43]], [10000; 8400; 9700; 8500; 10000; 9800; 9700; 9100; 9800; 10000; 7600; 9300; 10000; 9100; 9400; 7900; 9800; 9200; 9300; 10000; 10000; 9800; 9800; 10000; 8900; 8000; 8600; 8000; 10000; 9300; 7800; 10000], 14700, 14701, 0.2800610065460205
14, 32, 0.8659000000000001, [37; 24; 5; 31; 32; 30; 33; 27; 34; 10; 4; 1; 2; 39; 20; 40; 23; 3; 0; 14; 7; 12; 25; 35; 43; 42; 48; 47; 19; 29; 28; 9; 21; 41; 11; 13; 8; 46; 17; 6; 16; 45; 38; 22; 18; 44; 36; 26; 15; 49], [[37; 24]; [5]; [31; 32]; [30; 33]; [27; 34]; [10]; [4]; [1]; [2]; [39; 20]; [40; 23]; [3]; [0]; [14]; [7]; [12]; [25; 35]; [43; 42; 48]; [47; 19]; [29; 28]; [9]; [21; 41]; [11]; [13]; [8]; [46; 17]; [6]; [16; 45]; [38; 22]; [18; 44]; [36; 26]; [15; 49]], [9900; 9100; 9600; 9700; 9900; 8000; 9200; 9800; 9300; 10000; 9800; 9300; 9800; 7600; 8600; 7900; 9800; 9800; 9200; 10000; 8400; 9900; 8000; 7800; 8500; 9800; 8900; 9900; 10000; 9800; 9500; 10000], 17150, 17151, 0.3531467914581299
11, 32, 0.86595, [13; 41; 48; 47; 11; 24; 39; 5; 12; 35; 26; 16; 44; 43; 20; 17; 45; 3; 4; 9; 49; 15; 6; 14; 0; 38; 22; 42; 19; 7; 18; 46; 23; 40; 2; 29; 36; 21; 37; 1; 10; 27; 33; 34; 25; 8; 32; 31; 28; 30], [[13]; [41; 48; 47]; [11]; [24; 39]; [5]; [12]; [35; 26]; [16; 44]; [43; 20]; [17; 45]; [3]; [4]; [9]; [49; 15]; [6]; [14]; [0]; [38; 22]; [42; 19]; [7]; [18; 46]; [23; 40]; [2]; [29; 36]; [21; 37]; [1]; [10]; [27; 33]; [34; 25]; [8]; [32; 31]; [28; 30]], [7800; 10000; 8000; 9800; 9100; 7900; 9700; 10000; 9300; 9800; 9300; 9200; 8400; 10000; 8900; 7600; 9800; 10000; 9700; 8600; 9700; 9800; 9300; 9300; 10000; 9800; 8000; 10000; 10000; 8500; 9600; 9900], 13475, 13476, 0.2528383731842041
