Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
8, 35, 0.8517685714285714, [9; 25; 43; 40; 28; 44; 24; 15; 22; 47; 1; 8; 36; 35; 48; 23; 3; 45; 21; 18; 5; 49; 26; 0; 6; 2; 13; 39; 31; 14; 41; 29; 33; 34; 16; 7; 4; 37; 32; 19; 38; 30; 46; 20; 27; 42; 10; 17; 11; 12], [[9]; [25; 43]; [40; 28]; [44; 24]; [15]; [22; 47]; [1]; [8]; [36; 35]; [48; 23]; [3]; [45; 21]; [18]; [5]; [49; 26]; [0]; [6]; [2]; [13]; [39; 31]; [14]; [41; 29]; [33; 34]; [16]; [7]; [4]; [37; 32]; [19]; [38; 30]; [46; 20]; [27; 42]; [10]; [17]; [11]; [12]], [9000; 9600; 9900; 9600; 8000; 9900; 9900; 9100; 9800; 9500; 9800; 10000; 7500; 9600; 8900; 10000; 9500; 9800; 8600; 9600; 8100; 9500; 9900; 7900; 9100; 9700; 9900; 6700; 9900; 10000; 9500; 8800; 7600; 8800; 8700], 9800, 9801, 0.19018006324768066
12, 35, 0.8541057142857144, [36; 33; 19; 49; 13; 20; 47; 4; 3; 18; 41; 24; 30; 6; 32; 38; 1; 31; 37; 14; 8; 0; 12; 16; 10; 35; 34; 5; 40; 27; 2; 11; 44; 29; 7; 25; 43; 22; 45; 9; 21; 46; 23; 48; 39; 28; 17; 15; 42; 26], [[36; 33]; [19; 49]; [13]; [20; 47]; [4]; [3]; [18]; [41; 24]; [30]; [6]; [32; 38]; [1]; [31; 37]; [14]; [8]; [0]; [12]; [16]; [10]; [35; 34]; [5]; [40; 27]; [2]; [11]; [44; 29]; [7]; [25; 43]; [22; 45]; [9]; [21; 46]; [23; 48]; [39; 28]; [17]; [15]; [42; 26]], [9900; 9700; 8600; 10000; 9700; 9800; 7500; 9800; 5500; 9500; 9700; 9900; 9900; 8100; 9100; 10000; 8700; 7900; 8800; 9800; 9600; 10000; 9800; 8800; 9300; 9100; 9600; 10000; 9000; 9900; 9500; 10000; 7600; 8000; 9600], 14700, 14701, 0.29741644859313965
11, 35, 0.8535742857142857, [26; 41; 18; 38; 30; 40; 29; 12; 1; 7; 3; 9; 17; 8; 49; 22; 5; 0; 11; 46; 20; 16; 39; 32; 44; 27; 31; 37; 47; 21; 4; 6; 10; 42; 24; 13; 25; 43; 14; 15; 33; 34; 19; 48; 35; 36; 45; 23; 2; 28], [[26; 41]; [18]; [38; 30]; [40; 29]; [12]; [1]; [7]; [3]; [9]; [17]; [8]; [49; 22]; [5]; [0]; [11]; [46; 20]; [16]; [39; 32]; [44; 27]; [31; 37]; [47; 21]; [4]; [6]; [10]; [42; 24]; [13]; [25; 43]; [14]; [15]; [33; 34]; [19; 48]; [35; 36]; [45; 23]; [2]; [28]], [9700; 7500; 9900; 9900; 8700; 9900; 9100; 9800; 9000; 7600; 9100; 9500; 9600; 10000; 8800; 10000; 7900; 9600; 9400; 9900; 9900; 9700; 9500; 8800; 9700; 8600; 9600; 8100; 8000; 9900; 9800; 9800; 9900; 9800; 5700], 13475, 13476, 0.2899210453033447
9, 35, 0.8521171428571429, [41; 25; 7; 48; 19; 11; 36; 33; 18; 8; 13; 43; 26; 40; 31; 24; 49; 47; 20; 21; 30; 38; 14; 34; 35; 44; 29; 9; 0; 10; 42; 27; 5; 45; 22; 2; 4; 3; 17; 32; 37; 23; 46; 12; 39; 28; 1; 15; 16; 6], [[41; 25]; [7]; [48; 19]; [11]; [36; 33]; [18]; [8]; [13]; [43; 26]; [40; 31]; [24; 49]; [47; 20]; [21]; [30; 38]; [14]; [34; 35]; [44; 29]; [9]; [0]; [10]; [42; 27]; [5]; [45; 22]; [2]; [4]; [3]; [17]; [32; 37]; [23; 46]; [12]; [39; 28]; [1]; [15]; [16]; [6]], [9700; 9100; 9800; 8800; 9900; 7500; 9100; 8600; 9600; 9500; 9000; 10000; 6500; 9900; 8100; 9800; 9300; 9000; 10000; 8800; 9500; 9600; 10000; 9800; 9700; 9800; 7600; 9900; 9800; 8700; 10000; 9900; 8000; 7900; 9500], 11025, 11026, 0.2192525863647461
7, 35, 0.851842857142857, [7; 12; 10; 16; 36; 34; 20; 49; 26; 42; 9; 24; 41; 5; 13; 39; 28; 17; 43; 25; 47; 22; 15; 3; 29; 48; 23; 44; 1; 18; 6; 8; 19; 27; 45; 4; 2; 11; 30; 38; 37; 31; 35; 33; 32; 40; 21; 46; 0; 14], [[7]; [12]; [10]; [16]; [36; 34]; [20; 49]; [26; 42]; [9]; [24; 41]; [5]; [13]; [39; 28]; [17]; [43; 25]; [47; 22]; [15]; [3]; [29; 48]; [23; 44]; [1]; [18]; [6]; [8]; [19]; [27; 45]; [4]; [2]; [11]; [30; 38]; [37; 31]; [35; 33]; [32; 40]; [21; 46]; [0]; [14]], [9100; 8700; 8800; 7900; 9800; 9600; 9600; 9000; 9800; 9600; 8600; 10000; 7600; 9600; 9900; 8000; 9800; 8800; 10000; 9900; 7500; 9500; 9100; 6700; 9300; 9700; 9800; 8800; 9900; 9900; 9900; 9500; 9900; 10000; 8100], 8575, 8576, 0.17206740379333496
8, 35, 0.8519971428571429, [2; 3; 38; 32; 7; 18; 1; 35; 36; 24; 41; 15; 4; 37; 31; 33; 34; 46; 29; 16; 43; 26; 6; 0; 9; 20; 48; 5; 21; 14; 23; 47; 12; 8; 25; 44; 17; 22; 45; 13; 30; 40; 42; 27; 39; 28; 49; 19; 11; 10], [[2]; [3]; [38; 32]; [7]; [18]; [1]; [35; 36]; [24; 41]; [15]; [4]; [37; 31]; [33; 34]; [46; 29]; [16]; [43; 26]; [6]; [0]; [9]; [20; 48]; [5]; [21]; [14]; [23; 47]; [12]; [8]; [25; 44]; [17]; [22; 45]; [13]; [30; 40]; [42; 27]; [39; 28]; [49; 19]; [11]; [10]], [9800; 9800; 9700; 9100; 7500; 9900; 9800; 9800; 8000; 9700; 9900; 9900; 9100; 7900; 9600; 9500; 10000; 9000; 9700; 9600; 6500; 8100; 9800; 8700; 9100; 9500; 7600; 10000; 8600; 9700; 9500; 10000; 9700; 8800; 8800], 9800, 9801, 0.20320630073547363
9, 35, 0.8518257142857142, [19; 31; 37; 16; 38; 32; 49; 22; 6; 13; 15; 42; 27; 5; 12; 10; 1; 30; 41; 14; 18; 9; 3; 4; 23; 44; 0; 8; 39; 29; 17; 46; 20; 28; 40; 21; 45; 7; 2; 11; 43; 24; 47; 25; 26; 48; 33; 36; 34; 35], [[19]; [31; 37]; [16]; [38; 32]; [49; 22]; [6]; [13]; [15]; [42; 27]; [5]; [12]; [10]; [1]; [30; 41]; [14]; [18]; [9]; [3]; [4]; [23; 44]; [0]; [8]; [39; 29]; [17]; [46; 20]; [28; 40]; [21; 45]; [7]; [2]; [11]; [43; 24]; [47; 25]; [26; 48]; [33; 36]; [34; 35]], [6700; 9900; 7900; 9700; 9500; 9500; 8600; 8000; 9500; 9600; 8700; 8800; 9900; 9300; 8100; 7500; 9000; 9800; 9700; 10000; 10000; 9100; 10000; 7600; 10000; 9900; 10000; 9100; 9800; 8800; 9700; 9300; 9000; 9900; 9800], 11025, 11026, 0.21900510787963867
9, 35, 0.8546657142857141, [36; 35; 49; 19; 9; 22; 45; 14; 26; 41; 17; 42; 25; 21; 48; 34; 33; 18; 8; 12; 43; 24; 31; 27; 40; 5; 2; 1; 47; 29; 3; 30; 38; 13; 20; 46; 15; 16; 10; 44; 23; 7; 6; 32; 37; 11; 39; 28; 0; 4], [[36; 35]; [49; 19]; [9]; [22; 45]; [14]; [26; 41]; [17]; [42; 25]; [21; 48]; [34; 33]; [18]; [8]; [12]; [43; 24]; [31]; [27; 40]; [5]; [2]; [1]; [47; 29]; [3]; [30; 38]; [13]; [20; 46]; [15]; [16]; [10]; [44; 23]; [7]; [6]; [32; 37]; [11]; [39; 28]; [0]; [4]], [9800; 9700; 9000; 10000; 8100; 9700; 7600; 9600; 9600; 9900; 7500; 9100; 8700; 9700; 5300; 10000; 9600; 9800; 9900; 9100; 9800; 9900; 8600; 10000; 8000; 7900; 8800; 10000; 9100; 9500; 9900; 8800; 10000; 10000; 9700], 11025, 11026, 0.22640728950500488
12, 35, 0.8531799999999999, [39; 32; 26; 45; 17; 25; 6; 46; 21; 20; 47; 5; 37; 31; 43; 24; 34; 33; 36; 35; 3; 11; 40; 27; 8; 15; 0; 4; 10; 38; 30; 19; 49; 18; 1; 2; 14; 48; 22; 29; 42; 41; 28; 23; 44; 7; 9; 12; 16; 13], [[39; 32]; [26; 45]; [17]; [25]; [6]; [46; 21]; [20; 47]; [5]; [37; 31]; [43; 24]; [34; 33]; [36; 35]; [3]; [11]; [40; 27]; [8]; [15]; [0]; [4]; [10]; [38; 30]; [19; 49]; [18]; [1]; [2]; [14]; [48; 22]; [29; 42]; [41; 28]; [23; 44]; [7]; [9]; [12]; [16]; [13]], [9600; 9400; 7600; 5900; 9500; 9900; 10000; 9600; 9900; 9700; 9900; 9800; 9800; 8800; 10000; 9100; 8000; 10000; 9700; 8800; 9900; 9700; 7500; 9900; 9800; 8100; 9600; 9400; 9500; 10000; 9100; 9000; 8700; 7900; 8600], 14700, 14701, 0.3024618625640869
9, 35, 0.8520428571428571, [38; 30; 43; 32; 25; 48; 29; 41; 6; 42; 26; 4; 46; 22; 14; 12; 24; 49; 2; 1; 39; 28; 7; 5; 8; 9; 18; 17; 27; 40; 16; 10; 20; 47; 45; 21; 19; 15; 31; 37; 0; 11; 13; 35; 34; 3; 36; 33; 44; 23], [[38; 30]; [43; 32]; [25; 48]; [29; 41]; [6]; [42; 26]; [4]; [46; 22]; [14]; [12]; [24; 49]; [2]; [1]; [39; 28]; [7]; [5]; [8]; [9]; [18]; [17]; [27; 40]; [16]; [10]; [20; 47]; [45; 21]; [19]; [15]; [31; 37]; [0]; [11]; [13]; [35; 34]; [3]; [36; 33]; [44; 23]], [9900; 9000; 9000; 9500; 9500; 9600; 9700; 9900; 8100; 8700; 9000; 9800; 9900; 10000; 9100; 9600; 9100; 9000; 7500; 7600; 10000; 7900; 8800; 10000; 10000; 6700; 8000; 9900; 10000; 8800; 8600; 9800; 9800; 9900; 10000], 11025, 11026, 0.21913886070251465
