Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
6, 41, 0.6724146341463415, [9; 21; 48; 4; 29; 38; 39; 34; 44; 2; 27; 47; 40; 41; 23; 42; 37; 14; 12; 49; 24; 6; 8; 3; 20; 11; 31; 25; 28; 22; 5; 45; 35; 30; 19; 10; 33; 13; 7; 43; 16; 32; 1; 17; 15; 36; 46; 0; 26; 18], [[9]; [21; 48]; [4]; [29]; [38; 39]; [34; 44]; [2]; [27; 47]; [40; 41]; [23]; [42; 37]; [14]; [12]; [49; 24]; [6]; [8]; [3]; [20]; [11]; [31]; [25]; [28]; [22]; [5]; [45; 35]; [30]; [19]; [10]; [33]; [13]; [7]; [43]; [16]; [32]; [1]; [17]; [15]; [36; 46]; [0]; [26]; [18]], [8800; 9900; 9300; 6000; 10000; 10000; 9900; 9700; 9700; 6400; 9900; 7500; 7900; 9500; 9100; 8800; 9400; 6900; 8000; 5900; 6300; 6200; 6400; 9200; 9700; 6000; 7100; 8700; 5900; 7700; 8900; 4600; 7300; 5900; 9900; 7100; 7400; 9700; 10000; 6300; 7100], 7350, 7351, 0.1627030372619629
4, 41, 0.6706390243902439, [12; 29; 22; 47; 25; 30; 9; 14; 38; 40; 3; 0; 24; 37; 43; 15; 41; 42; 13; 36; 44; 28; 8; 17; 39; 27; 6; 1; 32; 5; 45; 34; 18; 23; 7; 20; 16; 2; 48; 26; 11; 10; 33; 46; 35; 4; 21; 19; 49; 31], [[12]; [29]; [22; 47]; [25]; [30]; [9]; [14]; [38; 40]; [3]; [0]; [24]; [37; 43]; [15]; [41; 42]; [13]; [36; 44]; [28]; [8]; [17]; [39]; [27]; [6]; [1]; [32]; [5]; [45; 34]; [18]; [23]; [7]; [20]; [16]; [2]; [48; 26]; [11]; [10]; [33]; [46; 35]; [4]; [21]; [19]; [49; 31]], [7900; 6000; 9800; 6300; 6000; 8800; 7500; 10000; 9400; 10000; 6400; 9900; 7400; 9400; 7700; 10000; 6200; 8800; 7100; 4900; 6300; 9100; 9900; 5900; 9200; 9700; 7100; 6400; 8900; 6900; 7300; 9900; 9600; 8000; 8700; 5900; 9700; 9300; 6600; 7100; 9000], 4900, 4901, 0.09937024116516113
5, 41, 0.6696780487804878, [14; 40; 41; 9; 28; 3; 13; 15; 12; 23; 49; 10; 33; 35; 46; 2; 17; 1; 30; 45; 34; 36; 26; 24; 29; 8; 4; 0; 20; 25; 38; 44; 6; 47; 32; 37; 43; 11; 22; 21; 48; 5; 16; 31; 18; 42; 39; 7; 19; 27], [[14]; [40; 41]; [9]; [28]; [3]; [13]; [15]; [12]; [23; 49]; [10]; [33]; [35; 46]; [2]; [17]; [1]; [30]; [45; 34]; [36]; [26]; [24]; [29]; [8]; [4]; [0]; [20]; [25]; [38; 44]; [6]; [47; 32]; [37; 43]; [11]; [22]; [21; 48]; [5]; [16]; [31]; [18]; [42; 39]; [7]; [19]; [27]], [7500; 9700; 8800; 6200; 9400; 7700; 7400; 7900; 9500; 8700; 5900; 9700; 9900; 7100; 9900; 6000; 9700; 5500; 6300; 6400; 6000; 8800; 9300; 10000; 6900; 6300; 9600; 9100; 9300; 9900; 8000; 6400; 9900; 9200; 7300; 5900; 7100; 9500; 8900; 7100; 6300], 6125, 6126, 0.12509393692016602
5, 41, 0.6719317073170732, [34; 46; 32; 21; 1; 48; 27; 5; 42; 12; 19; 31; 18; 4; 22; 49; 35; 45; 37; 43; 14; 29; 10; 3; 20; 2; 40; 41; 23; 25; 24; 0; 11; 13; 33; 9; 6; 15; 44; 36; 30; 17; 7; 28; 8; 47; 26; 38; 39; 16], [[34; 46]; [32]; [21]; [1]; [48; 27]; [5]; [42]; [12]; [19]; [31]; [18]; [4]; [22; 49]; [35; 45]; [37; 43]; [14]; [29]; [10]; [3]; [20]; [2]; [40; 41]; [23]; [25]; [24]; [0]; [11]; [13]; [33]; [9]; [6]; [15]; [44; 36]; [30]; [17]; [7]; [28]; [8]; [47; 26]; [38; 39]; [16]], [9700; 5900; 6600; 9900; 9600; 9200; 4600; 7900; 7100; 5900; 7100; 9300; 9500; 9700; 9900; 7500; 6000; 8700; 9400; 6900; 9900; 9700; 6400; 6300; 6400; 10000; 8000; 7700; 5900; 8800; 9100; 7400; 10000; 6000; 7100; 8900; 6200; 8800; 9700; 10000; 7300], 6125, 6126, 0.12520885467529297
7, 41, 0.6722780487804878, [26; 36; 44; 31; 4; 37; 43; 29; 25; 42; 16; 6; 5; 8; 9; 22; 48; 19; 30; 2; 40; 39; 12; 21; 47; 1; 38; 41; 45; 35; 20; 15; 3; 14; 28; 49; 33; 10; 23; 7; 17; 32; 18; 0; 34; 46; 13; 11; 24; 27], [[26]; [36; 44]; [31]; [4]; [37; 43]; [29]; [25]; [42]; [16]; [6]; [5]; [8]; [9]; [22; 48]; [19]; [30]; [2]; [40; 39]; [12]; [21; 47]; [1]; [38; 41]; [45; 35]; [20]; [15]; [3]; [14]; [28; 49]; [33]; [10]; [23]; [7]; [17]; [32]; [18]; [0]; [34; 46]; [13]; [11]; [24]; [27]], [6300; 10000; 5900; 9300; 9900; 6000; 6300; 4600; 7300; 9100; 9200; 8800; 8800; 9700; 7100; 6000; 9900; 9800; 7900; 10000; 9900; 9900; 9700; 6900; 7400; 9400; 7500; 9300; 5900; 8700; 6400; 8900; 7100; 5900; 7100; 10000; 9700; 7700; 8000; 6400; 6300], 8575, 8576, 0.1720600128173828
6, 41, 0.6718000000000001, [36; 45; 15; 41; 24; 33; 16; 3; 34; 44; 11; 38; 40; 22; 6; 14; 43; 39; 28; 5; 19; 46; 35; 37; 42; 0; 30; 12; 25; 21; 47; 18; 13; 27; 48; 1; 20; 10; 2; 9; 7; 31; 17; 32; 29; 26; 49; 8; 23; 4], [[36; 45]; [15]; [41]; [24]; [33]; [16]; [3]; [34; 44]; [11]; [38; 40]; [22]; [6]; [14]; [43; 39]; [28]; [5]; [19]; [46; 35]; [37; 42]; [0]; [30]; [12]; [25]; [21; 47]; [18]; [13]; [27; 48]; [1]; [20]; [10]; [2]; [9]; [7]; [31]; [17]; [32]; [29]; [26; 49]; [8]; [23]; [4]], [9700; 7400; 4800; 6400; 5900; 7300; 9400; 10000; 8000; 10000; 6400; 9100; 7500; 9500; 6200; 9200; 7100; 9700; 9900; 10000; 6000; 7900; 6300; 10000; 7100; 7700; 9600; 9900; 6900; 8700; 9900; 8800; 8900; 5900; 7100; 5900; 6000; 9400; 8800; 6400; 9300], 7350, 7351, 0.15653777122497559
7, 41, 0.6733268292682928, [7; 18; 16; 9; 46; 34; 6; 22; 47; 14; 30; 3; 25; 17; 33; 4; 48; 21; 40; 39; 5; 43; 37; 12; 27; 23; 11; 26; 2; 28; 15; 44; 36; 29; 19; 10; 0; 49; 20; 8; 13; 31; 41; 38; 35; 45; 32; 42; 24; 1], [[7]; [18]; [16]; [9]; [46; 34]; [6]; [22; 47]; [14]; [30]; [3]; [25]; [17]; [33]; [4]; [48; 21]; [40; 39]; [5]; [43; 37]; [12]; [27]; [23]; [11]; [26]; [2]; [28]; [15]; [44; 36]; [29]; [19]; [10]; [0]; [49; 20]; [8]; [13]; [31]; [41; 38]; [35; 45]; [32]; [42]; [24]; [1]], [8900; 7100; 7300; 8800; 9700; 9100; 9800; 7500; 6000; 9400; 6300; 7100; 5900; 9300; 9900; 9800; 9200; 9900; 7900; 6300; 6400; 8000; 6300; 9900; 6200; 7400; 10000; 6000; 7100; 8700; 10000; 10000; 8800; 7700; 5900; 9900; 9700; 5900; 4600; 6400; 9900], 8575, 8576, 0.17291665077209473
3, 41, 0.6678926829268295, [10; 13; 8; 2; 0; 23; 38; 41; 17; 47; 34; 30; 21; 26; 20; 28; 5; 31; 49; 33; 15; 11; 46; 40; 4; 18; 24; 6; 27; 9; 25; 48; 22; 36; 44; 19; 42; 37; 43; 39; 35; 45; 7; 3; 32; 29; 16; 12; 1; 14], [[10]; [13]; [8]; [2]; [0]; [23]; [38; 41]; [17]; [47; 34]; [30]; [21]; [26]; [20]; [28]; [5]; [31; 49]; [33]; [15]; [11]; [46; 40]; [4]; [18]; [24]; [6]; [27]; [9]; [25; 48]; [22]; [36; 44]; [19]; [42; 37]; [43; 39]; [35; 45]; [7]; [3]; [32]; [29]; [16]; [12]; [1]; [14]], [8700; 7700; 8800; 9900; 10000; 6400; 9900; 7100; 8900; 6000; 6600; 6300; 6900; 6200; 9200; 9000; 5900; 7400; 8000; 9100; 9300; 7100; 6400; 9100; 6300; 8800; 9600; 6400; 10000; 7100; 9900; 9500; 9700; 8900; 9400; 5900; 6000; 7300; 7900; 9900; 7500], 3675, 3676, 0.08776235580444336
5, 41, 0.670448780487805, [14; 17; 45; 36; 16; 26; 34; 46; 20; 7; 30; 0; 33; 12; 41; 39; 13; 24; 29; 49; 3; 31; 8; 35; 44; 38; 2; 5; 23; 4; 10; 11; 37; 42; 1; 40; 43; 28; 47; 15; 22; 21; 48; 19; 18; 6; 27; 25; 9; 32], [[14]; [17]; [45; 36]; [16]; [26]; [34; 46]; [20]; [7]; [30]; [0]; [33]; [12]; [41; 39]; [13]; [24]; [29; 49]; [3]; [31]; [8]; [35; 44]; [38]; [2]; [5]; [23]; [4]; [10]; [11]; [37; 42]; [1]; [40; 43]; [28; 47]; [15]; [22]; [21; 48]; [19]; [18]; [6]; [27]; [25]; [9]; [32]], [7500; 7100; 9700; 7300; 6300; 9700; 6900; 8900; 6000; 10000; 5900; 7900; 9700; 7700; 6400; 9100; 9400; 5900; 8800; 10000; 5100; 9900; 9200; 6400; 9300; 8700; 8000; 9900; 9900; 9500; 9600; 7400; 6400; 9900; 7100; 7100; 9100; 6300; 6300; 8800; 5900], 6125, 6126, 0.1480858325958252
6, 41, 0.6703707317073171, [9; 46; 36; 20; 49; 38; 39; 10; 15; 2; 7; 22; 13; 35; 44; 1; 27; 34; 30; 47; 33; 25; 11; 4; 19; 6; 12; 18; 42; 43; 17; 40; 41; 3; 8; 0; 32; 29; 28; 31; 24; 23; 48; 37; 45; 26; 16; 21; 5; 14], [[9]; [46; 36]; [20; 49]; [38; 39]; [10]; [15]; [2]; [7]; [22]; [13]; [35; 44]; [1]; [27]; [34]; [30; 47]; [33]; [25]; [11]; [4]; [19]; [6]; [12]; [18]; [42; 43]; [17]; [40; 41]; [3]; [8]; [0]; [32]; [29]; [28]; [31]; [24]; [23; 48]; [37; 45]; [26]; [16]; [21]; [5]; [14]], [8800; 9700; 10000; 10000; 8700; 7400; 9900; 8900; 6400; 7700; 10000; 9900; 6300; 5500; 9400; 5900; 6300; 8000; 9300; 7100; 9100; 7900; 7100; 9200; 7100; 9700; 9400; 8800; 10000; 5900; 6000; 6200; 5900; 6400; 9700; 9500; 6300; 7300; 6600; 9200; 7500], 7350, 7351, 0.16376924514770508
