Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 39, 0.7685615384615384, [28; 19; 14; 38; 3; 16; 17; 25; 48; 0; 30; 45; 7; 29; 6; 4; 13; 44; 32; 1; 10; 5; 26; 47; 24; 15; 49; 31; 33; 43; 21; 2; 27; 46; 23; 18; 42; 37; 9; 8; 11; 20; 40; 35; 36; 39; 34; 41; 22; 12], [[28]; [19]; [14]; [38]; [3]; [16]; [17]; [25; 48]; [0]; [30; 45]; [7]; [29]; [6]; [4]; [13]; [44; 32]; [1]; [10]; [5]; [26; 47]; [24]; [15]; [49; 31]; [33; 43]; [21]; [2]; [27; 46]; [23]; [18]; [42; 37]; [9]; [8]; [11]; [20]; [40; 35]; [36; 39]; [34; 41]; [22]; [12]], [6800; 7500; 8200; 4800; 9600; 8200; 8000; 10000; 9900; 9900; 9300; 6600; 9400; 9600; 8400; 9700; 9700; 8600; 9500; 10000; 7000; 8200; 9400; 9900; 7200; 9700; 10000; 7100; 7900; 9000; 9000; 9200; 8500; 7300; 9900; 10000; 9800; 7200; 8500], 8575, 8576, 0.18773603439331055
8, 39, 0.768674358974359, [41; 34; 49; 33; 15; 27; 17; 26; 48; 11; 2; 19; 38; 32; 43; 18; 24; 35; 42; 16; 10; 21; 47; 25; 14; 39; 37; 22; 31; 44; 5; 46; 28; 1; 40; 36; 13; 3; 9; 7; 0; 23; 29; 45; 6; 8; 30; 4; 20; 12], [[41; 34]; [49; 33]; [15]; [27]; [17]; [26; 48]; [11]; [2]; [19]; [38]; [32; 43]; [18]; [24]; [35; 42]; [16]; [10]; [21]; [47; 25]; [14]; [39; 37]; [22]; [31; 44]; [5]; [46; 28]; [1]; [40; 36]; [13]; [3]; [9]; [7]; [0]; [23]; [29; 45]; [6]; [8]; [30]; [4]; [20]; [12]], [9800; 9100; 8200; 6800; 8000; 10000; 8500; 9700; 7500; 4800; 10000; 7900; 7000; 9600; 8200; 8600; 7200; 10000; 8200; 9600; 7200; 9900; 9500; 10000; 9700; 9700; 8400; 9600; 9000; 9300; 9900; 7100; 10000; 9400; 9200; 6500; 9600; 7300; 8500], 9800, 9801, 0.2190532684326172
6, 39, 0.7648897435897435, [24; 26; 49; 47; 31; 0; 4; 33; 46; 18; 27; 5; 25; 48; 2; 45; 29; 38; 41; 42; 34; 11; 1; 15; 19; 17; 3; 8; 10; 36; 40; 28; 12; 14; 16; 22; 43; 32; 30; 23; 37; 39; 7; 13; 6; 21; 20; 9; 35; 44], [[24]; [26; 49]; [47; 31]; [0]; [4]; [33; 46]; [18]; [27]; [5]; [25; 48]; [2]; [45; 29]; [38; 41]; [42; 34]; [11]; [1]; [15]; [19]; [17]; [3]; [8]; [10]; [36; 40]; [28]; [12]; [14]; [16]; [22]; [43; 32]; [30]; [23]; [37; 39]; [7]; [13]; [6]; [21]; [20]; [9]; [35; 44]], [7000; 10000; 9400; 9900; 9600; 9200; 7900; 6800; 9500; 10000; 9700; 10000; 8900; 9800; 8500; 9700; 8200; 7500; 8000; 9600; 9200; 8600; 9700; 6800; 8500; 8200; 8200; 7200; 10000; 6500; 7100; 9600; 9300; 8400; 9400; 7200; 7300; 9000; 9100], 7350, 7351, 0.15635943412780762
8, 39, 0.7649871794871793, [49; 31; 5; 4; 39; 37; 8; 29; 32; 44; 21; 41; 36; 22; 33; 45; 19; 35; 43; 15; 27; 11; 17; 47; 25; 26; 48; 10; 9; 7; 2; 12; 34; 42; 16; 38; 40; 0; 3; 13; 23; 20; 30; 18; 46; 28; 14; 24; 1; 6], [[49; 31]; [5]; [4]; [39; 37]; [8]; [29]; [32; 44]; [21]; [41; 36]; [22]; [33; 45]; [19]; [35; 43]; [15]; [27]; [11]; [17]; [47; 25]; [26; 48]; [10]; [9]; [7]; [2]; [12]; [34; 42]; [16]; [38; 40]; [0]; [3]; [13]; [23]; [20]; [30]; [18]; [46; 28]; [14]; [24]; [1]; [6]], [9400; 9500; 9600; 9600; 9200; 6600; 9700; 7200; 9400; 7200; 9400; 7500; 9400; 8200; 6800; 8500; 8000; 10000; 10000; 8600; 9000; 9300; 9700; 8500; 9800; 8200; 9200; 9900; 9600; 8400; 7100; 7300; 6500; 7900; 10000; 8200; 7000; 9700; 9400], 9800, 9801, 0.20332622528076172
7, 39, 0.7686128205128203, [12; 39; 36; 26; 48; 14; 17; 25; 47; 8; 29; 4; 6; 45; 30; 1; 19; 10; 3; 5; 2; 9; 16; 40; 35; 31; 44; 22; 15; 21; 7; 23; 18; 28; 20; 41; 34; 13; 43; 33; 0; 46; 27; 42; 37; 11; 24; 32; 49; 38], [[12]; [39; 36]; [26; 48]; [14]; [17]; [25; 47]; [8]; [29]; [4]; [6]; [45; 30]; [1]; [19]; [10]; [3]; [5]; [2]; [9]; [16]; [40; 35]; [31; 44]; [22]; [15]; [21]; [7]; [23]; [18]; [28]; [20]; [41; 34]; [13]; [43; 33]; [0]; [46; 27]; [42; 37]; [11]; [24]; [32; 49]; [38]], [8500; 10000; 10000; 8200; 8000; 10000; 9200; 6600; 9600; 9400; 9900; 9700; 7500; 8600; 9600; 9500; 9700; 9000; 8200; 9900; 9900; 7200; 8200; 7200; 9300; 7100; 7900; 6800; 7300; 9800; 8400; 9900; 9900; 10000; 9000; 8500; 7000; 9200; 4800], 8575, 8576, 0.18848085403442383
8, 39, 0.7691974358974358, [24; 16; 37; 21; 29; 45; 25; 49; 48; 27; 23; 28; 1; 41; 38; 31; 44; 19; 8; 32; 39; 36; 0; 47; 26; 40; 35; 2; 9; 15; 20; 4; 17; 13; 14; 6; 33; 43; 11; 22; 46; 30; 10; 7; 12; 42; 34; 18; 3; 5], [[24]; [16]; [37]; [21]; [29; 45]; [25; 49]; [48; 27]; [23]; [28]; [1]; [41; 38]; [31; 44]; [19]; [8]; [32]; [39; 36]; [0]; [47; 26]; [40; 35]; [2]; [9]; [15]; [20]; [4]; [17]; [13]; [14]; [6]; [33; 43]; [11]; [22]; [46; 30]; [10]; [7]; [12]; [42; 34]; [18]; [3]; [5]], [7000; 8200; 4900; 7200; 10000; 10000; 9900; 7100; 6800; 9700; 8900; 9900; 7500; 9200; 6100; 10000; 9900; 10000; 9900; 9700; 9000; 8200; 7300; 9600; 8000; 8400; 8200; 9400; 9900; 8500; 7200; 9700; 8600; 9300; 8500; 9800; 7900; 9600; 9500], 9800, 9801, 0.20305275917053223
6, 39, 0.765746153846154, [33; 8; 4; 11; 29; 13; 16; 3; 10; 34; 43; 19; 40; 36; 45; 32; 18; 14; 7; 9; 49; 28; 48; 30; 21; 22; 6; 44; 31; 12; 42; 38; 25; 2; 24; 20; 47; 26; 1; 5; 39; 37; 23; 15; 27; 46; 0; 41; 35; 17], [[33]; [8]; [4]; [11]; [29]; [13]; [16]; [3]; [10]; [34; 43]; [19]; [40; 36]; [45; 32]; [18]; [14]; [7]; [9]; [49; 28]; [48; 30]; [21]; [22]; [6]; [44; 31]; [12]; [42; 38]; [25]; [2]; [24]; [20]; [47; 26]; [1]; [5]; [39; 37]; [23]; [15]; [27; 46]; [0]; [41; 35]; [17]], [6000; 9200; 9600; 8500; 6600; 8400; 8200; 9600; 8600; 9600; 7500; 9700; 9500; 7900; 8200; 9300; 9000; 9900; 9600; 7200; 7200; 9400; 9900; 8500; 8900; 6900; 9700; 7000; 7300; 10000; 9700; 9500; 9600; 7100; 8200; 10000; 9900; 9600; 8000], 7350, 7351, 0.15650033950805664
8, 39, 0.7676282051282052, [0; 13; 2; 38; 37; 48; 28; 33; 43; 39; 40; 19; 9; 15; 12; 41; 36; 7; 8; 1; 17; 34; 21; 22; 42; 35; 20; 6; 29; 10; 23; 32; 11; 45; 30; 5; 18; 14; 31; 44; 3; 49; 26; 16; 4; 47; 25; 46; 27; 24], [[0]; [13]; [2]; [38; 37]; [48; 28]; [33; 43]; [39; 40]; [19]; [9]; [15]; [12]; [41; 36]; [7]; [8]; [1]; [17]; [34]; [21]; [22]; [42; 35]; [20]; [6]; [29]; [10]; [23]; [32]; [11]; [45; 30]; [5]; [18]; [14]; [31; 44]; [3]; [49; 26]; [16]; [4]; [47; 25]; [46; 27]; [24]], [9900; 8400; 9700; 9700; 9900; 9900; 9100; 7500; 9000; 8200; 8500; 9400; 9300; 9200; 9700; 8000; 5700; 7200; 7200; 9600; 7300; 9400; 6600; 8600; 7100; 6100; 8500; 9900; 9500; 7900; 8200; 9900; 9600; 10000; 8200; 9600; 10000; 10000; 7000], 9800, 9801, 0.20209836959838867
6, 39, 0.7641153846153844, [23; 7; 0; 38; 40; 31; 48; 14; 9; 43; 33; 30; 45; 17; 11; 13; 41; 34; 25; 3; 15; 20; 12; 2; 36; 39; 5; 8; 1; 19; 44; 35; 21; 26; 28; 18; 4; 6; 22; 10; 42; 37; 32; 47; 46; 29; 24; 16; 27; 49], [[23]; [7]; [0]; [38; 40]; [31; 48]; [14]; [9]; [43; 33]; [30; 45]; [17]; [11]; [13]; [41; 34]; [25]; [3]; [15]; [20]; [12]; [2]; [36; 39]; [5]; [8]; [1]; [19]; [44; 35]; [21]; [26]; [28]; [18]; [4]; [6]; [22]; [10]; [42; 37]; [32; 47]; [46; 29]; [24]; [16]; [27; 49]], [7100; 9300; 9900; 9200; 9400; 8200; 9000; 9900; 9900; 8000; 8500; 8400; 9800; 6900; 9600; 8200; 7300; 8500; 9700; 10000; 9500; 9200; 9700; 7500; 9100; 7200; 6900; 6800; 7900; 9600; 9400; 7200; 8600; 9000; 9200; 9800; 7000; 8200; 9900], 7350, 7351, 0.15645527839660645
6, 39, 0.7660230769230767, [1; 8; 7; 20; 4; 23; 41; 35; 29; 46; 44; 31; 11; 40; 36; 33; 6; 38; 39; 12; 17; 5; 10; 9; 19; 0; 48; 27; 37; 42; 24; 25; 47; 14; 43; 34; 45; 32; 21; 22; 26; 49; 13; 15; 3; 28; 16; 2; 30; 18], [[1]; [8]; [7]; [20]; [4]; [23]; [41; 35]; [29; 46]; [44; 31]; [11]; [40; 36]; [33]; [6]; [38; 39]; [12]; [17]; [5]; [10]; [9]; [19]; [0]; [48; 27]; [37; 42]; [24]; [25; 47]; [14]; [43; 34]; [45; 32]; [21]; [22]; [26; 49]; [13]; [15]; [3]; [28]; [16]; [2]; [30]; [18]], [9700; 9200; 9300; 7300; 9600; 7100; 9600; 9800; 9900; 8500; 9700; 6000; 9400; 9500; 8500; 8000; 9500; 8600; 9000; 7500; 9900; 9900; 9000; 7000; 10000; 8200; 9600; 9500; 7200; 7200; 10000; 8400; 8200; 9600; 6800; 8200; 9700; 6500; 7900], 7350, 7351, 0.14217829704284668
