Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
10, 34, 0.820735294117647, [34; 27; 39; 15; 42; 24; 31; 32; 13; 7; 36; 28; 12; 37; 38; 47; 18; 1; 41; 23; 26; 40; 10; 11; 0; 6; 21; 44; 25; 43; 16; 48; 17; 35; 29; 22; 45; 2; 30; 33; 8; 9; 14; 20; 46; 3; 5; 49; 19; 4], [[34]; [27; 39]; [15]; [42; 24]; [31; 32]; [13]; [7]; [36; 28]; [12]; [37; 38]; [47; 18]; [1]; [41; 23]; [26; 40]; [10]; [11]; [0]; [6]; [21; 44]; [25; 43]; [16]; [48; 17]; [35; 29]; [22; 45]; [2]; [30; 33]; [8]; [9]; [14]; [20; 46]; [3]; [5]; [49; 19]; [4]], [4800; 9700; 7400; 9800; 10000; 7400; 8900; 10000; 7900; 8800; 10000; 9400; 10000; 9700; 8400; 8200; 9500; 9000; 10000; 9600; 7000; 10000; 10000; 9400; 9200; 10000; 8900; 8400; 7400; 9800; 9100; 9100; 9700; 9100], 12250, 12251, 0.23974132537841797
8, 34, 0.8178176470588234, [8; 49; 17; 34; 30; 39; 32; 10; 0; 7; 33; 36; 47; 19; 15; 20; 45; 44; 21; 42; 25; 18; 48; 5; 43; 31; 13; 6; 22; 3; 12; 28; 38; 1; 16; 2; 35; 29; 11; 37; 27; 23; 46; 14; 24; 41; 40; 26; 4; 9], [[8]; [49; 17]; [34; 30]; [39; 32]; [10]; [0]; [7]; [33; 36]; [47; 19]; [15]; [20; 45]; [44; 21]; [42; 25]; [18; 48]; [5]; [43; 31]; [13]; [6]; [22]; [3]; [12]; [28; 38]; [1]; [16]; [2]; [35; 29]; [11]; [37; 27]; [23; 46]; [14]; [24; 41]; [40; 26]; [4]; [9]], [8900; 9900; 9900; 9200; 8400; 9500; 8900; 9600; 9900; 7400; 9800; 10000; 9700; 9900; 9100; 9000; 7400; 9000; 5900; 9100; 7900; 9600; 9400; 7000; 9200; 10000; 8200; 10000; 9400; 7400; 9800; 9700; 9100; 8400], 9800, 9801, 0.1878032684326172
10, 34, 0.8189352941176471, [8; 0; 4; 2; 24; 46; 38; 32; 13; 40; 22; 15; 3; 41; 31; 1; 10; 34; 30; 29; 35; 5; 42; 23; 28; 36; 6; 27; 37; 44; 21; 11; 18; 48; 14; 49; 16; 12; 9; 25; 39; 17; 43; 33; 19; 47; 45; 20; 26; 7], [[8]; [0]; [4]; [2]; [24; 46]; [38; 32]; [13]; [40; 22]; [15]; [3]; [41; 31]; [1]; [10]; [34; 30]; [29; 35]; [5]; [42; 23]; [28; 36]; [6]; [27; 37]; [44; 21]; [11]; [18; 48]; [14]; [49; 16]; [12]; [9]; [25; 39]; [17]; [43; 33]; [19; 47]; [45; 20]; [26]; [7]], [8900; 9500; 9100; 9200; 9200; 9300; 7400; 10000; 7400; 9100; 9100; 9400; 8400; 9900; 10000; 9100; 10000; 10000; 9000; 10000; 10000; 8200; 9900; 7400; 10000; 7900; 8400; 9800; 6900; 8900; 9900; 9800; 5600; 8900], 12250, 12251, 0.23463177680969238
10, 34, 0.8160117647058822, [25; 39; 17; 18; 48; 4; 31; 37; 49; 21; 8; 40; 30; 13; 1; 3; 27; 45; 47; 19; 12; 44; 26; 33; 36; 10; 0; 22; 41; 20; 46; 23; 42; 38; 24; 34; 29; 2; 7; 11; 15; 32; 35; 28; 43; 9; 16; 5; 6; 14], [[25; 39]; [17]; [18; 48]; [4]; [31; 37]; [49; 21]; [8]; [40; 30]; [13]; [1]; [3]; [27; 45]; [47; 19]; [12]; [44; 26]; [33; 36]; [10]; [0]; [22; 41]; [20; 46]; [23; 42]; [38; 24]; [34; 29]; [2]; [7]; [11]; [15]; [32; 35]; [28; 43]; [9]; [16]; [5]; [6]; [14]], [9800; 6900; 9900; 9100; 9500; 9200; 8900; 9200; 7400; 9400; 9100; 9000; 9900; 7900; 9400; 9600; 8400; 9500; 10000; 9800; 10000; 10000; 10000; 9200; 8900; 8200; 7400; 9800; 9300; 8400; 7000; 9100; 9000; 7400], 12250, 12251, 0.2594773769378662
10, 34, 0.8166117647058821, [1; 4; 41; 22; 11; 6; 27; 39; 10; 7; 0; 45; 26; 15; 14; 42; 28; 20; 47; 32; 31; 2; 35; 36; 9; 48; 17; 23; 44; 13; 25; 38; 5; 21; 46; 3; 19; 30; 37; 29; 34; 49; 16; 18; 40; 33; 43; 24; 8; 12], [[1]; [4]; [41; 22]; [11]; [6]; [27; 39]; [10]; [7]; [0]; [45; 26]; [15]; [14]; [42; 28]; [20; 47]; [32; 31]; [2]; [35; 36]; [9]; [48; 17]; [23; 44]; [13]; [25; 38]; [5]; [21; 46]; [3]; [19]; [30; 37]; [29; 34]; [49; 16]; [18]; [40; 33]; [43; 24]; [8]; [12]], [9400; 9100; 10000; 8200; 9000; 9700; 8400; 8900; 9500; 9100; 7400; 7400; 9400; 9500; 10000; 9200; 9500; 8400; 10000; 9700; 7400; 9900; 9100; 9700; 9100; 6700; 9600; 10000; 10000; 6800; 9000; 9700; 8900; 7900], 12250, 12251, 0.25478363037109375
9, 34, 0.817270588235294, [8; 6; 40; 22; 37; 42; 45; 27; 13; 48; 19; 20; 35; 33; 41; 24; 9; 14; 10; 28; 43; 49; 17; 5; 47; 18; 26; 39; 4; 23; 44; 25; 38; 12; 7; 11; 15; 21; 46; 29; 36; 31; 32; 16; 3; 0; 2; 30; 34; 1], [[8]; [6]; [40; 22]; [37; 42]; [45; 27]; [13]; [48; 19]; [20]; [35; 33]; [41; 24]; [9]; [14]; [10]; [28; 43]; [49; 17]; [5]; [47; 18]; [26; 39]; [4]; [23; 44]; [25; 38]; [12]; [7]; [11]; [15]; [21; 46]; [29; 36]; [31; 32]; [16]; [3]; [0]; [2]; [30; 34]; [1]], [8900; 9000; 10000; 8600; 9000; 7400; 9800; 6300; 9700; 9800; 8400; 7400; 8400; 9300; 9900; 9100; 10000; 9800; 9100; 9700; 9900; 7900; 8900; 8200; 7400; 9700; 9900; 10000; 7000; 9100; 9500; 9200; 9900; 9400], 11025, 11026, 0.2348926067352295
9, 34, 0.8183529411764705, [12; 16; 14; 31; 32; 30; 37; 21; 44; 1; 20; 45; 7; 28; 36; 25; 43; 13; 2; 22; 42; 47; 46; 49; 24; 38; 6; 8; 3; 5; 10; 23; 40; 41; 27; 15; 4; 17; 18; 48; 0; 9; 35; 33; 26; 39; 11; 29; 34; 19], [[12]; [16]; [14]; [31; 32]; [30; 37]; [21; 44]; [1]; [20; 45]; [7]; [28; 36]; [25; 43]; [13]; [2]; [22; 42]; [47; 46; 49]; [24; 38]; [6]; [8]; [3]; [5]; [10]; [23; 40]; [41; 27]; [15]; [4]; [17]; [18; 48]; [0]; [9]; [35; 33]; [26; 39]; [11]; [29; 34]; [19]], [7900; 7000; 7400; 10000; 9600; 10000; 9400; 9800; 8900; 10000; 9600; 7400; 9200; 10000; 9700; 10000; 9000; 8900; 9100; 9100; 8400; 10000; 9600; 7400; 9100; 6900; 9900; 9500; 8400; 9700; 9800; 8200; 10000; 6700], 11025, 11026, 0.20313525199890137
9, 34, 0.8174882352941174, [32; 31; 12; 40; 23; 27; 37; 49; 16; 1; 8; 47; 18; 33; 35; 25; 38; 9; 5; 36; 30; 7; 43; 22; 0; 26; 39; 21; 44; 17; 34; 42; 4; 11; 46; 28; 41; 29; 2; 3; 20; 10; 6; 48; 19; 45; 24; 13; 14; 15], [[32; 31]; [12]; [40; 23]; [27; 37]; [49; 16]; [1]; [8]; [47; 18]; [33; 35]; [25; 38]; [9]; [5]; [36; 30]; [7]; [43; 22]; [0]; [26; 39]; [21; 44]; [17]; [34; 42]; [4]; [11]; [46; 28]; [41; 29]; [2]; [3]; [20]; [10]; [6]; [48; 19]; [45; 24]; [13]; [14]; [15]], [10000; 7900; 10000; 10000; 10000; 9400; 8900; 10000; 9700; 9900; 8400; 9100; 9800; 8900; 9900; 9500; 9800; 10000; 6900; 8900; 9100; 8200; 8800; 9300; 9200; 9100; 6300; 8400; 9000; 9800; 9200; 7400; 7400; 7400], 11025, 11026, 0.21858882904052734
9, 34, 0.8161705882352941, [36; 32; 45; 26; 0; 38; 24; 15; 17; 25; 43; 16; 35; 29; 42; 27; 12; 11; 1; 3; 31; 33; 6; 40; 37; 20; 48; 7; 9; 4; 10; 21; 44; 8; 19; 47; 2; 28; 39; 5; 49; 18; 46; 23; 30; 34; 14; 22; 41; 13], [[36; 32]; [45; 26]; [0]; [38; 24]; [15]; [17]; [25; 43]; [16]; [35; 29]; [42; 27]; [12]; [11]; [1]; [3]; [31; 33]; [6]; [40; 37]; [20; 48]; [7]; [9]; [4]; [10]; [21; 44]; [8]; [19; 47]; [2]; [28; 39]; [5]; [49; 18]; [46; 23]; [30; 34]; [14]; [22; 41]; [13]], [9700; 9100; 9500; 10000; 7400; 6900; 9600; 7000; 10000; 9600; 7900; 8200; 9400; 9100; 9900; 9000; 8600; 9400; 8900; 8400; 9100; 8400; 10000; 8900; 9900; 9200; 9500; 9100; 9800; 9400; 9900; 7400; 10000; 7400], 11025, 11026, 0.20383334159851074
10, 34, 0.8212, [45; 20; 21; 44; 4; 14; 43; 22; 47; 18; 15; 39; 33; 16; 49; 7; 31; 32; 12; 46; 24; 6; 38; 25; 26; 41; 36; 30; 10; 13; 29; 35; 34; 5; 0; 1; 3; 17; 48; 28; 42; 8; 40; 23; 2; 9; 11; 19; 27; 37], [[45; 20]; [21; 44]; [4]; [14]; [43; 22]; [47; 18]; [15]; [39; 33]; [16; 49]; [7]; [31; 32]; [12]; [46; 24]; [6]; [38; 25]; [26; 41]; [36; 30]; [10]; [13]; [29; 35]; [34]; [5]; [0]; [1]; [3]; [17; 48]; [28; 42]; [8]; [40; 23]; [2]; [9]; [11]; [19]; [27; 37]], [9800; 10000; 9100; 7400; 9900; 10000; 7400; 9100; 10000; 8900; 10000; 7900; 9200; 9000; 9900; 9700; 9800; 8400; 7400; 10000; 4800; 9100; 9500; 9400; 9100; 10000; 9400; 8900; 10000; 9200; 8400; 8200; 6700; 10000], 12250, 12251, 0.24021530151367188
