Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 38, 0.797878947368421, [6; 9; 24; 30; 45; 37; 1; 22; 16; 10; 28; 42; 3; 20; 13; 17; 40; 32; 18; 5; 33; 39; 12; 21; 23; 19; 41; 31; 4; 26; 48; 15; 7; 2; 29; 43; 44; 34; 0; 49; 25; 27; 46; 8; 47; 38; 11; 35; 36; 14], [[6]; [9]; [24]; [30; 45]; [37]; [1]; [22]; [16]; [10]; [28; 42]; [3]; [20]; [13]; [17]; [40; 32]; [18]; [5]; [33; 39]; [12]; [21]; [23]; [19]; [41; 31]; [4]; [26; 48]; [15]; [7]; [2]; [29; 43]; [44; 34]; [0]; [49; 25]; [27; 46]; [8]; [47; 38]; [11]; [35; 36]; [14]], [9300; 9200; 7000; 9500; 4700; 9900; 7100; 8100; 9200; 10000; 9700; 7500; 8500; 7900; 9900; 7700; 9400; 10000; 9200; 7300; 7000; 7600; 10000; 9500; 10000; 8300; 9300; 9800; 9800; 9500; 10000; 9900; 9900; 9300; 8000; 9200; 9700; 8500], 8575, 8576, 0.1783616542816162
9, 38, 0.7976157894736843, [17; 5; 48; 26; 3; 20; 36; 9; 6; 33; 39; 30; 40; 42; 29; 12; 2; 47; 34; 25; 0; 11; 23; 10; 4; 38; 44; 37; 35; 21; 18; 45; 27; 7; 15; 1; 14; 13; 49; 24; 22; 16; 31; 41; 8; 28; 43; 19; 46; 32], [[17]; [5]; [48; 26]; [3]; [20]; [36]; [9]; [6]; [33; 39]; [30; 40]; [42; 29]; [12]; [2]; [47; 34]; [25]; [0]; [11]; [23]; [10]; [4]; [38; 44]; [37; 35]; [21]; [18]; [45; 27]; [7]; [15]; [1]; [14]; [13]; [49; 24]; [22]; [16]; [31; 41]; [8]; [28; 43]; [19]; [46; 32]], [7900; 9400; 10000; 9700; 7500; 4800; 9200; 9300; 10000; 10000; 10000; 9200; 9800; 9200; 6900; 10000; 9200; 7000; 9200; 9500; 8300; 9600; 7300; 7700; 9900; 9300; 8300; 9900; 8500; 8500; 10000; 7100; 8100; 10000; 9300; 9800; 7600; 9400], 11025, 11026, 0.23494410514831543
7, 38, 0.794057894736842, [23; 15; 24; 21; 14; 3; 8; 19; 33; 42; 6; 22; 25; 49; 12; 36; 35; 5; 7; 0; 26; 47; 28; 18; 17; 4; 11; 44; 37; 20; 13; 2; 43; 29; 9; 30; 41; 27; 48; 1; 40; 34; 38; 45; 16; 39; 32; 46; 31; 10], [[23]; [15]; [24]; [21]; [14]; [3]; [8]; [19]; [33; 42]; [6]; [22]; [25; 49]; [12]; [36; 35]; [5]; [7]; [0]; [26]; [47; 28]; [18]; [17]; [4]; [11]; [44; 37]; [20]; [13]; [2]; [43; 29]; [9]; [30; 41]; [27; 48]; [1]; [40; 34]; [38; 45]; [16]; [39; 32]; [46; 31]; [10]], [7000; 8300; 7000; 7300; 8500; 9700; 9300; 7600; 9800; 9300; 7100; 9900; 9200; 9700; 9400; 9300; 10000; 6600; 9500; 7700; 7900; 9500; 9200; 8500; 7500; 8500; 9800; 9800; 9200; 10000; 9700; 9900; 9800; 8100; 8100; 10000; 9500; 9200], 8575, 8576, 0.16489958763122559
7, 38, 0.7931894736842106, [23; 13; 16; 3; 25; 40; 36; 8; 17; 4; 7; 0; 37; 38; 19; 49; 27; 1; 21; 14; 47; 28; 45; 35; 39; 34; 11; 24; 29; 44; 2; 41; 33; 15; 20; 42; 31; 10; 12; 48; 26; 46; 30; 9; 6; 18; 32; 43; 22; 5], [[23]; [13]; [16]; [3]; [25]; [40; 36]; [8]; [17]; [4]; [7]; [0]; [37; 38]; [19]; [49; 27]; [1]; [21]; [14]; [47; 28]; [45; 35]; [39; 34]; [11]; [24]; [29; 44]; [2]; [41; 33]; [15]; [20]; [42; 31]; [10]; [12]; [48; 26]; [46; 30]; [9]; [6]; [18]; [32; 43]; [22]; [5]], [7000; 8500; 8100; 9700; 6900; 8900; 9300; 7900; 9500; 9300; 10000; 9200; 7600; 9300; 9900; 7300; 8500; 9500; 8500; 9900; 9200; 7000; 9800; 9800; 9900; 8300; 7500; 9900; 9200; 9200; 10000; 9500; 9200; 9300; 7700; 9600; 7100; 9400], 8575, 8576, 0.17431378364562988
7, 38, 0.7944894736842104, [4; 34; 43; 14; 1; 2; 9; 38; 47; 19; 23; 32; 39; 24; 49; 20; 21; 30; 44; 12; 7; 15; 5; 6; 10; 25; 31; 41; 40; 33; 3; 29; 48; 45; 27; 11; 42; 28; 18; 22; 16; 35; 36; 17; 13; 8; 26; 0; 46; 37], [[4]; [34; 43]; [14]; [1]; [2]; [9]; [38; 47]; [19]; [23]; [32; 39]; [24; 49]; [20]; [21]; [30; 44]; [12]; [7]; [15]; [5]; [6]; [10]; [25]; [31; 41]; [40; 33]; [3]; [29; 48]; [45; 27]; [11]; [42; 28]; [18]; [22]; [16]; [35; 36]; [17]; [13]; [8]; [26]; [0]; [46; 37]], [9500; 9500; 8500; 9900; 9800; 9200; 8000; 7600; 7000; 10000; 10000; 7500; 7300; 9700; 9200; 9300; 8300; 9400; 9300; 9200; 6900; 10000; 9900; 9700; 9400; 9900; 9200; 10000; 7700; 7100; 8100; 9700; 7900; 8500; 9300; 6600; 10000; 8300], 8575, 8576, 0.16801047325134277
7, 38, 0.7941105263157893, [5; 13; 18; 1; 7; 45; 30; 19; 44; 38; 27; 46; 12; 10; 35; 36; 20; 37; 43; 9; 22; 31; 48; 14; 17; 49; 24; 15; 29; 47; 3; 42; 28; 32; 40; 33; 41; 16; 23; 0; 21; 26; 11; 25; 2; 39; 34; 8; 6; 4], [[5]; [13]; [18]; [1]; [7]; [45; 30]; [19]; [44; 38]; [27; 46]; [12]; [10]; [35; 36]; [20]; [37; 43]; [9]; [22]; [31; 48]; [14]; [17]; [49; 24]; [15]; [29; 47]; [3]; [42; 28]; [32; 40]; [33; 41]; [16]; [23]; [0]; [21]; [26]; [11]; [25]; [2]; [39; 34]; [8]; [6]; [4]], [9400; 8500; 7700; 9900; 9300; 9500; 7600; 8300; 9900; 9200; 9200; 9700; 7500; 8500; 9200; 7100; 9300; 8500; 7900; 10000; 8300; 9500; 9700; 10000; 9900; 9900; 8100; 7000; 10000; 7300; 6600; 9200; 6900; 9800; 9900; 9300; 9300; 9500], 8575, 8576, 0.17186379432678223
6, 38, 0.7952842105263158, [14; 23; 25; 49; 16; 4; 24; 9; 34; 20; 6; 31; 44; 8; 46; 27; 39; 40; 35; 36; 11; 19; 1; 3; 30; 45; 21; 38; 37; 13; 12; 48; 26; 42; 28; 18; 47; 29; 32; 41; 0; 2; 22; 10; 15; 5; 17; 43; 33; 7], [[14]; [23]; [25; 49]; [16]; [4]; [24]; [9]; [34]; [20]; [6]; [31; 44]; [8]; [46; 27]; [39; 40]; [35; 36]; [11]; [19]; [1]; [3]; [30; 45]; [21]; [38; 37]; [13]; [12]; [48; 26]; [42; 28]; [18]; [47; 29]; [32; 41]; [0]; [2]; [22]; [10]; [15]; [5]; [17]; [43; 33]; [7]], [8500; 7000; 9900; 8100; 9500; 7000; 9200; 5700; 7500; 9300; 9700; 9300; 9900; 8300; 9700; 9200; 7600; 9900; 9700; 9500; 7300; 9200; 8500; 9200; 10000; 10000; 7700; 9500; 9900; 10000; 9800; 7100; 9200; 8300; 9400; 7900; 9600; 9300], 7350, 7351, 0.14146995544433594
7, 38, 0.7969526315789475, [49; 23; 27; 47; 6; 21; 19; 38; 36; 3; 10; 20; 4; 25; 17; 24; 7; 37; 39; 9; 8; 26; 48; 46; 29; 15; 11; 18; 0; 42; 31; 12; 5; 16; 40; 32; 13; 34; 45; 35; 2; 22; 28; 44; 14; 30; 41; 1; 43; 33], [[49; 23]; [27; 47]; [6]; [21]; [19]; [38; 36]; [3]; [10]; [20]; [4]; [25]; [17]; [24]; [7]; [37; 39]; [9]; [8]; [26; 48]; [46; 29]; [15]; [11]; [18]; [0]; [42; 31]; [12]; [5]; [16]; [40; 32]; [13]; [34; 45]; [35]; [2]; [22]; [28; 44]; [14]; [30; 41]; [1]; [43; 33]], [10000; 9800; 9300; 7300; 7600; 9300; 9700; 9200; 7500; 9500; 6900; 7900; 7000; 9300; 8900; 9200; 9300; 10000; 9600; 8300; 9200; 7700; 10000; 9900; 9200; 9400; 8100; 9900; 8500; 9300; 4900; 9800; 7100; 9800; 8500; 10000; 9900; 9600], 8575, 8576, 0.17312026023864746
7, 38, 0.7952894736842104, [38; 36; 13; 40; 37; 17; 39; 32; 12; 22; 4; 34; 14; 23; 28; 42; 11; 5; 8; 44; 35; 6; 9; 30; 41; 2; 29; 43; 0; 26; 48; 16; 18; 21; 27; 45; 10; 7; 49; 25; 33; 47; 31; 46; 19; 20; 1; 15; 24; 3], [[38; 36]; [13]; [40; 37]; [17]; [39; 32]; [12]; [22]; [4]; [34]; [14]; [23]; [28; 42]; [11]; [5]; [8]; [44; 35]; [6]; [9]; [30; 41]; [2]; [29; 43]; [0]; [26; 48]; [16]; [18]; [21]; [27; 45]; [10]; [7]; [49; 25]; [33; 47]; [31; 46]; [19]; [20]; [1]; [15]; [24]; [3]], [9300; 8500; 8800; 7900; 10000; 9200; 7100; 9500; 5700; 8500; 7000; 10000; 9200; 9400; 9300; 8700; 9300; 9200; 10000; 9800; 9800; 10000; 10000; 8100; 7700; 7300; 9900; 9200; 9300; 9900; 9300; 9500; 7600; 7500; 9900; 8300; 7000; 9700], 8575, 8576, 0.1643071174621582
6, 38, 0.7939157894736841, [25; 9; 12; 33; 48; 46; 37; 20; 6; 7; 39; 34; 22; 13; 0; 30; 42; 11; 1; 14; 47; 27; 18; 43; 29; 40; 31; 24; 36; 38; 5; 45; 32; 3; 15; 10; 19; 2; 4; 35; 41; 8; 17; 49; 23; 26; 21; 28; 44; 16], [[25]; [9]; [12]; [33; 48]; [46; 37]; [20]; [6]; [7]; [39; 34]; [22]; [13]; [0]; [30; 42]; [11]; [1]; [14]; [47; 27]; [18]; [43; 29]; [40; 31]; [24]; [36; 38]; [5]; [45; 32]; [3]; [15]; [10]; [19]; [2]; [4]; [35; 41]; [8]; [17]; [49; 23]; [26]; [21]; [28; 44]; [16]], [6900; 9200; 9200; 9200; 8300; 7500; 9300; 9300; 9900; 7100; 8500; 10000; 9900; 9200; 9900; 8500; 9800; 7700; 9800; 10000; 7000; 9300; 9400; 9400; 9700; 8300; 9200; 7600; 9800; 9500; 9000; 9300; 7900; 10000; 6600; 7300; 9800; 8100], 7350, 7351, 0.1413438320159912
