Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
20, 36, 0.8170750000000003, [31; 32; 9; 0; 24; 44; 33; 35; 40; 26; 14; 37; 43; 12; 3; 7; 19; 29; 36; 47; 22; 17; 1; 15; 46; 49; 42; 45; 8; 6; 34; 30; 20; 21; 4; 11; 2; 41; 27; 18; 5; 48; 23; 28; 38; 13; 39; 25; 16; 10], [[31; 32]; [9]; [0]; [24; 44]; [33; 35]; [40; 26]; [14]; [37; 43]; [12]; [3]; [7]; [19]; [29; 36]; [47; 22]; [17]; [1]; [15]; [46; 49; 42]; [45]; [8]; [6]; [34; 30]; [20]; [21]; [4]; [11]; [2]; [41; 27]; [18]; [5]; [48; 23]; [28; 38]; [13]; [39; 25]; [16]; [10]], [10000; 9000; 9900; 10000; 9800; 9700; 8500; 8200; 8600; 9700; 9300; 7700; 10000; 9800; 7800; 9900; 8100; 10000; 3500; 9100; 9400; 10000; 7600; 7200; 9700; 8700; 9800; 9400; 7800; 9400; 9600; 10000; 8500; 9900; 8000; 8700], 25725, 25726, 0.5204641819000244
19, 36, 0.8170750000000001, [9; 40; 26; 45; 12; 20; 32; 34; 38; 28; 22; 47; 23; 49; 33; 31; 37; 44; 35; 30; 17; 7; 16; 0; 14; 27; 42; 2; 4; 41; 48; 46; 1; 10; 5; 15; 3; 25; 39; 21; 11; 36; 29; 24; 43; 13; 8; 6; 18; 19], [[9]; [40; 26]; [45]; [12]; [20]; [32; 34]; [38; 28]; [22; 47]; [23; 49]; [33; 31]; [37; 44]; [35; 30]; [17]; [7]; [16]; [0]; [14]; [27; 42]; [2]; [4]; [41; 48; 46]; [1]; [10]; [5]; [15]; [3]; [25; 39]; [21]; [11]; [36; 29]; [24; 43]; [13]; [8]; [6]; [18]; [19]], [9000; 9700; 3500; 8600; 7600; 9800; 10000; 9800; 9600; 10000; 8200; 10000; 7800; 9300; 8000; 9900; 8500; 9400; 9800; 9700; 10000; 9900; 8700; 9400; 8100; 9700; 9900; 7200; 8700; 10000; 10000; 8500; 9100; 9400; 7800; 7700], 24500, 24501, 0.4829750061035156
19, 36, 0.8170750000000001, [17; 47; 23; 34; 33; 29; 36; 14; 31; 32; 9; 43; 37; 19; 7; 3; 40; 26; 15; 28; 42; 22; 48; 24; 44; 45; 4; 11; 2; 6; 27; 38; 35; 30; 1; 18; 39; 25; 21; 0; 5; 49; 46; 41; 13; 10; 8; 20; 16; 12], [[17]; [47; 23]; [34; 33]; [29; 36]; [14]; [31; 32]; [9]; [43; 37]; [19]; [7]; [3]; [40; 26]; [15]; [28; 42]; [22; 48]; [24; 44]; [45]; [4]; [11]; [2]; [6]; [27; 38]; [35; 30]; [1]; [18]; [39; 25]; [21]; [0]; [5]; [49; 46; 41]; [13]; [10]; [8]; [20]; [16]; [12]], [7800; 9800; 9800; 10000; 8500; 10000; 9000; 8200; 7700; 9300; 9700; 9700; 8100; 9400; 9600; 10000; 3500; 9700; 8700; 9800; 9400; 10000; 10000; 9900; 7800; 9900; 7200; 9900; 9400; 10000; 8500; 8700; 9100; 7600; 8000; 8600], 24500, 24501, 0.4846498966217041
16, 36, 0.8170750000000002, [23; 49; 7; 14; 15; 31; 34; 19; 32; 33; 47; 22; 39; 25; 20; 30; 35; 8; 4; 17; 9; 0; 40; 26; 21; 24; 43; 18; 1; 42; 27; 3; 45; 6; 44; 37; 29; 36; 12; 38; 28; 11; 5; 2; 41; 46; 48; 13; 10; 16], [[23; 49]; [7]; [14]; [15]; [31; 34]; [19]; [32; 33]; [47; 22]; [39; 25]; [20]; [30; 35]; [8]; [4]; [17]; [9]; [0]; [40; 26]; [21]; [24; 43]; [18]; [1]; [42; 27]; [3]; [45]; [6]; [44; 37]; [29; 36]; [12]; [38; 28]; [11]; [5]; [2]; [41; 46; 48]; [13]; [10]; [16]], [9600; 9300; 8500; 8100; 9800; 7700; 10000; 9800; 9900; 7600; 10000; 9100; 9700; 7800; 9000; 9900; 9700; 7200; 10000; 7800; 9900; 9400; 9700; 3500; 9400; 8200; 10000; 8600; 10000; 8700; 9400; 9800; 10000; 8500; 8700; 8000], 20825, 20826, 0.4517364501953125
16, 36, 0.8170861111111112, [8; 13; 0; 27; 42; 15; 10; 12; 34; 30; 36; 29; 45; 4; 3; 2; 26; 41; 31; 33; 38; 28; 35; 32; 16; 21; 48; 49; 39; 44; 24; 17; 23; 46; 6; 18; 11; 7; 1; 43; 37; 22; 47; 9; 25; 40; 19; 14; 20; 5], [[8]; [13]; [0]; [27; 42]; [15]; [10]; [12]; [34; 30]; [36; 29]; [45]; [4]; [3]; [2]; [26; 41]; [31; 33]; [38; 28]; [35; 32]; [16]; [21]; [48; 49; 39]; [44; 24]; [17]; [23; 46]; [6]; [18]; [11]; [7]; [1]; [43; 37]; [22; 47]; [9]; [25; 40]; [19]; [14]; [20]; [5]], [9100; 8500; 9900; 9400; 8100; 8700; 8600; 10000; 10000; 3500; 9700; 9700; 9800; 9500; 10000; 10000; 9800; 8000; 7200; 10000; 10000; 7800; 9900; 9400; 7800; 8700; 9300; 9900; 8200; 9800; 9000; 9800; 7700; 8500; 7600; 9400], 20825, 20826, 0.4310874938964844
13, 36, 0.8170861111111112, [48; 49; 39; 6; 9; 43; 24; 7; 15; 46; 23; 3; 1; 20; 22; 47; 35; 30; 29; 36; 19; 16; 28; 41; 2; 0; 4; 11; 27; 38; 42; 26; 34; 32; 17; 14; 37; 44; 21; 13; 8; 5; 45; 18; 25; 40; 33; 31; 12; 10], [[48; 49; 39]; [6]; [9]; [43; 24]; [7]; [15]; [46; 23]; [3]; [1]; [20]; [22; 47]; [35; 30]; [29; 36]; [19]; [16]; [28; 41]; [2]; [0]; [4]; [11]; [27; 38]; [42; 26]; [34; 32]; [17]; [14]; [37; 44]; [21]; [13]; [8]; [5]; [45]; [18]; [25; 40]; [33; 31]; [12]; [10]], [10000; 9400; 9000; 10000; 9300; 8100; 9900; 9700; 9900; 7600; 9800; 10000; 10000; 7700; 8000; 9400; 9800; 9900; 9700; 8700; 10000; 9500; 9800; 7800; 8500; 8200; 7200; 8500; 9100; 9400; 3500; 7800; 9800; 10000; 8600; 8700], 17150, 17151, 0.3584749698638916
17, 36, 0.817075, [5; 33; 31; 3; 49; 23; 22; 47; 21; 1; 42; 48; 46; 29; 36; 30; 35; 8; 37; 43; 27; 38; 12; 13; 2; 24; 44; 17; 20; 0; 25; 39; 40; 26; 18; 9; 28; 41; 32; 34; 4; 14; 10; 6; 11; 45; 15; 16; 7; 19], [[5]; [33; 31]; [3]; [49; 23]; [22; 47]; [21]; [1]; [42; 48; 46]; [29; 36]; [30; 35]; [8]; [37; 43]; [27; 38]; [12]; [13]; [2]; [24; 44]; [17]; [20]; [0]; [25; 39]; [40; 26]; [18]; [9]; [28; 41]; [32; 34]; [4]; [14]; [10]; [6]; [11]; [45]; [15]; [16]; [7]; [19]], [9400; 10000; 9700; 9600; 9800; 7200; 9900; 10000; 10000; 10000; 9100; 8200; 10000; 8600; 8500; 9800; 10000; 7800; 7600; 9900; 9900; 9700; 7800; 9000; 9400; 9800; 9700; 8500; 8700; 9400; 8700; 3500; 8100; 8000; 9300; 7700], 22050, 22051, 0.46060729026794434
16, 36, 0.8170861111111113, [8; 3; 45; 7; 14; 16; 15; 12; 5; 26; 42; 23; 47; 0; 41; 28; 1; 39; 48; 49; 22; 46; 9; 19; 32; 31; 17; 44; 37; 20; 10; 21; 27; 38; 4; 18; 6; 2; 11; 43; 24; 29; 36; 25; 40; 35; 30; 13; 34; 33], [[8]; [3]; [45]; [7]; [14]; [16]; [15]; [12]; [5]; [26; 42]; [23; 47]; [0]; [41; 28]; [1]; [39; 48; 49]; [22; 46]; [9]; [19]; [32; 31]; [17]; [44; 37]; [20]; [10]; [21]; [27; 38]; [4]; [18]; [6]; [2]; [11]; [43; 24]; [29; 36]; [25; 40]; [35; 30]; [13]; [34; 33]], [9100; 9700; 3500; 9300; 8500; 8000; 8100; 8600; 9400; 9500; 9800; 9900; 9400; 9900; 10000; 9900; 9000; 7700; 10000; 7800; 8200; 7600; 8700; 7200; 10000; 9700; 7800; 9400; 9800; 8700; 10000; 10000; 9800; 10000; 8500; 9800], 20825, 20826, 0.42708420753479004
16, 36, 0.8170750000000003, [3; 32; 31; 4; 10; 1; 24; 44; 36; 29; 46; 41; 48; 16; 7; 47; 22; 39; 25; 8; 18; 15; 0; 9; 45; 19; 12; 11; 37; 43; 40; 26; 6; 28; 38; 20; 30; 35; 27; 42; 5; 23; 49; 34; 33; 21; 14; 13; 17; 2], [[3]; [32; 31]; [4]; [10]; [1]; [24; 44]; [36; 29]; [46; 41; 48]; [16]; [7]; [47; 22]; [39; 25]; [8]; [18]; [15]; [0]; [9]; [45]; [19]; [12]; [11]; [37; 43]; [40; 26]; [6]; [28; 38]; [20]; [30; 35]; [27; 42]; [5]; [23; 49]; [34; 33]; [21]; [14]; [13]; [17]; [2]], [9700; 10000; 9700; 8700; 9900; 10000; 10000; 10000; 8000; 9300; 9800; 9900; 9100; 7800; 8100; 9900; 9000; 3500; 7700; 8600; 8700; 8200; 9700; 9400; 10000; 7600; 10000; 9400; 9400; 9600; 9800; 7200; 8500; 8500; 7800; 9800], 20825, 20826, 0.43770551681518555
19, 36, 0.8170750000000002, [14; 29; 36; 44; 24; 20; 13; 30; 35; 7; 3; 8; 23; 47; 39; 25; 15; 17; 16; 40; 26; 42; 28; 31; 33; 9; 2; 4; 49; 41; 46; 5; 22; 48; 0; 43; 37; 6; 38; 27; 18; 11; 19; 21; 10; 1; 34; 32; 12; 45], [[14]; [29; 36]; [44; 24]; [20]; [13]; [30; 35]; [7]; [3]; [8]; [23; 47]; [39; 25]; [15]; [17]; [16]; [40; 26]; [42; 28]; [31; 33]; [9]; [2]; [4]; [49; 41; 46]; [5]; [22; 48]; [0]; [43; 37]; [6]; [38; 27]; [18]; [11]; [19]; [21]; [10]; [1]; [34; 32]; [12]; [45]], [8500; 10000; 10000; 7600; 8500; 10000; 9300; 9700; 9100; 9800; 9900; 8100; 7800; 8000; 9700; 9400; 10000; 9000; 9800; 9700; 10000; 9400; 9600; 9900; 8200; 9400; 10000; 7800; 8700; 7700; 7200; 8700; 9900; 9800; 8600; 3500], 24500, 24501, 0.48459911346435547
