Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
7, 26, 0.7931436965811964, [5; 39; 6; 0; 22; 28; 49; 40; 1; 37; 44; 15; 9; 34; 20; 41; 2; 30; 21; 16; 13; 35; 24; 26; 43; 48; 46; 27; 23; 47; 3; 25; 29; 42; 36; 17; 33; 12; 38; 8; 11; 19; 31; 14; 7; 4; 32; 18; 45; 10], [[5; 39]; [6]; [0]; [22; 28]; [49; 40; 1]; [37; 44; 15]; [9]; [34; 20]; [41; 2]; [30; 21]; [16]; [13; 35]; [24; 26; 43]; [48; 46; 27; 23]; [47; 3]; [25; 29; 42]; [36; 17]; [33; 12]; [38; 8]; [11]; [19; 31]; [14]; [7]; [4]; [32; 18]; [45; 10]], [11600; 9400; 9900; 11800; 11800; 11800; 8800; 10600; 11400; 11700; 7700; 11300; 12000; 11600; 10200; 11800; 10900; 12000; 11500; 8400; 11700; 7700; 9000; 9500; 12000; 9400], 8575, 8576, 0.16030025482177734
7, 26, 0.7902537393162393, [5; 13; 35; 39; 2; 38; 4; 34; 18; 1; 19; 27; 49; 11; 9; 3; 14; 33; 40; 15; 17; 32; 22; 31; 0; 28; 26; 45; 7; 48; 43; 44; 12; 8; 46; 36; 16; 6; 10; 29; 20; 21; 37; 41; 30; 42; 24; 23; 47; 25], [[5]; [13; 35]; [39; 2]; [38; 4]; [34; 18]; [1]; [19; 27]; [49; 11]; [9]; [3]; [14; 33]; [40; 15]; [17; 32]; [22; 31]; [0]; [28; 26; 45]; [7; 48; 43; 44]; [12]; [8; 46]; [36; 16]; [6]; [10]; [29; 20]; [21; 37; 41]; [30; 42; 24]; [23; 47; 25]], [9500; 11300; 11700; 12000; 11100; 9600; 12000; 8700; 8800; 9600; 11500; 9600; 12000; 11500; 9900; 11000; 11900; 8200; 9700; 11100; 9400; 8700; 11900; 11500; 11800; 11500], 8575, 8576, 0.1564478874206543
7, 26, 0.792230235042735, [16; 33; 47; 24; 23; 0; 26; 25; 18; 21; 44; 48; 35; 4; 49; 39; 14; 1; 34; 11; 40; 3; 43; 2; 45; 20; 31; 7; 12; 37; 32; 17; 6; 36; 15; 8; 10; 5; 46; 22; 27; 9; 38; 19; 30; 29; 28; 13; 42; 41], [[16; 33]; [47; 24; 23]; [0]; [26; 25]; [18]; [21; 44; 48; 35]; [4; 49; 39]; [14]; [1]; [34; 11]; [40; 3]; [43; 2; 45]; [20; 31]; [7]; [12; 37]; [32; 17]; [6]; [36; 15]; [8]; [10]; [5; 46]; [22; 27]; [9; 38]; [19; 30]; [29; 28]; [13; 42; 41]], [11500; 11600; 9900; 10600; 7500; 12000; 11900; 7700; 9600; 12000; 11500; 11600; 11700; 9000; 11000; 12000; 9400; 11100; 9000; 8700; 10200; 11800; 11300; 11800; 9900; 11200], 8575, 8576, 0.15643811225891113
9, 26, 0.7953124999999999, [45; 49; 31; 24; 4; 39; 13; 36; 10; 8; 18; 38; 40; 9; 6; 27; 19; 41; 0; 17; 32; 14; 28; 21; 15; 1; 29; 20; 43; 47; 7; 26; 23; 33; 12; 2; 46; 42; 30; 22; 16; 5; 44; 34; 11; 3; 35; 37; 25; 48], [[45; 49; 31; 24]; [4; 39]; [13; 36]; [10]; [8]; [18; 38; 40]; [9]; [6]; [27; 19]; [41; 0]; [17; 32]; [14]; [28; 21]; [15]; [1]; [29; 20]; [43; 47; 7]; [26; 23]; [33; 12]; [2; 46; 42]; [30; 22]; [16]; [5; 44]; [34; 11]; [3]; [35; 37; 25; 48]], [11100; 11600; 11200; 8700; 9000; 11900; 8800; 9400; 12000; 11700; 12000; 7700; 11900; 7700; 9600; 11900; 10900; 10900; 12000; 11900; 11600; 7700; 10800; 12000; 9600; 11900], 11025, 11026, 0.20310544967651367
4, 26, 0.7910496794871793, [14; 38; 37; 9; 0; 26; 30; 46; 5; 47; 6; 44; 17; 40; 42; 7; 39; 36; 21; 2; 31; 45; 23; 22; 29; 49; 12; 33; 13; 32; 18; 1; 41; 11; 34; 15; 35; 8; 10; 28; 19; 16; 20; 27; 3; 48; 25; 43; 24; 4], [[14; 38]; [37; 9]; [0]; [26; 30; 46]; [5; 47]; [6; 44]; [17; 40; 42]; [7; 39]; [36; 21]; [2]; [31; 45; 23]; [22; 29; 49]; [12; 33]; [13]; [32; 18]; [1; 41]; [11; 34]; [15; 35]; [8]; [10]; [28; 19]; [16]; [20; 27]; [3; 48]; [25; 43; 24]; [4]], [10200; 11600; 9900; 10800; 10100; 10700; 11000; 11100; 10300; 9600; 11000; 12000; 12000; 7800; 12000; 11400; 12000; 11200; 9000; 8700; 12000; 7700; 12000; 9900; 12000; 9500], 4900, 4901, 0.09385824203491211
7, 26, 0.7909748931623931, [12; 40; 42; 9; 48; 26; 44; 24; 41; 6; 36; 13; 46; 32; 18; 22; 33; 43; 14; 3; 1; 20; 30; 28; 39; 29; 0; 2; 45; 10; 47; 34; 16; 7; 5; 21; 31; 27; 19; 11; 15; 37; 35; 17; 38; 8; 49; 25; 23; 4], [[12; 40; 42]; [9; 48]; [26; 44; 24]; [41; 6]; [36; 13; 46]; [32; 18]; [22; 33; 43]; [14]; [3]; [1]; [20; 30]; [28; 39; 29]; [0]; [2; 45]; [10; 47]; [34; 16]; [7]; [5]; [21; 31]; [27; 19]; [11]; [15; 37]; [35; 17]; [38; 8; 49]; [25; 23]; [4]], [11700; 9100; 12000; 11200; 11900; 12000; 11900; 7700; 9600; 9600; 11800; 12000; 9900; 10300; 9300; 11300; 9000; 9500; 11600; 12000; 8400; 10500; 11000; 11800; 10900; 9500], 8575, 8576, 0.16229581832885742
8, 26, 0.7914503205128204, [0; 24; 43; 25; 46; 5; 2; 3; 18; 36; 47; 8; 42; 1; 45; 35; 14; 10; 39; 9; 40; 33; 12; 6; 15; 37; 48; 22; 27; 17; 23; 31; 20; 28; 49; 32; 19; 34; 11; 16; 44; 4; 38; 13; 26; 41; 29; 7; 30; 21], [[0]; [24; 43; 25]; [46; 5]; [2]; [3]; [18; 36; 47]; [8; 42]; [1; 45]; [35; 14]; [10; 39]; [9; 40]; [33; 12]; [6]; [15; 37; 48]; [22; 27]; [17]; [23; 31]; [20; 28]; [49; 32; 19]; [34; 11]; [16; 44]; [4; 38]; [13]; [26; 41; 29]; [7]; [30; 21]], [9900; 12000; 10200; 9600; 9600; 11500; 10600; 10300; 11200; 10800; 10700; 12000; 9400; 10800; 11800; 7500; 10300; 12000; 11800; 12000; 9000; 12000; 7800; 12000; 9000; 11700], 9800, 9801, 0.17250704765319824
6, 26, 0.7922889957264958, [46; 8; 14; 33; 19; 28; 15; 17; 32; 35; 47; 22; 45; 49; 27; 20; 4; 31; 29; 6; 41; 43; 18; 11; 34; 26; 24; 36; 13; 16; 40; 5; 38; 9; 37; 12; 7; 25; 23; 42; 1; 0; 39; 21; 48; 30; 2; 3; 44; 10], [[46; 8]; [14; 33]; [19; 28]; [15]; [17; 32]; [35; 47; 22; 45; 49]; [27; 20]; [4]; [31; 29]; [6; 41]; [43; 18]; [11; 34]; [26; 24]; [36; 13]; [16; 40]; [5; 38]; [9; 37]; [12]; [7]; [25; 23]; [42; 1]; [0; 39]; [21; 48; 30]; [2]; [3; 44]; [10]], [9700; 11500; 12000; 7700; 12000; 11900; 12000; 9500; 9600; 11200; 8800; 12000; 10700; 11200; 9600; 12000; 11600; 8200; 9000; 10900; 11200; 12000; 12000; 9600; 10900; 8700], 7350, 7351, 0.11394214630126953
7, 26, 0.7904994658119657, [46; 5; 13; 33; 14; 0; 30; 20; 3; 48; 35; 49; 12; 38; 17; 7; 29; 19; 39; 10; 1; 40; 28; 27; 4; 41; 44; 2; 45; 22; 31; 18; 32; 42; 47; 37; 21; 34; 15; 6; 24; 23; 16; 36; 8; 9; 11; 26; 43; 25], [[46; 5]; [13; 33]; [14]; [0]; [30; 20]; [3; 48]; [35; 49; 12]; [38; 17]; [7]; [29; 19]; [39; 10]; [1; 40]; [28; 27]; [4; 41]; [44; 2; 45]; [22; 31]; [18; 32]; [42; 47; 37; 21]; [34; 15]; [6]; [24; 23]; [16; 36]; [8]; [9]; [11]; [26; 43; 25]], [10200; 11600; 7700; 9900; 11800; 9900; 12000; 10000; 9000; 11900; 10800; 11500; 10000; 11300; 11600; 11500; 12000; 11900; 11300; 9400; 11000; 11100; 9000; 8800; 8400; 11900], 8575, 8576, 0.1563417911529541
8, 26, 0.792940705128205, [29; 21; 4; 41; 48; 19; 30; 12; 0; 2; 44; 46; 33; 16; 45; 10; 6; 7; 49; 18; 13; 9; 5; 47; 43; 20; 27; 1; 42; 37; 8; 34; 15; 17; 32; 36; 11; 26; 23; 35; 14; 3; 31; 22; 28; 25; 40; 39; 38; 24], [[29; 21]; [4; 41; 48]; [19; 30]; [12]; [0]; [2; 44; 46]; [33; 16]; [45; 10]; [6]; [7; 49]; [18]; [13]; [9]; [5; 47; 43]; [20; 27]; [1; 42]; [37; 8]; [34; 15]; [17; 32]; [36; 11]; [26; 23]; [35; 14]; [3]; [31; 22]; [28; 25]; [40; 39; 38; 24]], [11800; 11600; 11800; 8200; 9900; 11600; 11500; 9400; 9400; 9300; 7500; 7800; 8800; 11400; 12000; 11200; 11800; 11300; 12000; 11800; 10900; 11200; 9600; 11500; 10300; 11900], 9800, 9801, 0.1877272129058838
