Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
26, 23, 0.9075452898550725, [36; 8; 19; 45; 30; 38; 17; 10; 31; 22; 21; 47; 26; 49; 18; 11; 27; 0; 23; 13; 42; 1; 12; 24; 43; 16; 40; 3; 41; 32; 9; 4; 39; 35; 7; 29; 37; 33; 34; 6; 5; 2; 44; 48; 14; 46; 28; 15; 25; 20], [[36; 8]; [19; 45; 30]; [38; 17]; [10; 31]; [22; 21; 47]; [26; 49; 18]; [11; 27]; [0]; [23; 13]; [42; 1]; [12; 24]; [43; 16; 40]; [3; 41]; [32; 9]; [4; 39]; [35; 7]; [29; 37; 33]; [34; 6]; [5]; [2; 44; 48]; [14; 46; 28]; [15; 25]; [20]], [11600; 12000; 9800; 12000; 12000; 12000; 11800; 10000; 12000; 11900; 12000; 12000; 11800; 12000; 11900; 12000; 12000; 12000; 8700; 11600; 12000; 11800; 6000], 33075, 33076, 0.5798385143280029
23, 23, 0.9078713768115945, [36; 10; 49; 4; 39; 8; 24; 16; 47; 42; 31; 38; 48; 2; 45; 1; 43; 34; 6; 29; 37; 33; 3; 40; 20; 18; 21; 41; 5; 25; 12; 15; 28; 46; 14; 23; 32; 9; 11; 27; 7; 35; 17; 26; 30; 19; 22; 13; 0; 44], [[36; 10; 49]; [4; 39]; [8]; [24; 16]; [47; 42; 31; 38; 48]; [2; 45]; [1; 43]; [34; 6]; [29; 37; 33]; [3; 40]; [20]; [18; 21]; [41; 5]; [25; 12]; [15; 28; 46]; [14; 23]; [32; 9]; [11; 27]; [7; 35]; [17; 26]; [30; 19]; [22; 13]; [0; 44]], [12000; 11900; 7900; 11700; 12000; 10900; 11800; 12000; 12000; 11900; 6000; 11900; 11600; 12000; 12000; 11900; 12000; 11800; 12000; 11600; 10400; 12000; 11600], 29400, 29401, 0.502885103225708
23, 23, 0.9160960144927536, [9; 32; 38; 2; 42; 49; 43; 3; 37; 36; 27; 1; 23; 14; 24; 16; 10; 34; 35; 6; 30; 44; 19; 41; 7; 47; 4; 40; 25; 12; 11; 31; 48; 5; 39; 21; 18; 45; 0; 8; 33; 26; 17; 13; 22; 15; 28; 46; 29; 20], [[9; 32]; [38]; [2; 42]; [49; 43; 3]; [37; 36; 27]; [1]; [23; 14]; [24; 16]; [10; 34]; [35; 6]; [30; 44; 19]; [41; 7; 47]; [4; 40]; [25; 12]; [11; 31; 48]; [5; 39]; [21; 18]; [45; 0]; [8; 33]; [26; 17]; [13; 22]; [15; 28; 46]; [29; 20]], [12000; 3400; 11900; 12000; 12000; 9300; 11900; 11700; 11600; 12000; 12000; 12000; 11900; 12000; 12000; 11700; 11900; 11600; 12000; 11600; 12000; 12000; 10400], 29400, 29401, 0.501157283782959
27, 23, 0.916893115942029, [25; 19; 48; 22; 13; 35; 7; 29; 46; 15; 1; 42; 47; 14; 28; 26; 16; 45; 0; 36; 40; 23; 21; 18; 30; 10; 44; 2; 49; 41; 3; 27; 11; 38; 4; 39; 34; 6; 17; 31; 9; 32; 20; 43; 37; 12; 24; 5; 8; 33], [[25; 19; 48]; [22; 13]; [35; 7]; [29; 46; 15]; [1; 42]; [47; 14; 28]; [26; 16]; [45; 0]; [36; 40; 23]; [21; 18]; [30; 10]; [44; 2; 49]; [41; 3]; [27; 11]; [38]; [4; 39]; [34; 6]; [17; 31]; [9; 32]; [20; 43; 37]; [12; 24]; [5]; [8; 33]], [12000; 12000; 12000; 12000; 11900; 12000; 11700; 11600; 12000; 11900; 12000; 11500; 11800; 11800; 3400; 11900; 12000; 10700; 12000; 12000; 12000; 8700; 12000], 34300, 34301, 0.5932939052581787
29, 23, 0.9077566425120773, [16; 26; 24; 43; 34; 4; 40; 5; 3; 39; 31; 10; 42; 2; 21; 18; 35; 6; 7; 41; 46; 25; 12; 22; 13; 47; 14; 28; 1; 17; 48; 30; 49; 0; 45; 29; 19; 32; 9; 44; 11; 38; 23; 15; 27; 36; 37; 8; 33; 20], [[16; 26]; [24; 43; 34]; [4; 40]; [5]; [3; 39]; [31; 10]; [42; 2]; [21; 18]; [35; 6]; [7; 41; 46]; [25; 12]; [22; 13]; [47; 14; 28]; [1]; [17; 48; 30; 49]; [0; 45]; [29; 19]; [32; 9]; [44; 11; 38]; [23; 15]; [27; 36; 37]; [8; 33]; [20]], [11700; 11600; 11900; 8700; 11900; 12000; 11900; 11900; 12000; 12000; 12000; 12000; 12000; 9300; 12000; 11600; 10500; 12000; 12000; 11900; 12000; 12000; 6000], 36750, 36751, 0.638758659362793
29, 23, 0.9181793478260871, [23; 13; 38; 28; 32; 19; 21; 30; 17; 4; 40; 6; 34; 3; 39; 46; 44; 1; 0; 45; 12; 24; 36; 9; 16; 25; 31; 10; 41; 2; 43; 18; 27; 47; 14; 22; 7; 35; 33; 8; 29; 49; 11; 37; 20; 15; 26; 5; 48; 42], [[23; 13]; [38; 28; 32]; [19; 21]; [30; 17]; [4; 40]; [6; 34]; [3; 39]; [46; 44; 1]; [0; 45]; [12; 24]; [36; 9]; [16; 25]; [31; 10]; [41]; [2; 43]; [18; 27; 47]; [14; 22]; [7; 35]; [33; 8]; [29; 49; 11]; [37; 20]; [15; 26]; [5; 48; 42]], [12000; 12000; 11800; 10700; 11900; 12000; 11900; 11900; 11600; 12000; 11500; 11700; 12000; 2900; 11800; 12000; 11900; 12000; 12000; 12000; 9500; 11800; 12000], 36750, 36751, 0.6165742874145508
29, 23, 0.916941425120773, [18; 21; 0; 48; 29; 14; 46; 22; 13; 1; 43; 7; 34; 32; 9; 4; 39; 38; 3; 40; 17; 25; 31; 10; 42; 16; 41; 47; 2; 45; 24; 15; 11; 30; 37; 27; 36; 49; 19; 23; 26; 12; 5; 35; 6; 28; 20; 44; 33; 8], [[18; 21]; [0; 48]; [29; 14; 46]; [22; 13]; [1; 43]; [7; 34]; [32; 9]; [4; 39]; [38]; [3; 40]; [17; 25]; [31; 10]; [42; 16; 41]; [47; 2; 45]; [24; 15]; [11; 30]; [37; 27; 36]; [49; 19; 23]; [26; 12]; [5]; [35; 6]; [28; 20; 44]; [33; 8]], [11900; 10700; 12000; 12000; 11800; 12000; 12000; 11900; 3400; 11900; 11600; 12000; 12000; 11900; 11800; 11300; 12000; 12000; 12000; 8700; 12000; 12000; 12000], 36750, 36751, 0.6098401546478271
21, 23, 0.9097192028985507, [19; 25; 41; 29; 28; 39; 4; 23; 16; 8; 33; 17; 24; 40; 3; 20; 6; 35; 26; 12; 22; 15; 7; 37; 36; 34; 46; 38; 48; 5; 42; 43; 2; 11; 0; 44; 10; 30; 32; 9; 45; 1; 31; 13; 47; 27; 49; 14; 21; 18], [[19; 25]; [41; 29; 28]; [39; 4]; [23; 16]; [8; 33]; [17; 24]; [40; 3]; [20]; [6; 35]; [26; 12]; [22; 15]; [7; 37]; [36; 34; 46; 38]; [48; 5; 42]; [43; 2]; [11]; [0; 44]; [10; 30]; [32; 9]; [45; 1]; [31; 13; 47]; [27; 49; 14]; [21; 18]], [11300; 11700; 11900; 11800; 12000; 11600; 11900; 6000; 12000; 12000; 11900; 11600; 12000; 12000; 11800; 7000; 11600; 12000; 12000; 10900; 12000; 12000; 11900], 26950, 26951, 0.4463183879852295
30, 23, 0.9159873188405797, [30; 19; 44; 40; 4; 42; 2; 35; 6; 3; 39; 8; 34; 5; 12; 25; 37; 33; 29; 41; 47; 7; 20; 21; 26; 49; 18; 24; 17; 14; 22; 0; 27; 16; 48; 10; 31; 28; 46; 15; 13; 23; 32; 9; 45; 38; 11; 43; 1; 36], [[30; 19; 44]; [40; 4]; [42; 2]; [35; 6]; [3; 39]; [8; 34]; [5]; [12; 25]; [37; 33; 29]; [41; 47; 7]; [20; 21]; [26; 49; 18]; [24; 17]; [14; 22]; [0]; [27; 16; 48]; [10; 31]; [28; 46; 15]; [13; 23]; [32; 9]; [45; 38; 11]; [43; 1]; [36]], [12000; 11900; 11900; 12000; 11900; 11800; 8700; 12000; 12000; 12000; 11700; 12000; 11600; 11900; 10000; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 3700], 37975, 37976, 0.6463291645050049
24, 23, 0.9075211352657007, [5; 0; 11; 27; 35; 6; 25; 19; 48; 13; 22; 46; 31; 14; 43; 2; 42; 1; 16; 26; 3; 39; 4; 40; 34; 7; 45; 23; 41; 49; 44; 28; 47; 15; 21; 18; 29; 37; 33; 30; 10; 20; 17; 38; 24; 12; 36; 8; 32; 9], [[5]; [0]; [11; 27]; [35; 6]; [25; 19; 48]; [13; 22]; [46; 31; 14]; [43; 2]; [42; 1]; [16; 26]; [3; 39]; [4; 40]; [34; 7]; [45; 23; 41; 49; 44]; [28; 47; 15]; [21; 18]; [29; 37; 33]; [30; 10]; [20]; [17; 38]; [24; 12]; [36; 8]; [32; 9]], [8700; 10000; 11800; 12000; 12000; 12000; 11900; 11800; 11900; 11700; 11900; 11900; 12000; 12000; 12000; 11900; 12000; 12000; 6000; 9800; 12000; 11600; 12000], 30625, 30626, 0.5158746242523193
