Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 33, 0.745263047138047, [3; 18; 11; 16; 17; 22; 1; 14; 44; 20; 12; 45; 49; 0; 26; 38; 33; 29; 27; 36; 24; 39; 6; 35; 28; 25; 23; 5; 48; 47; 10; 7; 4; 46; 43; 34; 41; 19; 42; 15; 2; 9; 21; 40; 13; 30; 32; 8; 37; 31], [[3]; [18]; [11]; [16]; [17]; [22]; [1]; [14; 44]; [20]; [12; 45]; [49; 0]; [26; 38]; [33; 29]; [27; 36]; [24; 39]; [6]; [35; 28]; [25]; [23]; [5; 48]; [47; 10]; [7]; [4]; [46; 43; 34]; [41; 19]; [42; 15]; [2]; [9]; [21; 40]; [13]; [30; 32]; [8]; [37; 31]], [9900; 7800; 8900; 8000; 8000; 7400; 9900; 11900; 7500; 12000; 12000; 12000; 12000; 12000; 11900; 9800; 11800; 6800; 7000; 12000; 11500; 9400; 9900; 11900; 11800; 11900; 9900; 9200; 11600; 8900; 11800; 9300; 11200], 14700, 14701, 0.31107616424560547
7, 33, 0.7459238215488216, [19; 40; 0; 37; 28; 33; 29; 6; 1; 9; 48; 3; 49; 45; 12; 2; 24; 36; 27; 30; 31; 20; 10; 15; 47; 32; 22; 44; 26; 17; 8; 7; 18; 41; 38; 25; 34; 35; 11; 46; 16; 43; 4; 21; 23; 39; 13; 14; 42; 5], [[19; 40]; [0]; [37; 28]; [33; 29]; [6]; [1]; [9; 48]; [3; 49]; [45; 12]; [2]; [24]; [36; 27]; [30; 31]; [20]; [10]; [15; 47]; [32]; [22; 44]; [26]; [17]; [8]; [7]; [18; 41]; [38; 25]; [34; 35]; [11; 46]; [16; 43]; [4]; [21]; [23; 39]; [13]; [14; 42]; [5]], [11900; 10000; 11600; 12000; 9800; 9900; 11400; 11900; 12000; 9900; 7000; 12000; 11900; 7500; 9200; 10600; 5800; 10900; 6800; 8000; 9300; 9400; 11900; 12000; 11300; 11500; 11500; 9900; 7400; 11900; 8900; 12000; 9800], 8575, 8576, 0.17215824127197266
8, 33, 0.7430871212121212, [43; 16; 49; 4; 8; 29; 33; 0; 32; 36; 25; 22; 7; 19; 1; 41; 21; 14; 44; 38; 27; 5; 45; 13; 20; 12; 15; 42; 11; 47; 17; 10; 9; 37; 28; 24; 23; 46; 31; 34; 18; 40; 30; 35; 6; 48; 2; 3; 26; 39], [[43; 16]; [49; 4]; [8]; [29; 33]; [0]; [32; 36]; [25]; [22]; [7]; [19]; [1]; [41; 21]; [14; 44]; [38; 27]; [5]; [45; 13]; [20]; [12]; [15; 42]; [11; 47]; [17]; [10]; [9]; [37; 28]; [24]; [23; 46]; [31; 34]; [18; 40]; [30; 35]; [6; 48]; [2]; [3]; [26; 39]], [11500; 11900; 9300; 12000; 10000; 11200; 6800; 7400; 9400; 7700; 9900; 11500; 11900; 11800; 9800; 12000; 7500; 8900; 11900; 11200; 8000; 9200; 9200; 11600; 7000; 9600; 11700; 12000; 11500; 12000; 9900; 9900; 11700], 9800, 9801, 0.18769431114196777
8, 33, 0.7434069865319863, [21; 33; 31; 1; 27; 37; 4; 12; 46; 13; 40; 20; 24; 39; 14; 44; 25; 16; 26; 38; 43; 45; 36; 10; 8; 30; 34; 9; 11; 32; 29; 5; 35; 28; 0; 23; 2; 19; 49; 47; 6; 48; 18; 7; 42; 15; 17; 3; 22; 41], [[21]; [33; 31]; [1]; [27; 37]; [4]; [12; 46]; [13]; [40; 20]; [24; 39]; [14; 44]; [25]; [16]; [26; 38]; [43; 45; 36]; [10]; [8]; [30; 34]; [9]; [11]; [32; 29]; [5]; [35; 28]; [0]; [23]; [2]; [19; 49; 47]; [6; 48]; [18]; [7]; [42; 15]; [17]; [3]; [22; 41]], [7400; 11700; 9900; 11900; 9900; 11500; 8900; 11700; 11900; 11900; 6800; 8000; 12000; 12000; 9200; 9300; 11800; 9200; 8900; 12000; 9800; 11800; 10000; 7000; 9900; 12000; 12000; 7800; 9400; 11900; 8000; 9900; 11500], 9800, 9801, 0.19578075408935547
7, 33, 0.7436721380471378, [16; 14; 0; 37; 27; 3; 42; 15; 49; 10; 41; 19; 28; 36; 18; 45; 4; 23; 11; 47; 9; 22; 32; 29; 8; 46; 21; 13; 6; 48; 30; 34; 20; 44; 12; 5; 17; 43; 33; 26; 40; 38; 25; 24; 39; 31; 35; 7; 2; 1], [[16]; [14]; [0]; [37; 27]; [3]; [42; 15]; [49; 10]; [41; 19]; [28; 36]; [18; 45]; [4]; [23]; [11; 47]; [9]; [22]; [32; 29]; [8; 46]; [21]; [13]; [6; 48]; [30; 34]; [20; 44]; [12]; [5]; [17; 43]; [33]; [26; 40]; [38; 25]; [24; 39]; [31; 35]; [7]; [2]; [1]], [8000; 8400; 10000; 11900; 9900; 11900; 11200; 11800; 11700; 10900; 9900; 7000; 11200; 9200; 7400; 12000; 11900; 7400; 8900; 12000; 11800; 11000; 8900; 9800; 11500; 5800; 11000; 12000; 11900; 11400; 9400; 9900; 9900], 8575, 8576, 0.15637516975402832
7, 33, 0.7405871212121211, [49; 2; 9; 16; 42; 41; 18; 4; 24; 39; 38; 26; 44; 48; 33; 8; 12; 31; 30; 32; 34; 22; 14; 45; 47; 46; 25; 10; 1; 37; 28; 5; 27; 36; 20; 15; 13; 7; 11; 40; 21; 19; 17; 43; 0; 6; 23; 3; 35; 29], [[49; 2]; [9]; [16; 42]; [41; 18]; [4]; [24; 39]; [38; 26]; [44; 48; 33]; [8]; [12]; [31; 30]; [32; 34]; [22]; [14; 45]; [47; 46; 25]; [10]; [1]; [37; 28]; [5]; [27; 36]; [20]; [15]; [13]; [7]; [11]; [40; 21]; [19]; [17; 43]; [0]; [6]; [23]; [3]; [35; 29]], [11900; 9200; 11600; 11900; 9900; 11900; 12000; 11500; 9300; 8900; 11900; 11600; 7400; 11500; 11700; 9200; 9900; 11600; 9800; 12000; 7500; 8300; 8900; 9400; 8900; 11600; 7700; 11500; 10000; 9800; 7000; 9900; 11700], 8575, 8576, 0.17251157760620117
7, 33, 0.739492845117845, [10; 44; 14; 34; 29; 7; 20; 43; 22; 41; 0; 15; 48; 24; 35; 32; 49; 11; 46; 13; 18; 40; 23; 9; 5; 26; 39; 25; 38; 8; 27; 36; 37; 33; 16; 6; 30; 31; 2; 1; 47; 28; 17; 21; 42; 3; 12; 45; 4; 19], [[10]; [44; 14]; [34; 29]; [7]; [20; 43]; [22; 41]; [0]; [15; 48]; [24]; [35; 32]; [49; 11]; [46; 13]; [18; 40]; [23]; [9]; [5]; [26; 39]; [25; 38]; [8]; [27; 36]; [37; 33]; [16]; [6]; [30; 31]; [2]; [1]; [47; 28]; [17]; [21; 42]; [3]; [12; 45]; [4]; [19]], [9200; 11900; 12000; 9400; 11000; 11500; 10000; 10500; 7000; 11300; 10900; 11500; 12000; 7000; 9200; 9800; 11700; 12000; 9300; 12000; 11100; 8000; 9800; 11900; 9900; 9900; 8600; 8000; 11000; 9900; 12000; 9900; 7700], 8575, 8576, 0.18786382675170898
8, 33, 0.7427546296296293, [21; 26; 44; 6; 28; 37; 8; 13; 3; 35; 31; 47; 18; 36; 27; 10; 43; 14; 20; 40; 0; 5; 12; 11; 46; 7; 2; 29; 33; 38; 25; 39; 23; 19; 34; 30; 45; 17; 16; 4; 42; 15; 22; 41; 9; 48; 32; 1; 49; 24], [[21]; [26; 44]; [6]; [28; 37]; [8]; [13]; [3]; [35; 31]; [47; 18]; [36; 27]; [10]; [43; 14]; [20; 40]; [0]; [5]; [12]; [11; 46]; [7]; [2]; [29; 33]; [38; 25]; [39; 23]; [19]; [34; 30]; [45; 17]; [16]; [4]; [42; 15]; [22; 41]; [9; 48]; [32]; [1; 49]; [24]], [7400; 10300; 9800; 11600; 9300; 8900; 9900; 11400; 10100; 12000; 9200; 11900; 11700; 10000; 9800; 8900; 11500; 9400; 9900; 12000; 12000; 11900; 7700; 11800; 11100; 8000; 9900; 11900; 11500; 11400; 5800; 11900; 7000], 9800, 9801, 0.18757247924804688
8, 33, 0.7383438552188549, [4; 21; 47; 33; 29; 11; 27; 36; 48; 7; 9; 22; 41; 2; 20; 35; 28; 45; 13; 34; 37; 40; 18; 32; 38; 12; 43; 26; 46; 19; 6; 8; 23; 5; 39; 25; 14; 31; 30; 42; 15; 24; 44; 10; 0; 17; 16; 1; 49; 3], [[4]; [21; 47]; [33; 29]; [11]; [27; 36]; [48; 7]; [9]; [22; 41]; [2]; [20]; [35; 28]; [45; 13]; [34; 37]; [40; 18]; [32; 38]; [12]; [43; 26]; [46; 19]; [6]; [8]; [23]; [5]; [39; 25]; [14]; [31; 30]; [42; 15]; [24; 44]; [10]; [0]; [17]; [16]; [1; 49]; [3]], [9900; 9700; 12000; 8900; 12000; 11600; 9200; 11500; 9900; 7500; 11800; 12000; 11100; 12000; 11000; 8900; 10300; 10300; 9800; 9300; 7000; 9800; 11700; 8400; 11900; 11900; 10500; 9200; 10000; 8000; 8000; 11900; 9900], 9800, 9801, 0.18784713745117188
7, 33, 0.7394844276094276, [44; 18; 0; 12; 25; 39; 8; 11; 3; 42; 14; 37; 35; 23; 2; 38; 26; 1; 28; 36; 6; 10; 5; 33; 29; 22; 19; 41; 47; 15; 48; 7; 17; 45; 21; 16; 43; 13; 49; 40; 20; 4; 24; 27; 46; 32; 31; 9; 34; 30], [[44; 18]; [0]; [12]; [25; 39]; [8]; [11]; [3]; [42; 14]; [37; 35]; [23]; [2]; [38; 26]; [1]; [28; 36]; [6]; [10]; [5]; [33; 29]; [22]; [19; 41]; [47; 15]; [48; 7]; [17; 45]; [21]; [16; 43]; [13; 49]; [40; 20]; [4]; [24]; [27; 46]; [32; 31]; [9]; [34; 30]], [11300; 10000; 8900; 11700; 9300; 8900; 9900; 12000; 10800; 7000; 9900; 12000; 9900; 11700; 9800; 9200; 9800; 12000; 7400; 11800; 10600; 11600; 11100; 7400; 11500; 10900; 11700; 9900; 7000; 9200; 11700; 9200; 11800], 8575, 8576, 0.16980600357055664
6, 33, 0.7401367845117844, [1; 14; 42; 26; 38; 33; 30; 12; 17; 18; 5; 9; 23; 39; 27; 36; 28; 37; 8; 0; 7; 41; 24; 3; 15; 25; 35; 49; 43; 2; 4; 10; 16; 40; 19; 11; 46; 6; 48; 21; 29; 32; 20; 45; 34; 31; 22; 44; 13; 47], [[1]; [14; 42]; [26; 38]; [33; 30]; [12]; [17]; [18]; [5]; [9]; [23; 39]; [27; 36]; [28; 37]; [8]; [0]; [7]; [41; 24]; [3]; [15]; [25]; [35; 49; 43]; [2]; [4]; [10]; [16]; [40; 19]; [11; 46]; [6; 48]; [21]; [29; 32]; [20; 45]; [34; 31]; [22; 44]; [13; 47]], [9900; 12000; 12000; 11800; 8900; 8000; 7800; 9800; 9200; 11900; 12000; 11600; 9300; 10000; 9400; 11100; 9900; 8300; 6800; 11000; 9900; 9900; 9200; 8000; 11900; 11500; 12000; 7400; 12000; 10600; 11700; 10900; 11200], 7350, 7351, 0.14060211181640625
8, 33, 0.7449726430976431, [1; 28; 2; 42; 16; 31; 30; 17; 45; 10; 21; 39; 24; 18; 12; 4; 7; 9; 46; 23; 8; 47; 19; 14; 43; 40; 20; 33; 34; 3; 13; 6; 44; 15; 36; 27; 0; 26; 25; 38; 29; 32; 41; 22; 37; 35; 5; 48; 49; 11], [[1]; [28]; [2]; [42; 16]; [31; 30]; [17; 45]; [10]; [21]; [39; 24]; [18]; [12]; [4]; [7]; [9; 46]; [23]; [8; 47]; [19]; [14; 43]; [40; 20]; [33; 34]; [3]; [13]; [6]; [44; 15]; [36; 27]; [0]; [26]; [25; 38]; [29; 32]; [41; 22]; [37; 35]; [5; 48]; [49; 11]], [9900; 6300; 9900; 11600; 11900; 11100; 9200; 7400; 11900; 7800; 8900; 9900; 9400; 11800; 7000; 11600; 7700; 11900; 11700; 11600; 9900; 8900; 9800; 11800; 12000; 10000; 6800; 12000; 12000; 11500; 10800; 12000; 10900], 9800, 9801, 0.18754863739013672
