Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
24, 24, 0.9119589120370369, [4; 10; 29; 20; 17; 21; 13; 32; 44; 28; 15; 24; 35; 9; 14; 23; 42; 2; 46; 19; 16; 12; 22; 0; 49; 41; 8; 27; 36; 38; 3; 45; 18; 48; 34; 6; 40; 1; 47; 5; 43; 7; 37; 30; 25; 26; 11; 33; 31; 39], [[4]; [10; 29]; [20; 17]; [21; 13]; [32; 44; 28]; [15; 24]; [35; 9]; [14; 23]; [42]; [2; 46]; [19; 16]; [12; 22]; [0; 49]; [41; 8]; [27; 36; 38]; [3; 45]; [18; 48; 34]; [6; 40]; [1; 47]; [5; 43]; [7; 37]; [30; 25]; [26; 11]; [33; 31; 39]], [9100; 12000; 11700; 12000; 12000; 11700; 11900; 11800; 3300; 11900; 11700; 12000; 12000; 11300; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 9400; 11800; 12000], 30625, 30626, 0.5534324645996094
21, 24, 0.8982957175925925, [34; 33; 32; 30; 22; 12; 18; 16; 0; 11; 27; 4; 44; 20; 42; 2; 46; 36; 7; 41; 8; 21; 13; 23; 14; 17; 48; 37; 47; 28; 24; 1; 3; 45; 49; 19; 31; 9; 35; 40; 6; 39; 26; 38; 25; 15; 10; 29; 5; 43], [[34; 33]; [32; 30]; [22; 12]; [18; 16]; [0]; [11; 27]; [4]; [44; 20; 42]; [2; 46]; [36; 7]; [41; 8]; [21; 13]; [23; 14]; [17; 48; 37]; [47; 28; 24]; [1]; [3; 45]; [49; 19; 31]; [9; 35]; [40; 6]; [39; 26; 38]; [25; 15]; [10; 29]; [5; 43]], [8200; 8600; 12000; 11800; 9900; 11700; 9100; 12000; 11900; 11900; 11300; 12000; 11800; 12000; 12000; 9800; 12000; 12000; 11900; 12000; 12000; 11600; 12000; 12000], 26950, 26951, 0.46991825103759766
28, 24, 0.9121788194444443, [33; 9; 41; 29; 32; 3; 45; 19; 38; 0; 49; 15; 25; 8; 37; 46; 2; 18; 16; 13; 21; 36; 7; 1; 47; 4; 23; 12; 40; 6; 27; 11; 44; 35; 26; 22; 14; 24; 48; 28; 10; 30; 42; 5; 43; 31; 39; 34; 20; 17], [[33; 9]; [41; 29; 32]; [3; 45]; [19; 38]; [0; 49]; [15; 25]; [8; 37]; [46; 2]; [18; 16]; [13; 21]; [36; 7]; [1; 47]; [4]; [23; 12]; [40; 6]; [27; 11]; [44; 35; 26]; [22; 14]; [24; 48; 28]; [10; 30]; [42]; [5; 43]; [31; 39; 34]; [20; 17]], [11900; 12000; 12000; 9200; 12000; 11600; 11700; 11900; 11800; 12000; 11900; 12000; 9100; 12000; 12000; 11700; 12000; 11800; 12000; 11900; 3300; 12000; 12000; 11700], 35525, 35526, 0.6101834774017334
23, 24, 0.9073929398148147, [39; 8; 37; 27; 38; 4; 28; 42; 33; 36; 7; 16; 19; 47; 18; 35; 23; 15; 34; 9; 30; 6; 40; 45; 2; 20; 17; 24; 25; 46; 3; 32; 29; 41; 5; 44; 1; 14; 43; 48; 0; 49; 21; 13; 10; 31; 11; 26; 12; 22], [[39; 8]; [37; 27; 38]; [4]; [28; 42; 33]; [36; 7]; [16; 19]; [47; 18; 35]; [23; 15]; [34; 9]; [30]; [6; 40]; [45; 2]; [20; 17]; [24; 25]; [46; 3]; [32; 29; 41]; [5; 44]; [1]; [14; 43; 48]; [0; 49]; [21; 13]; [10; 31]; [11; 26]; [12; 22]], [11600; 12000; 9100; 12000; 11900; 11700; 12000; 11700; 11900; 4300; 12000; 12000; 11700; 10300; 11900; 12000; 11900; 9800; 12000; 12000; 12000; 11900; 11800; 12000], 29400, 29401, 0.5081424713134766
27, 24, 0.8987644675925927, [48; 33; 18; 41; 21; 42; 1; 47; 13; 45; 46; 26; 11; 31; 39; 35; 3; 12; 24; 14; 22; 17; 19; 49; 0; 8; 20; 16; 25; 30; 5; 43; 38; 36; 27; 15; 23; 9; 34; 4; 29; 10; 44; 32; 28; 2; 7; 37; 40; 6], [[48; 33; 18]; [41; 21; 42]; [1; 47]; [13; 45; 46]; [26; 11]; [31; 39; 35]; [3]; [12; 24]; [14; 22]; [17; 19]; [49; 0]; [8]; [20; 16]; [25; 30]; [5; 43]; [38; 36; 27]; [15; 23]; [9; 34]; [4]; [29; 10]; [44; 32; 28]; [2]; [7; 37]; [40; 6]], [12000; 11900; 12000; 12000; 11800; 12000; 9300; 12000; 11800; 11700; 12000; 8000; 11700; 9400; 12000; 12000; 11700; 11900; 9100; 12000; 12000; 9300; 11900; 12000], 34300, 34301, 0.5997371673583984
22, 24, 0.9030642361111113, [6; 12; 24; 0; 16; 20; 4; 47; 31; 11; 15; 33; 17; 18; 7; 37; 14; 25; 3; 46; 32; 10; 23; 13; 9; 34; 19; 2; 45; 48; 1; 8; 39; 5; 43; 44; 38; 21; 42; 29; 30; 28; 35; 41; 22; 49; 27; 36; 26; 40], [[6]; [12; 24]; [0]; [16; 20]; [4; 47]; [31; 11]; [15; 33]; [17; 18]; [7; 37]; [14; 25]; [3; 46]; [32; 10]; [23; 13]; [9; 34]; [19]; [2; 45]; [48; 1]; [8; 39]; [5; 43]; [44; 38; 21]; [42; 29; 30]; [28; 35; 41]; [22; 49; 27]; [36; 26; 40]], [8500; 12000; 9900; 11700; 11300; 11300; 10600; 11800; 11900; 11700; 11900; 11900; 11900; 11900; 5600; 12000; 12000; 11600; 12000; 12000; 12000; 12000; 12000; 12000], 28175, 28176, 0.4985616207122803
25, 24, 0.9116174768518518, [38; 30; 33; 29; 10; 17; 18; 35; 9; 2; 45; 20; 16; 46; 3; 4; 7; 37; 6; 40; 49; 0; 21; 39; 44; 26; 11; 14; 23; 5; 43; 13; 24; 28; 15; 36; 8; 25; 47; 27; 1; 48; 12; 22; 19; 34; 32; 31; 41; 42], [[38; 30; 33]; [29; 10]; [17; 18]; [35; 9]; [2; 45]; [20; 16]; [46; 3]; [4]; [7; 37]; [6; 40]; [49; 0]; [21; 39; 44]; [26; 11]; [14; 23]; [5; 43]; [13; 24]; [28; 15]; [36; 8]; [25; 47; 27]; [1; 48]; [12; 22]; [19; 34]; [32; 31; 41]; [42]], [12000; 12000; 11800; 11900; 12000; 11700; 11900; 9100; 11900; 12000; 12000; 12000; 11800; 11800; 12000; 11900; 11100; 11700; 12000; 12000; 12000; 9700; 11900; 3300], 31850, 31851, 0.5906558036804199
22, 24, 0.9075434027777778, [11; 26; 40; 6; 42; 38; 25; 5; 43; 45; 3; 44; 8; 34; 9; 29; 30; 41; 32; 2; 48; 47; 1; 17; 20; 15; 22; 49; 0; 7; 39; 19; 16; 14; 23; 37; 46; 18; 31; 10; 21; 13; 4; 27; 28; 24; 12; 33; 35; 36], [[11; 26]; [40; 6]; [42; 38; 25]; [5; 43]; [45; 3]; [44; 8]; [34; 9]; [29; 30; 41]; [32]; [2; 48]; [47; 1]; [17; 20]; [15; 22]; [49; 0]; [7; 39]; [19; 16]; [14; 23]; [37; 46; 18]; [31; 10]; [21; 13]; [4]; [27; 28]; [24; 12]; [33; 35; 36]], [11800; 12000; 12000; 12000; 12000; 11100; 11900; 12000; 4300; 11500; 12000; 11700; 11700; 12000; 11800; 11700; 11800; 12000; 11900; 12000; 9100; 9300; 12000; 11900], 28175, 28176, 0.5525133609771729
28, 24, 0.9124971064814815, [22; 12; 9; 34; 41; 4; 28; 23; 48; 21; 13; 24; 14; 32; 27; 0; 49; 10; 29; 16; 19; 6; 40; 7; 36; 1; 47; 8; 37; 15; 25; 18; 17; 11; 26; 39; 31; 33; 43; 5; 3; 46; 44; 20; 42; 2; 45; 30; 38; 35], [[22; 12]; [9; 34]; [41]; [4]; [28; 23; 48]; [21; 13]; [24; 14]; [32; 27]; [0; 49]; [10; 29]; [16; 19]; [6; 40]; [7; 36]; [1; 47]; [8; 37]; [15; 25]; [18; 17]; [11; 26]; [39; 31; 33]; [43; 5]; [3; 46]; [44; 20; 42]; [2; 45]; [30; 38; 35]], [12000; 11900; 3300; 9100; 12000; 12000; 11800; 9000; 12000; 12000; 11700; 12000; 11900; 12000; 11700; 11600; 11800; 11800; 12000; 12000; 11900; 12000; 12000; 12000], 35525, 35526, 0.655653715133667
29, 24, 0.9123524305555556, [40; 6; 3; 45; 4; 24; 28; 48; 8; 37; 2; 46; 19; 16; 1; 47; 12; 23; 34; 9; 7; 36; 21; 13; 14; 22; 25; 41; 42; 29; 10; 30; 20; 38; 35; 31; 27; 15; 11; 26; 17; 18; 32; 39; 33; 0; 49; 5; 43; 44], [[40; 6]; [3; 45]; [4]; [24; 28; 48]; [8; 37]; [2; 46]; [19; 16]; [1; 47]; [12; 23]; [34; 9]; [7; 36]; [21; 13]; [14; 22]; [25; 41; 42]; [29; 10]; [30; 20]; [38; 35; 31]; [27; 15]; [11; 26]; [17; 18]; [32; 39; 33]; [0; 49]; [5; 43]; [44]], [12000; 12000; 9100; 12000; 11700; 11900; 11700; 12000; 12000; 11900; 11900; 12000; 11800; 11700; 12000; 9900; 12000; 11200; 11800; 11800; 12000; 12000; 12000; 3100], 36750, 36751, 0.656728982925415
