Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
5, 30, 0.7454953703703704, [5; 11; 43; 45; 2; 27; 47; 41; 6; 35; 13; 33; 15; 22; 44; 7; 8; 21; 42; 0; 3; 46; 9; 49; 24; 39; 23; 48; 28; 30; 29; 16; 36; 17; 40; 1; 25; 31; 4; 14; 34; 37; 19; 10; 12; 18; 38; 26; 20; 32], [[5]; [11; 43]; [45; 2]; [27; 47]; [41; 6]; [35; 13]; [33; 15]; [22; 44]; [7]; [8]; [21; 42]; [0]; [3; 46]; [9; 49]; [24; 39]; [23; 48]; [28; 30]; [29]; [16; 36]; [17; 40]; [1]; [25; 31]; [4]; [14; 34]; [37; 19]; [10]; [12]; [18; 38]; [26]; [20; 32]], [8700; 11300; 12000; 9000; 11900; 12000; 12000; 10100; 8600; 8600; 10200; 9600; 11800; 10900; 10400; 9500; 12000; 5900; 11600; 11100; 9500; 11900; 9000; 11800; 11200; 8500; 8300; 11100; 6500; 11800], 6125, 6126, 0.10970640182495117
5, 30, 0.7459120370370369, [3; 38; 8; 9; 13; 35; 11; 37; 15; 36; 48; 19; 18; 41; 1; 42; 20; 24; 44; 22; 4; 45; 39; 28; 47; 7; 5; 49; 6; 10; 40; 2; 46; 25; 14; 21; 0; 16; 33; 27; 32; 30; 29; 23; 12; 43; 17; 34; 31; 26], [[3]; [38; 8]; [9]; [13; 35]; [11; 37]; [15; 36]; [48; 19]; [18; 41]; [1]; [42; 20]; [24; 44]; [22]; [4; 45]; [39; 28]; [47; 7]; [5; 49]; [6]; [10; 40]; [2; 46]; [25]; [14]; [21]; [0]; [16; 33]; [27; 32]; [30; 29]; [23]; [12; 43]; [17; 34]; [31; 26]], [9200; 12000; 8600; 12000; 12000; 11600; 10000; 10900; 9500; 10600; 9900; 7200; 11700; 9600; 11100; 11000; 8700; 11800; 11900; 6800; 7800; 7200; 9600; 12000; 10700; 11700; 7100; 11200; 11800; 11600], 6125, 6126, 0.10946512222290039
5, 30, 0.746537037037037, [15; 7; 41; 47; 11; 24; 12; 5; 32; 21; 40; 8; 35; 18; 9; 31; 25; 26; 3; 44; 29; 42; 17; 37; 6; 13; 34; 16; 46; 4; 2; 0; 39; 10; 14; 1; 49; 48; 27; 45; 36; 19; 43; 22; 20; 33; 30; 28; 23; 38], [[15]; [7; 41]; [47; 11]; [24]; [12]; [5]; [32; 21]; [40; 8]; [35; 18]; [9]; [31; 25]; [26]; [3]; [44; 29; 42]; [17; 37]; [6]; [13]; [34; 16]; [46; 4]; [2]; [0]; [39; 10]; [14]; [1; 49]; [48; 27; 45]; [36; 19]; [43; 22]; [20; 33]; [30; 28]; [23; 38]], [7800; 11800; 10900; 7000; 8300; 8700; 11400; 11900; 11500; 8600; 11900; 6500; 9200; 11800; 11400; 8700; 8200; 11800; 11600; 9300; 9600; 11900; 7800; 11800; 11600; 11400; 10100; 11800; 12000; 10500], 6125, 6126, 0.10977888107299805
6, 30, 0.747199074074074, [13; 35; 4; 43; 2; 46; 49; 18; 27; 23; 32; 42; 6; 3; 31; 25; 47; 21; 0; 20; 14; 19; 30; 28; 48; 10; 15; 33; 9; 37; 24; 11; 22; 41; 45; 17; 34; 16; 44; 5; 29; 36; 40; 8; 26; 1; 38; 7; 12; 39], [[13; 35]; [4; 43]; [2; 46]; [49; 18]; [27]; [23; 32]; [42; 6]; [3]; [31; 25]; [47; 21]; [0]; [20]; [14]; [19]; [30; 28]; [48; 10]; [15; 33]; [9]; [37; 24]; [11]; [22; 41]; [45; 17]; [34; 16]; [44; 5]; [29; 36]; [40; 8]; [26]; [1]; [38; 7]; [12; 39]], [12000; 11900; 11900; 10000; 6500; 11300; 11700; 9200; 11900; 9700; 9600; 7600; 7800; 7600; 12000; 10900; 12000; 8600; 10600; 8400; 10400; 10500; 11800; 11600; 9700; 11900; 6500; 9500; 12000; 11700], 7350, 7351, 0.13369226455688477
6, 30, 0.7525, [47; 24; 48; 30; 28; 21; 1; 26; 31; 19; 33; 32; 20; 4; 23; 12; 40; 45; 18; 3; 46; 7; 8; 39; 11; 42; 41; 9; 27; 6; 44; 2; 17; 36; 25; 5; 0; 49; 15; 34; 16; 37; 29; 10; 43; 35; 14; 13; 22; 38], [[47; 24; 48]; [30; 28]; [21]; [1]; [26; 31]; [19; 33]; [32; 20]; [4]; [23]; [12; 40]; [45; 18]; [3; 46]; [7]; [8; 39]; [11; 42]; [41; 9]; [27]; [6; 44]; [2]; [17; 36]; [25]; [5]; [0; 49]; [15; 34]; [16; 37]; [29]; [10; 43]; [35; 14]; [13]; [22; 38]], [11900; 12000; 7200; 9500; 11600; 11800; 11800; 9000; 7100; 11600; 10400; 11800; 8600; 12000; 11400; 11800; 6500; 11600; 9300; 11600; 6800; 8700; 11900; 11800; 11400; 5900; 11400; 11600; 8200; 10600], 7350, 7351, 0.12530779838562012
8, 30, 0.7515092592592593, [22; 21; 14; 32; 34; 18; 46; 3; 26; 2; 45; 1; 17; 33; 9; 5; 4; 7; 39; 20; 35; 12; 29; 30; 15; 38; 25; 31; 13; 41; 43; 28; 47; 36; 19; 0; 16; 40; 8; 42; 23; 27; 6; 44; 11; 37; 24; 49; 48; 10], [[22]; [21]; [14; 32]; [34; 18]; [46; 3]; [26]; [2; 45]; [1]; [17; 33]; [9]; [5]; [4]; [7; 39]; [20; 35]; [12]; [29; 30]; [15; 38]; [25; 31]; [13; 41]; [43; 28; 47]; [36; 19]; [0]; [16; 40]; [8; 42]; [23]; [27]; [6; 44]; [11; 37]; [24; 49; 48]; [10]], [7200; 7200; 12000; 11700; 11800; 6500; 12000; 9500; 12000; 8600; 8700; 9000; 12000; 11400; 8300; 11700; 11200; 11900; 11400; 11600; 11400; 9600; 11100; 11600; 7100; 6500; 11600; 12000; 11700; 8500], 9800, 9801, 0.17734146118164062
5, 30, 0.7444675925925925, [20; 24; 35; 27; 30; 28; 1; 7; 33; 19; 4; 22; 8; 44; 43; 9; 11; 37; 3; 14; 49; 48; 26; 42; 15; 25; 31; 2; 47; 16; 41; 45; 17; 18; 32; 0; 29; 40; 38; 21; 5; 23; 34; 46; 10; 6; 13; 36; 12; 39], [[20]; [24; 35]; [27]; [30; 28]; [1]; [7]; [33; 19]; [4]; [22]; [8; 44]; [43; 9]; [11; 37]; [3]; [14; 49]; [48; 26; 42]; [15]; [25; 31]; [2; 47]; [16; 41]; [45; 17]; [18; 32]; [0]; [29; 40]; [38; 21]; [5]; [23; 34]; [46; 10]; [6]; [13; 36]; [12; 39]], [7600; 10800; 6500; 12000; 9500; 8600; 11800; 9000; 7200; 11500; 11500; 12000; 9200; 10100; 11900; 7800; 11900; 11800; 11000; 10500; 11900; 9600; 9200; 10600; 8700; 11100; 11100; 8700; 12000; 11700], 6125, 6126, 0.11010384559631348
5, 30, 0.7436203703703703, [5; 33; 14; 48; 10; 37; 21; 39; 8; 47; 45; 27; 6; 4; 42; 31; 25; 3; 38; 29; 12; 43; 17; 35; 36; 15; 1; 2; 0; 32; 18; 40; 24; 41; 9; 7; 16; 26; 46; 44; 19; 20; 34; 23; 11; 22; 49; 30; 28; 13], [[5]; [33; 14]; [48; 10]; [37; 21]; [39; 8]; [47; 45; 27]; [6]; [4; 42]; [31; 25]; [3]; [38; 29]; [12; 43]; [17; 35]; [36; 15]; [1]; [2]; [0]; [32; 18]; [40; 24]; [41; 9]; [7]; [16]; [26; 46; 44]; [19]; [20; 34]; [23]; [11]; [22; 49]; [30; 28]; [13]], [8700; 12000; 10900; 10800; 12000; 11700; 8700; 12000; 11900; 9200; 9300; 11200; 11600; 11600; 9500; 9300; 9600; 11900; 10300; 11800; 8600; 7800; 12000; 7600; 11600; 7100; 8400; 9500; 12000; 8200], 6125, 6126, 0.10940337181091309
7, 30, 0.7498055555555555, [33; 15; 17; 39; 34; 27; 42; 5; 12; 32; 16; 40; 22; 31; 26; 48; 0; 20; 25; 8; 37; 13; 19; 36; 14; 28; 30; 1; 10; 47; 44; 18; 4; 43; 45; 2; 7; 38; 3; 46; 9; 35; 21; 11; 23; 41; 29; 24; 6; 49], [[33; 15]; [17; 39]; [34; 27]; [42; 5]; [12]; [32; 16]; [40; 22]; [31; 26]; [48; 0]; [20]; [25]; [8]; [37; 13]; [19; 36]; [14]; [28; 30]; [1]; [10; 47]; [44; 18]; [4; 43]; [45; 2]; [7; 38]; [3; 46]; [9]; [35; 21]; [11]; [23; 41]; [29]; [24]; [6; 49]], [12000; 11200; 10500; 11700; 8300; 12000; 10500; 11600; 12000; 7600; 6800; 8600; 11800; 11400; 7800; 12000; 9500; 11000; 10600; 11900; 12000; 12000; 11800; 8600; 11000; 8400; 10300; 5900; 7000; 11000], 8575, 8576, 0.15650081634521484
7, 30, 0.74775, [7; 26; 35; 45; 24; 49; 47; 5; 3; 34; 14; 18; 37; 6; 41; 20; 11; 1; 4; 43; 30; 29; 17; 33; 25; 27; 15; 12; 40; 32; 22; 42; 21; 10; 39; 36; 23; 44; 8; 19; 13; 46; 48; 2; 38; 9; 0; 31; 28; 16], [[7]; [26; 35]; [45; 24; 49]; [47; 5]; [3]; [34; 14]; [18; 37]; [6; 41]; [20]; [11]; [1]; [4; 43]; [30; 29]; [17; 33]; [25]; [27]; [15]; [12; 40]; [32; 22]; [42; 21]; [10; 39]; [36; 23]; [44; 8]; [19]; [13; 46]; [48; 2]; [38; 9]; [0]; [31; 28]; [16]], [8600; 10300; 12000; 11200; 9200; 11800; 11300; 11900; 7600; 8400; 9500; 11900; 11700; 12000; 6800; 6500; 7800; 11600; 11400; 10200; 11900; 10900; 11500; 7600; 10800; 11700; 12000; 9600; 11300; 7800], 8575, 8576, 0.15737128257751465
