Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
23, 29, 0.8449209770114943, [18; 42; 31; 21; 29; 36; 17; 40; 38; 19; 5; 6; 35; 20; 16; 39; 45; 13; 14; 41; 3; 24; 25; 0; 7; 32; 33; 4; 1; 26; 23; 46; 37; 34; 2; 27; 28; 12; 44; 30; 22; 49; 11; 9; 48; 8; 10; 47; 15; 43], [[18; 42]; [31; 21]; [29; 36]; [17; 40]; [38; 19]; [5]; [6]; [35; 20]; [16; 39]; [45; 13]; [14; 41]; [3]; [24; 25]; [0]; [7]; [32; 33]; [4]; [1]; [26; 23]; [46; 37; 34]; [2]; [27; 28]; [12; 44]; [30; 22]; [49; 11]; [9; 48]; [8]; [10; 47]; [15; 43]], [11500; 11700; 9500; 11900; 11800; 9600; 9500; 11800; 12000; 12000; 11900; 9700; 11700; 10000; 9200; 9800; 9600; 9900; 11900; 12000; 9700; 11000; 12000; 11800; 11800; 12000; 9200; 12000; 11800], 28175, 28176, 0.5128164291381836
24, 30, 0.8015254629629631, [40; 16; 15; 47; 17; 3; 0; 43; 31; 39; 46; 11; 36; 20; 29; 22; 18; 38; 34; 12; 45; 26; 23; 33; 32; 21; 30; 7; 49; 10; 8; 25; 24; 14; 42; 13; 44; 35; 37; 41; 27; 28; 19; 6; 48; 9; 5; 4; 2; 1], [[40; 16]; [15; 47]; [17]; [3]; [0]; [43; 31; 39]; [46; 11]; [36; 20]; [29; 22]; [18; 38]; [34]; [12; 45]; [26; 23]; [33; 32]; [21; 30]; [7]; [49; 10]; [8]; [25; 24]; [14; 42]; [13; 44]; [35; 37; 41]; [27; 28]; [19]; [6]; [48; 9]; [5]; [4]; [2]; [1]], [12000; 11400; 8200; 9700; 10000; 12000; 11900; 11800; 11900; 12000; 4700; 12000; 11900; 9800; 11800; 9200; 12000; 9200; 11700; 11900; 12000; 12000; 11000; 7900; 9500; 12000; 9600; 9600; 9700; 9900], 30625, 30626, 0.5374858379364014
16, 30, 0.795488425925926, [3; 0; 33; 32; 11; 47; 5; 43; 34; 38; 26; 23; 46; 41; 27; 49; 9; 1; 17; 40; 12; 44; 20; 36; 21; 29; 4; 8; 14; 6; 30; 22; 7; 19; 2; 37; 35; 42; 48; 10; 13; 45; 16; 39; 18; 15; 24; 25; 31; 28], [[3]; [0]; [33; 32]; [11; 47]; [5]; [43; 34; 38]; [26; 23]; [46; 41; 27]; [49; 9]; [1]; [17; 40]; [12; 44]; [20; 36]; [21; 29]; [4]; [8]; [14]; [6]; [30; 22]; [7]; [19]; [2]; [37; 35; 42]; [48; 10]; [13; 45]; [16; 39]; [18]; [15]; [24; 25]; [31; 28]], [9700; 10000; 9800; 11800; 9600; 12000; 11900; 12000; 12000; 9900; 11900; 12000; 11800; 11900; 9600; 9200; 8500; 9500; 11800; 9200; 7900; 9700; 12000; 12000; 12000; 12000; 8100; 8400; 11700; 10400], 20825, 20826, 0.37552762031555176
14, 29, 0.8443318965517242, [47; 11; 41; 15; 1; 25; 33; 49; 9; 36; 42; 37; 6; 46; 14; 29; 34; 17; 40; 20; 35; 30; 22; 39; 16; 0; 12; 45; 24; 26; 10; 48; 32; 21; 2; 3; 28; 23; 5; 27; 31; 13; 44; 7; 19; 43; 8; 4; 38; 18], [[47; 11]; [41; 15]; [1]; [25; 33]; [49; 9]; [36; 42; 37]; [6]; [46; 14]; [29; 34]; [17; 40]; [20; 35]; [30; 22]; [39; 16]; [0]; [12; 45]; [24; 26]; [10; 48]; [32; 21]; [2]; [3]; [28; 23]; [5]; [27; 31]; [13; 44]; [7]; [19; 43]; [8]; [4]; [38; 18]], [11800; 11800; 9900; 10700; 12000; 12000; 9500; 11600; 9800; 11900; 11800; 11800; 12000; 10000; 12000; 11500; 12000; 11700; 9700; 9700; 11800; 9600; 10400; 12000; 9200; 11300; 9200; 9600; 12000], 17150, 17151, 0.312882661819458
21, 29, 0.8447868773946359, [29; 22; 7; 2; 13; 44; 18; 38; 43; 36; 37; 40; 17; 49; 9; 39; 16; 20; 35; 10; 47; 11; 48; 45; 12; 8; 30; 32; 19; 46; 1; 3; 14; 41; 34; 33; 15; 42; 6; 25; 27; 31; 21; 5; 24; 26; 0; 28; 23; 4], [[29; 22]; [7]; [2]; [13; 44]; [18; 38]; [43; 36; 37]; [40; 17]; [49; 9]; [39; 16]; [20; 35]; [10; 47]; [11; 48]; [45; 12]; [8]; [30; 32]; [19; 46]; [1]; [3]; [14; 41]; [34; 33]; [15; 42]; [6]; [25; 27]; [31; 21]; [5]; [24; 26]; [0]; [28; 23]; [4]], [11900; 9200; 9700; 12000; 12000; 12000; 11900; 12000; 12000; 11800; 12000; 11800; 12000; 9200; 9900; 11000; 9900; 9700; 11900; 9600; 11800; 9500; 11300; 11700; 9600; 11500; 10000; 11800; 9600], 25725, 25726, 0.4698669910430908
23, 30, 0.8024930555555555, [30; 22; 19; 31; 40; 41; 13; 45; 29; 21; 7; 0; 16; 39; 33; 32; 20; 36; 8; 10; 47; 26; 23; 12; 44; 28; 27; 4; 35; 5; 14; 43; 49; 11; 2; 34; 46; 37; 15; 42; 17; 6; 9; 48; 18; 38; 1; 3; 24; 25], [[30; 22]; [19]; [31; 40; 41]; [13; 45]; [29; 21]; [7]; [0]; [16; 39]; [33; 32]; [20; 36]; [8]; [10; 47]; [26; 23]; [12; 44]; [28; 27]; [4]; [35]; [5]; [14; 43]; [49; 11]; [2]; [34; 46; 37]; [15; 42]; [17]; [6]; [9; 48]; [18; 38]; [1]; [3]; [24; 25]], [11800; 7900; 12000; 12000; 11900; 9200; 10000; 12000; 9800; 11800; 9200; 12000; 11900; 12000; 11000; 9600; 4400; 9600; 11900; 11800; 9700; 12000; 11800; 8200; 9500; 12000; 12000; 9900; 9700; 11700], 29400, 29401, 0.5212624073028564
25, 29, 0.8446671455938696, [14; 41; 25; 24; 42; 36; 37; 29; 34; 15; 43; 8; 3; 20; 35; 45; 13; 7; 48; 10; 11; 49; 26; 23; 16; 40; 12; 44; 2; 4; 1; 38; 18; 0; 6; 9; 47; 32; 33; 30; 22; 19; 39; 31; 21; 28; 27; 17; 46; 5], [[14; 41]; [25; 24]; [42; 36; 37]; [29; 34]; [15; 43]; [8]; [3]; [20; 35]; [45; 13]; [7]; [48; 10]; [11; 49]; [26; 23]; [16; 40]; [12; 44]; [2]; [4]; [1]; [38; 18]; [0]; [6]; [9; 47]; [32; 33]; [30; 22]; [19; 39]; [31; 21]; [28; 27]; [17; 46]; [5]], [11900; 11700; 12000; 9800; 11800; 9200; 9700; 11800; 12000; 9200; 12000; 11800; 11900; 12000; 12000; 9700; 9600; 9900; 12000; 10000; 9500; 12000; 9800; 11800; 11600; 11700; 11000; 11300; 9600], 30625, 30626, 0.5633382797241211
18, 29, 0.8446863026819923, [18; 39; 31; 34; 14; 42; 6; 38; 19; 15; 43; 5; 8; 25; 26; 30; 21; 35; 37; 45; 10; 47; 29; 22; 33; 32; 2; 20; 36; 0; 46; 13; 23; 28; 7; 3; 11; 48; 49; 9; 40; 17; 1; 12; 44; 27; 24; 4; 41; 16], [[18; 39]; [31; 34]; [14; 42]; [6]; [38; 19]; [15; 43]; [5]; [8]; [25; 26]; [30; 21]; [35; 37; 45]; [10; 47]; [29; 22]; [33; 32]; [2]; [20; 36]; [0]; [46; 13]; [23; 28]; [7]; [3]; [11; 48]; [49; 9]; [40; 17]; [1]; [12; 44]; [27; 24]; [4]; [41; 16]], [11800; 9600; 11900; 9500; 11800; 11800; 9600; 9200; 11400; 11800; 11900; 12000; 11900; 9800; 9700; 11800; 10000; 11800; 11800; 9200; 9700; 11800; 12000; 11900; 9900; 12000; 11400; 9600; 11700], 22050, 22051, 0.40634822845458984
26, 30, 0.8019513888888891, [8; 23; 26; 21; 30; 36; 20; 45; 13; 5; 7; 1; 41; 15; 3; 14; 42; 18; 38; 28; 27; 32; 33; 48; 10; 4; 37; 0; 2; 29; 22; 19; 31; 40; 43; 47; 9; 49; 17; 25; 24; 6; 11; 46; 12; 44; 16; 39; 34; 35], [[8]; [23; 26]; [21; 30]; [36; 20]; [45; 13]; [5]; [7]; [1]; [41; 15]; [3]; [14; 42]; [18; 38]; [28; 27]; [32; 33]; [48; 10]; [4]; [37]; [0]; [2]; [29; 22]; [19]; [31; 40; 43]; [47; 9]; [49; 17]; [25; 24]; [6]; [11; 46]; [12; 44]; [16; 39]; [34; 35]], [9200; 11900; 11800; 11800; 12000; 9600; 9200; 9900; 11800; 9700; 11900; 12000; 11000; 9800; 12000; 9600; 4200; 10000; 9700; 11900; 7900; 12000; 12000; 11200; 11700; 9500; 11900; 12000; 12000; 9100], 33075, 33076, 0.602130651473999
19, 30, 0.8009328703703703, [34; 20; 35; 13; 45; 6; 27; 25; 3; 16; 39; 17; 40; 4; 0; 7; 32; 31; 28; 33; 37; 42; 36; 11; 10; 49; 12; 44; 47; 9; 38; 18; 30; 21; 43; 14; 24; 46; 48; 23; 26; 8; 1; 15; 41; 19; 2; 5; 29; 22], [[34]; [20; 35]; [13; 45]; [6]; [27; 25]; [3]; [16; 39]; [17; 40]; [4]; [0]; [7]; [32; 31]; [28; 33]; [37; 42; 36]; [11]; [10; 49]; [12; 44]; [47; 9]; [38; 18]; [30; 21]; [43; 14]; [24; 46; 48]; [23; 26]; [8]; [1]; [15; 41]; [19]; [2]; [5]; [29; 22]], [4700; 11800; 12000; 9500; 11300; 9700; 12000; 11900; 9600; 10000; 9200; 9800; 10400; 12000; 8800; 12000; 12000; 12000; 12000; 11800; 11900; 12000; 11900; 9200; 9900; 11800; 7900; 9700; 9600; 11900], 24500, 24501, 0.45812392234802246
