Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
29, 30, 0.800087962962963, [15; 40; 0; 31; 24; 36; 17; 12; 49; 38; 43; 35; 20; 45; 1; 2; 21; 27; 28; 6; 46; 11; 48; 13; 8; 7; 22; 32; 14; 41; 30; 23; 10; 47; 33; 19; 18; 37; 9; 3; 16; 44; 39; 34; 42; 5; 4; 25; 29; 26], [[15; 40]; [0]; [31; 24]; [36; 17]; [12; 49]; [38; 43; 35]; [20; 45]; [1]; [2]; [21]; [27; 28]; [6]; [46; 11]; [48; 13]; [8]; [7]; [22; 32]; [14; 41]; [30; 23]; [10; 47]; [33; 19]; [18; 37]; [9]; [3]; [16; 44]; [39; 34; 42]; [5]; [4]; [25; 29]; [26]], [11600; 10000; 11700; 11900; 11800; 12000; 10300; 9900; 9900; 6600; 12000; 9100; 12000; 11700; 9000; 9100; 11900; 11800; 12000; 12000; 12000; 11200; 9000; 9700; 11400; 12000; 9300; 9500; 11900; 6100], 36750, 36751, 0.6621475219726562
24, 30, 0.8035046296296297, [17; 36; 39; 43; 34; 42; 15; 31; 25; 47; 10; 35; 18; 13; 49; 26; 45; 0; 23; 30; 11; 46; 1; 7; 2; 33; 19; 21; 41; 44; 8; 4; 28; 27; 24; 29; 9; 14; 38; 16; 40; 32; 22; 20; 37; 3; 5; 48; 12; 6], [[17; 36]; [39; 43; 34]; [42; 15]; [31; 25]; [47; 10]; [35; 18]; [13; 49]; [26; 45]; [0]; [23; 30]; [11; 46]; [1]; [7]; [2]; [33; 19]; [21; 41]; [44]; [8]; [4]; [28; 27]; [24; 29]; [9]; [14; 38]; [16; 40]; [32; 22]; [20; 37]; [3]; [5]; [48; 12]; [6]], [11900; 12000; 11600; 11700; 12000; 11600; 11700; 9600; 10000; 12000; 12000; 9900; 9100; 9900; 12000; 10200; 3500; 9000; 9500; 12000; 11900; 9000; 12000; 11500; 11900; 11000; 9700; 9300; 11800; 9100], 30625, 30626, 0.5475847721099854
21, 30, 0.800064814814815, [25; 31; 29; 24; 2; 14; 42; 22; 3; 47; 10; 39; 43; 35; 1; 7; 40; 15; 0; 4; 12; 48; 17; 36; 21; 32; 28; 27; 8; 30; 23; 41; 16; 11; 46; 13; 49; 26; 6; 44; 20; 5; 9; 37; 18; 19; 33; 38; 45; 34], [[25; 31]; [29; 24]; [2]; [14; 42]; [22]; [3]; [47; 10]; [39; 43; 35]; [1]; [7]; [40; 15]; [0]; [4]; [12; 48]; [17; 36]; [21; 32]; [28; 27]; [8]; [30; 23]; [41; 16]; [11; 46]; [13; 49]; [26]; [6]; [44; 20]; [5]; [9]; [37; 18]; [19; 33]; [38; 45; 34]], [11700; 11900; 9900; 11800; 6600; 9700; 12000; 11900; 9900; 9100; 11600; 10000; 9500; 11800; 11900; 11900; 12000; 9000; 12000; 11500; 12000; 11700; 6100; 9100; 10300; 9300; 9000; 11200; 12000; 12000], 26950, 26951, 0.48464202880859375
23, 30, 0.797101851851852, [42; 18; 23; 30; 35; 38; 43; 26; 1; 2; 0; 24; 31; 3; 36; 17; 7; 8; 21; 32; 20; 44; 6; 15; 40; 48; 37; 34; 45; 22; 4; 5; 39; 14; 11; 46; 16; 41; 9; 29; 25; 13; 12; 49; 27; 28; 33; 19; 10; 47], [[42; 18]; [23; 30]; [35; 38; 43]; [26]; [1]; [2]; [0]; [24; 31]; [3]; [36; 17]; [7]; [8]; [21; 32]; [20; 44]; [6]; [15; 40]; [48; 37; 34]; [45; 22]; [4]; [5]; [39; 14]; [11; 46]; [16; 41]; [9]; [29; 25]; [13]; [12; 49]; [27; 28]; [33; 19]; [10; 47]], [10600; 12000; 12000; 6100; 9900; 9900; 10000; 11700; 9700; 11900; 9100; 9000; 11900; 10300; 9100; 11600; 12000; 10100; 9500; 9300; 11900; 12000; 11500; 9000; 11900; 8600; 11800; 12000; 12000; 12000], 29400, 29401, 0.5293471813201904
20, 30, 0.7969953703703704, [1; 33; 19; 8; 7; 12; 48; 16; 40; 30; 23; 6; 28; 27; 42; 32; 49; 36; 17; 14; 39; 38; 45; 34; 26; 24; 29; 25; 31; 15; 43; 46; 11; 35; 18; 20; 37; 5; 0; 21; 41; 10; 47; 13; 3; 44; 22; 4; 2; 9], [[1]; [33; 19]; [8]; [7]; [12; 48]; [16; 40]; [30; 23]; [6]; [28; 27]; [42; 32; 49]; [36; 17]; [14; 39]; [38; 45; 34]; [26]; [24; 29]; [25; 31]; [15; 43]; [46; 11]; [35; 18]; [20; 37]; [5]; [0]; [21; 41]; [10; 47]; [13]; [3]; [44; 22]; [4]; [2]; [9]], [9900; 12000; 9000; 9100; 11800; 11500; 12000; 9100; 12000; 12000; 11900; 11900; 12000; 6100; 11900; 11700; 11600; 12000; 11600; 11000; 9300; 10000; 10200; 12000; 8600; 9700; 10100; 9500; 9900; 9000], 25725, 25726, 0.46173524856567383
19, 30, 0.8035046296296298, [0; 22; 32; 24; 29; 35; 18; 45; 4; 2; 34; 39; 40; 43; 15; 6; 44; 26; 8; 21; 41; 48; 12; 14; 38; 37; 20; 9; 19; 33; 46; 10; 25; 31; 17; 36; 27; 28; 7; 42; 16; 30; 23; 5; 3; 47; 11; 13; 49; 1], [[0]; [22; 32]; [24; 29]; [35; 18]; [45]; [4]; [2]; [34; 39; 40]; [43; 15]; [6]; [44; 26]; [8]; [21; 41]; [48; 12]; [14; 38]; [37; 20]; [9]; [19; 33]; [46; 10]; [25; 31]; [17; 36]; [27; 28]; [7]; [42; 16]; [30; 23]; [5]; [3]; [47; 11]; [13; 49]; [1]], [10000; 11900; 11900; 11600; 3500; 9500; 9900; 12000; 11600; 9100; 9600; 9000; 10200; 11800; 12000; 11000; 9000; 12000; 12000; 11700; 11900; 12000; 9100; 11500; 12000; 9300; 9700; 12000; 11700; 9900], 24500, 24501, 0.4375886917114258
22, 30, 0.8034907407407407, [47; 10; 36; 17; 18; 34; 40; 16; 23; 30; 1; 13; 48; 14; 39; 27; 28; 22; 43; 2; 19; 33; 31; 24; 37; 20; 35; 38; 41; 0; 21; 32; 15; 42; 9; 26; 45; 7; 5; 11; 46; 12; 49; 6; 3; 25; 29; 44; 8; 4], [[47; 10]; [36; 17]; [18; 34]; [40; 16]; [23; 30]; [1]; [13; 48]; [14; 39]; [27; 28]; [22; 43]; [2]; [19; 33]; [31; 24]; [37; 20]; [35; 38; 41]; [0]; [21; 32]; [15; 42]; [9]; [26; 45]; [7]; [5]; [11; 46]; [12; 49]; [6]; [3]; [25; 29]; [44]; [8]; [4]], [12000; 11900; 11700; 11500; 12000; 9900; 11700; 11900; 12000; 10200; 9900; 12000; 11700; 11000; 12000; 10000; 11900; 11600; 9000; 9600; 9100; 9300; 12000; 11800; 9100; 9700; 11900; 3500; 9000; 9500], 28175, 28176, 0.5150580406188965
23, 30, 0.8034907407407407, [6; 29; 25; 28; 27; 0; 45; 8; 5; 15; 43; 7; 4; 40; 22; 34; 18; 46; 11; 32; 21; 26; 44; 36; 17; 9; 19; 33; 1; 35; 38; 41; 31; 24; 12; 48; 20; 37; 13; 49; 2; 3; 39; 14; 23; 30; 42; 16; 47; 10], [[6]; [29; 25]; [28; 27]; [0]; [45]; [8]; [5]; [15; 43]; [7]; [4]; [40; 22]; [34; 18]; [46; 11]; [32; 21]; [26; 44]; [36; 17]; [9]; [19; 33]; [1]; [35; 38; 41]; [31; 24]; [12; 48]; [20; 37]; [13; 49]; [2]; [3]; [39; 14]; [23; 30]; [42; 16]; [47; 10]], [9100; 11900; 12000; 10000; 3500; 9000; 9300; 11600; 9100; 9500; 10200; 11700; 12000; 11900; 9600; 11900; 9000; 12000; 9900; 12000; 11700; 11800; 11000; 11700; 9900; 9700; 11900; 12000; 11500; 12000], 29400, 29401, 0.5474591255187988
19, 30, 0.8000879629629629, [9; 21; 23; 30; 22; 32; 28; 27; 31; 25; 17; 36; 5; 19; 33; 10; 47; 13; 49; 2; 48; 12; 6; 11; 46; 8; 0; 34; 39; 42; 3; 40; 35; 43; 4; 7; 24; 29; 15; 41; 26; 16; 45; 18; 37; 14; 38; 44; 20; 1], [[9]; [21]; [23; 30]; [22; 32]; [28; 27]; [31; 25]; [17; 36]; [5]; [19; 33]; [10; 47]; [13; 49]; [2]; [48; 12]; [6]; [11; 46]; [8]; [0]; [34; 39; 42]; [3]; [40; 35; 43]; [4]; [7]; [24; 29]; [15; 41]; [26]; [16; 45]; [18; 37]; [14; 38]; [44; 20]; [1]], [9000; 6600; 12000; 11900; 12000; 11700; 11900; 9300; 12000; 12000; 11700; 9900; 11800; 9100; 12000; 9000; 10000; 12000; 9700; 11800; 9500; 9100; 11900; 11600; 6100; 11400; 11200; 12000; 10300; 9900], 24500, 24501, 0.43595361709594727
20, 30, 0.8035046296296299, [16; 43; 9; 17; 36; 4; 23; 30; 0; 1; 45; 3; 5; 8; 35; 18; 15; 40; 26; 44; 49; 13; 34; 39; 42; 31; 24; 29; 25; 21; 32; 47; 10; 2; 11; 46; 7; 28; 27; 48; 12; 37; 20; 14; 38; 41; 22; 19; 33; 6], [[16; 43]; [9]; [17; 36]; [4]; [23; 30]; [0]; [1]; [45]; [3]; [5]; [8]; [35; 18]; [15; 40]; [26; 44]; [49; 13]; [34; 39; 42]; [31; 24]; [29; 25]; [21; 32]; [47; 10]; [2]; [11; 46]; [7]; [28; 27]; [48; 12]; [37; 20]; [14; 38]; [41; 22]; [19; 33]; [6]], [11500; 9000; 11900; 9500; 12000; 10000; 9900; 3500; 9700; 9300; 9000; 11600; 11600; 9600; 11700; 12000; 11700; 11900; 11900; 12000; 9900; 12000; 9100; 12000; 11800; 11000; 12000; 10200; 12000; 9100], 25725, 25726, 0.46919965744018555
