Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
5, 35, 0.6506626984126983, [20; 18; 24; 40; 12; 1; 11; 30; 9; 28; 39; 16; 41; 7; 48; 22; 3; 25; 19; 0; 46; 8; 47; 49; 37; 4; 15; 2; 42; 17; 26; 33; 34; 43; 14; 21; 44; 36; 31; 23; 32; 35; 6; 5; 38; 29; 13; 27; 10; 45], [[20]; [18]; [24; 40]; [12]; [1]; [11]; [30]; [9]; [28; 39]; [16; 41]; [7; 48]; [22]; [3]; [25]; [19]; [0]; [46; 8]; [47; 49; 37]; [4]; [15]; [2]; [42; 17]; [26]; [33; 34]; [43; 14]; [21; 44]; [36; 31]; [23]; [32; 35]; [6]; [5]; [38; 29]; [13]; [27]; [10; 45]], [7500; 7600; 11800; 8000; 9200; 8300; 6700; 8400; 12000; 11800; 11500; 7500; 8800; 7400; 7600; 9700; 11500; 11500; 8700; 7800; 9100; 11600; 7200; 11600; 11700; 11200; 11800; 7400; 11400; 8500; 8600; 12000; 8000; 7100; 11900], 6125, 6126, 0.18012070655822754
5, 35, 0.6501468253968251, [28; 17; 12; 20; 22; 15; 34; 31; 33; 32; 9; 7; 48; 44; 21; 0; 45; 37; 49; 6; 47; 39; 27; 41; 19; 24; 11; 4; 46; 5; 23; 43; 42; 18; 14; 2; 25; 36; 35; 1; 16; 3; 40; 26; 13; 30; 10; 8; 38; 29], [[28]; [17]; [12]; [20]; [22]; [15]; [34; 31]; [33; 32]; [9]; [7; 48]; [44; 21]; [0]; [45; 37; 49]; [6; 47]; [39; 27]; [41; 19]; [24]; [11]; [4; 46]; [5]; [23; 43]; [42; 18]; [14]; [2]; [25]; [36; 35]; [1]; [16]; [3]; [40; 26]; [13]; [30]; [10]; [8]; [38; 29]], [7100; 7600; 8000; 7500; 7500; 7800; 12000; 11800; 8400; 11500; 11200; 9700; 11900; 11600; 12000; 11800; 7400; 8300; 11800; 8600; 11200; 11600; 7900; 9100; 7400; 11000; 9200; 7600; 8800; 11600; 8000; 6700; 8400; 8400; 12000], 6125, 6126, 0.1576216220855713
6, 35, 0.6509007936507938, [44; 11; 22; 10; 12; 1; 30; 38; 27; 39; 34; 32; 41; 20; 24; 13; 42; 2; 43; 21; 28; 3; 0; 37; 29; 7; 19; 5; 49; 16; 48; 23; 6; 9; 14; 35; 33; 26; 47; 25; 8; 4; 15; 45; 17; 40; 31; 36; 46; 18], [[44; 11]; [22]; [10]; [12]; [1]; [30; 38]; [27; 39]; [34; 32]; [41; 20]; [24]; [13; 42]; [2]; [43; 21]; [28]; [3]; [0]; [37]; [29]; [7]; [19]; [5; 49]; [16; 48]; [23]; [6]; [9]; [14]; [35; 33]; [26; 47]; [25]; [8]; [4]; [15; 45]; [17; 40]; [31; 36]; [46; 18]], [12000; 7500; 8400; 8000; 9200; 11700; 12000; 11600; 11700; 7400; 12000; 9100; 11300; 7100; 8800; 9700; 5400; 7000; 8500; 7600; 11600; 10600; 7400; 8500; 8400; 7900; 11400; 10300; 7400; 8400; 8700; 11300; 12000; 11800; 10700], 7350, 7351, 0.18853306770324707
6, 35, 0.6547579365079363, [14; 6; 30; 2; 48; 10; 21; 28; 39; 16; 32; 35; 1; 12; 27; 4; 45; 15; 37; 33; 8; 46; 43; 20; 17; 11; 44; 49; 9; 7; 47; 22; 34; 31; 23; 25; 13; 42; 24; 5; 18; 40; 0; 41; 19; 26; 38; 29; 36; 3], [[14]; [6]; [30]; [2]; [48; 10]; [21]; [28; 39]; [16]; [32; 35]; [1]; [12]; [27]; [4]; [45; 15]; [37; 33]; [8; 46]; [43; 20]; [17]; [11; 44]; [49; 9]; [7; 47]; [22]; [34; 31]; [23]; [25]; [13; 42]; [24]; [5]; [18; 40]; [0]; [41; 19]; [26]; [38; 29]; [36]; [3]], [7900; 8500; 6700; 9100; 11400; 7500; 12000; 7600; 11400; 9200; 8000; 7100; 8700; 11300; 11300; 11500; 11300; 7600; 12000; 11400; 11600; 7500; 12000; 7400; 7400; 12000; 7400; 8600; 12000; 9700; 11800; 7200; 12000; 5500; 8800], 7350, 7351, 0.1796741485595703
6, 35, 0.6512936507936508, [30; 38; 13; 46; 21; 16; 27; 39; 6; 20; 7; 49; 3; 4; 47; 23; 45; 19; 15; 2; 37; 9; 36; 35; 26; 1; 11; 48; 12; 18; 29; 25; 17; 41; 28; 42; 10; 8; 34; 31; 0; 43; 22; 14; 44; 32; 33; 24; 40; 5], [[30; 38]; [13; 46]; [21]; [16]; [27; 39]; [6]; [20]; [7; 49]; [3]; [4; 47]; [23; 45]; [19]; [15]; [2]; [37]; [9]; [36; 35]; [26]; [1]; [11; 48]; [12]; [18]; [29]; [25]; [17; 41]; [28; 42]; [10]; [8]; [34; 31]; [0]; [43; 22]; [14; 44]; [32; 33]; [24; 40]; [5]], [11700; 11100; 7500; 7600; 12000; 8500; 7500; 11500; 8800; 11800; 10900; 7600; 7800; 9100; 5400; 8400; 11000; 7200; 9200; 11300; 8000; 7600; 7000; 7400; 11800; 11100; 8400; 8400; 12000; 9700; 11300; 11600; 11800; 11800; 8600], 7350, 7351, 0.18749547004699707
7, 35, 0.6538769841269843, [10; 32; 33; 14; 19; 41; 12; 43; 11; 45; 44; 15; 37; 26; 16; 38; 29; 42; 22; 46; 9; 0; 1; 7; 13; 30; 8; 3; 6; 49; 17; 24; 40; 47; 18; 27; 39; 2; 20; 5; 48; 23; 28; 31; 34; 25; 21; 4; 36; 35], [[10]; [32; 33]; [14]; [19; 41]; [12; 43]; [11; 45]; [44; 15]; [37]; [26]; [16]; [38; 29]; [42; 22]; [46; 9]; [0]; [1]; [7]; [13]; [30]; [8]; [3]; [6; 49]; [17]; [24; 40]; [47; 18]; [27; 39]; [2]; [20]; [5; 48]; [23]; [28]; [31; 34]; [25]; [21]; [4]; [36; 35]], [8400; 11800; 7900; 11800; 11800; 11800; 11500; 5400; 7200; 7600; 12000; 11500; 11500; 9700; 9200; 8500; 8000; 6700; 8400; 8800; 11500; 7600; 11800; 10700; 12000; 9100; 7500; 11600; 7400; 7100; 12000; 7400; 7500; 8700; 11000], 8575, 8576, 0.21452760696411133
5, 35, 0.6526349206349206, [47; 17; 10; 8; 45; 16; 40; 24; 48; 34; 31; 5; 0; 14; 35; 33; 30; 15; 3; 11; 25; 1; 43; 13; 38; 29; 7; 20; 42; 49; 6; 18; 27; 39; 9; 2; 37; 19; 26; 28; 21; 44; 4; 46; 41; 22; 12; 23; 36; 32], [[47; 17]; [10]; [8; 45]; [16; 40]; [24; 48]; [34; 31]; [5]; [0]; [14]; [35; 33]; [30]; [15]; [3]; [11]; [25]; [1]; [43; 13]; [38; 29]; [7]; [20; 42]; [49; 6]; [18]; [27; 39]; [9]; [2]; [37]; [19]; [26]; [28]; [21; 44]; [4; 46]; [41; 22]; [12]; [23]; [36; 32]], [10700; 8400; 11900; 12000; 10400; 12000; 8600; 9700; 7900; 11400; 6700; 7800; 8800; 8300; 7400; 9200; 11800; 12000; 8500; 11500; 11500; 7600; 12000; 8400; 9100; 5400; 7600; 7200; 7100; 11200; 11800; 11700; 8000; 7400; 11400], 6125, 6126, 0.32245564460754395
4, 35, 0.652563492063492, [0; 6; 48; 43; 26; 4; 49; 18; 16; 15; 20; 46; 30; 39; 5; 31; 36; 32; 33; 14; 7; 45; 28; 10; 9; 12; 23; 37; 13; 44; 22; 41; 42; 25; 2; 3; 47; 27; 1; 40; 24; 34; 35; 11; 8; 21; 17; 19; 38; 29], [[0]; [6; 48]; [43; 26]; [4; 49]; [18]; [16]; [15]; [20; 46]; [30; 39]; [5]; [31; 36]; [32; 33]; [14]; [7; 45]; [28]; [10]; [9]; [12]; [23]; [37]; [13; 44]; [22; 41]; [42; 25]; [2]; [3; 47]; [27]; [1]; [40; 24]; [34; 35]; [11]; [8]; [21]; [17]; [19]; [38; 29]], [9700; 11500; 11000; 11700; 7600; 7600; 7800; 10600; 11600; 8600; 11800; 11800; 7900; 12000; 7100; 8400; 8400; 8000; 7400; 5400; 11700; 11700; 11400; 9100; 11900; 7100; 9200; 11800; 11200; 8300; 8400; 7500; 7600; 7600; 12000], 4900, 4901, 0.2902226448059082
5, 35, 0.6502380952380952, [49; 3; 22; 18; 19; 27; 2; 20; 29; 11; 44; 46; 10; 26; 47; 37; 33; 1; 45; 9; 13; 42; 7; 12; 8; 15; 43; 24; 40; 25; 36; 31; 28; 41; 16; 23; 35; 39; 5; 48; 34; 32; 21; 4; 38; 30; 17; 6; 14; 0], [[49; 3]; [22]; [18]; [19]; [27]; [2]; [20]; [29]; [11; 44]; [46; 10]; [26; 47]; [37; 33]; [1]; [45; 9]; [13; 42]; [7]; [12]; [8]; [15; 43]; [24; 40]; [25]; [36; 31]; [28; 41]; [16]; [23]; [35; 39]; [5; 48]; [34; 32]; [21]; [4]; [38; 30]; [17]; [6]; [14]; [0]], [11800; 7500; 7600; 7600; 7100; 9100; 7500; 7000; 12000; 11500; 10300; 11300; 9200; 11900; 12000; 8500; 8000; 8400; 11600; 11800; 7400; 11800; 11300; 7600; 7400; 10400; 11600; 11600; 7500; 8700; 11700; 7600; 8500; 7900; 9700], 6125, 6126, 0.2701277732849121
5, 35, 0.6485674603174603, [19; 7; 14; 48; 34; 33; 49; 21; 26; 12; 44; 1; 42; 15; 17; 45; 27; 39; 6; 13; 46; 29; 22; 9; 5; 28; 36; 38; 31; 35; 11; 18; 10; 43; 16; 0; 30; 32; 37; 23; 8; 24; 25; 41; 4; 2; 40; 20; 47; 3], [[19]; [7]; [14; 48]; [34; 33]; [49; 21]; [26]; [12; 44]; [1]; [42; 15]; [17; 45]; [27; 39]; [6]; [13; 46]; [29]; [22]; [9]; [5]; [28]; [36; 38]; [31; 35]; [11]; [18]; [10]; [43; 16]; [0]; [30]; [32; 37]; [23]; [8]; [24]; [25; 41]; [4]; [2]; [40; 20]; [47; 3]], [7600; 8500; 10900; 11600; 10500; 7200; 11700; 9200; 11800; 11100; 12000; 8500; 11100; 7000; 7500; 8400; 8600; 7100; 10500; 11800; 8300; 7600; 8400; 11400; 9700; 6700; 11300; 7400; 8400; 7400; 11600; 8700; 9100; 11900; 11900], 6125, 6126, 0.22097134590148926
