Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
21, 31, 0.7900067204301076, [31; 26; 39; 14; 17; 37; 9; 16; 38; 48; 3; 45; 23; 8; 49; 11; 27; 29; 32; 25; 30; 28; 43; 22; 19; 35; 7; 2; 1; 21; 34; 4; 13; 42; 0; 10; 12; 46; 5; 18; 36; 6; 44; 24; 15; 40; 41; 20; 47; 33], [[31; 26]; [39; 14]; [17; 37]; [9]; [16; 38]; [48]; [3]; [45; 23]; [8; 49]; [11]; [27; 29]; [32; 25]; [30; 28]; [43; 22]; [19; 35]; [7]; [2]; [1]; [21; 34]; [4]; [13; 42]; [0]; [10]; [12; 46]; [5]; [18; 36]; [6]; [44; 24]; [15; 40]; [41; 20]; [47; 33]], [12000; 12000; 12000; 8900; 12000; 3400; 9800; 10700; 12000; 8800; 12000; 12000; 11700; 11000; 12000; 9000; 9800; 9900; 11900; 9400; 12000; 9900; 8900; 12000; 9300; 11900; 9200; 10600; 11800; 11300; 8700], 26950, 26951, 0.5485062599182129
25, 31, 0.7900067204301077, [28; 30; 22; 34; 29; 27; 33; 47; 10; 15; 40; 7; 12; 46; 49; 8; 3; 2; 11; 31; 26; 45; 24; 48; 0; 32; 25; 17; 36; 44; 23; 38; 18; 1; 13; 42; 9; 5; 16; 37; 21; 43; 20; 41; 14; 39; 4; 35; 19; 6], [[28; 30]; [22; 34]; [29; 27]; [33; 47]; [10]; [15; 40]; [7]; [12; 46]; [49; 8]; [3]; [2]; [11]; [31; 26]; [45; 24]; [48]; [0]; [32; 25]; [17; 36]; [44; 23]; [38; 18]; [1]; [13; 42]; [9]; [5]; [16; 37]; [21; 43]; [20; 41]; [14; 39]; [4]; [35; 19]; [6]], [11700; 11900; 12000; 8700; 8900; 11800; 9000; 12000; 12000; 9800; 9800; 8800; 12000; 10600; 3400; 9900; 12000; 12000; 10700; 11900; 9900; 12000; 8900; 9300; 12000; 11000; 11300; 12000; 9400; 12000; 9200], 31850, 31851, 0.6146163940429688
19, 31, 0.7900067204301074, [14; 39; 0; 15; 40; 18; 37; 42; 13; 43; 22; 3; 19; 35; 31; 26; 20; 41; 12; 46; 1; 9; 2; 10; 21; 34; 7; 6; 36; 16; 11; 4; 38; 17; 5; 48; 8; 49; 32; 25; 28; 29; 24; 44; 30; 27; 45; 23; 33; 47], [[14; 39]; [0]; [15; 40]; [18; 37]; [42; 13]; [43; 22]; [3]; [19; 35]; [31; 26]; [20; 41]; [12; 46]; [1]; [9]; [2]; [10]; [21; 34]; [7]; [6]; [36; 16]; [11]; [4]; [38; 17]; [5]; [48]; [8; 49]; [32; 25]; [28; 29]; [24; 44]; [30; 27]; [45; 23]; [33; 47]], [12000; 9900; 11800; 11900; 12000; 11000; 9800; 12000; 12000; 11300; 12000; 9900; 8900; 9800; 8900; 11900; 9000; 9200; 12000; 8800; 9400; 12000; 9300; 3400; 12000; 12000; 11700; 10600; 12000; 10700; 8700], 24500, 24501, 0.4906916618347168
21, 31, 0.7872468637992832, [6; 36; 16; 30; 27; 9; 1; 2; 28; 29; 24; 0; 11; 10; 38; 17; 41; 19; 34; 22; 39; 14; 3; 37; 18; 43; 35; 45; 25; 32; 42; 13; 48; 23; 8; 31; 26; 47; 21; 49; 7; 20; 44; 33; 15; 40; 5; 46; 12; 4], [[6]; [36; 16]; [30; 27]; [9]; [1]; [2]; [28; 29]; [24]; [0]; [11]; [10]; [38; 17]; [41; 19]; [34; 22]; [39; 14]; [3]; [37; 18]; [43; 35; 45]; [25; 32]; [42; 13]; [48; 23]; [8]; [31; 26]; [47; 21]; [49; 7]; [20; 44]; [33]; [15; 40]; [5]; [46; 12]; [4]], [9200; 12000; 12000; 8900; 9900; 9800; 11700; 6900; 9900; 8800; 8900; 12000; 11400; 11900; 12000; 9800; 11900; 12000; 12000; 12000; 10400; 9000; 12000; 10700; 12000; 11100; 5200; 11800; 9300; 12000; 9400], 26950, 26951, 0.5167343616485596
19, 31, 0.7871706989247313, [4; 1; 18; 38; 28; 30; 9; 26; 31; 29; 27; 3; 2; 43; 19; 10; 23; 48; 33; 20; 45; 17; 37; 13; 41; 11; 14; 39; 34; 21; 0; 6; 5; 15; 40; 22; 44; 8; 49; 25; 32; 7; 16; 36; 35; 46; 42; 47; 12; 24], [[4]; [1]; [18; 38]; [28; 30]; [9]; [26; 31]; [29; 27]; [3]; [2]; [43; 19]; [10]; [23; 48]; [33]; [20; 45]; [17; 37]; [13; 41]; [11]; [14; 39]; [34; 21]; [0]; [6]; [5]; [15; 40]; [22; 44]; [8; 49]; [25; 32]; [7]; [16; 36]; [35; 46; 42]; [47; 12]; [24]], [9400; 9900; 11900; 11700; 8900; 12000; 12000; 9800; 9800; 11300; 8900; 10400; 5200; 11100; 12000; 12000; 8800; 12000; 11900; 9900; 9200; 9300; 11800; 10900; 12000; 12000; 9000; 12000; 12000; 11900; 6900], 24500, 24501, 0.7828590869903564
26, 31, 0.7900067204301077, [10; 1; 7; 48; 0; 14; 39; 2; 43; 22; 42; 20; 40; 15; 28; 29; 17; 38; 8; 49; 11; 24; 45; 6; 3; 4; 26; 31; 34; 21; 35; 19; 9; 44; 23; 27; 30; 12; 46; 16; 36; 47; 33; 41; 13; 18; 37; 32; 25; 5], [[10]; [1]; [7]; [48]; [0]; [14; 39]; [2]; [43; 22]; [42; 20]; [40; 15]; [28; 29]; [17; 38]; [8; 49]; [11]; [24; 45]; [6]; [3]; [4]; [26; 31]; [34; 21]; [35; 19]; [9]; [44; 23]; [27; 30]; [12; 46]; [16; 36]; [47; 33]; [41; 13]; [18; 37]; [32; 25]; [5]], [8900; 9900; 9000; 3400; 9900; 12000; 9800; 11000; 11300; 11800; 11700; 12000; 12000; 8800; 10600; 9200; 9800; 9400; 12000; 11900; 12000; 8900; 10700; 12000; 12000; 12000; 8700; 12000; 11900; 12000; 9300], 33075, 33076, 1.0402617454528809
21, 31, 0.7900067204301076, [33; 47; 13; 42; 29; 28; 11; 5; 3; 45; 24; 26; 31; 43; 21; 35; 19; 0; 15; 40; 6; 46; 12; 27; 30; 7; 36; 16; 2; 14; 39; 18; 38; 1; 4; 48; 9; 10; 23; 44; 37; 17; 32; 25; 20; 41; 22; 34; 49; 8], [[33; 47]; [13; 42]; [29; 28]; [11]; [5]; [3]; [45; 24]; [26; 31]; [43; 21]; [35; 19]; [0]; [15; 40]; [6]; [46; 12]; [27; 30]; [7]; [36; 16]; [2]; [14; 39]; [18; 38]; [1]; [4]; [48]; [9]; [10]; [23; 44]; [37; 17]; [32; 25]; [20; 41]; [22; 34]; [49; 8]], [8700; 12000; 11700; 8800; 9300; 9800; 10600; 12000; 11000; 12000; 9900; 11800; 9200; 12000; 12000; 9000; 12000; 9800; 12000; 11900; 9900; 9400; 3400; 8900; 8900; 10700; 12000; 12000; 11300; 11900; 12000], 26950, 26951, 0.7800705432891846
18, 31, 0.7900067204301078, [17; 37; 6; 1; 0; 45; 23; 31; 26; 40; 15; 46; 12; 21; 43; 3; 34; 22; 10; 25; 32; 13; 41; 28; 30; 19; 35; 2; 36; 18; 11; 16; 38; 9; 48; 5; 7; 4; 14; 39; 47; 33; 20; 42; 27; 29; 24; 44; 49; 8], [[17; 37]; [6]; [1]; [0]; [45; 23]; [31; 26]; [40; 15]; [46; 12]; [21; 43]; [3]; [34; 22]; [10]; [25; 32]; [13; 41]; [28; 30]; [19; 35]; [2]; [36; 18]; [11]; [16; 38]; [9]; [48]; [5]; [7]; [4]; [14; 39]; [47; 33]; [20; 42]; [27; 29]; [24; 44]; [49; 8]], [12000; 9200; 9900; 9900; 10700; 12000; 11800; 12000; 11000; 9800; 11900; 8900; 12000; 12000; 11700; 12000; 9800; 11900; 8800; 12000; 8900; 3400; 9300; 9000; 9400; 12000; 8700; 11300; 12000; 10600; 12000], 23275, 23276, 0.6625790596008301
22, 31, 0.7900067204301076, [34; 21; 6; 44; 24; 30; 27; 2; 11; 33; 47; 19; 35; 10; 42; 13; 17; 36; 23; 45; 31; 26; 4; 14; 39; 37; 18; 3; 40; 15; 0; 43; 22; 7; 9; 1; 8; 49; 20; 41; 16; 38; 5; 25; 32; 29; 28; 12; 46; 48], [[34; 21]; [6]; [44; 24]; [30; 27]; [2]; [11]; [33; 47]; [19; 35]; [10]; [42; 13]; [17; 36]; [23; 45]; [31; 26]; [4]; [14; 39]; [37; 18]; [3]; [40; 15]; [0]; [43; 22]; [7]; [9]; [1]; [8; 49]; [20; 41]; [16; 38]; [5]; [25; 32]; [29; 28]; [12; 46]; [48]], [11900; 9200; 10600; 12000; 9800; 8800; 8700; 12000; 8900; 12000; 12000; 10700; 12000; 9400; 12000; 11900; 9800; 11800; 9900; 11000; 9000; 8900; 9900; 12000; 11300; 12000; 9300; 12000; 11700; 12000; 3400], 28175, 28176, 0.7789323329925537
21, 31, 0.7900067204301078, [0; 29; 27; 44; 24; 2; 48; 6; 26; 31; 40; 15; 35; 19; 33; 47; 3; 8; 49; 1; 21; 34; 17; 37; 28; 30; 16; 38; 11; 45; 23; 25; 32; 39; 14; 42; 13; 43; 22; 5; 18; 36; 4; 12; 46; 10; 7; 20; 41; 9], [[0]; [29; 27]; [44; 24]; [2]; [48]; [6]; [26; 31]; [40; 15]; [35; 19]; [33; 47]; [3]; [8; 49]; [1]; [21; 34]; [17; 37]; [28; 30]; [16; 38]; [11]; [45; 23]; [25; 32]; [39; 14]; [42; 13]; [43; 22]; [5]; [18; 36]; [4]; [12; 46]; [10]; [7]; [20; 41]; [9]], [9900; 12000; 10600; 9800; 3400; 9200; 12000; 11800; 12000; 8700; 9800; 12000; 9900; 11900; 12000; 11700; 12000; 8800; 10700; 12000; 12000; 12000; 11000; 9300; 11900; 9400; 12000; 8900; 9000; 11300; 8900], 26950, 26951, 0.8475403785705566
