Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
3, 16, 0.8907333333333334, [15; 5; 29; 49; 35; 10; 6; 17; 47; 31; 33; 43; 13; 4; 48; 26; 22; 41; 11; 14; 12; 38; 7; 16; 30; 46; 28; 25; 27; 23; 32; 45; 34; 9; 36; 21; 1; 24; 18; 3; 39; 42; 20; 8; 37; 44; 2; 40; 19; 0], [[15; 5]; [29; 49; 35; 10]; [6; 17; 47]; [31; 33; 43; 13]; [4; 48; 26]; [22; 41; 11]; [14; 12]; [38; 7; 16]; [30; 46; 28; 25]; [27; 23; 32; 45; 34]; [9; 36; 21]; [1; 24]; [18; 3]; [39; 42; 20; 8]; [37; 44; 2; 40]; [19; 0]], [15000; 13500; 14400; 14100; 14200; 13300; 15000; 14900; 11400; 14700; 14300; 14200; 14600; 14800; 12700; 14900], 3675, 3676, 0.0696873664855957
6, 16, 0.8983111111111111, [16; 5; 46; 24; 38; 9; 29; 43; 30; 14; 7; 6; 15; 21; 3; 22; 45; 10; 36; 11; 27; 49; 44; 33; 28; 8; 42; 34; 26; 0; 1; 32; 13; 17; 35; 19; 4; 48; 31; 40; 2; 41; 25; 18; 20; 39; 23; 12; 47; 37], [[16; 5; 46]; [24; 38; 9]; [29; 43; 30; 14]; [7]; [6; 15]; [21; 3]; [22; 45; 10; 36]; [11; 27; 49; 44; 33]; [28; 8; 42; 34]; [26; 0]; [1; 32]; [13; 17; 35]; [19; 4; 48]; [31; 40; 2; 41]; [25; 18; 20; 39]; [23; 12; 47; 37]], [14900; 13700; 14800; 8300; 14900; 14400; 14700; 15000; 15000; 14100; 12800; 14700; 15000; 14700; 15000; 14000], 7350, 7351, 0.12061882019042969
5, 16, 0.8932222222222223, [34; 31; 11; 43; 21; 35; 32; 48; 24; 15; 6; 36; 1; 7; 37; 26; 16; 9; 39; 12; 14; 2; 27; 40; 3; 22; 42; 17; 8; 4; 47; 49; 23; 33; 41; 13; 20; 46; 38; 28; 18; 19; 5; 44; 0; 25; 45; 29; 10; 30], [[34; 31; 11; 43]; [21; 35; 32; 48; 24]; [15; 6]; [36; 1]; [7; 37; 26]; [16; 9; 39]; [12; 14]; [2; 27; 40]; [3; 22]; [42; 17; 8]; [4; 47; 49; 23]; [33; 41; 13]; [20; 46; 38; 28; 18]; [19; 5; 44]; [0; 25; 45]; [29; 10; 30]], [14200; 15000; 14900; 11100; 13800; 14600; 15000; 14400; 14300; 14100; 14700; 11000; 14900; 14700; 14800; 14500], 6125, 6126, 0.11297225952148438
6, 16, 0.8910277777777778, [19; 3; 8; 42; 18; 17; 6; 13; 15; 48; 4; 31; 36; 40; 24; 39; 26; 20; 29; 25; 22; 34; 49; 5; 16; 11; 32; 1; 27; 44; 7; 46; 21; 23; 9; 45; 12; 14; 28; 38; 0; 2; 30; 35; 33; 47; 10; 41; 43; 37], [[19; 3]; [8; 42; 18]; [17; 6]; [13; 15; 48]; [4; 31; 36; 40]; [24; 39; 26; 20]; [29; 25; 22; 34; 49]; [5; 16]; [11; 32]; [1; 27; 44]; [7; 46; 21]; [23; 9; 45]; [12; 14]; [28; 38; 0]; [2; 30; 35]; [33; 47; 10; 41; 43; 37]], [14600; 14000; 13900; 14100; 15000; 14500; 14900; 14400; 10800; 14300; 13600; 13400; 15000; 14500; 15000; 14000], 7350, 7351, 0.1313490867614746
6, 16, 0.8908722222222224, [7; 22; 25; 44; 26; 38; 24; 12; 41; 15; 4; 39; 28; 29; 35; 43; 11; 0; 21; 16; 36; 8; 1; 27; 37; 33; 32; 45; 23; 31; 42; 10; 49; 18; 2; 20; 3; 30; 14; 13; 48; 46; 47; 9; 19; 6; 34; 5; 40; 17], [[7; 22]; [25; 44; 26; 38; 24]; [12; 41; 15]; [4; 39; 28]; [29; 35; 43; 11]; [0; 21]; [16; 36; 8]; [1; 27; 37]; [33; 32; 45; 23; 31]; [42; 10; 49; 18]; [2; 20]; [3; 30]; [14; 13]; [48; 46; 47; 9; 19]; [6; 34]; [5; 40; 17]], [13000; 14800; 14600; 14000; 14000; 14700; 15000; 14800; 14200; 13900; 14500; 12800; 14900; 14600; 11300; 14900], 7350, 7351, 0.1291649341583252
9, 16, 0.8998555555555555, [4; 16; 6; 27; 46; 41; 10; 31; 29; 2; 26; 21; 24; 17; 45; 36; 9; 38; 30; 1; 22; 43; 44; 18; 8; 19; 20; 32; 47; 35; 28; 39; 7; 48; 33; 3; 37; 40; 0; 42; 25; 23; 13; 34; 49; 11; 12; 14; 5; 15], [[4; 16]; [6; 27; 46; 41]; [10; 31; 29]; [2; 26]; [21; 24; 17]; [45; 36; 9; 38; 30]; [1; 22]; [43; 44; 18; 8]; [19; 20; 32; 47]; [35; 28; 39; 7]; [48; 33; 3; 37; 40]; [0; 42; 25]; [23; 13; 34; 49]; [11]; [12; 14]; [5; 15]], [15000; 14000; 14500; 13900; 14400; 14500; 14400; 14700; 13400; 14900; 14900; 15000; 14700; 7700; 15000; 15000], 11025, 11026, 0.1845102310180664
7, 16, 0.8968333333333333, [48; 9; 3; 41; 36; 32; 5; 17; 28; 31; 10; 0; 29; 19; 18; 21; 23; 2; 1; 27; 40; 30; 43; 49; 15; 24; 47; 42; 16; 11; 12; 34; 20; 4; 35; 46; 33; 39; 44; 45; 7; 25; 13; 14; 26; 38; 8; 37; 6; 22], [[48; 9]; [3; 41; 36; 32]; [5; 17]; [28; 31; 10]; [0; 29]; [19; 18; 21]; [23; 2]; [1; 27; 40]; [30; 43; 49; 15; 24]; [47; 42; 16; 11]; [12; 34; 20]; [4; 35; 46; 33]; [39; 44; 45; 7; 25]; [13; 14]; [26; 38; 8; 37]; [6; 22]], [8600; 15000; 14000; 14600; 13300; 14800; 14300; 14400; 14700; 14600; 14900; 14700; 15000; 14900; 14700; 13500], 8575, 8576, 0.15367579460144043
5, 16, 0.8969500000000001, [26; 3; 38; 43; 40; 25; 8; 35; 19; 11; 2; 36; 27; 12; 23; 6; 44; 41; 45; 49; 31; 1; 24; 7; 30; 28; 34; 13; 18; 32; 17; 16; 33; 42; 14; 48; 29; 4; 47; 20; 10; 39; 15; 0; 21; 5; 9; 46; 37; 22], [[26; 3; 38]; [43; 40; 25; 8]; [35; 19; 11]; [2; 36; 27]; [12; 23]; [6; 44; 41; 45; 49; 31]; [1; 24]; [7; 30; 28]; [34; 13; 18]; [32; 17; 16]; [33; 42; 14; 48; 29]; [4; 47; 20]; [10; 39; 15]; [0; 21]; [5]; [9; 46; 37; 22]], [14900; 14000; 14800; 14900; 12200; 14500; 14200; 15000; 15000; 13700; 14800; 14800; 15000; 14700; 8900; 14600], 6125, 6126, 0.13196802139282227
8, 16, 0.8902333333333333, [17; 11; 13; 16; 35; 10; 19; 34; 22; 14; 32; 1; 9; 20; 48; 41; 30; 3; 25; 2; 39; 49; 7; 23; 0; 26; 6; 40; 21; 47; 37; 27; 45; 8; 42; 44; 5; 18; 33; 24; 15; 36; 12; 43; 29; 31; 28; 4; 46; 38], [[17; 11]; [13; 16]; [35; 10; 19]; [34; 22; 14]; [32; 1]; [9; 20; 48; 41]; [30; 3]; [25; 2; 39; 49]; [7; 23]; [0; 26]; [6; 40; 21; 47]; [37; 27; 45; 8; 42]; [44; 5; 18]; [33; 24; 15; 36]; [12; 43; 29; 31]; [28; 4; 46; 38]], [12800; 13000; 15000; 14600; 12800; 14300; 12800; 15000; 12900; 14100; 15000; 14800; 14700; 14600; 15000; 14600], 9800, 9801, 0.18463730812072754
3, 16, 0.89155, [12; 23; 33; 10; 22; 26; 34; 8; 29; 27; 36; 30; 28; 44; 45; 37; 9; 14; 13; 42; 24; 3; 32; 11; 38; 47; 35; 6; 18; 2; 21; 5; 15; 4; 16; 25; 49; 1; 0; 20; 41; 39; 17; 31; 40; 43; 19; 48; 7; 46], [[12; 23; 33]; [10; 22]; [26; 34; 8]; [29; 27; 36; 30]; [28; 44; 45; 37; 9]; [14; 13]; [42; 24; 3]; [32; 11; 38; 47; 35]; [6; 18]; [2; 21]; [5; 15]; [4; 16]; [25; 49; 1]; [0; 20]; [41; 39; 17; 31; 40; 43]; [19; 48; 7; 46]], [14800; 12600; 14800; 11800; 14400; 14900; 15000; 14500; 13800; 14500; 15000; 15000; 14000; 14700; 11900; 14300], 3675, 3676, 0.053858041763305664
