Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
19, 20, 0.8998977777777778, [14; 33; 0; 30; 36; 16; 31; 46; 12; 45; 5; 27; 8; 18; 43; 20; 25; 6; 22; 24; 4; 1; 26; 3; 44; 32; 34; 38; 15; 29; 39; 19; 17; 11; 10; 23; 13; 41; 49; 35; 21; 7; 9; 28; 48; 47; 2; 40; 37; 42], [[14; 33]; [0; 30]; [36; 16]; [31; 46; 12; 45]; [5; 27]; [8; 18]; [43; 20; 25]; [6; 22]; [24; 4]; [1; 26]; [3; 44; 32]; [34; 38; 15]; [29; 39; 19]; [17; 11]; [10; 23]; [13; 41; 49; 35]; [21; 7]; [9; 28; 48; 47]; [2; 40; 37]; [42]], [12000; 15000; 11000; 15000; 14400; 15000; 15000; 15000; 14900; 14800; 15000; 15000; 15000; 14900; 14400; 15000; 15000; 15000; 15000; 2600], 24500, 24501, 0.40048718452453613
18, 19, 0.9590456140350876, [21; 7; 20; 13; 0; 30; 16; 15; 23; 6; 28; 3; 26; 1; 17; 11; 19; 42; 43; 38; 48; 31; 2; 46; 8; 22; 25; 10; 5; 37; 41; 36; 39; 18; 14; 40; 32; 24; 12; 27; 4; 44; 35; 29; 33; 34; 9; 45; 49; 47], [[21; 7]; [20; 13]; [0; 30]; [16; 15]; [23; 6]; [28; 3]; [26; 1]; [17; 11]; [19; 42; 43; 38]; [48; 31; 2; 46]; [8; 22]; [25; 10]; [5; 37; 41]; [36; 39; 18]; [14; 40; 32]; [24; 12]; [27; 4]; [44; 35; 29; 33]; [34; 9; 45; 49; 47]], [15000; 14500; 15000; 14900; 15000; 14500; 14800; 14900; 14900; 15000; 14700; 14000; 14800; 13600; 15000; 14000; 14500; 15000; 14900], 22050, 22051, 0.37668514251708984
15, 19, 0.9589380116959063, [3; 47; 32; 38; 6; 39; 37; 36; 13; 2; 48; 40; 43; 30; 0; 41; 46; 1; 44; 10; 17; 5; 27; 18; 9; 35; 31; 20; 26; 11; 22; 24; 42; 28; 4; 8; 21; 19; 14; 12; 29; 45; 15; 16; 23; 7; 33; 34; 49; 25], [[3; 47; 32]; [38; 6; 39]; [37; 36; 13]; [2; 48; 40; 43]; [30; 0]; [41; 46; 1; 44]; [10; 17]; [5; 27]; [18; 9]; [35; 31; 20]; [26; 11]; [22; 24; 42]; [28; 4]; [8; 21]; [19; 14]; [12; 29; 45]; [15; 16]; [23; 7]; [33; 34; 49; 25]], [13800; 15000; 14900; 14900; 15000; 14700; 14900; 14400; 14900; 14800; 13700; 15000; 14500; 14800; 14400; 14700; 14900; 14900; 14800], 18375, 18376, 0.30518364906311035
12, 19, 0.9589894736842105, [7; 20; 43; 3; 42; 10; 41; 33; 32; 48; 0; 45; 31; 37; 26; 35; 21; 34; 46; 4; 30; 14; 17; 44; 40; 5; 36; 27; 28; 38; 39; 9; 12; 49; 22; 18; 8; 47; 11; 23; 2; 24; 19; 13; 16; 15; 1; 29; 6; 25], [[7; 20]; [43; 3; 42]; [10; 41; 33]; [32; 48; 0]; [45; 31; 37; 26]; [35; 21; 34]; [46; 4; 30]; [14; 17]; [44; 40; 5]; [36; 27; 28]; [38; 39; 9]; [12; 49; 22]; [18; 8]; [47; 11; 23]; [2; 24]; [19; 13]; [16; 15]; [1; 29]; [6; 25]], [15000; 14000; 15000; 14800; 14900; 14500; 15000; 14700; 13500; 14900; 14600; 14800; 15000; 15000; 14900; 14600; 14900; 14300; 14600], 14700, 14701, 0.24885272979736328
7, 19, 0.9589099415204677, [14; 20; 37; 44; 0; 24; 4; 43; 12; 34; 29; 3; 30; 47; 1; 13; 26; 41; 33; 11; 7; 42; 36; 17; 45; 19; 22; 6; 49; 23; 15; 40; 9; 35; 8; 18; 48; 5; 27; 32; 39; 16; 10; 21; 25; 2; 31; 28; 46; 38], [[14; 20]; [37; 44; 0]; [24; 4]; [43; 12; 34]; [29; 3]; [30; 47; 1]; [13; 26]; [41; 33; 11]; [7; 42; 36]; [17; 45; 19]; [22; 6]; [49; 23; 15]; [40; 9; 35]; [8; 18]; [48; 5; 27]; [32; 39; 16]; [10; 21]; [25; 2]; [31; 28; 46; 38]], [14300; 14900; 14900; 14700; 14100; 14800; 13700; 15000; 14800; 15000; 15000; 14400; 14900; 15000; 15000; 14800; 14500; 14900; 14300], 8575, 8576, 0.1568760871887207
13, 19, 0.9590783625730994, [40; 49; 43; 46; 21; 2; 25; 17; 14; 15; 16; 44; 39; 0; 8; 19; 11; 29; 45; 18; 12; 5; 28; 47; 26; 3; 1; 48; 30; 23; 9; 33; 24; 32; 10; 35; 37; 31; 38; 42; 36; 4; 27; 20; 7; 22; 6; 41; 13; 34], [[40; 49; 43; 46; 21]; [2; 25]; [17; 14]; [15; 16]; [44; 39; 0]; [8; 19]; [11; 29; 45]; [18; 12]; [5; 28; 47]; [26; 3]; [1; 48; 30]; [23; 9]; [33; 24; 32]; [10; 35; 37]; [31; 38; 42; 36]; [4; 27]; [20; 7]; [22; 6]; [41; 13; 34]], [13300; 14900; 14700; 14900; 14900; 14900; 14700; 14700; 15000; 14600; 14800; 14600; 14500; 15000; 14000; 14500; 15000; 15000; 15000], 15925, 15926, 0.2533538341522217
15, 19, 0.9591578947368421, [16; 15; 40; 44; 25; 32; 31; 43; 14; 22; 7; 20; 9; 19; 49; 11; 12; 17; 8; 18; 28; 1; 24; 4; 0; 33; 29; 2; 38; 36; 13; 26; 30; 39; 46; 47; 5; 27; 48; 6; 42; 45; 41; 37; 3; 10; 21; 34; 23; 35], [[16; 15]; [40; 44; 25; 32]; [31; 43; 14]; [22; 7]; [20; 9]; [19; 49; 11]; [12; 17]; [8; 18]; [28; 1]; [24; 4]; [0; 33]; [29; 2]; [38; 36; 13]; [26; 30; 39; 46]; [47; 5; 27]; [48; 6; 42; 45]; [41; 37; 3]; [10; 21]; [34; 23; 35]], [14900; 15000; 14800; 14900; 14700; 15000; 14900; 15000; 14700; 14900; 14100; 14100; 14900; 15000; 15000; 13300; 14900; 14500; 14400], 18375, 18376, 0.3005034923553467
14, 19, 0.958970760233918, [40; 34; 15; 4; 29; 47; 46; 0; 35; 10; 20; 11; 49; 21; 37; 28; 31; 45; 24; 7; 41; 2; 38; 25; 5; 30; 3; 17; 12; 44; 26; 16; 39; 36; 13; 1; 32; 18; 9; 8; 23; 6; 22; 33; 27; 43; 42; 14; 19; 48], [[40; 34; 15]; [4; 29; 47]; [46; 0; 35]; [10; 20]; [11; 49; 21]; [37; 28; 31; 45]; [24; 7]; [41; 2; 38]; [25; 5]; [30; 3]; [17; 12]; [44; 26; 16]; [39; 36; 13]; [1; 32]; [18; 9]; [8; 23]; [6; 22]; [33; 27; 43; 42]; [14; 19; 48]], [14700; 14700; 14700; 14500; 14900; 14800; 14500; 14900; 14800; 14000; 14900; 14800; 14900; 13400; 14900; 14700; 15000; 14900; 15000], 17150, 17151, 0.27872776985168457
26, 20, 0.8928222222222223, [16; 3; 25; 4; 24; 10; 37; 35; 34; 41; 11; 20; 7; 9; 23; 49; 6; 22; 21; 2; 47; 42; 40; 15; 27; 44; 17; 19; 45; 39; 13; 36; 28; 1; 12; 43; 31; 14; 38; 5; 29; 46; 30; 26; 33; 18; 8; 32; 48; 0], [[16]; [3; 25]; [4; 24]; [10; 37; 35]; [34; 41; 11]; [20; 7]; [9; 23; 49]; [6; 22]; [21]; [2; 47; 42; 40]; [15; 27; 44]; [17; 19; 45]; [39; 13; 36]; [28; 1]; [12; 43; 31]; [14; 38]; [5; 29; 46]; [30; 26; 33]; [18; 8]; [32; 48; 0]], [7300; 14900; 14900; 15000; 15000; 15000; 15000; 15000; 6500; 15000; 15000; 15000; 14900; 14700; 15000; 11000; 15000; 15000; 15000; 14800], 33075, 33076, 0.539109468460083
9, 19, 0.9590923976608187, [30; 0; 32; 37; 16; 45; 3; 40; 48; 46; 26; 1; 21; 7; 43; 33; 8; 10; 36; 38; 17; 14; 27; 42; 20; 28; 4; 15; 39; 49; 35; 23; 6; 13; 22; 5; 29; 34; 44; 31; 41; 19; 12; 47; 11; 24; 18; 9; 2; 25], [[30; 0]; [32; 37; 16]; [45; 3; 40; 48; 46]; [26; 1]; [21; 7]; [43; 33; 8]; [10; 36; 38]; [17; 14]; [27; 42; 20]; [28; 4]; [15; 39; 49; 35]; [23; 6]; [13; 22]; [5; 29]; [34; 44; 31; 41]; [19; 12]; [47; 11; 24]; [18; 9]; [2; 25]], [15000; 14800; 14900; 14800; 15000; 15000; 14900; 14700; 14700; 14500; 15000; 15000; 14400; 14000; 13300; 14600; 14600; 14900; 14900], 11025, 11026, 0.18727755546569824
20, 19, 0.9590456140350879, [49; 13; 45; 30; 27; 29; 34; 31; 16; 39; 20; 8; 48; 28; 5; 23; 6; 36; 1; 46; 2; 25; 26; 21; 43; 35; 7; 42; 24; 3; 17; 10; 9; 41; 37; 47; 18; 11; 40; 14; 32; 4; 44; 38; 22; 15; 12; 19; 0; 33], [[49; 13; 45; 30]; [27; 29; 34]; [31; 16; 39]; [20; 8]; [48; 28; 5]; [23; 6]; [36; 1; 46]; [2; 25]; [26; 21; 43]; [35; 7; 42]; [24; 3]; [17; 10]; [9; 41; 37; 47]; [18; 11]; [40; 14; 32]; [4; 44; 38]; [22; 15]; [12; 19]; [0; 33]], [15000; 15000; 15000; 14800; 15000; 15000; 13800; 14900; 14700; 14900; 14900; 14900; 14800; 14700; 15000; 13900; 14000; 14600; 14100], 24500, 24501, 0.40038633346557617
14, 19, 0.958624561403509, [46; 30; 2; 5; 25; 39; 40; 8; 48; 17; 14; 41; 37; 4; 15; 16; 11; 19; 18; 9; 44; 36; 1; 6; 28; 21; 38; 29; 34; 42; 10; 3; 35; 45; 27; 43; 22; 32; 26; 31; 7; 20; 24; 49; 12; 23; 13; 33; 0; 47], [[46; 30; 2]; [5; 25]; [39; 40; 8; 48]; [17; 14]; [41; 37; 4]; [15; 16]; [11; 19]; [18; 9]; [44; 36; 1]; [6; 28]; [21; 38; 29]; [34; 42; 10]; [3; 35; 45]; [27; 43; 22]; [32; 26; 31]; [7; 20]; [24; 49; 12]; [23; 13]; [33; 0; 47]], [15000; 14800; 15000; 14700; 14900; 14900; 14600; 14900; 14600; 14200; 14900; 14800; 14200; 14500; 14500; 15000; 14400; 14400; 14700], 17150, 17151, 0.29456543922424316
17, 20, 0.8910044444444445, [46; 35; 38; 49; 30; 45; 13; 17; 25; 4; 39; 2; 44; 40; 14; 32; 23; 5; 47; 27; 42; 0; 43; 20; 7; 19; 9; 34; 37; 6; 22; 12; 21; 31; 11; 28; 36; 26; 33; 10; 41; 24; 3; 16; 15; 29; 1; 48; 18; 8], [[46; 35; 38; 49; 30; 45]; [13; 17]; [25; 4]; [39; 2; 44]; [40; 14; 32]; [23]; [5; 47; 27]; [42; 0; 43]; [20; 7]; [19; 9]; [34; 37]; [6; 22]; [12; 21]; [31; 11]; [28; 36; 26]; [33; 10; 41]; [24; 3]; [16; 15]; [29; 1; 48]; [18; 8]], [15000; 14900; 14900; 13900; 15000; 6400; 15000; 15000; 15000; 14800; 7400; 15000; 14500; 12500; 15000; 15000; 14900; 14900; 14900; 15000], 22050, 22051, 0.38457393646240234
10, 19, 0.9589567251461988, [26; 2; 27; 1; 45; 43; 44; 3; 22; 35; 31; 17; 19; 15; 16; 25; 8; 48; 42; 34; 13; 18; 12; 5; 30; 6; 23; 11; 20; 38; 4; 40; 36; 29; 24; 33; 41; 10; 47; 0; 32; 7; 21; 9; 28; 46; 49; 14; 39; 37], [[26; 2]; [27; 1]; [45; 43; 44; 3]; [22; 35; 31]; [17; 19]; [15; 16]; [25; 8; 48]; [42; 34; 13]; [18; 12]; [5; 30]; [6; 23]; [11; 20]; [38; 4; 40]; [36; 29; 24]; [33; 41; 10]; [47; 0; 32]; [7; 21]; [9; 28; 46]; [49; 14; 39; 37]], [14600; 14700; 14700; 14700; 13500; 14900; 14900; 14800; 14700; 13900; 15000; 14500; 15000; 14900; 15000; 14800; 15000; 14800; 14600], 12250, 12251, 0.20035696029663086
10, 19, 0.9590970760233918, [44; 38; 0; 27; 1; 42; 9; 33; 8; 20; 36; 32; 49; 19; 28; 4; 24; 16; 14; 18; 17; 13; 11; 31; 43; 7; 22; 5; 47; 48; 40; 45; 30; 41; 46; 29; 34; 37; 15; 35; 39; 10; 21; 12; 2; 26; 23; 6; 3; 25], [[44; 38; 0]; [27; 1]; [42; 9; 33]; [8; 20]; [36; 32; 49; 19]; [28; 4]; [24; 16]; [14; 18]; [17; 13]; [11; 31; 43]; [7; 22]; [5; 47; 48; 40; 45]; [30; 41; 46; 29]; [34; 37; 15]; [35; 39; 10]; [21; 12]; [2; 26]; [23; 6]; [3; 25]], [14900; 14700; 15000; 14800; 15000; 14500; 13300; 14500; 14900; 15000; 14900; 14400; 14100; 15000; 15000; 14500; 14600; 15000; 14900], 12250, 12251, 0.21170425415039062
10, 19, 0.9591485380116959, [10; 34; 41; 43; 24; 25; 11; 17; 22; 6; 14; 18; 16; 15; 3; 26; 1; 32; 9; 33; 42; 7; 20; 49; 2; 27; 12; 48; 23; 37; 44; 46; 29; 36; 38; 31; 40; 39; 8; 19; 5; 28; 30; 0; 21; 13; 45; 35; 4; 47], [[10; 34; 41]; [43; 24; 25]; [11; 17]; [22; 6]; [14; 18]; [16; 15]; [3; 26]; [1; 32]; [9; 33; 42]; [7; 20]; [49; 2; 27]; [12; 48; 23]; [37; 44; 46; 29; 36]; [38; 31; 40; 39]; [8; 19]; [5; 28]; [30; 0]; [21; 13]; [45; 35; 4; 47]], [15000; 14500; 14900; 15000; 14500; 14900; 14600; 13400; 15000; 15000; 14900; 15000; 14900; 13800; 14900; 14400; 15000; 14500; 14800], 12250, 12251, 0.20534682273864746
11, 19, 0.9588678362573098, [1; 26; 29; 5; 0; 35; 8; 32; 44; 48; 7; 21; 33; 28; 34; 46; 14; 40; 36; 25; 3; 6; 41; 38; 19; 9; 23; 30; 37; 22; 11; 12; 42; 45; 43; 49; 13; 18; 39; 31; 47; 20; 2; 24; 4; 27; 15; 16; 17; 10], [[1; 26]; [29; 5]; [0; 35]; [8; 32; 44; 48]; [7; 21]; [33; 28; 34; 46]; [14; 40; 36]; [25; 3]; [6; 41; 38]; [19; 9]; [23; 30; 37]; [22; 11]; [12; 42; 45; 43; 49]; [13; 18]; [39; 31; 47; 20]; [2; 24]; [4; 27]; [15; 16]; [17; 10]], [14800; 14000; 13700; 15000; 15000; 15000; 14400; 14900; 14600; 14800; 14700; 14400; 15000; 14700; 14800; 14900; 14500; 14900; 14900], 13475, 13476, 0.21560192108154297
14, 19, 0.9593730994152048, [20; 7; 5; 25; 24; 4; 14; 21; 6; 23; 9; 42; 34; 36; 32; 38; 43; 46; 31; 16; 37; 30; 45; 12; 49; 3; 26; 10; 17; 1; 41; 40; 18; 13; 27; 2; 29; 15; 8; 22; 35; 19; 33; 11; 28; 47; 48; 39; 0; 44], [[20; 7]; [5; 25]; [24; 4]; [14; 21]; [6; 23]; [9; 42; 34]; [36; 32; 38; 43; 46]; [31; 16; 37]; [30; 45; 12; 49]; [3; 26]; [10; 17]; [1; 41; 40]; [18; 13]; [27; 2]; [29; 15]; [8; 22]; [35; 19; 33]; [11; 28; 47; 48]; [39; 0; 44]], [15000; 14800; 14900; 14300; 15000; 15000; 14700; 15000; 15000; 14600; 14900; 14800; 14700; 14500; 12800; 14700; 14600; 14800; 14900], 17150, 17151, 0.28534603118896484
11, 19, 0.9587976608187133, [35; 45; 2; 24; 12; 1; 27; 3; 25; 23; 6; 32; 16; 43; 30; 0; 29; 37; 20; 10; 46; 44; 33; 5; 41; 39; 8; 49; 26; 47; 13; 21; 7; 22; 4; 28; 36; 11; 40; 38; 19; 31; 14; 17; 9; 18; 42; 34; 15; 48], [[35; 45; 2]; [24; 12]; [1; 27]; [3; 25]; [23; 6]; [32; 16; 43]; [30; 0]; [29; 37; 20]; [10; 46; 44; 33]; [5; 41; 39]; [8; 49; 26; 47]; [13; 21]; [7; 22]; [4; 28]; [36; 11; 40]; [38; 19; 31]; [14; 17]; [9; 18]; [42; 34; 15; 48]], [14200; 14000; 14700; 14900; 15000; 14100; 15000; 14900; 15000; 14800; 15000; 14500; 14900; 14500; 14600; 14300; 14700; 14900; 15000], 13475, 13476, 0.23760485649108887
9, 19, 0.958877192982456, [24; 2; 4; 29; 47; 9; 21; 49; 11; 20; 37; 26; 46; 31; 36; 0; 33; 8; 43; 35; 45; 48; 3; 40; 32; 14; 16; 15; 28; 7; 13; 19; 22; 42; 25; 34; 6; 44; 38; 5; 41; 1; 27; 10; 23; 30; 18; 39; 12; 17], [[24; 2]; [4; 29; 47]; [9; 21]; [49; 11; 20]; [37; 26; 46; 31]; [36; 0]; [33; 8; 43]; [35; 45; 48; 3]; [40; 32; 14]; [16; 15]; [28; 7]; [13; 19]; [22; 42; 25]; [34; 6; 44]; [38; 5; 41]; [1; 27]; [10; 23]; [30; 18; 39]; [12; 17]], [14900; 14700; 14700; 14900; 14400; 13600; 15000; 14800; 15000; 14900; 14100; 14600; 15000; 14600; 14800; 14700; 14400; 15000; 14900], 11025, 11026, 0.18616724014282227
