Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
10, 16, 0.953, [9; 17; 0; 42; 41; 44; 32; 47; 15; 36; 37; 29; 33; 16; 26; 48; 43; 3; 22; 23; 2; 13; 10; 6; 27; 34; 46; 19; 14; 38; 21; 4; 30; 31; 8; 35; 11; 25; 28; 1; 39; 7; 24; 18; 40; 12; 5; 20; 45; 49], [[9; 17]; [0; 42; 41; 44; 32]; [47; 15; 36; 37; 29]; [33; 16; 26; 48; 43]; [3; 22]; [23; 2]; [13; 10]; [6; 27; 34]; [46; 19; 14; 38]; [21; 4]; [30; 31; 8]; [35; 11; 25]; [28; 1; 39]; [7; 24]; [18; 40; 12]; [5; 20; 45; 49]], [14900; 15000; 14600; 15000; 14400; 14200; 14900; 15000; 15000; 14400; 14900; 14400; 14900; 13400; 14600; 14600], 12250, 12251, 0.20036721229553223
11, 16, 0.9537222222222222, [14; 10; 0; 42; 48; 29; 47; 44; 27; 4; 15; 11; 1; 23; 19; 37; 17; 38; 7; 25; 36; 30; 9; 39; 43; 22; 41; 5; 8; 49; 34; 33; 40; 20; 2; 3; 26; 24; 16; 31; 12; 32; 45; 28; 18; 6; 35; 21; 13; 46], [[14; 10]; [0; 42; 48; 29; 47; 44]; [27; 4]; [15; 11]; [1; 23]; [19; 37; 17]; [38; 7; 25]; [36; 30; 9; 39; 43]; [22; 41; 5]; [8; 49; 34; 33; 40]; [20; 2]; [3; 26]; [24; 16; 31]; [12; 32; 45; 28]; [18; 6]; [35; 21; 13; 46]], [14900; 14900; 12700; 14500; 14800; 14700; 14900; 15000; 15000; 14800; 14700; 13900; 15000; 14400; 15000; 15000], 13475, 13476, 0.2160487174987793
10, 16, 0.9530555555555555, [12; 11; 8; 22; 38; 20; 44; 2; 46; 42; 15; 16; 18; 6; 27; 45; 5; 49; 43; 36; 25; 4; 19; 39; 34; 24; 35; 13; 21; 0; 48; 28; 26; 37; 10; 31; 9; 30; 14; 17; 32; 33; 7; 1; 29; 47; 40; 3; 23; 41], [[12; 11]; [8; 22; 38]; [20; 44; 2]; [46; 42; 15; 16]; [18; 6]; [27; 45; 5; 49; 43; 36]; [25; 4]; [19; 39; 34; 24]; [35; 13; 21]; [0; 48; 28]; [26; 37; 10]; [31; 9; 30]; [14; 17]; [32; 33; 7]; [1; 29; 47; 40]; [3; 23; 41]], [14700; 15000; 15000; 14900; 15000; 15000; 13800; 14900; 14800; 13700; 14200; 14700; 14100; 14700; 14700; 15000], 12250, 12251, 0.18845105171203613
9, 16, 0.9530611111111111, [18; 22; 30; 21; 8; 19; 7; 0; 31; 38; 25; 41; 40; 13; 35; 28; 4; 23; 1; 24; 39; 5; 36; 27; 2; 9; 37; 26; 43; 33; 47; 29; 14; 15; 42; 16; 49; 34; 32; 3; 20; 6; 48; 10; 12; 17; 45; 11; 46; 44], [[18; 22; 30]; [21; 8]; [19; 7]; [0; 31; 38]; [25; 41; 40; 13]; [35; 28; 4]; [23; 1]; [24; 39; 5]; [36; 27; 2]; [9; 37; 26; 43]; [33; 47; 29; 14]; [15; 42; 16; 49]; [34; 32; 3]; [20; 6; 48]; [10; 12]; [17; 45; 11; 46; 44]], [15000; 13600; 14700; 14700; 13900; 14900; 14800; 15000; 14800; 14800; 14000; 14800; 14900; 14300; 15000; 15000], 11025, 11026, 0.18491578102111816
9, 16, 0.9533777777777777, [28; 23; 19; 3; 41; 36; 34; 0; 32; 24; 12; 33; 20; 45; 5; 17; 14; 2; 44; 21; 1; 37; 30; 26; 38; 7; 25; 4; 48; 42; 40; 16; 15; 6; 18; 10; 13; 31; 29; 9; 49; 8; 22; 39; 35; 11; 47; 43; 46; 27], [[28; 23; 19]; [3; 41; 36; 34]; [0; 32]; [24; 12; 33]; [20; 45; 5]; [17; 14]; [2; 44; 21]; [1; 37; 30]; [26; 38; 7]; [25; 4; 48; 42]; [40; 16; 15]; [6; 18]; [10; 13]; [31; 29; 9]; [49; 8; 22; 39]; [35; 11; 47; 43; 46; 27]], [14800; 14500; 13100; 15000; 14500; 14100; 14900; 14900; 14900; 14600; 15000; 15000; 14900; 15000; 15000; 14000], 11025, 11026, 0.17180776596069336
8, 16, 0.9527222222222222, [46; 10; 17; 27; 11; 31; 33; 16; 38; 30; 25; 0; 12; 13; 3; 47; 24; 23; 1; 41; 28; 2; 20; 45; 5; 42; 9; 18; 26; 8; 36; 6; 19; 21; 7; 40; 43; 32; 29; 14; 4; 37; 49; 34; 48; 39; 22; 35; 44; 15], [[46; 10; 17]; [27; 11; 31]; [33; 16; 38; 30]; [25; 0]; [12; 13]; [3; 47; 24]; [23; 1]; [41; 28; 2]; [20; 45; 5]; [42; 9; 18]; [26; 8; 36]; [6; 19]; [21; 7; 40]; [43; 32; 29; 14]; [4; 37; 49; 34; 48; 39]; [22; 35; 44; 15]], [14800; 14400; 14700; 14700; 14500; 14100; 14800; 13800; 14500; 15000; 14900; 14800; 15000; 14400; 14900; 14900], 9800, 9801, 0.16684985160827637
10, 16, 0.9525277777777778, [7; 22; 41; 44; 14; 16; 13; 12; 21; 4; 26; 1; 0; 23; 17; 11; 39; 6; 25; 15; 10; 27; 34; 8; 9; 47; 18; 42; 3; 33; 48; 36; 45; 35; 40; 49; 32; 46; 24; 31; 30; 20; 38; 28; 5; 19; 37; 29; 43; 2], [[7; 22; 41]; [44; 14; 16]; [13; 12]; [21; 4]; [26; 1]; [0; 23]; [17; 11]; [39; 6; 25]; [15; 10]; [27; 34; 8]; [9; 47; 18]; [42; 3; 33; 48; 36; 45]; [35; 40; 49; 32; 46; 24; 31]; [30; 20; 38; 28]; [5; 19]; [37; 29; 43; 2]], [14800; 14400; 14500; 14400; 14600; 14900; 14300; 14900; 14800; 14500; 14500; 14900; 14800; 14100; 14900; 14900], 12250, 12251, 0.19329500198364258
9, 16, 0.9529722222222222, [15; 17; 42; 16; 27; 36; 49; 37; 38; 28; 5; 0; 24; 46; 40; 26; 23; 43; 47; 29; 2; 20; 44; 34; 31; 3; 39; 22; 9; 8; 18; 14; 12; 1; 25; 48; 41; 6; 21; 10; 13; 19; 7; 45; 4; 35; 30; 11; 32; 33], [[15; 17; 42]; [16; 27; 36; 49; 37]; [38; 28; 5]; [0; 24; 46]; [40; 26; 23; 43; 47; 29]; [2; 20; 44]; [34; 31; 3]; [39; 22; 9]; [8; 18]; [14; 12]; [1; 25; 48]; [41; 6; 21]; [10; 13]; [19; 7; 45]; [4; 35; 30]; [11; 32; 33]], [14700; 14300; 14000; 14900; 15000; 15000; 15000; 14700; 14500; 14500; 14700; 15000; 14900; 14900; 14600; 13500], 11025, 11026, 0.17828655242919922
11, 16, 0.9529666666666666, [47; 30; 42; 38; 2; 7; 22; 27; 20; 25; 9; 16; 31; 3; 34; 39; 12; 19; 4; 35; 28; 23; 5; 33; 6; 32; 40; 8; 43; 29; 37; 21; 10; 36; 45; 17; 46; 14; 0; 48; 26; 49; 1; 44; 24; 11; 18; 41; 15; 13], [[47; 30; 42; 38; 2]; [7; 22]; [27; 20; 25]; [9; 16]; [31; 3; 34]; [39; 12; 19]; [4; 35; 28]; [23; 5]; [33; 6; 32]; [40; 8; 43; 29; 37]; [21; 10; 36]; [45; 17; 46; 14]; [0; 48; 26; 49]; [1; 44; 24]; [11; 18; 41]; [15; 13]], [15000; 13900; 14000; 14900; 15000; 14800; 14900; 13800; 14800; 14900; 15000; 14500; 14900; 14900; 14600; 14300], 13475, 13476, 0.2318437099456787
21, 16, 0.9530166666666666, [49; 12; 11; 45; 4; 21; 9; 28; 31; 40; 38; 36; 0; 14; 17; 7; 22; 3; 20; 10; 13; 30; 43; 1; 39; 23; 33; 15; 35; 41; 48; 47; 34; 29; 24; 46; 8; 42; 25; 27; 2; 37; 44; 19; 5; 6; 18; 16; 26; 32], [[49; 12; 11; 45]; [4; 21]; [9; 28; 31]; [40; 38; 36; 0]; [14; 17]; [7; 22]; [3; 20]; [10; 13]; [30; 43; 1; 39]; [23; 33; 15]; [35; 41; 48; 47; 34; 29; 24; 46]; [8; 42; 25]; [27; 2; 37; 44]; [19; 5]; [6; 18]; [16; 26; 32]], [15000; 14400; 15000; 14300; 14100; 13900; 14600; 14900; 14900; 15000; 14700; 13700; 14900; 14900; 15000; 14900], 25725, 25726, 0.40073156356811523
