Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
27, 16, 0.961488888888889, [27; 5; 36; 23; 13; 47; 39; 17; 10; 6; 22; 38; 33; 9; 32; 31; 34; 8; 11; 30; 29; 2; 19; 12; 25; 49; 35; 14; 48; 24; 44; 46; 16; 41; 45; 15; 37; 42; 28; 1; 20; 0; 26; 4; 43; 3; 18; 21; 40; 7], [[27; 5; 36]; [23; 13; 47; 39]; [17; 10]; [6; 22; 38]; [33; 9; 32]; [31; 34; 8]; [11; 30; 29]; [2; 19]; [12; 25; 49; 35]; [14; 48; 24; 44; 46]; [16; 41; 45; 15; 37]; [42; 28; 1]; [20; 0]; [26; 4; 43]; [3; 18]; [21; 40; 7]], [14800; 14100; 13800; 15000; 14700; 14800; 15000; 15000; 15000; 13300; 15000; 15000; 14800; 15000; 14900; 15000], 33075, 33076, 0.5323057174682617
22, 17, 0.8759790849673204, [31; 38; 0; 43; 15; 9; 18; 47; 4; 6; 30; 42; 39; 46; 44; 7; 41; 26; 48; 28; 1; 12; 2; 19; 35; 13; 23; 32; 8; 29; 33; 10; 24; 16; 27; 11; 49; 37; 21; 45; 25; 34; 20; 36; 3; 17; 14; 5; 22; 40], [[31; 38; 0]; [43; 15; 9]; [18; 47; 4]; [6; 30; 42; 39; 46]; [44; 7; 41; 26]; [48; 28; 1]; [12]; [2; 19]; [35; 13; 23]; [32; 8; 29]; [33; 10]; [24; 16; 27]; [11; 49; 37; 21]; [45; 25; 34; 20; 36]; [3; 17]; [14]; [5; 22; 40]], [14600; 15000; 15000; 15000; 15000; 13900; 8000; 15000; 14800; 15000; 11400; 15000; 15000; 15000; 15000; 7500; 15000], 28175, 28176, 0.46996307373046875
21, 17, 0.8762614379084968, [14; 2; 39; 45; 32; 47; 25; 1; 26; 27; 23; 49; 43; 6; 42; 46; 30; 40; 0; 31; 44; 41; 12; 8; 35; 28; 34; 10; 24; 22; 19; 17; 4; 5; 16; 15; 36; 13; 48; 3; 18; 9; 37; 21; 7; 33; 29; 11; 20; 38], [[14]; [2; 39; 45; 32; 47]; [25; 1]; [26; 27; 23; 49; 43]; [6; 42; 46; 30; 40]; [0; 31; 44; 41]; [12]; [8; 35; 28]; [34; 10]; [24; 22; 19]; [17; 4]; [5; 16]; [15; 36; 13]; [48; 3; 18]; [9; 37; 21]; [7; 33; 29]; [11; 20; 38]], [7500; 15000; 14200; 15000; 15000; 15000; 8000; 14900; 11200; 15000; 15000; 14400; 15000; 15000; 15000; 15000; 15000], 26950, 26951, 0.41641926765441895
11, 16, 0.9606555555555556, [19; 0; 48; 45; 28; 16; 43; 30; 23; 2; 18; 3; 17; 38; 14; 8; 21; 42; 5; 40; 26; 31; 37; 4; 1; 25; 22; 6; 36; 32; 7; 29; 35; 27; 49; 13; 10; 20; 41; 11; 34; 47; 33; 12; 39; 46; 24; 15; 9; 44], [[19; 0]; [48; 45; 28; 16; 43; 30]; [23; 2]; [18; 3]; [17; 38; 14]; [8; 21; 42]; [5; 40; 26]; [31; 37; 4]; [1; 25]; [22; 6; 36]; [32; 7; 29]; [35; 27; 49; 13]; [10; 20; 41]; [11; 34; 47; 33]; [12; 39; 46; 24]; [15; 9; 44]], [15000; 15000; 14400; 14900; 14700; 14700; 14800; 14400; 14200; 15000; 15000; 14600; 14800; 14500; 14600; 14600], 13475, 13476, 0.21622228622436523
11, 16, 0.9610777777777778, [34; 11; 35; 40; 20; 38; 10; 9; 15; 3; 19; 21; 8; 41; 29; 12; 31; 22; 1; 4; 18; 46; 27; 7; 42; 23; 5; 39; 25; 2; 44; 14; 36; 16; 17; 30; 26; 24; 6; 37; 47; 28; 0; 43; 33; 13; 49; 32; 48; 45], [[34; 11; 35; 40]; [20; 38; 10]; [9; 15]; [3; 19]; [21; 8; 41]; [29; 12; 31]; [22; 1]; [4; 18]; [46; 27; 7; 42]; [23; 5; 39]; [25; 2; 44]; [14; 36; 16]; [17; 30; 26]; [24; 6; 37]; [47; 28; 0; 43]; [33; 13; 49; 32; 48; 45]], [15000; 15000; 14000; 14800; 14900; 14800; 14400; 14900; 14400; 15000; 14800; 14800; 13600; 15000; 14900; 14900], 13475, 13476, 0.2157135009765625
12, 16, 0.9609666666666666, [10; 34; 30; 46; 13; 40; 31; 35; 33; 29; 7; 26; 20; 48; 21; 19; 1; 17; 12; 41; 2; 38; 39; 36; 45; 49; 16; 47; 8; 44; 14; 32; 28; 0; 27; 15; 9; 42; 23; 6; 43; 4; 25; 11; 37; 22; 5; 18; 24; 3], [[10; 34; 30; 46]; [13; 40; 31; 35]; [33; 29; 7]; [26; 20; 48; 21]; [19; 1]; [17; 12; 41]; [2; 38; 39; 36; 45; 49]; [16; 47; 8; 44]; [14; 32; 28]; [0; 27]; [15; 9]; [42; 23; 6]; [43; 4; 25]; [11; 37; 22]; [5; 18]; [24; 3]], [14900; 14900; 15000; 15000; 15000; 15000; 15000; 14800; 14900; 14100; 14000; 14600; 15000; 14600; 14200; 14200], 14700, 14701, 0.23175764083862305
17, 16, 0.9608222222222224, [9; 43; 16; 14; 48; 38; 47; 15; 17; 3; 24; 37; 12; 40; 18; 32; 25; 6; 30; 34; 19; 8; 41; 29; 11; 39; 36; 7; 27; 21; 2; 35; 13; 23; 4; 42; 28; 0; 22; 20; 1; 10; 31; 33; 5; 46; 26; 45; 44; 49], [[9; 43; 16]; [14; 48; 38; 47; 15]; [17; 3]; [24; 37; 12]; [40; 18; 32; 25]; [6; 30; 34]; [19; 8]; [41; 29; 11; 39]; [36; 7; 27]; [21; 2]; [35; 13; 23]; [4; 42; 28]; [0; 22]; [20; 1]; [10; 31; 33]; [5; 46; 26; 45; 44; 49]], [15000; 15000; 15000; 14400; 14800; 15000; 13800; 14500; 14500; 14700; 14800; 14800; 14400; 14800; 14800; 14900], 20825, 20826, 0.33759355545043945
10, 16, 0.960861111111111, [35; 48; 14; 21; 2; 34; 49; 39; 18; 3; 33; 32; 6; 36; 43; 30; 28; 25; 31; 29; 10; 0; 20; 17; 4; 9; 16; 37; 12; 23; 45; 24; 47; 1; 46; 19; 7; 44; 5; 15; 38; 27; 42; 13; 41; 8; 26; 11; 22; 40], [[35; 48; 14; 21]; [2; 34; 49; 39]; [18; 3]; [33; 32; 6]; [36; 43; 30; 28; 25]; [31; 29; 10]; [0; 20]; [17; 4]; [9; 16]; [37; 12; 23; 45]; [24; 47; 1; 46]; [19; 7; 44]; [5; 15]; [38; 27; 42; 13]; [41; 8; 26]; [11; 22; 40]], [15000; 14200; 14900; 15000; 14800; 15000; 14800; 15000; 14000; 15000; 14800; 14400; 14400; 15000; 14400; 14500], 12250, 12251, 0.18458247184753418
15, 17, 0.8742588235294119, [36; 24; 6; 28; 41; 3; 10; 18; 4; 17; 35; 49; 48; 13; 23; 11; 27; 32; 8; 29; 5; 16; 33; 15; 21; 43; 46; 2; 40; 30; 14; 9; 44; 25; 39; 42; 19; 38; 45; 37; 26; 7; 34; 31; 20; 47; 0; 22; 1; 12], [[36; 24; 6]; [28; 41; 3]; [10; 18]; [4; 17]; [35; 49; 48; 13; 23]; [11; 27]; [32; 8; 29]; [5; 16]; [33; 15; 21; 43]; [46; 2; 40; 30]; [14]; [9; 44; 25; 39]; [42; 19; 38; 45; 37; 26]; [7; 34; 31]; [20; 47; 0]; [22; 1]; [12]], [15000; 15000; 13700; 15000; 15000; 12700; 15000; 14400; 15000; 14800; 7500; 15000; 15000; 14800; 14900; 14400; 8000], 19600, 19601, 0.3007524013519287
11, 16, 0.9613277777777778, [30; 14; 34; 24; 16; 27; 7; 46; 15; 44; 23; 2; 45; 26; 9; 37; 48; 12; 29; 35; 43; 3; 17; 21; 1; 18; 4; 19; 0; 20; 11; 28; 10; 42; 41; 31; 38; 8; 39; 25; 5; 36; 32; 33; 49; 13; 22; 40; 6; 47], [[30; 14; 34]; [24; 16; 27]; [7; 46; 15; 44]; [23; 2; 45]; [26; 9; 37; 48]; [12; 29; 35; 43]; [3; 17]; [21; 1]; [18; 4]; [19; 0]; [20; 11]; [28; 10; 42; 41]; [31; 38; 8; 39]; [25; 5; 36]; [32; 33; 49; 13]; [22; 40; 6; 47]], [13900; 15000; 15000; 15000; 14600; 14700; 15000; 14700; 14900; 15000; 13400; 15000; 14900; 14900; 14200; 15000], 13475, 13476, 0.21892189979553223
7, 16, 0.9610277777777778, [15; 6; 37; 3; 45; 30; 41; 13; 21; 4; 19; 31; 11; 29; 5; 47; 36; 25; 26; 1; 27; 14; 34; 2; 28; 42; 44; 0; 24; 35; 22; 40; 23; 38; 18; 39; 12; 17; 8; 7; 16; 48; 32; 46; 9; 33; 20; 43; 10; 49], [[15; 6]; [37; 3; 45; 30]; [41; 13; 21]; [4; 19]; [31; 11; 29]; [5; 47; 36; 25]; [26; 1]; [27; 14; 34]; [2; 28; 42]; [44; 0; 24]; [35; 22; 40; 23; 38]; [18; 39; 12]; [17; 8]; [7; 16; 48]; [32; 46; 9; 33]; [20; 43; 10; 49]], [14300; 15000; 14200; 14800; 15000; 15000; 14200; 15000; 15000; 15000; 15000; 15000; 14000; 14200; 15000; 14500], 8575, 8576, 0.13126826286315918
20, 17, 0.8864209150326797, [22; 17; 37; 34; 19; 0; 29; 14; 10; 16; 28; 9; 39; 43; 4; 47; 20; 46; 25; 38; 11; 45; 40; 23; 5; 48; 3; 18; 24; 6; 41; 1; 42; 31; 12; 35; 26; 49; 7; 33; 30; 13; 21; 44; 36; 8; 15; 27; 2; 32], [[22; 17; 37; 34]; [19; 0]; [29; 14]; [10; 16]; [28; 9; 39; 43]; [4; 47; 20; 46]; [25; 38; 11; 45]; [40; 23; 5]; [48; 3; 18]; [24; 6; 41]; [1; 42; 31]; [12; 35; 26; 49]; [7; 33; 30]; [13; 21; 44; 36]; [8; 15]; [27; 2]; [32]], [15000; 15000; 10900; 13900; 15000; 15000; 15000; 15000; 15000; 14800; 14200; 15000; 15000; 15000; 14100; 14100; 3200], 25725, 25726, 0.4165041446685791
17, 17, 0.886949019607843, [42; 20; 6; 35; 27; 11; 2; 47; 49; 21; 14; 25; 1; 23; 44; 39; 8; 38; 32; 46; 10; 15; 5; 24; 40; 18; 3; 9; 33; 30; 12; 41; 17; 0; 19; 16; 48; 28; 36; 29; 31; 37; 43; 45; 7; 26; 13; 4; 22; 34], [[42; 20; 6]; [35; 27; 11]; [2; 47; 49; 21]; [14; 25]; [1; 23; 44]; [39; 8; 38; 32; 46]; [10; 15]; [5; 24; 40]; [18; 3]; [9; 33; 30]; [12; 41; 17]; [0; 19]; [16; 48; 28; 36; 29]; [31; 37; 43; 45; 7]; [26; 13]; [4; 22]; [34]], [15000; 15000; 14900; 12100; 15000; 15000; 13900; 15000; 14900; 14900; 15000; 15000; 15000; 15000; 12300; 14200; 3000], 22050, 22051, 0.3538851737976074
16, 17, 0.874237908496732, [45; 35; 16; 41; 29; 39; 13; 47; 18; 36; 48; 25; 4; 10; 28; 22; 44; 0; 21; 1; 15; 3; 17; 32; 14; 46; 43; 34; 12; 31; 2; 23; 24; 6; 37; 38; 49; 5; 26; 20; 40; 9; 11; 27; 30; 33; 8; 42; 7; 19], [[45; 35; 16; 41; 29; 39]; [13; 47; 18; 36; 48]; [25; 4]; [10; 28]; [22; 44; 0]; [21; 1]; [15]; [3; 17]; [32; 14; 46; 43; 34]; [12; 31]; [2; 23]; [24; 6; 37]; [38; 49; 5; 26]; [20; 40; 9]; [11; 27]; [30; 33; 8]; [42; 7; 19]], [14900; 15000; 14000; 12400; 15000; 14700; 5700; 15000; 15000; 11400; 14400; 15000; 15000; 15000; 12700; 15000; 15000], 20825, 20826, 0.33158111572265625
15, 16, 0.9612444444444445, [37; 3; 33; 25; 4; 43; 49; 13; 40; 15; 0; 24; 16; 11; 20; 41; 7; 14; 34; 27; 12; 35; 26; 18; 42; 9; 19; 2; 36; 45; 8; 28; 48; 6; 22; 38; 39; 31; 5; 32; 46; 17; 44; 21; 1; 23; 47; 10; 29; 30], [[37; 3; 33]; [25; 4; 43]; [49; 13; 40; 15]; [0; 24]; [16; 11]; [20; 41; 7]; [14; 34; 27]; [12; 35; 26]; [18; 42; 9]; [19; 2]; [36; 45; 8; 28; 48]; [6; 22; 38]; [39; 31; 5]; [32; 46; 17; 44; 21]; [1; 23; 47]; [10; 29; 30]], [14200; 15000; 15000; 14400; 13900; 15000; 15000; 14900; 15000; 15000; 14900; 15000; 13600; 14800; 14500; 15000], 18375, 18376, 0.29712772369384766
15, 16, 0.9615055555555556, [32; 35; 25; 48; 27; 34; 6; 30; 3; 18; 12; 41; 17; 7; 15; 37; 10; 38; 31; 36; 5; 26; 24; 4; 44; 28; 47; 14; 33; 20; 1; 39; 13; 23; 43; 22; 42; 8; 9; 46; 16; 45; 19; 0; 11; 40; 21; 49; 29; 2], [[32; 35; 25; 48; 27]; [34; 6; 30]; [3; 18]; [12; 41; 17]; [7; 15]; [37; 10; 38; 31]; [36; 5; 26]; [24; 4; 44]; [28; 47; 14; 33]; [20; 1]; [39; 13; 23; 43]; [22; 42; 8]; [9; 46; 16; 45]; [19; 0]; [11; 40; 21; 49]; [29; 2]], [14700; 15000; 14900; 15000; 14100; 14800; 14900; 14800; 15000; 14800; 15000; 14400; 14900; 15000; 14900; 13000], 18375, 18376, 0.3016986846923828
