Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
9, 19, 0.9023064327485381, [27; 5; 8; 44; 39; 45; 33; 29; 20; 36; 6; 41; 48; 25; 9; 2; 34; 10; 22; 7; 47; 35; 18; 13; 31; 30; 24; 28; 3; 49; 11; 21; 0; 42; 38; 46; 12; 23; 43; 15; 16; 14; 19; 32; 1; 4; 26; 37; 17; 40], [[27; 5]; [8; 44; 39; 45]; [33; 29; 20]; [36; 6; 41]; [48; 25; 9]; [2; 34]; [10; 22]; [7; 47; 35]; [18; 13]; [31; 30; 24]; [28; 3; 49]; [11; 21]; [0; 42; 38; 46]; [12; 23; 43]; [15; 16]; [14; 19]; [32; 1]; [4; 26]; [37; 17; 40]], [14000; 13500; 15000; 14800; 14600; 13400; 14600; 13200; 14900; 13900; 14600; 14300; 14900; 14800; 14600; 14700; 14000; 14300; 12300], 11025, 11026, 0.18363642692565918
9, 19, 0.9026385964912279, [47; 1; 45; 34; 19; 13; 49; 43; 41; 37; 10; 28; 14; 6; 23; 12; 20; 33; 18; 38; 44; 16; 17; 46; 3; 27; 26; 9; 5; 48; 40; 39; 0; 32; 42; 36; 7; 21; 15; 11; 22; 4; 24; 2; 30; 35; 31; 25; 8; 29], [[47; 1; 45; 34]; [19; 13; 49]; [43; 41; 37; 10]; [28; 14]; [6; 23]; [12; 20]; [33; 18; 38; 44]; [16; 17; 46]; [3; 27]; [26; 9]; [5; 48; 40; 39]; [0; 32]; [42; 36; 7]; [21; 15]; [11; 22]; [4; 24]; [2; 30]; [35; 31; 25]; [8; 29]], [14900; 15000; 14700; 12400; 14800; 14900; 14500; 15000; 14500; 13600; 14700; 14000; 14300; 13400; 14300; 15000; 14100; 12900; 13400], 11025, 11026, 0.20070648193359375
8, 19, 0.9019134502923979, [16; 46; 48; 21; 11; 30; 7; 23; 17; 19; 9; 25; 42; 10; 33; 20; 35; 28; 0; 29; 39; 49; 37; 13; 41; 31; 12; 14; 18; 15; 22; 1; 40; 38; 44; 8; 26; 27; 6; 36; 43; 5; 47; 2; 34; 45; 24; 4; 32; 3], [[16; 46; 48; 21]; [11; 30]; [7; 23]; [17; 19]; [9; 25]; [42; 10; 33]; [20; 35; 28]; [0; 29]; [39; 49; 37; 13]; [41; 31; 12]; [14; 18]; [15; 22]; [1; 40; 38]; [44; 8; 26]; [27; 6]; [36; 43; 5; 47]; [2; 34; 45]; [24; 4]; [32; 3]], [14500; 12500; 14700; 14000; 14100; 14000; 15000; 14200; 13400; 14300; 14800; 13400; 15000; 14800; 14000; 14500; 14300; 15000; 13900], 9800, 9801, 0.16541743278503418
10, 19, 0.9113637426900586, [26; 1; 20; 41; 23; 48; 21; 9; 24; 4; 49; 0; 28; 25; 3; 46; 8; 47; 27; 33; 40; 10; 37; 38; 7; 22; 11; 17; 13; 14; 12; 19; 30; 18; 36; 43; 35; 15; 42; 2; 31; 6; 32; 5; 34; 44; 29; 16; 45; 39], [[26; 1]; [20; 41; 23; 48]; [21; 9]; [24; 4]; [49; 0; 28]; [25; 3]; [46; 8; 47; 27]; [33; 40; 10]; [37; 38; 7]; [22; 11]; [17; 13]; [14]; [12; 19]; [30; 18; 36]; [43; 35; 15; 42]; [2; 31]; [6; 32]; [5; 34; 44]; [29; 16; 45; 39]], [14600; 15000; 15000; 15000; 14700; 15000; 14900; 14700; 14700; 14300; 15000; 7800; 14900; 14700; 13800; 14000; 13400; 13900; 15000], 12250, 12251, 0.20060300827026367
8, 19, 0.9023204678362574, [11; 44; 40; 36; 37; 39; 6; 4; 24; 47; 3; 31; 35; 7; 32; 41; 43; 18; 20; 22; 33; 2; 29; 5; 12; 19; 49; 16; 21; 17; 13; 14; 45; 34; 38; 10; 25; 1; 28; 8; 23; 27; 9; 0; 26; 30; 48; 46; 15; 42], [[11; 44; 40; 36]; [37; 39; 6]; [4; 24]; [47; 3; 31]; [35; 7]; [32; 41; 43; 18]; [20; 22]; [33; 2]; [29; 5]; [12; 19]; [49; 16; 21]; [17; 13]; [14; 45; 34; 38]; [10; 25]; [1; 28]; [8; 23]; [27; 9]; [0; 26]; [30; 48; 46; 15; 42]], [15000; 14600; 15000; 14500; 12700; 14500; 13000; 13600; 13600; 14900; 13600; 15000; 15000; 13700; 14500; 14600; 13600; 14600; 14400], 9800, 9801, 0.16867494583129883
11, 19, 0.9103438596491228, [7; 24; 25; 3; 13; 48; 36; 37; 9; 21; 33; 45; 1; 18; 26; 46; 39; 17; 15; 8; 23; 31; 0; 19; 14; 12; 6; 34; 42; 4; 28; 22; 10; 32; 5; 2; 43; 35; 30; 40; 29; 44; 38; 16; 49; 47; 20; 41; 11; 27], [[7; 24]; [25; 3]; [13; 48; 36; 37]; [9; 21]; [33; 45; 1]; [18; 26; 46; 39]; [17; 15]; [8; 23]; [31; 0]; [19; 14]; [12]; [6; 34; 42]; [4; 28]; [22; 10]; [32; 5]; [2; 43; 35]; [30; 40; 29; 44; 38]; [16; 49; 47; 20]; [41; 11; 27]], [14600; 15000; 14600; 15000; 14600; 14800; 14400; 14600; 14100; 14700; 8000; 14600; 14200; 14600; 13400; 14600; 14700; 14900; 15000], 13475, 13476, 0.2245771884918213
7, 19, 0.9048140350877195, [37; 12; 8; 45; 39; 27; 21; 31; 13; 22; 1; 26; 2; 33; 14; 18; 48; 3; 29; 15; 17; 46; 7; 41; 35; 19; 30; 34; 6; 24; 40; 5; 47; 38; 49; 16; 20; 4; 28; 36; 44; 9; 42; 23; 43; 11; 32; 0; 10; 25], [[37; 12]; [8; 45; 39]; [27; 21; 31]; [13; 22]; [1; 26]; [2; 33]; [14; 18]; [48; 3; 29]; [15; 17; 46]; [7; 41; 35]; [19; 30; 34]; [6; 24]; [40; 5; 47; 38]; [49; 16; 20]; [4; 28]; [36; 44; 9; 42]; [23; 43; 11]; [32; 0]; [10; 25]], [10800; 12500; 15000; 14000; 14600; 13600; 14800; 14600; 15000; 14800; 14800; 14700; 14900; 14400; 14200; 15000; 15000; 14000; 13700], 8575, 8576, 0.13874173164367676
6, 19, 0.9068678362573099, [7; 3; 26; 8; 32; 42; 14; 21; 47; 10; 23; 43; 24; 18; 45; 15; 19; 28; 49; 5; 25; 6; 37; 16; 44; 33; 20; 12; 41; 48; 46; 38; 11; 1; 29; 40; 4; 39; 30; 2; 17; 35; 31; 27; 0; 22; 9; 36; 13; 34], [[7]; [3; 26]; [8; 32; 42]; [14; 21; 47]; [10; 23]; [43; 24; 18; 45]; [15; 19]; [28; 49; 5]; [25; 6]; [37; 16; 44; 33]; [20; 12]; [41; 48; 46; 38; 11]; [1; 29]; [40; 4; 39]; [30; 2]; [17; 35; 31]; [27; 0]; [22; 9]; [36; 13; 34]], [9200; 14500; 14900; 14400; 14000; 14600; 14200; 14100; 14500; 14900; 14900; 14100; 14200; 14500; 14100; 14800; 14600; 15000; 14900], 7350, 7351, 0.12173581123352051
11, 19, 0.9069052631578948, [39; 37; 6; 11; 41; 36; 21; 14; 40; 45; 49; 35; 19; 4; 24; 16; 20; 7; 23; 26; 1; 5; 2; 28; 17; 27; 47; 38; 8; 44; 30; 48; 34; 15; 32; 10; 22; 46; 9; 33; 43; 18; 12; 3; 31; 29; 0; 25; 13; 42], [[39; 37; 6]; [11; 41; 36]; [21; 14]; [40; 45; 49; 35; 19]; [4; 24]; [16; 20]; [7; 23]; [26; 1]; [5]; [2; 28]; [17; 27; 47; 38]; [8; 44; 30; 48]; [34; 15; 32]; [10; 22]; [46; 9; 33; 43]; [18; 12]; [3; 31]; [29; 0]; [25; 13; 42]], [14600; 13700; 13900; 13900; 15000; 14200; 14700; 14600; 9300; 14400; 15000; 14900; 15000; 14600; 14600; 15000; 14000; 14200; 14800], 13475, 13476, 0.21587634086608887
10, 19, 0.9059181286549707, [18; 12; 14; 20; 28; 49; 4; 11; 41; 29; 7; 39; 40; 6; 42; 33; 23; 34; 32; 31; 46; 9; 24; 5; 45; 30; 2; 38; 26; 16; 8; 25; 37; 36; 15; 43; 44; 47; 17; 22; 10; 21; 1; 27; 0; 48; 35; 19; 13; 3], [[18; 12]; [14; 20]; [28; 49; 4]; [11; 41; 29]; [7; 39; 40]; [6; 42; 33]; [23; 34; 32]; [31; 46; 9]; [24; 5]; [45; 30; 2]; [38; 26; 16]; [8; 25]; [37; 36; 15; 43]; [44; 47; 17; 22]; [10; 21]; [1; 27]; [0; 48; 35]; [19; 13]; [3]], [15000; 14700; 14400; 14600; 14100; 14800; 13200; 13700; 14700; 15000; 14700; 14300; 14800; 14700; 14600; 14600; 13900; 14800; 9800], 12250, 12251, 0.20388531684875488
