Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
6, 16, 0.913913888888889, [7; 45; 16; 28; 0; 44; 6; 10; 42; 37; 29; 22; 38; 49; 18; 30; 20; 13; 14; 41; 25; 46; 40; 9; 11; 17; 39; 34; 3; 33; 32; 31; 1; 21; 2; 19; 36; 23; 43; 47; 48; 5; 27; 24; 8; 35; 15; 12; 4; 26], [[7; 45; 16]; [28; 0; 44]; [6; 10]; [42; 37; 29; 22; 38; 49]; [18; 30; 20]; [13; 14; 41]; [25; 46; 40; 9]; [11; 17; 39]; [34; 3; 33]; [32; 31; 1]; [21; 2]; [19; 36; 23; 43; 47]; [48; 5; 27]; [24; 8; 35]; [15; 12]; [4; 26]], [14800; 14200; 15000; 14600; 14800; 14900; 14900; 15000; 13300; 14400; 14500; 14800; 12600; 15000; 13300; 13000], 7350, 7351, 0.11602926254272461
4, 16, 0.9145250000000001, [18; 20; 43; 21; 45; 46; 47; 41; 19; 24; 0; 4; 16; 13; 12; 11; 27; 35; 42; 26; 48; 2; 3; 17; 36; 29; 39; 37; 34; 23; 1; 30; 44; 31; 7; 22; 38; 49; 8; 33; 40; 32; 6; 5; 15; 14; 28; 25; 9; 10], [[18; 20; 43]; [21; 45; 46; 47; 41; 19]; [24; 0]; [4; 16]; [13; 12]; [11; 27; 35; 42]; [26; 48; 2]; [3; 17]; [36; 29; 39; 37; 34]; [23; 1]; [30; 44; 31; 7]; [22; 38; 49; 8]; [33; 40; 32; 6]; [5; 15]; [14; 28; 25]; [9; 10]], [12700; 15000; 14700; 14900; 13800; 14800; 13500; 14800; 12000; 14200; 15000; 15000; 14600; 14600; 14900; 14600], 4900, 4901, 0.08472847938537598
4, 16, 0.914875, [34; 9; 24; 39; 41; 38; 12; 35; 8; 44; 19; 22; 1; 45; 46; 43; 2; 26; 32; 36; 48; 40; 42; 18; 14; 4; 21; 13; 33; 0; 23; 11; 20; 37; 31; 6; 27; 7; 17; 28; 49; 5; 47; 10; 25; 30; 16; 29; 15; 3], [[34; 9; 24]; [39; 41; 38; 12; 35]; [8; 44; 19]; [22; 1; 45]; [46; 43; 2; 26]; [32; 36; 48; 40; 42; 18]; [14; 4]; [21; 13; 33]; [0; 23]; [11; 20; 37]; [31; 6; 27]; [7; 17]; [28; 49; 5; 47]; [10; 25]; [30; 16; 29]; [15; 3]], [15000; 14700; 14500; 15000; 14900; 14400; 15000; 14800; 14700; 14700; 14800; 13900; 12600; 12000; 13100; 15000], 4900, 4901, 0.08634185791015625
6, 16, 0.9137138888888888, [34; 36; 15; 27; 49; 33; 4; 28; 29; 2; 11; 7; 22; 48; 10; 35; 8; 38; 43; 37; 41; 14; 5; 31; 46; 16; 45; 26; 3; 23; 6; 17; 0; 24; 44; 12; 13; 42; 18; 9; 21; 20; 32; 40; 1; 39; 19; 47; 30; 25], [[34; 36; 15; 27; 49]; [33; 4; 28]; [29; 2]; [11; 7]; [22; 48; 10; 35]; [8; 38; 43; 37; 41]; [14; 5]; [31; 46; 16; 45; 26]; [3; 23]; [6; 17]; [0; 24]; [44; 12; 13]; [42; 18; 9]; [21; 20; 32]; [40; 1; 39]; [19; 47; 30; 25]], [15000; 14500; 12400; 14800; 14900; 14300; 14700; 14900; 13900; 14000; 14700; 14900; 15000; 13900; 12800; 14400], 7350, 7351, 0.1139974594116211
6, 16, 0.9140805555555557, [9; 10; 42; 35; 5; 8; 23; 21; 4; 11; 6; 2; 28; 39; 12; 13; 0; 38; 29; 18; 3; 36; 30; 45; 7; 27; 20; 49; 25; 19; 1; 14; 16; 37; 48; 46; 47; 43; 26; 17; 34; 31; 15; 24; 41; 40; 44; 22; 32; 33], [[9; 10]; [42; 35; 5]; [8; 23]; [21; 4]; [11; 6]; [2; 28; 39]; [12; 13]; [0; 38; 29]; [18; 3]; [36; 30; 45; 7]; [27; 20; 49; 25]; [19; 1]; [14; 16; 37; 48]; [46; 47; 43; 26; 17; 34]; [31; 15; 24]; [41; 40; 44; 22; 32; 33]], [14600; 12100; 12800; 14300; 14900; 14300; 13800; 15000; 14600; 13900; 14800; 14800; 15000; 15000; 14400; 14800], 7350, 7351, 0.13152623176574707
6, 16, 0.9163027777777777, [3; 16; 33; 26; 7; 5; 47; 40; 20; 35; 10; 2; 18; 25; 21; 34; 1; 24; 28; 13; 27; 42; 9; 19; 45; 0; 37; 32; 22; 39; 8; 43; 44; 41; 6; 30; 29; 11; 46; 31; 14; 36; 15; 17; 48; 4; 23; 49; 38; 12], [[3; 16]; [33; 26; 7]; [5; 47; 40]; [20; 35; 10]; [2; 18]; [25; 21; 34]; [1; 24]; [28; 13; 27]; [42; 9; 19]; [45; 0; 37; 32]; [22; 39; 8]; [43; 44; 41; 6; 30]; [29; 11; 46; 31]; [14; 36; 15]; [17; 48; 4]; [23; 49; 38; 12]], [15000; 14500; 10700; 15000; 14700; 12900; 14200; 14400; 14900; 14700; 14800; 15000; 14100; 14900; 15000; 14300], 7350, 7351, 0.11562418937683105
6, 16, 0.9130805555555555, [15; 33; 22; 27; 31; 47; 48; 17; 49; 10; 43; 20; 44; 19; 9; 45; 46; 21; 13; 14; 4; 11; 35; 37; 28; 32; 29; 5; 6; 12; 39; 8; 25; 30; 0; 36; 7; 42; 23; 16; 18; 40; 3; 38; 41; 34; 24; 2; 1; 26], [[15; 33; 22]; [27; 31; 47; 48; 17; 49]; [10; 43; 20; 44]; [19; 9; 45; 46]; [21; 13]; [14; 4]; [11; 35; 37; 28]; [32; 29; 5]; [6; 12]; [39; 8; 25]; [30; 0; 36]; [7; 42; 23]; [16; 18; 40]; [3; 38; 41; 34]; [24; 2]; [1; 26]], [13900; 14000; 15000; 14600; 12500; 15000; 14800; 14400; 14900; 14400; 14900; 14600; 14100; 14600; 14000; 13400], 7350, 7351, 0.11578989028930664
6, 16, 0.9165972222222222, [24; 32; 12; 1; 19; 4; 23; 2; 40; 28; 43; 30; 14; 37; 34; 31; 18; 39; 26; 3; 38; 33; 42; 22; 29; 36; 17; 5; 6; 13; 15; 45; 20; 46; 41; 35; 49; 7; 27; 47; 48; 0; 25; 8; 10; 11; 21; 9; 44; 16], [[24; 32; 12]; [1; 19]; [4; 23]; [2; 40; 28]; [43; 30; 14; 37; 34]; [31; 18; 39]; [26; 3; 38]; [33; 42; 22; 29; 36]; [17; 5]; [6; 13]; [15; 45; 20; 46; 41]; [35; 49; 7; 27; 47; 48]; [0; 25]; [8; 10]; [11; 21]; [9; 44; 16]], [14700; 14800; 13800; 14300; 15000; 10700; 15000; 15000; 14400; 14700; 15000; 15000; 14400; 14700; 12700; 14900], 7350, 7351, 0.11602377891540527
5, 16, 0.9132138888888889, [49; 19; 5; 16; 26; 30; 37; 21; 34; 46; 29; 18; 35; 13; 47; 22; 12; 23; 45; 2; 33; 0; 43; 1; 48; 20; 28; 27; 11; 10; 6; 40; 15; 14; 4; 31; 44; 36; 8; 38; 25; 3; 17; 41; 9; 39; 32; 24; 7; 42], [[49; 19; 5]; [16; 26; 30]; [37; 21; 34; 46; 29]; [18; 35; 13]; [47; 22; 12]; [23; 45; 2]; [33; 0; 43]; [1; 48; 20]; [28; 27; 11]; [10; 6]; [40; 15; 14]; [4; 31; 44; 36]; [8; 38; 25]; [3; 17]; [41; 9; 39; 32]; [24; 7; 42]], [14300; 13900; 14200; 14900; 12800; 14700; 12900; 15000; 14600; 15000; 14600; 14800; 14400; 14800; 13600; 14600], 6125, 6126, 0.09995198249816895
4, 16, 0.9166083333333334, [0; 24; 6; 21; 15; 8; 49; 39; 46; 22; 40; 41; 30; 18; 26; 2; 27; 36; 3; 47; 19; 25; 10; 33; 16; 38; 14; 45; 35; 1; 37; 48; 32; 17; 44; 23; 34; 28; 4; 12; 7; 11; 43; 13; 31; 5; 29; 9; 20; 42], [[0; 24]; [6; 21]; [15; 8; 49]; [39; 46; 22; 40; 41; 30]; [18; 26]; [2; 27; 36]; [3; 47; 19]; [25; 10; 33]; [16; 38; 14]; [45; 35; 1; 37; 48]; [32; 17; 44; 23]; [34; 28; 4]; [12; 7]; [11; 43; 13]; [31; 5; 29]; [9; 20; 42]], [14700; 13600; 14100; 14600; 10300; 15000; 15000; 14300; 14600; 14200; 14900; 14500; 14800; 14900; 14800; 14800], 4900, 4901, 0.08461380004882812
