Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
28, 25, 0.8633102222222222, [40; 0; 25; 18; 22; 48; 47; 38; 3; 39; 5; 9; 29; 10; 28; 33; 15; 11; 26; 13; 41; 1; 32; 14; 37; 2; 42; 43; 35; 4; 36; 19; 24; 44; 6; 31; 7; 27; 12; 34; 17; 16; 45; 8; 30; 46; 20; 49; 21; 23], [[40; 0]; [25; 18]; [22; 48; 47]; [38; 3]; [39; 5]; [9; 29]; [10; 28]; [33; 15]; [11]; [26; 13]; [41; 1]; [32; 14]; [37; 2]; [42; 43; 35]; [4; 36]; [19; 24]; [44; 6]; [31; 7]; [27; 12]; [34; 17]; [16; 45]; [8; 30]; [46; 20; 49]; [21]; [23]], [14500; 14900; 15000; 14600; 14300; 15000; 14900; 14300; 8200; 15000; 14500; 14300; 15000; 15000; 14900; 15000; 13200; 15000; 15000; 14100; 11900; 15000; 14900; 7700; 7400], 35525, 35526, 0.6171097755432129
33, 25, 0.8596444444444445, [27; 12; 10; 49; 48; 3; 39; 23; 21; 47; 17; 46; 20; 24; 43; 16; 9; 28; 5; 38; 0; 40; 44; 41; 32; 6; 35; 8; 30; 18; 25; 22; 7; 31; 36; 4; 33; 14; 45; 19; 42; 1; 37; 2; 34; 13; 26; 15; 11; 29], [[27; 12]; [10; 49; 48]; [3; 39]; [23]; [21; 47]; [17; 46]; [20; 24]; [43; 16]; [9; 28]; [5; 38]; [0; 40]; [44; 41; 32]; [6; 35]; [8; 30]; [18; 25]; [22]; [7; 31]; [36; 4]; [33; 14]; [45; 19]; [42; 1]; [37; 2]; [34; 13]; [26; 15]; [11; 29]], [15000; 15000; 14600; 7400; 11500; 11900; 15000; 12500; 15000; 14300; 14500; 15000; 15000; 15000; 14900; 7700; 15000; 14900; 14300; 11700; 14400; 15000; 14200; 15000; 14800], 41650, 41651, 0.732964277267456
31, 25, 0.864128, [23; 9; 28; 34; 13; 8; 30; 21; 16; 45; 2; 37; 3; 38; 19; 49; 46; 48; 22; 47; 17; 10; 29; 1; 41; 39; 5; 44; 40; 33; 32; 11; 6; 35; 14; 43; 4; 36; 12; 27; 24; 20; 31; 7; 0; 42; 18; 25; 26; 15], [[23]; [9; 28]; [34; 13]; [8; 30]; [21]; [16; 45]; [2; 37]; [3; 38]; [19; 49; 46]; [48; 22; 47]; [17]; [10; 29]; [1; 41]; [39; 5]; [44; 40; 33]; [32; 11]; [6; 35]; [14; 43]; [4; 36]; [12; 27]; [24; 20]; [31; 7]; [0; 42]; [18; 25]; [26; 15]], [7400; 15000; 14200; 15000; 7700; 11900; 15000; 14600; 14900; 15000; 8000; 14900; 14500; 14300; 15000; 14400; 15000; 12600; 14900; 15000; 15000; 15000; 14400; 14900; 15000], 39200, 39201, 0.6849889755249023
24, 25, 0.8641102222222221, [45; 20; 49; 23; 14; 34; 39; 5; 35; 6; 47; 48; 22; 7; 33; 36; 4; 17; 46; 42; 15; 11; 27; 13; 26; 30; 8; 2; 37; 38; 3; 29; 10; 31; 43; 44; 21; 1; 41; 16; 24; 19; 40; 0; 32; 12; 18; 25; 9; 28], [[45; 20; 49]; [23]; [14; 34]; [39; 5]; [35; 6]; [47; 48; 22]; [7; 33]; [36; 4]; [17; 46]; [42; 15]; [11; 27]; [13; 26]; [30; 8]; [2; 37]; [38; 3]; [29; 10]; [31; 43; 44]; [21]; [1; 41]; [16]; [24; 19]; [40; 0]; [32; 12]; [18; 25]; [9; 28]], [14900; 7400; 14200; 14300; 15000; 15000; 14900; 14900; 11900; 12600; 15000; 15000; 15000; 15000; 14600; 14900; 15000; 7700; 14500; 8000; 15000; 14500; 14400; 14900; 15000], 30625, 30626, 0.5331499576568604
26, 25, 0.8591466666666666, [24; 41; 49; 6; 35; 39; 5; 23; 16; 42; 48; 22; 47; 7; 31; 4; 36; 32; 15; 18; 46; 37; 2; 21; 9; 28; 11; 27; 0; 43; 13; 26; 44; 17; 34; 14; 10; 29; 8; 30; 38; 3; 20; 25; 33; 12; 1; 40; 19; 45], [[24; 41; 49]; [6; 35]; [39; 5]; [23]; [16; 42]; [48; 22; 47]; [7; 31]; [4; 36]; [32; 15]; [18; 46]; [37; 2]; [21]; [9; 28]; [11; 27]; [0; 43]; [13; 26]; [44; 17]; [34; 14]; [10; 29]; [8; 30]; [38; 3]; [20; 25]; [33; 12]; [1; 40]; [19; 45]], [15000; 15000; 14300; 7400; 12500; 15000; 15000; 14900; 14300; 11700; 15000; 7700; 15000; 15000; 14400; 15000; 12200; 14200; 14900; 15000; 14600; 14900; 14400; 14500; 11700], 33075, 33076, 0.5695626735687256
33, 25, 0.8635200000000001, [31; 7; 4; 36; 3; 43; 21; 10; 29; 26; 14; 17; 49; 47; 45; 48; 23; 9; 28; 15; 32; 38; 41; 39; 19; 5; 44; 8; 30; 0; 40; 11; 27; 13; 34; 42; 1; 46; 16; 24; 20; 12; 33; 35; 6; 22; 2; 37; 25; 18], [[31; 7]; [4; 36]; [3; 43]; [21]; [10; 29]; [26; 14]; [17; 49; 47]; [45; 48; 23]; [9; 28]; [15; 32]; [38; 41; 39]; [19]; [5; 44]; [8; 30]; [0; 40]; [11; 27]; [13; 34]; [42; 1]; [46; 16]; [24; 20]; [12; 33]; [35; 6]; [22]; [2; 37]; [25; 18]], [15000; 14900; 13900; 7700; 14900; 15000; 15000; 14800; 15000; 14300; 15000; 7800; 13300; 15000; 14500; 15000; 14200; 14400; 11900; 15000; 14400; 15000; 7700; 15000; 14900], 41650, 41651, 0.7233245372772217
26, 26, 0.8097504273504275, [22; 19; 46; 14; 34; 4; 36; 48; 38; 32; 39; 3; 27; 11; 40; 1; 24; 20; 23; 9; 28; 45; 16; 18; 25; 30; 8; 6; 43; 29; 10; 2; 37; 21; 13; 44; 49; 17; 47; 35; 5; 42; 31; 7; 26; 15; 0; 41; 33; 12], [[22]; [19; 46]; [14; 34]; [4; 36]; [48; 38; 32]; [39; 3]; [27; 11]; [40; 1]; [24; 20]; [23]; [9; 28]; [45; 16]; [18; 25]; [30; 8]; [6; 43]; [29; 10]; [2; 37]; [21]; [13; 44]; [49; 17; 47]; [35]; [5; 42]; [31; 7]; [26; 15]; [0; 41]; [33; 12]], [7700; 11700; 14200; 14900; 14900; 14600; 15000; 14500; 15000; 7400; 15000; 11900; 14900; 15000; 13500; 14900; 15000; 7700; 12300; 15000; 6000; 13600; 15000; 15000; 14500; 14400], 33075, 33076, 0.5889749526977539
23, 25, 0.8641279999999999, [31; 7; 11; 33; 36; 4; 8; 30; 49; 19; 45; 18; 25; 23; 10; 28; 5; 38; 20; 24; 22; 14; 42; 1; 43; 9; 29; 13; 34; 44; 41; 32; 39; 3; 6; 35; 0; 40; 21; 48; 47; 16; 2; 37; 17; 46; 12; 27; 15; 26], [[31; 7]; [11; 33]; [36; 4]; [8; 30]; [49; 19; 45]; [18; 25]; [23]; [10; 28]; [5; 38]; [20; 24]; [22]; [14; 42]; [1; 43]; [9; 29]; [13; 34]; [44; 41; 32]; [39; 3]; [6; 35]; [0; 40]; [21; 48; 47]; [16]; [2; 37]; [17; 46]; [12; 27]; [15; 26]], [15000; 14400; 14900; 15000; 14900; 14900; 7400; 14900; 14300; 15000; 7700; 12600; 14400; 15000; 14200; 15000; 14600; 15000; 14500; 15000; 8000; 15000; 11900; 15000; 15000], 29400, 29401, 0.5069625377655029
30, 25, 0.8691128888888889, [49; 45; 19; 20; 25; 30; 8; 35; 6; 11; 32; 10; 29; 34; 15; 2; 37; 33; 14; 17; 43; 47; 48; 22; 42; 16; 44; 21; 0; 41; 36; 4; 24; 18; 13; 26; 23; 5; 38; 7; 31; 27; 12; 40; 1; 3; 39; 9; 28; 46], [[49; 45; 19]; [20; 25]; [30; 8]; [35; 6]; [11; 32]; [10; 29]; [34; 15]; [2; 37]; [33; 14]; [17; 43]; [47; 48; 22]; [42; 16]; [44; 21]; [0; 41]; [36; 4]; [24; 18]; [13; 26]; [23]; [5; 38]; [7; 31]; [27; 12]; [40; 1]; [3; 39]; [9; 28]; [46]], [14900; 14900; 15000; 15000; 14400; 14900; 14200; 15000; 14300; 12500; 15000; 12500; 11900; 14500; 14900; 15000; 15000; 7400; 14300; 15000; 15000; 14500; 14600; 15000; 3900], 37975, 37976, 0.6435019969940186
21, 25, 0.8596444444444444, [44; 33; 41; 42; 0; 20; 24; 46; 17; 43; 16; 31; 7; 4; 36; 27; 12; 21; 47; 3; 39; 5; 38; 23; 9; 28; 26; 15; 19; 45; 14; 32; 37; 2; 22; 8; 30; 25; 18; 6; 35; 11; 29; 34; 13; 40; 1; 10; 48; 49], [[44; 33; 41]; [42; 0]; [20; 24]; [46; 17]; [43; 16]; [31; 7]; [4; 36]; [27; 12]; [21; 47]; [3; 39]; [5; 38]; [23]; [9; 28]; [26; 15]; [19; 45]; [14; 32]; [37; 2]; [22]; [8; 30]; [25; 18]; [6; 35]; [11; 29]; [34; 13]; [40; 1]; [10; 48; 49]], [15000; 14400; 15000; 11900; 12500; 15000; 14900; 15000; 11500; 14600; 14300; 7400; 15000; 15000; 11700; 14300; 15000; 7700; 15000; 14900; 15000; 14800; 14200; 14500; 15000], 26950, 26951, 0.45427370071411133
