Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
19, 16, 0.9649914375, [21; 31; 22; 11; 16; 42; 2; 44; 26; 10; 20; 37; 17; 46; 8; 15; 4; 25; 29; 28; 33; 14; 39; 36; 27; 47; 32; 49; 0; 9; 19; 40; 23; 45; 12; 24; 5; 38; 34; 43; 48; 3; 41; 13; 7; 18; 6; 35; 1; 30], [[21; 31; 22]; [11; 16; 42]; [2; 44; 26]; [10; 20; 37]; [17; 46; 8]; [15; 4]; [25; 29; 28; 33]; [14; 39; 36; 27]; [47; 32; 49; 0]; [9; 19]; [40; 23; 45; 12]; [24; 5; 38]; [34; 43; 48; 3; 41]; [13; 7]; [18; 6]; [35; 1; 30]], [96800; 99800; 100000; 99800; 99700; 99700; 97400; 100000; 91300; 91500; 99800; 99500; 99700; 100000; 96400; 99700], 23275, 23276, 0.384601354598999
13, 16, 0.9645236874999998, [28; 35; 1; 7; 14; 4; 17; 27; 3; 45; 44; 25; 39; 13; 41; 47; 31; 5; 43; 33; 36; 0; 2; 22; 38; 12; 18; 21; 23; 29; 15; 37; 16; 30; 9; 32; 19; 48; 6; 24; 34; 10; 8; 11; 46; 20; 26; 40; 42; 49], [[28; 35; 1]; [7; 14]; [4; 17]; [27; 3; 45]; [44; 25; 39; 13]; [41; 47; 31; 5; 43]; [33; 36; 0]; [2; 22]; [38; 12; 18]; [21; 23; 29]; [15; 37; 16]; [30; 9; 32]; [19; 48; 6]; [24; 34; 10]; [8; 11]; [46; 20; 26; 40; 42; 49]], [100000; 98200; 98400; 97200; 98500; 99300; 94700; 97800; 99700; 97700; 97800; 93500; 100000; 98600; 99800; 99900], 15925, 15926, 0.2501215934753418
18, 16, 0.9647886875000001, [20; 33; 19; 5; 49; 28; 34; 48; 10; 36; 26; 30; 3; 35; 16; 22; 32; 9; 12; 21; 2; 6; 38; 25; 14; 8; 0; 23; 11; 13; 18; 47; 7; 40; 44; 27; 15; 42; 1; 29; 43; 45; 4; 39; 24; 17; 46; 37; 31; 41], [[20; 33; 19]; [5; 49; 28; 34]; [48; 10; 36; 26]; [30; 3; 35]; [16; 22; 32]; [9; 12]; [21; 2]; [6; 38; 25]; [14; 8]; [0; 23]; [11; 13]; [18; 47; 7]; [40; 44; 27; 15; 42]; [1; 29; 43; 45]; [4; 39; 24]; [17; 46; 37; 31; 41]], [98300; 99600; 98600; 99300; 99100; 98400; 100000; 98700; 97400; 97900; 95600; 99100; 100000; 99700; 99600; 89800], 22050, 22051, 0.3352820873260498
15, 16, 0.9645101875, [12; 39; 44; 24; 22; 0; 16; 4; 41; 10; 20; 45; 18; 27; 32; 13; 34; 25; 26; 9; 33; 1; 46; 40; 47; 36; 6; 15; 42; 37; 38; 35; 7; 3; 21; 11; 8; 5; 17; 28; 14; 43; 31; 30; 23; 19; 29; 2; 49; 48], [[12; 39; 44; 24]; [22; 0]; [16; 4]; [41; 10; 20]; [45; 18; 27; 32]; [13; 34; 25]; [26; 9; 33]; [1; 46; 40; 47; 36]; [6; 15]; [42; 37; 38; 35; 7]; [3; 21]; [11; 8]; [5; 17]; [28; 14; 43; 31]; [30; 23; 19]; [29; 2; 49; 48]], [99000; 99600; 98600; 98200; 97400; 97300; 99700; 96300; 98800; 98900; 99800; 99800; 97900; 98200; 99100; 92500], 18375, 18376, 0.28405332565307617
10, 16, 0.9645090624999998, [24; 2; 34; 33; 45; 35; 17; 49; 19; 9; 29; 27; 16; 48; 3; 21; 40; 13; 38; 28; 47; 23; 39; 7; 32; 6; 30; 31; 43; 1; 41; 14; 37; 25; 42; 18; 5; 12; 10; 11; 8; 0; 22; 46; 26; 44; 36; 20; 4; 15], [[24; 2]; [34; 33; 45; 35; 17]; [49; 19; 9]; [29; 27; 16; 48]; [3; 21]; [40; 13; 38; 28; 47]; [23; 39; 7]; [32; 6; 30]; [31; 43; 1; 41]; [14; 37; 25; 42]; [18; 5]; [12; 10]; [11; 8]; [0; 22]; [46; 26; 44; 36; 20]; [4; 15]], [94300; 99200; 95400; 99900; 99800; 96900; 98000; 97700; 99800; 99000; 96800; 96000; 99800; 99600; 99200; 99700], 12250, 12251, 0.20019793510437012
11, 16, 0.9644390625, [16; 20; 36; 30; 29; 9; 8; 48; 18; 10; 49; 12; 33; 47; 13; 27; 2; 22; 19; 4; 21; 5; 46; 15; 7; 34; 14; 28; 41; 32; 38; 3; 43; 35; 44; 6; 31; 42; 11; 17; 0; 25; 24; 26; 23; 45; 39; 40; 37; 1], [[16; 20; 36]; [30; 29; 9]; [8; 48; 18]; [10; 49; 12]; [33; 47; 13; 27]; [2; 22]; [19; 4]; [21; 5; 46]; [15; 7]; [34; 14; 28; 41]; [32; 38; 3; 43]; [35; 44; 6; 31]; [42; 11; 17]; [0; 25]; [24; 26; 23]; [45; 39; 40; 37; 1]], [97300; 97400; 97400; 99900; 99700; 97800; 96600; 100000; 96300; 95700; 99100; 98900; 99600; 95700; 100000; 99700], 13475, 13476, 0.21527957916259766
15, 16, 0.9647598125, [47; 24; 40; 9; 37; 25; 6; 43; 12; 32; 29; 42; 2; 27; 19; 5; 3; 21; 11; 8; 4; 17; 18; 10; 28; 7; 30; 45; 14; 26; 36; 22; 15; 33; 39; 44; 35; 49; 0; 13; 46; 41; 23; 1; 31; 34; 16; 20; 38; 48], [[47; 24; 40; 9]; [37; 25; 6]; [43; 12; 32; 29]; [42; 2; 27]; [19; 5]; [3; 21]; [11; 8]; [4; 17]; [18; 10]; [28; 7; 30]; [45; 14; 26; 36]; [22; 15; 33]; [39; 44; 35; 49; 0]; [13; 46; 41; 23]; [1; 31; 34]; [16; 20; 38; 48]], [99400; 99300; 98700; 99400; 96100; 99800; 99800; 98400; 89800; 99200; 98600; 98200; 100000; 97900; 98700; 97800], 18375, 18376, 0.2867748737335205
14, 16, 0.9645511874999998, [23; 28; 19; 15; 6; 4; 36; 27; 3; 24; 8; 14; 7; 13; 42; 45; 17; 18; 46; 5; 21; 33; 1; 32; 22; 2; 47; 49; 26; 25; 34; 41; 12; 43; 16; 35; 30; 31; 20; 0; 29; 38; 10; 11; 39; 44; 37; 9; 40; 48], [[23; 28; 19]; [15; 6]; [4; 36; 27]; [3; 24]; [8; 14]; [7; 13]; [42; 45; 17; 18]; [46; 5; 21]; [33; 1; 32]; [22; 2]; [47; 49; 26; 25; 34; 41]; [12; 43; 16]; [35; 30; 31; 20]; [0; 29; 38]; [10; 11]; [39; 44; 37; 9; 40; 48]], [99400; 98800; 99900; 94100; 97400; 100000; 99900; 100000; 98100; 97800; 100000; 98500; 99500; 96800; 96500; 94400], 17150, 17151, 0.282245397567749
20, 16, 0.9647723124999998, [14; 23; 33; 16; 4; 12; 40; 19; 44; 39; 34; 30; 36; 32; 1; 26; 25; 35; 9; 45; 10; 49; 37; 43; 31; 22; 0; 29; 28; 7; 17; 5; 2; 21; 8; 11; 20; 48; 6; 3; 27; 41; 13; 18; 38; 42; 24; 15; 46; 47], [[14; 23; 33]; [16; 4]; [12; 40; 19]; [44; 39; 34; 30; 36; 32]; [1; 26]; [25; 35; 9]; [45; 10; 49; 37; 43; 31]; [22; 0]; [29; 28; 7]; [17; 5]; [2; 21]; [8; 11]; [20; 48; 6]; [3; 27; 41]; [13; 18; 38]; [42; 24; 15; 46; 47]], [98400; 98600; 98300; 92000; 92500; 99200; 99600; 99600; 99400; 97900; 100000; 99800; 99400; 99900; 99600; 96900], 24500, 24501, 0.3782520294189453
16, 16, 0.9644479375, [17; 14; 37; 31; 48; 43; 8; 36; 0; 25; 28; 47; 40; 1; 21; 2; 22; 7; 41; 6; 15; 11; 13; 3; 23; 9; 10; 27; 12; 32; 20; 34; 44; 26; 33; 30; 38; 46; 18; 5; 39; 24; 16; 4; 35; 45; 19; 49; 42; 29], [[17; 14; 37]; [31; 48; 43; 8; 36]; [0; 25]; [28; 47; 40; 1]; [21; 2]; [22; 7; 41]; [6; 15]; [11; 13]; [3; 23]; [9; 10]; [27; 12; 32]; [20; 34; 44; 26]; [33; 30; 38; 46; 18]; [5; 39; 24]; [16; 4]; [35; 45; 19; 49; 42; 29]], [99500; 99500; 95700; 99800; 100000; 99100; 98800; 95600; 95900; 99200; 96600; 96000; 98300; 99100; 98600; 99400], 19600, 19601, 0.3225703239440918
