Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
3, 10, 0.9099914000000002, [44; 14; 9; 41; 7; 29; 4; 3; 11; 49; 1; 16; 42; 6; 35; 5; 0; 33; 22; 37; 2; 18; 39; 23; 24; 12; 13; 46; 10; 47; 31; 19; 36; 38; 43; 27; 20; 34; 25; 8; 30; 48; 21; 17; 40; 26; 15; 32; 28; 45], [[44; 14; 9; 41]; [7; 29; 4; 3]; [11; 49; 1; 16; 42]; [6; 35; 5; 0]; [33; 22; 37; 2; 18]; [39; 23; 24; 12; 13]; [46; 10; 47; 31; 19; 36]; [38; 43; 27; 20; 34; 25]; [8; 30; 48; 21; 17]; [40; 26; 15; 32; 28; 45]], [73600; 99700; 99800; 99200; 98200; 99000; 97400; 94800; 92900; 96400], 3675, 3676, 0.056952714920043945
3, 10, 0.9093123999999999, [19; 16; 9; 10; 0; 1; 29; 2; 37; 39; 28; 11; 45; 7; 14; 12; 35; 24; 3; 17; 30; 34; 27; 20; 6; 13; 47; 36; 21; 22; 46; 15; 43; 31; 18; 23; 32; 42; 40; 38; 44; 4; 48; 5; 26; 25; 8; 49; 41; 33], [[19; 16; 9; 10]; [0; 1; 29]; [2; 37; 39; 28; 11]; [45; 7; 14; 12; 35]; [24; 3; 17; 30; 34]; [27; 20; 6; 13; 47]; [36; 21; 22; 46; 15; 43]; [31; 18; 23; 32; 42; 40]; [38; 44; 4; 48; 5]; [26; 25; 8; 49; 41; 33]], [93100; 75300; 98900; 99500; 97700; 98900; 98500; 98100; 92400; 98600], 3675, 3676, 0.046903133392333984
2, 10, 0.9070088000000001, [36; 23; 6; 15; 8; 47; 40; 5; 26; 37; 29; 1; 45; 18; 0; 38; 16; 41; 19; 21; 10; 9; 3; 22; 28; 35; 13; 43; 46; 30; 33; 17; 31; 11; 7; 48; 42; 20; 2; 39; 12; 27; 44; 25; 32; 49; 14; 24; 4; 34], [[36; 23; 6; 15]; [8; 47; 40; 5; 26]; [37; 29; 1; 45; 18]; [0; 38; 16; 41; 19]; [21; 10; 9; 3]; [22; 28; 35; 13; 43; 46]; [30; 33; 17; 31; 11]; [7; 48; 42; 20; 2]; [39; 12; 27; 44; 25; 32]; [49; 14; 24; 4; 34]], [82800; 94900; 92500; 100000; 99300; 96900; 92300; 99900; 99700; 92700], 2450, 2451, 0.03726816177368164
1, 10, 0.9069851999999999, [6; 27; 45; 38; 0; 10; 34; 16; 20; 11; 40; 31; 36; 33; 29; 24; 12; 3; 37; 43; 32; 4; 1; 19; 2; 5; 22; 23; 39; 35; 46; 48; 9; 17; 21; 26; 30; 44; 47; 13; 25; 8; 15; 7; 18; 41; 42; 14; 49; 28], [[6; 27; 45; 38; 0]; [10; 34; 16; 20]; [11; 40; 31; 36; 33; 29]; [24; 12; 3; 37; 43]; [32; 4; 1; 19]; [2; 5; 22; 23]; [39; 35; 46; 48; 9; 17]; [21; 26; 30; 44; 47; 13]; [25; 8; 15; 7]; [18; 41; 42; 14; 49; 28]], [98900; 81800; 99800; 97100; 93700; 94900; 96200; 99600; 91600; 97400], 1225, 1226, 0.016628265380859375
1, 10, 0.9056336, [8; 26; 9; 37; 28; 24; 12; 31; 34; 14; 16; 13; 41; 45; 17; 30; 7; 47; 44; 39; 18; 32; 2; 21; 0; 36; 35; 33; 15; 5; 38; 1; 23; 10; 48; 19; 40; 20; 29; 11; 49; 27; 42; 6; 3; 43; 4; 25; 22; 46], [[8; 26; 9; 37; 28]; [24; 12; 31; 34; 14]; [16; 13; 41; 45; 17]; [30; 7; 47; 44; 39; 18]; [32; 2; 21; 0]; [36; 35; 33; 15; 5]; [38; 1; 23; 10; 48]; [19; 40; 20; 29; 11]; [49; 27; 42; 6; 3]; [43; 4; 25; 22; 46]], [98600; 94700; 92300; 100000; 94000; 93600; 98000; 96300; 96400; 87100], 1225, 1226, 0.01562643051147461
1, 10, 0.9078504000000001, [44; 31; 40; 43; 45; 30; 16; 26; 2; 17; 6; 8; 48; 47; 22; 5; 19; 32; 0; 27; 1; 12; 34; 33; 11; 25; 24; 39; 13; 29; 3; 49; 4; 35; 21; 23; 15; 37; 46; 41; 36; 18; 38; 9; 10; 7; 14; 42; 28; 20], [[44; 31; 40; 43; 45; 30]; [16; 26; 2; 17]; [6; 8; 48; 47; 22]; [5; 19; 32; 0]; [27; 1; 12; 34; 33]; [11; 25; 24; 39; 13]; [29; 3; 49; 4; 35]; [21; 23; 15; 37; 46; 41]; [36; 18; 38; 9; 10]; [7; 14; 42; 28; 20]], [80900; 89200; 92800; 93600; 99900; 97700; 97800; 100000; 99900; 99200], 1225, 1226, 0.015623331069946289
1, 10, 0.9084249999999999, [5; 42; 1; 3; 48; 9; 2; 19; 46; 7; 29; 25; 31; 40; 49; 26; 47; 41; 27; 0; 44; 12; 11; 16; 28; 43; 32; 10; 36; 23; 34; 13; 22; 30; 20; 18; 21; 39; 37; 4; 33; 24; 17; 15; 14; 6; 35; 45; 38; 8], [[5; 42; 1; 3]; [48; 9; 2; 19; 46]; [7; 29; 25; 31; 40; 49]; [26; 47; 41; 27; 0; 44]; [12; 11; 16; 28; 43]; [32; 10; 36; 23; 34]; [13; 22; 30; 20]; [18; 21; 39; 37; 4]; [33; 24; 17; 15; 14]; [6; 35; 45; 38; 8]], [99600; 96600; 100000; 99400; 99700; 88200; 79300; 97400; 98000; 92800], 1225, 1226, 0.017626523971557617
7, 10, 0.9131651999999999, [19; 3; 16; 2; 23; 7; 10; 22; 42; 1; 40; 13; 14; 20; 33; 9; 5; 18; 21; 26; 41; 34; 8; 4; 25; 35; 38; 39; 45; 32; 44; 47; 17; 12; 0; 30; 37; 31; 6; 46; 15; 36; 11; 27; 29; 43; 24; 28; 48; 49], [[19; 3; 16]; [2; 23; 7; 10]; [22; 42; 1; 40; 13]; [14; 20; 33; 9]; [5; 18; 21; 26; 41]; [34; 8; 4; 25; 35]; [38; 39; 45; 32; 44; 47; 17]; [12; 0; 30; 37; 31]; [6; 46; 15; 36; 11]; [27; 29; 43; 24; 28; 48; 49]], [71400; 99800; 100000; 82800; 99800; 99700; 98600; 99900; 99700; 99300], 8575, 8576, 0.1313939094543457
2, 10, 0.9068276, [3; 44; 0; 17; 42; 41; 21; 9; 40; 22; 34; 49; 45; 39; 37; 29; 36; 10; 2; 1; 33; 28; 5; 43; 4; 38; 6; 19; 47; 8; 48; 15; 16; 27; 23; 7; 18; 13; 46; 30; 32; 12; 26; 14; 20; 11; 24; 31; 25; 35], [[3; 44; 0; 17]; [42; 41; 21; 9; 40]; [22; 34; 49; 45; 39; 37; 29]; [36; 10; 2; 1]; [33; 28; 5; 43; 4]; [38; 6; 19; 47; 8]; [48; 15; 16; 27; 23]; [7; 18; 13; 46; 30]; [32; 12; 26; 14; 20]; [11; 24; 31; 25; 35]], [91500; 86400; 100000; 98200; 99100; 98400; 89700; 98400; 99800; 89500], 2450, 2451, 0.04815506935119629
2, 10, 0.9063332, [46; 22; 31; 38; 7; 41; 18; 5; 13; 27; 48; 2; 20; 12; 23; 34; 1; 21; 26; 25; 28; 3; 42; 4; 35; 6; 10; 9; 29; 17; 8; 43; 14; 45; 30; 44; 49; 40; 32; 37; 39; 0; 36; 15; 47; 33; 11; 19; 24; 16], [[46; 22; 31; 38; 7; 41]; [18; 5; 13; 27; 48]; [2; 20; 12; 23]; [34; 1; 21; 26; 25]; [28; 3; 42; 4]; [35; 6; 10; 9]; [29; 17; 8; 43; 14]; [45; 30; 44; 49; 40; 32; 37]; [39; 0; 36; 15; 47]; [33; 11; 19; 24; 16]], [100000; 100000; 92900; 98400; 86600; 92300; 97600; 93000; 90700; 99500], 2450, 2451, 0.0342564582824707
