Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
1, 8, 0.871514875, [37; 35; 13; 29; 0; 33; 42; 27; 4; 26; 12; 49; 16; 1; 48; 3; 28; 14; 39; 32; 45; 7; 41; 5; 9; 34; 24; 11; 8; 6; 23; 30; 19; 43; 40; 22; 18; 15; 36; 46; 47; 44; 31; 20; 2; 38; 21; 25; 10; 17], [[37; 35; 13; 29; 0; 33; 42]; [27; 4; 26; 12; 49; 16]; [1; 48; 3; 28; 14; 39]; [32; 45; 7; 41; 5; 9; 34]; [24; 11; 8; 6; 23]; [30; 19; 43; 40; 22; 18; 15]; [36; 46; 47; 44; 31; 20; 2; 38]; [21; 25; 10; 17]], [98500; 95300; 94300; 100000; 97900; 99500; 83900; 74300], 1225, 1226, 0.015571117401123047
1, 8, 0.868958125, [7; 19; 32; 43; 25; 36; 29; 2; 27; 17; 45; 12; 49; 46; 5; 42; 47; 14; 15; 34; 40; 24; 44; 23; 39; 8; 13; 41; 11; 18; 16; 20; 35; 33; 30; 22; 4; 1; 3; 31; 21; 48; 9; 6; 37; 26; 38; 10; 0; 28], [[7; 19; 32; 43; 25; 36; 29]; [2; 27; 17; 45; 12; 49; 46]; [5; 42; 47; 14; 15; 34; 40]; [24; 44; 23; 39; 8; 13; 41]; [11; 18; 16; 20; 35; 33]; [30; 22; 4; 1]; [3; 31; 21; 48; 9; 6]; [37; 26; 38; 10; 0; 28]], [96700; 87400; 92100; 96700; 98700; 77600; 100000; 94500], 1225, 1226, 0.015673160552978516
1, 8, 0.869438125, [44; 32; 23; 27; 11; 22; 0; 37; 20; 39; 9; 47; 29; 6; 10; 21; 42; 43; 30; 46; 38; 24; 33; 40; 5; 2; 16; 26; 12; 35; 8; 34; 49; 18; 1; 3; 17; 31; 4; 7; 14; 19; 25; 15; 48; 28; 13; 45; 36; 41], [[44; 32; 23; 27; 11; 22]; [0; 37; 20; 39; 9; 47; 29]; [6; 10; 21; 42; 43; 30; 46; 38]; [24; 33; 40; 5; 2]; [16; 26; 12; 35; 8; 34]; [49; 18; 1; 3; 17; 31]; [4; 7; 14; 19]; [25; 15; 48; 28; 13; 45; 36; 41]], [84400; 100000; 98200; 83400; 99600; 99800; 83800; 94500], 1225, 1226, 0.022218942642211914
1, 8, 0.872376375, [15; 36; 24; 46; 2; 4; 34; 17; 42; 49; 30; 26; 7; 32; 19; 0; 22; 3; 48; 18; 28; 35; 20; 14; 21; 6; 43; 45; 11; 1; 29; 40; 8; 33; 47; 16; 44; 38; 13; 10; 25; 31; 23; 27; 37; 39; 5; 41; 12; 9], [[15; 36; 24; 46; 2; 4]; [34; 17; 42; 49; 30; 26; 7; 32]; [19; 0; 22; 3; 48]; [18; 28; 35; 20; 14; 21]; [6; 43; 45; 11; 1; 29; 40]; [8; 33; 47; 16; 44; 38; 13]; [10; 25; 31; 23; 27; 37; 39]; [5; 41; 12; 9]], [97600; 99600; 86300; 99100; 99200; 89800; 99500; 72600], 1225, 1226, 0.015697002410888672
1, 8, 0.8690648750000001, [36; 44; 38; 22; 43; 20; 19; 40; 0; 6; 13; 23; 42; 45; 17; 2; 30; 8; 49; 12; 7; 47; 11; 9; 34; 26; 21; 32; 41; 1; 5; 24; 39; 16; 48; 33; 14; 18; 3; 37; 29; 28; 31; 46; 10; 25; 15; 27; 35; 4], [[36; 44; 38; 22; 43; 20; 19; 40]; [0; 6; 13; 23; 42; 45]; [17; 2; 30; 8; 49]; [12; 7; 47; 11; 9; 34]; [26; 21; 32; 41; 1; 5]; [24; 39; 16; 48; 33; 14; 18]; [3; 37; 29; 28; 31; 46; 10]; [25; 15; 27; 35; 4]], [89200; 95100; 79500; 99700; 99200; 97200; 98400; 85400], 1225, 1226, 0.01599431037902832
1, 8, 0.8770298750000001, [1; 23; 9; 5; 28; 19; 21; 13; 0; 33; 10; 15; 45; 22; 14; 18; 16; 8; 46; 20; 32; 11; 44; 3; 7; 2; 17; 48; 40; 35; 49; 4; 41; 38; 29; 27; 37; 34; 24; 25; 6; 31; 47; 26; 36; 39; 43; 30; 12; 42], [[1; 23; 9; 5; 28]; [19; 21; 13; 0; 33]; [10; 15; 45; 22; 14; 18]; [16; 8; 46; 20; 32; 11; 44]; [3; 7; 2; 17; 48]; [40; 35; 49; 4; 41; 38; 29; 27; 37]; [34; 24; 25; 6; 31; 47; 26]; [36; 39; 43; 30; 12; 42]], [99600; 93200; 100000; 99000; 91700; 99300; 96900; 64000], 1225, 1226, 0.015630245208740234
1, 8, 0.870110875, [22; 3; 43; 34; 12; 20; 0; 18; 29; 13; 11; 5; 26; 19; 1; 46; 25; 28; 44; 32; 8; 41; 30; 37; 27; 21; 49; 24; 40; 33; 42; 47; 38; 31; 35; 6; 23; 9; 14; 4; 15; 45; 17; 36; 16; 10; 48; 39; 2; 7], [[22; 3; 43; 34; 12; 20]; [0; 18; 29; 13; 11]; [5; 26; 19; 1; 46; 25]; [28; 44; 32; 8; 41; 30; 37; 27]; [21; 49; 24; 40; 33; 42; 47; 38; 31; 35]; [6; 23; 9; 14]; [4; 15; 45; 17; 36; 16]; [10; 48; 39; 2; 7]], [95800; 99200; 100000; 96200; 97700; 80600; 94900; 79300], 1225, 1226, 0.015617132186889648
1, 8, 0.867342625, [18; 16; 14; 41; 12; 20; 8; 17; 48; 13; 26; 32; 19; 9; 44; 11; 40; 49; 37; 2; 0; 47; 4; 6; 3; 25; 21; 24; 23; 15; 39; 46; 29; 5; 45; 22; 33; 36; 27; 38; 10; 30; 1; 31; 42; 35; 7; 28; 34; 43], [[18; 16; 14; 41; 12]; [20; 8; 17; 48; 13; 26]; [32; 19; 9; 44; 11; 40; 49; 37]; [2; 0; 47; 4; 6]; [3; 25; 21; 24; 23]; [15; 39; 46; 29; 5; 45; 22; 33]; [36; 27; 38; 10; 30; 1]; [31; 42; 35; 7; 28; 34; 43]], [86600; 97000; 95900; 99000; 90800; 99600; 91800; 83000], 1225, 1226, 0.01566624641418457
1, 8, 0.876995375, [30; 31; 21; 45; 15; 12; 47; 36; 6; 41; 14; 7; 8; 17; 49; 19; 11; 43; 3; 42; 29; 32; 1; 40; 18; 16; 39; 20; 34; 33; 2; 46; 35; 37; 4; 22; 48; 28; 44; 25; 13; 0; 9; 26; 5; 27; 24; 38; 10; 23], [[30; 31; 21; 45; 15; 12; 47; 36]; [6; 41; 14; 7; 8]; [17; 49; 19; 11; 43; 3; 42]; [29; 32; 1; 40; 18; 16]; [39; 20; 34; 33; 2; 46; 35; 37]; [4; 22; 48; 28; 44; 25; 13]; [0; 9; 26; 5; 27]; [24; 38; 10; 23]], [99300; 93900; 95400; 96500; 97600; 98400; 99200; 63400], 1225, 1226, 0.01563858985900879
1, 8, 0.8754416250000001, [19; 15; 46; 5; 14; 27; 17; 35; 34; 12; 13; 22; 42; 43; 41; 25; 44; 47; 10; 31; 18; 4; 2; 48; 38; 49; 29; 8; 30; 3; 32; 24; 23; 26; 45; 36; 28; 21; 20; 33; 1; 7; 39; 9; 11; 16; 40; 0; 6; 37], [[19; 15; 46; 5; 14; 27]; [17; 35; 34; 12; 13; 22]; [42; 43; 41; 25; 44; 47; 10; 31; 18]; [4; 2; 48; 38; 49; 29; 8]; [30; 3; 32; 24; 23; 26; 45]; [36; 28; 21; 20; 33; 1]; [7; 39; 9; 11; 16]; [40; 0; 6; 37]], [98300; 99400; 96100; 96900; 99600; 95300; 92600; 65500], 1225, 1226, 0.01562047004699707
2, 8, 0.8713306250000001, [45; 43; 46; 28; 38; 27; 23; 30; 12; 15; 0; 48; 32; 11; 44; 17; 4; 36; 24; 35; 16; 42; 5; 41; 14; 20; 34; 22; 3; 37; 31; 26; 1; 21; 13; 33; 47; 6; 7; 18; 39; 2; 8; 49; 9; 29; 19; 10; 25; 40], [[45; 43; 46; 28; 38; 27; 23; 30; 12]; [15; 0; 48; 32; 11; 44]; [17; 4; 36; 24; 35; 16]; [42; 5; 41; 14; 20; 34]; [22; 3; 37; 31; 26]; [1; 21; 13; 33; 47; 6]; [7; 18; 39; 2; 8; 49]; [9; 29; 19; 10; 25; 40]], [100000; 84300; 99100; 86000; 77300; 99900; 97200; 99900], 2450, 2451, 0.03226900100708008
1, 8, 0.868520375, [22; 0; 20; 11; 33; 38; 16; 40; 21; 10; 6; 25; 13; 4; 1; 28; 35; 36; 39; 31; 32; 41; 24; 47; 19; 30; 29; 18; 8; 43; 9; 27; 14; 46; 2; 48; 26; 37; 42; 7; 5; 49; 45; 12; 34; 17; 44; 3; 23; 15], [[22; 0; 20; 11; 33]; [38; 16; 40; 21; 10; 6]; [25; 13; 4; 1; 28]; [35; 36; 39; 31; 32; 41; 24; 47; 19]; [30; 29; 18; 8; 43; 9]; [27; 14; 46; 2; 48; 26; 37; 42]; [7; 5; 49; 45; 12; 34]; [17; 44; 3; 23; 15]], [91900; 98000; 99800; 98700; 93900; 96600; 81400; 83400], 1225, 1226, 0.015627145767211914
1, 8, 0.869034125, [39; 19; 1; 18; 25; 40; 22; 27; 35; 43; 16; 12; 21; 7; 4; 41; 48; 47; 3; 33; 30; 6; 13; 44; 10; 38; 2; 26; 37; 24; 45; 42; 5; 11; 9; 49; 29; 34; 15; 31; 32; 0; 8; 46; 36; 14; 17; 28; 23; 20], [[39; 19; 1; 18; 25; 40]; [22; 27; 35; 43; 16; 12]; [21; 7; 4; 41; 48; 47]; [3; 33; 30; 6; 13; 44]; [10; 38; 2; 26; 37; 24; 45]; [42; 5; 11; 9; 49; 29; 34]; [15; 31; 32; 0; 8; 46]; [36; 14; 17; 28; 23; 20]], [94900; 88000; 76700; 94900; 99500; 98200; 94300; 97200], 1225, 1226, 0.01567864418029785
1, 8, 0.882368375, [49; 33; 2; 17; 6; 31; 41; 48; 29; 45; 20; 40; 19; 28; 10; 18; 39; 7; 3; 13; 25; 32; 4; 30; 36; 0; 26; 34; 8; 15; 14; 37; 42; 27; 23; 11; 12; 16; 9; 24; 21; 47; 35; 1; 46; 44; 38; 43; 5; 22], [[49; 33; 2; 17; 6; 31; 41]; [48; 29; 45; 20; 40; 19; 28; 10]; [18; 39; 7; 3; 13]; [25; 32; 4; 30; 36; 0]; [26; 34; 8; 15; 14; 37]; [42; 27; 23; 11; 12; 16]; [9; 24; 21; 47; 35; 1; 46]; [44; 38; 43; 5; 22]], [98700; 99800; 93700; 99000; 97800; 98900; 98200; 57600], 1225, 1226, 0.015625
1, 8, 0.8705738749999999, [34; 25; 4; 9; 42; 15; 18; 12; 5; 39; 31; 0; 24; 38; 17; 46; 19; 40; 7; 41; 44; 23; 36; 28; 14; 3; 49; 47; 45; 32; 10; 30; 2; 16; 22; 26; 37; 27; 29; 1; 33; 8; 13; 43; 20; 6; 11; 48; 21; 35], [[34; 25; 4; 9; 42; 15]; [18; 12; 5; 39; 31]; [0; 24; 38; 17; 46; 19; 40]; [7; 41; 44; 23; 36; 28; 14]; [3; 49; 47; 45; 32; 10; 30]; [2; 16; 22; 26; 37; 27]; [29; 1; 33; 8; 13; 43]; [20; 6; 11; 48; 21; 35]], [99500; 82600; 99600; 94600; 77600; 99800; 98300; 91700], 1225, 1226, 0.015576839447021484
1, 8, 0.870795375, [45; 21; 28; 16; 43; 27; 39; 25; 15; 0; 49; 35; 37; 19; 31; 18; 17; 11; 41; 13; 30; 40; 5; 6; 26; 1; 12; 36; 29; 8; 48; 20; 33; 2; 3; 34; 10; 24; 32; 7; 14; 23; 38; 4; 9; 42; 22; 44; 47; 46], [[45; 21; 28; 16; 43; 27; 39; 25]; [15; 0; 49; 35; 37; 19; 31]; [18; 17; 11; 41; 13; 30]; [40; 5; 6; 26; 1]; [12; 36; 29; 8; 48; 20; 33]; [2; 3; 34; 10; 24]; [32; 7; 14; 23; 38]; [4; 9; 42; 22; 44; 47; 46]], [100000; 97500; 99200; 93000; 97700; 97700; 79000; 79600], 1225, 1226, 0.009503841400146484
1, 8, 0.8693716250000001, [30; 5; 41; 14; 33; 31; 27; 23; 7; 44; 9; 4; 0; 42; 10; 48; 25; 24; 22; 12; 32; 49; 37; 13; 34; 16; 45; 19; 3; 6; 47; 18; 21; 11; 36; 28; 46; 15; 39; 2; 8; 35; 29; 20; 43; 26; 1; 38; 40; 17], [[30; 5; 41; 14; 33; 31]; [27; 23; 7; 44; 9]; [4; 0; 42; 10; 48; 25]; [24; 22; 12; 32; 49; 37; 13]; [34; 16; 45; 19; 3; 6]; [47; 18; 21; 11; 36; 28; 46]; [15; 39; 2; 8; 35; 29]; [20; 43; 26; 1; 38; 40; 17]], [86500; 79100; 96100; 97200; 98100; 87200; 99900; 99600], 1225, 1226, 0.03130006790161133
1, 8, 0.8708493749999999, [1; 37; 27; 11; 0; 4; 26; 38; 9; 24; 29; 22; 34; 16; 45; 43; 41; 44; 17; 30; 28; 12; 13; 25; 5; 14; 36; 48; 18; 3; 19; 47; 33; 32; 10; 49; 35; 39; 21; 23; 42; 20; 15; 6; 46; 31; 2; 7; 40; 8], [[1; 37; 27; 11; 0]; [4; 26; 38; 9; 24; 29]; [22; 34; 16; 45; 43; 41; 44; 17; 30]; [28; 12; 13; 25; 5]; [14; 36; 48; 18; 3; 19; 47]; [33; 32; 10; 49; 35; 39; 21; 23]; [42; 20; 15; 6; 46; 31]; [2; 7; 40; 8]], [95000; 99700; 99900; 94400; 95700; 100000; 82000; 77000], 1225, 1226, 0.003121614456176758
1, 8, 0.871857625, [3; 1; 24; 18; 25; 27; 34; 48; 6; 23; 47; 42; 35; 43; 45; 32; 22; 0; 26; 40; 10; 30; 8; 17; 19; 21; 13; 49; 11; 37; 14; 28; 44; 12; 15; 2; 5; 33; 4; 20; 41; 29; 9; 31; 7; 39; 16; 46; 38; 36], [[3; 1; 24; 18; 25]; [27; 34; 48; 6; 23; 47; 42; 35; 43; 45]; [32; 22; 0; 26; 40; 10]; [30; 8; 17; 19; 21]; [13; 49; 11; 37; 14; 28; 44]; [12; 15; 2; 5; 33]; [4; 20; 41; 29; 9; 31]; [7; 39; 16; 46; 38; 36]], [99800; 97100; 98800; 88900; 91300; 98900; 97000; 71900], 1225, 1226, 0.015630245208740234
1, 8, 0.876221625, [45; 8; 23; 1; 29; 16; 38; 7; 47; 30; 9; 48; 49; 44; 15; 17; 28; 11; 0; 14; 12; 20; 26; 18; 43; 6; 22; 46; 34; 4; 2; 24; 35; 39; 32; 10; 36; 33; 13; 5; 31; 25; 37; 40; 3; 27; 42; 21; 19; 41], [[45; 8; 23; 1; 29; 16]; [38; 7; 47; 30; 9; 48; 49; 44; 15]; [17; 28; 11; 0; 14]; [12; 20; 26; 18; 43; 6]; [22; 46; 34; 4; 2; 24]; [35; 39; 32; 10; 36; 33; 13]; [5; 31; 25; 37; 40; 3]; [27; 42; 21; 19; 41]], [100000; 96300; 99500; 99800; 96100; 94600; 92700; 64700], 1225, 1226, 0.015737056732177734
1, 8, 0.872613375, [11; 18; 47; 43; 30; 46; 3; 31; 25; 4; 34; 5; 15; 49; 17; 13; 26; 0; 16; 22; 12; 9; 39; 7; 40; 37; 23; 36; 33; 19; 20; 2; 10; 35; 32; 38; 29; 48; 45; 1; 44; 41; 8; 21; 27; 42; 14; 28; 24; 6], [[11; 18; 47; 43; 30; 46; 3; 31]; [25; 4; 34; 5; 15; 49]; [17; 13; 26; 0; 16]; [22; 12; 9; 39; 7; 40]; [37; 23; 36; 33; 19; 20]; [2; 10; 35; 32; 38; 29; 48; 45]; [1; 44; 41; 8; 21; 27; 42]; [14; 28; 24; 6]], [100000; 95000; 99700; 98400; 82700; 97200; 97700; 73000], 1225, 1226, 0.01575326919555664
1, 8, 0.870402875, [47; 33; 2; 10; 29; 48; 27; 13; 23; 5; 45; 4; 11; 25; 28; 22; 41; 1; 42; 19; 40; 14; 38; 30; 46; 9; 43; 12; 44; 26; 8; 21; 24; 32; 18; 34; 37; 31; 20; 39; 35; 15; 17; 3; 0; 6; 36; 49; 7; 16], [[47; 33; 2; 10; 29; 48; 27]; [13; 23; 5; 45; 4]; [11; 25; 28; 22; 41]; [1; 42; 19; 40; 14; 38; 30]; [46; 9; 43; 12; 44; 26; 8]; [21; 24; 32; 18; 34; 37; 31]; [20; 39; 35; 15; 17; 3]; [0; 6; 36; 49; 7; 16]], [91600; 86900; 75700; 99600; 92900; 97000; 100000; 100000], 1225, 1226, 0.015694141387939453
