Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
1, 7, 0.7933867142857143, [46; 22; 48; 36; 0; 38; 12; 21; 25; 20; 27; 32; 41; 23; 1; 5; 43; 26; 28; 19; 15; 42; 9; 13; 16; 3; 47; 14; 8; 6; 34; 10; 30; 4; 35; 45; 33; 11; 7; 37; 29; 17; 39; 18; 44; 24; 49; 2; 31; 40], [[46; 22; 48; 36; 0; 38; 12; 21; 25]; [20; 27; 32; 41; 23; 1; 5; 43]; [26; 28; 19; 15; 42; 9; 13]; [16; 3; 47; 14; 8; 6; 34]; [10; 30; 4; 35; 45; 33; 11]; [7; 37; 29; 17; 39; 18; 44; 24; 49]; [2; 31; 40]], [100000; 99800; 95200; 97800; 84900; 91700; 36500], 1225, 1226, 0.031244516372680664
1, 7, 0.7925815714285714, [31; 11; 7; 5; 49; 23; 42; 18; 44; 6; 19; 0; 37; 15; 41; 35; 10; 1; 40; 14; 24; 2; 48; 13; 16; 36; 20; 39; 17; 26; 43; 38; 8; 12; 4; 22; 46; 29; 25; 21; 33; 27; 32; 34; 3; 30; 9; 28; 45; 47], [[31; 11; 7; 5; 49; 23; 42; 18]; [44; 6; 19; 0; 37; 15; 41; 35]; [10; 1; 40; 14; 24; 2; 48]; [13; 16; 36; 20; 39; 17; 26; 43]; [38; 8; 12; 4; 22; 46; 29]; [25; 21; 33; 27; 32; 34; 3; 30]; [9; 28; 45; 47]], [99300; 93900; 95900; 93300; 89300; 98100; 36100], 1225, 1226, 0.015635251998901367
1, 7, 0.7976492857142857, [16; 46; 35; 13; 24; 25; 18; 45; 32; 33; 41; 2; 44; 20; 38; 10; 36; 22; 9; 0; 6; 3; 4; 47; 12; 30; 14; 17; 39; 11; 37; 27; 7; 21; 23; 26; 19; 1; 40; 48; 31; 8; 28; 5; 43; 34; 29; 15; 49; 42], [[16; 46; 35; 13; 24; 25; 18; 45; 32]; [33; 41; 2; 44; 20; 38; 10; 36; 22]; [9; 0; 6; 3; 4; 47]; [12; 30; 14; 17; 39; 11; 37]; [27; 7; 21; 23; 26; 19]; [1; 40; 48; 31; 8; 28; 5; 43; 34]; [29; 15; 49; 42]], [98700; 100000; 98100; 88700; 86600; 99700; 34100], 1225, 1226, 0.022134780883789062
1, 7, 0.8094418571428573, [49; 25; 16; 45; 31; 42; 13; 20; 22; 46; 6; 9; 3; 8; 33; 5; 36; 23; 2; 15; 18; 12; 48; 26; 7; 47; 43; 28; 27; 34; 38; 0; 39; 14; 4; 10; 1; 24; 41; 21; 37; 17; 44; 29; 35; 11; 19; 30; 32; 40], [[49; 25; 16; 45; 31; 42; 13; 20; 22; 46]; [6; 9; 3; 8; 33; 5]; [36; 23; 2; 15; 18; 12; 48]; [26; 7; 47; 43; 28; 27; 34; 38; 0]; [39; 14; 4; 10; 1; 24; 41]; [21; 37; 17; 44; 29; 35; 11; 19]; [30; 32; 40]], [98400; 99900; 92000; 98300; 98500; 91900; 26900], 1225, 1226, 0.01564788818359375
1, 7, 0.8133507142857143, [24; 12; 31; 14; 27; 45; 43; 5; 10; 25; 48; 35; 46; 42; 18; 40; 33; 3; 15; 0; 17; 22; 32; 39; 23; 47; 41; 26; 49; 20; 11; 36; 2; 8; 9; 1; 21; 28; 4; 30; 13; 44; 37; 7; 34; 29; 19; 16; 6; 38], [[24; 12; 31; 14; 27; 45; 43; 5]; [10; 25; 48; 35; 46; 42; 18; 40; 33; 3]; [15; 0; 17; 22; 32; 39; 23; 47]; [41; 26; 49; 20; 11; 36; 2; 8]; [9; 1; 21; 28; 4; 30]; [13; 44; 37; 7; 34; 29; 19; 16]; [6; 38]], [95200; 99400; 99800; 97000; 94900; 94900; 24700], 1225, 1226, 0.015636682510375977
1, 7, 0.8074781428571428, [47; 44; 11; 13; 26; 29; 45; 17; 9; 14; 22; 23; 5; 48; 19; 30; 27; 36; 0; 34; 3; 10; 35; 39; 4; 1; 40; 15; 37; 21; 16; 8; 24; 6; 18; 12; 20; 33; 38; 25; 49; 41; 2; 46; 32; 7; 43; 28; 42; 31], [[47; 44; 11; 13; 26; 29; 45; 17; 9]; [14; 22; 23; 5; 48; 19; 30]; [27; 36; 0; 34; 3; 10; 35; 39]; [4; 1; 40; 15; 37; 21; 16]; [8; 24; 6; 18; 12; 20]; [33; 38; 25; 49; 41; 2; 46; 32; 7; 43]; [28; 42; 31]], [99800; 91400; 99900; 99600; 94900; 92300; 28000], 1225, 1226, 0.0186460018157959
1, 7, 0.785920142857143, [5; 42; 10; 1; 39; 11; 23; 3; 33; 7; 30; 26; 34; 36; 22; 49; 24; 6; 21; 40; 35; 41; 18; 38; 28; 0; 19; 13; 47; 9; 4; 32; 12; 16; 20; 15; 27; 17; 37; 14; 29; 44; 31; 8; 48; 45; 25; 46; 43; 2], [[5; 42; 10; 1; 39; 11; 23]; [3; 33; 7; 30; 26; 34; 36]; [22; 49; 24; 6; 21; 40; 35; 41; 18]; [38; 28; 0; 19; 13; 47; 9]; [4; 32; 12; 16; 20; 15]; [27; 17; 37; 14; 29; 44; 31; 8; 48; 45]; [25; 46; 43; 2]], [97900; 86000; 96800; 91800; 92800; 99800; 40800], 1225, 1226, 0.015666484832763672
1, 7, 0.8151518571428572, [39; 24; 15; 8; 7; 48; 6; 47; 20; 9; 41; 17; 31; 43; 46; 12; 33; 3; 35; 26; 18; 30; 13; 25; 28; 21; 34; 37; 16; 1; 2; 27; 36; 10; 22; 23; 14; 19; 42; 5; 49; 32; 0; 40; 44; 29; 4; 45; 11; 38], [[39; 24; 15; 8; 7; 48; 6; 47]; [20; 9; 41; 17; 31; 43; 46; 12; 33]; [3; 35; 26; 18; 30; 13; 25]; [28; 21; 34; 37; 16; 1; 2]; [27; 36; 10; 22; 23; 14; 19]; [42; 5; 49; 32; 0; 40; 44; 29; 4; 45]; [11; 38]], [94100; 96600; 95700; 98400; 97400; 99900; 23800], 1225, 1226, 0.01562976837158203
1, 7, 0.8017621428571429, [38; 45; 28; 35; 5; 12; 17; 48; 3; 25; 36; 42; 34; 49; 10; 1; 40; 9; 18; 19; 31; 39; 41; 32; 4; 22; 11; 46; 21; 0; 47; 2; 14; 44; 29; 30; 26; 24; 20; 37; 33; 27; 23; 8; 43; 15; 7; 6; 13; 16], [[38; 45; 28; 35; 5; 12; 17; 48]; [3; 25; 36; 42; 34; 49; 10; 1; 40]; [9; 18; 19; 31; 39; 41; 32; 4]; [22; 11; 46; 21; 0; 47; 2]; [14; 44; 29; 30; 26; 24; 20; 37; 33]; [27; 23; 8; 43; 15; 7; 6]; [13; 16]], [83200; 99100; 99800; 93000; 99300; 99400; 32100], 1225, 1226, 0.01567363739013672
1, 7, 0.7850229999999999, [21; 44; 27; 3; 7; 30; 23; 19; 15; 17; 2; 18; 13; 28; 37; 45; 8; 24; 33; 6; 16; 5; 25; 22; 42; 26; 39; 1; 49; 35; 10; 12; 14; 29; 0; 4; 46; 20; 43; 36; 9; 31; 41; 32; 48; 40; 38; 11; 47; 34], [[21; 44; 27; 3; 7; 30; 23]; [19; 15; 17; 2; 18; 13]; [28; 37; 45; 8; 24; 33; 6; 16]; [5; 25; 22; 42; 26; 39; 1; 49]; [35; 10; 12; 14; 29; 0]; [4; 46; 20; 43; 36; 9; 31; 41; 32; 48]; [40; 38; 11; 47; 34]], [92600; 98000; 96800; 92400; 89400; 96000; 40700], 1225, 1226, 0.031198978424072266
