Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
2, 6, 0.9370555, [38; 13; 32; 7; 6; 27; 8; 40; 23; 37; 9; 4; 12; 11; 39; 43; 1; 45; 20; 25; 10; 18; 33; 48; 29; 28; 14; 22; 17; 5; 15; 42; 44; 16; 0; 35; 3; 30; 41; 46; 2; 26; 31; 34; 24; 19; 21; 36; 47; 49], [[38; 13; 32; 7; 6; 27; 8]; [40; 23; 37; 9; 4; 12; 11]; [39; 43; 1; 45; 20; 25; 10; 18; 33]; [48; 29; 28; 14; 22; 17; 5; 15]; [42; 44; 16; 0; 35; 3; 30; 41; 46]; [2; 26; 31; 34; 24; 19; 21; 36; 47; 49]], [99500; 96500; 99700; 95200; 90700; 98900], 2450, 2451, 0.03574848175048828
2, 6, 0.9370218333333334, [43; 39; 0; 25; 20; 17; 7; 47; 26; 30; 31; 28; 8; 19; 32; 13; 22; 2; 42; 46; 44; 23; 4; 16; 6; 11; 9; 38; 21; 3; 33; 41; 18; 15; 34; 10; 14; 5; 27; 12; 45; 37; 35; 49; 24; 1; 29; 48; 40; 36], [[43; 39; 0; 25; 20; 17; 7; 47; 26]; [30; 31; 28; 8; 19; 32; 13; 22]; [2; 42; 46; 44; 23; 4; 16; 6]; [11; 9; 38; 21; 3; 33; 41]; [18; 15; 34; 10; 14; 5; 27]; [12; 45; 37; 35; 49; 24; 1; 29; 48; 40; 36]], [100000; 100000; 94300; 91300; 97700; 97200], 2450, 2451, 0.03125166893005371
1, 6, 0.9371578333333334, [45; 22; 30; 29; 34; 20; 19; 37; 3; 15; 1; 6; 16; 47; 10; 14; 31; 40; 28; 13; 39; 18; 17; 21; 35; 27; 42; 49; 12; 41; 23; 44; 25; 36; 8; 0; 5; 4; 26; 24; 9; 11; 2; 7; 46; 32; 38; 48; 33; 43], [[45; 22; 30; 29; 34; 20; 19; 37; 3]; [15; 1; 6; 16; 47; 10; 14]; [31; 40; 28; 13; 39; 18; 17; 21; 35]; [27; 42; 49; 12; 41; 23; 44; 25; 36; 8]; [0; 5; 4; 26; 24; 9]; [11; 2; 7; 46; 32; 38; 48; 33; 43]], [99900; 99900; 96800; 93900; 99000; 91000], 1225, 1226, 0.017648696899414062
2, 6, 0.9390398333333333, [25; 15; 0; 28; 4; 35; 6; 16; 13; 12; 47; 43; 21; 5; 44; 8; 11; 40; 10; 48; 37; 9; 49; 41; 26; 19; 42; 38; 3; 14; 32; 7; 1; 45; 18; 33; 34; 36; 22; 2; 24; 31; 23; 20; 29; 17; 27; 46; 30; 39], [[25; 15; 0; 28; 4; 35]; [6; 16; 13; 12; 47; 43; 21; 5]; [44; 8; 11; 40; 10; 48; 37; 9; 49; 41]; [26; 19; 42; 38; 3; 14; 32; 7]; [1; 45; 18; 33; 34; 36; 22; 2]; [24; 31; 23; 20; 29; 17; 27; 46; 30; 39]], [84700; 99900; 99200; 100000; 97300; 99400], 2450, 2451, 0.03475165367126465
1, 6, 0.9380171666666667, [8; 0; 16; 45; 48; 35; 31; 7; 25; 22; 46; 9; 36; 11; 5; 6; 15; 27; 41; 18; 42; 43; 17; 20; 34; 14; 29; 4; 49; 40; 19; 10; 38; 1; 23; 47; 33; 26; 13; 32; 24; 37; 44; 39; 12; 3; 28; 21; 2; 30], [[8; 0; 16; 45; 48; 35; 31; 7]; [25; 22; 46; 9; 36; 11; 5]; [6; 15; 27; 41; 18; 42; 43; 17; 20]; [34; 14; 29; 4; 49; 40; 19; 10; 38]; [1; 23; 47; 33; 26; 13; 32; 24; 37]; [44; 39; 12; 3; 28; 21; 2; 30]], [95600; 87400; 98400; 99700; 99500; 99900], 1225, 1226, 0.015629291534423828
1, 6, 0.9376411666666667, [37; 30; 16; 39; 3; 43; 2; 12; 41; 35; 1; 42; 31; 28; 36; 4; 47; 40; 38; 44; 17; 18; 34; 23; 32; 22; 9; 6; 21; 48; 14; 11; 33; 29; 25; 27; 46; 5; 0; 45; 24; 49; 19; 8; 26; 7; 10; 15; 20; 13], [[37; 30; 16; 39; 3; 43; 2; 12]; [41; 35; 1; 42; 31; 28; 36; 4; 47; 40]; [38; 44; 17; 18; 34; 23; 32; 22; 9]; [6; 21; 48; 14; 11; 33; 29; 25]; [27; 46; 5; 0; 45; 24; 49; 19; 8]; [26; 7; 10; 15; 20; 13]], [98700; 98500; 99100; 96200; 99800; 88200], 1225, 1226, 0.015622854232788086
1, 6, 0.9371148333333333, [47; 32; 46; 3; 25; 0; 17; 12; 2; 37; 18; 7; 28; 39; 49; 22; 20; 23; 30; 5; 24; 41; 19; 13; 26; 38; 48; 45; 27; 21; 15; 6; 31; 34; 43; 44; 11; 9; 1; 10; 4; 33; 16; 40; 35; 36; 8; 14; 42; 29], [[47; 32; 46; 3; 25; 0; 17; 12]; [2; 37; 18; 7; 28; 39; 49; 22]; [20; 23; 30; 5; 24; 41; 19; 13]; [26; 38; 48; 45; 27; 21; 15; 6; 31; 34]; [43; 44; 11; 9; 1; 10; 4]; [33; 16; 40; 35; 36; 8; 14; 42; 29]], [93700; 91300; 99300; 99700; 99800; 96700], 1225, 1226, 0.01562190055847168
1, 6, 0.9373371666666666, [14; 28; 35; 25; 20; 5; 11; 37; 33; 6; 40; 44; 10; 21; 3; 49; 9; 41; 1; 24; 2; 45; 27; 18; 13; 42; 29; 31; 17; 32; 34; 16; 30; 23; 4; 39; 12; 38; 43; 19; 26; 47; 22; 36; 15; 7; 0; 46; 8; 48], [[14; 28; 35; 25; 20; 5; 11]; [37; 33; 6; 40; 44; 10; 21; 3; 49]; [9; 41; 1; 24; 2; 45; 27]; [18; 13; 42; 29; 31; 17; 32; 34; 16]; [30; 23; 4; 39; 12; 38; 43; 19; 26]; [47; 22; 36; 15; 7; 0; 46; 8; 48]], [93700; 99200; 90300; 99900; 99800; 97600], 1225, 1226, 0.015639305114746094
2, 6, 0.9374068333333333, [44; 18; 19; 49; 35; 0; 30; 6; 37; 10; 31; 28; 15; 21; 5; 13; 22; 11; 3; 17; 4; 8; 23; 14; 20; 39; 41; 32; 42; 1; 25; 29; 33; 36; 26; 27; 40; 45; 46; 2; 24; 34; 47; 7; 9; 38; 43; 16; 12; 48], [[44; 18; 19; 49; 35; 0; 30; 6; 37]; [10; 31; 28; 15; 21; 5; 13]; [22; 11; 3; 17; 4; 8]; [23; 14; 20; 39; 41; 32; 42; 1; 25]; [29; 33; 36; 26; 27; 40; 45; 46; 2; 24]; [34; 47; 7; 9; 38; 43; 16; 12; 48]], [98500; 98600; 99600; 100000; 94000; 89800], 2450, 2451, 0.03241610527038574
2, 6, 0.9368958333333334, [45; 1; 40; 23; 31; 39; 25; 19; 34; 41; 4; 11; 20; 15; 2; 36; 10; 26; 46; 5; 3; 7; 48; 37; 21; 14; 6; 9; 13; 38; 35; 0; 44; 16; 22; 33; 32; 24; 12; 42; 27; 18; 29; 43; 28; 8; 30; 17; 47; 49], [[45; 1; 40; 23; 31; 39; 25; 19; 34; 41]; [4; 11; 20; 15; 2; 36]; [10; 26; 46; 5; 3; 7; 48; 37]; [21; 14; 6; 9; 13; 38; 35]; [0; 44; 16; 22; 33; 32; 24; 12]; [42; 27; 18; 29; 43; 28; 8; 30; 17; 47; 49]], [100000; 91300; 97000; 95100; 97900; 99200], 2450, 2451, 0.03170585632324219
