Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
39, 60, 0.8246600000000003, [20; 35; 25; 33; 74; 40; 94; 39; 68; 11; 61; 51; 2; 12; 50; 78; 49; 76; 9; 73; 48; 89; 8; 26; 85; 6; 91; 30; 3; 22; 69; 38; 4; 0; 83; 27; 90; 7; 29; 45; 71; 93; 99; 84; 31; 60; 53; 28; 23; 17; 41; 66; 79; 36; 14; 95; 92; 75; 37; 47; 70; 65; 42; 56; 80; 32; 18; 88; 72; 44; 64; 43; 34; 13; 87; 19; 21; 10; 54; 81; 86; 5; 15; 16; 58; 59; 82; 1; 97; 98; 67; 46; 57; 62; 77; 55; 52; 96; 63; 24], [[20]; [35]; [25]; [33]; [74; 40; 94]; [39; 68]; [11]; [61; 51]; [2]; [12]; [50; 78]; [49; 76]; [9]; [73; 48]; [89; 8]; [26; 85]; [6; 91]; [30]; [3]; [22]; [69; 38]; [4]; [0]; [83; 27]; [90; 7]; [29]; [45; 71; 93]; [99; 84; 31]; [60; 53]; [28]; [23]; [17]; [41; 66]; [79; 36]; [14; 95; 92]; [75; 37]; [47; 70]; [65; 42]; [56; 80]; [32]; [18; 88]; [72; 44]; [64; 43]; [34]; [13]; [87; 19]; [21]; [10]; [54; 81; 86]; [5]; [15]; [16]; [58; 59]; [82]; [1; 97]; [98; 67; 46]; [57; 62]; [77; 55]; [52; 96; 63]; [24]], [8000; 7300; 7900; 7400; 10000; 10000; 8800; 10000; 9300; 8800; 8700; 8800; 8900; 9100; 10000; 10000; 10000; 7500; 9300; 8000; 10000; 9300; 9900; 10000; 10000; 7500; 10000; 9900; 10000; 7500; 7900; 8400; 10000; 10000; 10000; 10000; 9400; 10000; 8000; 7500; 10000; 9300; 10000; 7400; 8700; 10000; 8000; 8800; 10000; 9200; 8600; 8400; 10000; 2800; 10000; 10000; 9500; 8100; 10000; 7900], 198000, 198001, 7.969866752624512
45, 60, 0.824656666666667, [30; 84; 98; 3; 89; 8; 93; 2; 68; 40; 32; 18; 88; 81; 54; 79; 57; 19; 87; 62; 52; 55; 77; 86; 24; 17; 82; 34; 20; 38; 70; 72; 46; 33; 45; 63; 59; 58; 26; 4; 92; 13; 95; 53; 60; 1; 35; 51; 67; 94; 71; 43; 96; 41; 66; 5; 91; 23; 85; 56; 97; 61; 29; 31; 9; 16; 21; 12; 7; 90; 25; 15; 83; 27; 76; 50; 80; 36; 14; 74; 48; 37; 75; 28; 10; 73; 44; 39; 99; 69; 64; 47; 78; 49; 0; 22; 11; 42; 65; 6], [[30; 84; 98]; [3]; [89; 8]; [93; 2]; [68; 40]; [32]; [18; 88]; [81; 54]; [79; 57]; [19; 87]; [62; 52]; [55; 77; 86]; [24]; [17]; [82]; [34]; [20]; [38; 70]; [72; 46]; [33]; [45; 63]; [59; 58]; [26]; [4]; [92; 13; 95]; [53; 60]; [1]; [35]; [51; 67; 94]; [71; 43; 96]; [41; 66]; [5; 91]; [23; 85]; [56; 97; 61]; [29]; [31]; [9]; [16]; [21]; [12]; [7; 90]; [25]; [15]; [83; 27]; [76; 50]; [80; 36]; [14]; [74; 48]; [37; 75]; [28]; [10]; [73; 44]; [39; 99; 69]; [64; 47]; [78; 49]; [0]; [22]; [11]; [42; 65]; [6]], [10000; 9300; 10000; 10000; 9900; 7500; 10000; 8100; 8000; 10000; 9800; 10000; 7900; 8400; 2800; 7400; 8000; 10000; 9300; 7400; 9900; 10000; 7900; 9300; 10000; 10000; 9600; 7300; 10000; 10000; 10000; 10000; 10000; 10000; 7500; 7500; 8900; 8400; 8000; 8800; 10000; 7900; 8600; 10000; 8800; 10000; 8700; 9000; 10000; 7500; 8800; 9200; 10000; 9800; 8700; 9900; 8000; 8800; 10000; 9200], 227700, 227701, 7.448681831359863
34, 61, 0.8030950819672135, [58; 59; 73; 69; 78; 86; 19; 97; 1; 3; 21; 52; 62; 99; 72; 46; 94; 18; 88; 93; 2; 4; 11; 75; 37; 12; 26; 40; 67; 90; 7; 83; 27; 71; 39; 98; 74; 44; 5; 92; 10; 20; 87; 28; 35; 70; 95; 81; 77; 60; 53; 16; 32; 9; 22; 6; 91; 63; 45; 0; 76; 96; 38; 14; 17; 34; 33; 49; 80; 66; 42; 41; 65; 82; 50; 55; 56; 24; 57; 47; 68; 8; 89; 23; 31; 29; 48; 51; 61; 13; 54; 43; 64; 15; 30; 84; 85; 25; 79; 36], [[58; 59]; [73; 69; 78]; [86; 19]; [97; 1]; [3]; [21]; [52; 62; 99]; [72; 46; 94]; [18; 88]; [93; 2]; [4]; [11]; [75; 37]; [12]; [26]; [40; 67]; [90; 7]; [83; 27]; [71; 39; 98]; [74; 44]; [5; 92]; [10]; [20; 87]; [28]; [35]; [70; 95; 81; 77]; [60; 53]; [16]; [32]; [9]; [22]; [6; 91]; [63; 45]; [0]; [76; 96; 38]; [14]; [17]; [34]; [33]; [49; 80]; [66; 42]; [41; 65]; [82; 50]; [55]; [56]; [24]; [57]; [47; 68]; [8; 89]; [23]; [31]; [29]; [48]; [51; 61]; [13]; [54]; [43; 64]; [15]; [30; 84]; [85; 25]; [79; 36]], [10000; 10000; 10000; 10000; 9300; 8000; 10000; 9900; 10000; 10000; 9300; 8800; 10000; 8800; 7900; 10000; 10000; 10000; 10000; 9100; 10000; 8800; 9900; 7500; 7300; 10000; 10000; 8400; 7500; 8900; 8000; 10000; 9900; 9900; 10000; 8700; 8400; 7400; 7400; 8600; 10000; 10000; 8500; 5100; 5100; 7900; 5100; 9600; 10000; 7900; 7500; 7500; 5700; 10000; 8700; 5200; 10000; 8600; 9700; 10000; 10000], 173250, 173251, 5.677746534347534
48, 60, 0.825006666666667, [33; 25; 75; 37; 36; 81; 46; 64; 63; 45; 35; 50; 97; 66; 22; 48; 76; 86; 78; 56; 10; 0; 24; 16; 21; 32; 72; 47; 53; 60; 55; 80; 1; 23; 85; 71; 43; 96; 94; 2; 9; 51; 61; 98; 69; 41; 15; 12; 30; 13; 52; 62; 99; 49; 74; 31; 20; 17; 7; 90; 91; 5; 3; 95; 77; 54; 28; 11; 57; 79; 27; 83; 8; 89; 73; 44; 92; 6; 67; 40; 38; 70; 14; 4; 93; 87; 19; 68; 39; 42; 65; 34; 29; 84; 82; 26; 58; 59; 18; 88], [[33]; [25]; [75; 37]; [36; 81]; [46; 64]; [63; 45]; [35]; [50; 97; 66]; [22]; [48; 76]; [86; 78; 56]; [10]; [0]; [24]; [16]; [21]; [32]; [72; 47]; [53; 60]; [55; 80]; [1]; [23; 85]; [71; 43; 96]; [94; 2]; [9]; [51; 61]; [98; 69; 41]; [15]; [12]; [30]; [13]; [52; 62; 99]; [49; 74]; [31]; [20]; [17]; [7; 90]; [91; 5]; [3; 95]; [77; 54]; [28]; [11]; [57; 79]; [27; 83]; [8; 89]; [73; 44; 92]; [6]; [67; 40]; [38; 70]; [14]; [4; 93]; [87; 19]; [68; 39]; [42; 65]; [34]; [29; 84]; [82]; [26]; [58; 59]; [18; 88]], [7400; 7900; 10000; 10000; 9800; 9900; 7300; 10000; 8000; 8800; 10000; 8800; 9900; 7900; 8400; 8000; 7500; 9300; 10000; 8000; 9600; 10000; 10000; 9900; 8900; 10000; 10000; 8600; 8800; 7500; 8700; 10000; 9000; 7500; 8000; 8400; 10000; 10000; 9800; 8200; 7500; 8800; 8000; 10000; 10000; 10000; 9200; 10000; 10000; 8700; 10000; 10000; 10000; 10000; 7400; 9700; 2800; 7900; 10000; 10000], 242550, 242551, 7.89716649055481
48, 60, 0.8247433333333336, [34; 46; 73; 68; 39; 61; 51; 64; 43; 5; 91; 80; 36; 29; 84; 98; 54; 95; 92; 71; 0; 20; 85; 24; 23; 31; 26; 22; 8; 89; 38; 69; 28; 21; 60; 53; 35; 41; 65; 30; 1; 16; 58; 59; 11; 62; 52; 67; 45; 93; 48; 70; 63; 44; 75; 49; 37; 99; 78; 81; 56; 12; 82; 25; 2; 94; 9; 15; 74; 47; 90; 33; 27; 83; 13; 32; 17; 42; 66; 57; 79; 7; 72; 97; 40; 55; 77; 87; 76; 50; 6; 10; 86; 19; 88; 18; 3; 96; 4; 14], [[34]; [46; 73]; [68; 39]; [61; 51]; [64; 43]; [5; 91]; [80; 36]; [29; 84; 98]; [54; 95; 92; 71]; [0]; [20]; [85; 24]; [23]; [31]; [26]; [22]; [8; 89]; [38; 69]; [28]; [21]; [60; 53]; [35]; [41; 65]; [30]; [1]; [16]; [58; 59]; [11]; [62; 52]; [67; 45]; [93; 48; 70]; [63; 44]; [75; 49]; [37; 99; 78]; [81; 56]; [12]; [82]; [25]; [2; 94]; [9]; [15]; [74; 47; 90]; [33]; [27; 83]; [13]; [32]; [17]; [42; 66]; [57; 79]; [7]; [72; 97; 40]; [55; 77; 87]; [76; 50]; [6]; [10]; [86; 19]; [88; 18]; [3; 96]; [4]; [14]], [7400; 9200; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9900; 8000; 10000; 7900; 7500; 7900; 8000; 10000; 10000; 7500; 8000; 10000; 7300; 10000; 7500; 9600; 8400; 10000; 8800; 9800; 9700; 10000; 9900; 8900; 10000; 8000; 8800; 2800; 7900; 9900; 8900; 8600; 10000; 7400; 10000; 8700; 7500; 8400; 10000; 8000; 9100; 10000; 10000; 8800; 9200; 8800; 10000; 10000; 9800; 9300; 8700], 242550, 242551, 7.97261643409729
40, 60, 0.8209700000000003, [16; 5; 91; 20; 9; 11; 35; 48; 77; 54; 60; 7; 24; 62; 52; 28; 84; 79; 55; 30; 49; 92; 71; 32; 27; 83; 26; 10; 29; 73; 47; 59; 43; 78; 89; 14; 57; 64; 90; 99; 96; 2; 87; 76; 58; 81; 36; 63; 46; 18; 33; 23; 85; 34; 25; 3; 95; 1; 38; 69; 12; 70; 94; 44; 17; 66; 41; 93; 4; 13; 61; 51; 37; 75; 53; 80; 88; 86; 19; 8; 6; 68; 39; 22; 74; 50; 65; 45; 98; 67; 42; 56; 82; 72; 40; 97; 15; 31; 0; 21], [[16]; [5; 91]; [20]; [9]; [11]; [35]; [48; 77]; [54; 60]; [7]; [24]; [62; 52]; [28; 84]; [79; 55]; [30]; [49; 92; 71]; [32]; [27; 83]; [26]; [10]; [29]; [73; 47]; [59]; [43; 78; 89]; [14]; [57; 64; 90]; [99; 96; 2]; [87; 76; 58]; [81; 36]; [63; 46]; [18]; [33]; [23; 85]; [34]; [25]; [3; 95]; [1]; [38; 69]; [12]; [70; 94; 44]; [17]; [66; 41]; [93; 4]; [13]; [61; 51]; [37; 75]; [53; 80; 88]; [86; 19]; [8]; [6]; [68; 39]; [22]; [74; 50]; [65; 45; 98]; [67; 42]; [56; 82]; [72; 40; 97]; [15]; [31]; [0]; [21]], [8400; 10000; 8000; 8900; 8800; 7300; 8700; 9900; 9100; 7900; 9800; 9700; 8000; 7500; 10000; 7500; 10000; 7900; 8800; 7500; 9200; 5000; 10000; 8700; 10000; 10000; 10000; 10000; 9900; 8200; 7400; 10000; 7400; 7900; 9800; 9600; 10000; 8800; 10000; 8400; 10000; 10000; 8700; 10000; 10000; 10000; 10000; 9000; 9200; 10000; 8000; 9000; 10000; 10000; 7900; 10000; 8600; 7500; 9900; 8000], 202950, 202951, 6.676366329193115
46, 60, 0.8248366666666668, [20; 33; 23; 24; 32; 14; 82; 16; 53; 60; 8; 40; 74; 12; 1; 37; 75; 10; 9; 42; 65; 85; 26; 93; 4; 44; 89; 98; 80; 87; 57; 78; 66; 97; 50; 35; 13; 67; 41; 5; 91; 84; 28; 62; 52; 38; 70; 11; 7; 86; 19; 48; 92; 71; 79; 36; 31; 29; 61; 51; 0; 54; 76; 15; 64; 43; 69; 94; 46; 18; 88; 27; 83; 2; 96; 99; 17; 22; 3; 77; 56; 72; 95; 47; 81; 55; 39; 68; 90; 49; 73; 21; 58; 59; 30; 6; 34; 25; 45; 63], [[20]; [33]; [23]; [24]; [32]; [14]; [82]; [16]; [53; 60]; [8]; [40; 74]; [12]; [1]; [37; 75]; [10]; [9]; [42; 65]; [85; 26]; [93; 4]; [44; 89; 98; 80]; [87; 57; 78]; [66; 97; 50]; [35]; [13]; [67; 41]; [5; 91]; [84; 28]; [62; 52]; [38; 70]; [11]; [7]; [86; 19]; [48; 92; 71]; [79; 36]; [31]; [29]; [61; 51]; [0]; [54; 76]; [15]; [64; 43]; [69; 94; 46]; [18; 88]; [27; 83]; [2; 96; 99]; [17]; [22]; [3]; [77; 56]; [72; 95; 47]; [81; 55]; [39; 68]; [90; 49; 73]; [21]; [58; 59]; [30]; [6]; [34]; [25]; [45; 63]], [8000; 7400; 7900; 7900; 7500; 8700; 2800; 8400; 10000; 9000; 9400; 8800; 9600; 10000; 8800; 8900; 10000; 10000; 10000; 10000; 10000; 10000; 7300; 8700; 10000; 10000; 9700; 9800; 10000; 8800; 9100; 10000; 10000; 10000; 7500; 7500; 10000; 9900; 8300; 8600; 10000; 10000; 10000; 10000; 10000; 8400; 8000; 9300; 8100; 9800; 8000; 10000; 10000; 8000; 10000; 7500; 9200; 7400; 7900; 9900], 232650, 232651, 7.630056619644165
38, 60, 0.823376666666667, [89; 74; 50; 10; 11; 87; 54; 79; 17; 58; 59; 83; 27; 57; 82; 35; 56; 30; 24; 85; 31; 23; 20; 26; 29; 84; 68; 39; 5; 72; 40; 97; 1; 73; 96; 98; 46; 52; 62; 16; 49; 77; 7; 90; 14; 28; 21; 71; 45; 9; 69; 38; 4; 19; 86; 2; 93; 61; 51; 80; 36; 25; 12; 44; 92; 78; 15; 0; 76; 37; 55; 32; 41; 66; 67; 81; 75; 33; 22; 6; 91; 60; 53; 99; 48; 70; 95; 94; 3; 8; 13; 34; 63; 47; 42; 65; 64; 43; 88; 18], [[89; 74; 50]; [10]; [11]; [87; 54; 79]; [17]; [58; 59]; [83; 27]; [57; 82]; [35]; [56]; [30]; [24; 85]; [31]; [23]; [20]; [26]; [29; 84]; [68; 39]; [5]; [72; 40; 97]; [1]; [73; 96; 98; 46]; [52; 62]; [16]; [49; 77]; [7; 90]; [14]; [28]; [21]; [71; 45]; [9]; [69; 38]; [4]; [19; 86]; [2; 93]; [61; 51]; [80; 36]; [25]; [12]; [44; 92; 78]; [15]; [0]; [76; 37]; [55]; [32]; [41; 66]; [67; 81; 75]; [33]; [22]; [6; 91]; [60; 53]; [99; 48; 70; 95]; [94; 3]; [8]; [13]; [34]; [63; 47]; [42; 65]; [64; 43]; [88; 18]], [10000; 8800; 8800; 10000; 8400; 10000; 10000; 7900; 7300; 5100; 7500; 10000; 7500; 7900; 8000; 7900; 9700; 10000; 9200; 10000; 9600; 10000; 9800; 8400; 8700; 10000; 8700; 7500; 8000; 9300; 8900; 10000; 9300; 10000; 10000; 10000; 10000; 7900; 8800; 9600; 8600; 9900; 9900; 5100; 7500; 10000; 10000; 7400; 8000; 10000; 10000; 10000; 9900; 9000; 8700; 7400; 9900; 10000; 10000; 10000], 193050, 193051, 6.32566499710083
39, 60, 0.8233733333333333, [33; 43; 64; 36; 80; 1; 18; 88; 55; 19; 87; 65; 41; 22; 28; 20; 48; 77; 24; 74; 46; 14; 13; 54; 97; 62; 93; 3; 9; 57; 4; 37; 76; 67; 42; 81; 52; 17; 15; 7; 90; 29; 50; 71; 91; 23; 35; 26; 27; 83; 30; 16; 39; 68; 51; 61; 66; 40; 12; 32; 84; 47; 63; 89; 75; 44; 10; 70; 78; 73; 85; 25; 59; 58; 34; 2; 86; 21; 11; 69; 38; 60; 53; 6; 94; 99; 56; 82; 79; 49; 0; 8; 95; 96; 31; 72; 98; 45; 5; 92], [[33]; [43; 64]; [36; 80]; [1]; [18; 88]; [55]; [19; 87]; [65; 41]; [22]; [28]; [20]; [48; 77]; [24]; [74; 46]; [14]; [13]; [54; 97; 62]; [93; 3]; [9]; [57]; [4]; [37; 76]; [67; 42]; [81; 52]; [17]; [15]; [7; 90]; [29]; [50; 71; 91]; [23]; [35]; [26]; [27; 83]; [30]; [16]; [39; 68]; [51; 61]; [66; 40]; [12]; [32; 84]; [47; 63]; [89; 75; 44]; [10]; [70; 78; 73]; [85; 25]; [59; 58]; [34]; [2]; [86; 21]; [11]; [69; 38]; [60; 53]; [6; 94; 99]; [56; 82]; [79; 49]; [0]; [8; 95; 96]; [31]; [72; 98; 45]; [5; 92]], [7400; 10000; 10000; 9600; 10000; 5100; 10000; 10000; 8000; 7500; 8000; 8700; 7900; 9100; 8700; 8700; 10000; 10000; 8900; 5100; 9300; 9900; 10000; 8300; 8400; 8600; 10000; 7500; 10000; 7900; 7300; 7900; 10000; 7500; 8400; 10000; 10000; 10000; 8800; 9700; 9900; 10000; 8800; 10000; 10000; 10000; 7400; 9300; 9900; 8800; 10000; 10000; 10000; 7900; 8600; 9900; 10000; 7500; 9600; 10000], 198000, 198001, 6.536815881729126
35, 60, 0.8233333333333336, [22; 48; 81; 30; 62; 99; 52; 50; 79; 12; 59; 58; 17; 32; 10; 69; 38; 90; 15; 96; 51; 61; 41; 65; 83; 27; 18; 88; 33; 54; 82; 56; 26; 57; 78; 86; 1; 14; 28; 71; 77; 72; 7; 46; 94; 70; 16; 2; 93; 64; 43; 4; 60; 53; 87; 19; 67; 40; 55; 47; 66; 5; 91; 35; 45; 63; 97; 92; 11; 44; 73; 85; 23; 13; 0; 3; 29; 42; 95; 76; 98; 8; 89; 31; 84; 9; 20; 25; 21; 74; 49; 37; 75; 39; 68; 24; 34; 36; 80; 6], [[22]; [48; 81]; [30]; [62; 99; 52]; [50; 79]; [12]; [59; 58]; [17]; [32]; [10]; [69; 38]; [90; 15; 96]; [51; 61]; [41; 65]; [83; 27]; [18; 88]; [33]; [54; 82]; [56]; [26]; [57; 78; 86]; [1]; [14]; [28]; [71; 77; 72]; [7]; [46; 94; 70]; [16]; [2; 93]; [64; 43]; [4]; [60; 53]; [87; 19]; [67; 40]; [55]; [47; 66]; [5; 91]; [35]; [45; 63]; [97; 92; 11]; [44; 73]; [85; 23]; [13]; [0]; [3]; [29]; [42; 95; 76; 98]; [8; 89]; [31; 84]; [9]; [20]; [25]; [21]; [74; 49]; [37; 75]; [39; 68]; [24]; [34]; [36; 80]; [6]], [8000; 8600; 7500; 10000; 8600; 8800; 10000; 8400; 7500; 8800; 10000; 10000; 10000; 10000; 10000; 10000; 7400; 8000; 5100; 7900; 10000; 9600; 8700; 7500; 10000; 9100; 10000; 8400; 10000; 10000; 9300; 10000; 10000; 10000; 5100; 9700; 10000; 7300; 9900; 10000; 9200; 10000; 8700; 9900; 9300; 7500; 10000; 10000; 9700; 8900; 8000; 7900; 8000; 9000; 10000; 10000; 7900; 7400; 10000; 9200], 178200, 178201, 5.912020921707153
