Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
42, 48, 0.9120333333333335, [13; 77; 23; 66; 8; 85; 91; 93; 11; 78; 12; 52; 36; 95; 2; 94; 37; 55; 18; 43; 92; 49; 26; 64; 10; 82; 44; 39; 75; 16; 73; 30; 83; 86; 6; 56; 31; 22; 15; 74; 27; 60; 20; 41; 47; 79; 14; 48; 46; 90; 72; 35; 71; 62; 42; 0; 96; 9; 89; 51; 34; 29; 57; 63; 24; 65; 69; 38; 99; 81; 68; 25; 45; 76; 58; 3; 28; 59; 5; 87; 21; 7; 84; 17; 33; 54; 70; 53; 50; 1; 98; 97; 61; 32; 4; 88; 19; 40; 67; 80], [[13; 77]; [23; 66]; [8; 85]; [91; 93; 11]; [78; 12]; [52; 36; 95]; [2; 94]; [37; 55]; [18]; [43; 92; 49]; [26; 64]; [10; 82]; [44; 39]; [75; 16]; [73; 30; 83]; [86; 6]; [56; 31]; [22]; [15; 74]; [27; 60]; [20]; [41; 47]; [79; 14]; [48; 46; 90]; [72; 35; 71]; [62; 42]; [0]; [96; 9; 89]; [51; 34]; [29; 57]; [63]; [24; 65]; [69; 38; 99; 81]; [68; 25]; [45; 76; 58]; [3]; [28; 59]; [5; 87]; [21]; [7; 84]; [17]; [33; 54]; [70; 53; 50]; [1; 98]; [97; 61; 32]; [4; 88]; [19]; [40; 67; 80]], [10000; 10000; 9900; 10000; 9900; 10000; 10000; 9300; 7900; 10000; 9900; 10000; 10000; 10000; 9900; 10000; 10000; 7300; 10000; 10000; 7800; 9700; 9800; 10000; 10000; 8400; 9700; 10000; 9900; 10000; 3200; 10000; 10000; 9800; 10000; 9400; 10000; 10000; 7400; 10000; 8000; 9700; 10000; 10000; 10000; 10000; 7900; 10000], 212850, 212851, 7.878999710083008
58, 47, 0.9488468085106384, [33; 51; 19; 80; 98; 26; 60; 27; 47; 41; 93; 7; 96; 76; 14; 92; 42; 84; 69; 63; 25; 77; 13; 99; 30; 57; 55; 31; 66; 11; 81; 15; 72; 54; 59; 68; 2; 94; 38; 48; 5; 88; 9; 83; 34; 52; 18; 74; 56; 32; 24; 65; 17; 86; 91; 3; 49; 37; 85; 8; 43; 46; 10; 82; 1; 97; 36; 50; 28; 61; 4; 89; 78; 12; 87; 6; 62; 53; 67; 40; 44; 20; 39; 45; 23; 64; 79; 90; 21; 58; 29; 95; 70; 22; 0; 35; 75; 71; 73; 16], [[33; 51]; [19; 80; 98]; [26]; [60; 27]; [47; 41]; [93; 7; 96]; [76; 14]; [92; 42; 84; 69]; [63; 25]; [77; 13]; [99; 30; 57]; [55; 31]; [66]; [11; 81]; [15; 72]; [54; 59; 68]; [2; 94]; [38; 48]; [5; 88]; [9; 83]; [34; 52]; [18; 74]; [56; 32]; [24; 65]; [17; 86; 91]; [3]; [49; 37]; [85; 8]; [43; 46]; [10; 82]; [1; 97]; [36; 50]; [28; 61]; [4; 89]; [78; 12]; [87; 6]; [62; 53; 67]; [40; 44]; [20]; [39; 45]; [23; 64]; [79; 90; 21]; [58; 29]; [95; 70; 22]; [0]; [35; 75; 71]; [73; 16]], [9900; 10000; 6800; 10000; 9700; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 3100; 10000; 10000; 10000; 10000; 10000; 9800; 10000; 9800; 9900; 10000; 10000; 10000; 9400; 9700; 9900; 9700; 10000; 10000; 9800; 10000; 10000; 9900; 10000; 10000; 10000; 7800; 10000; 10000; 10000; 9900; 10000; 9700; 10000; 10000], 292050, 292051, 8.688622236251831
49, 47, 0.9464085106382979, [59; 27; 48; 38; 32; 94; 63; 45; 61; 73; 57; 29; 71; 21; 31; 53; 51; 33; 56; 26; 82; 81; 44; 40; 72; 16; 49; 37; 6; 23; 66; 13; 76; 30; 62; 77; 14; 52; 41; 99; 88; 8; 85; 9; 83; 0; 92; 58; 36; 95; 2; 7; 84; 4; 89; 12; 79; 78; 19; 97; 11; 25; 67; 80; 18; 98; 60; 28; 74; 17; 87; 5; 43; 46; 54; 86; 42; 15; 75; 93; 10; 91; 1; 47; 39; 24; 68; 70; 20; 3; 35; 55; 96; 90; 34; 64; 69; 50; 65; 22], [[59; 27]; [48; 38]; [32; 94; 63]; [45; 61; 73]; [57; 29]; [71; 21]; [31; 53]; [51; 33]; [56]; [26; 82; 81]; [44; 40]; [72; 16]; [49; 37]; [6]; [23; 66]; [13; 76]; [30; 62]; [77; 14]; [52; 41; 99; 88]; [8; 85]; [9; 83]; [0]; [92; 58; 36]; [95; 2]; [7; 84]; [4; 89]; [12; 79]; [78; 19; 97]; [11]; [25; 67]; [80; 18; 98]; [60; 28]; [74; 17]; [87; 5]; [43; 46]; [54; 86; 42]; [15; 75]; [93; 10; 91]; [1]; [47; 39]; [24; 68]; [70; 20]; [3]; [35; 55; 96]; [90; 34; 64]; [69; 50; 65]; [22]], [10000; 10000; 10000; 10000; 10000; 9600; 10000; 9900; 3700; 10000; 10000; 10000; 9700; 8800; 10000; 10000; 9700; 10000; 10000; 9900; 10000; 9700; 9900; 10000; 10000; 10000; 9900; 10000; 8400; 9800; 10000; 10000; 10000; 10000; 9700; 10000; 10000; 10000; 9600; 9900; 9900; 10000; 9400; 10000; 10000; 10000; 7300], 247500, 247501, 7.37836217880249
47, 47, 0.9450893617021275, [28; 60; 64; 23; 3; 94; 57; 29; 54; 32; 19; 72; 99; 35; 50; 15; 75; 34; 63; 93; 48; 20; 70; 73; 16; 80; 12; 89; 4; 36; 49; 44; 40; 27; 69; 96; 25; 67; 33; 51; 43; 46; 82; 11; 30; 77; 78; 8; 84; 14; 76; 2; 95; 81; 10; 31; 56; 24; 65; 68; 37; 55; 91; 98; 41; 9; 83; 18; 42; 47; 7; 85; 5; 86; 21; 71; 62; 61; 58; 0; 90; 88; 13; 22; 45; 39; 6; 1; 97; 79; 52; 59; 87; 53; 92; 38; 17; 74; 26; 66], [[28; 60]; [64; 23]; [3; 94]; [57; 29]; [54; 32]; [19; 72; 99]; [35; 50]; [15; 75]; [34; 63; 93]; [48]; [20; 70]; [73; 16]; [80; 12]; [89; 4]; [36; 49]; [44; 40]; [27; 69; 96]; [25; 67]; [33; 51]; [43; 46]; [82; 11]; [30; 77; 78]; [8; 84]; [14; 76]; [2; 95]; [81; 10]; [31; 56]; [24; 65]; [68; 37]; [55; 91; 98; 41]; [9; 83]; [18]; [42; 47]; [7; 85]; [5; 86]; [21; 71]; [62; 61; 58]; [0]; [90; 88; 13]; [22]; [45; 39]; [6]; [1; 97]; [79; 52; 59; 87]; [53; 92; 38]; [17; 74]; [26; 66]], [10000; 10000; 9900; 10000; 10000; 10000; 9900; 10000; 10000; 4500; 10000; 10000; 9900; 10000; 9800; 10000; 10000; 9800; 9900; 9700; 10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 8600; 10000; 10000; 7900; 9700; 10000; 10000; 9600; 10000; 9700; 10000; 7300; 10000; 8800; 10000; 10000; 10000; 10000; 9900], 237600, 237601, 7.085477113723755
47, 47, 0.9476468085106384, [80; 48; 97; 58; 31; 55; 51; 95; 37; 36; 60; 89; 85; 7; 34; 52; 14; 77; 5; 87; 57; 29; 6; 91; 38; 63; 84; 9; 83; 78; 12; 11; 82; 42; 86; 53; 41; 46; 33; 54; 39; 45; 22; 25; 67; 3; 35; 99; 49; 18; 73; 15; 72; 98; 1; 61; 19; 47; 64; 71; 62; 28; 0; 32; 56; 21; 70; 24; 65; 8; 90; 96; 59; 27; 75; 17; 79; 94; 20; 88; 4; 74; 16; 44; 40; 10; 81; 26; 68; 76; 13; 50; 43; 93; 2; 66; 23; 30; 69; 92], [[80; 48; 97; 58]; [31; 55]; [51; 95; 37]; [36; 60; 89]; [85; 7]; [34; 52]; [14; 77]; [5; 87]; [57; 29]; [6; 91]; [38; 63; 84]; [9; 83]; [78; 12]; [11; 82]; [42; 86; 53]; [41; 46]; [33; 54]; [39; 45]; [22]; [25; 67]; [3]; [35; 99; 49]; [18; 73]; [15; 72]; [98; 1]; [61]; [19]; [47; 64; 71]; [62; 28]; [0]; [32; 56]; [21; 70]; [24; 65]; [8; 90; 96]; [59; 27]; [75; 17]; [79; 94; 20]; [88; 4]; [74; 16]; [44; 40]; [10; 81]; [26; 68]; [76; 13]; [50; 43; 93]; [2]; [66; 23]; [30; 69; 92]], [10000; 10000; 10000; 10000; 10000; 9800; 10000; 10000; 10000; 9600; 10000; 10000; 9900; 10000; 10000; 9700; 9700; 10000; 7300; 9800; 9400; 10000; 9900; 10000; 10000; 3300; 7900; 9900; 10000; 9700; 10000; 9600; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9800; 10000; 10000; 9500; 10000; 10000], 237600, 237601, 7.0748138427734375
51, 47, 0.9437148936170215, [3; 46; 43; 5; 87; 10; 81; 15; 72; 6; 86; 18; 63; 26; 22; 32; 56; 78; 12; 16; 73; 27; 59; 9; 11; 82; 0; 13; 77; 71; 21; 37; 50; 17; 74; 57; 29; 90; 92; 14; 48; 38; 45; 39; 47; 41; 61; 28; 98; 8; 94; 96; 44; 99; 83; 55; 85; 7; 60; 53; 67; 62; 51; 69; 66; 24; 79; 40; 80; 84; 97; 1; 2; 68; 89; 33; 76; 34; 75; 19; 91; 93; 49; 35; 42; 31; 54; 65; 25; 23; 64; 20; 70; 4; 88; 52; 36; 95; 30; 58], [[3]; [46; 43]; [5; 87]; [10; 81]; [15; 72]; [6; 86]; [18]; [63; 26]; [22]; [32; 56]; [78; 12]; [16; 73]; [27; 59]; [9]; [11; 82]; [0]; [13; 77]; [71; 21]; [37; 50]; [17; 74]; [57; 29]; [90; 92; 14]; [48; 38]; [45; 39]; [47; 41]; [61; 28]; [98; 8; 94; 96]; [44; 99; 83; 55]; [85; 7]; [60; 53; 67]; [62; 51; 69]; [66; 24]; [79; 40; 80; 84]; [97; 1]; [2]; [68; 89; 33]; [76; 34; 75]; [19; 91; 93]; [49; 35]; [42]; [31; 54]; [65; 25]; [23; 64]; [20; 70]; [4; 88]; [52; 36; 95]; [30; 58]], [9400; 9700; 10000; 10000; 10000; 10000; 7900; 10000; 7300; 10000; 9900; 10000; 10000; 8500; 10000; 9700; 10000; 9600; 9700; 10000; 10000; 9800; 10000; 10000; 9700; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9500; 10000; 9900; 9500; 9900; 5100; 10000; 9900; 10000; 10000; 10000; 10000; 9800], 257400, 257401, 7.705659866333008
46, 47, 0.9475531914893618, [97; 1; 64; 25; 33; 52; 11; 90; 40; 45; 66; 24; 79; 13; 39; 99; 46; 18; 4; 88; 32; 55; 37; 82; 69; 48; 41; 59; 30; 14; 77; 0; 23; 65; 67; 80; 42; 60; 28; 17; 73; 62; 27; 91; 38; 54; 51; 34; 16; 81; 98; 53; 31; 61; 15; 75; 19; 74; 49; 86; 44; 93; 92; 10; 78; 12; 83; 9; 21; 26; 63; 96; 22; 71; 6; 89; 20; 70; 56; 35; 94; 76; 68; 43; 5; 87; 85; 8; 58; 47; 72; 36; 50; 57; 29; 2; 95; 84; 7; 3], [[97; 1]; [64; 25]; [33; 52]; [11; 90]; [40; 45]; [66; 24]; [79; 13]; [39; 99; 46]; [18]; [4; 88]; [32; 55]; [37; 82; 69]; [48; 41]; [59; 30]; [14; 77]; [0]; [23; 65]; [67; 80; 42]; [60; 28]; [17; 73]; [62; 27]; [91; 38; 54]; [51; 34]; [16; 81; 98]; [53; 31]; [61]; [15; 75]; [19; 74]; [49; 86; 44]; [93; 92; 10]; [78; 12]; [83; 9]; [21]; [26; 63]; [96; 22; 71]; [6; 89]; [20; 70]; [56; 35; 94]; [76; 68; 43]; [5; 87]; [85; 8]; [58; 47; 72]; [36; 50]; [57; 29]; [2; 95]; [84; 7]; [3]], [10000; 9900; 9800; 9300; 10000; 10000; 9800; 10000; 7900; 10000; 10000; 10000; 9600; 9700; 10000; 9700; 10000; 9800; 10000; 10000; 10000; 10000; 9900; 10000; 10000; 3300; 10000; 9900; 10000; 10000; 9900; 10000; 7400; 10000; 10000; 9800; 10000; 10000; 10000; 10000; 9900; 10000; 9800; 10000; 10000; 10000; 9400], 232650, 232651, 6.9793243408203125
58, 47, 0.9442553191489362, [23; 64; 44; 40; 51; 99; 33; 61; 36; 89; 21; 70; 98; 26; 67; 69; 93; 30; 3; 94; 38; 48; 18; 5; 1; 31; 53; 68; 39; 79; 63; 25; 45; 97; 86; 54; 55; 32; 4; 88; 22; 0; 90; 34; 66; 76; 13; 87; 6; 42; 35; 91; 58; 78; 12; 73; 16; 81; 11; 92; 43; 50; 8; 10; 82; 15; 74; 27; 59; 17; 75; 14; 77; 28; 62; 29; 57; 65; 24; 60; 41; 9; 83; 2; 96; 19; 72; 46; 80; 56; 71; 20; 37; 52; 95; 7; 85; 49; 84; 47], [[23; 64]; [44; 40]; [51; 99; 33]; [61; 36; 89]; [21; 70; 98]; [26; 67]; [69; 93; 30]; [3; 94]; [38; 48]; [18]; [5]; [1]; [31; 53]; [68; 39; 79]; [63; 25]; [45; 97; 86; 54]; [55; 32]; [4; 88]; [22]; [0]; [90; 34; 66]; [76; 13]; [87; 6]; [42]; [35; 91; 58]; [78; 12]; [73; 16]; [81; 11]; [92; 43; 50]; [8]; [10; 82]; [15; 74]; [27; 59]; [17; 75]; [14; 77]; [28; 62]; [29; 57]; [65; 24]; [60; 41]; [9; 83]; [2; 96]; [19; 72]; [46; 80; 56]; [71; 20]; [37; 52; 95]; [7; 85]; [49; 84; 47]], [10000; 10000; 10000; 10000; 10000; 9800; 10000; 9900; 10000; 7900; 8800; 9600; 10000; 10000; 10000; 10000; 10000; 10000; 7300; 9700; 10000; 10000; 10000; 5100; 10000; 9900; 10000; 10000; 10000; 8600; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 8400; 10000; 10000; 9900; 10000; 10000; 9900; 10000; 10000], 292050, 292051, 8.655508041381836
49, 47, 0.9447404255319151, [7; 84; 13; 48; 71; 69; 96; 89; 55; 40; 20; 70; 74; 17; 11; 82; 47; 46; 93; 28; 60; 67; 25; 42; 64; 79; 2; 94; 50; 35; 99; 24; 66; 98; 1; 8; 85; 34; 54; 0; 22; 77; 92; 73; 15; 81; 10; 49; 97; 38; 75; 19; 90; 4; 53; 32; 33; 51; 5; 86; 18; 56; 31; 58; 37; 88; 76; 14; 63; 26; 39; 78; 68; 52; 95; 36; 87; 6; 23; 65; 57; 29; 61; 27; 21; 12; 80; 41; 45; 44; 16; 72; 83; 9; 3; 30; 59; 62; 91; 43], [[7; 84]; [13]; [48; 71; 69; 96]; [89; 55; 40]; [20; 70]; [74; 17]; [11; 82]; [47; 46; 93]; [28; 60]; [67; 25]; [42; 64; 79]; [2; 94]; [50; 35; 99]; [24; 66]; [98; 1]; [8; 85]; [34; 54]; [0]; [22; 77; 92]; [73; 15]; [81; 10]; [49; 97; 38]; [75; 19]; [90; 4]; [53; 32]; [33; 51]; [5; 86]; [18]; [56; 31]; [58; 37; 88]; [76; 14]; [63; 26]; [39; 78; 68]; [52; 95; 36]; [87; 6]; [23; 65]; [57; 29]; [61; 27]; [21]; [12; 80]; [41; 45]; [44]; [16; 72]; [83; 9]; [3]; [30; 59]; [62; 91; 43]], [10000; 8100; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9800; 9900; 10000; 10000; 10000; 10000; 9900; 9700; 9700; 10000; 10000; 10000; 10000; 9900; 9900; 10000; 9900; 10000; 7900; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 7400; 9900; 9800; 4700; 10000; 10000; 9400; 9700; 9200], 247500, 247501, 7.356298208236694
56, 47, 0.9442595744680853, [88; 99; 89; 19; 81; 11; 12; 79; 58; 61; 59; 7; 84; 82; 10; 95; 2; 64; 23; 15; 75; 70; 34; 78; 45; 40; 22; 3; 98; 21; 53; 47; 80; 25; 65; 69; 90; 35; 96; 73; 17; 8; 6; 86; 67; 30; 57; 29; 13; 77; 0; 48; 91; 44; 49; 42; 92; 71; 20; 94; 39; 50; 28; 62; 32; 54; 85; 68; 36; 37; 52; 16; 72; 83; 9; 41; 1; 97; 76; 14; 33; 51; 31; 56; 27; 60; 46; 43; 55; 38; 93; 4; 26; 63; 66; 24; 87; 5; 18; 74], [[88; 99; 89; 19]; [81; 11]; [12; 79]; [58; 61; 59]; [7; 84]; [82; 10]; [95; 2]; [64; 23]; [15; 75]; [70; 34; 78]; [45; 40]; [22]; [3; 98]; [21]; [53; 47; 80]; [25; 65]; [69; 90; 35; 96]; [73; 17]; [8]; [6; 86]; [67; 30]; [57; 29]; [13; 77]; [0]; [48; 91; 44]; [49; 42; 92]; [71; 20]; [94; 39; 50]; [28; 62]; [32; 54]; [85; 68; 36]; [37; 52]; [16; 72]; [83; 9]; [41]; [1; 97]; [76; 14]; [33; 51]; [31; 56]; [27; 60]; [46; 43]; [55; 38; 93]; [4]; [26; 63]; [66; 24]; [87; 5]; [18; 74]], [10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 10000; 9900; 10000; 7300; 9800; 7400; 10000; 9900; 10000; 10000; 8600; 10000; 9400; 10000; 10000; 9700; 10000; 10000; 10000; 9900; 10000; 10000; 10000; 9400; 10000; 10000; 5100; 10000; 10000; 9900; 10000; 10000; 9700; 10000; 9000; 10000; 10000; 10000; 9900], 282150, 282151, 8.401697635650635
52, 47, 0.9484042553191488, [45; 40; 10; 82; 73; 19; 50; 42; 93; 3; 95; 34; 52; 25; 97; 69; 49; 36; 16; 72; 48; 38; 77; 13; 22; 91; 76; 88; 4; 61; 28; 96; 2; 94; 35; 54; 37; 55; 32; 56; 65; 30; 66; 24; 60; 62; 58; 21; 26; 63; 9; 83; 47; 41; 33; 79; 71; 78; 14; 64; 67; 51; 18; 68; 0; 87; 90; 23; 89; 7; 85; 81; 11; 31; 53; 46; 43; 86; 5; 92; 6; 57; 29; 15; 75; 8; 84; 70; 20; 27; 59; 44; 39; 74; 17; 99; 12; 80; 98; 1], [[45; 40]; [10; 82]; [73; 19]; [50; 42; 93]; [3; 95]; [34; 52]; [25; 97; 69]; [49; 36]; [16; 72]; [48; 38]; [77; 13]; [22; 91; 76]; [88; 4]; [61; 28]; [96; 2]; [94; 35; 54]; [37; 55]; [32; 56]; [65; 30]; [66; 24]; [60; 62; 58]; [21]; [26; 63]; [9; 83]; [47; 41]; [33; 79; 71]; [78; 14]; [64; 67; 51]; [18]; [68]; [0]; [87; 90; 23; 89]; [7; 85]; [81; 11]; [31; 53]; [46; 43]; [86; 5]; [92; 6]; [57; 29]; [15; 75]; [8; 84]; [70; 20]; [27; 59]; [44; 39]; [74; 17]; [99; 12; 80]; [98; 1]], [10000; 10000; 9900; 10000; 9900; 9800; 10000; 9800; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 10000; 9300; 10000; 9500; 10000; 10000; 7400; 10000; 10000; 9700; 9900; 9800; 10000; 7900; 3000; 9700; 10000; 10000; 10000; 10000; 9700; 10000; 9600; 10000; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 10000], 262350, 262351, 7.75264835357666
