Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
37, 65, 0.9058138461538465, [98; 31; 13; 65; 62; 88; 38; 33; 96; 90; 44; 63; 61; 4; 20; 9; 54; 73; 11; 25; 26; 6; 39; 86; 77; 47; 45; 82; 7; 95; 92; 59; 35; 40; 85; 3; 50; 76; 29; 27; 28; 32; 99; 81; 51; 80; 49; 42; 83; 58; 68; 37; 89; 18; 16; 17; 14; 0; 21; 64; 74; 15; 1; 34; 97; 41; 84; 69; 57; 30; 36; 94; 2; 10; 46; 79; 23; 48; 78; 52; 75; 72; 53; 19; 43; 93; 70; 56; 24; 22; 8; 12; 5; 60; 66; 55; 71; 87; 67; 91], [[98; 31]; [13]; [65; 62]; [88; 38]; [33; 96]; [90; 44]; [63; 61]; [4]; [20]; [9]; [54; 73]; [11]; [25]; [26]; [6]; [39; 86]; [77; 47]; [45; 82]; [7]; [95; 92; 59]; [35]; [40; 85]; [3]; [50; 76]; [29]; [27]; [28]; [32; 99]; [81; 51]; [80; 49]; [42; 83]; [58; 68]; [37; 89]; [18]; [16]; [17]; [14]; [0]; [21]; [64; 74]; [15]; [1]; [34; 97]; [41; 84]; [69; 57]; [30]; [36; 94]; [2]; [10]; [46; 79]; [23]; [48; 78]; [52; 75]; [72; 53]; [19]; [43; 93]; [70; 56]; [24]; [22]; [8]; [12]; [5]; [60; 66]; [55; 71]; [87; 67; 91]], [10000; 9100; 9700; 10000; 10000; 9300; 10000; 9900; 8800; 9600; 10000; 9400; 8500; 8500; 9900; 10000; 10000; 10000; 9800; 10000; 7700; 10000; 9900; 9900; 8200; 8500; 8400; 10000; 9600; 9900; 10000; 10000; 10000; 8900; 9000; 8900; 9000; 10000; 8800; 8600; 9000; 10000; 10000; 10000; 10000; 8100; 10000; 10000; 9500; 10000; 8700; 10000; 10000; 10000; 8900; 9200; 9900; 8600; 8700; 9700; 9400; 9900; 10000; 10000; 9900], 183150, 183151, 7.722252368927002
31, 65, 0.9061953846153846, [9; 35; 96; 32; 99; 22; 10; 6; 94; 37; 81; 49; 36; 93; 85; 41; 67; 59; 0; 29; 7; 3; 83; 45; 27; 91; 63; 89; 8; 40; 87; 71; 54; 86; 39; 61; 64; 17; 18; 4; 34; 95; 11; 38; 92; 15; 72; 53; 23; 75; 52; 56; 69; 90; 43; 20; 2; 76; 50; 25; 19; 13; 14; 16; 12; 21; 65; 62; 1; 73; 55; 82; 44; 84; 46; 24; 33; 97; 28; 30; 51; 78; 57; 70; 47; 80; 68; 58; 60; 66; 48; 77; 5; 42; 74; 88; 79; 31; 98; 26], [[9]; [35; 96]; [32; 99]; [22]; [10]; [6]; [94; 37]; [81; 49]; [36; 93]; [85; 41]; [67; 59]; [0]; [29]; [7]; [3]; [83; 45]; [27]; [91; 63; 89]; [8]; [40; 87]; [71; 54]; [86; 39]; [61; 64]; [17]; [18]; [4]; [34; 95]; [11]; [38; 92]; [15]; [72; 53]; [23]; [75; 52]; [56; 69]; [90; 43]; [20]; [2]; [76; 50]; [25]; [19]; [13]; [14]; [16]; [12]; [21]; [65; 62]; [1]; [73; 55]; [82; 44]; [84; 46]; [24]; [33; 97]; [28]; [30]; [51; 78]; [57; 70]; [47; 80]; [68; 58]; [60; 66]; [48; 77]; [5]; [42]; [74; 88; 79]; [31; 98]; [26]], [9600; 9800; 10000; 8700; 9500; 9900; 9800; 9900; 10000; 9900; 10000; 10000; 8200; 9800; 9900; 9900; 8500; 10000; 9700; 9900; 10000; 10000; 9800; 8900; 8900; 9900; 10000; 9400; 9700; 9000; 10000; 8700; 10000; 10000; 9400; 8800; 10000; 9900; 8500; 8900; 9100; 9000; 9000; 9400; 8800; 9700; 10000; 10000; 10000; 9700; 8600; 10000; 8400; 8100; 9700; 9900; 9900; 10000; 10000; 10000; 9900; 6800; 10000; 10000; 8500], 153450, 153451, 5.1727073192596436
37, 65, 0.9050876923076927, [41; 87; 21; 11; 36; 92; 48; 78; 99; 31; 65; 62; 0; 7; 72; 55; 91; 38; 4; 73; 63; 49; 79; 95; 35; 25; 33; 96; 37; 93; 22; 26; 9; 27; 50; 76; 58; 67; 84; 45; 17; 57; 71; 18; 59; 68; 19; 34; 97; 23; 2; 6; 90; 51; 82; 54; 16; 85; 40; 14; 20; 10; 15; 30; 56; 69; 52; 75; 89; 39; 5; 42; 86; 28; 74; 53; 61; 64; 8; 3; 47; 77; 46; 80; 24; 60; 66; 1; 70; 94; 81; 88; 43; 29; 12; 44; 83; 13; 32; 98], [[41; 87]; [21]; [11]; [36; 92]; [48; 78]; [99; 31]; [65; 62]; [0]; [7]; [72; 55]; [91; 38]; [4]; [73; 63]; [49; 79]; [95; 35]; [25]; [33; 96]; [37; 93]; [22]; [26]; [9]; [27]; [50; 76]; [58; 67]; [84; 45]; [17]; [57; 71]; [18]; [59; 68]; [19]; [34; 97]; [23]; [2]; [6]; [90; 51]; [82; 54]; [16]; [85; 40]; [14]; [20]; [10]; [15]; [30]; [56; 69]; [52; 75]; [89; 39]; [5]; [42; 86]; [28]; [74; 53]; [61; 64]; [8]; [3]; [47; 77]; [46; 80]; [24]; [60; 66]; [1]; [70; 94; 81]; [88; 43]; [29]; [12]; [44; 83]; [13]; [32; 98]], [9800; 8800; 9400; 10000; 10000; 10000; 9700; 10000; 9800; 10000; 9800; 9900; 9000; 9900; 9800; 8500; 10000; 9800; 8700; 8500; 9600; 8500; 9900; 10000; 9800; 8900; 9800; 8900; 10000; 8900; 10000; 8700; 10000; 9900; 8800; 9200; 9000; 10000; 9000; 8800; 9500; 9000; 8100; 10000; 10000; 9700; 9900; 9700; 8400; 9800; 9800; 9700; 9900; 10000; 10000; 8600; 10000; 10000; 10000; 9500; 8200; 9400; 9900; 9100; 10000], 183150, 183151, 6.177288770675659
34, 65, 0.9053215384615387, [15; 99; 33; 89; 37; 59; 69; 82; 45; 65; 62; 0; 13; 18; 93; 38; 86; 40; 76; 51; 10; 8; 26; 19; 94; 85; 68; 22; 12; 2; 27; 14; 7; 79; 52; 17; 77; 49; 32; 98; 3; 60; 91; 95; 73; 53; 29; 43; 90; 20; 4; 48; 78; 97; 35; 83; 44; 81; 47; 66; 63; 87; 39; 1; 84; 41; 55; 71; 23; 6; 30; 9; 21; 61; 64; 74; 54; 34; 96; 5; 70; 56; 25; 50; 75; 67; 58; 31; 11; 16; 24; 88; 42; 46; 80; 92; 36; 72; 57; 28], [[15]; [99; 33]; [89; 37]; [59; 69]; [82; 45]; [65; 62]; [0]; [13]; [18]; [93; 38]; [86; 40]; [76; 51]; [10]; [8]; [26]; [19]; [94; 85; 68]; [22]; [12]; [2]; [27]; [14]; [7]; [79; 52]; [17]; [77; 49]; [32; 98]; [3]; [60; 91; 95]; [73; 53]; [29]; [43; 90]; [20]; [4]; [48; 78]; [97; 35]; [83; 44]; [81; 47]; [66; 63]; [87; 39]; [1]; [84; 41]; [55; 71]; [23]; [6]; [30]; [9]; [21]; [61; 64]; [74; 54]; [34; 96]; [5]; [70; 56]; [25]; [50; 75]; [67; 58]; [31]; [11]; [16]; [24]; [88; 42]; [46; 80]; [92; 36]; [72; 57]; [28]], [9000; 9900; 10000; 9800; 10000; 9700; 10000; 9100; 8900; 9700; 9900; 9900; 9500; 9700; 8500; 8900; 9900; 8700; 9400; 10000; 8500; 9000; 9800; 9600; 8900; 10000; 10000; 9900; 10000; 10000; 8200; 9400; 8800; 9900; 10000; 9800; 9900; 9900; 9500; 10000; 10000; 10000; 10000; 8700; 9900; 8100; 9600; 8800; 9800; 9800; 10000; 9900; 9900; 8500; 10000; 10000; 8000; 9400; 9000; 8600; 9500; 10000; 10000; 9800; 8400], 168300, 168301, 5.623241662979126
25, 65, 0.9049061538461538, [12; 61; 63; 82; 69; 94; 24; 0; 43; 84; 49; 79; 13; 60; 67; 85; 44; 71; 57; 76; 51; 92; 36; 83; 46; 39; 91; 19; 27; 93; 45; 81; 50; 15; 62; 65; 64; 66; 58; 68; 21; 87; 41; 98; 32; 40; 86; 59; 72; 20; 8; 78; 52; 56; 70; 95; 34; 75; 55; 5; 35; 97; 26; 33; 96; 25; 31; 99; 4; 90; 37; 18; 89; 42; 38; 88; 48; 77; 11; 9; 10; 2; 3; 29; 53; 73; 14; 30; 23; 1; 47; 80; 28; 16; 74; 54; 17; 7; 22; 6], [[12]; [61; 63]; [82; 69; 94]; [24]; [0]; [43; 84]; [49; 79]; [13]; [60; 67]; [85; 44]; [71; 57]; [76; 51]; [92; 36]; [83; 46]; [39; 91]; [19]; [27]; [93; 45]; [81; 50]; [15]; [62; 65]; [64; 66]; [58; 68]; [21]; [87; 41]; [98; 32]; [40; 86]; [59; 72]; [20]; [8]; [78; 52]; [56; 70]; [95; 34]; [75; 55]; [5]; [35; 97]; [26]; [33; 96]; [25]; [31; 99]; [4]; [90; 37]; [18]; [89; 42]; [38; 88]; [48; 77]; [11]; [9]; [10]; [2]; [3]; [29]; [53; 73]; [14]; [30]; [23]; [1]; [47; 80]; [28]; [16]; [74; 54]; [17]; [7]; [22]; [6]], [9400; 10000; 10000; 8600; 10000; 9900; 9900; 9100; 9900; 9700; 9800; 9900; 10000; 9800; 9600; 8900; 8500; 9100; 9600; 9000; 9700; 9300; 10000; 8800; 9800; 10000; 9900; 9600; 8800; 9700; 9700; 9900; 10000; 9700; 9900; 9800; 8500; 10000; 8500; 10000; 9900; 10000; 8900; 9400; 10000; 10000; 9400; 9600; 9500; 10000; 9900; 8200; 10000; 9000; 8100; 8700; 10000; 9900; 8400; 9000; 9800; 8900; 9800; 8700; 9900], 123750, 123751, 4.157036781311035
29, 65, 0.9053215384615385, [42; 85; 92; 59; 97; 19; 82; 44; 25; 93; 37; 18; 57; 72; 17; 89; 83; 70; 7; 23; 27; 12; 22; 38; 88; 87; 43; 49; 79; 36; 94; 31; 98; 13; 35; 95; 30; 26; 47; 78; 32; 86; 40; 75; 50; 77; 52; 54; 73; 2; 34; 96; 14; 64; 61; 24; 45; 84; 8; 5; 48; 80; 65; 66; 60; 68; 0; 69; 56; 3; 46; 81; 9; 29; 62; 63; 51; 76; 28; 6; 91; 41; 4; 1; 20; 39; 90; 55; 71; 53; 74; 21; 99; 33; 67; 58; 15; 11; 16; 10], [[42; 85]; [92; 59; 97]; [19]; [82; 44]; [25]; [93; 37]; [18]; [57; 72]; [17]; [89; 83; 70]; [7]; [23]; [27]; [12]; [22]; [38; 88]; [87; 43]; [49; 79]; [36; 94]; [31; 98]; [13]; [35; 95]; [30]; [26]; [47; 78]; [32]; [86; 40]; [75; 50]; [77; 52]; [54; 73]; [2]; [34; 96]; [14]; [64; 61]; [24]; [45; 84]; [8]; [5]; [48; 80]; [65; 66]; [60; 68]; [0]; [69; 56]; [3]; [46; 81]; [9]; [29]; [62; 63]; [51; 76]; [28]; [6]; [91; 41]; [4]; [1]; [20]; [39; 90]; [55; 71]; [53; 74]; [21]; [99; 33]; [67; 58]; [15]; [11]; [16]; [10]], [9800; 10000; 8900; 10000; 8500; 9800; 8900; 9800; 8900; 10000; 9800; 8700; 8500; 9400; 8700; 10000; 9700; 9900; 10000; 10000; 9100; 9800; 8100; 8500; 10000; 8000; 9900; 10000; 9700; 10000; 10000; 10000; 9000; 9800; 8600; 9800; 9700; 9900; 9900; 9300; 9900; 10000; 10000; 9900; 10000; 9600; 8200; 9900; 9900; 8400; 9900; 9400; 9900; 10000; 8800; 9700; 10000; 9800; 8800; 9900; 10000; 9000; 9400; 9000; 9500], 143550, 143551, 4.818043947219849
41, 66, 0.884716666666667, [27; 47; 77; 29; 14; 56; 69; 22; 90; 88; 65; 41; 84; 74; 42; 83; 3; 96; 55; 99; 28; 25; 40; 85; 16; 13; 49; 78; 39; 87; 81; 91; 71; 19; 37; 89; 59; 68; 9; 53; 73; 61; 63; 31; 98; 94; 44; 32; 26; 8; 33; 97; 18; 60; 66; 5; 17; 72; 54; 75; 51; 95; 34; 21; 20; 58; 67; 35; 92; 36; 50; 79; 43; 86; 4; 0; 30; 64; 62; 10; 57; 70; 1; 12; 82; 45; 48; 76; 52; 93; 38; 2; 15; 11; 46; 80; 24; 23; 6; 7], [[27]; [47; 77]; [29]; [14]; [56; 69]; [22]; [90; 88; 65]; [41; 84]; [74]; [42; 83]; [3]; [96; 55; 99]; [28]; [25]; [40; 85]; [16]; [13]; [49; 78]; [39; 87]; [81; 91; 71]; [19]; [37; 89]; [59; 68]; [9]; [53; 73]; [61; 63]; [31; 98]; [94; 44]; [32]; [26]; [8]; [33; 97]; [18]; [60; 66]; [5]; [17]; [72; 54]; [75; 51]; [95; 34]; [21]; [20]; [58; 67]; [35]; [92; 36]; [50; 79]; [43; 86]; [4]; [0]; [30]; [64; 62]; [10]; [57; 70]; [1]; [12]; [82; 45]; [48]; [76; 52]; [93; 38]; [2]; [15]; [11]; [46; 80]; [24]; [23]; [6]; [7]], [8500; 10000; 8200; 9000; 10000; 8700; 10000; 10000; 3900; 10000; 9900; 10000; 8400; 8500; 10000; 9000; 9100; 10000; 10000; 10000; 8900; 10000; 10000; 9600; 10000; 10000; 10000; 9100; 8000; 8500; 9700; 10000; 8900; 10000; 9900; 8900; 10000; 10000; 10000; 8800; 8800; 10000; 7700; 10000; 9600; 9700; 9900; 10000; 8100; 9700; 9500; 9900; 10000; 9400; 10000; 6500; 9900; 9700; 10000; 9000; 9400; 10000; 8600; 8700; 9900; 9800], 207900, 207901, 6.958223819732666
39, 66, 0.8846348484848487, [20; 78; 48; 15; 53; 73; 17; 18; 4; 24; 5; 96; 33; 2; 54; 71; 46; 80; 9; 3; 83; 43; 8; 38; 88; 28; 49; 77; 40; 85; 87; 39; 1; 35; 64; 62; 22; 16; 84; 41; 82; 44; 42; 91; 45; 27; 86; 90; 67; 19; 25; 32; 98; 56; 74; 36; 92; 31; 99; 29; 37; 89; 58; 94; 95; 30; 14; 12; 21; 11; 6; 60; 66; 50; 51; 75; 57; 69; 23; 0; 81; 47; 61; 63; 65; 55; 72; 26; 76; 52; 13; 7; 10; 59; 68; 34; 97; 70; 79; 93], [[20]; [78; 48]; [15]; [53; 73]; [17]; [18]; [4]; [24]; [5]; [96; 33]; [2]; [54; 71]; [46; 80]; [9]; [3]; [83; 43]; [8]; [38; 88]; [28]; [49; 77]; [40; 85]; [87; 39]; [1]; [35]; [64; 62]; [22]; [16]; [84; 41]; [82; 44]; [42; 91]; [45]; [27]; [86; 90; 67]; [19]; [25]; [32; 98]; [56; 74]; [36; 92]; [31; 99]; [29]; [37; 89]; [58; 94; 95]; [30]; [14]; [12]; [21]; [11]; [6]; [60; 66]; [50]; [51; 75]; [57; 69]; [23]; [0]; [81; 47]; [61; 63]; [65]; [55; 72]; [26]; [76; 52]; [13]; [7]; [10]; [59; 68]; [34; 97]; [70; 79; 93]], [8800; 10000; 9000; 10000; 8900; 8900; 9900; 8600; 9900; 10000; 10000; 10000; 10000; 9600; 9900; 10000; 9700; 10000; 8400; 10000; 10000; 10000; 10000; 7700; 9700; 8700; 9000; 10000; 10000; 9300; 6700; 8500; 10000; 8900; 8500; 10000; 9600; 10000; 10000; 8200; 10000; 10000; 8100; 9000; 9400; 8800; 9400; 9900; 10000; 6200; 10000; 10000; 8700; 10000; 9900; 10000; 4700; 10000; 8500; 9900; 9100; 9800; 9500; 10000; 10000; 10000], 198000, 198001, 6.601773738861084
36, 66, 0.884659090909091, [33; 96; 91; 60; 97; 94; 44; 27; 1; 26; 13; 7; 83; 78; 82; 35; 41; 84; 4; 14; 87; 42; 40; 85; 0; 16; 58; 67; 11; 50; 75; 10; 63; 61; 37; 90; 12; 73; 53; 80; 47; 36; 93; 39; 86; 88; 38; 77; 48; 71; 55; 34; 95; 9; 32; 98; 15; 74; 20; 21; 66; 65; 43; 89; 17; 2; 52; 76; 5; 69; 56; 8; 31; 99; 25; 28; 68; 59; 3; 46; 81; 18; 29; 23; 92; 45; 64; 62; 70; 57; 6; 49; 79; 51; 22; 19; 54; 72; 30; 24], [[33; 96]; [91; 60; 97]; [94; 44]; [27]; [1]; [26]; [13]; [7]; [83; 78; 82]; [35]; [41; 84]; [4]; [14]; [87; 42]; [40; 85]; [0]; [16]; [58; 67]; [11]; [50; 75]; [10]; [63; 61]; [37; 90]; [12]; [73; 53]; [80; 47]; [36; 93]; [39; 86]; [88; 38]; [77; 48]; [71; 55]; [34; 95]; [9]; [32; 98]; [15]; [74]; [20]; [21]; [66; 65]; [43; 89]; [17]; [2]; [52; 76]; [5]; [69; 56]; [8]; [31; 99]; [25]; [28]; [68; 59]; [3]; [46; 81]; [18]; [29]; [23]; [92; 45]; [64; 62]; [70; 57]; [6]; [49; 79]; [51]; [22]; [19]; [54; 72]; [30]; [24]], [10000; 10000; 9100; 8500; 10000; 8500; 9100; 9800; 10000; 7700; 10000; 9900; 9000; 9700; 10000; 10000; 9000; 10000; 9400; 10000; 9500; 10000; 10000; 9400; 10000; 9900; 10000; 10000; 10000; 10000; 10000; 10000; 9600; 10000; 9000; 3900; 8800; 8800; 9300; 9400; 8900; 10000; 9900; 9900; 10000; 9700; 10000; 8500; 8400; 10000; 9900; 10000; 8900; 8200; 8700; 9100; 9700; 9900; 9900; 9900; 6200; 8700; 8900; 10000; 8100; 8600], 183150, 183151, 6.197214365005493
41, 66, 0.8853378787878793, [18; 8; 26; 5; 70; 57; 83; 43; 45; 46; 79; 96; 62; 86; 24; 39; 87; 28; 67; 59; 3; 73; 55; 71; 53; 13; 85; 40; 20; 80; 52; 9; 50; 76; 84; 41; 33; 97; 30; 27; 17; 11; 22; 98; 32; 89; 37; 12; 19; 54; 72; 23; 25; 49; 77; 88; 90; 65; 36; 92; 51; 75; 16; 14; 1; 93; 94; 64; 82; 44; 58; 68; 31; 99; 29; 63; 61; 66; 60; 7; 4; 38; 91; 42; 56; 69; 10; 35; 78; 47; 6; 48; 81; 15; 0; 74; 21; 2; 34; 95], [[18]; [8]; [26]; [5]; [70; 57]; [83; 43]; [45]; [46; 79]; [96; 62; 86]; [24]; [39; 87]; [28]; [67; 59]; [3]; [73; 55]; [71; 53]; [13]; [85; 40]; [20]; [80; 52]; [9]; [50; 76]; [84; 41]; [33; 97]; [30]; [27]; [17]; [11]; [22]; [98; 32]; [89; 37]; [12]; [19]; [54; 72]; [23]; [25]; [49; 77]; [88; 90; 65]; [36; 92]; [51; 75]; [16]; [14]; [1]; [93; 94; 64]; [82; 44]; [58; 68]; [31; 99]; [29]; [63; 61]; [66; 60]; [7]; [4]; [38; 91]; [42]; [56; 69]; [10]; [35]; [78; 47]; [6]; [48; 81]; [15]; [0]; [74]; [21]; [2]; [34; 95]], [8900; 9700; 8500; 9900; 9900; 10000; 6700; 10000; 10000; 8600; 10000; 8400; 10000; 9900; 10000; 10000; 9100; 10000; 8800; 9600; 9600; 9900; 10000; 10000; 8100; 8500; 8900; 9400; 8700; 10000; 10000; 9400; 8900; 10000; 8700; 8500; 10000; 10000; 10000; 10000; 9000; 9000; 10000; 9500; 10000; 10000; 10000; 8200; 10000; 10000; 9800; 9900; 9800; 6800; 10000; 9500; 7700; 10000; 9900; 9900; 9000; 10000; 3900; 8800; 10000; 10000], 207900, 207901, 7.012359142303467
