Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
16, 73, 0.7668657534246575, [63; 57; 84; 73; 70; 65; 66; 77; 33; 74; 69; 90; 36; 26; 52; 18; 59; 82; 95; 31; 6; 28; 14; 9; 91; 43; 8; 29; 20; 11; 51; 81; 62; 58; 45; 0; 15; 41; 19; 4; 68; 75; 49; 87; 78; 64; 21; 32; 99; 50; 13; 48; 85; 16; 94; 34; 25; 2; 37; 17; 92; 47; 86; 40; 89; 42; 93; 44; 79; 61; 27; 53; 67; 24; 71; 76; 96; 30; 23; 56; 12; 46; 98; 10; 88; 35; 7; 22; 54; 38; 60; 80; 83; 55; 39; 97; 3; 72; 1; 5], [[63]; [57; 84]; [73; 70]; [65]; [66; 77]; [33]; [74; 69]; [90; 36]; [26]; [52]; [18]; [59; 82]; [95; 31]; [6]; [28]; [14]; [9]; [91; 43]; [8]; [29]; [20]; [11]; [51]; [81; 62]; [58]; [45]; [0]; [15]; [41]; [19]; [4]; [68; 75]; [49; 87]; [78; 64]; [21]; [32; 99]; [50]; [13]; [48; 85]; [16]; [94; 34]; [25]; [2]; [37]; [17]; [92; 47]; [86; 40]; [89; 42]; [93; 44]; [79; 61]; [27]; [53]; [67]; [24]; [71; 76]; [96; 30]; [23]; [56]; [12]; [46; 98]; [10]; [88; 35]; [7]; [22]; [54]; [38]; [60; 80]; [83; 55]; [39; 97]; [3]; [72]; [1]; [5]], [5700; 9900; 9800; 5600; 10000; 7600; 9900; 9900; 8100; 6400; 8700; 9900; 9900; 9500; 7900; 9000; 9200; 9400; 9200; 7800; 8600; 9100; 6400; 9600; 6300; 6800; 9900; 9000; 7000; 8700; 9700; 10000; 9300; 9800; 8500; 9600; 6500; 9000; 10000; 8900; 9600; 8300; 9900; 7200; 8800; 8900; 10000; 9600; 9000; 9800; 8000; 6400; 5400; 8300; 9600; 10000; 8300; 6300; 9100; 8700; 9200; 10000; 9400; 8400; 6400; 7200; 9900; 10000; 9300; 9900; 4800; 9900; 9700], 79200, 79201, 4.468559980392456
14, 73, 0.7646794520547944, [5; 52; 84; 62; 23; 49; 41; 99; 46; 10; 97; 56; 47; 2; 7; 14; 83; 55; 20; 22; 27; 85; 53; 37; 40; 98; 11; 68; 75; 96; 44; 61; 69; 71; 79; 66; 1; 28; 38; 87; 42; 86; 26; 19; 6; 65; 81; 43; 67; 77; 58; 29; 72; 82; 76; 70; 8; 57; 21; 59; 78; 63; 18; 80; 60; 95; 48; 54; 25; 89; 36; 24; 13; 0; 16; 32; 93; 15; 39; 30; 92; 51; 34; 90; 33; 91; 74; 73; 88; 50; 4; 64; 3; 35; 17; 94; 31; 9; 12; 45], [[5]; [52; 84]; [62]; [23]; [49]; [41; 99]; [46]; [10]; [97; 56]; [47]; [2]; [7]; [14]; [83; 55]; [20]; [22]; [27]; [85; 53]; [37]; [40; 98]; [11]; [68; 75]; [96; 44]; [61]; [69; 71]; [79; 66]; [1]; [28]; [38; 87]; [42; 86]; [26]; [19]; [6]; [65; 81]; [43]; [67; 77]; [58]; [29]; [72; 82]; [76; 70]; [8]; [57]; [21]; [59]; [78; 63]; [18]; [80; 60]; [95; 48]; [54]; [25]; [89; 36]; [24]; [13]; [0]; [16]; [32; 93]; [15]; [39]; [30; 92]; [51]; [34; 90]; [33; 91]; [74; 73]; [88; 50]; [4]; [64]; [3]; [35]; [17]; [94; 31]; [9]; [12]; [45]], [9700; 10000; 5800; 8300; 6500; 9000; 6700; 9200; 8400; 6700; 9900; 9400; 9000; 10000; 8600; 8400; 8000; 9900; 7200; 9100; 9100; 10000; 9000; 5900; 10000; 9400; 9900; 7900; 10000; 9900; 8100; 8700; 9500; 9400; 7000; 9900; 6300; 7800; 8600; 9700; 9200; 6300; 8500; 6100; 9800; 8700; 9900; 8700; 6400; 8300; 9900; 8300; 9000; 9900; 8900; 9800; 9000; 7200; 10000; 6400; 10000; 10000; 9600; 9200; 9700; 5700; 9900; 7300; 8800; 9900; 9200; 9100; 6800], 69300, 69301, 2.4630448818206787
13, 73, 0.7667972602739727, [24; 69; 74; 48; 35; 96; 6; 20; 1; 41; 86; 10; 22; 16; 88; 43; 30; 94; 18; 4; 95; 31; 49; 19; 13; 75; 68; 12; 8; 55; 83; 99; 28; 29; 92; 3; 62; 79; 46; 98; 80; 60; 17; 26; 11; 44; 89; 93; 40; 91; 54; 72; 25; 39; 87; 45; 50; 42; 47; 15; 82; 63; 66; 56; 76; 70; 67; 77; 53; 90; 0; 59; 81; 23; 73; 71; 5; 38; 2; 84; 58; 65; 57; 85; 34; 14; 27; 32; 9; 51; 36; 64; 37; 7; 52; 78; 61; 21; 33; 97], [[24]; [69; 74]; [48]; [35; 96]; [6]; [20]; [1]; [41; 86]; [10]; [22]; [16]; [88; 43]; [30; 94]; [18]; [4]; [95; 31]; [49]; [19]; [13]; [75; 68]; [12]; [8]; [55; 83]; [99; 28]; [29; 92]; [3]; [62; 79]; [46; 98]; [80; 60]; [17]; [26]; [11]; [44; 89]; [93; 40]; [91; 54]; [72]; [25]; [39; 87]; [45]; [50]; [42]; [47]; [15]; [82; 63]; [66]; [56]; [76; 70]; [67; 77]; [53; 90]; [0]; [59; 81]; [23]; [73; 71]; [5]; [38]; [2]; [84; 58]; [65]; [57; 85]; [34]; [14]; [27]; [32]; [9]; [51]; [36]; [64]; [37]; [7]; [52]; [78; 61]; [21]; [33; 97]], [8300; 9900; 6500; 9500; 9500; 8600; 9900; 9900; 9200; 8400; 8900; 9700; 10000; 8700; 9700; 9900; 6500; 8700; 9000; 10000; 9100; 9200; 10000; 9900; 10000; 9900; 9700; 8700; 9900; 8800; 8100; 9100; 9400; 9300; 8800; 4800; 8300; 10000; 6800; 6500; 7000; 6700; 9000; 9500; 5500; 6300; 9700; 9900; 9000; 9900; 9900; 8300; 9700; 9700; 7200; 9900; 9900; 5600; 9800; 7400; 9000; 8000; 7600; 9200; 6400; 7300; 5700; 7200; 9400; 6400; 10000; 8500; 9700], 64350, 64351, 2.5598814487457275
13, 73, 0.7670164383561643, [97; 29; 65; 46; 47; 55; 67; 81; 75; 72; 57; 70; 33; 91; 18; 26; 95; 34; 51; 40; 89; 17; 25; 54; 24; 30; 94; 56; 84; 99; 36; 31; 28; 98; 48; 96; 8; 14; 59; 82; 45; 42; 86; 19; 3; 2; 9; 76; 68; 74; 69; 60; 83; 11; 62; 12; 85; 50; 5; 58; 63; 80; 10; 7; 0; 44; 87; 6; 92; 38; 20; 13; 1; 71; 73; 88; 39; 37; 15; 93; 32; 78; 61; 43; 16; 52; 4; 41; 22; 21; 64; 79; 49; 23; 53; 66; 77; 90; 35; 27], [[97; 29]; [65]; [46]; [47]; [55]; [67; 81]; [75; 72]; [57]; [70]; [33; 91]; [18]; [26]; [95; 34]; [51]; [40; 89]; [17]; [25]; [54]; [24]; [30; 94]; [56; 84]; [99; 36]; [31]; [28; 98]; [48; 96]; [8]; [14]; [59; 82]; [45]; [42; 86]; [19]; [3]; [2]; [9]; [76; 68]; [74; 69]; [60; 83]; [11]; [62]; [12]; [85; 50]; [5]; [58]; [63; 80]; [10]; [7]; [0]; [44; 87]; [6]; [92; 38]; [20]; [13]; [1]; [71; 73]; [88; 39]; [37]; [15]; [93; 32]; [78; 61]; [43]; [16]; [52]; [4]; [41]; [22]; [21]; [64; 79]; [49]; [23]; [53]; [66; 77]; [90; 35]; [27]], [9900; 5600; 6700; 6700; 6300; 9200; 9500; 6300; 5000; 10000; 8700; 8100; 9600; 6400; 9700; 8800; 8300; 6400; 8300; 10000; 9900; 9300; 7700; 9900; 8700; 9200; 9000; 9900; 6800; 9900; 8700; 9900; 9900; 9200; 10000; 9900; 9700; 9100; 5800; 9100; 10000; 9700; 6300; 9600; 9200; 9400; 9900; 9600; 9500; 9400; 8600; 9000; 9900; 9700; 9900; 7200; 9000; 9800; 10000; 7000; 8900; 6400; 9700; 7000; 8400; 8500; 9600; 6500; 8300; 6400; 10000; 9900; 8000], 64350, 64351, 2.300837755203247
11, 73, 0.7634575342465755, [77; 72; 8; 45; 61; 79; 17; 66; 1; 41; 99; 60; 63; 84; 7; 42; 18; 12; 25; 87; 37; 80; 62; 19; 32; 75; 70; 83; 56; 23; 51; 91; 44; 36; 97; 11; 78; 65; 39; 88; 74; 73; 2; 96; 35; 20; 5; 9; 76; 68; 57; 85; 28; 55; 58; 16; 98; 34; 15; 14; 59; 46; 26; 40; 86; 6; 4; 30; 95; 52; 53; 92; 3; 33; 93; 13; 31; 22; 50; 43; 64; 81; 94; 47; 10; 54; 69; 71; 24; 21; 27; 48; 82; 67; 89; 49; 29; 0; 38; 90], [[77; 72]; [8]; [45]; [61; 79]; [17]; [66]; [1]; [41; 99]; [60]; [63; 84]; [7]; [42]; [18]; [12]; [25]; [87; 37]; [80; 62]; [19]; [32]; [75; 70]; [83; 56]; [23]; [51; 91]; [44]; [36; 97]; [11]; [78; 65]; [39; 88]; [74; 73]; [2]; [96; 35]; [20]; [5]; [9]; [76; 68]; [57; 85]; [28]; [55]; [58]; [16]; [98; 34]; [15]; [14]; [59]; [46]; [26]; [40; 86]; [6]; [4]; [30; 95]; [52]; [53; 92]; [3]; [33; 93]; [13]; [31]; [22]; [50]; [43]; [64; 81]; [94; 47]; [10]; [54]; [69; 71]; [24]; [21]; [27]; [48]; [82; 67]; [89; 49]; [29]; [0]; [38; 90]], [9300; 9200; 6800; 9800; 8800; 5500; 9900; 9000; 6000; 9300; 9400; 7000; 8700; 9100; 8300; 10000; 9700; 8700; 7600; 9700; 10000; 8300; 8800; 6800; 9400; 9100; 9700; 9900; 9600; 9900; 9500; 8600; 9700; 9200; 10000; 9800; 7900; 6300; 6300; 8900; 9400; 9000; 9000; 6100; 6700; 8100; 10000; 9500; 9700; 10000; 6400; 8600; 9900; 9800; 9000; 7700; 8400; 6500; 7000; 9500; 8900; 9200; 6400; 10000; 8300; 8500; 8000; 6500; 9200; 9100; 7800; 9900; 9800], 54450, 54451, 1.9456572532653809
16, 73, 0.7653342465753428, [90; 58; 65; 19; 10; 86; 41; 66; 77; 35; 93; 69; 73; 88; 36; 7; 38; 94; 22; 53; 29; 97; 72; 74; 26; 63; 60; 82; 99; 42; 17; 21; 28; 44; 50; 85; 25; 89; 34; 68; 80; 33; 84; 51; 83; 57; 13; 46; 49; 95; 64; 81; 24; 2; 27; 5; 87; 37; 31; 47; 54; 75; 76; 96; 40; 16; 52; 0; 45; 67; 39; 55; 23; 98; 43; 92; 48; 71; 70; 11; 18; 9; 12; 1; 15; 30; 8; 6; 56; 20; 61; 78; 59; 79; 14; 91; 32; 4; 3; 62], [[90; 58]; [65]; [19]; [10]; [86; 41]; [66; 77]; [35; 93]; [69; 73]; [88; 36]; [7]; [38; 94]; [22]; [53]; [29; 97]; [72; 74]; [26]; [63]; [60; 82]; [99; 42]; [17]; [21]; [28]; [44]; [50; 85]; [25]; [89; 34]; [68; 80]; [33]; [84; 51]; [83; 57]; [13]; [46]; [49; 95]; [64; 81]; [24]; [2]; [27]; [5]; [87; 37]; [31]; [47]; [54]; [75; 76]; [96; 40]; [16]; [52]; [0]; [45]; [67]; [39]; [55]; [23]; [98; 43]; [92; 48]; [71; 70]; [11]; [18]; [9]; [12]; [1]; [15]; [30]; [8]; [6]; [56]; [20]; [61; 78]; [59; 79]; [14]; [91; 32]; [4]; [3]; [62]], [8900; 5600; 8700; 9200; 9900; 10000; 9500; 9900; 10000; 9400; 9400; 8400; 6400; 9900; 9600; 8100; 5700; 9800; 9000; 8800; 8500; 7900; 6800; 10000; 8300; 10000; 9200; 7600; 10000; 10000; 9000; 6700; 8700; 9500; 8300; 9900; 8000; 9700; 10000; 7700; 6700; 6400; 9400; 9300; 8900; 6400; 9900; 6800; 5400; 7200; 6300; 8300; 9000; 8700; 9900; 9100; 8700; 9200; 9100; 9900; 9000; 7800; 9200; 9500; 6300; 8600; 10000; 10000; 9000; 10000; 9700; 9900; 5800], 79200, 79201, 2.8353333473205566
11, 73, 0.7648410958904113, [21; 0; 3; 93; 37; 35; 12; 22; 29; 94; 52; 91; 17; 86; 46; 13; 49; 41; 1; 25; 96; 57; 95; 92; 65; 89; 43; 98; 27; 71; 81; 78; 61; 97; 28; 77; 66; 33; 53; 59; 83; 11; 26; 48; 85; 40; 54; 58; 62; 80; 51; 32; 99; 70; 74; 14; 36; 88; 64; 50; 9; 24; 30; 31; 16; 82; 60; 15; 68; 75; 23; 42; 73; 72; 34; 69; 76; 8; 6; 19; 2; 44; 7; 87; 39; 18; 79; 63; 47; 84; 55; 45; 90; 4; 67; 20; 56; 38; 10; 5], [[21]; [0]; [3]; [93; 37]; [35]; [12]; [22]; [29; 94]; [52; 91]; [17]; [86; 46]; [13]; [49]; [41]; [1]; [25]; [96; 57]; [95; 92; 65]; [89; 43]; [98; 27]; [71; 81]; [78; 61]; [97; 28]; [77; 66]; [33]; [53]; [59; 83]; [11]; [26]; [48; 85]; [40]; [54]; [58]; [62; 80]; [51]; [32; 99]; [70; 74]; [14]; [36; 88]; [64]; [50]; [9]; [24]; [30]; [31]; [16]; [82; 60]; [15]; [68; 75]; [23]; [42]; [73; 72]; [34]; [69; 76]; [8]; [6]; [19]; [2]; [44]; [7]; [87; 39]; [18]; [79; 63]; [47]; [84; 55]; [45; 90]; [4]; [67]; [20]; [56]; [38]; [10]; [5]], [8500; 9900; 9900; 9400; 7300; 9100; 8400; 10000; 8800; 8800; 9600; 9000; 6500; 7000; 9900; 8300; 8500; 10000; 9600; 10000; 8700; 10000; 10000; 10000; 7600; 6400; 9800; 9100; 8100; 10000; 7100; 6400; 6300; 9700; 6400; 9600; 9800; 9000; 10000; 5700; 6500; 9200; 8300; 7800; 7700; 8900; 9800; 9000; 10000; 8300; 7000; 9600; 7400; 9800; 9200; 9500; 8700; 9900; 6800; 9400; 10000; 8700; 9600; 6700; 9900; 9400; 9700; 5400; 8600; 6300; 7200; 9200; 9700], 54450, 54451, 1.9288427829742432
14, 73, 0.7655452054794523, [46; 80; 60; 76; 71; 10; 58; 86; 5; 43; 32; 2; 92; 37; 88; 45; 11; 53; 93; 15; 14; 33; 56; 83; 8; 4; 35; 82; 64; 57; 34; 90; 16; 59; 79; 13; 21; 55; 18; 17; 47; 40; 87; 24; 54; 84; 3; 99; 39; 12; 26; 89; 44; 29; 94; 23; 68; 75; 20; 48; 7; 52; 49; 51; 77; 66; 22; 6; 61; 81; 72; 62; 97; 98; 19; 42; 9; 95; 31; 0; 25; 69; 74; 27; 65; 41; 91; 30; 28; 36; 96; 38; 78; 67; 1; 63; 70; 73; 50; 85], [[46]; [80; 60]; [76; 71]; [10]; [58; 86]; [5]; [43]; [32]; [2]; [92; 37]; [88; 45]; [11]; [53; 93]; [15]; [14]; [33]; [56; 83]; [8]; [4]; [35]; [82; 64]; [57]; [34; 90]; [16]; [59; 79]; [13]; [21]; [55]; [18]; [17]; [47]; [40; 87]; [24]; [54; 84]; [3]; [99; 39]; [12]; [26]; [89; 44]; [29; 94]; [23]; [68; 75]; [20]; [48]; [7]; [52]; [49]; [51]; [77; 66]; [22]; [6]; [61; 81]; [72]; [62; 97; 98]; [19]; [42]; [9]; [95; 31]; [0]; [25]; [69; 74]; [27]; [65]; [41; 91]; [30]; [28]; [36; 96]; [38]; [78; 67]; [1]; [63]; [70; 73]; [50; 85]], [6700; 9900; 9600; 9200; 9200; 9700; 7000; 7600; 9900; 9400; 9500; 9100; 8600; 9000; 9000; 7600; 10000; 9200; 9700; 7300; 9500; 6300; 10000; 8900; 10000; 9000; 8500; 6300; 8700; 8800; 6700; 9900; 8300; 10000; 9900; 9200; 9100; 8100; 9400; 10000; 8300; 10000; 8600; 6500; 9400; 6400; 6500; 6400; 10000; 8400; 9500; 9700; 4800; 9900; 8700; 7000; 9200; 9900; 9900; 8300; 9900; 8000; 5600; 9400; 7800; 7900; 9500; 7200; 9500; 9900; 5700; 9800; 10000], 69300, 69301, 2.5034310817718506
13, 73, 0.7656739726027398, [31; 51; 40; 86; 89; 34; 77; 66; 23; 35; 18; 71; 70; 11; 30; 48; 85; 98; 53; 29; 27; 25; 21; 4; 82; 60; 44; 87; 13; 92; 63; 97; 67; 0; 93; 36; 56; 64; 79; 47; 94; 61; 78; 16; 50; 9; 20; 5; 32; 91; 49; 14; 22; 75; 73; 10; 58; 57; 15; 83; 55; 95; 42; 46; 72; 69; 26; 84; 54; 19; 8; 2; 88; 38; 28; 99; 6; 80; 62; 3; 76; 68; 7; 39; 90; 1; 17; 81; 59; 12; 96; 65; 24; 33; 41; 45; 43; 37; 74; 52], [[31]; [51]; [40; 86]; [89; 34]; [77; 66]; [23]; [35]; [18]; [71; 70]; [11]; [30]; [48; 85]; [98; 53]; [29]; [27]; [25]; [21]; [4]; [82; 60]; [44; 87]; [13]; [92; 63; 97]; [67]; [0]; [93; 36]; [56]; [64; 79]; [47; 94]; [61; 78]; [16]; [50]; [9]; [20]; [5]; [32; 91]; [49]; [14]; [22]; [75; 73]; [10]; [58]; [57]; [15]; [83; 55]; [95; 42]; [46]; [72; 69]; [26]; [84; 54]; [19]; [8]; [2]; [88; 38]; [28; 99]; [6]; [80; 62]; [3]; [76; 68]; [7]; [39; 90]; [1]; [17]; [81; 59]; [12]; [96; 65]; [24]; [33]; [41]; [45]; [43]; [37]; [74]; [52]], [7700; 6400; 10000; 10000; 10000; 8300; 7300; 8700; 9900; 9100; 7800; 10000; 8400; 7800; 8000; 8300; 8500; 9700; 9800; 9600; 9000; 10000; 5400; 9900; 9500; 6300; 9600; 8900; 10000; 8900; 6500; 9200; 8600; 9700; 10000; 6500; 9000; 8400; 9500; 9200; 6300; 6300; 9000; 10000; 9200; 6700; 9900; 8100; 10000; 8700; 9200; 9900; 9900; 9900; 9500; 9700; 9900; 10000; 9400; 9800; 9900; 8800; 9900; 9100; 7800; 8300; 7600; 7000; 6800; 7000; 7200; 4800; 6400], 64350, 64351, 2.275646924972534
12, 73, 0.7654849315068495, [24; 91; 45; 69; 71; 83; 63; 11; 44; 10; 9; 32; 8; 19; 93; 52; 15; 80; 59; 23; 2; 35; 3; 76; 74; 51; 42; 39; 90; 79; 60; 50; 68; 75; 17; 55; 31; 0; 16; 87; 37; 62; 64; 81; 21; 57; 84; 4; 61; 78; 30; 97; 49; 85; 48; 95; 38; 88; 66; 72; 73; 26; 12; 6; 53; 25; 56; 18; 33; 70; 77; 96; 29; 98; 27; 22; 47; 13; 86; 40; 65; 14; 58; 92; 7; 36; 89; 41; 20; 1; 67; 82; 43; 34; 94; 46; 28; 99; 5; 54], [[24]; [91; 45]; [69; 71]; [83; 63]; [11]; [44]; [10]; [9]; [32]; [8]; [19]; [93; 52]; [15]; [80; 59]; [23]; [2]; [35]; [3]; [76; 74]; [51]; [42]; [39; 90]; [79; 60]; [50]; [68; 75]; [17]; [55]; [31]; [0]; [16]; [87; 37]; [62]; [64; 81]; [21]; [57; 84]; [4]; [61; 78]; [30; 97]; [49; 85]; [48; 95]; [38; 88]; [66]; [72; 73]; [26]; [12]; [6]; [53]; [25]; [56]; [18]; [33]; [70; 77]; [96; 29]; [98; 27]; [22]; [47]; [13]; [86; 40]; [65]; [14]; [58; 92]; [7]; [36; 89]; [41]; [20]; [1]; [67; 82]; [43]; [34; 94]; [46]; [28; 99]; [5]; [54]], [8300; 9200; 10000; 9400; 9100; 6800; 9200; 9200; 7600; 9200; 8700; 8600; 9000; 10000; 8300; 9900; 7300; 9900; 9500; 6400; 7000; 9800; 9900; 6500; 10000; 8800; 6300; 7700; 9900; 8900; 10000; 5800; 9500; 8500; 9900; 9700; 10000; 9900; 10000; 8700; 9900; 5500; 9600; 8100; 9100; 9500; 6400; 8300; 6300; 8700; 7600; 9500; 10000; 10000; 8400; 6700; 9000; 10000; 5600; 9000; 8500; 9400; 9900; 7000; 8600; 9900; 9200; 7000; 9600; 6700; 9900; 9700; 6400], 59400, 59401, 2.1082327365875244
