Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
30, 73, 0.7976438356164388, [60; 82; 10; 77; 88; 5; 43; 99; 14; 42; 66; 71; 33; 32; 0; 15; 6; 47; 96; 48; 36; 30; 63; 74; 70; 68; 53; 92; 18; 26; 41; 52; 90; 59; 83; 21; 27; 44; 98; 95; 46; 91; 51; 69; 73; 13; 8; 39; 4; 58; 78; 28; 20; 40; 29; 24; 17; 67; 72; 37; 65; 75; 25; 94; 45; 97; 11; 62; 89; 87; 86; 56; 81; 35; 49; 19; 12; 80; 55; 3; 7; 2; 31; 76; 64; 23; 79; 57; 61; 84; 1; 50; 93; 85; 54; 38; 22; 9; 16; 34], [[60; 82]; [10]; [77; 88]; [5]; [43; 99]; [14]; [42]; [66; 71]; [33]; [32]; [0]; [15]; [6]; [47; 96]; [48]; [36]; [30]; [63; 74]; [70; 68]; [53; 92]; [18]; [26]; [41]; [52; 90]; [59; 83]; [21]; [27]; [44; 98]; [95; 46]; [91; 51]; [69; 73]; [13]; [8]; [39]; [4]; [58; 78]; [28]; [20]; [40]; [29]; [24]; [17]; [67; 72]; [37]; [65; 75]; [25]; [94]; [45; 97]; [11]; [62; 89]; [87; 86]; [56; 81]; [35]; [49]; [19]; [12]; [80; 55]; [3]; [7]; [2]; [31]; [76; 64]; [23]; [79; 57]; [61; 84]; [1]; [50; 93]; [85; 54]; [38]; [22]; [9]; [16]; [34]], [9500; 9300; 8300; 9600; 10000; 9000; 7000; 10000; 7800; 7900; 10000; 9000; 9400; 9900; 6600; 7600; 7900; 10000; 10000; 10000; 8900; 8000; 7100; 10000; 9500; 8300; 8000; 10000; 10000; 10000; 9800; 9100; 9400; 7300; 9600; 10000; 8000; 8800; 7300; 7900; 8200; 8900; 9900; 7400; 9900; 8100; 3600; 10000; 9300; 9400; 7600; 9900; 7800; 6500; 8800; 9200; 10000; 9600; 9400; 9700; 7900; 9900; 8200; 10000; 9500; 9900; 10000; 10000; 7400; 8300; 9300; 9000; 7800], 153450, 153451, 6.8458216190338135
30, 73, 0.7976438356164388, [21; 40; 47; 97; 9; 92; 51; 93; 0; 57; 81; 10; 29; 14; 78; 58; 53; 90; 85; 77; 23; 36; 70; 67; 52; 91; 32; 56; 79; 27; 13; 18; 45; 96; 74; 64; 42; 87; 86; 33; 3; 49; 55; 80; 7; 59; 83; 31; 44; 99; 24; 16; 39; 22; 26; 11; 17; 48; 15; 12; 43; 98; 20; 28; 38; 37; 88; 54; 62; 82; 4; 50; 94; 84; 60; 41; 68; 71; 35; 66; 73; 69; 72; 2; 19; 46; 95; 8; 30; 6; 25; 1; 5; 34; 61; 89; 63; 75; 65; 76], [[21]; [40]; [47; 97]; [9]; [92; 51]; [93]; [0]; [57; 81]; [10]; [29]; [14]; [78; 58]; [53; 90]; [85; 77]; [23]; [36]; [70; 67]; [52; 91]; [32]; [56; 79]; [27]; [13]; [18]; [45; 96]; [74; 64]; [42]; [87; 86]; [33]; [3]; [49]; [55; 80]; [7]; [59; 83]; [31]; [44; 99]; [24]; [16]; [39]; [22]; [26]; [11]; [17]; [48]; [15]; [12]; [43; 98]; [20]; [28]; [38]; [37]; [88; 54]; [62; 82]; [4]; [50; 94]; [84; 60]; [41]; [68; 71]; [35]; [66; 73]; [69; 72]; [2]; [19]; [46; 95]; [8]; [30]; [6]; [25]; [1]; [5]; [34]; [61; 89]; [63; 75]; [65; 76]], [8300; 7300; 9900; 9300; 10000; 3600; 10000; 9900; 9300; 7900; 9000; 10000; 10000; 8300; 8200; 7600; 10000; 10000; 7900; 10000; 8000; 9100; 8900; 10000; 10000; 7000; 7600; 7800; 9600; 6500; 10000; 9400; 9500; 7900; 10000; 8200; 9000; 7300; 8300; 8000; 9300; 8900; 6600; 9000; 9200; 10000; 8800; 8000; 7400; 7400; 10000; 9500; 9600; 10000; 9500; 7100; 9900; 7800; 10000; 9800; 9700; 8800; 10000; 9400; 7900; 9400; 8100; 9900; 9600; 7800; 9400; 9900; 9900], 153450, 153451, 5.337692737579346
26, 73, 0.7948410958904115, [36; 11; 40; 95; 47; 5; 86; 59; 97; 45; 10; 67; 72; 32; 80; 57; 7; 34; 19; 33; 20; 37; 51; 91; 88; 77; 29; 3; 21; 49; 6; 4; 39; 53; 93; 18; 38; 15; 22; 48; 74; 64; 2; 85; 89; 73; 66; 46; 81; 55; 61; 82; 41; 17; 70; 68; 35; 58; 78; 24; 43; 98; 26; 8; 28; 92; 99; 96; 44; 54; 87; 83; 60; 94; 50; 27; 52; 90; 0; 13; 23; 16; 30; 56; 79; 42; 76; 65; 75; 63; 69; 71; 25; 84; 62; 14; 12; 9; 1; 31], [[36]; [11]; [40]; [95; 47]; [5]; [86; 59]; [97; 45]; [10]; [67; 72]; [32]; [80; 57]; [7]; [34]; [19]; [33]; [20]; [37]; [51; 91]; [88; 77]; [29]; [3]; [21]; [49]; [6]; [4]; [39]; [53; 93]; [18]; [38]; [15]; [22]; [48]; [74; 64]; [2]; [85; 89]; [73; 66]; [46]; [81; 55]; [61; 82]; [41]; [17]; [70; 68]; [35]; [58; 78]; [24]; [43; 98]; [26]; [8]; [28]; [92; 99; 96]; [44]; [54; 87]; [83; 60]; [94; 50]; [27]; [52; 90]; [0]; [13]; [23]; [16]; [30]; [56; 79]; [42]; [76; 65]; [75; 63]; [69; 71]; [25]; [84; 62]; [14]; [12]; [9]; [1]; [31]], [7600; 9300; 7300; 10000; 9600; 9400; 10000; 9300; 9900; 7900; 9900; 9400; 7800; 8800; 7800; 8800; 7400; 10000; 8300; 7900; 9600; 8300; 6500; 9400; 9600; 7300; 9900; 8900; 7400; 9000; 8300; 6600; 10000; 9700; 7600; 10000; 6700; 10000; 9500; 7100; 8900; 10000; 7800; 10000; 8200; 10000; 8000; 9400; 8000; 10000; 6900; 10000; 9500; 10000; 8000; 10000; 10000; 9100; 8200; 9000; 7900; 10000; 7000; 9900; 9900; 9800; 8100; 9500; 9000; 9200; 9300; 9900; 7900], 133650, 133651, 4.6377341747283936
28, 73, 0.7976438356164388, [21; 19; 88; 77; 94; 50; 56; 80; 55; 81; 54; 86; 68; 70; 73; 66; 20; 74; 64; 57; 79; 0; 13; 82; 62; 69; 71; 89; 60; 36; 5; 72; 67; 17; 9; 30; 38; 76; 65; 23; 49; 75; 63; 3; 15; 22; 46; 95; 27; 47; 96; 59; 84; 48; 85; 87; 39; 99; 43; 61; 83; 2; 16; 26; 12; 14; 34; 42; 6; 93; 31; 33; 78; 58; 29; 91; 53; 37; 8; 32; 45; 97; 41; 28; 7; 11; 10; 25; 40; 1; 52; 90; 44; 98; 4; 51; 92; 18; 35; 24], [[21]; [19]; [88; 77]; [94; 50]; [56; 80]; [55; 81]; [54; 86]; [68; 70]; [73; 66]; [20]; [74; 64]; [57; 79]; [0]; [13]; [82; 62]; [69; 71]; [89; 60]; [36]; [5]; [72; 67]; [17]; [9]; [30]; [38]; [76; 65]; [23]; [49]; [75; 63]; [3]; [15]; [22]; [46; 95]; [27]; [47; 96]; [59; 84]; [48]; [85; 87]; [39]; [99; 43]; [61; 83]; [2]; [16]; [26]; [12]; [14]; [34]; [42]; [6]; [93]; [31]; [33]; [78; 58]; [29]; [91; 53]; [37]; [8]; [32]; [45; 97]; [41]; [28]; [7]; [11]; [10]; [25]; [40]; [1]; [52; 90]; [44; 98]; [4]; [51; 92]; [18]; [35]; [24]], [8300; 8800; 8300; 10000; 9900; 10000; 10000; 10000; 10000; 8800; 10000; 10000; 10000; 9100; 9500; 9800; 9400; 7600; 9600; 9900; 8900; 9300; 7900; 7400; 9900; 8200; 6500; 9900; 9600; 9000; 8300; 10000; 8000; 9900; 9500; 6600; 7600; 7300; 10000; 9500; 9700; 9000; 8000; 9200; 9000; 7800; 7000; 9400; 3600; 7900; 7800; 10000; 7900; 10000; 7400; 9400; 7900; 10000; 7100; 8000; 9400; 9300; 9300; 8100; 7300; 9900; 10000; 10000; 9600; 10000; 8900; 7800; 8200], 143550, 143551, 5.051568984985352
27, 73, 0.7976438356164388, [56; 79; 9; 78; 58; 29; 36; 16; 70; 68; 38; 15; 33; 77; 85; 32; 22; 46; 96; 61; 84; 35; 71; 66; 53; 91; 10; 55; 81; 69; 72; 75; 63; 26; 4; 19; 21; 39; 73; 67; 6; 5; 14; 3; 43; 98; 88; 89; 34; 12; 65; 76; 64; 74; 13; 83; 59; 37; 40; 47; 95; 87; 60; 45; 97; 99; 44; 7; 92; 52; 51; 90; 23; 42; 48; 49; 50; 93; 31; 82; 62; 25; 27; 2; 28; 0; 18; 80; 57; 30; 8; 17; 11; 41; 20; 54; 86; 1; 94; 24], [[56; 79]; [9]; [78; 58]; [29]; [36]; [16]; [70; 68]; [38]; [15]; [33]; [77; 85]; [32]; [22]; [46; 96]; [61; 84]; [35]; [71; 66]; [53; 91]; [10]; [55; 81]; [69; 72]; [75; 63]; [26]; [4]; [19]; [21]; [39]; [73; 67]; [6]; [5]; [14]; [3]; [43; 98]; [88; 89]; [34]; [12]; [65; 76]; [64; 74]; [13]; [83; 59]; [37]; [40]; [47; 95]; [87; 60]; [45; 97]; [99; 44]; [7]; [92; 52]; [51; 90]; [23]; [42]; [48]; [49]; [50; 93]; [31]; [82; 62]; [25]; [27]; [2]; [28]; [0]; [18]; [80; 57]; [30]; [8]; [17]; [11]; [41]; [20]; [54; 86]; [1]; [94]; [24]], [10000; 9300; 10000; 7900; 7600; 9000; 10000; 7400; 9000; 7800; 8300; 7900; 8300; 9900; 9500; 7800; 10000; 10000; 9300; 10000; 9800; 9900; 8000; 9600; 8800; 8300; 7300; 9900; 9400; 9600; 9000; 9600; 10000; 7600; 7800; 9200; 9900; 10000; 9100; 9500; 7400; 7300; 10000; 9400; 10000; 10000; 9400; 10000; 10000; 8200; 7000; 6600; 6500; 10000; 7900; 9500; 8100; 8000; 9700; 8000; 10000; 8900; 9900; 7900; 9400; 8900; 9300; 7100; 8800; 10000; 9900; 3600; 8200], 138600, 138601, 4.8225486278533936
30, 73, 0.7976438356164388, [28; 19; 59; 84; 32; 25; 22; 53; 92; 40; 16; 58; 78; 31; 48; 9; 79; 57; 36; 3; 29; 67; 70; 13; 34; 4; 49; 0; 41; 33; 62; 82; 71; 66; 8; 51; 90; 91; 52; 18; 24; 88; 77; 74; 63; 15; 47; 95; 5; 17; 46; 97; 99; 43; 64; 75; 14; 21; 86; 54; 7; 2; 42; 87; 61; 11; 12; 1; 38; 10; 69; 73; 55; 81; 60; 83; 39; 6; 35; 72; 68; 37; 44; 98; 27; 94; 50; 96; 45; 76; 65; 93; 30; 56; 80; 26; 23; 85; 89; 20], [[28]; [19]; [59; 84]; [32]; [25]; [22]; [53; 92]; [40]; [16]; [58; 78]; [31]; [48]; [9]; [79; 57]; [36]; [3]; [29]; [67; 70]; [13]; [34]; [4]; [49]; [0]; [41]; [33]; [62; 82]; [71; 66]; [8]; [51; 90]; [91; 52]; [18]; [24]; [88; 77]; [74; 63]; [15]; [47; 95]; [5]; [17]; [46; 97]; [99; 43]; [64; 75]; [14]; [21]; [86; 54]; [7]; [2]; [42]; [87; 61]; [11]; [12]; [1]; [38]; [10]; [69; 73]; [55; 81]; [60; 83]; [39]; [6]; [35]; [72; 68]; [37]; [44; 98]; [27]; [94; 50]; [96; 45]; [76; 65]; [93]; [30]; [56; 80]; [26]; [23]; [85; 89]; [20]], [8000; 8800; 9500; 7900; 8100; 8300; 10000; 7300; 9000; 10000; 7900; 6600; 9300; 10000; 7600; 9600; 7900; 10000; 9100; 7800; 9600; 6500; 10000; 7100; 7800; 9500; 10000; 9400; 10000; 10000; 8900; 8200; 8300; 10000; 9000; 10000; 9600; 8900; 9900; 10000; 9900; 9000; 8300; 10000; 9400; 9700; 7000; 9400; 9300; 9200; 9900; 7400; 9300; 9800; 10000; 9500; 7300; 9400; 7800; 9900; 7400; 10000; 8000; 10000; 10000; 9900; 3600; 7900; 9900; 8000; 8200; 7600; 8800], 153450, 153451, 5.3341405391693115
31, 73, 0.7976438356164388, [26; 18; 41; 37; 8; 43; 98; 21; 83; 61; 14; 77; 89; 25; 31; 32; 1; 56; 81; 27; 4; 39; 29; 79; 57; 42; 20; 3; 44; 99; 97; 45; 71; 66; 7; 40; 74; 65; 15; 93; 50; 6; 92; 51; 36; 75; 64; 0; 38; 17; 88; 86; 80; 55; 53; 91; 94; 33; 72; 69; 59; 82; 23; 13; 78; 58; 73; 68; 5; 48; 12; 46; 95; 49; 62; 84; 19; 30; 28; 63; 76; 67; 70; 60; 87; 47; 96; 10; 22; 2; 34; 54; 85; 90; 52; 11; 16; 35; 9; 24], [[26]; [18]; [41]; [37]; [8]; [43; 98]; [21]; [83; 61]; [14]; [77; 89]; [25]; [31]; [32]; [1]; [56; 81]; [27]; [4]; [39]; [29]; [79; 57]; [42]; [20]; [3]; [44; 99]; [97; 45]; [71; 66]; [7]; [40]; [74; 65]; [15]; [93; 50]; [6]; [92; 51]; [36]; [75; 64]; [0]; [38]; [17]; [88; 86]; [80; 55]; [53; 91]; [94]; [33]; [72; 69]; [59; 82]; [23]; [13]; [78; 58]; [73; 68]; [5]; [48]; [12]; [46; 95]; [49]; [62; 84]; [19]; [30]; [28]; [63; 76]; [67; 70]; [60; 87]; [47; 96]; [10]; [22]; [2]; [34]; [54; 85]; [90; 52]; [11]; [16]; [35]; [9]; [24]], [8000; 8900; 7100; 7400; 9400; 10000; 8300; 9500; 9000; 8300; 8100; 7900; 7900; 9900; 9900; 8000; 9600; 7300; 7900; 10000; 7000; 8800; 9600; 10000; 10000; 10000; 9400; 7300; 10000; 9000; 10000; 9400; 10000; 7600; 9900; 10000; 7400; 8900; 7600; 10000; 10000; 3600; 7800; 9800; 9500; 8200; 9100; 10000; 9900; 9600; 6600; 9200; 10000; 6500; 9500; 8800; 7900; 8000; 9900; 10000; 9400; 9900; 9300; 8300; 9700; 7800; 10000; 10000; 9300; 9000; 7800; 9300; 8200], 158400, 158401, 5.480026006698608
27, 73, 0.7976438356164388, [27; 35; 10; 95; 46; 23; 84; 59; 90; 51; 94; 9; 12; 37; 65; 76; 20; 21; 5; 11; 40; 64; 75; 16; 52; 91; 42; 58; 78; 54; 86; 19; 3; 18; 89; 77; 22; 28; 41; 8; 44; 98; 39; 74; 63; 1; 83; 62; 99; 43; 36; 17; 4; 81; 56; 2; 87; 85; 31; 97; 47; 30; 73; 68; 66; 72; 38; 61; 88; 25; 14; 82; 60; 50; 93; 26; 80; 55; 29; 69; 71; 96; 45; 48; 92; 53; 33; 6; 79; 57; 15; 7; 49; 32; 13; 34; 24; 0; 70; 67], [[27]; [35]; [10]; [95; 46]; [23]; [84; 59]; [90; 51]; [94]; [9]; [12]; [37]; [65; 76]; [20]; [21]; [5]; [11]; [40]; [64; 75]; [16]; [52; 91]; [42]; [58; 78]; [54; 86]; [19]; [3]; [18]; [89; 77]; [22]; [28]; [41]; [8]; [44; 98]; [39]; [74; 63]; [1]; [83; 62]; [99; 43]; [36]; [17]; [4]; [81; 56]; [2]; [87; 85]; [31]; [97; 47]; [30]; [73; 68]; [66; 72]; [38]; [61; 88]; [25]; [14]; [82; 60]; [50; 93]; [26]; [80; 55]; [29]; [69; 71]; [96; 45]; [48]; [92; 53]; [33]; [6]; [79; 57]; [15]; [7]; [49]; [32]; [13]; [34]; [24]; [0]; [70; 67]], [8000; 7800; 9300; 10000; 8200; 9500; 10000; 3600; 9300; 9200; 7400; 9900; 8800; 8300; 9600; 9300; 7300; 9900; 9000; 10000; 7000; 10000; 10000; 8800; 9600; 8900; 8300; 8300; 8000; 7100; 9400; 10000; 7300; 10000; 9900; 9500; 10000; 7600; 8900; 9600; 9900; 9700; 7600; 7900; 9900; 7900; 9900; 10000; 7400; 9400; 8100; 9000; 9500; 10000; 8000; 10000; 7900; 9800; 10000; 6600; 10000; 7800; 9400; 10000; 9000; 9400; 6500; 7900; 9100; 7800; 8200; 10000; 10000], 138600, 138601, 4.838346004486084
25, 73, 0.7976438356164388, [36; 21; 30; 84; 59; 28; 44; 99; 75; 64; 86; 77; 85; 54; 62; 82; 14; 40; 2; 41; 35; 32; 5; 0; 89; 87; 11; 18; 50; 94; 1; 17; 79; 57; 91; 53; 81; 56; 49; 24; 12; 26; 80; 55; 4; 88; 60; 39; 22; 58; 78; 73; 66; 42; 33; 43; 98; 52; 90; 27; 8; 93; 16; 10; 31; 97; 45; 83; 61; 3; 9; 72; 69; 65; 74; 13; 95; 47; 23; 67; 70; 25; 48; 68; 71; 29; 7; 37; 38; 20; 51; 92; 34; 19; 15; 63; 76; 6; 46; 96], [[36]; [21]; [30]; [84; 59]; [28]; [44; 99]; [75; 64]; [86; 77]; [85; 54]; [62; 82]; [14]; [40]; [2]; [41]; [35]; [32]; [5]; [0]; [89; 87]; [11]; [18]; [50; 94]; [1]; [17]; [79; 57]; [91; 53]; [81; 56]; [49]; [24]; [12]; [26]; [80; 55]; [4]; [88; 60]; [39]; [22]; [58; 78]; [73; 66]; [42]; [33]; [43; 98]; [52; 90]; [27]; [8]; [93]; [16]; [10]; [31]; [97; 45]; [83; 61]; [3]; [9]; [72; 69]; [65; 74]; [13]; [95; 47]; [23]; [67; 70]; [25]; [48]; [68; 71]; [29]; [7]; [37]; [38]; [20]; [51; 92]; [34]; [19]; [15]; [63; 76]; [6]; [46; 96]], [7600; 8300; 7900; 9500; 8000; 10000; 9900; 8300; 10000; 9500; 9000; 7300; 9700; 7100; 7800; 7900; 9600; 10000; 7600; 9300; 8900; 10000; 9900; 8900; 10000; 10000; 9900; 6500; 8200; 9200; 8000; 10000; 9600; 9400; 7300; 8300; 10000; 10000; 7000; 7800; 10000; 10000; 8000; 9400; 3600; 9000; 9300; 7900; 10000; 9500; 9600; 9300; 9800; 10000; 9100; 10000; 8200; 10000; 8100; 6600; 9900; 7900; 9400; 7400; 7400; 8800; 10000; 7800; 8800; 9000; 9900; 9400; 9900], 128700, 128701, 4.4700398445129395
30, 73, 0.797643835616439, [45; 97; 6; 62; 83; 11; 36; 25; 13; 22; 70; 68; 29; 5; 58; 78; 98; 43; 4; 41; 73; 67; 30; 57; 81; 46; 96; 18; 2; 3; 49; 93; 50; 64; 74; 79; 56; 75; 63; 99; 44; 40; 85; 77; 0; 84; 59; 86; 87; 20; 21; 69; 72; 39; 48; 17; 92; 51; 19; 82; 60; 8; 76; 65; 61; 88; 16; 32; 52; 91; 94; 12; 35; 26; 7; 23; 37; 14; 31; 24; 34; 95; 47; 1; 38; 90; 53; 9; 54; 89; 28; 55; 80; 71; 66; 33; 15; 10; 42; 27], [[45; 97]; [6]; [62; 83]; [11]; [36]; [25]; [13]; [22]; [70; 68]; [29]; [5]; [58; 78]; [98; 43]; [4]; [41]; [73; 67]; [30]; [57; 81]; [46; 96]; [18]; [2]; [3]; [49]; [93; 50]; [64; 74]; [79; 56]; [75; 63]; [99; 44]; [40]; [85; 77]; [0]; [84; 59]; [86; 87]; [20]; [21]; [69; 72]; [39]; [48]; [17]; [92; 51]; [19]; [82; 60]; [8]; [76; 65]; [61; 88]; [16]; [32]; [52; 91]; [94]; [12]; [35]; [26]; [7]; [23]; [37]; [14]; [31]; [24]; [34]; [95; 47]; [1]; [38]; [90; 53]; [9]; [54; 89]; [28]; [55; 80]; [71; 66]; [33]; [15]; [10]; [42]; [27]], [10000; 9400; 9500; 9300; 7600; 8100; 9100; 8300; 10000; 7900; 9600; 10000; 10000; 9600; 7100; 9900; 7900; 9900; 9900; 8900; 9700; 9600; 6500; 10000; 10000; 10000; 9900; 10000; 7300; 8300; 10000; 9500; 7600; 8800; 8300; 9800; 7300; 6600; 8900; 10000; 8800; 9500; 9400; 9900; 9400; 9000; 7900; 10000; 3600; 9200; 7800; 8000; 9400; 8200; 7400; 9000; 7900; 8200; 7800; 10000; 9900; 7400; 10000; 9300; 10000; 8000; 10000; 10000; 7800; 9000; 9300; 7000; 8000], 153450, 153451, 5.332274675369263
