Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
35, 71, 0.8065478873239441, [12; 73; 57; 47; 86; 83; 49; 67; 66; 68; 69; 41; 54; 79; 38; 87; 97; 90; 24; 59; 75; 51; 81; 37; 61; 76; 20; 15; 6; 89; 45; 46; 94; 50; 80; 33; 11; 23; 85; 96; 98; 36; 25; 21; 10; 9; 58; 72; 14; 35; 32; 13; 70; 65; 4; 92; 53; 17; 2; 93; 62; 48; 82; 26; 3; 55; 78; 40; 18; 16; 29; 19; 63; 91; 5; 64; 71; 42; 99; 34; 27; 39; 30; 8; 77; 60; 31; 7; 84; 52; 88; 44; 95; 0; 43; 74; 56; 22; 28; 1], [[12]; [73; 57]; [47; 86]; [83; 49]; [67; 66]; [68; 69]; [41]; [54; 79]; [38]; [87; 97; 90]; [24]; [59; 75]; [51; 81]; [37]; [61; 76]; [20]; [15]; [6]; [89; 45]; [46; 94]; [50; 80]; [33]; [11]; [23]; [85; 96; 98]; [36]; [25]; [21]; [10]; [9]; [58; 72]; [14]; [35]; [32]; [13]; [70; 65]; [4]; [92; 53]; [17]; [2]; [93; 62]; [48; 82]; [26]; [3]; [55; 78]; [40]; [18]; [16]; [29]; [19]; [63; 91]; [5]; [64; 71]; [42; 99]; [34]; [27]; [39]; [30]; [8]; [77; 60]; [31]; [7]; [84; 52]; [88; 44]; [95]; [0]; [43]; [74; 56]; [22]; [28]; [1]], [9100; 10000; 9900; 10000; 10000; 9800; 7000; 10000; 7200; 10000; 8100; 10000; 10000; 7300; 9800; 8500; 8900; 9600; 9900; 9800; 10000; 7500; 9300; 8300; 10000; 7300; 8000; 8500; 9300; 9300; 10000; 8900; 7300; 7700; 8900; 10000; 9900; 9100; 8700; 9900; 8600; 10000; 8000; 9900; 10000; 7100; 8700; 8800; 7800; 8600; 8600; 9700; 10000; 10000; 7500; 7900; 7100; 7800; 9500; 9800; 7800; 9500; 9800; 10000; 3200; 10000; 6900; 10000; 8400; 7900; 10000], 178200, 178201, 7.7224671840667725
42, 71, 0.8065704225352116, [60; 76; 86; 52; 68; 69; 88; 44; 6; 13; 29; 1; 47; 85; 9; 39; 22; 55; 79; 37; 2; 27; 36; 62; 97; 31; 8; 66; 67; 40; 28; 72; 58; 94; 92; 89; 33; 12; 23; 20; 35; 61; 77; 75; 57; 95; 63; 80; 50; 71; 64; 48; 83; 16; 4; 14; 34; 15; 90; 87; 96; 30; 17; 38; 93; 45; 32; 78; 54; 0; 98; 3; 65; 70; 18; 7; 43; 53; 84; 99; 42; 41; 10; 59; 73; 82; 49; 11; 5; 19; 46; 91; 24; 26; 56; 74; 81; 51; 21; 25], [[60; 76]; [86; 52]; [68; 69]; [88; 44]; [6]; [13]; [29]; [1]; [47; 85]; [9]; [39]; [22]; [55; 79]; [37]; [2]; [27]; [36]; [62; 97]; [31]; [8]; [66; 67]; [40]; [28]; [72; 58]; [94; 92; 89]; [33]; [12]; [23]; [20]; [35]; [61; 77]; [75; 57]; [95; 63]; [80; 50]; [71; 64]; [48; 83]; [16]; [4]; [14]; [34]; [15]; [90; 87; 96]; [30]; [17]; [38]; [93; 45]; [32]; [78; 54]; [0]; [98]; [3]; [65; 70]; [18]; [7]; [43]; [53; 84]; [99; 42]; [41]; [10]; [59; 73]; [82; 49]; [11]; [5]; [19]; [46; 91]; [24]; [26]; [56; 74]; [81; 51]; [21]; [25]], [9800; 9400; 9800; 10000; 9600; 8900; 7800; 10000; 9900; 9300; 7100; 8400; 10000; 7300; 9900; 7900; 7300; 8500; 7800; 9500; 10000; 7100; 7900; 10000; 10000; 7500; 9100; 8300; 8500; 7300; 9800; 10000; 8500; 10000; 10000; 10000; 8800; 9900; 8900; 7500; 8900; 10000; 7800; 8700; 7200; 9800; 7700; 10000; 10000; 3200; 9900; 10000; 8700; 9500; 6900; 9800; 10000; 7000; 9300; 10000; 10000; 9300; 9700; 8600; 9800; 8100; 8000; 10000; 10000; 8500; 8000], 212850, 212851, 7.2870917320251465
39, 71, 0.8065873239436624, [65; 69; 57; 74; 52; 84; 68; 70; 28; 4; 32; 37; 22; 64; 71; 66; 67; 34; 0; 2; 35; 21; 55; 78; 60; 77; 51; 81; 40; 39; 6; 42; 99; 94; 93; 88; 48; 83; 75; 56; 3; 87; 45; 20; 11; 14; 36; 91; 46; 38; 8; 18; 54; 79; 89; 44; 97; 17; 90; 53; 13; 80; 50; 73; 58; 86; 98; 95; 5; 15; 26; 1; 61; 76; 96; 63; 25; 7; 30; 92; 62; 27; 43; 49; 82; 29; 59; 72; 10; 9; 19; 16; 24; 31; 33; 47; 85; 23; 41; 12], [[65; 69]; [57; 74]; [52; 84]; [68; 70]; [28]; [4]; [32]; [37]; [22]; [64; 71]; [66; 67]; [34]; [0]; [2]; [35]; [21]; [55; 78]; [60; 77]; [51; 81]; [40]; [39]; [6]; [42; 99]; [94; 93; 88]; [48; 83]; [75; 56]; [3]; [87; 45]; [20]; [11]; [14]; [36]; [91; 46]; [38]; [8]; [18]; [54; 79]; [89; 44]; [97]; [17]; [90; 53]; [13]; [80; 50]; [73; 58]; [86; 98; 95]; [5]; [15]; [26]; [1]; [61; 76]; [96; 63]; [25]; [7]; [30]; [92; 62]; [27]; [43]; [49; 82]; [29]; [59; 72]; [10]; [9]; [19]; [16]; [24]; [31]; [33]; [47; 85]; [23]; [41]; [12]], [10000; 10000; 9800; 9800; 7900; 9900; 7700; 7300; 8400; 10000; 10000; 7500; 10000; 9900; 7300; 8500; 10000; 9800; 10000; 7100; 7100; 9600; 10000; 10000; 10000; 10000; 9900; 10000; 8500; 9300; 8900; 7300; 9800; 7200; 9500; 8700; 10000; 10000; 3200; 8700; 9100; 8900; 10000; 10000; 10000; 9700; 8900; 8000; 10000; 9800; 8500; 8000; 9500; 7800; 8600; 7900; 6900; 10000; 7800; 10000; 9300; 9300; 8600; 8800; 8100; 7800; 7500; 9900; 8300; 7000; 9100], 198000, 198001, 6.7671427726745605
35, 71, 0.8065704225352117, [34; 33; 20; 11; 18; 66; 67; 21; 62; 98; 53; 86; 19; 80; 51; 0; 49; 82; 14; 6; 22; 35; 12; 77; 60; 3; 4; 1; 15; 73; 59; 92; 88; 93; 38; 85; 47; 83; 52; 27; 84; 48; 37; 23; 46; 90; 9; 44; 89; 36; 25; 39; 28; 65; 70; 30; 99; 42; 68; 69; 16; 5; 55; 79; 17; 58; 72; 13; 63; 97; 96; 24; 91; 45; 26; 61; 76; 8; 29; 87; 95; 94; 50; 81; 40; 43; 78; 54; 71; 64; 2; 7; 41; 31; 32; 57; 74; 10; 75; 56], [[34]; [33]; [20]; [11]; [18]; [66; 67]; [21]; [62; 98]; [53; 86]; [19]; [80; 51]; [0]; [49; 82]; [14]; [6]; [22]; [35]; [12]; [77; 60]; [3]; [4]; [1]; [15]; [73; 59]; [92; 88; 93]; [38]; [85; 47]; [83; 52]; [27]; [84; 48]; [37]; [23]; [46; 90]; [9]; [44; 89]; [36]; [25]; [39]; [28]; [65; 70]; [30]; [99; 42]; [68; 69]; [16]; [5]; [55; 79]; [17]; [58; 72]; [13]; [63; 97]; [96]; [24]; [91; 45]; [26]; [61; 76]; [8]; [29]; [87; 95; 94]; [50; 81]; [40]; [43]; [78; 54]; [71; 64]; [2]; [7]; [41]; [31]; [32]; [57; 74]; [10]; [75; 56]], [7500; 7500; 8500; 9300; 8700; 10000; 8500; 8500; 9400; 8600; 10000; 10000; 10000; 8900; 9600; 8400; 7300; 9100; 9800; 9900; 9900; 10000; 8900; 10000; 10000; 7200; 9900; 9800; 7900; 10000; 7300; 8300; 9800; 9300; 10000; 7300; 8000; 7100; 7900; 10000; 7800; 10000; 9800; 8800; 9700; 10000; 8700; 10000; 8900; 8500; 3200; 8100; 9800; 8000; 9800; 9500; 7800; 10000; 10000; 7100; 6900; 10000; 10000; 9900; 9500; 7000; 7800; 7700; 10000; 9300; 10000], 178200, 178201, 6.109269380569458
36, 71, 0.8065704225352118, [37; 86; 53; 20; 76; 61; 40; 33; 27; 43; 23; 38; 65; 69; 48; 83; 21; 36; 2; 16; 90; 95; 87; 24; 14; 49; 84; 11; 9; 70; 68; 6; 79; 54; 39; 28; 97; 62; 59; 75; 32; 22; 52; 82; 96; 63; 41; 99; 12; 15; 0; 35; 50; 81; 13; 26; 5; 98; 29; 66; 67; 72; 58; 19; 7; 77; 60; 25; 4; 92; 45; 78; 55; 56; 74; 1; 31; 10; 42; 17; 30; 85; 47; 91; 89; 93; 71; 64; 18; 46; 94; 3; 34; 88; 44; 73; 57; 51; 80; 8], [[37]; [86; 53]; [20]; [76; 61]; [40]; [33]; [27]; [43]; [23]; [38]; [65; 69]; [48; 83]; [21]; [36]; [2]; [16]; [90; 95; 87]; [24]; [14]; [49; 84]; [11]; [9]; [70; 68]; [6]; [79; 54]; [39]; [28]; [97; 62]; [59; 75]; [32]; [22]; [52; 82]; [96; 63]; [41; 99]; [12]; [15]; [0]; [35]; [50; 81]; [13]; [26]; [5]; [98]; [29]; [66; 67]; [72; 58]; [19]; [7]; [77; 60]; [25]; [4]; [92; 45]; [78; 55]; [56; 74]; [1]; [31]; [10]; [42]; [17]; [30]; [85; 47]; [91; 89; 93]; [71; 64]; [18]; [46; 94]; [3]; [34]; [88; 44]; [73; 57]; [51; 80]; [8]], [7300; 9400; 8500; 9800; 7100; 7500; 7900; 6900; 8300; 7200; 10000; 10000; 8500; 7300; 9900; 8800; 10000; 8100; 8900; 10000; 9300; 9300; 9800; 9600; 10000; 7100; 7900; 8500; 10000; 7700; 8400; 9800; 8500; 10000; 9100; 8900; 10000; 7300; 10000; 8900; 8000; 9700; 3200; 7800; 10000; 10000; 8600; 9500; 9800; 8000; 9900; 9800; 10000; 10000; 10000; 7800; 9300; 7000; 8700; 7800; 9900; 10000; 10000; 8700; 9800; 9900; 7500; 10000; 10000; 10000; 9500], 183150, 183151, 6.27179741859436
34, 71, 0.8065732394366201, [79; 55; 56; 75; 21; 37; 2; 53; 83; 36; 8; 20; 90; 89; 92; 61; 77; 26; 80; 51; 35; 3; 64; 71; 12; 87; 45; 27; 16; 48; 84; 49; 82; 93; 88; 91; 39; 81; 50; 59; 73; 70; 68; 28; 14; 54; 78; 38; 13; 23; 4; 1; 69; 65; 86; 52; 98; 46; 33; 9; 42; 10; 11; 24; 60; 76; 6; 57; 74; 40; 7; 97; 62; 19; 32; 72; 58; 96; 17; 31; 94; 44; 18; 22; 43; 29; 34; 66; 67; 30; 41; 99; 85; 47; 15; 25; 0; 95; 63; 5], [[79; 55]; [56; 75]; [21]; [37]; [2]; [53; 83]; [36]; [8]; [20]; [90; 89; 92]; [61; 77]; [26]; [80; 51]; [35]; [3]; [64; 71]; [12]; [87; 45]; [27]; [16]; [48; 84]; [49; 82]; [93; 88; 91]; [39]; [81; 50]; [59; 73]; [70; 68]; [28]; [14]; [54; 78]; [38]; [13]; [23]; [4]; [1]; [69; 65]; [86; 52]; [98; 46]; [33]; [9]; [42]; [10]; [11]; [24]; [60; 76]; [6]; [57; 74]; [40]; [7]; [97; 62]; [19]; [32]; [72; 58]; [96]; [17]; [31]; [94; 44]; [18]; [22]; [43]; [29]; [34]; [66; 67]; [30]; [41; 99]; [85; 47]; [15]; [25]; [0]; [95; 63]; [5]], [10000; 10000; 8500; 7300; 9900; 9800; 7300; 9500; 8500; 10000; 9800; 8000; 10000; 7300; 9900; 10000; 9100; 10000; 7900; 8800; 10000; 10000; 10000; 7100; 10000; 10000; 9800; 7900; 8900; 10000; 7200; 8900; 8300; 9900; 10000; 10000; 9400; 9700; 7500; 9300; 7000; 9300; 9300; 8100; 9800; 9600; 10000; 7100; 9500; 8500; 8600; 7700; 10000; 3200; 8700; 7800; 9900; 8700; 8400; 6900; 7800; 7500; 10000; 7800; 10000; 9900; 8900; 8000; 10000; 8500; 9700], 173250, 173251, 5.9828338623046875
34, 71, 0.8065732394366201, [10; 37; 21; 80; 51; 23; 57; 73; 39; 40; 44; 92; 4; 55; 79; 36; 65; 69; 84; 53; 22; 97; 62; 3; 20; 75; 59; 13; 9; 15; 31; 95; 63; 0; 24; 64; 71; 27; 2; 87; 46; 1; 29; 28; 67; 66; 14; 38; 32; 19; 6; 74; 56; 47; 85; 68; 70; 94; 88; 93; 76; 60; 7; 78; 54; 99; 42; 12; 43; 86; 52; 33; 11; 35; 34; 45; 98; 30; 41; 83; 48; 8; 89; 90; 91; 16; 17; 72; 58; 96; 5; 18; 81; 50; 82; 49; 61; 77; 25; 26], [[10]; [37]; [21]; [80; 51]; [23]; [57; 73]; [39]; [40]; [44; 92]; [4]; [55; 79]; [36]; [65; 69]; [84; 53]; [22]; [97; 62]; [3]; [20]; [75; 59]; [13]; [9]; [15]; [31]; [95; 63]; [0]; [24]; [64; 71]; [27]; [2]; [87; 46]; [1]; [29]; [28]; [67; 66]; [14]; [38]; [32]; [19]; [6]; [74; 56]; [47; 85]; [68; 70]; [94; 88; 93]; [76; 60]; [7]; [78; 54]; [99; 42]; [12]; [43]; [86; 52]; [33]; [11]; [35]; [34]; [45; 98]; [30]; [41]; [83; 48]; [8]; [89; 90; 91]; [16]; [17]; [72; 58]; [96]; [5]; [18]; [81; 50]; [82; 49]; [61; 77]; [25]; [26]], [9300; 7300; 8500; 10000; 8300; 10000; 7100; 7100; 9900; 9900; 10000; 7300; 10000; 9800; 8400; 8500; 9900; 8500; 10000; 8900; 9300; 8900; 7800; 8500; 10000; 8100; 10000; 7900; 9900; 10000; 10000; 7800; 7900; 10000; 8900; 7200; 7700; 8600; 9600; 10000; 9900; 9800; 10000; 9800; 9500; 10000; 10000; 9100; 6900; 9400; 7500; 9300; 7300; 7500; 9700; 7800; 7000; 10000; 9500; 10000; 8800; 8700; 10000; 3200; 9700; 8700; 10000; 10000; 9800; 8000; 8000], 173250, 173251, 6.051507234573364
30, 71, 0.8065704225352115, [11; 67; 66; 7; 99; 41; 50; 81; 18; 71; 64; 80; 51; 22; 9; 79; 54; 20; 36; 34; 26; 21; 78; 55; 91; 89; 93; 1; 88; 44; 4; 27; 14; 74; 59; 98; 90; 87; 3; 47; 86; 0; 49; 82; 16; 12; 75; 56; 32; 23; 77; 60; 57; 72; 53; 83; 43; 37; 84; 48; 39; 95; 29; 31; 28; 17; 85; 52; 8; 13; 65; 70; 96; 63; 30; 6; 10; 38; 68; 69; 40; 42; 73; 58; 15; 45; 92; 35; 25; 46; 94; 2; 5; 19; 33; 61; 76; 24; 62; 97], [[11]; [67; 66]; [7]; [99; 41]; [50; 81]; [18]; [71; 64]; [80; 51]; [22]; [9]; [79; 54]; [20]; [36]; [34]; [26]; [21]; [78; 55]; [91; 89; 93]; [1]; [88; 44]; [4]; [27]; [14]; [74; 59]; [98; 90; 87]; [3]; [47; 86]; [0]; [49; 82]; [16]; [12]; [75; 56]; [32]; [23]; [77; 60]; [57; 72]; [53; 83]; [43]; [37]; [84; 48]; [39]; [95]; [29]; [31]; [28]; [17]; [85; 52]; [8]; [13]; [65; 70]; [96; 63]; [30]; [6]; [10]; [38]; [68; 69]; [40]; [42]; [73; 58]; [15]; [45; 92]; [35]; [25]; [46; 94]; [2]; [5]; [19]; [33]; [61; 76]; [24]; [62; 97]], [9300; 10000; 9500; 10000; 10000; 8700; 10000; 10000; 8400; 9300; 10000; 8500; 7300; 7500; 8000; 8500; 10000; 10000; 10000; 10000; 9900; 7900; 8900; 10000; 10000; 9900; 9900; 10000; 10000; 8800; 9100; 10000; 7700; 8300; 9800; 10000; 9800; 6900; 7300; 10000; 7100; 3200; 7800; 7800; 7900; 8700; 9400; 9500; 8900; 10000; 8500; 7800; 9600; 9300; 7200; 9800; 7100; 7000; 10000; 8900; 9800; 7300; 8000; 9800; 9900; 9700; 8600; 7500; 9800; 8100; 8500], 153450, 153451, 5.315598726272583
35, 71, 0.8065732394366201, [15; 61; 76; 6; 75; 58; 13; 39; 82; 52; 14; 63; 96; 26; 23; 62; 98; 17; 9; 5; 49; 84; 20; 80; 51; 27; 72; 56; 94; 88; 93; 73; 59; 4; 22; 21; 18; 95; 45; 24; 11; 10; 31; 28; 0; 70; 69; 36; 48; 83; 55; 79; 30; 12; 41; 66; 67; 33; 1; 85; 53; 90; 92; 89; 57; 74; 64; 71; 29; 43; 37; 2; 86; 47; 32; 97; 38; 19; 3; 40; 44; 91; 87; 46; 68; 65; 25; 42; 99; 7; 34; 77; 60; 16; 8; 54; 78; 81; 50; 35], [[15]; [61; 76]; [6]; [75; 58]; [13]; [39]; [82; 52]; [14]; [63; 96]; [26]; [23]; [62; 98]; [17]; [9]; [5]; [49; 84]; [20]; [80; 51]; [27]; [72; 56]; [94; 88; 93]; [73; 59]; [4]; [22]; [21]; [18]; [95; 45]; [24]; [11]; [10]; [31]; [28]; [0]; [70; 69]; [36]; [48; 83]; [55; 79]; [30]; [12]; [41]; [66; 67]; [33]; [1]; [85; 53]; [90; 92; 89]; [57; 74]; [64; 71]; [29]; [43]; [37]; [2]; [86; 47]; [32]; [97]; [38]; [19]; [3]; [40]; [44; 91]; [87; 46]; [68; 65]; [25]; [42; 99]; [7]; [34]; [77; 60]; [16]; [8]; [54; 78]; [81; 50]; [35]], [8900; 9800; 9600; 10000; 8900; 7100; 9800; 8900; 8500; 8000; 8300; 8500; 8700; 9300; 9700; 10000; 8500; 10000; 7900; 10000; 10000; 10000; 9900; 8400; 8500; 8700; 9700; 8100; 9300; 9300; 7800; 7900; 10000; 9800; 7300; 10000; 10000; 7800; 9100; 7000; 10000; 7500; 10000; 9400; 10000; 10000; 10000; 7800; 6900; 7300; 9900; 9900; 7700; 3200; 7200; 8600; 9900; 7100; 9900; 10000; 10000; 8000; 10000; 9500; 7500; 9800; 8800; 9500; 10000; 10000; 7300], 178200, 178201, 6.112074375152588
34, 71, 0.8065873239436622, [55; 78; 44; 89; 64; 71; 61; 76; 69; 70; 24; 19; 51; 81; 72; 59; 75; 58; 96; 3; 28; 68; 65; 33; 57; 74; 23; 34; 47; 86; 0; 62; 97; 25; 50; 80; 2; 39; 16; 4; 21; 22; 32; 27; 40; 10; 5; 48; 83; 26; 46; 91; 9; 90; 88; 92; 12; 13; 31; 7; 14; 41; 20; 6; 36; 67; 66; 8; 98; 95; 85; 18; 43; 60; 77; 30; 53; 93; 73; 56; 63; 94; 1; 42; 99; 45; 87; 38; 17; 54; 79; 35; 82; 52; 15; 11; 84; 49; 37; 29], [[55; 78]; [44; 89]; [64; 71]; [61; 76]; [69; 70]; [24]; [19]; [51; 81]; [72; 59]; [75; 58]; [96]; [3]; [28]; [68; 65]; [33]; [57; 74]; [23]; [34]; [47; 86]; [0]; [62; 97]; [25]; [50; 80]; [2]; [39]; [16]; [4]; [21]; [22]; [32]; [27]; [40]; [10]; [5]; [48; 83]; [26]; [46; 91]; [9]; [90; 88; 92]; [12]; [13]; [31]; [7]; [14]; [41]; [20]; [6]; [36]; [67; 66]; [8]; [98; 95; 85]; [18]; [43]; [60; 77]; [30]; [53; 93]; [73; 56]; [63; 94]; [1]; [42; 99]; [45; 87]; [38]; [17]; [54; 79]; [35]; [82; 52]; [15]; [11]; [84; 49]; [37]; [29]], [10000; 10000; 10000; 9800; 9800; 8100; 8600; 10000; 10000; 10000; 3200; 9900; 7900; 10000; 7500; 10000; 8300; 7500; 9900; 10000; 8500; 8000; 10000; 9900; 7100; 8800; 9900; 8500; 8400; 7700; 7900; 7100; 9300; 9700; 10000; 8000; 9800; 9300; 10000; 9100; 8900; 7800; 9500; 8900; 7000; 8500; 9600; 7300; 10000; 9500; 10000; 8700; 6900; 9800; 7800; 9100; 10000; 8600; 10000; 10000; 10000; 7200; 8700; 10000; 7300; 9800; 8900; 9300; 10000; 7300; 7800], 173250, 173251, 5.984992027282715
