Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
32, 73, 0.78974794520548, [64; 75; 10; 17; 69; 67; 50; 94; 48; 1; 35; 18; 30; 40; 29; 70; 65; 14; 4; 97; 46; 27; 15; 6; 36; 54; 81; 83; 57; 53; 84; 73; 63; 0; 43; 98; 58; 89; 12; 92; 51; 80; 55; 16; 5; 21; 11; 62; 77; 79; 60; 39; 20; 8; 74; 76; 38; 44; 26; 52; 86; 28; 59; 88; 87; 90; 82; 56; 93; 25; 13; 19; 7; 41; 95; 49; 91; 99; 85; 23; 33; 24; 68; 71; 9; 34; 47; 96; 61; 78; 2; 45; 31; 37; 3; 32; 22; 72; 66; 42], [[64; 75]; [10]; [17]; [69; 67]; [50; 94]; [48]; [1]; [35]; [18]; [30]; [40]; [29]; [70; 65]; [14]; [4]; [97; 46]; [27]; [15]; [6]; [36]; [54; 81]; [83; 57]; [53; 84]; [73; 63]; [0]; [43; 98]; [58; 89]; [12]; [92; 51]; [80; 55]; [16]; [5]; [21]; [11]; [62; 77]; [79; 60]; [39]; [20]; [8]; [74; 76]; [38]; [44]; [26]; [52; 86]; [28]; [59; 88]; [87; 90]; [82; 56]; [93]; [25]; [13]; [19]; [7]; [41]; [95; 49]; [91; 99; 85]; [23]; [33]; [24]; [68; 71]; [9]; [34]; [47; 96]; [61; 78]; [2]; [45]; [31]; [37]; [3]; [32]; [22]; [72; 66]; [42]], [9900; 9400; 8800; 9900; 10000; 6800; 9900; 7600; 8700; 7800; 7000; 7900; 10000; 9100; 9700; 10000; 8100; 9100; 9600; 7300; 9900; 9800; 10000; 10000; 9900; 10000; 9500; 9400; 10000; 10000; 8900; 9600; 8500; 9400; 10000; 10000; 7100; 8600; 9500; 8400; 7100; 6900; 8200; 10000; 8100; 9500; 6900; 9800; 3300; 8200; 9400; 8600; 9500; 7000; 10000; 10000; 8300; 7600; 8200; 9200; 9500; 7600; 10000; 10000; 9800; 6900; 7800; 7200; 9700; 7600; 8400; 9800; 7000], 163350, 163351, 7.234296798706055
31, 73, 0.7897232876712337, [79; 61; 96; 92; 88; 75; 64; 21; 32; 58; 89; 34; 25; 6; 1; 22; 33; 23; 80; 54; 45; 74; 76; 5; 14; 71; 66; 93; 87; 95; 16; 4; 51; 91; 17; 36; 29; 13; 12; 59; 85; 19; 86; 52; 10; 35; 9; 11; 46; 98; 67; 69; 26; 63; 73; 38; 39; 84; 53; 72; 68; 37; 65; 70; 7; 41; 2; 42; 77; 62; 0; 90; 47; 97; 49; 82; 55; 8; 24; 20; 44; 78; 60; 15; 28; 81; 57; 31; 30; 18; 48; 56; 83; 99; 40; 3; 27; 43; 94; 50], [[79; 61]; [96; 92; 88]; [75; 64]; [21]; [32]; [58; 89]; [34]; [25]; [6]; [1]; [22]; [33]; [23]; [80; 54]; [45]; [74; 76]; [5]; [14]; [71; 66]; [93; 87; 95]; [16]; [4]; [51; 91]; [17]; [36]; [29]; [13]; [12]; [59; 85]; [19]; [86; 52]; [10]; [35]; [9]; [11]; [46; 98]; [67; 69]; [26]; [63; 73]; [38]; [39]; [84; 53]; [72; 68]; [37]; [65; 70]; [7]; [41]; [2]; [42]; [77; 62]; [0]; [90]; [47; 97]; [49]; [82; 55]; [8]; [24]; [20]; [44]; [78; 60]; [15]; [28]; [81; 57]; [31]; [30]; [18]; [48]; [56; 83]; [99; 40]; [3]; [27]; [43]; [94; 50]], [10000; 10000; 9900; 8500; 7600; 9500; 7600; 8200; 9600; 9900; 8400; 7600; 8300; 10000; 6900; 8400; 9600; 9100; 9800; 10000; 8900; 9700; 10000; 8800; 7300; 7900; 9400; 9400; 9600; 8600; 10000; 9400; 7600; 9500; 9400; 10000; 9900; 8200; 10000; 7100; 7100; 10000; 9200; 7200; 10000; 9500; 7000; 9800; 7000; 10000; 9900; 3400; 10000; 6800; 9800; 9500; 8200; 8600; 6900; 10000; 9100; 8100; 9900; 7800; 7800; 8700; 6800; 9800; 10000; 9700; 8100; 6900; 10000], 158400, 158401, 5.48552131652832
24, 73, 0.7898191780821924, [51; 92; 77; 74; 35; 97; 90; 87; 20; 60; 78; 49; 95; 18; 99; 40; 14; 46; 15; 16; 21; 47; 11; 10; 22; 64; 75; 33; 57; 81; 36; 5; 13; 8; 26; 76; 62; 54; 80; 4; 91; 89; 32; 55; 83; 93; 1; 52; 88; 6; 43; 98; 67; 71; 29; 17; 7; 24; 41; 31; 69; 65; 61; 79; 2; 42; 0; 27; 58; 86; 25; 19; 63; 73; 56; 82; 23; 9; 34; 68; 72; 12; 45; 96; 39; 44; 3; 84; 59; 53; 85; 28; 37; 94; 50; 38; 30; 70; 66; 48], [[51; 92]; [77; 74]; [35]; [97; 90; 87]; [20]; [60; 78]; [49; 95]; [18]; [99; 40]; [14]; [46]; [15]; [16]; [21]; [47]; [11]; [10]; [22]; [64; 75]; [33]; [57; 81]; [36]; [5]; [13]; [8]; [26]; [76; 62]; [54; 80]; [4]; [91; 89]; [32]; [55; 83]; [93]; [1]; [52; 88]; [6]; [43; 98]; [67; 71]; [29]; [17]; [7]; [24]; [41]; [31]; [69; 65]; [61; 79]; [2]; [42]; [0]; [27]; [58; 86]; [25]; [19]; [63; 73]; [56; 82]; [23]; [9]; [34]; [68; 72]; [12]; [45; 96]; [39]; [44]; [3]; [84; 59]; [53; 85]; [28]; [37]; [94; 50]; [38]; [30]; [70; 66]; [48]], [10000; 8400; 7600; 10000; 8600; 10000; 10000; 8700; 10000; 9100; 6900; 9100; 8900; 8500; 6900; 9400; 9400; 8400; 9900; 7600; 9900; 7300; 9600; 9400; 9500; 8200; 10000; 10000; 9700; 6900; 7600; 9800; 3300; 9900; 10000; 9600; 10000; 9800; 7900; 8800; 9500; 8200; 7000; 7800; 10000; 10000; 9800; 7000; 9900; 8100; 9500; 8200; 8600; 10000; 9800; 8300; 9500; 7600; 9200; 9400; 10000; 7100; 6900; 9700; 9600; 10000; 8100; 7200; 10000; 7100; 7800; 9900; 6800], 123750, 123751, 4.320721864700317
30, 73, 0.7895808219178089, [76; 77; 72; 67; 6; 86; 52; 62; 75; 22; 36; 37; 41; 34; 21; 93; 50; 42; 96; 94; 85; 15; 51; 90; 29; 2; 43; 98; 32; 79; 61; 59; 92; 20; 3; 18; 35; 26; 48; 95; 30; 13; 57; 80; 49; 66; 69; 46; 97; 87; 89; 99; 28; 38; 16; 73; 63; 60; 78; 10; 0; 40; 31; 17; 58; 88; 9; 33; 74; 64; 7; 11; 70; 65; 53; 84; 24; 25; 19; 54; 81; 12; 47; 1; 27; 4; 91; 14; 39; 5; 23; 56; 83; 71; 68; 44; 8; 55; 82; 45], [[76; 77]; [72; 67]; [6]; [86; 52]; [62; 75]; [22]; [36]; [37]; [41]; [34]; [21]; [93; 50]; [42]; [96; 94; 85]; [15]; [51; 90]; [29]; [2]; [43; 98]; [32]; [79; 61]; [59; 92]; [20]; [3]; [18]; [35]; [26]; [48; 95]; [30]; [13]; [57; 80]; [49]; [66; 69]; [46; 97]; [87; 89; 99]; [28]; [38]; [16]; [73; 63]; [60; 78]; [10]; [0]; [40]; [31]; [17]; [58; 88]; [9]; [33]; [74; 64]; [7]; [11]; [70; 65]; [53; 84]; [24]; [25]; [19]; [54; 81]; [12]; [47]; [1]; [27]; [4]; [91]; [14]; [39]; [5]; [23]; [56; 83]; [71; 68]; [44]; [8]; [55; 82]; [45]], [8400; 9800; 9600; 10000; 10000; 8400; 7300; 7200; 7000; 7600; 8500; 10000; 7000; 10000; 9100; 10000; 7900; 9800; 10000; 7600; 10000; 9400; 8600; 9700; 8700; 7600; 8200; 10000; 7800; 9400; 10000; 6800; 9900; 10000; 10000; 8100; 7100; 8900; 10000; 10000; 9400; 9900; 7000; 7800; 8800; 9500; 9500; 7600; 9900; 9500; 9400; 10000; 10000; 8200; 8200; 8600; 9900; 9400; 6900; 9900; 8100; 9700; 3400; 9100; 7100; 9600; 8300; 9800; 9200; 6900; 9500; 9800; 6900], 153450, 153451, 5.402927875518799
29, 73, 0.789728767123288, [17; 85; 53; 51; 90; 16; 78; 60; 19; 68; 72; 18; 4; 34; 15; 49; 10; 99; 41; 11; 76; 63; 12; 39; 29; 21; 71; 67; 64; 73; 88; 87; 98; 47; 0; 31; 27; 36; 59; 84; 25; 66; 69; 92; 93; 94; 22; 40; 77; 75; 42; 6; 56; 83; 62; 74; 44; 86; 52; 61; 79; 97; 45; 46; 96; 8; 48; 95; 28; 82; 57; 43; 89; 58; 14; 24; 91; 32; 50; 7; 20; 23; 3; 9; 5; 37; 2; 38; 1; 26; 13; 65; 70; 33; 30; 35; 80; 54; 55; 81], [[17]; [85; 53]; [51; 90]; [16]; [78; 60]; [19]; [68; 72]; [18]; [4]; [34]; [15]; [49]; [10]; [99; 41]; [11]; [76; 63]; [12]; [39]; [29]; [21]; [71; 67]; [64; 73]; [88; 87]; [98; 47]; [0]; [31]; [27]; [36]; [59; 84]; [25]; [66; 69]; [92; 93; 94]; [22]; [40]; [77; 75]; [42]; [6]; [56; 83]; [62; 74]; [44]; [86; 52]; [61; 79]; [97; 45]; [46; 96]; [8]; [48; 95]; [28]; [82; 57]; [43]; [89; 58]; [14]; [24]; [91]; [32]; [50]; [7]; [20]; [23]; [3]; [9]; [5]; [37]; [2]; [38]; [1]; [26]; [13]; [65; 70]; [33]; [30]; [35]; [80; 54]; [55; 81]], [8800; 10000; 10000; 8900; 10000; 8600; 9200; 8700; 9700; 7600; 9100; 6800; 9400; 10000; 9400; 9900; 9400; 7100; 7900; 8500; 9800; 10000; 7000; 10000; 9900; 7800; 8100; 7300; 9600; 8200; 9900; 10000; 8400; 7000; 8400; 7000; 9600; 9800; 10000; 6900; 10000; 10000; 10000; 10000; 9500; 10000; 8100; 9800; 6900; 9500; 9100; 8200; 3400; 7600; 6700; 9500; 8600; 8300; 9700; 9500; 9600; 7200; 9800; 7100; 9900; 8200; 9400; 10000; 7600; 7800; 7600; 10000; 9900], 148500, 148501, 5.157018423080444
32, 73, 0.7898219178082199, [35; 5; 1; 52; 87; 57; 80; 78; 60; 23; 15; 73; 64; 49; 95; 94; 33; 47; 48; 17; 22; 21; 89; 58; 13; 32; 77; 63; 39; 34; 85; 53; 6; 90; 51; 79; 61; 16; 74; 62; 59; 84; 72; 68; 29; 92; 91; 76; 75; 40; 88; 86; 31; 44; 97; 37; 28; 66; 71; 36; 93; 50; 46; 98; 24; 41; 43; 38; 42; 99; 69; 65; 2; 10; 19; 56; 83; 11; 9; 0; 26; 45; 96; 25; 30; 82; 55; 3; 81; 54; 27; 12; 70; 67; 20; 18; 14; 7; 4; 8], [[35]; [5]; [1]; [52; 87]; [57; 80]; [78; 60]; [23]; [15]; [73; 64]; [49; 95]; [94]; [33]; [47]; [48]; [17]; [22]; [21]; [89; 58]; [13]; [32]; [77; 63]; [39]; [34]; [85; 53]; [6]; [90; 51]; [79; 61]; [16]; [74; 62]; [59; 84]; [72; 68]; [29]; [92; 91]; [76; 75]; [40]; [88; 86]; [31]; [44; 97]; [37]; [28]; [66; 71]; [36]; [93; 50]; [46; 98]; [24]; [41]; [43]; [38]; [42; 99]; [69; 65]; [2]; [10]; [19]; [56; 83]; [11]; [9]; [0]; [26]; [45; 96]; [25]; [30]; [82; 55]; [3]; [81; 54]; [27]; [12]; [70; 67]; [20]; [18]; [14]; [7]; [4]; [8]], [7600; 9600; 9900; 10000; 10000; 10000; 8300; 9100; 10000; 10000; 3300; 7600; 6900; 6800; 8800; 8400; 8500; 9500; 9400; 7600; 9900; 7100; 7600; 10000; 9600; 10000; 10000; 8900; 10000; 9600; 9200; 7900; 6800; 8400; 7000; 7000; 7800; 10000; 7200; 8100; 9800; 7300; 10000; 10000; 8200; 7000; 6900; 7100; 10000; 10000; 9800; 9400; 8600; 9800; 9400; 9500; 9900; 8200; 10000; 8200; 7800; 9800; 9700; 9900; 8100; 9400; 9900; 8600; 8700; 9100; 9500; 9700; 9500], 163350, 163351, 5.653669357299805
34, 73, 0.7898219178082199, [17; 78; 61; 84; 53; 94; 36; 82; 56; 74; 62; 3; 34; 35; 16; 47; 97; 80; 55; 22; 12; 27; 10; 98; 44; 64; 75; 48; 54; 83; 37; 93; 50; 23; 67; 70; 88; 52; 45; 96; 69; 65; 33; 46; 32; 81; 57; 21; 2; 29; 63; 73; 41; 5; 0; 13; 20; 39; 60; 79; 49; 95; 38; 4; 6; 86; 87; 59; 89; 14; 31; 9; 76; 77; 15; 7; 24; 30; 28; 8; 19; 58; 85; 18; 92; 91; 1; 26; 51; 90; 25; 43; 66; 72; 42; 99; 11; 40; 71; 68], [[17]; [78; 61]; [84; 53]; [94]; [36]; [82; 56]; [74; 62]; [3]; [34]; [35]; [16]; [47; 97]; [80; 55]; [22]; [12]; [27]; [10]; [98; 44]; [64; 75]; [48]; [54; 83]; [37]; [93; 50]; [23]; [67; 70]; [88; 52]; [45; 96]; [69; 65]; [33]; [46]; [32]; [81; 57]; [21]; [2]; [29]; [63; 73]; [41]; [5]; [0]; [13]; [20]; [39]; [60; 79]; [49; 95]; [38]; [4]; [6]; [86; 87]; [59; 89]; [14]; [31]; [9]; [76; 77]; [15]; [7]; [24]; [30]; [28]; [8]; [19]; [58; 85]; [18]; [92; 91]; [1]; [26]; [51; 90]; [25]; [43]; [66; 72]; [42; 99]; [11]; [40]; [71; 68]], [8800; 10000; 10000; 3300; 7300; 9800; 10000; 9700; 7600; 7600; 8900; 10000; 10000; 8400; 9400; 8100; 9400; 10000; 9900; 6800; 9800; 7200; 10000; 8300; 9900; 10000; 10000; 10000; 7600; 6900; 7600; 9900; 8500; 9800; 7900; 10000; 7000; 9600; 9900; 9400; 8600; 7100; 10000; 10000; 7100; 9700; 9600; 7000; 9500; 9100; 7800; 9500; 8400; 9100; 9500; 8200; 7800; 8100; 9500; 8600; 9600; 8700; 6800; 9900; 8200; 10000; 8200; 6900; 9800; 10000; 9400; 7000; 9200], 173250, 173251, 6.019184350967407
28, 73, 0.7898219178082199, [23; 35; 70; 66; 74; 77; 3; 24; 97; 43; 39; 49; 40; 75; 63; 33; 41; 99; 2; 8; 6; 21; 30; 50; 94; 73; 64; 34; 13; 10; 16; 86; 52; 37; 79; 61; 1; 96; 47; 32; 36; 85; 58; 22; 29; 26; 67; 72; 18; 5; 45; 4; 91; 90; 65; 69; 89; 88; 7; 28; 31; 15; 93; 17; 14; 95; 48; 82; 56; 25; 76; 62; 38; 9; 20; 42; 44; 59; 87; 19; 81; 57; 80; 54; 60; 78; 12; 55; 83; 71; 68; 0; 27; 46; 98; 11; 51; 92; 53; 84], [[23]; [35]; [70; 66]; [74; 77]; [3]; [24]; [97; 43]; [39]; [49]; [40]; [75; 63]; [33]; [41; 99]; [2]; [8]; [6]; [21]; [30]; [50; 94]; [73; 64]; [34]; [13]; [10]; [16]; [86; 52]; [37]; [79; 61]; [1]; [96; 47]; [32]; [36]; [85; 58]; [22]; [29]; [26]; [67; 72]; [18]; [5]; [45]; [4]; [91; 90]; [65; 69]; [89; 88]; [7]; [28]; [31]; [15]; [93]; [17]; [14]; [95; 48]; [82; 56]; [25]; [76; 62]; [38]; [9]; [20]; [42]; [44]; [59; 87]; [19]; [81; 57]; [80; 54]; [60; 78]; [12]; [55; 83]; [71; 68]; [0]; [27]; [46; 98]; [11]; [51; 92]; [53; 84]], [8300; 7600; 9900; 8400; 9700; 8200; 10000; 7100; 6800; 7000; 9900; 7600; 10000; 9800; 9500; 9600; 8500; 7800; 10000; 10000; 7600; 9400; 9400; 8900; 10000; 7200; 10000; 9900; 10000; 7600; 7300; 9600; 8400; 7900; 8200; 9800; 8700; 9600; 6900; 9700; 6800; 10000; 7000; 9500; 8100; 7800; 9100; 3300; 8800; 9100; 10000; 9800; 8200; 10000; 7100; 9500; 8600; 7000; 6900; 9500; 8600; 9900; 10000; 10000; 9400; 9800; 9200; 9900; 8100; 10000; 9400; 10000; 10000], 143550, 143551, 4.9894890785217285
31, 73, 0.7898219178082199, [32; 4; 50; 93; 97; 45; 68; 71; 23; 29; 18; 63; 75; 39; 12; 33; 78; 60; 77; 62; 51; 92; 17; 36; 98; 46; 87; 89; 84; 59; 35; 86; 52; 34; 88; 58; 82; 56; 22; 48; 54; 81; 0; 74; 76; 21; 72; 67; 16; 79; 61; 19; 14; 13; 5; 26; 38; 66; 69; 96; 44; 65; 70; 24; 57; 80; 28; 90; 95; 91; 94; 49; 15; 7; 31; 9; 30; 37; 47; 25; 2; 41; 99; 20; 8; 3; 55; 83; 6; 42; 27; 73; 64; 10; 53; 85; 43; 40; 11; 1], [[32]; [4]; [50; 93]; [97; 45]; [68; 71]; [23]; [29]; [18]; [63; 75]; [39]; [12]; [33]; [78; 60]; [77; 62]; [51; 92]; [17]; [36]; [98; 46]; [87; 89]; [84; 59]; [35]; [86; 52]; [34]; [88; 58]; [82; 56]; [22]; [48]; [54; 81]; [0]; [74; 76]; [21]; [72; 67]; [16]; [79; 61]; [19]; [14]; [13]; [5]; [26]; [38]; [66; 69]; [96; 44]; [65; 70]; [24]; [57; 80]; [28]; [90; 95; 91]; [94]; [49]; [15]; [7]; [31]; [9]; [30]; [37]; [47]; [25]; [2]; [41; 99]; [20]; [8]; [3]; [55; 83]; [6]; [42]; [27]; [73; 64]; [10]; [53; 85]; [43]; [40]; [11]; [1]], [7600; 9700; 10000; 10000; 9200; 8300; 7900; 8700; 9900; 7100; 9400; 7600; 10000; 10000; 10000; 8800; 7300; 10000; 7000; 9600; 7600; 10000; 7600; 9500; 9800; 8400; 6800; 9900; 9900; 8400; 8500; 9800; 8900; 10000; 8600; 9100; 9400; 9600; 8200; 7100; 9900; 10000; 10000; 8200; 10000; 8100; 10000; 3300; 6800; 9100; 9500; 7800; 9500; 7800; 7200; 6900; 8200; 9800; 10000; 8600; 9500; 9700; 9800; 9600; 7000; 8100; 10000; 9400; 10000; 6900; 7000; 9400; 9900], 158400, 158401, 5.4875781536102295
26, 73, 0.789728767123288, [2; 6; 3; 95; 48; 87; 59; 4; 27; 62; 75; 39; 9; 73; 63; 70; 67; 90; 51; 12; 45; 98; 0; 46; 22; 23; 17; 80; 56; 28; 82; 57; 14; 50; 16; 26; 55; 81; 77; 76; 96; 47; 49; 29; 88; 52; 13; 72; 66; 7; 33; 86; 99; 89; 34; 1; 8; 65; 69; 21; 32; 60; 78; 5; 42; 58; 85; 38; 92; 93; 94; 68; 71; 11; 40; 91; 25; 44; 24; 36; 53; 84; 35; 43; 97; 15; 41; 83; 54; 18; 10; 31; 20; 37; 19; 64; 74; 61; 79; 30], [[2]; [6]; [3]; [95; 48]; [87; 59]; [4]; [27]; [62; 75]; [39]; [9]; [73; 63]; [70; 67]; [90; 51]; [12]; [45; 98]; [0]; [46]; [22]; [23]; [17]; [80; 56]; [28]; [82; 57]; [14]; [50]; [16]; [26]; [55; 81]; [77; 76]; [96; 47]; [49]; [29]; [88; 52]; [13]; [72; 66]; [7]; [33]; [86; 99; 89]; [34]; [1]; [8]; [65; 69]; [21]; [32]; [60; 78]; [5]; [42]; [58; 85]; [38]; [92; 93; 94]; [68; 71]; [11]; [40]; [91]; [25]; [44]; [24]; [36]; [53; 84]; [35]; [43; 97]; [15]; [41]; [83; 54]; [18]; [10]; [31]; [20]; [37]; [19]; [64; 74]; [61; 79]; [30]], [9800; 9600; 9700; 10000; 9500; 9700; 8100; 10000; 7100; 9500; 10000; 9900; 10000; 9400; 10000; 9900; 6900; 8400; 8300; 8800; 10000; 8100; 9800; 9100; 6700; 8900; 8200; 9900; 8400; 10000; 6800; 7900; 10000; 9400; 9800; 9500; 7600; 10000; 7600; 9900; 9500; 10000; 8500; 7600; 10000; 9600; 7000; 9600; 7100; 10000; 9200; 9400; 7000; 3400; 8200; 6900; 8200; 7300; 10000; 7600; 10000; 9100; 7000; 9800; 8700; 9400; 7800; 8600; 7200; 8600; 9900; 10000; 7800], 133650, 133651, 4.797266960144043
