Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
16, 75, 0.7660786666666668, [86; 61; 64; 17; 57; 87; 78; 79; 81; 69; 76; 70; 44; 74; 72; 51; 38; 41; 25; 18; 31; 93; 53; 30; 77; 71; 29; 49; 89; 21; 98; 42; 16; 10; 56; 9; 45; 97; 35; 28; 14; 83; 62; 37; 6; 1; 40; 99; 34; 22; 0; 54; 26; 63; 84; 58; 5; 73; 75; 12; 90; 60; 95; 65; 4; 8; 91; 47; 2; 11; 94; 68; 96; 48; 50; 88; 15; 43; 7; 66; 82; 59; 85; 20; 52; 36; 23; 19; 33; 27; 80; 67; 92; 46; 24; 55; 3; 39; 13; 32], [[86; 61]; [64]; [17]; [57; 87]; [78; 79]; [81; 69]; [76; 70]; [44]; [74; 72]; [51]; [38]; [41]; [25]; [18]; [31]; [93; 53]; [30]; [77; 71]; [29]; [49; 89]; [21]; [98; 42]; [16]; [10]; [56]; [9]; [45; 97]; [35]; [28]; [14]; [83; 62]; [37]; [6]; [1]; [40; 99]; [34]; [22]; [0]; [54]; [26]; [63; 84]; [58]; [5]; [73; 75]; [12]; [90; 60]; [95; 65]; [4]; [8]; [91; 47]; [2]; [11]; [94; 68]; [96; 48]; [50; 88]; [15]; [43]; [7]; [66; 82]; [59; 85]; [20]; [52]; [36]; [23]; [19]; [33]; [27]; [80; 67]; [92; 46]; [24]; [55]; [3]; [39]; [13]; [32]], [9800; 5600; 8700; 10000; 9600; 10000; 10000; 6800; 9900; 6100; 7000; 6900; 8200; 8700; 7400; 9500; 7500; 9800; 7500; 10000; 8400; 10000; 8900; 9400; 6000; 9400; 10000; 7300; 7500; 9100; 9900; 7100; 9700; 10000; 10000; 7300; 8400; 10000; 6000; 8000; 9900; 6000; 9800; 9800; 9400; 9400; 8900; 9800; 9600; 10000; 9900; 9400; 8700; 9600; 9900; 9000; 6800; 9600; 9900; 10000; 8600; 6100; 7200; 8400; 8700; 7300; 7900; 10000; 9900; 8300; 6000; 9900; 6900; 9300; 7400], 79200, 79201, 4.492290258407593
18, 75, 0.7665533333333333, [12; 84; 62; 91; 50; 45; 97; 30; 46; 93; 43; 75; 72; 39; 99; 79; 70; 36; 22; 40; 47; 95; 6; 27; 19; 4; 38; 63; 82; 64; 11; 15; 26; 88; 59; 21; 77; 73; 29; 31; 2; 92; 52; 18; 94; 48; 69; 83; 56; 0; 60; 85; 61; 67; 81; 35; 58; 32; 65; 71; 76; 80; 68; 98; 44; 9; 34; 49; 89; 53; 96; 51; 90; 37; 14; 3; 66; 87; 1; 42; 5; 24; 55; 86; 10; 13; 8; 16; 17; 20; 25; 54; 7; 23; 41; 33; 28; 57; 78; 74], [[12]; [84; 62]; [91; 50]; [45; 97]; [30]; [46; 93]; [43]; [75; 72]; [39; 99]; [79; 70]; [36]; [22]; [40]; [47; 95]; [6]; [27]; [19]; [4]; [38]; [63]; [82; 64]; [11]; [15]; [26]; [88; 59]; [21]; [77; 73]; [29]; [31]; [2]; [92; 52]; [18]; [94; 48]; [69; 83]; [56]; [0]; [60; 85]; [61]; [67; 81]; [35]; [58]; [32]; [65]; [71; 76]; [80; 68]; [98; 44]; [9]; [34]; [49; 89]; [53; 96]; [51; 90]; [37]; [14]; [3]; [66; 87]; [1]; [42]; [5]; [24]; [55; 86]; [10]; [13]; [8]; [16]; [17]; [20]; [25]; [54]; [7]; [23]; [41]; [33]; [28]; [57]; [78; 74]], [9400; 9900; 9600; 10000; 7500; 9900; 6800; 9900; 10000; 9900; 7200; 8400; 6900; 9800; 9700; 7900; 8700; 9800; 7000; 5700; 10000; 9400; 9000; 8000; 9700; 8400; 9700; 7500; 7400; 9900; 9500; 8700; 9600; 9600; 6000; 10000; 10000; 5800; 10000; 7300; 6000; 7400; 5600; 9900; 10000; 10000; 9400; 7300; 10000; 9400; 9600; 7100; 9100; 9900; 9500; 10000; 6800; 9800; 8300; 10000; 9400; 9300; 9600; 8900; 8700; 8600; 8200; 6000; 9600; 8400; 6900; 7300; 7500; 6000; 9700], 89100, 89101, 3.1477129459381104
13, 75, 0.7652920000000004, [7; 89; 65; 79; 75; 16; 78; 77; 36; 34; 92; 46; 35; 94; 61; 33; 64; 53; 91; 14; 22; 15; 38; 66; 27; 28; 83; 63; 0; 49; 90; 3; 24; 29; 1; 87; 54; 80; 69; 73; 72; 97; 52; 20; 60; 85; 23; 31; 98; 42; 86; 59; 11; 56; 8; 74; 70; 57; 13; 76; 71; 18; 62; 84; 47; 25; 21; 44; 9; 93; 51; 37; 95; 55; 26; 43; 67; 82; 32; 58; 96; 19; 12; 41; 40; 99; 10; 4; 39; 50; 88; 6; 45; 17; 48; 2; 5; 30; 68; 81], [[7]; [89; 65]; [79; 75]; [16]; [78; 77]; [36]; [34]; [92; 46]; [35]; [94; 61]; [33]; [64]; [53; 91]; [14]; [22]; [15]; [38]; [66]; [27]; [28]; [83; 63]; [0]; [49; 90]; [3]; [24]; [29]; [1]; [87; 54]; [80; 69]; [73; 72]; [97; 52]; [20]; [60; 85]; [23]; [31]; [98; 42]; [86; 59]; [11]; [56]; [8]; [74; 70]; [57]; [13]; [76; 71]; [18]; [62; 84]; [47]; [25]; [21]; [44]; [9]; [93; 51]; [37]; [95; 55]; [26]; [43]; [67; 82]; [32]; [58; 96]; [19]; [12]; [41]; [40; 99]; [10]; [4]; [39]; [50; 88]; [6]; [45]; [17]; [48]; [2]; [5]; [30]; [68; 81]], [9600; 9300; 9700; 8900; 9600; 7200; 7300; 9900; 7300; 9100; 7300; 5600; 9600; 9100; 8400; 9000; 7000; 5500; 7900; 7500; 9900; 10000; 9800; 9900; 8300; 7500; 10000; 10000; 10000; 9900; 9400; 8600; 10000; 8400; 7400; 10000; 9900; 9400; 6000; 9600; 10000; 6000; 9300; 9900; 8700; 9900; 6500; 8200; 8400; 6800; 9400; 9500; 7100; 9300; 8000; 6800; 9800; 7400; 9300; 8700; 9400; 6900; 10000; 9400; 9800; 6900; 9900; 9700; 6700; 8700; 6300; 9900; 9800; 7500; 10000], 64350, 64351, 2.3021762371063232
15, 75, 0.7653133333333333, [13; 37; 29; 60; 10; 17; 25; 59; 26; 43; 0; 81; 68; 47; 93; 6; 94; 45; 90; 55; 16; 96; 58; 34; 99; 48; 44; 98; 4; 41; 52; 1; 28; 21; 24; 12; 70; 73; 30; 19; 38; 7; 15; 51; 67; 89; 77; 78; 63; 85; 2; 79; 72; 54; 88; 9; 97; 50; 42; 83; 66; 20; 46; 95; 33; 69; 80; 31; 36; 64; 11; 27; 40; 5; 56; 87; 3; 32; 92; 49; 61; 86; 22; 8; 35; 84; 62; 18; 14; 71; 76; 39; 57; 65; 82; 23; 91; 53; 75; 74], [[13]; [37]; [29]; [60]; [10]; [17]; [25]; [59]; [26]; [43]; [0]; [81; 68]; [47; 93]; [6]; [94; 45]; [90; 55]; [16]; [96; 58]; [34]; [99; 48]; [44; 98]; [4]; [41]; [52]; [1]; [28]; [21]; [24]; [12]; [70; 73]; [30]; [19]; [38]; [7]; [15]; [51]; [67; 89]; [77; 78]; [63; 85]; [2]; [79; 72]; [54; 88]; [9]; [97; 50]; [42]; [83; 66]; [20]; [46; 95]; [33]; [69; 80]; [31]; [36]; [64]; [11]; [27]; [40]; [5]; [56; 87]; [3]; [32]; [92; 49]; [61; 86]; [22]; [8]; [35]; [84; 62]; [18]; [14]; [71; 76]; [39]; [57]; [65; 82]; [23]; [91; 53]; [75; 74]], [9300; 7100; 7500; 5900; 9400; 8700; 8200; 5900; 8000; 6800; 10000; 10000; 9900; 9700; 10000; 9500; 8900; 9300; 7300; 9400; 10000; 9800; 6900; 6100; 10000; 7500; 8400; 8300; 9400; 10000; 7500; 8700; 7000; 9600; 9000; 6100; 9100; 9600; 9800; 9900; 9800; 9800; 9400; 9400; 6800; 9700; 8600; 9800; 7300; 10000; 7400; 7200; 5600; 9400; 7900; 6900; 9800; 10000; 9900; 7400; 9700; 9800; 8400; 9600; 7300; 9900; 8700; 9100; 9900; 6900; 6000; 10000; 8400; 9600; 9800], 74250, 74251, 2.679281234741211
14, 75, 0.7657986666666668, [79; 77; 65; 98; 82; 67; 27; 83; 61; 33; 74; 76; 75; 73; 57; 86; 36; 18; 22; 44; 10; 88; 54; 71; 72; 43; 14; 94; 45; 34; 30; 55; 96; 59; 93; 28; 17; 35; 63; 3; 6; 58; 87; 26; 69; 80; 0; 90; 51; 37; 29; 5; 31; 11; 50; 20; 53; 38; 40; 99; 21; 91; 46; 12; 97; 47; 48; 92; 19; 1; 7; 42; 23; 56; 24; 84; 64; 89; 49; 66; 52; 95; 13; 32; 85; 62; 2; 78; 70; 15; 41; 68; 81; 9; 25; 60; 8; 4; 39; 16], [[79; 77]; [65; 98]; [82; 67]; [27]; [83; 61]; [33]; [74; 76]; [75; 73]; [57; 86]; [36]; [18]; [22]; [44]; [10]; [88; 54]; [71; 72]; [43]; [14]; [94; 45]; [34]; [30]; [55; 96]; [59; 93]; [28]; [17]; [35]; [63]; [3]; [6]; [58; 87]; [26]; [69; 80]; [0]; [90; 51]; [37]; [29]; [5]; [31]; [11]; [50]; [20]; [53]; [38]; [40; 99]; [21]; [91; 46]; [12]; [97; 47]; [48; 92]; [19]; [1]; [7]; [42]; [23]; [56]; [24]; [84; 64]; [89; 49]; [66]; [52; 95]; [13]; [32]; [85; 62]; [2]; [78; 70]; [15]; [41]; [68; 81]; [9]; [25]; [60]; [8]; [4]; [39]; [16]], [9600; 8800; 9800; 7900; 10000; 7300; 9800; 9800; 10000; 7200; 8700; 8400; 6800; 9400; 9800; 10000; 6800; 9100; 10000; 7300; 7500; 9300; 9300; 7500; 8700; 7300; 5700; 9900; 9700; 10000; 8000; 10000; 10000; 9600; 7100; 7500; 9800; 7400; 9400; 6100; 8600; 6100; 7000; 10000; 8400; 10000; 9400; 9800; 9700; 8700; 10000; 9600; 6800; 8400; 6000; 8300; 9800; 10000; 5500; 9400; 9300; 7400; 9800; 9900; 9900; 9000; 6900; 10000; 9400; 8200; 5900; 9600; 9800; 6900; 8900], 69300, 69301, 2.479849338531494
12, 75, 0.7666973333333336, [72; 75; 95; 60; 6; 23; 42; 98; 49; 89; 41; 99; 59; 34; 29; 30; 10; 11; 4; 84; 62; 48; 91; 3; 9; 33; 14; 40; 18; 87; 57; 68; 80; 97; 45; 82; 66; 19; 65; 38; 54; 7; 83; 63; 20; 46; 94; 52; 90; 22; 88; 53; 2; 76; 70; 81; 69; 39; 24; 55; 36; 13; 0; 61; 1; 5; 35; 71; 79; 21; 67; 85; 50; 92; 15; 37; 51; 74; 78; 58; 86; 26; 17; 16; 27; 44; 77; 73; 32; 64; 25; 43; 8; 47; 96; 56; 93; 28; 31; 12], [[72; 75]; [95; 60]; [6]; [23]; [42; 98]; [49; 89]; [41; 99]; [59]; [34]; [29]; [30]; [10]; [11]; [4]; [84; 62]; [48; 91]; [3]; [9]; [33]; [14]; [40]; [18]; [87; 57]; [68; 80]; [97; 45]; [82; 66]; [19]; [65]; [38]; [54]; [7]; [83; 63]; [20]; [46; 94]; [52; 90]; [22]; [88; 53]; [2]; [76; 70]; [81; 69]; [39]; [24]; [55]; [36]; [13]; [0]; [61]; [1]; [5]; [35]; [71; 79]; [21]; [67; 85]; [50; 92]; [15]; [37]; [51]; [74; 78]; [58; 86]; [26]; [17]; [16]; [27]; [44]; [77; 73]; [32]; [64]; [25]; [43]; [8]; [47; 96]; [56; 93]; [28]; [31]; [12]], [9900; 9200; 9700; 8400; 10000; 10000; 10000; 5900; 7300; 7500; 7500; 9400; 9400; 9800; 9900; 9800; 9900; 9400; 7300; 9100; 6900; 8700; 10000; 10000; 10000; 9900; 8700; 5600; 7000; 6000; 9600; 9900; 8600; 9800; 9600; 8400; 9900; 9900; 10000; 10000; 6900; 8300; 6000; 7200; 9300; 10000; 5800; 10000; 9800; 7300; 9800; 8400; 9500; 9500; 9000; 7100; 6100; 9700; 10000; 8000; 8700; 8900; 7900; 6800; 9700; 7400; 5600; 8200; 6800; 9600; 9800; 9400; 7500; 7400; 9400], 59400, 59401, 2.100405216217041
16, 75, 0.7664146666666667, [96; 45; 19; 82; 65; 74; 76; 67; 80; 52; 97; 18; 22; 31; 9; 58; 94; 38; 25; 49; 90; 10; 44; 16; 86; 56; 17; 48; 92; 3; 60; 87; 42; 68; 81; 43; 1; 12; 21; 24; 83; 63; 35; 85; 59; 53; 88; 37; 55; 11; 28; 34; 4; 30; 29; 89; 51; 78; 77; 46; 95; 20; 14; 41; 71; 75; 15; 99; 40; 32; 50; 98; 8; 27; 57; 93; 6; 91; 47; 2; 7; 69; 84; 54; 23; 0; 61; 13; 36; 66; 5; 39; 79; 70; 62; 33; 64; 26; 73; 72], [[96; 45]; [19]; [82; 65]; [74; 76]; [67; 80]; [52; 97]; [18]; [22]; [31]; [9]; [58; 94]; [38]; [25]; [49; 90]; [10]; [44]; [16]; [86; 56]; [17]; [48; 92]; [3]; [60; 87]; [42]; [68; 81]; [43]; [1]; [12]; [21]; [24]; [83; 63]; [35]; [85; 59]; [53; 88]; [37]; [55]; [11]; [28]; [34]; [4]; [30]; [29]; [89; 51]; [78; 77]; [46; 95]; [20]; [14]; [41]; [71; 75]; [15]; [99; 40]; [32]; [50; 98]; [8]; [27]; [57; 93]; [6]; [91; 47]; [2]; [7]; [69; 84]; [54]; [23]; [0]; [61]; [13]; [36]; [66]; [5]; [39]; [79; 70]; [62]; [33]; [64]; [26]; [73; 72]], [10000; 8700; 10000; 9800; 10000; 9400; 8700; 8400; 7400; 9400; 9300; 7000; 8200; 9800; 9400; 6800; 8900; 10000; 8700; 9700; 9900; 9900; 6800; 10000; 6800; 10000; 9400; 8400; 8300; 9900; 7300; 10000; 9900; 7100; 6000; 9400; 7500; 7300; 9800; 7500; 7500; 9800; 9600; 9800; 8600; 9100; 6900; 9900; 9000; 10000; 7400; 9300; 9600; 7900; 9400; 9700; 10000; 9900; 9600; 9600; 6000; 8400; 10000; 5800; 9300; 7200; 5500; 9800; 6900; 9900; 5700; 7300; 5600; 8000; 9900], 79200, 79201, 2.856355905532837
16, 75, 0.7671933333333337, [52; 30; 64; 73; 72; 56; 87; 29; 55; 19; 16; 1; 74; 70; 10; 65; 5; 46; 91; 88; 51; 27; 8; 2; 37; 89; 49; 23; 7; 9; 38; 6; 3; 79; 78; 99; 40; 98; 44; 75; 71; 21; 53; 96; 97; 48; 34; 63; 84; 22; 39; 14; 0; 54; 66; 82; 18; 42; 83; 62; 58; 93; 36; 4; 85; 60; 92; 50; 69; 80; 12; 24; 41; 25; 61; 94; 76; 77; 17; 11; 28; 26; 43; 57; 86; 81; 67; 31; 47; 90; 68; 45; 95; 35; 33; 32; 20; 15; 13; 59], [[52]; [30]; [64]; [73; 72]; [56; 87]; [29]; [55]; [19]; [16]; [1]; [74; 70]; [10]; [65]; [5]; [46; 91]; [88; 51]; [27]; [8]; [2]; [37]; [89; 49]; [23]; [7]; [9]; [38]; [6]; [3]; [79; 78]; [99; 40]; [98; 44]; [75; 71]; [21]; [53; 96]; [97; 48]; [34]; [63; 84]; [22]; [39]; [14]; [0]; [54]; [66; 82]; [18]; [42]; [83; 62]; [58; 93]; [36]; [4]; [85; 60]; [92; 50]; [69; 80]; [12]; [24]; [41]; [25]; [61; 94]; [76; 77]; [17]; [11]; [28]; [26]; [43]; [57; 86]; [81; 67]; [31]; [47; 90]; [68]; [45; 95]; [35]; [33]; [32]; [20]; [15]; [13]; [59]], [6100; 7500; 5600; 9900; 10000; 7500; 6000; 8700; 8900; 10000; 10000; 9400; 5600; 9800; 10000; 9900; 7900; 9600; 9900; 7100; 10000; 8400; 9600; 9400; 7000; 9700; 9900; 9600; 10000; 10000; 9900; 8400; 9400; 9600; 7300; 9900; 8400; 6900; 9100; 10000; 6000; 9900; 8700; 6800; 9900; 9400; 7200; 9800; 10000; 9500; 10000; 9400; 8300; 6900; 8200; 9100; 9700; 8700; 9400; 7500; 8000; 6800; 10000; 10000; 7400; 10000; 5400; 10000; 7300; 7300; 7400; 8600; 9000; 9300; 5900], 79200, 79201, 2.8238837718963623
16, 75, 0.7671080000000001, [50; 97; 7; 28; 88; 51; 61; 56; 90; 42; 79; 77; 53; 94; 5; 15; 2; 23; 83; 68; 34; 32; 75; 72; 62; 12; 49; 92; 17; 67; 80; 14; 29; 13; 19; 9; 45; 96; 82; 66; 36; 73; 76; 47; 93; 0; 3; 22; 41; 99; 98; 43; 4; 89; 48; 64; 63; 84; 70; 78; 81; 69; 35; 39; 38; 11; 87; 55; 65; 24; 21; 26; 16; 95; 52; 59; 85; 71; 74; 10; 44; 27; 60; 8; 25; 91; 46; 57; 6; 54; 30; 37; 33; 40; 86; 58; 31; 20; 18; 1], [[50; 97]; [7]; [28]; [88; 51]; [61]; [56; 90]; [42]; [79; 77]; [53; 94]; [5]; [15]; [2]; [23]; [83; 68]; [34]; [32]; [75; 72]; [62]; [12]; [49; 92]; [17]; [67; 80]; [14]; [29]; [13]; [19]; [9]; [45; 96]; [82; 66]; [36]; [73; 76]; [47; 93]; [0]; [3]; [22]; [41; 99]; [98; 43]; [4]; [89; 48]; [64]; [63; 84]; [70; 78]; [81; 69]; [35]; [39]; [38]; [11]; [87; 55]; [65]; [24]; [21]; [26]; [16]; [95; 52]; [59; 85]; [71; 74]; [10]; [44]; [27]; [60]; [8]; [25]; [91; 46]; [57]; [6]; [54]; [30]; [37]; [33]; [40]; [86; 58]; [31]; [20]; [18]; [1]], [9400; 9600; 7500; 9900; 5800; 9500; 6800; 9600; 9400; 9800; 9000; 9900; 8400; 9600; 7300; 7400; 9900; 5700; 9400; 9700; 8700; 10000; 9100; 7500; 9300; 8700; 9400; 10000; 9900; 7200; 9800; 9900; 10000; 9900; 8400; 10000; 10000; 9800; 10000; 5600; 9900; 9900; 10000; 7300; 6900; 7000; 9400; 10000; 5600; 8300; 8400; 8000; 8900; 9400; 10000; 9900; 9400; 6800; 7900; 5900; 9600; 8200; 10000; 6000; 9700; 6000; 7500; 7100; 7300; 6900; 10000; 7400; 8600; 8700; 10000], 79200, 79201, 2.8331382274627686
17, 75, 0.7670360000000002, [70; 76; 86; 55; 47; 92; 9; 54; 90; 68; 80; 17; 37; 59; 89; 25; 49; 97; 8; 24; 26; 60; 30; 51; 1; 20; 83; 65; 43; 19; 21; 10; 32; 66; 6; 12; 84; 61; 3; 13; 58; 2; 79; 78; 69; 81; 73; 75; 57; 93; 71; 72; 35; 99; 41; 7; 33; 67; 28; 5; 42; 53; 94; 31; 34; 11; 4; 64; 82; 36; 77; 74; 22; 23; 14; 46; 91; 87; 56; 50; 27; 29; 39; 0; 16; 44; 98; 40; 38; 18; 85; 63; 15; 48; 96; 95; 45; 52; 88; 62], [[70; 76]; [86; 55]; [47; 92]; [9]; [54; 90]; [68; 80]; [17]; [37]; [59; 89]; [25]; [49; 97]; [8]; [24]; [26]; [60]; [30]; [51]; [1]; [20]; [83; 65]; [43]; [19]; [21]; [10]; [32]; [66]; [6]; [12]; [84; 61]; [3]; [13]; [58]; [2]; [79; 78]; [69; 81]; [73; 75]; [57; 93]; [71; 72]; [35]; [99; 41]; [7]; [33]; [67]; [28]; [5]; [42]; [53; 94]; [31]; [34]; [11]; [4]; [64; 82]; [36]; [77; 74]; [22]; [23]; [14]; [46; 91]; [87; 56]; [50]; [27]; [29]; [39]; [0]; [16]; [44; 98]; [40]; [38]; [18]; [85; 63]; [15]; [48; 96]; [95; 45]; [52; 88]; [62]], [10000; 10000; 9900; 9400; 9500; 10000; 8700; 7100; 9600; 8200; 9600; 9600; 8300; 8000; 5900; 7500; 6100; 10000; 8600; 9800; 6800; 8700; 8400; 9400; 7400; 5500; 9700; 9400; 10000; 9900; 9300; 6000; 9900; 9600; 10000; 9800; 9400; 10000; 7300; 10000; 9600; 7300; 5400; 7500; 9800; 6800; 9400; 7400; 7300; 9400; 9800; 10000; 7200; 9700; 8400; 8400; 9100; 10000; 10000; 6100; 7900; 7500; 6900; 10000; 8900; 10000; 6900; 7000; 8700; 9800; 9000; 9600; 10000; 9900; 5700], 84150, 84151, 2.970339298248291
