Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
30, 75, 0.7670466666666672, [4; 8; 52; 95; 18; 81; 62; 37; 98; 49; 26; 43; 85; 57; 87; 60; 20; 31; 76; 72; 17; 47; 16; 15; 24; 97; 50; 5; 39; 3; 32; 41; 29; 33; 42; 56; 88; 74; 70; 79; 64; 67; 80; 44; 78; 66; 65; 83; 58; 86; 19; 77; 68; 84; 63; 51; 2; 22; 28; 14; 45; 9; 35; 12; 23; 96; 82; 6; 7; 34; 99; 48; 53; 90; 27; 71; 73; 55; 89; 1; 91; 54; 13; 21; 11; 69; 75; 59; 92; 61; 93; 94; 25; 0; 10; 40; 30; 38; 46; 36], [[4]; [8]; [52; 95]; [18]; [81; 62]; [37]; [98; 49]; [26]; [43]; [85; 57]; [87; 60]; [20]; [31]; [76; 72]; [17]; [47]; [16]; [15]; [24]; [97; 50]; [5]; [39]; [3]; [32]; [41]; [29]; [33]; [42]; [56; 88]; [74; 70]; [79; 64]; [67; 80]; [44]; [78; 66]; [65; 83]; [58; 86]; [19]; [77; 68]; [84; 63]; [51]; [2]; [22]; [28]; [14]; [45]; [9]; [35]; [12]; [23]; [96; 82]; [6]; [7]; [34]; [99; 48]; [53; 90]; [27]; [71; 73]; [55; 89]; [1]; [91; 54]; [13]; [21]; [11]; [69; 75]; [59; 92]; [61; 93]; [94]; [25]; [0]; [10]; [40]; [30]; [38]; [46]; [36]], [9500; 9300; 10000; 8400; 10000; 7400; 10000; 8100; 7300; 10000; 9900; 8300; 7600; 9600; 8400; 7100; 8700; 8700; 8100; 10000; 9500; 7300; 9600; 7600; 7300; 7700; 7600; 7300; 10000; 10000; 10000; 9700; 7200; 10000; 9900; 10000; 8300; 10000; 10000; 6800; 9600; 8200; 7800; 8700; 7200; 9100; 7400; 8800; 8200; 7500; 9400; 9400; 7400; 10000; 10000; 8000; 10000; 10000; 9900; 10000; 8700; 8200; 8800; 9900; 9300; 9300; 3300; 8100; 9900; 9100; 7300; 7700; 7400; 7100; 7400], 153450, 153451, 6.935646295547485
25, 75, 0.7660200000000004, [53; 90; 33; 57; 85; 19; 12; 52; 94; 79; 64; 18; 0; 88; 56; 14; 40; 27; 13; 25; 92; 59; 39; 11; 28; 41; 15; 62; 82; 91; 97; 95; 35; 72; 75; 36; 44; 63; 80; 2; 17; 21; 49; 99; 89; 55; 98; 48; 86; 61; 8; 43; 51; 31; 37; 26; 84; 67; 45; 73; 71; 77; 68; 4; 22; 58; 87; 96; 60; 34; 7; 83; 65; 81; 10; 42; 30; 32; 6; 16; 1; 5; 46; 93; 54; 9; 76; 69; 50; 24; 70; 74; 29; 23; 38; 66; 78; 20; 47; 3], [[53; 90]; [33]; [57; 85]; [19]; [12]; [52; 94]; [79; 64]; [18]; [0]; [88; 56]; [14]; [40]; [27]; [13]; [25]; [92; 59]; [39]; [11]; [28]; [41]; [15]; [62; 82]; [91; 97; 95]; [35]; [72; 75]; [36]; [44]; [63; 80]; [2]; [17]; [21]; [49; 99]; [89; 55]; [98; 48]; [86; 61]; [8]; [43]; [51]; [31]; [37]; [26]; [84; 67]; [45]; [73; 71]; [77; 68]; [4]; [22]; [58; 87]; [96; 60]; [34]; [7]; [83; 65]; [81]; [10]; [42]; [30]; [32]; [6]; [16]; [1]; [5]; [46]; [93; 54]; [9]; [76; 69]; [50]; [24]; [70; 74]; [29]; [23]; [38]; [66; 78]; [20]; [47]; [3]], [10000; 7600; 10000; 8300; 8800; 10000; 10000; 8400; 9900; 10000; 8700; 7300; 8000; 8700; 8100; 9300; 7300; 8800; 7800; 7300; 8700; 10000; 10000; 7400; 9600; 7400; 7200; 10000; 9600; 8400; 8200; 10000; 10000; 10000; 9900; 9300; 7300; 6800; 7600; 7400; 8100; 9700; 7200; 10000; 10000; 9500; 8200; 10000; 9200; 7400; 9400; 9900; 4200; 9100; 7300; 7700; 7600; 9400; 8700; 9900; 9500; 7100; 9800; 9100; 9900; 6900; 8100; 10000; 7700; 8200; 7400; 10000; 8300; 7100; 9600], 128700, 128701, 4.5227601528167725
33, 75, 0.7670466666666672, [12; 35; 4; 1; 21; 90; 53; 70; 74; 61; 93; 99; 48; 3; 25; 40; 9; 57; 86; 18; 60; 92; 14; 65; 79; 67; 83; 32; 44; 20; 17; 71; 73; 19; 41; 59; 85; 27; 6; 91; 54; 45; 33; 24; 8; 89; 55; 31; 75; 72; 58; 87; 13; 97; 50; 62; 80; 68; 77; 81; 94; 95; 5; 43; 34; 0; 42; 38; 2; 11; 29; 39; 98; 49; 7; 10; 88; 56; 66; 84; 63; 82; 15; 16; 96; 52; 51; 22; 46; 47; 36; 23; 28; 26; 69; 76; 78; 64; 37; 30], [[12]; [35]; [4]; [1]; [21]; [90; 53]; [70; 74]; [61; 93]; [99; 48]; [3]; [25]; [40]; [9]; [57; 86]; [18]; [60; 92]; [14]; [65; 79]; [67; 83]; [32]; [44]; [20]; [17]; [71; 73]; [19]; [41]; [59; 85]; [27]; [6]; [91; 54]; [45]; [33]; [24]; [8]; [89; 55]; [31]; [75; 72]; [58; 87]; [13]; [97; 50]; [62; 80]; [68; 77]; [81; 94]; [95]; [5]; [43]; [34]; [0]; [42]; [38]; [2]; [11]; [29]; [39]; [98; 49]; [7]; [10]; [88; 56]; [66; 84]; [63; 82]; [15]; [16]; [96; 52]; [51]; [22]; [46]; [47]; [36]; [23]; [28]; [26]; [69; 76]; [78; 64]; [37]; [30]], [8800; 7400; 9500; 9900; 8200; 10000; 10000; 9300; 10000; 9600; 8100; 7300; 9100; 10000; 8400; 9300; 8700; 10000; 9700; 7600; 7200; 8300; 8400; 10000; 8300; 7300; 9900; 8000; 9400; 10000; 7200; 7600; 8100; 9300; 10000; 7600; 9600; 10000; 8700; 10000; 10000; 10000; 7500; 3300; 9500; 7300; 7400; 9900; 7300; 7400; 9600; 8800; 7700; 7300; 10000; 9400; 9100; 10000; 9900; 10000; 8700; 8700; 10000; 6800; 8200; 7100; 7100; 7400; 8200; 7800; 8100; 9900; 10000; 7400; 7700], 168300, 168301, 5.924089431762695
33, 75, 0.7670466666666672, [91; 53; 98; 48; 13; 22; 55; 89; 71; 73; 12; 9; 99; 49; 66; 78; 32; 92; 61; 95; 19; 40; 38; 6; 5; 25; 43; 81; 63; 30; 77; 68; 27; 33; 41; 8; 18; 96; 83; 76; 72; 42; 54; 90; 2; 44; 75; 69; 15; 29; 14; 7; 10; 39; 86; 58; 51; 36; 35; 87; 57; 26; 93; 59; 94; 52; 37; 45; 28; 74; 70; 24; 85; 60; 80; 62; 88; 56; 0; 11; 21; 17; 79; 65; 67; 84; 3; 34; 4; 64; 82; 50; 97; 16; 20; 1; 23; 46; 31; 47], [[91; 53]; [98; 48]; [13]; [22]; [55; 89]; [71; 73]; [12]; [9]; [99; 49]; [66; 78]; [32]; [92; 61]; [95]; [19]; [40]; [38]; [6]; [5]; [25]; [43]; [81; 63]; [30]; [77; 68]; [27]; [33]; [41]; [8]; [18]; [96; 83]; [76; 72]; [42]; [54; 90]; [2]; [44]; [75; 69]; [15]; [29]; [14]; [7]; [10]; [39]; [86; 58]; [51]; [36]; [35]; [87; 57]; [26]; [93; 59]; [94; 52]; [37]; [45]; [28]; [74; 70]; [24]; [85; 60]; [80; 62]; [88; 56]; [0]; [11]; [21]; [17]; [79; 65]; [67; 84]; [3]; [34]; [4]; [64; 82]; [50; 97]; [16]; [20]; [1]; [23]; [46]; [31]; [47]], [10000; 10000; 8700; 8200; 10000; 10000; 8800; 9100; 10000; 10000; 7600; 9300; 3300; 8300; 7300; 7400; 9400; 9500; 8100; 7300; 10000; 7700; 10000; 8000; 7600; 7300; 9300; 8400; 7500; 9600; 7300; 10000; 9600; 7200; 9900; 8700; 7700; 8700; 9400; 9100; 7300; 10000; 6800; 7400; 7400; 10000; 8100; 9300; 10000; 7400; 7200; 7800; 10000; 8100; 9900; 10000; 10000; 9900; 8800; 8200; 8400; 10000; 9700; 9600; 7400; 9500; 9900; 10000; 8700; 8300; 9900; 8200; 7100; 7600; 7100], 168300, 168301, 5.875851631164551
35, 75, 0.7670466666666672, [30; 86; 57; 39; 19; 64; 79; 45; 61; 93; 52; 95; 16; 11; 20; 67; 77; 55; 89; 84; 62; 88; 56; 17; 90; 54; 13; 96; 8; 31; 12; 32; 15; 78; 65; 83; 68; 35; 1; 25; 94; 81; 33; 44; 75; 69; 29; 82; 66; 41; 26; 48; 98; 76; 72; 73; 71; 3; 92; 60; 27; 53; 91; 14; 63; 80; 37; 9; 99; 49; 4; 5; 21; 10; 47; 7; 22; 36; 85; 58; 59; 87; 46; 6; 43; 40; 34; 42; 97; 50; 51; 38; 23; 2; 28; 0; 74; 70; 18; 24], [[30]; [86; 57]; [39]; [19]; [64; 79]; [45]; [61; 93]; [52; 95]; [16]; [11]; [20]; [67; 77]; [55; 89]; [84; 62]; [88; 56]; [17]; [90; 54]; [13]; [96]; [8]; [31]; [12]; [32]; [15]; [78; 65]; [83; 68]; [35]; [1]; [25]; [94; 81]; [33]; [44]; [75; 69]; [29]; [82; 66]; [41]; [26]; [48; 98]; [76; 72]; [73; 71]; [3]; [92; 60]; [27]; [53; 91]; [14]; [63; 80]; [37]; [9]; [99; 49]; [4]; [5]; [21]; [10]; [47]; [7]; [22]; [36]; [85; 58]; [59; 87]; [46]; [6]; [43]; [40]; [34]; [42]; [97; 50]; [51]; [38]; [23]; [2]; [28]; [0]; [74; 70]; [18]; [24]], [7700; 10000; 7300; 8300; 10000; 7200; 9300; 10000; 8700; 8800; 8300; 10000; 10000; 10000; 10000; 8400; 10000; 8700; 3300; 9300; 7600; 8800; 7600; 8700; 10000; 9700; 7400; 9900; 8100; 7500; 7600; 7200; 9900; 7700; 9900; 7300; 8100; 10000; 9600; 10000; 9600; 9300; 8000; 10000; 8700; 10000; 7400; 9100; 10000; 9500; 9500; 8200; 9100; 7100; 9400; 8200; 7400; 10000; 9900; 7100; 9400; 7300; 7300; 7400; 7300; 10000; 6800; 7400; 8200; 9600; 7800; 9900; 10000; 8400; 8100], 178200, 178201, 6.22696590423584
30, 75, 0.7670466666666672, [75; 72; 32; 47; 20; 82; 62; 40; 1; 69; 76; 44; 70; 74; 11; 61; 93; 16; 43; 33; 94; 83; 14; 30; 31; 91; 53; 96; 52; 7; 48; 98; 3; 49; 99; 23; 15; 59; 86; 10; 26; 89; 55; 58; 85; 19; 8; 27; 56; 88; 41; 18; 50; 97; 2; 28; 64; 79; 6; 71; 73; 66; 78; 45; 67; 84; 5; 36; 34; 4; 25; 68; 77; 80; 65; 51; 38; 13; 46; 17; 60; 92; 24; 12; 90; 54; 42; 0; 63; 81; 87; 57; 95; 22; 37; 21; 29; 39; 9; 35], [[75; 72]; [32]; [47]; [20]; [82; 62]; [40]; [1]; [69; 76]; [44]; [70; 74]; [11]; [61; 93]; [16]; [43]; [33]; [94; 83]; [14]; [30]; [31]; [91; 53]; [96; 52]; [7]; [48; 98]; [3]; [49; 99]; [23]; [15]; [59; 86]; [10]; [26]; [89; 55]; [58; 85]; [19]; [8]; [27]; [56; 88]; [41]; [18]; [50; 97]; [2]; [28]; [64; 79]; [6]; [71; 73]; [66; 78]; [45]; [67; 84]; [5]; [36]; [34]; [4]; [25]; [68; 77]; [80; 65]; [51]; [38]; [13]; [46]; [17]; [60; 92]; [24]; [12]; [90; 54]; [42]; [0]; [63; 81]; [87; 57]; [95]; [22]; [37]; [21]; [29]; [39]; [9]; [35]], [9600; 7600; 7100; 8300; 10000; 7300; 9900; 9900; 7200; 10000; 8800; 9300; 8700; 7300; 7600; 7500; 8700; 7700; 7600; 10000; 10000; 9400; 10000; 9600; 10000; 8200; 8700; 9900; 9100; 8100; 10000; 10000; 8300; 9300; 8000; 10000; 7300; 8400; 10000; 9600; 7800; 10000; 9400; 10000; 10000; 7200; 9700; 9500; 7400; 7400; 9500; 8100; 10000; 9900; 6800; 7400; 8700; 7100; 8400; 9300; 8100; 8800; 10000; 7300; 9900; 10000; 10000; 3300; 8200; 7400; 8200; 7700; 7300; 9100; 7400], 153450, 153451, 5.403001070022583
35, 75, 0.7670466666666672, [1; 68; 77; 31; 12; 69; 76; 42; 46; 57; 86; 17; 48; 99; 52; 95; 32; 79; 66; 75; 72; 71; 73; 3; 96; 33; 27; 50; 97; 62; 81; 40; 51; 65; 78; 24; 55; 89; 53; 91; 35; 5; 43; 19; 64; 84; 20; 41; 70; 74; 87; 58; 92; 61; 13; 60; 93; 18; 4; 88; 56; 83; 63; 23; 7; 47; 28; 2; 8; 22; 90; 54; 14; 49; 98; 85; 59; 26; 30; 25; 9; 38; 10; 0; 29; 11; 44; 36; 15; 82; 67; 6; 34; 16; 37; 21; 45; 80; 94; 39], [[1]; [68; 77]; [31]; [12]; [69; 76]; [42]; [46]; [57; 86]; [17]; [48; 99]; [52; 95]; [32]; [79; 66]; [75; 72]; [71; 73]; [3]; [96]; [33]; [27]; [50; 97]; [62; 81]; [40]; [51]; [65; 78]; [24]; [55; 89]; [53; 91]; [35]; [5]; [43]; [19]; [64; 84]; [20]; [41]; [70; 74]; [87; 58]; [92; 61]; [13]; [60; 93]; [18]; [4]; [88; 56]; [83; 63]; [23]; [7]; [47]; [28]; [2]; [8]; [22]; [90; 54]; [14]; [49; 98]; [85; 59]; [26]; [30]; [25]; [9]; [38]; [10]; [0]; [29]; [11]; [44]; [36]; [15]; [82; 67]; [6]; [34]; [16]; [37]; [21]; [45]; [80; 94]; [39]], [9900; 10000; 7600; 8800; 9900; 7300; 7100; 10000; 8400; 10000; 10000; 7600; 10000; 9600; 10000; 9600; 3300; 7600; 8000; 10000; 10000; 7300; 6800; 10000; 8100; 10000; 10000; 7400; 9500; 7300; 8300; 9900; 8300; 7300; 10000; 10000; 9300; 8700; 9300; 8400; 9500; 10000; 10000; 8200; 9400; 7100; 7800; 9600; 9300; 8200; 10000; 8700; 10000; 9900; 8100; 7700; 8100; 9100; 7400; 9100; 9900; 7700; 8800; 7200; 7400; 8700; 9700; 9400; 7400; 8700; 7400; 8200; 7200; 7500; 7300], 178200, 178201, 6.273613452911377
31, 75, 0.7670466666666672, [8; 32; 17; 48; 98; 9; 27; 63; 80; 26; 19; 20; 66; 78; 36; 87; 57; 10; 2; 28; 56; 88; 23; 18; 30; 45; 41; 13; 14; 11; 40; 75; 69; 16; 91; 53; 42; 12; 55; 89; 52; 95; 64; 79; 44; 43; 0; 29; 84; 96; 71; 73; 67; 77; 99; 49; 6; 38; 5; 76; 72; 97; 50; 4; 58; 85; 54; 90; 35; 51; 83; 68; 93; 61; 59; 92; 1; 62; 81; 21; 24; 7; 22; 86; 60; 39; 70; 74; 15; 82; 65; 94; 46; 3; 34; 25; 33; 37; 47; 31], [[8]; [32]; [17]; [48; 98]; [9]; [27]; [63; 80]; [26]; [19]; [20]; [66; 78]; [36]; [87; 57]; [10]; [2]; [28]; [56; 88]; [23]; [18]; [30]; [45]; [41]; [13]; [14]; [11]; [40]; [75; 69]; [16]; [91; 53]; [42]; [12]; [55; 89]; [52; 95]; [64; 79]; [44]; [43]; [0]; [29]; [84; 96]; [71; 73]; [67; 77]; [99; 49]; [6]; [38]; [5]; [76; 72]; [97; 50]; [4]; [58; 85]; [54; 90]; [35]; [51]; [83; 68]; [93; 61]; [59; 92]; [1]; [62; 81]; [21]; [24]; [7]; [22]; [86; 60]; [39]; [70; 74]; [15]; [82; 65]; [94]; [46]; [3]; [34]; [25]; [33]; [37]; [47]; [31]], [9300; 7600; 8400; 10000; 9100; 8000; 10000; 8100; 8300; 8300; 10000; 7400; 10000; 9100; 9600; 7800; 10000; 8200; 8400; 7700; 7200; 7300; 8700; 8700; 8800; 7300; 9900; 8700; 10000; 7300; 8800; 10000; 10000; 10000; 7200; 7300; 9900; 7700; 7500; 10000; 10000; 10000; 9400; 7400; 9500; 9600; 10000; 9500; 10000; 10000; 7400; 6800; 9700; 9300; 9300; 9900; 10000; 8200; 8100; 9400; 8200; 9900; 7300; 10000; 8700; 9900; 3300; 7100; 9600; 7400; 8100; 7600; 7400; 7100; 7600], 158400, 158401, 5.6032631397247314
35, 75, 0.7670466666666672, [44; 43; 26; 39; 76; 69; 1; 9; 42; 11; 16; 54; 90; 2; 10; 32; 51; 28; 70; 74; 25; 33; 31; 30; 52; 95; 80; 96; 68; 77; 8; 37; 6; 72; 75; 82; 63; 19; 41; 48; 99; 97; 50; 12; 93; 59; 88; 56; 40; 49; 98; 67; 83; 61; 92; 20; 64; 78; 62; 84; 53; 91; 73; 71; 36; 34; 3; 55; 89; 5; 87; 58; 17; 27; 65; 81; 47; 7; 94; 0; 21; 15; 45; 13; 38; 29; 57; 86; 35; 46; 24; 60; 85; 4; 79; 66; 22; 18; 14; 23], [[44]; [43]; [26]; [39]; [76; 69]; [1]; [9]; [42]; [11]; [16]; [54; 90]; [2]; [10]; [32]; [51]; [28]; [70; 74]; [25]; [33]; [31]; [30]; [52; 95]; [80; 96]; [68; 77]; [8]; [37]; [6]; [72; 75]; [82; 63]; [19]; [41]; [48; 99]; [97; 50]; [12]; [93; 59]; [88; 56]; [40]; [49; 98]; [67; 83]; [61; 92]; [20]; [64; 78]; [62; 84]; [53; 91]; [73; 71]; [36]; [34]; [3]; [55; 89]; [5]; [87; 58]; [17]; [27]; [65; 81]; [47]; [7]; [94]; [0]; [21]; [15]; [45]; [13]; [38]; [29]; [57; 86]; [35]; [46]; [24]; [60; 85]; [4]; [79; 66]; [22]; [18]; [14]; [23]], [7200; 7300; 8100; 7300; 9900; 9900; 9100; 7300; 8800; 8700; 10000; 9600; 9100; 7600; 6800; 7800; 10000; 8100; 7600; 7600; 7700; 10000; 7500; 10000; 9300; 7400; 9400; 9600; 10000; 8300; 7300; 10000; 10000; 8800; 9300; 10000; 7300; 10000; 9700; 9300; 8300; 10000; 10000; 10000; 10000; 7400; 7400; 9600; 10000; 9500; 10000; 8400; 8000; 9900; 7100; 9400; 3300; 9900; 8200; 8700; 7200; 8700; 7400; 7700; 10000; 7400; 7100; 8100; 9900; 9500; 10000; 8200; 8400; 8700; 8200], 178200, 178201, 6.336308717727661
30, 75, 0.7670466666666672, [97; 50; 88; 56; 76; 69; 49; 98; 42; 80; 63; 40; 43; 31; 51; 11; 91; 53; 6; 26; 74; 70; 32; 52; 95; 47; 44; 77; 67; 4; 60; 93; 3; 2; 87; 57; 20; 72; 75; 99; 48; 45; 41; 33; 10; 92; 59; 96; 25; 15; 84; 94; 18; 54; 90; 46; 66; 79; 65; 78; 38; 21; 5; 39; 7; 34; 36; 35; 62; 83; 22; 86; 58; 9; 13; 23; 28; 29; 12; 17; 30; 82; 68; 14; 37; 16; 27; 64; 81; 24; 61; 85; 1; 19; 8; 0; 55; 89; 71; 73], [[97; 50]; [88; 56]; [76; 69]; [49; 98]; [42]; [80; 63]; [40]; [43]; [31]; [51]; [11]; [91; 53]; [6]; [26]; [74; 70]; [32]; [52; 95]; [47]; [44]; [77; 67]; [4]; [60; 93]; [3]; [2]; [87; 57]; [20]; [72; 75]; [99; 48]; [45]; [41]; [33]; [10]; [92; 59]; [96]; [25]; [15]; [84; 94]; [18]; [54; 90]; [46]; [66; 79]; [65; 78]; [38]; [21]; [5]; [39]; [7]; [34]; [36]; [35]; [62; 83]; [22]; [86; 58]; [9]; [13]; [23]; [28]; [29]; [12]; [17]; [30]; [82; 68]; [14]; [37]; [16]; [27]; [64; 81]; [24]; [61; 85]; [1]; [19]; [8]; [0]; [55; 89]; [71; 73]], [10000; 10000; 9900; 10000; 7300; 10000; 7300; 7300; 7600; 6800; 8800; 10000; 9400; 8100; 10000; 7600; 10000; 7100; 7200; 10000; 9500; 9300; 9600; 9600; 10000; 8300; 9600; 10000; 7200; 7300; 7600; 9100; 9300; 3300; 8100; 8700; 7500; 8400; 10000; 7100; 10000; 10000; 7400; 8200; 9500; 7300; 9400; 7400; 7400; 7400; 10000; 8200; 10000; 9100; 8700; 8200; 7800; 7700; 8800; 8400; 7700; 9700; 8700; 7400; 8700; 8000; 9900; 8100; 9900; 9900; 8300; 9300; 9900; 10000; 10000], 153450, 153451, 5.414173126220703
