Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 80, 0.7711112500000004, [8; 31; 91; 66; 69; 47; 35; 20; 12; 99; 50; 17; 85; 64; 61; 92; 11; 1; 27; 68; 33; 94; 59; 54; 6; 81; 73; 2; 0; 55; 95; 32; 84; 65; 34; 10; 9; 13; 16; 42; 18; 72; 51; 98; 86; 67; 39; 44; 36; 79; 49; 57; 93; 76; 26; 30; 23; 22; 56; 96; 82; 77; 4; 43; 21; 41; 28; 74; 89; 88; 70; 40; 19; 60; 63; 87; 97; 58; 24; 52; 14; 80; 78; 48; 71; 90; 15; 25; 53; 45; 7; 62; 75; 83; 37; 46; 3; 38; 5; 29], [[8]; [31]; [91; 66]; [69]; [47]; [35]; [20]; [12]; [99; 50]; [17]; [85; 64]; [61; 92]; [11]; [1]; [27]; [68]; [33]; [94; 59]; [54]; [6]; [81; 73]; [2]; [0]; [55; 95]; [32]; [84; 65]; [34]; [10]; [9]; [13]; [16]; [42]; [18]; [72]; [51; 98]; [86; 67]; [39]; [44]; [36]; [79]; [49]; [57; 93]; [76]; [26]; [30]; [23]; [22]; [56; 96]; [82; 77]; [4]; [43]; [21]; [41]; [28]; [74; 89]; [88; 70]; [40]; [19]; [60]; [63; 87]; [97; 58]; [24]; [52]; [14]; [80; 78]; [48]; [71; 90]; [15]; [25]; [53]; [45]; [7]; [62]; [75; 83]; [37]; [46]; [3]; [38]; [5]; [29]], [9800; 8500; 9600; 5700; 7100; 8300; 9300; 9600; 10000; 9400; 10000; 9800; 9700; 10000; 9000; 5700; 8400; 9700; 6700; 9800; 10000; 10000; 10000; 10000; 8500; 10000; 8300; 9700; 9700; 9500; 9400; 7400; 9400; 5500; 10000; 9800; 7800; 7200; 8000; 5100; 7100; 10000; 5200; 9100; 8600; 9200; 9200; 9800; 9300; 9900; 7200; 9300; 7600; 8700; 9200; 9500; 7700; 9300; 6200; 10000; 9400; 9200; 6900; 9500; 10000; 7100; 9400; 9400; 9100; 6800; 7200; 9800; 6200; 9300; 7900; 7100; 10000; 7800; 9900; 8600], 59400, 59401, 3.7701640129089355
11, 80, 0.7708087500000002, [49; 64; 84; 90; 76; 79; 80; 93; 61; 28; 78; 36; 51; 0; 2; 33; 12; 21; 16; 91; 62; 92; 59; 54; 19; 46; 95; 55; 27; 42; 60; 75; 83; 4; 7; 26; 15; 43; 35; 23; 94; 58; 45; 3; 17; 37; 30; 99; 53; 1; 13; 10; 24; 8; 69; 25; 29; 85; 67; 34; 9; 32; 77; 89; 66; 88; 47; 73; 81; 56; 22; 39; 97; 71; 6; 50; 44; 38; 5; 70; 74; 72; 31; 40; 48; 68; 82; 87; 63; 14; 98; 52; 86; 65; 41; 57; 96; 20; 18; 11], [[49]; [64; 84]; [90; 76]; [79; 80]; [93; 61]; [28]; [78]; [36]; [51]; [0]; [2]; [33]; [12]; [21]; [16]; [91; 62]; [92; 59]; [54]; [19]; [46]; [95; 55]; [27]; [42]; [60]; [75; 83]; [4]; [7]; [26]; [15]; [43]; [35]; [23]; [94; 58]; [45]; [3]; [17]; [37]; [30]; [99; 53]; [1]; [13]; [10]; [24]; [8]; [69]; [25]; [29]; [85; 67]; [34]; [9]; [32]; [77; 89]; [66; 88]; [47]; [73; 81]; [56]; [22]; [39]; [97; 71]; [6]; [50]; [44]; [38]; [5]; [70]; [74]; [72]; [31]; [40]; [48]; [68; 82]; [87; 63]; [14]; [98; 52]; [86; 65]; [41]; [57; 96]; [20]; [18]; [11]], [7100; 10000; 9100; 10000; 9800; 8700; 5100; 8000; 7000; 10000; 10000; 8400; 9600; 9300; 9400; 10000; 9900; 6700; 9300; 7100; 10000; 9000; 7400; 6200; 9300; 9900; 9800; 9100; 9400; 7200; 8300; 9200; 9700; 7200; 10000; 9400; 7900; 8600; 9800; 10000; 9500; 9700; 9200; 9800; 5700; 9100; 8600; 9900; 8300; 9700; 8500; 9000; 9700; 7100; 10000; 6500; 9200; 7800; 8600; 9800; 7000; 7200; 7800; 9900; 5600; 5300; 5500; 8500; 7700; 7100; 9900; 10000; 9500; 9900; 9900; 7600; 9700; 9300; 9400; 9700], 54450, 54451, 1.978647232055664
14, 80, 0.7726562500000003, [72; 84; 41; 6; 63; 87; 54; 96; 31; 22; 3; 0; 73; 88; 98; 52; 50; 99; 48; 15; 44; 51; 55; 94; 47; 8; 60; 95; 64; 86; 39; 49; 53; 97; 26; 17; 18; 11; 27; 4; 29; 91; 61; 70; 28; 12; 93; 57; 35; 20; 79; 80; 24; 10; 69; 82; 75; 13; 19; 36; 38; 33; 14; 2; 42; 74; 81; 65; 89; 1; 46; 40; 67; 90; 7; 23; 59; 92; 32; 76; 37; 83; 66; 25; 68; 9; 5; 16; 34; 58; 78; 45; 21; 43; 62; 71; 77; 85; 30; 56], [[72; 84]; [41]; [6]; [63; 87]; [54; 96]; [31]; [22]; [3]; [0]; [73; 88]; [98; 52]; [50; 99]; [48]; [15]; [44]; [51]; [55; 94]; [47]; [8]; [60; 95]; [64; 86]; [39]; [49]; [53; 97]; [26]; [17]; [18]; [11]; [27]; [4]; [29]; [91; 61]; [70]; [28]; [12]; [93; 57]; [35]; [20]; [79; 80]; [24]; [10]; [69; 82]; [75]; [13]; [19]; [36]; [38]; [33]; [14]; [2]; [42]; [74; 81]; [65; 89]; [1]; [46]; [40]; [67; 90]; [7]; [23]; [59; 92]; [32]; [76]; [37]; [83; 66]; [25]; [68]; [9]; [5]; [16]; [34]; [58]; [78]; [45]; [21]; [43]; [62]; [71]; [77; 85]; [30]; [56]], [9600; 7600; 9800; 10000; 10000; 8500; 9200; 10000; 10000; 9300; 9900; 10000; 7100; 9400; 7200; 7000; 10000; 7100; 9800; 9600; 9900; 7800; 7100; 9900; 9100; 9400; 9400; 9700; 9000; 9900; 8600; 10000; 5600; 8700; 9600; 10000; 8300; 9300; 10000; 9200; 9700; 9900; 5200; 9500; 9300; 8000; 7800; 8400; 9500; 10000; 7400; 9900; 9800; 10000; 7100; 7700; 9700; 9800; 9200; 9900; 8500; 5200; 7900; 9900; 9100; 5700; 9700; 9900; 9400; 8300; 6300; 5100; 7200; 9300; 7200; 6200; 5500; 9200; 8600; 6500], 69300, 69301, 2.6521215438842773
11, 80, 0.7709737500000002, [47; 19; 61; 91; 42; 27; 31; 23; 5; 60; 93; 46; 2; 85; 74; 68; 84; 16; 97; 67; 30; 11; 37; 1; 6; 83; 69; 18; 56; 92; 58; 8; 15; 22; 36; 87; 63; 41; 52; 39; 4; 55; 95; 79; 17; 88; 70; 65; 86; 25; 12; 96; 62; 14; 20; 26; 49; 81; 76; 50; 9; 29; 34; 51; 44; 80; 78; 75; 71; 3; 0; 43; 21; 89; 64; 45; 7; 35; 53; 57; 98; 10; 82; 66; 54; 99; 90; 72; 24; 77; 13; 28; 40; 32; 73; 48; 33; 94; 59; 38], [[47]; [19]; [61; 91]; [42]; [27]; [31]; [23]; [5]; [60; 93]; [46]; [2]; [85; 74]; [68; 84]; [16]; [97; 67]; [30]; [11]; [37]; [1]; [6]; [83; 69]; [18]; [56]; [92; 58]; [8]; [15]; [22]; [36]; [87; 63]; [41]; [52]; [39]; [4]; [55; 95]; [79]; [17]; [88; 70]; [65; 86]; [25]; [12]; [96; 62]; [14]; [20]; [26]; [49]; [81; 76]; [50]; [9]; [29]; [34]; [51]; [44]; [80; 78]; [75]; [71]; [3]; [0]; [43]; [21]; [89; 64]; [45]; [7]; [35]; [53]; [57; 98]; [10]; [82; 66]; [54; 99]; [90; 72]; [24]; [77]; [13]; [28]; [40]; [32]; [73]; [48]; [33]; [94; 59]; [38]], [7100; 9300; 10000; 7400; 9000; 8500; 9200; 9900; 9800; 7100; 10000; 9400; 9800; 9400; 8900; 8600; 9700; 7900; 10000; 9800; 9800; 9400; 6500; 9900; 9800; 9400; 9200; 8000; 10000; 7600; 6900; 7800; 9900; 10000; 5100; 9400; 9500; 9900; 9100; 9600; 9500; 9500; 9300; 9100; 7100; 9800; 7000; 9700; 8600; 8300; 7000; 7200; 10000; 5200; 5500; 10000; 10000; 7200; 9300; 9800; 7200; 9800; 8300; 6800; 9400; 9700; 10000; 9700; 9400; 9200; 5100; 9500; 8700; 7700; 8500; 5400; 7100; 8400; 9700; 7800], 54450, 54451, 1.9959402084350586
10, 80, 0.7705412500000001, [59; 92; 43; 63; 89; 55; 95; 47; 24; 25; 37; 34; 96; 54; 98; 50; 44; 84; 66; 31; 90; 65; 74; 49; 91; 60; 85; 67; 71; 3; 73; 70; 97; 79; 80; 1; 7; 15; 42; 39; 33; 14; 20; 29; 13; 40; 45; 83; 68; 48; 38; 52; 0; 51; 41; 46; 35; 88; 69; 64; 87; 22; 19; 86; 72; 8; 94; 62; 56; 27; 18; 36; 6; 82; 78; 32; 57; 93; 28; 53; 16; 4; 26; 9; 58; 23; 21; 12; 61; 5; 17; 75; 76; 81; 30; 77; 99; 11; 2; 10], [[59; 92]; [43]; [63; 89]; [55; 95]; [47]; [24]; [25]; [37]; [34]; [96; 54]; [98; 50]; [44]; [84; 66]; [31]; [90; 65]; [74]; [49]; [91; 60]; [85; 67]; [71]; [3]; [73]; [70; 97]; [79; 80]; [1]; [7]; [15]; [42]; [39]; [33]; [14]; [20]; [29]; [13]; [40]; [45]; [83; 68]; [48]; [38]; [52]; [0]; [51]; [41]; [46]; [35]; [88; 69]; [64; 87]; [22]; [19]; [86; 72]; [8]; [94; 62]; [56]; [27]; [18]; [36]; [6]; [82; 78]; [32]; [57; 93]; [28]; [53]; [16]; [4]; [26]; [9]; [58]; [23]; [21]; [12]; [61]; [5]; [17]; [75]; [76; 81]; [30]; [77; 99]; [11]; [2]; [10]], [9900; 7200; 9900; 10000; 7100; 9200; 9100; 7900; 8300; 10000; 10000; 7200; 9900; 8500; 9800; 5300; 7100; 10000; 9900; 5500; 10000; 5400; 8700; 10000; 10000; 9800; 9400; 7400; 7800; 8400; 9500; 9300; 8600; 9500; 7700; 7200; 9800; 7100; 7800; 6900; 10000; 7000; 7600; 7100; 8300; 9600; 9900; 9200; 9300; 9500; 9800; 9600; 6500; 9000; 9400; 8000; 9800; 9300; 8500; 10000; 8700; 6800; 9400; 9900; 9100; 9700; 6300; 9200; 9300; 9600; 6200; 9900; 9400; 5200; 9800; 8600; 8100; 9700; 10000; 9700], 49500, 49501, 1.8034076690673828
14, 80, 0.7713537500000004, [0; 22; 74; 90; 19; 34; 96; 70; 46; 2; 67; 84; 28; 8; 15; 33; 45; 81; 73; 39; 91; 61; 35; 25; 76; 27; 1; 66; 82; 5; 93; 59; 32; 86; 63; 43; 31; 40; 75; 37; 58; 50; 98; 23; 44; 10; 68; 83; 12; 26; 57; 92; 11; 13; 18; 64; 88; 78; 4; 79; 80; 53; 17; 36; 38; 30; 47; 77; 42; 55; 94; 20; 41; 6; 62; 97; 89; 71; 54; 56; 52; 65; 95; 14; 7; 9; 16; 29; 3; 48; 24; 60; 21; 49; 87; 72; 69; 85; 99; 51], [[0]; [22]; [74; 90]; [19]; [34]; [96; 70]; [46]; [2]; [67; 84]; [28]; [8]; [15]; [33]; [45]; [81; 73]; [39]; [91; 61]; [35]; [25]; [76]; [27]; [1]; [66; 82]; [5]; [93; 59]; [32]; [86; 63]; [43]; [31]; [40]; [75]; [37]; [58]; [50; 98]; [23]; [44]; [10]; [68; 83]; [12]; [26]; [57; 92]; [11]; [13]; [18]; [64; 88]; [78]; [4]; [79; 80]; [53]; [17]; [36]; [38]; [30]; [47]; [77]; [42]; [55; 94]; [20]; [41]; [6]; [62; 97]; [89; 71]; [54]; [56]; [52]; [65; 95]; [14]; [7]; [9]; [16]; [29]; [3]; [48]; [24]; [60]; [21]; [49]; [87; 72]; [69; 85]; [99; 51]], [10000; 9200; 9200; 9300; 8300; 8900; 7100; 10000; 9900; 8700; 9800; 9400; 8400; 7200; 10000; 7800; 10000; 8300; 9100; 5200; 9000; 10000; 10000; 9900; 9900; 8500; 10000; 7200; 8500; 7700; 5200; 7900; 6300; 10000; 9200; 7200; 9700; 9800; 9600; 9100; 10000; 9700; 9500; 9400; 9800; 5100; 9900; 10000; 6800; 9400; 8000; 7800; 8600; 7100; 5100; 7400; 10000; 9300; 7600; 9800; 9300; 9400; 6700; 6500; 6900; 9300; 9500; 9800; 9700; 9400; 8600; 10000; 7100; 9200; 6200; 9300; 7100; 9500; 9800; 10000], 69300, 69301, 2.5525829792022705
8, 80, 0.7678562500000004, [21; 30; 89; 73; 49; 5; 32; 62; 91; 33; 1; 35; 53; 10; 78; 97; 6; 24; 13; 34; 65; 87; 12; 61; 11; 25; 20; 36; 41; 51; 60; 37; 26; 31; 86; 68; 66; 82; 95; 58; 16; 93; 77; 8; 47; 7; 27; 0; 56; 3; 15; 64; 84; 71; 99; 40; 74; 92; 98; 50; 38; 14; 29; 90; 72; 18; 4; 43; 59; 57; 19; 9; 67; 94; 69; 83; 23; 48; 55; 96; 42; 22; 54; 17; 70; 85; 45; 52; 44; 28; 88; 63; 75; 81; 39; 2; 46; 80; 79; 76], [[21]; [30]; [89; 73]; [49]; [5]; [32]; [62; 91]; [33]; [1]; [35]; [53]; [10]; [78; 97]; [6]; [24]; [13]; [34]; [65; 87]; [12]; [61]; [11]; [25]; [20]; [36]; [41]; [51]; [60]; [37]; [26]; [31]; [86; 68]; [66; 82]; [95; 58]; [16]; [93; 77]; [8]; [47]; [7]; [27]; [0]; [56]; [3]; [15]; [64; 84]; [71; 99]; [40]; [74; 92]; [98; 50]; [38]; [14]; [29]; [90; 72]; [18]; [4]; [43]; [59]; [57]; [19]; [9]; [67; 94]; [69; 83]; [23]; [48]; [55; 96]; [42]; [22]; [54]; [17]; [70; 85]; [45]; [52]; [44]; [28]; [88; 63]; [75; 81]; [39]; [2]; [46]; [80; 79]; [76]], [9300; 8600; 9300; 7100; 9900; 8500; 10000; 8400; 10000; 8300; 6800; 9700; 8200; 9800; 9200; 9500; 8300; 9900; 9600; 6200; 9700; 9100; 9300; 8000; 7600; 7000; 6200; 7900; 9100; 8500; 9700; 10000; 9700; 9400; 8700; 9800; 7100; 9800; 9000; 10000; 6500; 10000; 9400; 10000; 8500; 7700; 8900; 10000; 7800; 9500; 8600; 9400; 9400; 9900; 7200; 6300; 6400; 9300; 9700; 9200; 9800; 9200; 7100; 9900; 7400; 9200; 6700; 9400; 9700; 7200; 6900; 7200; 8700; 9900; 9800; 7800; 10000; 7100; 10000; 5200], 39600, 39601, 1.5774815082550049
10, 80, 0.7697212500000002, [10; 33; 31; 32; 59; 7; 26; 67; 82; 35; 45; 18; 73; 19; 74; 91; 90; 64; 47; 81; 77; 14; 71; 28; 1; 57; 92; 25; 36; 72; 23; 97; 53; 62; 93; 61; 16; 84; 75; 15; 87; 69; 48; 20; 46; 9; 55; 2; 41; 5; 29; 42; 51; 99; 8; 34; 22; 58; 78; 80; 4; 76; 94; 37; 39; 27; 49; 44; 56; 24; 52; 98; 0; 6; 40; 54; 96; 11; 13; 79; 83; 21; 70; 85; 88; 66; 60; 30; 12; 50; 63; 86; 43; 17; 3; 68; 89; 38; 95; 65], [[10]; [33]; [31]; [32]; [59]; [7]; [26]; [67; 82]; [35]; [45]; [18]; [73]; [19]; [74; 91]; [90; 64]; [47]; [81; 77]; [14]; [71]; [28]; [1]; [57; 92]; [25]; [36]; [72]; [23]; [97; 53]; [62; 93]; [61]; [16]; [84; 75]; [15]; [87; 69]; [48]; [20]; [46]; [9]; [55]; [2]; [41]; [5]; [29]; [42]; [51; 99]; [8]; [34]; [22]; [58]; [78; 80]; [4]; [76; 94]; [37]; [39]; [27]; [49]; [44]; [56]; [24]; [52; 98]; [0]; [6]; [40]; [54; 96]; [11]; [13]; [79; 83]; [21]; [70; 85]; [88; 66]; [60]; [30]; [12]; [50]; [63; 86]; [43]; [17]; [3]; [68; 89]; [38]; [95; 65]], [9700; 8400; 8500; 8500; 6300; 9800; 9100; 10000; 8300; 7200; 9400; 5400; 9300; 9100; 9800; 7100; 9700; 9500; 5500; 8700; 10000; 10000; 9100; 8000; 5500; 9200; 9900; 9800; 6200; 9400; 9300; 9400; 9700; 7100; 9300; 7100; 9700; 6600; 10000; 7600; 9900; 8600; 7400; 10000; 9800; 8300; 9200; 6300; 10000; 9900; 8600; 7900; 7800; 9000; 7100; 7200; 6500; 9200; 9900; 10000; 9800; 7700; 10000; 9700; 9500; 9200; 9300; 9700; 9700; 6200; 8600; 9600; 7000; 10000; 7200; 9400; 10000; 9600; 7800; 9300], 49500, 49501, 1.9319708347320557
11, 80, 0.7695562500000002, [92; 57; 21; 70; 88; 27; 5; 8; 24; 42; 33; 48; 58; 63; 86; 69; 82; 32; 79; 81; 14; 64; 90; 16; 36; 19; 6; 83; 73; 20; 3; 61; 65; 37; 99; 52; 46; 39; 53; 97; 1; 56; 50; 98; 25; 77; 89; 9; 60; 17; 72; 93; 10; 34; 59; 96; 31; 62; 2; 76; 41; 43; 30; 22; 18; 51; 28; 7; 44; 67; 85; 23; 95; 74; 29; 94; 55; 87; 75; 49; 12; 15; 47; 66; 91; 13; 80; 78; 45; 40; 26; 4; 11; 54; 71; 68; 84; 35; 0; 38], [[92; 57]; [21]; [70; 88]; [27]; [5]; [8]; [24]; [42]; [33]; [48]; [58]; [63; 86]; [69; 82]; [32]; [79; 81]; [14]; [64; 90]; [16]; [36]; [19]; [6]; [83; 73]; [20]; [3]; [61]; [65]; [37]; [99; 52]; [46]; [39]; [53; 97]; [1]; [56]; [50; 98]; [25]; [77; 89]; [9]; [60]; [17]; [72; 93]; [10]; [34]; [59; 96]; [31]; [62]; [2]; [76]; [41]; [43]; [30]; [22]; [18]; [51]; [28]; [7]; [44]; [67; 85]; [23]; [95; 74]; [29]; [94; 55]; [87; 75]; [49]; [12]; [15]; [47]; [66; 91]; [13]; [80; 78]; [45]; [40]; [26]; [4]; [11]; [54]; [71]; [68; 84]; [35]; [0]; [38]], [10000; 9300; 9500; 9000; 9900; 9800; 9200; 7400; 8400; 7100; 6300; 10000; 9900; 8500; 9700; 9500; 9800; 9400; 8000; 9300; 9800; 9500; 9300; 10000; 6200; 5900; 7900; 9900; 7100; 7800; 9900; 10000; 6500; 10000; 9100; 9000; 9700; 6200; 9400; 9100; 9700; 8300; 9600; 8500; 6200; 10000; 5200; 7600; 7200; 8600; 9200; 9400; 7000; 8700; 9800; 7200; 9900; 9200; 8700; 8600; 10000; 9200; 7100; 9600; 9400; 7100; 9600; 9500; 10000; 7200; 7700; 9100; 9900; 9700; 6700; 5500; 9800; 8300; 10000; 7800], 54450, 54451, 2.016876459121704
10, 80, 0.7684812500000003, [3; 20; 52; 25; 49; 45; 78; 99; 40; 15; 16; 35; 32; 62; 7; 84; 65; 26; 30; 43; 27; 81; 76; 9; 13; 33; 31; 54; 39; 75; 77; 80; 24; 90; 69; 74; 94; 22; 79; 41; 72; 89; 61; 97; 10; 5; 56; 53; 87; 66; 42; 98; 73; 11; 57; 92; 17; 58; 46; 44; 4; 28; 1; 23; 50; 83; 67; 36; 14; 2; 96; 55; 38; 6; 91; 68; 18; 48; 47; 37; 21; 19; 63; 88; 60; 93; 70; 82; 12; 86; 71; 34; 8; 85; 64; 59; 95; 51; 29; 0], [[3]; [20]; [52]; [25]; [49]; [45]; [78; 99]; [40]; [15]; [16]; [35]; [32]; [62]; [7]; [84; 65]; [26]; [30]; [43]; [27]; [81; 76]; [9]; [13]; [33]; [31]; [54]; [39]; [75]; [77; 80]; [24]; [90; 69]; [74; 94]; [22]; [79]; [41]; [72; 89]; [61; 97]; [10]; [5]; [56]; [53]; [87; 66]; [42]; [98; 73]; [11]; [57; 92]; [17]; [58]; [46]; [44]; [4]; [28]; [1]; [23]; [50]; [83; 67]; [36]; [14]; [2]; [96; 55]; [38]; [6]; [91; 68]; [18]; [48]; [47]; [37]; [21]; [19]; [63; 88]; [60; 93]; [70; 82]; [12]; [86; 71]; [34]; [8]; [85; 64]; [59; 95]; [51]; [29]; [0]], [10000; 9300; 6900; 9100; 7100; 7200; 8100; 7700; 9400; 9400; 8300; 8500; 6200; 9800; 10000; 9100; 8600; 7200; 9000; 9800; 9700; 9500; 8400; 8500; 6700; 7800; 5200; 10000; 9200; 9600; 8700; 9200; 5100; 7600; 9400; 9300; 9700; 9900; 6500; 6800; 9800; 7400; 8400; 9700; 10000; 9400; 6300; 7100; 7200; 9900; 8700; 10000; 9200; 7000; 9900; 8000; 9500; 10000; 9900; 7800; 9800; 9500; 9400; 7100; 7100; 7900; 9300; 9300; 9900; 9800; 9800; 9600; 9500; 8300; 9800; 10000; 9700; 7000; 8600; 10000], 49500, 49501, 1.8125650882720947
