Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
16, 80, 0.7663000000000001, [76; 77; 54; 12; 70; 87; 90; 66; 49; 97; 2; 89; 67; 75; 80; 69; 86; 9; 47; 98; 23; 53; 84; 81; 13; 92; 62; 85; 71; 19; 25; 52; 95; 27; 46; 63; 34; 79; 82; 42; 44; 31; 55; 29; 14; 6; 26; 68; 3; 43; 33; 15; 18; 32; 74; 20; 96; 59; 11; 7; 38; 48; 83; 78; 5; 1; 8; 16; 91; 64; 50; 99; 37; 41; 73; 35; 45; 39; 10; 58; 56; 0; 21; 24; 4; 93; 57; 60; 94; 36; 28; 65; 22; 30; 17; 61; 40; 72; 88; 51], [[76; 77]; [54]; [12]; [70; 87]; [90; 66]; [49; 97]; [2]; [89; 67]; [75; 80]; [69; 86]; [9]; [47; 98]; [23]; [53]; [84; 81]; [13]; [92; 62]; [85; 71]; [19]; [25]; [52; 95]; [27]; [46]; [63]; [34]; [79; 82]; [42]; [44]; [31]; [55]; [29]; [14]; [6]; [26]; [68]; [3]; [43]; [33]; [15]; [18]; [32]; [74]; [20]; [96; 59]; [11]; [7]; [38]; [48]; [83; 78]; [5]; [1]; [8]; [16]; [91; 64]; [50; 99]; [37]; [41]; [73]; [35]; [45]; [39]; [10]; [58]; [56]; [0]; [21]; [24]; [4]; [93; 57]; [60; 94]; [36]; [28]; [65]; [22]; [30]; [17]; [61]; [40]; [72; 88]; [51]], [10000; 6600; 9600; 9900; 9900; 10000; 10000; 9900; 10000; 10000; 9700; 10000; 9000; 6600; 9400; 9600; 10000; 10000; 9200; 8900; 10000; 8800; 7100; 6200; 7900; 9700; 7400; 7200; 8200; 6600; 8500; 9600; 9900; 8800; 5800; 10000; 7300; 8000; 9500; 9300; 8000; 5400; 9100; 9700; 9700; 9900; 7500; 6900; 9600; 9900; 10000; 9800; 9400; 10000; 9900; 7600; 7500; 5500; 7800; 7100; 7500; 9700; 6400; 6600; 10000; 9100; 8900; 9900; 10000; 9900; 7700; 8500; 5900; 9100; 8200; 9400; 6400; 7500; 9800; 6700], 79200, 79201, 4.45043420791626
9, 80, 0.76548, [19; 36; 89; 65; 43; 54; 92; 63; 28; 14; 26; 21; 27; 51; 96; 52; 2; 57; 17; 77; 76; 38; 41; 50; 94; 59; 37; 53; 18; 15; 78; 79; 44; 32; 16; 61; 95; 22; 11; 56; 86; 70; 46; 33; 5; 13; 3; 97; 66; 58; 34; 35; 85; 73; 99; 47; 45; 7; 6; 8; 29; 64; 24; 60; 82; 80; 69; 87; 55; 0; 71; 91; 31; 83; 74; 84; 30; 39; 25; 98; 49; 23; 42; 4; 72; 88; 40; 12; 90; 67; 20; 68; 48; 93; 62; 9; 10; 1; 81; 75], [[19]; [36]; [89; 65]; [43]; [54]; [92; 63]; [28]; [14]; [26]; [21]; [27]; [51; 96]; [52]; [2]; [57]; [17]; [77; 76]; [38]; [41]; [50]; [94; 59]; [37]; [53]; [18]; [15]; [78; 79]; [44]; [32]; [16]; [61; 95]; [22]; [11]; [56]; [86; 70]; [46]; [33]; [5]; [13]; [3]; [97; 66]; [58]; [34]; [35]; [85; 73]; [99; 47]; [45]; [7]; [6]; [8]; [29]; [64]; [24]; [60]; [82; 80]; [69; 87]; [55]; [0]; [71; 91]; [31]; [83]; [74; 84]; [30]; [39]; [25]; [98; 49]; [23]; [42]; [4]; [72; 88]; [40]; [12]; [90; 67]; [20]; [68]; [48]; [93; 62]; [9]; [10]; [1]; [81; 75]], [9200; 7700; 9900; 7300; 6600; 10000; 8500; 9600; 8800; 9100; 8800; 10000; 6700; 10000; 6500; 9400; 10000; 7500; 7500; 6900; 9900; 7600; 6600; 9300; 9500; 9800; 7200; 8000; 9400; 9700; 9100; 9700; 6600; 10000; 7100; 8000; 9900; 9600; 10000; 9000; 6400; 7900; 7800; 9900; 10000; 7100; 9900; 9900; 9800; 8500; 6100; 8900; 6400; 9600; 9900; 6600; 10000; 9500; 8200; 4700; 10000; 8200; 7500; 8900; 9900; 9000; 7400; 9900; 9800; 7500; 9600; 9900; 9100; 5800; 6900; 9700; 9700; 9700; 10000; 10000], 44550, 44551, 1.6202802658081055
12, 80, 0.7649150000000001, [24; 43; 40; 5; 99; 47; 9; 28; 85; 70; 22; 84; 74; 67; 82; 76; 36; 79; 77; 33; 30; 38; 83; 81; 51; 92; 64; 59; 39; 44; 80; 75; 60; 3; 56; 16; 4; 72; 87; 65; 93; 7; 34; 52; 96; 8; 21; 17; 78; 89; 14; 20; 2; 69; 88; 42; 23; 62; 25; 55; 29; 6; 18; 32; 54; 35; 1; 31; 48; 86; 71; 90; 66; 95; 53; 45; 26; 61; 37; 68; 12; 49; 97; 94; 57; 13; 19; 11; 0; 41; 63; 10; 46; 58; 73; 91; 15; 27; 50; 98], [[24]; [43]; [40]; [5]; [99; 47]; [9]; [28]; [85; 70]; [22]; [84; 74]; [67]; [82; 76]; [36]; [79; 77]; [33]; [30]; [38]; [83; 81]; [51]; [92; 64]; [59]; [39]; [44]; [80; 75]; [60]; [3]; [56]; [16]; [4]; [72; 87]; [65; 93]; [7]; [34]; [52; 96]; [8]; [21]; [17]; [78; 89]; [14]; [20]; [2]; [69; 88]; [42]; [23]; [62]; [25]; [55]; [29]; [6]; [18]; [32]; [54]; [35]; [1]; [31]; [48]; [86; 71]; [90; 66]; [95; 53]; [45]; [26]; [61]; [37]; [68]; [12]; [49; 97]; [94; 57]; [13]; [19]; [11]; [0]; [41]; [63]; [10]; [46]; [58]; [73; 91]; [15]; [27]; [50; 98]], [8900; 7300; 7500; 9900; 10000; 9700; 8500; 10000; 9100; 10000; 5900; 9800; 7700; 9900; 8000; 8200; 7500; 9500; 6700; 9900; 6400; 7500; 7200; 10000; 6400; 10000; 6600; 9400; 9900; 9800; 9400; 9900; 7900; 10000; 9800; 9100; 9400; 8900; 9600; 9100; 10000; 9900; 7400; 9000; 6200; 8900; 6600; 8500; 9900; 9300; 8000; 6600; 7800; 10000; 8200; 6900; 10000; 9900; 9900; 7100; 8800; 6400; 7600; 5800; 9600; 10000; 10000; 9600; 9200; 9700; 10000; 7500; 6200; 9700; 7100; 6400; 9400; 9500; 8800; 9900], 59400, 59401, 2.1410739421844482
14, 80, 0.7653375000000002, [98; 50; 22; 13; 11; 36; 66; 91; 9; 21; 7; 56; 34; 77; 81; 82; 89; 27; 1; 23; 63; 4; 16; 75; 80; 51; 97; 32; 24; 44; 12; 37; 14; 3; 5; 6; 69; 88; 0; 61; 94; 45; 18; 47; 40; 79; 83; 8; 72; 28; 76; 78; 2; 35; 57; 93; 96; 53; 60; 59; 30; 95; 52; 49; 54; 43; 42; 84; 74; 73; 86; 68; 31; 92; 65; 25; 87; 70; 39; 15; 55; 41; 99; 48; 38; 19; 58; 26; 46; 90; 67; 64; 33; 10; 17; 62; 29; 20; 71; 85], [[98; 50]; [22]; [13]; [11]; [36]; [66; 91]; [9]; [21]; [7]; [56]; [34]; [77; 81]; [82; 89]; [27]; [1]; [23]; [63]; [4]; [16]; [75; 80]; [51; 97]; [32]; [24]; [44]; [12]; [37]; [14]; [3]; [5]; [6]; [69; 88]; [0]; [61; 94]; [45]; [18]; [47]; [40]; [79; 83]; [8]; [72]; [28]; [76; 78]; [2]; [35]; [57; 93]; [96; 53]; [60]; [59]; [30]; [95; 52]; [49]; [54]; [43]; [42]; [84; 74]; [73; 86]; [68]; [31]; [92; 65]; [25]; [87; 70]; [39]; [15]; [55]; [41]; [99; 48]; [38]; [19]; [58]; [26]; [46]; [90; 67]; [64]; [33]; [10]; [17]; [62]; [29]; [20]; [71; 85]], [9900; 9100; 9600; 9700; 7700; 9800; 9700; 9100; 9900; 6600; 7900; 9800; 8800; 8800; 10000; 9000; 6200; 9900; 9400; 10000; 9800; 8000; 8900; 7200; 9600; 7600; 9600; 10000; 9900; 9900; 9900; 10000; 9900; 7100; 9300; 7000; 7500; 9600; 9800; 5500; 8500; 9900; 10000; 7800; 10000; 9900; 6400; 6400; 8200; 10000; 6900; 6600; 7300; 7400; 10000; 9900; 5800; 8200; 9700; 8900; 9900; 7500; 9500; 6600; 7500; 9900; 7500; 9200; 6400; 8800; 7100; 9900; 6100; 8000; 9700; 9400; 6200; 8500; 9100; 10000], 69300, 69301, 2.548769474029541
12, 80, 0.7657375, [8; 43; 41; 92; 62; 51; 95; 0; 2; 58; 87; 69; 7; 4; 57; 93; 35; 20; 5; 38; 25; 70; 13; 31; 84; 75; 55; 97; 6; 19; 90; 66; 30; 29; 89; 67; 81; 79; 82; 83; 27; 53; 80; 76; 44; 18; 46; 65; 91; 22; 32; 14; 23; 36; 40; 42; 61; 73; 88; 37; 54; 45; 77; 78; 56; 47; 3; 85; 72; 34; 39; 52; 96; 63; 94; 9; 11; 33; 12; 64; 24; 28; 17; 10; 21; 15; 16; 99; 48; 26; 74; 59; 50; 68; 49; 98; 86; 71; 60; 1], [[8]; [43]; [41]; [92; 62]; [51; 95]; [0]; [2]; [58]; [87; 69]; [7]; [4]; [57; 93]; [35]; [20]; [5]; [38]; [25]; [70]; [13]; [31]; [84; 75]; [55; 97]; [6]; [19]; [90; 66]; [30]; [29]; [89; 67]; [81; 79]; [82; 83]; [27]; [53]; [80; 76]; [44]; [18]; [46]; [65; 91]; [22]; [32]; [14]; [23]; [36]; [40]; [42]; [61]; [73; 88]; [37]; [54]; [45]; [77; 78]; [56]; [47]; [3]; [85; 72]; [34]; [39]; [52; 96]; [63; 94]; [9]; [11]; [33]; [12]; [64]; [24]; [28]; [17]; [10]; [21]; [15]; [16]; [99; 48]; [26]; [74]; [59]; [50]; [68]; [49; 98]; [86; 71]; [60]; [1]], [9800; 7300; 7500; 10000; 10000; 10000; 10000; 6400; 9900; 9900; 9900; 10000; 7800; 9100; 9900; 7500; 8900; 5600; 9600; 8200; 9800; 9700; 9900; 9200; 9900; 8200; 8500; 9900; 9700; 9500; 8800; 6600; 9800; 7200; 9300; 7100; 9800; 9100; 8000; 9600; 9000; 7700; 7500; 7400; 6400; 9800; 7600; 6600; 7100; 9900; 6600; 7000; 10000; 9900; 7900; 7500; 10000; 9700; 9700; 9700; 8000; 9600; 6100; 8900; 8500; 9400; 9700; 9100; 9500; 9400; 9900; 8800; 5400; 6400; 6900; 5800; 9900; 10000; 6400; 10000], 59400, 59401, 2.1719260215759277
14, 80, 0.7651325000000002, [25; 33; 41; 32; 51; 98; 83; 77; 13; 34; 2; 3; 47; 99; 45; 86; 71; 21; 4; 56; 20; 94; 57; 60; 93; 6; 44; 62; 30; 74; 84; 43; 46; 31; 68; 14; 40; 65; 28; 22; 90; 69; 67; 5; 76; 78; 88; 73; 7; 59; 1; 27; 48; 54; 75; 80; 0; 12; 8; 87; 70; 24; 52; 95; 37; 15; 38; 49; 97; 18; 50; 89; 72; 19; 17; 26; 9; 63; 55; 96; 29; 11; 85; 81; 23; 36; 58; 92; 66; 91; 64; 61; 79; 82; 39; 16; 10; 53; 42; 35], [[25]; [33]; [41]; [32]; [51; 98]; [83; 77]; [13]; [34]; [2]; [3]; [47; 99]; [45]; [86; 71]; [21]; [4]; [56]; [20]; [94; 57]; [60; 93]; [6]; [44]; [62]; [30]; [74; 84]; [43]; [46]; [31]; [68]; [14]; [40]; [65]; [28]; [22]; [90; 69]; [67]; [5]; [76; 78]; [88; 73]; [7]; [59]; [1]; [27]; [48]; [54]; [75; 80]; [0]; [12]; [8]; [87; 70]; [24]; [52; 95]; [37]; [15]; [38]; [49; 97]; [18]; [50]; [89; 72]; [19]; [17]; [26]; [9]; [63]; [55; 96]; [29]; [11]; [85; 81]; [23]; [36]; [58]; [92; 66]; [91; 64]; [61]; [79; 82]; [39]; [16]; [10]; [53]; [42]; [35]], [8900; 8000; 7500; 8000; 9700; 9700; 9600; 7900; 10000; 10000; 10000; 7100; 10000; 9100; 9900; 6600; 9100; 10000; 9900; 9900; 7200; 6200; 8200; 10000; 7300; 7100; 8200; 5800; 9600; 7500; 5900; 8500; 9100; 9600; 5900; 9900; 9900; 9800; 9900; 6400; 10000; 8800; 6900; 6600; 10000; 10000; 9600; 9800; 9900; 8900; 10000; 7600; 9500; 7500; 10000; 9300; 6900; 9500; 9200; 9400; 8800; 9700; 6200; 9900; 8500; 9700; 9200; 9000; 7700; 6400; 9700; 10000; 6400; 9700; 7500; 9400; 9700; 6600; 7400; 7800], 69300, 69301, 2.563210964202881
13, 80, 0.7662100000000002, [12; 53; 42; 35; 28; 31; 69; 86; 20; 98; 48; 41; 4; 90; 65; 64; 91; 10; 21; 37; 14; 55; 11; 79; 81; 34; 66; 92; 76; 82; 59; 32; 26; 96; 56; 85; 72; 73; 19; 25; 33; 2; 6; 40; 44; 0; 29; 39; 51; 77; 78; 30; 62; 18; 47; 99; 5; 36; 61; 95; 88; 71; 70; 87; 49; 84; 74; 57; 97; 38; 52; 13; 68; 9; 23; 24; 94; 60; 17; 80; 7; 1; 45; 3; 75; 83; 27; 54; 22; 46; 50; 58; 93; 43; 67; 89; 15; 16; 8; 63], [[12]; [53]; [42]; [35]; [28]; [31]; [69; 86]; [20]; [98; 48]; [41]; [4]; [90; 65]; [64; 91]; [10]; [21]; [37]; [14]; [55]; [11]; [79; 81]; [34]; [66; 92]; [76; 82]; [59]; [32]; [26]; [96; 56]; [85; 72]; [73]; [19]; [25]; [33]; [2]; [6]; [40]; [44]; [0]; [29]; [39]; [51]; [77; 78]; [30]; [62]; [18]; [47; 99]; [5]; [36]; [61; 95]; [88; 71]; [70; 87]; [49]; [84; 74]; [57; 97]; [38]; [52]; [13]; [68]; [9]; [23]; [24]; [94; 60]; [17]; [80]; [7]; [1]; [45]; [3]; [75; 83]; [27]; [54]; [22]; [46]; [50]; [58; 93]; [43]; [67; 89]; [15]; [16]; [8]; [63]], [9600; 6600; 7400; 7800; 8500; 8200; 10000; 9100; 9900; 7500; 9900; 9900; 10000; 9700; 9100; 7600; 9600; 6600; 9700; 9700; 7900; 9700; 9800; 6400; 8000; 8800; 9900; 9900; 5500; 9200; 8900; 8000; 10000; 9900; 7500; 7200; 10000; 8500; 7500; 6700; 9900; 8200; 6200; 9300; 10000; 9900; 7700; 9700; 9900; 9900; 6900; 10000; 9600; 7500; 6700; 9600; 5800; 9700; 9000; 8900; 9900; 9400; 4800; 9900; 10000; 7100; 10000; 9900; 8800; 6600; 9100; 7100; 6900; 9900; 7300; 9900; 9500; 9400; 9800; 6200], 64350, 64351, 2.3325541019439697
14, 80, 0.7648350000000002, [59; 55; 53; 38; 9; 81; 83; 0; 57; 94; 28; 44; 98; 62; 3; 99; 54; 89; 68; 35; 6; 97; 50; 90; 75; 52; 96; 29; 64; 47; 37; 33; 88; 73; 84; 74; 8; 11; 36; 10; 18; 41; 46; 60; 93; 31; 70; 69; 85; 25; 58; 14; 56; 91; 66; 17; 20; 78; 79; 19; 82; 80; 23; 39; 51; 95; 7; 21; 30; 32; 27; 65; 26; 63; 92; 1; 71; 86; 42; 67; 16; 40; 34; 48; 4; 61; 24; 45; 2; 15; 5; 12; 22; 43; 72; 87; 13; 49; 76; 77], [[59]; [55]; [53]; [38]; [9]; [81; 83]; [0]; [57; 94]; [28]; [44]; [98; 62]; [3]; [99; 54]; [89; 68]; [35]; [6]; [97; 50]; [90; 75]; [52; 96]; [29]; [64]; [47]; [37]; [33]; [88; 73]; [84; 74]; [8]; [11]; [36]; [10]; [18]; [41]; [46]; [60; 93]; [31]; [70]; [69; 85]; [25]; [58]; [14]; [56]; [91; 66]; [17]; [20]; [78; 79]; [19]; [82; 80]; [23]; [39]; [51; 95]; [7]; [21]; [30]; [32]; [27]; [65]; [26]; [63; 92]; [1]; [71; 86]; [42]; [67]; [16]; [40]; [34]; [48]; [4]; [61]; [24]; [45]; [2]; [15]; [5]; [12]; [22]; [43]; [72; 87]; [13]; [49]; [76; 77]], [6400; 6600; 6600; 7500; 9700; 9500; 10000; 10000; 8500; 7200; 9200; 10000; 9600; 9800; 7800; 9900; 10000; 9200; 10000; 8500; 6100; 7000; 7600; 8000; 9800; 10000; 9800; 9700; 7700; 9700; 9300; 7500; 7100; 9900; 8200; 5600; 10000; 8900; 6400; 9600; 6600; 9800; 9400; 9100; 9800; 9200; 9600; 9000; 7500; 10000; 9900; 9100; 8200; 8000; 8800; 5900; 8800; 10000; 10000; 10000; 7400; 5900; 9400; 7500; 7900; 6900; 9900; 6400; 8900; 7100; 10000; 9500; 9900; 9600; 9100; 7300; 9800; 9600; 6900; 10000], 69300, 69301, 2.5294675827026367
13, 80, 0.76501, [11; 14; 44; 20; 40; 97; 56; 52; 22; 23; 63; 92; 81; 75; 1; 43; 51; 58; 59; 67; 90; 55; 10; 24; 77; 84; 19; 2; 73; 85; 3; 25; 66; 91; 30; 50; 98; 42; 41; 0; 48; 32; 16; 94; 64; 15; 28; 36; 71; 86; 47; 99; 33; 26; 95; 68; 78; 83; 4; 17; 69; 88; 35; 70; 87; 76; 80; 45; 9; 61; 6; 39; 34; 37; 60; 27; 79; 82; 93; 57; 21; 8; 96; 54; 38; 72; 49; 12; 74; 29; 5; 62; 46; 7; 65; 89; 13; 53; 31; 18], [[11]; [14]; [44]; [20]; [40]; [97; 56]; [52]; [22]; [23]; [63; 92]; [81; 75]; [1]; [43]; [51]; [58]; [59]; [67; 90]; [55]; [10]; [24]; [77; 84]; [19]; [2]; [73; 85]; [3]; [25]; [66; 91]; [30]; [50; 98]; [42]; [41]; [0]; [48]; [32]; [16]; [94; 64]; [15]; [28]; [36]; [71; 86]; [47; 99]; [33]; [26]; [95; 68]; [78; 83]; [4]; [17]; [69; 88]; [35]; [70; 87]; [76; 80]; [45]; [9]; [61]; [6]; [39]; [34]; [37]; [60]; [27]; [79; 82]; [93; 57]; [21]; [8]; [96; 54]; [38]; [72]; [49]; [12]; [74]; [29]; [5]; [62]; [46]; [7]; [65; 89]; [13]; [53]; [31]; [18]], [9700; 9600; 7200; 9100; 7500; 9700; 6700; 9100; 9000; 10000; 10000; 10000; 7300; 6700; 6400; 6400; 9900; 6600; 9700; 8900; 9600; 9200; 10000; 9900; 10000; 8900; 9800; 8200; 9900; 7400; 7500; 10000; 6900; 8000; 9400; 9600; 9500; 8500; 7700; 10000; 10000; 8000; 8800; 9100; 9600; 9900; 9400; 9900; 7800; 9900; 9800; 7100; 9700; 6400; 9900; 7500; 7900; 7600; 6400; 8800; 9700; 10000; 9100; 9800; 9900; 7500; 5500; 6900; 9600; 5400; 8500; 9900; 6200; 7100; 9900; 9900; 9600; 6600; 8200; 9300], 64350, 64351, 2.336766004562378
13, 80, 0.7655850000000002, [54; 96; 16; 22; 19; 14; 75; 82; 90; 65; 85; 69; 49; 0; 13; 95; 52; 91; 64; 37; 32; 86; 77; 17; 70; 87; 9; 76; 78; 89; 67; 33; 38; 15; 7; 68; 43; 24; 35; 61; 26; 20; 2; 1; 12; 53; 66; 10; 45; 21; 48; 97; 18; 42; 29; 4; 56; 72; 27; 51; 99; 25; 8; 30; 94; 57; 62; 93; 28; 23; 46; 81; 79; 36; 6; 84; 74; 34; 60; 63; 92; 59; 98; 11; 50; 71; 88; 47; 31; 55; 83; 80; 39; 58; 40; 5; 73; 44; 3; 41], [[54; 96]; [16]; [22]; [19]; [14]; [75; 82]; [90; 65]; [85; 69]; [49]; [0]; [13]; [95; 52]; [91; 64]; [37]; [32]; [86; 77]; [17]; [70; 87]; [9]; [76; 78]; [89; 67]; [33]; [38]; [15]; [7]; [68]; [43]; [24]; [35]; [61]; [26]; [20]; [2]; [1]; [12]; [53]; [66]; [10]; [45]; [21]; [48; 97]; [18]; [42]; [29]; [4]; [56]; [72]; [27]; [51; 99]; [25]; [8]; [30]; [94; 57]; [62; 93]; [28]; [23]; [46]; [81; 79]; [36]; [6]; [84; 74]; [34]; [60]; [63; 92]; [59; 98]; [11]; [50]; [71; 88]; [47]; [31]; [55]; [83; 80]; [39]; [58]; [40]; [5]; [73]; [44]; [3]; [41]], [9900; 9400; 9100; 9200; 9600; 10000; 9900; 10000; 6900; 10000; 9600; 10000; 10000; 7600; 8000; 9400; 9400; 9900; 9700; 9900; 9900; 8000; 7500; 9500; 9900; 5800; 7300; 8900; 7800; 6400; 8800; 9100; 10000; 10000; 9600; 6600; 5900; 9700; 7100; 9100; 10000; 9300; 7400; 8500; 9900; 6600; 5500; 8800; 9700; 8900; 9800; 8200; 10000; 9700; 8500; 9000; 7100; 9700; 7700; 9900; 10000; 7900; 6400; 10000; 9400; 9700; 6900; 9900; 7000; 8200; 6600; 9500; 7500; 6400; 7500; 9900; 5500; 7200; 10000; 7500], 64350, 64351, 2.329537868499756
