Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
41, 50, 0.8818569444444446, [3; 89; 32; 61; 52; 43; 54; 41; 31; 62; 73; 18; 15; 75; 88; 0; 20; 69; 48; 27; 64; 50; 47; 98; 57; 37; 63; 29; 19; 70; 72; 16; 12; 78; 71; 82; 49; 97; 14; 93; 85; 59; 36; 42; 53; 5; 94; 34; 58; 65; 26; 38; 30; 60; 23; 66; 6; 84; 33; 90; 76; 8; 21; 68; 91; 1; 11; 95; 87; 46; 45; 28; 81; 2; 86; 22; 79; 67; 25; 99; 10; 51; 44; 17; 77; 24; 80; 13; 74; 7; 83; 35; 55; 40; 92; 4; 96; 56; 39; 9], [[3; 89]; [32; 61]; [52; 43]; [54; 41]; [31; 62]; [73; 18]; [15; 75]; [88; 0]; [20; 69]; [48]; [27; 64]; [50; 47; 98]; [57; 37]; [63; 29]; [19; 70]; [72; 16]; [12; 78]; [71; 82; 49; 97]; [14; 93; 85]; [59; 36]; [42; 53]; [5; 94]; [34; 58]; [65; 26]; [38]; [30; 60]; [23; 66]; [6; 84]; [33; 90; 76]; [8]; [21; 68]; [91; 1]; [11; 95; 87]; [46]; [45]; [28; 81]; [2; 86]; [22; 79]; [67; 25; 99]; [10]; [51; 44]; [17; 77]; [24; 80]; [13; 74]; [7; 83]; [35]; [55; 40]; [92; 4; 96]; [56; 39]; [9]], [11600; 11700; 11900; 11900; 11800; 11900; 11900; 11700; 11900; 6200; 12000; 12000; 11900; 12000; 12000; 11900; 12000; 12000; 12000; 11700; 12000; 10900; 12000; 12000; 6900; 12000; 12000; 11900; 12000; 9700; 12000; 11500; 12000; 6200; 6300; 10600; 11900; 11000; 12000; 9500; 11700; 11800; 10800; 12000; 11900; 7000; 12000; 12000; 12000; 9700], 207900, 207901, 7.919183254241943
30, 49, 0.908252551020408, [2; 84; 8; 16; 72; 99; 71; 19; 47; 50; 57; 36; 23; 66; 35; 59; 5; 12; 78; 58; 38; 10; 88; 73; 18; 85; 9; 64; 27; 34; 11; 79; 67; 86; 46; 76; 25; 96; 61; 31; 21; 69; 40; 55; 95; 17; 87; 89; 0; 56; 39; 75; 91; 37; 13; 81; 60; 30; 1; 97; 94; 32; 54; 41; 20; 74; 82; 7; 43; 52; 14; 80; 45; 49; 65; 28; 24; 70; 42; 93; 62; 48; 51; 53; 44; 68; 22; 90; 4; 6; 83; 98; 33; 63; 29; 15; 77; 26; 3; 92], [[2]; [84; 8]; [16; 72; 99]; [71; 19]; [47; 50]; [57; 36]; [23; 66]; [35; 59]; [5]; [12; 78]; [58; 38]; [10; 88]; [73; 18]; [85; 9]; [64; 27]; [34]; [11; 79]; [67; 86; 46]; [76; 25; 96]; [61; 31]; [21; 69]; [40; 55]; [95; 17; 87]; [89; 0]; [56; 39]; [75; 91; 37]; [13; 81]; [60; 30]; [1; 97; 94]; [32]; [54; 41]; [20; 74]; [82; 7]; [43; 52]; [14; 80]; [45; 49]; [65; 28]; [24; 70]; [42; 93; 62]; [48; 51]; [53; 44]; [68; 22]; [90; 4]; [6; 83]; [98; 33; 63]; [29]; [15; 77]; [26]; [3; 92]], [10000; 11900; 12000; 11900; 11600; 11900; 12000; 11700; 9900; 12000; 11800; 11200; 11900; 11800; 12000; 7100; 11900; 11900; 12000; 11800; 11900; 12000; 11600; 11600; 12000; 11600; 11500; 12000; 11800; 7500; 11900; 11600; 12000; 11900; 11500; 11900; 12000; 11500; 12000; 11600; 11600; 11800; 11400; 11900; 12000; 7900; 11800; 8000; 11200], 148500, 148501, 4.607577562332153
41, 49, 0.9083942743764171, [39; 14; 76; 8; 71; 19; 23; 78; 58; 34; 36; 94; 74; 53; 42; 52; 43; 0; 26; 67; 5; 88; 68; 22; 70; 98; 27; 30; 61; 97; 12; 85; 47; 51; 57; 35; 60; 33; 96; 95; 1; 41; 54; 10; 91; 46; 55; 38; 56; 87; 3; 29; 63; 48; 44; 50; 21; 69; 82; 9; 15; 72; 80; 18; 90; 4; 73; 25; 65; 92; 40; 2; 86; 64; 28; 59; 37; 6; 83; 62; 32; 24; 49; 45; 99; 16; 79; 66; 31; 77; 17; 75; 20; 7; 84; 13; 81; 89; 11; 93], [[39]; [14; 76]; [8]; [71; 19]; [23; 78]; [58; 34]; [36; 94; 74]; [53; 42]; [52; 43]; [0]; [26; 67]; [5; 88]; [68; 22]; [70; 98; 27]; [30; 61]; [97; 12; 85]; [47; 51]; [57; 35]; [60; 33]; [96; 95; 1]; [41; 54]; [10; 91]; [46; 55]; [38; 56]; [87; 3]; [29; 63]; [48]; [44; 50]; [21; 69]; [82; 9]; [15; 72]; [80; 18]; [90; 4]; [73; 25]; [65; 92; 40]; [2; 86]; [64; 28]; [59; 37]; [6; 83]; [62; 32]; [24]; [49; 45; 99]; [16; 79]; [66; 31]; [77; 17]; [75; 20]; [7; 84]; [13; 81]; [89; 11; 93]], [6900; 11800; 9700; 11900; 11100; 12000; 11100; 12000; 11900; 10000; 11800; 11600; 11800; 11800; 12000; 12000; 11600; 11900; 11700; 11800; 11900; 11000; 11400; 12000; 11900; 12000; 6200; 11700; 11900; 12000; 11900; 11500; 11400; 11200; 12000; 11900; 12000; 11700; 11900; 11700; 8100; 12000; 11500; 11400; 11800; 11600; 11900; 11500; 11900], 202950, 202951, 6.232327222824097
41, 49, 0.9098568594104304, [25; 66; 65; 28; 88; 2; 23; 67; 82; 6; 34; 63; 97; 54; 40; 26; 9; 45; 52; 90; 1; 53; 42; 62; 33; 18; 75; 12; 78; 47; 49; 35; 57; 14; 74; 60; 32; 50; 48; 98; 76; 46; 81; 86; 3; 8; 84; 0; 91; 7; 83; 29; 13; 73; 10; 51; 43; 59; 37; 5; 89; 87; 15; 92; 30; 71; 95; 22; 31; 61; 16; 72; 21; 68; 55; 41; 19; 70; 24; 64; 27; 99; 20; 69; 85; 4; 38; 56; 79; 77; 44; 94; 93; 17; 96; 11; 80; 58; 36; 39], [[25; 66]; [65; 28]; [88; 2]; [23; 67]; [82; 6]; [34; 63; 97]; [54; 40]; [26]; [9]; [45; 52]; [90; 1]; [53; 42]; [62; 33]; [18; 75]; [12; 78]; [47; 49]; [35; 57]; [14; 74]; [60; 32]; [50; 48; 98]; [76; 46; 81]; [86; 3]; [8; 84]; [0; 91]; [7; 83]; [29]; [13; 73]; [10]; [51; 43]; [59; 37]; [5; 89]; [87; 15; 92]; [30; 71; 95]; [22]; [31; 61]; [16; 72]; [21; 68]; [55; 41]; [19; 70]; [24]; [64; 27]; [99; 20; 69]; [85; 4]; [38; 56]; [79; 77; 44]; [94; 93; 17; 96]; [11; 80]; [58; 36]; [39]], [11900; 12000; 11700; 12000; 12000; 12000; 12000; 8000; 9700; 11700; 11500; 12000; 11700; 11900; 12000; 11800; 11900; 11900; 11700; 12000; 11800; 11900; 11900; 11500; 11900; 7900; 12000; 9500; 11900; 11700; 11500; 11900; 12000; 8300; 11800; 11900; 12000; 11900; 12000; 8100; 12000; 12000; 12000; 12000; 12000; 11800; 11900; 11900; 6900], 202950, 202951, 6.218245983123779
26, 49, 0.9045960884353742, [69; 20; 49; 46; 45; 55; 11; 96; 92; 60; 30; 19; 70; 50; 47; 42; 53; 54; 40; 22; 71; 28; 79; 94; 91; 7; 81; 14; 35; 57; 26; 1; 89; 98; 74; 25; 15; 72; 10; 87; 36; 61; 84; 6; 18; 59; 34; 78; 12; 82; 80; 37; 76; 17; 21; 66; 24; 86; 0; 83; 8; 93; 2; 68; 31; 52; 43; 23; 75; 33; 64; 16; 4; 85; 65; 29; 51; 44; 67; 32; 13; 73; 41; 63; 9; 58; 48; 56; 39; 90; 3; 38; 99; 62; 97; 27; 95; 77; 5; 88], [[69; 20]; [49; 46]; [45; 55]; [11; 96; 92]; [60; 30]; [19; 70]; [50; 47]; [42; 53]; [54; 40]; [22; 71]; [28; 79; 94]; [91; 7]; [81; 14]; [35; 57]; [26]; [1; 89; 98]; [74; 25]; [15; 72]; [10; 87]; [36; 61]; [84; 6]; [18]; [59; 34]; [78; 12]; [82; 80; 37]; [76; 17]; [21]; [66; 24]; [86; 0]; [83; 8]; [93; 2]; [68; 31]; [52; 43]; [23; 75]; [33; 64]; [16]; [4; 85]; [65; 29]; [51; 44]; [67; 32]; [13; 73]; [41; 63]; [9]; [58; 48]; [56; 39]; [90; 3]; [38; 99; 62; 97]; [27; 95; 77]; [5; 88]], [11900; 11800; 11500; 11300; 12000; 12000; 11600; 12000; 12000; 11600; 11700; 11200; 11400; 11900; 8000; 12000; 11200; 11900; 11400; 11200; 11900; 8800; 11800; 12000; 12000; 11800; 8500; 11900; 11900; 11900; 11100; 11100; 11900; 11300; 11500; 8800; 12000; 11900; 11700; 11300; 12000; 10800; 9700; 11100; 12000; 11500; 12000; 11900; 11600], 128700, 128701, 3.9865403175354004
39, 49, 0.9097746598639455, [67; 23; 3; 13; 78; 96; 95; 5; 1; 86; 4; 34; 58; 89; 72; 35; 17; 73; 43; 51; 65; 26; 91; 0; 42; 55; 85; 7; 56; 38; 92; 6; 93; 87; 77; 39; 83; 8; 33; 62; 71; 20; 70; 19; 15; 75; 46; 52; 29; 66; 79; 14; 57; 37; 98; 2; 97; 59; 36; 50; 45; 41; 53; 74; 16; 99; 27; 64; 24; 82; 90; 47; 10; 84; 28; 60; 32; 44; 49; 31; 61; 11; 81; 63; 30; 48; 12; 80; 25; 69; 9; 68; 22; 94; 18; 88; 40; 54; 21; 76], [[67; 23]; [3]; [13; 78]; [96; 95; 5]; [1; 86]; [4]; [34; 58]; [89; 72; 35]; [17; 73]; [43; 51]; [65; 26]; [91; 0]; [42; 55]; [85; 7]; [56; 38]; [92; 6; 93]; [87; 77; 39]; [83; 8]; [33; 62]; [71; 20]; [70; 19]; [15; 75]; [46; 52]; [29; 66]; [79; 14]; [57; 37]; [98; 2; 97]; [59; 36]; [50; 45]; [41; 53]; [74; 16; 99]; [27; 64]; [24; 82; 90]; [47]; [10; 84]; [28]; [60; 32]; [44; 49]; [31; 61]; [11; 81]; [63; 30]; [48]; [12; 80]; [25; 69]; [9]; [68; 22]; [94; 18; 88]; [40; 54]; [21; 76]], [12000; 10000; 11800; 11700; 11900; 9900; 12000; 11700; 11900; 11900; 12000; 11500; 11900; 11800; 12000; 12000; 11800; 11900; 11700; 11800; 12000; 11900; 11600; 11700; 11500; 11900; 11200; 11700; 11700; 12000; 12000; 12000; 11900; 6200; 11700; 8000; 11700; 11900; 11800; 11800; 11900; 6200; 11800; 11500; 9700; 11800; 11500; 12000; 11500], 193050, 193051, 5.934330463409424
28, 49, 0.9063081065759637, [32; 43; 55; 35; 57; 18; 76; 59; 36; 91; 6; 9; 83; 68; 38; 37; 62; 97; 7; 82; 47; 50; 1; 88; 61; 31; 87; 0; 19; 77; 8; 11; 81; 5; 54; 40; 60; 30; 53; 41; 49; 44; 24; 69; 46; 52; 72; 20; 27; 12; 78; 48; 65; 29; 63; 86; 3; 13; 85; 96; 26; 15; 80; 98; 74; 16; 64; 92; 42; 99; 71; 21; 25; 95; 79; 94; 2; 17; 73; 84; 10; 39; 56; 67; 28; 45; 51; 14; 75; 23; 66; 4; 34; 58; 33; 89; 93; 90; 70; 22], [[32]; [43; 55]; [35; 57]; [18; 76]; [59; 36]; [91; 6]; [9; 83]; [68; 38]; [37; 62; 97]; [7; 82]; [47; 50]; [1; 88]; [61; 31]; [87; 0]; [19; 77]; [8]; [11; 81]; [5]; [54; 40]; [60; 30]; [53; 41]; [49; 44]; [24; 69]; [46; 52]; [72; 20]; [27]; [12; 78]; [48; 65]; [29; 63]; [86; 3]; [13; 85; 96]; [26]; [15; 80; 98]; [74; 16]; [64; 92; 42; 99]; [71; 21]; [25; 95; 79]; [94; 2]; [17; 73]; [84; 10]; [39; 56]; [67; 28]; [45; 51]; [14; 75]; [23; 66]; [4]; [34; 58]; [33; 89; 93; 90]; [70; 22]], [7500; 11700; 11900; 11800; 11700; 11200; 11900; 10400; 12000; 12000; 11600; 11700; 11800; 11900; 11600; 9700; 11800; 9900; 12000; 12000; 12000; 11900; 11500; 11600; 11600; 8000; 12000; 10200; 12000; 11900; 11900; 8000; 11900; 11900; 12000; 11800; 11700; 11000; 11900; 11700; 12000; 11800; 11700; 11900; 12000; 9900; 12000; 11700; 11700], 138600, 138601, 4.288696050643921
25, 49, 0.9052395124716553, [10; 85; 9; 26; 65; 25; 70; 3; 59; 38; 29; 63; 32; 76; 73; 20; 95; 84; 13; 44; 54; 80; 12; 50; 45; 62; 36; 7; 98; 88; 61; 31; 41; 53; 78; 15; 37; 58; 71; 27; 56; 42; 75; 14; 17; 97; 99; 82; 87; 6; 39; 49; 47; 1; 23; 66; 5; 67; 34; 68; 21; 16; 77; 40; 55; 51; 43; 72; 19; 2; 86; 22; 74; 91; 4; 30; 64; 96; 93; 18; 92; 0; 90; 60; 33; 46; 52; 28; 8; 83; 24; 81; 94; 11; 79; 57; 48; 35; 69; 89], [[10; 85]; [9]; [26; 65]; [25; 70]; [3]; [59; 38]; [29; 63]; [32; 76]; [73; 20]; [95; 84; 13]; [44; 54]; [80; 12]; [50; 45]; [62; 36]; [7; 98; 88]; [61; 31]; [41; 53]; [78; 15]; [37; 58]; [71; 27]; [56; 42]; [75; 14]; [17; 97; 99; 82]; [87; 6]; [39]; [49; 47]; [1]; [23; 66]; [5]; [67; 34]; [68; 21]; [16; 77]; [40; 55]; [51; 43]; [72; 19]; [2; 86]; [22; 74]; [91; 4]; [30; 64]; [96; 93; 18; 92]; [0; 90]; [60; 33]; [46; 52]; [28]; [8; 83]; [24; 81; 94]; [11; 79]; [57; 48]; [35; 69; 89]], [11600; 9700; 12000; 11500; 10000; 11600; 12000; 10500; 11600; 12000; 11500; 11800; 11700; 11200; 11800; 11800; 12000; 11700; 11900; 11300; 11800; 11900; 12000; 11600; 6900; 11800; 10000; 12000; 9900; 10900; 12000; 11800; 12000; 11900; 11700; 11900; 11400; 11400; 11800; 12000; 11500; 11700; 11600; 8000; 11900; 11700; 11900; 11100; 12000], 123750, 123751, 3.857769727706909
57, 50, 0.8822847222222223, [13; 73; 60; 31; 56; 39; 28; 81; 40; 55; 58; 34; 49; 45; 7; 21; 68; 72; 50; 74; 98; 84; 9; 37; 43; 52; 42; 53; 44; 51; 14; 82; 96; 48; 27; 64; 2; 87; 18; 76; 36; 57; 63; 29; 30; 62; 6; 35; 59; 26; 65; 5; 22; 78; 97; 94; 4; 15; 93; 85; 66; 23; 38; 19; 69; 86; 1; 92; 71; 33; 54; 41; 47; 25; 77; 95; 70; 20; 89; 0; 80; 99; 11; 79; 12; 32; 61; 90; 3; 67; 24; 75; 17; 10; 16; 88; 91; 46; 8; 83], [[13; 73]; [60; 31]; [56; 39]; [28; 81]; [40; 55]; [58; 34]; [49; 45]; [7]; [21; 68]; [72; 50; 74; 98]; [84; 9]; [37]; [43; 52]; [42; 53]; [44; 51]; [14; 82; 96]; [48]; [27; 64]; [2; 87]; [18; 76]; [36; 57]; [63; 29]; [30; 62]; [6]; [35; 59]; [26; 65]; [5]; [22; 78; 97]; [94; 4]; [15; 93; 85]; [66; 23]; [38]; [19; 69]; [86; 1]; [92; 71; 33]; [54; 41]; [47]; [25; 77; 95]; [70; 20]; [89; 0]; [80; 99; 11]; [79; 12]; [32; 61]; [90; 3]; [67; 24]; [75; 17]; [10]; [16; 88; 91]; [46]; [8; 83]], [12000; 11800; 12000; 10600; 12000; 12000; 11900; 9700; 12000; 12000; 11900; 7000; 11900; 12000; 11700; 12000; 6200; 12000; 11900; 11800; 11900; 12000; 12000; 9700; 11700; 12000; 9900; 12000; 10900; 12000; 12000; 6900; 12000; 11900; 12000; 11900; 6200; 12000; 11900; 11600; 12000; 11800; 11700; 11500; 11900; 11900; 9500; 12000; 6200; 11900], 287100, 287101, 8.866419315338135
52, 50, 0.8831097222222222, [40; 55; 61; 32; 27; 58; 37; 20; 68; 29; 63; 53; 91; 54; 52; 44; 98; 89; 0; 23; 67; 18; 77; 1; 87; 78; 12; 80; 22; 75; 24; 97; 62; 30; 6; 83; 43; 51; 31; 60; 34; 57; 65; 28; 69; 19; 39; 41; 3; 86; 79; 11; 96; 21; 81; 90; 36; 70; 84; 9; 25; 66; 49; 45; 8; 82; 16; 72; 73; 15; 93; 14; 95; 94; 4; 85; 48; 26; 64; 7; 2; 88; 5; 10; 46; 38; 56; 99; 76; 13; 47; 50; 35; 59; 71; 33; 92; 42; 17; 74], [[40; 55]; [61; 32]; [27]; [58; 37]; [20; 68]; [29; 63]; [53; 91; 54]; [52; 44]; [98; 89; 0]; [23; 67]; [18; 77]; [1; 87]; [78; 12]; [80; 22]; [75; 24; 97]; [62; 30]; [6; 83]; [43; 51]; [31; 60]; [34; 57]; [65; 28]; [69; 19]; [39]; [41]; [3; 86]; [79; 11]; [96; 21; 81]; [90; 36; 70]; [84; 9]; [25; 66]; [49; 45]; [8; 82]; [16; 72]; [73; 15]; [93; 14; 95; 94]; [4; 85]; [48]; [26; 64]; [7]; [2; 88]; [5]; [10]; [46]; [38; 56]; [99; 76; 13]; [47; 50]; [35; 59]; [71; 33; 92]; [42]; [17; 74]], [12000; 11700; 8000; 11900; 12000; 12000; 12000; 11700; 12000; 12000; 11800; 11900; 12000; 11000; 12000; 12000; 11900; 11900; 11800; 12000; 12000; 12000; 6900; 6700; 11900; 11900; 12000; 11900; 11900; 11900; 11900; 12000; 11900; 11900; 11800; 12000; 6200; 12000; 9700; 11700; 9900; 9500; 6200; 12000; 12000; 11600; 11700; 12000; 6700; 11900], 262350, 262351, 8.049865007400513
