Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
50, 45, 0.9336111111111112, [19; 65; 4; 99; 81; 22; 79; 61; 40; 30; 52; 66; 18; 82; 26; 73; 54; 32; 25; 56; 42; 44; 70; 12; 49; 37; 86; 87; 7; 10; 76; 1; 83; 45; 43; 13; 69; 55; 28; 8; 77; 23; 67; 92; 0; 85; 17; 80; 96; 88; 21; 64; 57; 93; 29; 60; 39; 24; 63; 46; 41; 58; 27; 97; 48; 34; 15; 68; 78; 9; 11; 74; 53; 31; 95; 14; 72; 71; 20; 89; 75; 16; 50; 33; 2; 47; 36; 5; 91; 84; 59; 90; 98; 35; 51; 38; 94; 3; 62; 6], [[19; 65]; [4; 99; 81]; [22; 79]; [61; 40]; [30; 52]; [66; 18]; [82; 26; 73]; [54; 32]; [25; 56]; [42; 44]; [70; 12]; [49; 37]; [86; 87; 7]; [10; 76]; [1; 83]; [45; 43]; [13; 69]; [55; 28]; [8; 77]; [23; 67; 92]; [0; 85]; [17; 80; 96; 88]; [21; 64]; [57; 93; 29]; [60; 39]; [24; 63]; [46; 41]; [58; 27; 97]; [48; 34]; [15; 68]; [78; 9]; [11; 74]; [53; 31; 95]; [14; 72]; [71; 20; 89]; [75; 16]; [50; 33]; [2]; [47; 36]; [5; 91; 84]; [59; 90; 98; 35]; [51; 38; 94]; [3]; [62]; [6]], [12000; 12000; 10200; 10800; 11800; 12000; 11900; 11600; 12000; 12000; 12000; 11800; 12000; 12000; 11900; 11900; 12000; 12000; 12000; 11900; 11800; 12000; 12000; 12000; 10800; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 11500; 12000; 11200; 12000; 9900; 12000; 12000; 12000; 12000; 9800; 4500; 9600], 252450, 252451, 8.965800762176514
56, 45, 0.9311172839506173, [80; 73; 32; 84; 1; 48; 34; 40; 72; 74; 77; 9; 31; 62; 90; 91; 14; 76; 63; 24; 0; 85; 39; 46; 67; 17; 8; 78; 16; 11; 79; 66; 18; 50; 35; 36; 47; 4; 83; 94; 13; 71; 97; 41; 60; 22; 56; 26; 69; 15; 10; 75; 92; 29; 57; 68; 23; 95; 93; 27; 59; 20; 64; 12; 70; 88; 86; 52; 61; 3; 82; 96; 44; 42; 6; 81; 55; 38; 21; 65; 19; 28; 54; 33; 49; 7; 5; 58; 25; 98; 99; 45; 43; 51; 37; 53; 30; 89; 2; 87], [[80; 73; 32]; [84; 1]; [48; 34]; [40; 72; 74]; [77; 9]; [31; 62; 90]; [91; 14; 76]; [63; 24]; [0; 85]; [39; 46]; [67; 17]; [8; 78]; [16]; [11; 79]; [66; 18]; [50; 35]; [36; 47]; [4; 83; 94]; [13; 71; 97]; [41; 60]; [22]; [56; 26]; [69; 15]; [10; 75]; [92; 29; 57]; [68; 23; 95; 93]; [27; 59]; [20; 64]; [12; 70]; [88; 86; 52; 61]; [3; 82; 96]; [44; 42]; [6; 81]; [55; 38]; [21; 65]; [19]; [28; 54]; [33; 49]; [7]; [5]; [58; 25; 98]; [99; 45; 43]; [51; 37]; [53; 30]; [89; 2; 87]], [12000; 11800; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 12000; 11900; 11900; 8400; 11600; 12000; 11900; 12000; 12000; 12000; 10800; 7700; 11900; 11800; 12000; 12000; 12000; 11700; 12000; 12000; 12000; 12000; 12000; 11800; 11200; 12000; 7900; 12000; 12000; 9600; 9600; 12000; 12000; 11700; 11800; 12000], 282150, 282151, 8.403448581695557
56, 45, 0.9329753086419754, [91; 13; 77; 26; 61; 0; 83; 40; 87; 58; 79; 8; 15; 68; 54; 28; 2; 84; 95; 37; 47; 19; 65; 16; 71; 46; 41; 72; 23; 86; 74; 11; 3; 81; 44; 35; 48; 76; 10; 22; 63; 24; 80; 36; 70; 4; 85; 33; 50; 12; 73; 97; 98; 21; 89; 96; 75; 32; 62; 90; 17; 66; 7; 6; 60; 88; 34; 29; 59; 99; 92; 27; 57; 20; 64; 39; 51; 94; 78; 9; 30; 53; 45; 42; 69; 14; 5; 18; 67; 31; 52; 1; 82; 43; 49; 93; 56; 25; 55; 38], [[91; 13; 77]; [26; 61]; [0; 83]; [40; 87; 58]; [79; 8]; [15; 68]; [54; 28]; [2; 84; 95]; [37; 47]; [19; 65]; [16; 71]; [46; 41]; [72; 23; 86]; [74; 11]; [3; 81]; [44]; [35; 48]; [76; 10]; [22]; [63; 24]; [80; 36; 70]; [4; 85]; [33; 50]; [12; 73; 97; 98]; [21; 89; 96; 75]; [32; 62; 90]; [17; 66]; [7]; [6]; [60; 88; 34]; [29; 59; 99; 92]; [27; 57]; [20; 64]; [39; 51; 94]; [78; 9]; [30; 53]; [45; 42]; [69; 14]; [5]; [18; 67]; [31; 52]; [1; 82]; [43; 49; 93]; [56; 25]; [55; 38]], [12000; 11700; 11900; 12000; 11800; 12000; 12000; 12000; 12000; 12000; 11500; 12000; 11900; 12000; 12000; 5900; 12000; 12000; 7700; 12000; 12000; 11500; 12000; 12000; 12000; 12000; 12000; 9600; 9600; 12000; 12000; 11800; 12000; 12000; 11900; 11800; 12000; 11900; 9600; 11900; 11700; 11900; 12000; 12000; 11200], 282150, 282151, 8.305931091308594
51, 45, 0.9342345679012346, [91; 6; 85; 64; 22; 25; 56; 11; 74; 34; 48; 5; 59; 93; 36; 98; 92; 67; 18; 14; 71; 3; 81; 45; 42; 43; 44; 75; 72; 38; 99; 0; 83; 54; 28; 4; 31; 53; 17; 66; 76; 21; 86; 16; 78; 88; 12; 70; 39; 49; 47; 37; 77; 9; 7; 68; 15; 24; 63; 61; 27; 29; 52; 89; 20; 97; 73; 96; 55; 30; 2; 94; 87; 62; 8; 13; 69; 80; 23; 84; 46; 40; 1; 82; 26; 57; 95; 10; 79; 58; 90; 35; 50; 33; 19; 65; 60; 41; 51; 32], [[91; 6; 85]; [64; 22]; [25; 56]; [11; 74]; [34; 48]; [5]; [59; 93; 36; 98; 92]; [67; 18]; [14; 71]; [3; 81]; [45; 42]; [43; 44]; [75; 72; 38; 99]; [0; 83]; [54; 28]; [4]; [31; 53]; [17; 66]; [76; 21; 86]; [16; 78; 88]; [12; 70]; [39; 49]; [47; 37]; [77; 9]; [7]; [68; 15]; [24; 63]; [61; 27]; [29; 52]; [89; 20; 97; 73]; [96; 55; 30]; [2; 94; 87]; [62]; [8]; [13; 69]; [80; 23; 84]; [46; 40]; [1; 82]; [26; 57]; [95; 10; 79]; [58; 90; 35]; [50; 33]; [19; 65]; [60; 41]; [51; 32]], [12000; 11800; 12000; 12000; 12000; 9600; 12000; 11900; 11700; 12000; 12000; 11900; 12000; 11900; 12000; 9700; 11700; 12000; 12000; 12000; 12000; 11700; 12000; 12000; 9600; 12000; 12000; 11700; 11900; 12000; 12000; 11400; 4500; 9300; 12000; 12000; 12000; 11900; 11800; 12000; 12000; 12000; 12000; 10800; 12000], 257400, 257401, 7.543003082275391
44, 46, 0.9012288647342995, [36; 99; 48; 22; 18; 67; 51; 32; 47; 41; 50; 33; 16; 64; 21; 58; 91; 30; 71; 12; 23; 62; 5; 86; 15; 68; 20; 65; 14; 29; 53; 8; 77; 13; 69; 10; 76; 11; 73; 9; 80; 0; 83; 81; 3; 24; 63; 75; 44; 72; 94; 56; 27; 40; 54; 37; 60; 87; 96; 2; 84; 79; 74; 39; 92; 4; 85; 43; 97; 70; 78; 38; 46; 31; 95; 52; 25; 98; 57; 26; 59; 61; 35; 90; 19; 1; 88; 89; 7; 82; 93; 55; 28; 34; 49; 17; 66; 6; 45; 42], [[36; 99; 48]; [22]; [18; 67]; [51; 32]; [47; 41]; [50; 33]; [16]; [64; 21]; [58; 91; 30]; [71; 12]; [23]; [62]; [5; 86]; [15; 68]; [20; 65]; [14]; [29; 53]; [8; 77]; [13; 69]; [10; 76]; [11; 73]; [9; 80]; [0; 83]; [81; 3]; [24; 63]; [75; 44; 72; 94]; [56; 27]; [40; 54]; [37; 60; 87]; [96; 2; 84]; [79; 74; 39]; [92; 4; 85]; [43; 97; 70; 78]; [38; 46]; [31; 95; 52]; [25; 98; 57]; [26; 59]; [61; 35; 90]; [19]; [1; 88; 89]; [7; 82; 93]; [55; 28]; [34; 49]; [17; 66]; [6]; [45; 42]], [12000; 7700; 11900; 12000; 11900; 12000; 8400; 12000; 12000; 11900; 7700; 4500; 10900; 12000; 12000; 8600; 11900; 12000; 12000; 12000; 12000; 11800; 11900; 12000; 12000; 12000; 11900; 11200; 12000; 12000; 11600; 12000; 12000; 12000; 12000; 12000; 11700; 11900; 7900; 12000; 12000; 12000; 11900; 12000; 9600; 12000], 222750, 222751, 6.629070043563843
52, 45, 0.9324413580246913, [98; 91; 32; 58; 48; 34; 19; 90; 70; 23; 8; 77; 46; 38; 68; 15; 7; 5; 92; 82; 26; 60; 74; 62; 59; 47; 37; 99; 17; 67; 13; 76; 93; 52; 29; 95; 36; 51; 2; 65; 21; 50; 35; 66; 18; 79; 22; 84; 30; 53; 97; 14; 72; 94; 27; 57; 4; 89; 86; 41; 55; 6; 9; 78; 45; 43; 12; 71; 33; 49; 10; 96; 80; 75; 16; 63; 88; 31; 28; 54; 87; 24; 69; 11; 73; 44; 42; 56; 25; 20; 64; 61; 39; 3; 81; 1; 85; 40; 0; 83], [[98; 91; 32; 58]; [48; 34]; [19; 90; 70]; [23]; [8; 77]; [46; 38]; [68; 15]; [7]; [5; 92; 82]; [26; 60]; [74; 62; 59]; [47; 37]; [99; 17; 67]; [13; 76; 93]; [52; 29]; [95; 36; 51]; [2]; [65; 21]; [50; 35]; [66; 18]; [79; 22; 84]; [30; 53; 97]; [14; 72; 94]; [27; 57]; [4; 89; 86]; [41; 55]; [6]; [9; 78]; [45; 43]; [12; 71]; [33; 49]; [10; 96; 80]; [75; 16]; [63; 88; 31]; [28; 54]; [87; 24; 69]; [11; 73]; [44; 42]; [56; 25]; [20; 64]; [61; 39]; [3; 81]; [1; 85]; [40]; [0; 83]], [12000; 12000; 12000; 7700; 12000; 12000; 12000; 9600; 12000; 11700; 12000; 12000; 12000; 12000; 11900; 12000; 9900; 12000; 11900; 12000; 12000; 12000; 11900; 11800; 12000; 11200; 9600; 11900; 11900; 11900; 12000; 12000; 11200; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 10800; 12000; 11800; 6200; 11900], 262350, 262351, 7.820561408996582
62, 45, 0.9319814814814814, [55; 97; 29; 8; 77; 3; 81; 37; 47; 45; 43; 28; 54; 96; 2; 85; 56; 25; 15; 68; 49; 38; 6; 21; 65; 0; 99; 82; 86; 4; 89; 72; 31; 80; 35; 48; 41; 79; 69; 61; 59; 50; 33; 26; 60; 63; 24; 10; 75; 5; 84; 91; 44; 42; 46; 39; 57; 87; 40; 16; 19; 64; 30; 53; 32; 51; 20; 7; 22; 58; 36; 88; 13; 98; 70; 34; 52; 92; 12; 76; 67; 18; 62; 27; 94; 17; 66; 83; 1; 9; 78; 11; 73; 95; 71; 14; 74; 23; 90; 93], [[55; 97; 29]; [8; 77]; [3; 81]; [37; 47]; [45; 43]; [28; 54]; [96; 2; 85]; [56; 25]; [15; 68]; [49; 38]; [6]; [21; 65]; [0; 99; 82]; [86; 4; 89]; [72; 31; 80]; [35; 48]; [41; 79; 69]; [61; 59]; [50; 33]; [26; 60]; [63; 24]; [10; 75]; [5; 84; 91]; [44; 42]; [46; 39]; [57; 87; 40]; [16]; [19; 64]; [30; 53]; [32; 51]; [20]; [7]; [22]; [58; 36; 88]; [13; 98; 70]; [34; 52; 92]; [12; 76]; [67; 18]; [62; 27; 94]; [17; 66]; [83; 1]; [9; 78]; [11; 73]; [95; 71; 14]; [74; 23; 90; 93]], [12000; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11700; 9600; 12000; 12000; 12000; 12000; 12000; 12000; 9200; 12000; 11700; 12000; 12000; 12000; 12000; 12000; 12000; 8400; 12000; 11800; 12000; 7900; 9600; 7700; 12000; 12000; 12000; 11600; 11900; 12000; 12000; 11900; 11900; 12000; 12000; 12000], 311850, 311851, 9.196834087371826
55, 45, 0.9316141975308643, [77; 9; 58; 27; 44; 43; 78; 88; 16; 8; 80; 1; 83; 42; 45; 84; 0; 7; 65; 20; 51; 31; 11; 72; 34; 48; 63; 24; 85; 54; 91; 61; 57; 26; 4; 36; 47; 95; 32; 59; 92; 2; 87; 69; 38; 79; 56; 25; 23; 62; 86; 40; 60; 90; 33; 71; 89; 21; 41; 50; 96; 19; 64; 35; 49; 99; 12; 70; 15; 68; 37; 73; 75; 53; 98; 29; 30; 52; 14; 17; 67; 28; 55; 3; 10; 76; 82; 6; 93; 66; 18; 5; 81; 97; 94; 13; 74; 46; 39; 22], [[77; 9]; [58; 27]; [44; 43]; [78; 88; 16]; [8; 80]; [1; 83]; [42; 45]; [84; 0]; [7]; [65; 20]; [51; 31]; [11; 72]; [34; 48]; [63; 24]; [85; 54; 91; 61]; [57; 26]; [4]; [36; 47]; [95; 32; 59; 92]; [2; 87]; [69; 38; 79]; [56; 25]; [23]; [62; 86; 40]; [60; 90; 33]; [71; 89; 21]; [41; 50; 96]; [19; 64]; [35; 49; 99]; [12; 70]; [15; 68]; [37; 73; 75]; [53; 98; 29]; [30; 52]; [14]; [17; 67]; [28; 55]; [3]; [10; 76]; [82; 6; 93]; [66; 18]; [5; 81; 97]; [94; 13; 74]; [46; 39]; [22]], [12000; 11800; 11900; 12000; 11800; 11900; 12000; 11800; 9600; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 9700; 12000; 12000; 11000; 12000; 12000; 7700; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 8600; 11900; 12000; 9800; 12000; 12000; 12000; 12000; 12000; 12000; 7700], 277200, 277201, 8.26101541519165
44, 45, 0.9306851851851851, [5; 66; 18; 95; 30; 54; 52; 29; 12; 98; 71; 69; 13; 48; 99; 37; 46; 41; 9; 79; 15; 68; 6; 2; 88; 3; 81; 32; 51; 93; 92; 34; 61; 7; 50; 40; 4; 23; 31; 53; 17; 67; 96; 91; 35; 82; 76; 89; 56; 39; 94; 16; 70; 45; 43; 20; 22; 73; 86; 49; 85; 58; 38; 57; 87; 97; 84; 0; 65; 21; 63; 24; 59; 26; 11; 74; 42; 44; 10; 75; 33; 72; 78; 1; 83; 25; 60; 27; 62; 36; 47; 90; 80; 14; 8; 77; 55; 28; 19; 64], [[5]; [66; 18]; [95; 30; 54]; [52; 29]; [12; 98; 71]; [69; 13]; [48; 99; 37]; [46; 41]; [9; 79]; [15; 68]; [6]; [2; 88]; [3; 81]; [32; 51]; [93; 92; 34; 61]; [7]; [50; 40]; [4]; [23]; [31; 53]; [17; 67]; [96; 91; 35; 82; 76]; [89; 56; 39]; [94; 16; 70]; [45; 43]; [20]; [22; 73; 86]; [49; 85; 58]; [38; 57; 87]; [97; 84; 0]; [65; 21]; [63; 24]; [59; 26]; [11; 74]; [42; 44]; [10; 75]; [33; 72; 78]; [1; 83]; [25; 60]; [27; 62]; [36; 47]; [90; 80; 14]; [8; 77]; [55; 28]; [19; 64]], [9600; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11800; 12000; 9600; 10900; 12000; 12000; 12000; 9600; 11700; 9700; 7700; 11700; 11900; 12000; 12000; 12000; 11900; 7900; 11900; 12000; 12000; 12000; 12000; 12000; 11700; 12000; 12000; 12000; 12000; 11900; 11800; 11600; 12000; 12000; 12000; 12000; 12000], 222750, 222751, 6.6633546352386475
55, 46, 0.9007306763285025, [1; 99; 83; 47; 37; 26; 57; 48; 34; 21; 32; 54; 49; 35; 14; 69; 76; 18; 88; 13; 93; 79; 95; 2; 82; 15; 68; 96; 24; 65; 78; 33; 72; 64; 20; 39; 60; 11; 74; 51; 31; 22; 45; 43; 46; 38; 55; 28; 3; 81; 63; 9; 98; 80; 16; 71; 92; 23; 5; 59; 40; 70; 12; 87; 58; 41; 4; 84; 29; 53; 66; 62; 67; 91; 89; 0; 94; 52; 30; 97; 19; 17; 73; 90; 10; 75; 50; 36; 77; 8; 6; 86; 25; 56; 7; 85; 44; 42; 61; 27], [[1; 99; 83]; [47; 37]; [26; 57]; [48; 34]; [21]; [32; 54]; [49; 35]; [14; 69]; [76; 18; 88]; [13; 93; 79; 95]; [2; 82]; [15; 68]; [96; 24; 65]; [78; 33; 72]; [64; 20]; [39; 60]; [11; 74]; [51; 31]; [22]; [45; 43]; [46; 38]; [55; 28]; [3; 81]; [63]; [9; 98; 80]; [16; 71; 92]; [23]; [5]; [59; 40]; [70; 12]; [87; 58; 41]; [4; 84]; [29; 53]; [66; 62; 67]; [91; 89; 0; 94]; [52; 30; 97]; [19]; [17; 73; 90]; [10; 75]; [50; 36]; [77; 8]; [6; 86]; [25; 56]; [7; 85]; [44; 42]; [61; 27]], [12000; 12000; 11800; 12000; 7900; 11600; 11900; 11900; 12000; 12000; 11800; 12000; 12000; 12000; 12000; 10800; 12000; 12000; 7700; 11900; 12000; 12000; 12000; 4400; 11900; 12000; 7700; 9600; 10800; 12000; 12000; 11500; 11900; 12000; 12000; 12000; 7900; 12000; 12000; 11800; 12000; 10900; 12000; 11400; 12000; 11700], 277200, 277201, 8.307079315185547
