Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
55, 42, 0.9455555555555557, [76; 99; 3; 26; 45; 73; 8; 20; 56; 47; 23; 37; 28; 92; 6; 78; 0; 82; 74; 5; 22; 49; 55; 53; 52; 87; 41; 17; 58; 71; 19; 9; 72; 61; 13; 79; 90; 98; 43; 30; 97; 50; 24; 85; 89; 69; 39; 68; 46; 63; 36; 44; 35; 31; 42; 27; 48; 51; 83; 65; 40; 75; 18; 57; 62; 96; 15; 86; 25; 66; 84; 60; 32; 88; 94; 1; 93; 64; 14; 77; 91; 12; 16; 59; 29; 38; 95; 2; 81; 67; 11; 33; 34; 54; 21; 7; 10; 70; 80; 4], [[76; 99; 3]; [26; 45]; [73; 8]; [20; 56]; [47; 23]; [37; 28]; [92; 6; 78]; [0; 82]; [74; 5]; [22; 49]; [55; 53]; [52; 87; 41]; [17; 58]; [71; 19]; [9; 72]; [61]; [13; 79; 90; 98]; [43; 30; 97]; [50; 24]; [85; 89; 69; 39]; [68; 46; 63]; [36; 44]; [35; 31]; [42; 27]; [48; 51; 83]; [65; 40; 75]; [18; 57]; [62; 96; 15]; [86; 25; 66]; [84; 60; 32]; [88; 94; 1; 93]; [64; 14]; [77; 91; 12]; [16; 59]; [29; 38]; [95; 2; 81]; [67; 11]; [33; 34]; [54; 21]; [7]; [10; 70]; [80; 4]], [12000; 12000; 11900; 11900; 12000; 12000; 12000; 12000; 11900; 12000; 9300; 12000; 12000; 10700; 11900; 3700; 12000; 12000; 11800; 12000; 12000; 11200; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11900; 12000; 12000; 12000; 12000; 11900; 8900; 12000; 11700], 277200, 277201, 9.49444317817688
50, 41, 0.9786890243902437, [94; 59; 20; 37; 30; 9; 83; 90; 46; 24; 27; 44; 68; 12; 16; 66; 87; 98; 8; 95; 51; 22; 43; 60; 79; 28; 91; 71; 0; 84; 65; 13; 39; 96; 93; 41; 23; 48; 88; 7; 86; 1; 82; 85; 42; 55; 33; 35; 25; 50; 74; 40; 63; 75; 5; 56; 19; 10; 70; 36; 31; 99; 26; 45; 77; 4; 61; 15; 97; 2; 78; 92; 72; 14; 29; 38; 73; 6; 53; 54; 80; 18; 57; 17; 58; 32; 34; 62; 49; 67; 47; 64; 81; 89; 76; 3; 21; 52; 11; 69], [[94; 59; 20]; [37; 30]; [9; 83; 90]; [46; 24]; [27; 44]; [68; 12]; [16; 66]; [87; 98; 8; 95]; [51; 22]; [43; 60; 79]; [28; 91; 71]; [0; 84]; [65; 13]; [39; 96; 93; 41]; [23; 48]; [88; 7; 86]; [1; 82]; [85; 42; 55]; [33; 35]; [25; 50]; [74; 40; 63]; [75; 5]; [56; 19]; [10; 70]; [36; 31; 99]; [26; 45]; [77; 4]; [61; 15; 97]; [2; 78]; [92; 72; 14]; [29; 38]; [73; 6]; [53; 54; 80]; [18; 57]; [17; 58]; [32; 34]; [62; 49; 67]; [47; 64; 81; 89]; [76; 3]; [21; 52]; [11; 69]], [12000; 11800; 12000; 12000; 12000; 11900; 11500; 11100; 12000; 11900; 10500; 11800; 12000; 12000; 12000; 11900; 11900; 12000; 11900; 11600; 12000; 11900; 11900; 12000; 11900; 12000; 11800; 12000; 11800; 11900; 12000; 12000; 11800; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11900], 247500, 247501, 7.225455045700073
61, 42, 0.946170634920635, [23; 47; 59; 15; 49; 22; 98; 26; 71; 84; 75; 5; 69; 11; 67; 12; 97; 31; 37; 85; 1; 17; 58; 51; 42; 87; 33; 90; 48; 46; 24; 40; 86; 53; 82; 94; 4; 9; 70; 10; 62; 14; 88; 2; 68; 63; 79; 80; 96; 65; 13; 7; 64; 3; 76; 43; 27; 99; 16; 60; 34; 44; 93; 52; 21; 54; 92; 25; 72; 8; 91; 36; 45; 66; 35; 77; 81; 0; 41; 32; 95; 6; 73; 29; 38; 50; 57; 74; 61; 18; 56; 19; 78; 20; 83; 28; 39; 55; 89; 30], [[23; 47]; [59; 15]; [49; 22]; [98; 26; 71; 84]; [75; 5]; [69; 11]; [67; 12]; [97; 31; 37]; [85; 1]; [17; 58]; [51; 42; 87]; [33; 90; 48]; [46; 24]; [40; 86; 53]; [82; 94; 4]; [9]; [70; 10]; [62; 14]; [88; 2]; [68; 63; 79; 80; 96]; [65; 13]; [7]; [64]; [3; 76]; [43; 27]; [99; 16; 60]; [34; 44; 93]; [52; 21]; [54; 92; 25]; [72; 8]; [91; 36; 45]; [66; 35; 77]; [81; 0]; [41; 32; 95]; [6; 73]; [29; 38]; [50; 57; 74]; [61; 18]; [56; 19]; [78; 20; 83]; [28; 39]; [55; 89; 30]], [12000; 12000; 12000; 12000; 11900; 11900; 12000; 12000; 11600; 12000; 12000; 12000; 12000; 12000; 12000; 8900; 12000; 12000; 10700; 12000; 12000; 8900; 3600; 11900; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11400; 11900; 12000; 12000; 12000], 306900, 306901, 8.819483757019043
57, 41, 0.9791294037940378, [61; 73; 62; 87; 3; 80; 38; 28; 99; 50; 47; 84; 1; 42; 94; 53; 92; 51; 22; 82; 0; 93; 35; 40; 2; 78; 59; 88; 25; 5; 74; 58; 17; 9; 89; 85; 67; 48; 65; 16; 63; 72; 6; 14; 66; 39; 86; 54; 8; 76; 96; 98; 43; 27; 64; 13; 20; 83; 79; 15; 60; 46; 24; 36; 33; 97; 4; 77; 18; 57; 34; 32; 10; 70; 12; 71; 30; 41; 37; 29; 19; 56; 26; 45; 55; 31; 90; 49; 23; 11; 69; 75; 95; 44; 68; 7; 81; 91; 52; 21], [[61; 73; 62; 87]; [3; 80]; [38; 28]; [99; 50; 47; 84]; [1]; [42; 94; 53; 92]; [51; 22]; [82; 0]; [93; 35; 40]; [2; 78]; [59; 88; 25]; [5; 74]; [58; 17]; [9; 89; 85]; [67; 48; 65]; [16; 63]; [72; 6]; [14; 66]; [39; 86; 54]; [8; 76; 96; 98]; [43; 27]; [64; 13]; [20; 83; 79]; [15; 60]; [46; 24]; [36; 33; 97]; [4; 77]; [18; 57]; [34; 32]; [10; 70]; [12; 71]; [30; 41]; [37; 29]; [19; 56]; [26; 45]; [55; 31; 90]; [49; 23]; [11; 69]; [75; 95; 44; 68]; [7; 81; 91]; [52; 21]], [12000; 11800; 12000; 12000; 9700; 11300; 12000; 12000; 12000; 11800; 12000; 11900; 12000; 12000; 12000; 11500; 12000; 11900; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 12000; 12000; 12000; 11800; 11800; 12000; 11900; 12000; 11700; 11900; 11900; 12000; 12000; 12000], 282150, 282151, 8.142005681991577
49, 41, 0.9790650406504063, [72; 9; 61; 16; 56; 90; 26; 89; 55; 37; 46; 45; 88; 77; 2; 80; 3; 41; 28; 21; 52; 12; 70; 4; 86; 91; 96; 40; 31; 49; 22; 5; 99; 75; 38; 32; 95; 33; 34; 50; 51; 82; 0; 10; 71; 29; 39; 97; 30; 42; 54; 87; 36; 92; 76; 7; 66; 17; 57; 18; 14; 64; 94; 79; 63; 44; 60; 15; 13; 65; 53; 98; 23; 35; 85; 58; 73; 6; 24; 47; 11; 67; 62; 69; 48; 19; 59; 93; 27; 43; 78; 20; 83; 8; 74; 1; 81; 84; 68; 25], [[72; 9]; [61; 16]; [56; 90; 26]; [89; 55; 37]; [46; 45; 88]; [77; 2]; [80; 3]; [41; 28]; [21; 52]; [12; 70]; [4; 86; 91]; [96; 40; 31]; [49; 22]; [5; 99; 75]; [38; 32; 95]; [33; 34]; [50; 51; 82]; [0]; [10; 71]; [29; 39]; [97; 30; 42]; [54; 87; 36]; [92; 76; 7]; [66; 17]; [57; 18]; [14; 64]; [94; 79; 63; 44]; [60; 15]; [13; 65]; [53; 98; 23]; [35; 85; 58]; [73; 6]; [24; 47]; [11; 67]; [62; 69; 48]; [19; 59; 93]; [27; 43]; [78; 20; 83]; [8; 74]; [1; 81]; [84; 68; 25]], [11900; 11600; 12000; 11400; 11800; 11900; 11800; 12000; 12000; 11800; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 9800; 12000; 12000; 12000; 12000; 12000; 11400; 12000; 11900; 12000; 12000; 12000; 11900; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 11700; 11900; 12000], 242550, 242551, 6.974340438842773
41, 41, 0.978462059620596, [95; 77; 6; 28; 44; 80; 55; 54; 75; 64; 63; 84; 87; 47; 45; 21; 52; 76; 3; 42; 40; 92; 51; 23; 26; 49; 99; 22; 50; 96; 78; 7; 68; 18; 27; 43; 85; 56; 36; 34; 33; 91; 19; 66; 25; 53; 13; 65; 62; 14; 79; 4; 81; 2; 17; 59; 32; 90; 48; 15; 60; 93; 86; 0; 31; 35; 58; 57; 82; 88; 98; 30; 41; 83; 1; 73; 8; 9; 72; 16; 61; 29; 39; 94; 37; 97; 38; 71; 10; 46; 24; 67; 11; 12; 69; 70; 20; 89; 74; 5], [[95; 77; 6]; [28; 44]; [80; 55; 54]; [75; 64; 63; 84]; [87; 47; 45]; [21; 52]; [76; 3]; [42; 40; 92]; [51; 23]; [26; 49; 99]; [22; 50]; [96; 78; 7]; [68; 18]; [27; 43]; [85; 56; 36]; [34; 33]; [91; 19; 66]; [25; 53]; [13; 65]; [62; 14]; [79; 4]; [81; 2]; [17; 59]; [32; 90; 48]; [15; 60]; [93; 86; 0]; [31; 35]; [58; 57; 82; 88]; [98; 30; 41]; [83; 1]; [73; 8]; [9; 72]; [16; 61]; [29; 39]; [94; 37; 97; 38]; [71; 10]; [46; 24]; [67; 11]; [12; 69]; [70; 20; 89]; [74; 5]], [11900; 11900; 11700; 12000; 12000; 12000; 11900; 11700; 11900; 11600; 12000; 11600; 11000; 12000; 12000; 12000; 12000; 11400; 12000; 12000; 11700; 11600; 11800; 12000; 12000; 12000; 12000; 12000; 12000; 11800; 11900; 11900; 11600; 12000; 12000; 12000; 12000; 12000; 11900; 11900; 11900], 202950, 202951, 5.995462894439697
48, 42, 0.9457242063492063, [76; 68; 30; 16; 95; 61; 69; 9; 85; 7; 73; 75; 57; 51; 8; 13; 66; 22; 70; 86; 64; 35; 77; 81; 99; 1; 54; 36; 88; 97; 55; 25; 33; 34; 42; 32; 94; 59; 15; 56; 19; 58; 20; 96; 18; 65; 44; 43; 37; 52; 87; 45; 26; 29; 41; 4; 83; 31; 40; 10; 71; 74; 5; 84; 46; 49; 62; 14; 50; 24; 48; 27; 93; 92; 63; 39; 90; 89; 78; 2; 98; 23; 47; 80; 3; 12; 79; 91; 72; 6; 28; 38; 53; 21; 60; 17; 82; 0; 67; 11], [[76; 68; 30]; [16; 95; 61]; [69]; [9; 85]; [7; 73]; [75; 57; 51]; [8]; [13; 66]; [22; 70; 86]; [64; 35; 77]; [81; 99; 1]; [54; 36; 88; 97]; [55; 25]; [33; 34]; [42; 32; 94]; [59; 15]; [56; 19]; [58; 20; 96]; [18; 65]; [44; 43]; [37; 52; 87]; [45; 26]; [29; 41]; [4; 83]; [31; 40]; [10; 71]; [74; 5]; [84; 46; 49]; [62; 14]; [50; 24]; [48; 27; 93]; [92; 63; 39; 90; 89]; [78; 2; 98]; [23; 47]; [80; 3]; [12; 79; 91]; [72; 6]; [28; 38]; [53; 21]; [60; 17]; [82; 0]; [67; 11]], [12000; 12000; 3300; 10800; 11900; 12000; 8900; 12000; 12000; 12000; 12000; 12000; 11300; 12000; 12000; 12000; 11900; 12000; 11300; 11000; 12000; 12000; 12000; 11400; 11700; 12000; 11900; 12000; 12000; 11800; 12000; 12000; 12000; 12000; 11800; 11900; 12000; 12000; 11900; 11800; 12000; 12000], 242550, 242551, 7.309541940689087
52, 42, 0.9460085978835979, [71; 88; 20; 33; 42; 8; 75; 97; 26; 65; 55; 51; 77; 67; 12; 6; 73; 19; 74; 86; 84; 4; 60; 76; 44; 23; 47; 52; 21; 82; 11; 89; 3; 78; 99; 13; 66; 18; 57; 80; 93; 5; 79; 2; 98; 16; 59; 53; 30; 90; 94; 40; 35; 37; 29; 34; 32; 39; 28; 64; 15; 95; 69; 48; 62; 87; 38; 54; 58; 17; 56; 24; 92; 49; 25; 41; 31; 81; 0; 91; 36; 96; 46; 50; 22; 63; 45; 72; 1; 83; 85; 7; 9; 10; 70; 61; 14; 43; 27; 68], [[71; 88; 20]; [33; 42]; [8; 75; 97]; [26; 65]; [55; 51; 77]; [67; 12]; [6; 73]; [19; 74; 86]; [84; 4]; [60; 76; 44]; [23; 47]; [52; 21]; [82; 11; 89]; [3; 78; 99]; [13; 66]; [18; 57]; [80; 93; 5]; [79; 2; 98]; [16; 59]; [53; 30; 90]; [94; 40; 35]; [37; 29]; [34; 32]; [39; 28]; [64; 15; 95]; [69; 48; 62]; [87; 38; 54]; [58; 17]; [56; 24; 92]; [49; 25]; [41; 31]; [81; 0]; [91; 36; 96; 46]; [50; 22]; [63; 45; 72]; [1; 83]; [85; 7]; [9]; [10; 70]; [61; 14]; [43; 27]; [68]], [12000; 11500; 12000; 10200; 12000; 12000; 12000; 12000; 11300; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11900; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11900; 11600; 11700; 12000; 12000; 12000; 12000; 11800; 10800; 8900; 12000; 12000; 12000; 3300], 262350, 262351, 7.650552034378052
45, 41, 0.9785602981029808, [31; 35; 62; 86; 80; 59; 51; 27; 92; 6; 73; 38; 29; 81; 1; 11; 70; 25; 48; 26; 45; 61; 14; 13; 63; 30; 42; 87; 54; 36; 32; 53; 88; 57; 19; 96; 75; 7; 85; 5; 90; 37; 94; 41; 2; 76; 23; 47; 93; 44; 95; 39; 28; 40; 55; 64; 77; 69; 97; 49; 68; 98; 12; 67; 46; 24; 22; 50; 9; 74; 0; 82; 20; 56; 58; 84; 43; 3; 79; 99; 34; 33; 91; 8; 83; 10; 71; 16; 65; 78; 4; 21; 52; 66; 17; 89; 18; 72; 60; 15], [[31; 35]; [62; 86; 80; 59]; [51; 27; 92]; [6; 73]; [38; 29]; [81; 1]; [11; 70]; [25; 48]; [26; 45]; [61; 14]; [13; 63]; [30; 42]; [87; 54; 36]; [32; 53; 88]; [57; 19]; [96; 75; 7]; [85; 5; 90]; [37; 94; 41]; [2; 76]; [23; 47]; [93; 44; 95; 39]; [28; 40]; [55; 64; 77]; [69; 97; 49; 68; 98]; [12; 67]; [46; 24]; [22; 50]; [9; 74]; [0; 82]; [20; 56]; [58; 84; 43]; [3; 79; 99]; [34; 33]; [91; 8; 83]; [10; 71]; [16; 65]; [78; 4]; [21; 52]; [66; 17]; [89; 18; 72]; [60; 15]], [12000; 11800; 12000; 12000; 12000; 11900; 11800; 11700; 12000; 12000; 12000; 11700; 12000; 12000; 11800; 12000; 12000; 11700; 11900; 12000; 12000; 12000; 10700; 12000; 12000; 12000; 12000; 11700; 12000; 11900; 11700; 11900; 12000; 11900; 12000; 11500; 11700; 12000; 11400; 11900; 12000], 222750, 222751, 6.515365123748779
52, 42, 0.9438161375661374, [38; 86; 53; 15; 59; 13; 64; 77; 2; 3; 76; 1; 84; 37; 39; 26; 45; 57; 43; 96; 85; 49; 42; 33; 34; 61; 14; 79; 9; 6; 72; 32; 41; 48; 23; 44; 27; 12; 69; 74; 5; 89; 71; 80; 99; 46; 88; 93; 92; 70; 28; 78; 4; 97; 51; 22; 67; 11; 81; 8; 91; 29; 40; 50; 25; 21; 52; 47; 24; 18; 17; 66; 7; 73; 60; 65; 90; 68; 62; 30; 83; 31; 35; 19; 56; 16; 63; 94; 98; 58; 20; 95; 75; 10; 82; 0; 36; 87; 54; 55], [[38; 86; 53]; [15; 59]; [13; 64]; [77; 2]; [3; 76]; [1; 84]; [37; 39]; [26; 45]; [57; 43; 96; 85]; [49; 42]; [33; 34]; [61; 14]; [79; 9]; [6; 72]; [32; 41]; [48; 23]; [44; 27]; [12; 69]; [74; 5]; [89; 71; 80; 99; 46]; [88; 93; 92; 70; 28]; [78; 4; 97]; [51; 22]; [67; 11]; [81; 8; 91]; [29; 40]; [50; 25]; [21; 52]; [47; 24]; [18]; [17; 66]; [7; 73]; [60; 65; 90; 68]; [62; 30; 83]; [31; 35]; [19; 56]; [16; 63; 94]; [98; 58; 20]; [95; 75; 10]; [82; 0]; [36; 87; 54]; [55]], [12000; 12000; 12000; 11900; 11900; 11700; 11200; 12000; 12000; 10400; 12000; 12000; 11300; 12000; 11600; 12000; 12000; 11900; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11600; 12000; 11900; 7700; 11400; 11900; 11900; 12000; 12000; 11900; 12000; 11900; 12000; 12000; 12000; 4600], 262350, 262351, 7.56716251373291
