Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
61, 52, 0.9089716880341883, [31; 65; 18; 80; 50; 44; 97; 1; 59; 37; 57; 42; 61; 36; 21; 67; 72; 73; 3; 92; 77; 90; 49; 89; 8; 39; 58; 7; 91; 22; 43; 51; 20; 79; 62; 33; 56; 41; 63; 30; 70; 35; 88; 10; 52; 46; 26; 74; 14; 25; 75; 2; 93; 13; 11; 86; 96; 6; 78; 12; 87; 40; 55; 68; 32; 0; 98; 48; 45; 66; 28; 16; 85; 15; 82; 94; 5; 69; 47; 99; 9; 23; 83; 27; 76; 81; 19; 60; 34; 29; 64; 4; 95; 71; 38; 17; 84; 53; 54; 24], [[31; 65]; [18; 80]; [50; 44]; [97; 1]; [59; 37]; [57; 42]; [61; 36]; [21]; [67; 72; 73]; [3; 92]; [77; 90; 49]; [89; 8]; [39; 58]; [7; 91]; [22]; [43; 51]; [20; 79]; [62; 33]; [56; 41]; [63; 30]; [70; 35]; [88; 10]; [52; 46]; [26; 74]; [14]; [25; 75]; [2; 93]; [13]; [11; 86]; [96; 6]; [78]; [12; 87]; [40; 55]; [68; 32]; [0; 98]; [48; 45]; [66; 28]; [16; 85]; [15; 82]; [94; 5]; [69; 47; 99]; [9]; [23; 83]; [27; 76]; [81; 19]; [60; 34]; [29; 64]; [4; 95]; [71; 38]; [17; 84]; [53; 54]; [24]], [11900; 12000; 11900; 12000; 12000; 11800; 11900; 8500; 12000; 12000; 12000; 12000; 12000; 12000; 8500; 11800; 12000; 12000; 11900; 12000; 11200; 11900; 11500; 12000; 8800; 12000; 12000; 8800; 12000; 11500; 3600; 12000; 12000; 11500; 12000; 11900; 12000; 12000; 12000; 11800; 12000; 9200; 11800; 11800; 12000; 12000; 12000; 11700; 11000; 12000; 11100; 8500], 306900, 306901, 10.917121171951294
50, 52, 0.908311965811966, [88; 10; 51; 93; 71; 76; 26; 61; 74; 78; 3; 92; 50; 44; 55; 40; 84; 15; 33; 67; 13; 59; 37; 57; 41; 80; 19; 47; 45; 68; 35; 97; 0; 28; 66; 23; 7; 90; 70; 38; 18; 81; 56; 42; 69; 36; 29; 64; 60; 34; 95; 5; 62; 32; 49; 43; 73; 91; 54; 31; 63; 14; 4; 96; 21; 83; 52; 53; 72; 11; 86; 75; 27; 8; 89; 9; 87; 12; 99; 1; 22; 16; 85; 25; 77; 17; 82; 30; 65; 6; 98; 2; 94; 39; 58; 20; 79; 24; 46; 48], [[88; 10]; [51; 93; 71]; [76; 26]; [61; 74; 78]; [3; 92]; [50; 44]; [55; 40]; [84; 15]; [33; 67]; [13]; [59; 37]; [57; 41]; [80; 19]; [47; 45]; [68; 35]; [97; 0]; [28; 66]; [23]; [7; 90]; [70; 38]; [18; 81]; [56; 42]; [69; 36]; [29; 64]; [60; 34]; [95; 5]; [62; 32]; [49; 43]; [73; 91; 54]; [31; 63]; [14]; [4; 96]; [21; 83]; [52; 53]; [72]; [11; 86]; [75; 27]; [8; 89]; [9]; [87; 12]; [99; 1]; [22]; [16; 85]; [25; 77]; [17; 82]; [30; 65]; [6; 98]; [2; 94]; [39; 58]; [20; 79]; [24]; [46; 48]], [11900; 12000; 11900; 12000; 12000; 11900; 12000; 12000; 11700; 8800; 12000; 11900; 12000; 11900; 11300; 12000; 12000; 8500; 12000; 11000; 12000; 11800; 11300; 12000; 12000; 11700; 12000; 11900; 12000; 11900; 8800; 11600; 11800; 11200; 3900; 12000; 11800; 12000; 9200; 12000; 12000; 8500; 12000; 12000; 12000; 12000; 11400; 11900; 12000; 12000; 8500; 11800], 252450, 252451, 7.808278799057007
50, 52, 0.9060202991452991, [54; 32; 62; 18; 83; 75; 38; 11; 86; 84; 17; 35; 61; 12; 87; 6; 97; 48; 45; 81; 19; 77; 27; 50; 44; 10; 88; 43; 49; 91; 7; 15; 82; 42; 56; 67; 72; 73; 8; 90; 47; 46; 78; 34; 24; 16; 85; 4; 95; 5; 96; 28; 64; 3; 94; 29; 65; 58; 39; 20; 33; 71; 68; 31; 59; 37; 9; 89; 52; 51; 93; 2; 23; 26; 74; 99; 1; 21; 40; 55; 41; 57; 92; 53; 70; 36; 60; 30; 69; 13; 63; 66; 80; 22; 79; 76; 25; 0; 98; 14], [[54]; [32; 62]; [18; 83]; [75; 38]; [11; 86]; [84; 17]; [35; 61]; [12; 87]; [6; 97]; [48; 45]; [81; 19]; [77; 27]; [50; 44]; [10; 88]; [43; 49]; [91; 7]; [15; 82]; [42; 56]; [67; 72; 73]; [8; 90]; [47; 46]; [78; 34]; [24]; [16; 85]; [4; 95]; [5; 96]; [28; 64]; [3; 94]; [29; 65]; [58; 39]; [20]; [33; 71]; [68; 31]; [59; 37]; [9; 89]; [52; 51]; [93; 2]; [23]; [26; 74]; [99; 1]; [21]; [40; 55]; [41; 57]; [92; 53; 70]; [36; 60]; [30; 69]; [13]; [63; 66; 80]; [22; 79]; [76; 25]; [0; 98]; [14]], [5500; 12000; 11900; 10600; 12000; 12000; 11900; 12000; 11400; 11900; 12000; 11800; 11900; 11900; 11900; 12000; 12000; 11800; 12000; 11900; 11800; 10800; 8500; 12000; 11700; 11600; 12000; 11900; 12000; 12000; 8500; 11400; 11700; 12000; 12000; 11200; 12000; 8500; 12000; 12000; 8500; 12000; 11900; 12000; 12000; 11800; 8800; 12000; 12000; 12000; 12000; 8800], 252450, 252451, 7.753462553024292
57, 52, 0.9075320512820514, [62; 32; 45; 46; 6; 98; 16; 82; 2; 92; 30; 63; 10; 88; 78; 25; 91; 7; 17; 85; 77; 68; 67; 4; 95; 3; 93; 97; 0; 40; 55; 81; 19; 83; 24; 58; 39; 44; 49; 38; 42; 57; 18; 80; 41; 56; 14; 5; 94; 1; 99; 29; 65; 79; 20; 22; 13; 31; 71; 51; 52; 73; 27; 47; 48; 50; 43; 90; 9; 72; 69; 70; 33; 76; 54; 23; 15; 84; 86; 11; 34; 60; 96; 53; 64; 36; 75; 89; 8; 21; 66; 28; 12; 87; 59; 37; 26; 74; 61; 35], [[62; 32]; [45; 46]; [6; 98]; [16; 82]; [2; 92]; [30; 63]; [10; 88]; [78; 25]; [91; 7]; [17; 85]; [77; 68; 67]; [4; 95]; [3; 93]; [97; 0]; [40; 55]; [81; 19]; [83; 24]; [58; 39]; [44; 49]; [38]; [42; 57]; [18; 80]; [41; 56]; [14]; [5; 94]; [1; 99]; [29; 65]; [79; 20]; [22]; [13]; [31; 71]; [51; 52]; [73; 27]; [47; 48]; [50; 43]; [90; 9]; [72; 69; 70]; [33; 76]; [54]; [23]; [15; 84]; [86; 11]; [34; 60]; [96; 53; 64]; [36; 75]; [89; 8]; [21]; [66; 28]; [12; 87]; [59; 37]; [26; 74]; [61; 35]], [12000; 11900; 11400; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11700; 12000; 12000; 12000; 12000; 11800; 12000; 11900; 7000; 11800; 12000; 11900; 8800; 11800; 12000; 12000; 12000; 8500; 8800; 11600; 11200; 12000; 11800; 11900; 11900; 12000; 11000; 5500; 8500; 12000; 12000; 12000; 12000; 10800; 12000; 8500; 12000; 12000; 12000; 12000; 11900], 287100, 287101, 8.758334159851074
46, 52, 0.908888888888889, [96; 5; 33; 62; 45; 48; 77; 1; 99; 26; 78; 34; 61; 70; 36; 59; 37; 22; 57; 41; 44; 49; 6; 20; 83; 65; 30; 66; 28; 14; 17; 84; 91; 9; 50; 43; 40; 55; 74; 71; 63; 86; 12; 54; 51; 98; 0; 93; 2; 27; 73; 25; 75; 11; 87; 10; 88; 29; 67; 13; 47; 46; 19; 81; 56; 42; 4; 97; 90; 7; 69; 31; 52; 53; 21; 72; 38; 3; 94; 24; 58; 39; 89; 8; 35; 60; 15; 82; 23; 79; 18; 80; 64; 76; 68; 85; 16; 95; 92; 32], [[96; 5]; [33; 62]; [45; 48]; [77]; [1; 99]; [26; 78]; [34; 61]; [70; 36]; [59; 37]; [22]; [57; 41]; [44; 49]; [6]; [20; 83]; [65; 30]; [66; 28]; [14]; [17; 84]; [91; 9]; [50; 43]; [40; 55]; [74; 71; 63]; [86; 12]; [54; 51]; [98; 0]; [93; 2]; [27; 73]; [25; 75]; [11; 87]; [10; 88]; [29; 67]; [13]; [47; 46]; [19; 81]; [56; 42]; [4; 97]; [90; 7]; [69; 31]; [52; 53]; [21]; [72; 38]; [3; 94]; [24]; [58; 39]; [89; 8]; [35; 60]; [15; 82]; [23; 79]; [18; 80]; [64; 76; 68]; [85; 16]; [95; 92; 32]], [11600; 12000; 11900; 3600; 12000; 11900; 11900; 11200; 12000; 8500; 11900; 11900; 9400; 11800; 12000; 12000; 8800; 12000; 11900; 11900; 12000; 12000; 12000; 11100; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 8800; 11800; 12000; 11800; 11500; 12000; 11700; 11200; 8500; 10900; 11900; 8500; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 12000], 232650, 232651, 7.1464316844940186
59, 52, 0.9085576923076923, [45; 47; 5; 95; 70; 63; 74; 76; 38; 92; 2; 27; 73; 65; 30; 80; 18; 41; 56; 94; 4; 46; 48; 97; 0; 43; 50; 81; 19; 71; 33; 12; 86; 54; 40; 55; 83; 24; 23; 79; 60; 34; 51; 16; 84; 85; 17; 25; 75; 82; 15; 67; 69; 78; 66; 28; 26; 77; 21; 11; 87; 29; 64; 93; 3; 49; 44; 58; 39; 32; 62; 59; 37; 61; 35; 42; 57; 31; 68; 99; 1; 90; 8; 14; 36; 72; 20; 52; 53; 7; 91; 88; 10; 89; 9; 13; 98; 22; 6; 96], [[45; 47]; [5; 95]; [70; 63; 74]; [76; 38]; [92; 2]; [27; 73]; [65; 30]; [80; 18]; [41; 56]; [94; 4]; [46; 48]; [97; 0]; [43; 50]; [81; 19]; [71; 33]; [12; 86]; [54]; [40; 55]; [83; 24]; [23; 79]; [60; 34]; [51]; [16; 84]; [85; 17]; [25; 75]; [82; 15]; [67; 69; 78]; [66; 28]; [26; 77]; [21]; [11; 87]; [29; 64]; [93; 3]; [49; 44]; [58; 39]; [32; 62]; [59; 37]; [61; 35]; [42; 57]; [31; 68]; [99; 1]; [90; 8]; [14]; [36; 72]; [20]; [52; 53]; [7; 91]; [88; 10]; [89; 9]; [13; 98]; [22]; [6; 96]], [11900; 11700; 12000; 10600; 12000; 12000; 12000; 12000; 11900; 11800; 11800; 12000; 11900; 12000; 11400; 12000; 5500; 12000; 11800; 12000; 12000; 5600; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 8500; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 11900; 11800; 11700; 12000; 11900; 8800; 11100; 8500; 11200; 12000; 11900; 12000; 10800; 8500; 11500], 297000, 297001, 9.128837823867798
51, 52, 0.9090972222222222, [26; 74; 33; 62; 15; 83; 1; 98; 44; 49; 45; 48; 24; 42; 57; 99; 6; 47; 46; 73; 63; 72; 38; 71; 18; 80; 39; 58; 94; 4; 20; 12; 86; 69; 32; 34; 61; 77; 14; 29; 64; 51; 96; 65; 13; 50; 43; 10; 75; 27; 52; 53; 19; 81; 37; 59; 89; 8; 91; 9; 7; 90; 54; 88; 76; 22; 84; 60; 36; 25; 78; 70; 35; 28; 66; 93; 2; 31; 68; 11; 87; 95; 5; 92; 3; 17; 85; 41; 55; 0; 97; 21; 79; 30; 67; 16; 82; 40; 56; 23], [[26; 74]; [33; 62]; [15; 83]; [1; 98]; [44; 49]; [45; 48]; [24]; [42; 57]; [99; 6]; [47; 46]; [73; 63; 72]; [38; 71]; [18; 80]; [39; 58]; [94; 4]; [20]; [12; 86]; [69; 32]; [34; 61]; [77]; [14]; [29; 64]; [51; 96; 65]; [13]; [50; 43]; [10]; [75; 27]; [52; 53]; [19; 81]; [37; 59]; [89; 8]; [91; 9]; [7; 90]; [54; 88; 76]; [22; 84]; [60; 36]; [25; 78]; [70; 35]; [28; 66]; [93; 2]; [31; 68]; [11; 87]; [95; 5]; [92; 3]; [17; 85]; [41; 55]; [0; 97]; [21; 79]; [30; 67]; [16; 82]; [40; 56]; [23]], [12000; 12000; 12000; 12000; 11900; 11900; 8500; 11800; 11400; 11800; 12000; 11000; 12000; 12000; 11800; 8500; 12000; 11500; 11900; 3600; 8800; 12000; 12000; 8800; 11900; 9000; 11800; 11200; 12000; 12000; 12000; 11900; 12000; 12000; 11800; 12000; 12000; 11200; 12000; 12000; 11700; 12000; 11700; 12000; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 8500], 257400, 257401, 7.917814254760742
50, 53, 0.8776257861635223, [4; 95; 82; 16; 13; 6; 96; 46; 48; 17; 34; 69; 9; 91; 85; 58; 75; 47; 45; 19; 80; 84; 57; 83; 62; 33; 52; 49; 18; 81; 79; 22; 25; 76; 66; 31; 87; 11; 37; 59; 55; 40; 89; 8; 41; 56; 60; 36; 97; 1; 74; 26; 0; 98; 93; 3; 67; 28; 88; 10; 73; 99; 43; 77; 27; 15; 38; 68; 35; 61; 78; 5; 94; 54; 72; 71; 42; 20; 24; 44; 50; 14; 21; 23; 29; 64; 65; 32; 86; 12; 2; 92; 90; 7; 30; 63; 70; 39; 51; 53], [[4; 95]; [82; 16]; [13]; [6; 96]; [46; 48]; [17]; [34; 69]; [9; 91]; [85; 58; 75]; [47; 45]; [19; 80]; [84; 57; 83]; [62; 33]; [52; 49]; [18; 81]; [79; 22]; [25; 76]; [66; 31]; [87; 11]; [37; 59]; [55; 40]; [89; 8]; [41; 56]; [60; 36]; [97; 1]; [74; 26]; [0; 98]; [93; 3]; [67; 28]; [88; 10]; [73; 99; 43]; [77; 27]; [15]; [38; 68]; [35; 61]; [78]; [5; 94]; [54; 72]; [71; 42]; [20]; [24]; [44; 50]; [14]; [21]; [23]; [29; 64]; [65; 32]; [86; 12]; [2; 92]; [90; 7]; [30; 63]; [70; 39]; [51; 53]], [11700; 12000; 8800; 11500; 11800; 8700; 11300; 11900; 12000; 11900; 12000; 11800; 12000; 11300; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 11900; 12000; 12000; 12000; 12000; 12000; 12000; 11900; 12000; 11800; 8700; 11100; 11900; 3600; 11800; 9400; 10600; 8500; 8500; 11900; 8800; 8500; 8500; 12000; 11700; 12000; 12000; 12000; 12000; 10900; 11200], 252450, 252451, 7.889419317245483
59, 52, 0.903047542735043, [41; 55; 47; 48; 14; 1; 98; 32; 62; 6; 39; 58; 21; 9; 91; 29; 64; 92; 2; 77; 36; 63; 30; 27; 73; 13; 28; 65; 15; 85; 95; 4; 88; 10; 11; 86; 42; 57; 25; 78; 96; 5; 75; 38; 82; 16; 60; 35; 40; 56; 23; 37; 59; 7; 90; 51; 52; 34; 71; 54; 53; 79; 44; 94; 74; 26; 89; 8; 22; 3; 93; 99; 50; 67; 61; 72; 80; 84; 17; 18; 83; 43; 49; 24; 31; 69; 68; 66; 76; 12; 87; 46; 45; 0; 97; 19; 81; 20; 70; 33], [[41; 55]; [47; 48]; [14]; [1; 98]; [32; 62]; [6]; [39; 58]; [21]; [9; 91]; [29; 64]; [92; 2]; [77; 36]; [63; 30]; [27; 73]; [13]; [28; 65]; [15; 85]; [95; 4]; [88; 10]; [11; 86]; [42; 57]; [25; 78]; [96; 5]; [75; 38]; [82; 16]; [60; 35]; [40; 56]; [23]; [37; 59]; [7; 90]; [51; 52]; [34; 71]; [54; 53]; [79; 44; 94]; [74; 26]; [89; 8]; [22]; [3; 93]; [99; 50; 67]; [61; 72; 80]; [84; 17]; [18; 83]; [43; 49]; [24]; [31; 69]; [68; 66; 76]; [12; 87]; [46; 45]; [0; 97]; [19; 81]; [20]; [70; 33]], [12000; 11800; 8800; 12000; 12000; 9400; 12000; 8500; 11900; 12000; 12000; 10800; 12000; 12000; 8800; 12000; 12000; 11700; 11900; 12000; 11800; 12000; 11600; 10600; 12000; 12000; 11900; 8500; 12000; 12000; 11200; 11200; 11100; 12000; 12000; 12000; 8500; 12000; 12000; 12000; 12000; 11900; 11900; 8500; 11700; 12000; 12000; 11900; 12000; 12000; 8500; 11400], 297000, 297001, 9.319278717041016
43, 53, 0.8786766247379456, [36; 61; 32; 63; 15; 85; 77; 24; 82; 92; 3; 83; 17; 57; 68; 90; 67; 29; 50; 44; 23; 27; 75; 60; 34; 5; 95; 9; 1; 98; 48; 45; 94; 39; 89; 18; 80; 71; 33; 79; 20; 0; 97; 22; 4; 96; 14; 47; 53; 11; 87; 19; 81; 69; 99; 46; 64; 28; 91; 7; 21; 13; 10; 88; 56; 41; 65; 30; 25; 76; 8; 42; 58; 2; 93; 72; 54; 40; 55; 6; 43; 49; 35; 59; 37; 73; 78; 62; 26; 74; 86; 12; 84; 16; 52; 51; 31; 66; 38; 70], [[36; 61]; [32; 63]; [15; 85]; [77]; [24; 82]; [92; 3]; [83; 17]; [57; 68; 90]; [67; 29]; [50; 44]; [23]; [27; 75]; [60; 34]; [5; 95]; [9]; [1; 98]; [48; 45]; [94; 39; 89]; [18; 80]; [71; 33]; [79; 20]; [0; 97]; [22]; [4; 96]; [14]; [47; 53]; [11; 87]; [19; 81]; [69; 99; 46]; [64; 28]; [91; 7]; [21]; [13]; [10; 88]; [56; 41]; [65; 30]; [25; 76]; [8]; [42; 58]; [2; 93]; [72; 54]; [40; 55]; [6]; [43; 49]; [35]; [59; 37]; [73; 78; 62]; [26; 74]; [86; 12]; [84; 16]; [52; 51]; [31; 66]; [38; 70]], [11900; 11700; 12000; 3600; 11800; 12000; 12000; 12000; 12000; 11900; 8500; 11800; 12000; 11700; 9200; 12000; 11900; 12000; 12000; 11400; 12000; 12000; 8500; 11600; 8800; 11500; 12000; 12000; 12000; 12000; 12000; 8500; 8800; 11900; 11900; 12000; 12000; 9200; 11700; 12000; 9400; 12000; 9400; 11900; 7200; 12000; 12000; 12000; 12000; 12000; 11200; 11900; 11000], 217800, 217801, 6.7739479541778564
