Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
30, 65, 0.7656047008547009, [63; 66; 9; 57; 10; 32; 1; 94; 21; 96; 17; 62; 39; 69; 58; 38; 30; 53; 71; 55; 29; 54; 8; 14; 98; 24; 89; 81; 43; 13; 56; 73; 3; 27; 4; 59; 70; 88; 31; 40; 84; 97; 16; 28; 45; 76; 87; 33; 51; 74; 67; 61; 2; 0; 48; 50; 77; 34; 86; 6; 11; 5; 19; 93; 92; 18; 80; 42; 52; 72; 37; 25; 65; 64; 83; 47; 20; 41; 82; 7; 79; 44; 68; 60; 23; 91; 90; 26; 36; 85; 35; 12; 99; 78; 49; 75; 46; 22; 15; 95], [[63; 66]; [9]; [57]; [10]; [32]; [1]; [94; 21]; [96; 17]; [62]; [39]; [69; 58]; [38]; [30]; [53; 71]; [55]; [29]; [54]; [8]; [14; 98]; [24; 89]; [81; 43]; [13]; [56; 73]; [3]; [27]; [4]; [59; 70]; [88; 31]; [40; 84]; [97; 16]; [28]; [45; 76]; [87; 33]; [51; 74]; [67; 61]; [2]; [0]; [48]; [50; 77]; [34; 86]; [6]; [11]; [5]; [19; 93]; [92; 18]; [80; 42]; [52; 72]; [37]; [25]; [65; 64]; [83; 47]; [20]; [41; 82]; [7]; [79; 44]; [68; 60]; [23; 91]; [90; 26]; [36; 85]; [35]; [12; 99]; [78; 49]; [75; 46]; [22]; [15; 95]], [12000; 9400; 6400; 9400; 8000; 10000; 11900; 12000; 6100; 7500; 12000; 7500; 8300; 12000; 6400; 8300; 6500; 9400; 11900; 12000; 11600; 9000; 11700; 10000; 8400; 9900; 12000; 11900; 12000; 11900; 8300; 12000; 11800; 12000; 12000; 10000; 10000; 6800; 11700; 12000; 9600; 9300; 9700; 12000; 12000; 11800; 12000; 7600; 8400; 12000; 11400; 8700; 11700; 9500; 11800; 12000; 11900; 11800; 12000; 7800; 12000; 11700; 12000; 8700; 12000], 148500, 148501, 6.6058454513549805
22, 65, 0.764878205128205, [41; 83; 42; 81; 78; 44; 7; 59; 17; 95; 90; 23; 20; 5; 62; 68; 0; 97; 12; 22; 91; 70; 61; 54; 73; 10; 4; 19; 92; 96; 15; 50; 82; 99; 14; 89; 24; 55; 49; 76; 75; 45; 40; 84; 25; 93; 71; 53; 58; 69; 33; 77; 43; 13; 64; 65; 56; 2; 31; 87; 8; 29; 39; 72; 57; 35; 27; 85; 38; 48; 67; 60; 37; 6; 28; 16; 1; 51; 74; 80; 52; 66; 63; 11; 47; 26; 32; 34; 86; 9; 3; 30; 88; 98; 18; 36; 46; 79; 21; 94], [[41; 83]; [42; 81]; [78; 44]; [7]; [59]; [17; 95]; [90; 23]; [20]; [5]; [62; 68]; [0]; [97; 12]; [22; 91]; [70; 61]; [54; 73]; [10]; [4]; [19; 92]; [96; 15]; [50; 82]; [99; 14]; [89; 24]; [55]; [49; 76]; [75; 45]; [40; 84]; [25; 93]; [71; 53]; [58; 69]; [33]; [77; 43]; [13]; [64; 65]; [56]; [2]; [31; 87]; [8]; [29]; [39]; [72; 57]; [35]; [27]; [85; 38]; [48]; [67; 60]; [37]; [6]; [28]; [16]; [1]; [51; 74]; [80; 52]; [66; 63]; [11]; [47]; [26]; [32]; [34; 86]; [9]; [3]; [30; 88]; [98; 18]; [36]; [46; 79]; [21; 94]], [11600; 11700; 11800; 9500; 6300; 12000; 12000; 8700; 9700; 11900; 10000; 12000; 12000; 11900; 11800; 9400; 9900; 12000; 12000; 11500; 11900; 12000; 6400; 11900; 12000; 12000; 11600; 12000; 12000; 8000; 11800; 9000; 12000; 6400; 10000; 12000; 9400; 8300; 7500; 11800; 7800; 8400; 11700; 6800; 12000; 7600; 9600; 8300; 8900; 10000; 12000; 11400; 12000; 9300; 6800; 8400; 8000; 12000; 9400; 10000; 12000; 11800; 7800; 11800; 11900], 108900, 108901, 3.711599111557007
24, 65, 0.7644401709401709, [70; 58; 4; 87; 33; 41; 81; 88; 30; 97; 16; 68; 61; 69; 63; 2; 59; 65; 64; 94; 19; 75; 50; 9; 8; 6; 0; 32; 17; 95; 96; 15; 54; 71; 89; 24; 74; 55; 45; 82; 92; 27; 56; 21; 44; 80; 11; 62; 66; 3; 46; 84; 28; 76; 52; 20; 91; 72; 57; 37; 39; 22; 42; 78; 13; 98; 10; 34; 86; 31; 47; 38; 12; 99; 7; 77; 43; 29; 18; 73; 53; 83; 40; 49; 48; 26; 90; 1; 79; 51; 25; 35; 85; 36; 67; 60; 93; 23; 5; 14], [[70; 58]; [4]; [87; 33]; [41; 81]; [88; 30]; [97; 16]; [68; 61]; [69; 63]; [2]; [59]; [65; 64]; [94; 19]; [75; 50]; [9]; [8]; [6]; [0]; [32]; [17; 95]; [96; 15]; [54; 71]; [89; 24]; [74; 55]; [45; 82]; [92; 27]; [56]; [21]; [44; 80]; [11]; [62; 66]; [3]; [46; 84]; [28]; [76; 52]; [20; 91]; [72; 57]; [37]; [39]; [22]; [42; 78]; [13; 98]; [10]; [34; 86]; [31]; [47]; [38]; [12; 99]; [7]; [77; 43]; [29]; [18]; [73; 53]; [83; 40]; [49]; [48]; [26; 90]; [1]; [79; 51]; [25]; [35; 85]; [36]; [67; 60]; [93; 23]; [5]; [14]], [12000; 9900; 11800; 11700; 12000; 11900; 12000; 11800; 10000; 6300; 12000; 12000; 11900; 9400; 9400; 9600; 10000; 8000; 12000; 12000; 12000; 12000; 11700; 11600; 11600; 6400; 8700; 11700; 9300; 12000; 10000; 11500; 8300; 11700; 12000; 11800; 7600; 7500; 8700; 11900; 12000; 9400; 12000; 8200; 6800; 7500; 12000; 9500; 11800; 8300; 8800; 11800; 12000; 6800; 6800; 11800; 10000; 11600; 8400; 12000; 7800; 12000; 11800; 9700; 8900], 118800, 118801, 4.0098724365234375
24, 65, 0.7649444444444445, [77; 45; 92; 21; 30; 88; 63; 70; 8; 76; 43; 85; 35; 23; 96; 48; 75; 41; 83; 55; 53; 6; 25; 57; 71; 27; 89; 11; 93; 18; 2; 31; 87; 1; 16; 95; 3; 5; 7; 9; 47; 81; 24; 22; 65; 64; 82; 50; 20; 15; 42; 79; 59; 17; 28; 46; 78; 62; 66; 54; 72; 86; 34; 32; 12; 99; 90; 29; 73; 51; 36; 61; 68; 19; 94; 56; 74; 44; 80; 84; 40; 4; 97; 13; 58; 69; 33; 0; 67; 60; 26; 91; 49; 14; 98; 52; 39; 38; 10; 37], [[77; 45]; [92; 21]; [30; 88]; [63; 70]; [8]; [76; 43]; [85; 35]; [23; 96]; [48; 75]; [41; 83]; [55]; [53]; [6]; [25]; [57; 71]; [27; 89]; [11]; [93; 18]; [2]; [31; 87]; [1]; [16; 95]; [3]; [5]; [7]; [9]; [47; 81]; [24]; [22]; [65; 64]; [82; 50]; [20]; [15]; [42; 79]; [59]; [17]; [28]; [46; 78]; [62; 66]; [54; 72]; [86; 34]; [32]; [12; 99]; [90; 29]; [73; 51]; [36]; [61; 68]; [19; 94]; [56; 74]; [44; 80]; [84; 40]; [4]; [97; 13]; [58; 69]; [33]; [0]; [67; 60]; [26; 91]; [49]; [14; 98]; [52]; [39]; [38]; [10]; [37]], [11800; 11900; 12000; 11800; 9400; 12000; 12000; 11700; 11900; 11600; 6400; 6500; 9600; 8400; 11900; 11900; 9300; 12000; 10000; 12000; 10000; 12000; 10000; 9700; 9500; 9400; 11500; 8500; 8700; 12000; 11500; 8700; 8900; 11900; 6300; 8900; 8300; 11800; 12000; 11900; 12000; 8000; 12000; 11700; 12000; 7800; 12000; 12000; 11700; 11700; 12000; 9900; 12000; 12000; 8000; 10000; 12000; 11700; 6800; 11900; 6600; 7500; 7500; 9400; 7600], 118800, 118801, 4.045260190963745
22, 65, 0.7645918803418802, [27; 32; 11; 94; 22; 30; 93; 92; 21; 50; 66; 62; 64; 65; 68; 63; 40; 84; 33; 55; 73; 3; 14; 48; 43; 75; 56; 9; 86; 34; 77; 42; 19; 16; 99; 49; 8; 28; 88; 52; 80; 71; 54; 2; 81; 47; 20; 91; 18; 96; 10; 78; 53; 97; 12; 7; 29; 39; 44; 76; 61; 70; 37; 25; 6; 59; 4; 23; 90; 72; 57; 41; 82; 26; 60; 67; 0; 5; 38; 35; 85; 51; 74; 15; 95; 79; 45; 46; 83; 1; 36; 31; 87; 13; 24; 89; 58; 69; 17; 98], [[27]; [32]; [11]; [94; 22]; [30; 93]; [92; 21]; [50]; [66; 62]; [64; 65]; [68; 63]; [40; 84]; [33]; [55; 73]; [3]; [14]; [48]; [43; 75]; [56]; [9]; [86; 34]; [77; 42]; [19]; [16; 99]; [49]; [8]; [28; 88]; [52; 80]; [71; 54]; [2]; [81; 47]; [20; 91]; [18; 96]; [10]; [78; 53]; [97; 12]; [7]; [29]; [39]; [44; 76]; [61; 70]; [37]; [25]; [6]; [59]; [4]; [23; 90]; [72; 57]; [41; 82]; [26]; [60; 67]; [0]; [5]; [38]; [35; 85]; [51; 74]; [15; 95]; [79; 45]; [46; 83]; [1]; [36]; [31; 87]; [13]; [24; 89]; [58; 69]; [17; 98]], [8400; 8000; 9300; 11900; 11500; 11900; 6800; 12000; 12000; 11900; 12000; 8000; 11700; 10000; 8900; 6800; 12000; 6400; 9400; 12000; 11900; 8800; 11900; 6800; 9400; 12000; 11400; 12000; 10000; 11500; 12000; 11900; 9400; 11400; 12000; 9500; 8300; 7500; 12000; 11900; 7600; 8400; 9600; 6300; 9900; 12000; 11800; 11700; 8400; 12000; 10000; 9700; 7500; 12000; 12000; 12000; 11800; 11500; 10000; 7800; 12000; 9000; 12000; 12000; 11900], 108900, 108901, 3.654240131378174
25, 65, 0.7656047008547009, [62; 66; 10; 98; 15; 7; 79; 45; 9; 29; 60; 68; 26; 54; 71; 2; 17; 95; 64; 65; 94; 24; 48; 75; 50; 74; 51; 38; 83; 41; 96; 14; 19; 67; 61; 20; 91; 4; 11; 30; 88; 39; 12; 97; 70; 58; 99; 13; 5; 42; 77; 80; 43; 53; 27; 89; 31; 46; 78; 22; 93; 87; 33; 63; 35; 6; 55; 21; 92; 76; 49; 36; 85; 34; 86; 44; 81; 73; 57; 3; 28; 37; 72; 52; 84; 40; 16; 56; 47; 82; 90; 23; 1; 8; 18; 0; 25; 59; 69; 32], [[62; 66]; [10]; [98; 15]; [7]; [79; 45]; [9]; [29]; [60; 68]; [26]; [54; 71]; [2]; [17; 95]; [64; 65]; [94; 24]; [48; 75]; [50]; [74; 51]; [38]; [83; 41]; [96; 14]; [19]; [67; 61]; [20; 91]; [4]; [11]; [30; 88]; [39]; [12; 97]; [70; 58]; [99; 13]; [5]; [42; 77]; [80; 43]; [53]; [27; 89]; [31]; [46; 78]; [22; 93]; [87; 33]; [63]; [35]; [6]; [55]; [21; 92]; [76; 49]; [36; 85]; [34; 86]; [44; 81]; [73; 57]; [3]; [28]; [37]; [72; 52]; [84; 40]; [16]; [56]; [47; 82]; [90; 23]; [1]; [8]; [18]; [0]; [25]; [59; 69]; [32]], [12000; 9400; 11900; 9500; 11800; 9400; 8300; 12000; 8400; 12000; 10000; 12000; 12000; 11700; 11900; 6800; 12000; 7500; 11600; 12000; 8800; 12000; 12000; 9900; 9300; 12000; 7500; 12000; 12000; 12000; 9700; 11900; 11700; 6500; 11900; 8200; 11800; 11900; 11800; 6100; 7800; 9600; 6400; 11900; 11900; 12000; 12000; 11600; 11700; 10000; 8300; 7600; 12000; 12000; 8900; 6400; 11500; 12000; 10000; 9400; 8800; 10000; 8400; 12000; 8000], 123750, 123751, 4.2230470180511475
26, 65, 0.7655576923076922, [62; 55; 51; 74; 81; 48; 54; 15; 98; 56; 18; 94; 95; 14; 38; 8; 41; 78; 93; 20; 44; 82; 85; 37; 28; 29; 88; 25; 75; 49; 86; 34; 57; 72; 36; 31; 35; 16; 96; 64; 65; 5; 23; 90; 83; 42; 53; 71; 43; 80; 46; 76; 39; 45; 77; 47; 33; 27; 70; 59; 99; 13; 91; 24; 87; 32; 68; 60; 84; 40; 52; 73; 7; 21; 61; 67; 3; 79; 50; 69; 58; 11; 4; 12; 97; 26; 89; 2; 10; 22; 9; 66; 63; 30; 6; 1; 0; 19; 92; 17], [[62]; [55]; [51; 74]; [81; 48]; [54]; [15; 98]; [56]; [18; 94]; [95; 14]; [38]; [8]; [41; 78]; [93; 20]; [44; 82]; [85; 37]; [28]; [29; 88]; [25]; [75; 49]; [86; 34]; [57; 72]; [36]; [31]; [35]; [16; 96]; [64; 65]; [5]; [23; 90]; [83; 42]; [53; 71]; [43; 80]; [46; 76]; [39]; [45; 77]; [47]; [33]; [27]; [70; 59]; [99; 13]; [91; 24]; [87; 32]; [68; 60]; [84; 40]; [52; 73]; [7]; [21]; [61; 67]; [3]; [79; 50]; [69; 58]; [11]; [4]; [12; 97]; [26; 89]; [2]; [10]; [22]; [9]; [66; 63]; [30]; [6]; [1]; [0]; [19; 92]; [17]], [6100; 6400; 12000; 11500; 6500; 11900; 6400; 12000; 12000; 7500; 9400; 11900; 11900; 11600; 11800; 8300; 12000; 8400; 11900; 12000; 11800; 7800; 8200; 7800; 12000; 12000; 9700; 12000; 11600; 12000; 11700; 12000; 7500; 11800; 6800; 8000; 8400; 12000; 12000; 11800; 11800; 12000; 12000; 11900; 9500; 8700; 12000; 10000; 11700; 12000; 9300; 9900; 12000; 11900; 10000; 9400; 8700; 9400; 12000; 8300; 9600; 10000; 10000; 12000; 8900], 128700, 128701, 4.302974700927734
29, 65, 0.7649081196581198, [57; 71; 56; 13; 3; 45; 82; 17; 96; 67; 61; 6; 36; 85; 26; 34; 86; 52; 76; 16; 95; 84; 40; 58; 69; 37; 68; 60; 14; 97; 11; 54; 73; 93; 18; 50; 5; 92; 21; 41; 77; 9; 38; 31; 89; 66; 63; 1; 33; 87; 22; 83; 46; 35; 39; 7; 94; 23; 10; 8; 53; 72; 62; 28; 0; 43; 75; 91; 25; 80; 44; 51; 74; 59; 70; 64; 65; 55; 2; 90; 24; 98; 15; 42; 81; 27; 88; 29; 4; 49; 30; 47; 79; 19; 48; 78; 12; 99; 32; 20], [[57; 71]; [56]; [13]; [3]; [45; 82]; [17; 96]; [67; 61]; [6]; [36; 85]; [26]; [34; 86]; [52; 76]; [16; 95]; [84; 40]; [58; 69]; [37]; [68; 60]; [14; 97]; [11]; [54; 73]; [93; 18]; [50]; [5]; [92; 21]; [41; 77]; [9]; [38]; [31; 89]; [66; 63]; [1]; [33; 87]; [22]; [83; 46]; [35]; [39]; [7]; [94; 23]; [10]; [8]; [53; 72]; [62]; [28]; [0]; [43; 75]; [91; 25]; [80; 44]; [51; 74]; [59; 70]; [64; 65]; [55]; [2]; [90; 24]; [98; 15]; [42; 81]; [27]; [88; 29]; [4]; [49]; [30]; [47; 79]; [19]; [48; 78]; [12; 99]; [32]; [20]], [11900; 6400; 9000; 10000; 11600; 12000; 12000; 9600; 12000; 8400; 12000; 11700; 12000; 12000; 12000; 7600; 12000; 11900; 9300; 11800; 12000; 6800; 9700; 11900; 11900; 9400; 7500; 11700; 12000; 10000; 11800; 8700; 11500; 7800; 7500; 9500; 11800; 9400; 9400; 11900; 6100; 8300; 10000; 12000; 11700; 11700; 12000; 12000; 12000; 6400; 10000; 11900; 11900; 11700; 8400; 12000; 9900; 6800; 8300; 11700; 8800; 11700; 12000; 8000; 8700], 143550, 143551, 4.889259576797485
29, 65, 0.7657649572649573, [45; 75; 54; 56; 35; 77; 41; 55; 74; 66; 62; 5; 91; 21; 10; 2; 44; 78; 14; 96; 22; 92; 39; 31; 87; 24; 89; 19; 94; 61; 69; 27; 53; 26; 84; 40; 99; 12; 18; 93; 25; 52; 72; 58; 13; 97; 38; 6; 1; 65; 64; 34; 86; 11; 48; 42; 82; 63; 67; 20; 37; 36; 85; 47; 81; 8; 23; 90; 51; 73; 43; 76; 57; 71; 83; 46; 9; 28; 88; 0; 29; 32; 7; 30; 33; 70; 59; 3; 50; 80; 15; 95; 60; 68; 17; 4; 49; 79; 16; 98], [[45; 75]; [54]; [56]; [35]; [77; 41]; [55; 74]; [66; 62]; [5]; [91; 21]; [10]; [2]; [44; 78]; [14; 96]; [22; 92]; [39]; [31; 87]; [24; 89]; [19; 94]; [61; 69]; [27]; [53]; [26]; [84; 40]; [99; 12]; [18; 93]; [25]; [52; 72]; [58]; [13; 97]; [38]; [6]; [1]; [65; 64]; [34; 86]; [11]; [48]; [42; 82]; [63; 67]; [20]; [37]; [36; 85]; [47; 81]; [8]; [23; 90]; [51; 73]; [43; 76]; [57; 71]; [83; 46]; [9]; [28; 88]; [0]; [29]; [32]; [7]; [30]; [33]; [70; 59]; [3]; [50; 80]; [15; 95]; [60; 68]; [17]; [4]; [49; 79]; [16; 98]], [12000; 6500; 6400; 7800; 11900; 11700; 12000; 9700; 12000; 9400; 10000; 11800; 12000; 11900; 7500; 12000; 12000; 12000; 11900; 8400; 6500; 8400; 12000; 12000; 12000; 8400; 12000; 6300; 12000; 7500; 9600; 10000; 12000; 12000; 9300; 6800; 11700; 11900; 8700; 7600; 12000; 11500; 9400; 12000; 12000; 12000; 11900; 11500; 9400; 12000; 10000; 8300; 8000; 9500; 8300; 8000; 12000; 10000; 11600; 12000; 12000; 8900; 9900; 11700; 11900], 143550, 143551, 4.811776876449585
25, 65, 0.7649764957264957, [13; 90; 24; 58; 72; 25; 28; 88; 10; 15; 96; 50; 81; 14; 95; 2; 75; 45; 74; 52; 0; 8; 71; 53; 86; 35; 22; 93; 97; 17; 46; 80; 4; 49; 64; 65; 7; 60; 70; 42; 78; 5; 56; 51; 73; 12; 99; 54; 36; 83; 40; 9; 91; 20; 66; 62; 34; 87; 68; 61; 47; 77; 43; 79; 31; 23; 76; 44; 19; 67; 63; 16; 98; 3; 41; 82; 21; 94; 57; 38; 18; 92; 6; 27; 89; 26; 32; 55; 39; 11; 30; 1; 33; 29; 69; 59; 37; 85; 48; 84], [[13]; [90; 24]; [58; 72]; [25]; [28; 88]; [10]; [15; 96]; [50; 81]; [14; 95]; [2]; [75; 45]; [74; 52]; [0]; [8]; [71; 53]; [86; 35]; [22; 93]; [97; 17]; [46; 80]; [4]; [49]; [64; 65]; [7]; [60; 70]; [42; 78]; [5]; [56]; [51; 73]; [12; 99]; [54]; [36]; [83; 40]; [9]; [91; 20]; [66; 62]; [34; 87]; [68; 61]; [47; 77]; [43; 79]; [31]; [23]; [76; 44]; [19]; [67; 63]; [16; 98]; [3]; [41; 82]; [21; 94]; [57]; [38]; [18; 92]; [6]; [27; 89]; [26]; [32]; [55]; [39]; [11]; [30]; [1]; [33]; [29]; [69; 59]; [37; 85]; [48; 84]], [9000; 11900; 11700; 8400; 12000; 9400; 12000; 11500; 12000; 10000; 12000; 11900; 10000; 9400; 12000; 11900; 11900; 11900; 11700; 9900; 6800; 12000; 9500; 11900; 11900; 9700; 6400; 12000; 12000; 6500; 7800; 12000; 9400; 12000; 12000; 11700; 12000; 11700; 11800; 8200; 8600; 12000; 8800; 11900; 11900; 10000; 11700; 11900; 6400; 7500; 12000; 9600; 11900; 8400; 8000; 6400; 7500; 9300; 8300; 10000; 8000; 8300; 12000; 11800; 11400], 123750, 123751, 4.17814302444458
