Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
29, 59, 0.8381002824858756, [80; 34; 4; 77; 44; 27; 87; 8; 14; 96; 65; 52; 20; 98; 16; 95; 28; 85; 10; 83; 31; 21; 35; 82; 69; 47; 6; 88; 17; 29; 68; 54; 7; 38; 76; 25; 92; 32; 81; 99; 12; 1; 2; 26; 33; 5; 93; 24; 43; 71; 13; 97; 23; 86; 0; 40; 75; 62; 57; 46; 67; 39; 41; 78; 56; 59; 63; 55; 11; 45; 70; 19; 90; 94; 18; 64; 48; 72; 49; 22; 89; 66; 58; 9; 74; 42; 51; 60; 84; 30; 36; 50; 73; 15; 91; 3; 53; 61; 37; 79], [[80; 34]; [4]; [77; 44]; [27; 87]; [8]; [14; 96]; [65; 52]; [20; 98]; [16; 95]; [28; 85]; [10]; [83; 31]; [21]; [35; 82]; [69; 47]; [6]; [88; 17]; [29]; [68; 54]; [7]; [38; 76]; [25; 92]; [32; 81]; [99; 12]; [1]; [2]; [26]; [33]; [5]; [93; 24]; [43; 71]; [13; 97]; [23; 86]; [0]; [40; 75]; [62; 57]; [46; 67]; [39]; [41; 78]; [56; 59]; [63; 55]; [11]; [45; 70]; [19; 90]; [94; 18]; [64; 48]; [72; 49]; [22; 89]; [66; 58]; [9]; [74; 42]; [51; 60]; [84; 30]; [36]; [50; 73]; [15; 91]; [3]; [53; 61]; [37; 79]], [11900; 9600; 11700; 11700; 9300; 11900; 11800; 11200; 11600; 12000; 9300; 11900; 8200; 11800; 11700; 9400; 12000; 7700; 11500; 9400; 12000; 11400; 11900; 12000; 9700; 9700; 7800; 7300; 9500; 11400; 12000; 12000; 12000; 9900; 11900; 11700; 12000; 7100; 11700; 11900; 11900; 9100; 11900; 11700; 11600; 12000; 11600; 11500; 11300; 9300; 11900; 12000; 11900; 7300; 11300; 12000; 9700; 12000; 11900], 143550, 143551, 6.27540922164917
27, 59, 0.837337570621469, [59; 54; 53; 61; 64; 50; 67; 46; 26; 29; 41; 74; 88; 22; 9; 2; 87; 24; 96; 21; 6; 55; 66; 11; 95; 14; 73; 40; 3; 39; 79; 90; 17; 15; 94; 12; 99; 75; 42; 58; 57; 71; 47; 93; 16; 91; 30; 82; 34; 62; 51; 19; 92; 72; 44; 69; 43; 13; 98; 65; 48; 56; 63; 32; 70; 78; 89; 25; 23; 86; 37; 84; 35; 80; 8; 7; 49; 76; 4; 18; 60; 52; 1; 83; 31; 36; 81; 0; 38; 77; 28; 97; 85; 27; 10; 5; 33; 45; 68; 20], [[59; 54]; [53; 61]; [64; 50]; [67; 46]; [26]; [29]; [41; 74]; [88; 22]; [9]; [2]; [87; 24]; [96; 21]; [6]; [55; 66]; [11]; [95; 14]; [73; 40]; [3]; [39; 79]; [90; 17]; [15; 94]; [12; 99]; [75; 42]; [58; 57]; [71; 47]; [93; 16]; [91; 30]; [82; 34]; [62; 51]; [19; 92]; [72; 44]; [69; 43]; [13; 98]; [65; 48]; [56; 63]; [32]; [70; 78]; [89; 25]; [23; 86]; [37; 84]; [35; 80]; [8]; [7]; [49; 76]; [4]; [18]; [60; 52]; [1]; [83; 31]; [36; 81]; [0]; [38; 77]; [28; 97]; [85; 27]; [10]; [5]; [33]; [45; 68]; [20]], [12000; 12000; 11900; 12000; 7800; 7700; 11900; 11800; 9300; 9700; 12000; 11300; 9400; 11600; 9100; 12000; 12000; 9700; 11900; 11700; 11900; 12000; 11800; 11900; 11700; 11700; 10900; 11800; 12000; 11700; 12000; 12000; 11900; 11900; 11800; 7400; 10000; 11400; 12000; 11500; 11900; 9300; 9400; 11300; 9600; 8300; 12000; 9700; 11900; 11800; 9900; 12000; 10900; 12000; 9300; 9500; 7300; 12000; 8200], 133650, 133651, 4.388131141662598
26, 59, 0.8379637476459512, [1; 37; 75; 20; 4; 74; 40; 5; 21; 89; 11; 18; 92; 12; 57; 59; 90; 27; 23; 86; 2; 62; 50; 31; 81; 82; 32; 55; 61; 47; 69; 77; 41; 88; 25; 10; 58; 56; 6; 65; 98; 94; 7; 45; 68; 64; 54; 26; 85; 9; 49; 67; 66; 46; 28; 30; 83; 76; 42; 29; 39; 79; 43; 72; 15; 95; 0; 70; 44; 33; 34; 84; 13; 96; 48; 73; 60; 52; 8; 38; 78; 87; 22; 91; 17; 36; 3; 93; 16; 53; 71; 51; 63; 19; 97; 24; 35; 80; 99; 14], [[1]; [37; 75]; [20]; [4]; [74; 40]; [5]; [21; 89]; [11]; [18; 92]; [12]; [57; 59]; [90; 27]; [23; 86]; [2]; [62; 50]; [31; 81]; [82; 32]; [55; 61]; [47; 69]; [77; 41]; [88; 25]; [10]; [58; 56]; [6]; [65; 98; 94]; [7]; [45; 68]; [64; 54]; [26; 85]; [9]; [49; 67]; [66; 46]; [28]; [30; 83]; [76; 42]; [29]; [39; 79]; [43; 72]; [15; 95]; [0]; [70; 44]; [33]; [34; 84]; [13; 96]; [48; 73]; [60; 52]; [8]; [38; 78]; [87; 22]; [91; 17]; [36]; [3]; [93; 16]; [53; 71]; [51; 63]; [19; 97]; [24]; [35; 80]; [99; 14]], [9700; 12000; 8200; 9600; 12000; 9500; 11600; 9100; 11700; 9000; 11800; 11200; 12000; 9700; 12000; 12000; 11900; 11900; 11700; 11800; 11700; 9300; 12000; 9400; 11800; 9400; 12000; 11800; 12000; 9300; 11800; 12000; 7800; 11900; 11800; 7700; 11900; 12000; 11800; 9900; 12000; 7300; 11700; 12000; 11400; 12000; 9300; 11900; 12000; 11700; 7300; 9700; 11700; 11500; 12000; 11400; 8100; 11900; 11800], 128700, 128701, 4.29094123840332
27, 59, 0.8385734463276836, [26; 64; 54; 4; 3; 81; 32; 95; 14; 47; 68; 99; 13; 72; 52; 1; 38; 76; 53; 62; 42; 74; 6; 23; 28; 85; 73; 41; 20; 0; 7; 40; 75; 80; 34; 43; 79; 33; 5; 24; 87; 70; 45; 71; 44; 56; 58; 93; 16; 21; 19; 88; 2; 77; 39; 11; 48; 69; 94; 65; 96; 63; 51; 55; 60; 46; 66; 9; 57; 59; 18; 90; 50; 61; 36; 82; 8; 86; 22; 12; 98; 29; 17; 97; 37; 78; 10; 15; 92; 25; 89; 91; 27; 49; 67; 30; 84; 83; 31; 35], [[26]; [64; 54]; [4]; [3]; [81; 32]; [95; 14]; [47; 68]; [99; 13]; [72; 52]; [1]; [38; 76]; [53; 62]; [42; 74]; [6]; [23]; [28; 85]; [73; 41]; [20]; [0]; [7]; [40; 75]; [80; 34]; [43; 79]; [33]; [5]; [24; 87]; [70; 45]; [71; 44]; [56; 58]; [93; 16]; [21]; [19; 88]; [2]; [77; 39]; [11]; [48; 69]; [94; 65; 96]; [63; 51]; [55; 60]; [46; 66]; [9]; [57; 59]; [18; 90]; [50; 61]; [36; 82]; [8]; [86; 22]; [12; 98]; [29]; [17; 97]; [37; 78]; [10]; [15; 92]; [25; 89]; [91; 27]; [49; 67]; [30; 84]; [83; 31]; [35]], [7800; 11800; 9600; 9700; 11900; 12000; 11800; 11900; 11500; 9700; 12000; 12000; 11900; 9400; 8100; 12000; 11900; 8200; 9900; 9400; 11900; 11900; 11600; 7300; 9500; 12000; 11900; 12000; 12000; 11700; 8200; 12000; 9700; 12000; 9100; 11600; 11900; 12000; 11900; 12000; 9300; 11800; 11700; 12000; 11800; 9300; 12000; 12000; 7700; 11400; 11900; 9300; 12000; 11400; 11200; 11800; 11900; 11900; 7300], 133650, 133651, 4.409257173538208
30, 59, 0.8410381355932203, [21; 51; 62; 80; 32; 30; 81; 67; 57; 88; 17; 2; 94; 20; 10; 38; 78; 93; 28; 0; 85; 26; 25; 63; 52; 27; 34; 41; 74; 59; 55; 4; 1; 44; 69; 91; 29; 64; 50; 98; 12; 6; 82; 36; 79; 18; 97; 42; 77; 56; 58; 43; 70; 5; 19; 96; 92; 24; 71; 45; 90; 16; 60; 53; 9; 54; 61; 73; 40; 15; 89; 3; 95; 14; 11; 7; 35; 39; 75; 72; 47; 76; 37; 8; 84; 33; 99; 13; 65; 48; 86; 22; 23; 87; 31; 83; 46; 66; 49; 68], [[21]; [51; 62]; [80; 32]; [30; 81]; [67; 57]; [88; 17]; [2]; [94; 20]; [10]; [38; 78]; [93; 28]; [0]; [85; 26]; [25]; [63; 52]; [27]; [34]; [41; 74]; [59; 55]; [4]; [1]; [44; 69]; [91; 29]; [64; 50]; [98; 12]; [6]; [82; 36]; [79]; [18; 97]; [42; 77]; [56; 58]; [43; 70]; [5]; [19; 96]; [92; 24]; [71; 45]; [90; 16]; [60; 53]; [9]; [54; 61]; [73; 40]; [15; 89]; [3]; [95; 14]; [11]; [7]; [35]; [39; 75]; [72; 47]; [76; 37]; [8]; [84; 33]; [99; 13]; [65; 48]; [86; 22]; [23; 87]; [31; 83]; [46; 66]; [49; 68]], [8200; 12000; 12000; 12000; 11400; 12000; 9700; 11500; 9300; 11900; 11100; 9900; 12000; 8000; 12000; 7800; 7300; 11900; 12000; 9600; 9700; 12000; 11100; 11900; 12000; 9400; 11800; 4800; 11400; 11800; 12000; 12000; 9500; 11400; 11500; 11900; 11800; 12000; 9300; 11900; 12000; 12000; 9700; 12000; 9100; 9400; 7300; 12000; 11700; 12000; 9300; 11700; 11900; 11900; 12000; 12000; 11900; 12000; 11700], 148500, 148501, 4.922389030456543
23, 59, 0.836678436911488, [40; 73; 29; 17; 88; 69; 43; 61; 57; 83; 31; 38; 77; 65; 47; 19; 94; 15; 92; 59; 55; 90; 20; 13; 96; 86; 24; 6; 68; 45; 56; 67; 50; 71; 54; 70; 79; 37; 87; 36; 51; 60; 41; 82; 1; 52; 63; 72; 44; 4; 32; 80; 8; 7; 3; 10; 42; 74; 11; 30; 81; 9; 93; 21; 99; 16; 18; 89; 76; 46; 98; 12; 2; 26; 95; 39; 75; 58; 62; 91; 27; 22; 23; 35; 49; 66; 53; 64; 84; 33; 5; 97; 14; 0; 25; 85; 34; 28; 48; 78], [[40; 73]; [29]; [17; 88]; [69; 43]; [61; 57]; [83; 31]; [38; 77]; [65; 47]; [19; 94]; [15; 92]; [59; 55]; [90; 20]; [13; 96]; [86; 24]; [6]; [68; 45]; [56; 67]; [50; 71]; [54; 70]; [79; 37]; [87; 36]; [51; 60]; [41; 82]; [1]; [52; 63]; [72; 44]; [4]; [32; 80]; [8]; [7]; [3]; [10]; [42; 74]; [11]; [30; 81]; [9]; [93; 21]; [99; 16]; [18; 89]; [76; 46]; [98; 12]; [2]; [26; 95]; [39; 75]; [58; 62]; [91; 27]; [22]; [23]; [35]; [49; 66]; [53; 64]; [84; 33]; [5]; [97; 14]; [0]; [25]; [85; 34]; [28]; [48; 78]], [12000; 7700; 12000; 12000; 11700; 11900; 12000; 12000; 11600; 12000; 12000; 11600; 12000; 12000; 9400; 12000; 11500; 11500; 11400; 11900; 11200; 12000; 11400; 9700; 12000; 12000; 9600; 12000; 9300; 9400; 9700; 9300; 11900; 9100; 12000; 9300; 11500; 11400; 11700; 11500; 12000; 9700; 11000; 12000; 11600; 11200; 8100; 8100; 7300; 11800; 11900; 11700; 9500; 11900; 9900; 8000; 11500; 7800; 11200], 113850, 113851, 3.7957355976104736
25, 59, 0.8371963276836158, [83; 32; 51; 67; 56; 58; 68; 45; 5; 36; 80; 3; 81; 34; 44; 74; 13; 97; 63; 57; 39; 75; 61; 72; 9; 88; 27; 10; 8; 15; 91; 79; 42; 96; 30; 93; 28; 60; 54; 29; 35; 84; 23; 47; 78; 20; 7; 64; 50; 31; 82; 0; 11; 86; 25; 43; 71; 99; 12; 59; 55; 16; 94; 21; 1; 19; 95; 85; 26; 49; 70; 18; 89; 33; 38; 77; 24; 90; 46; 66; 22; 87; 37; 6; 52; 62; 69; 48; 17; 92; 4; 14; 98; 65; 53; 2; 40; 73; 41; 76], [[83; 32]; [51; 67]; [56; 58]; [68; 45]; [5]; [36; 80]; [3]; [81; 34]; [44; 74]; [13; 97]; [63; 57]; [39; 75]; [61; 72]; [9]; [88; 27]; [10]; [8]; [15; 91]; [79; 42]; [96; 30]; [93; 28]; [60; 54]; [29]; [35; 84]; [23]; [47; 78]; [20]; [7]; [64; 50]; [31; 82]; [0]; [11]; [86; 25]; [43; 71]; [99; 12]; [59; 55]; [16; 94]; [21]; [1]; [19; 95]; [85; 26]; [49; 70]; [18; 89]; [33]; [38; 77]; [24; 90]; [46; 66]; [22; 87]; [37]; [6]; [52; 62]; [69; 48]; [17; 92]; [4]; [14; 98]; [65; 53]; [2]; [40; 73]; [41; 76]], [11800; 11700; 12000; 12000; 9500; 11900; 9700; 11800; 11800; 12000; 11700; 12000; 10900; 9300; 11500; 9300; 9300; 12000; 11700; 10600; 11100; 11900; 7700; 11700; 8100; 11300; 8200; 9400; 11900; 12000; 9900; 9100; 11900; 12000; 12000; 12000; 11700; 8200; 9700; 11500; 12000; 11600; 11700; 7300; 12000; 11500; 12000; 12000; 7100; 9400; 12000; 11600; 11700; 9600; 11800; 11800; 9700; 12000; 11800], 123750, 123751, 4.161805868148804
22, 59, 0.8380390772128061, [27; 20; 61; 53; 75; 38; 24; 64; 48; 46; 66; 37; 78; 9; 74; 51; 89; 21; 45; 68; 36; 84; 29; 87; 44; 72; 13; 98; 11; 16; 96; 10; 50; 62; 2; 30; 82; 8; 19; 28; 91; 99; 12; 56; 58; 71; 49; 26; 85; 90; 22; 60; 52; 34; 42; 73; 43; 69; 0; 3; 76; 41; 63; 57; 81; 35; 67; 47; 33; 80; 77; 39; 25; 18; 88; 15; 93; 55; 65; 86; 23; 79; 40; 32; 83; 59; 54; 14; 95; 5; 97; 17; 92; 94; 70; 31; 1; 7; 6; 4], [[27]; [20]; [61; 53]; [75; 38]; [24]; [64; 48]; [46; 66]; [37; 78]; [9]; [74; 51]; [89; 21]; [45; 68]; [36; 84]; [29; 87]; [44; 72]; [13; 98]; [11]; [16; 96]; [10]; [50; 62]; [2]; [30; 82]; [8]; [19]; [28; 91]; [99; 12]; [56; 58]; [71; 49]; [26; 85]; [90; 22]; [60; 52]; [34]; [42; 73]; [43; 69]; [0]; [3]; [76; 41]; [63; 57]; [81; 35]; [67; 47]; [33; 80]; [77; 39]; [25]; [18; 88]; [15; 93]; [55; 65]; [86; 23]; [79; 40]; [32; 83]; [59; 54]; [14; 95]; [5]; [97; 17]; [92; 94; 70]; [31]; [1]; [7]; [6]; [4]], [7800; 8200; 12000; 12000; 8100; 12000; 12000; 11900; 9300; 11300; 11600; 12000; 11700; 11600; 12000; 11900; 9100; 11500; 9300; 12000; 9700; 12000; 9300; 8300; 11200; 12000; 12000; 11600; 12000; 11500; 12000; 7300; 11900; 12000; 9900; 9700; 11800; 11700; 11800; 11900; 11900; 12000; 8000; 12000; 11900; 11700; 12000; 11800; 11800; 12000; 12000; 9500; 11400; 11900; 7500; 9700; 9400; 9400; 9600], 108900, 108901, 3.633737802505493
28, 59, 0.8383215630885122, [97; 13; 48; 72; 69; 45; 91; 20; 37; 77; 73; 40; 24; 94; 59; 78; 87; 29; 82; 34; 63; 55; 2; 4; 8; 27; 84; 33; 42; 38; 75; 89; 15; 99; 12; 31; 64; 49; 96; 18; 0; 62; 56; 32; 80; 71; 43; 81; 30; 53; 68; 36; 52; 66; 70; 46; 3; 85; 26; 76; 41; 79; 39; 19; 90; 60; 51; 22; 86; 1; 65; 47; 95; 14; 25; 5; 54; 61; 9; 50; 67; 7; 23; 93; 11; 98; 21; 35; 83; 6; 44; 74; 28; 17; 88; 10; 58; 57; 16; 92], [[97; 13]; [48; 72]; [69; 45]; [91; 20]; [37; 77]; [73; 40]; [24; 94]; [59; 78]; [87; 29]; [82; 34]; [63; 55]; [2]; [4]; [8]; [27]; [84; 33]; [42]; [38; 75]; [89; 15]; [99; 12]; [31]; [64; 49]; [96; 18]; [0]; [62; 56]; [32; 80]; [71; 43]; [81; 30]; [53; 68]; [36]; [52; 66]; [70; 46]; [3]; [85; 26]; [76; 41]; [79; 39]; [19; 90]; [60; 51]; [22; 86]; [1]; [65; 47]; [95; 14]; [25]; [5]; [54; 61]; [9]; [50; 67]; [7]; [23; 93]; [11]; [98; 21]; [35; 83]; [6]; [44; 74]; [28]; [17; 88]; [10]; [58; 57]; [16; 92]], [12000; 11600; 11900; 11600; 12000; 12000; 11400; 10600; 11600; 11800; 11900; 9700; 9600; 9300; 7800; 11700; 6900; 12000; 12000; 12000; 7500; 12000; 11400; 9900; 11800; 12000; 12000; 12000; 11600; 7300; 11700; 11800; 9700; 12000; 11800; 11900; 11700; 12000; 12000; 9700; 12000; 12000; 8000; 9500; 11900; 9300; 11700; 9400; 11400; 9100; 11200; 11700; 9400; 11800; 7800; 12000; 9300; 11900; 11800], 138600, 138601, 4.6267125606536865
21, 59, 0.8366784369114879, [10; 2; 97; 14; 1; 22; 87; 92; 34; 32; 84; 64; 58; 25; 0; 55; 69; 91; 17; 99; 12; 6; 53; 63; 43; 72; 76; 39; 86; 27; 38; 77; 74; 45; 15; 94; 70; 54; 16; 96; 28; 5; 48; 71; 44; 73; 36; 93; 21; 90; 80; 42; 8; 11; 3; 88; 19; 9; 13; 98; 40; 78; 95; 24; 20; 62; 51; 52; 61; 75; 37; 59; 56; 85; 26; 33; 31; 83; 81; 30; 79; 41; 49; 65; 4; 23; 82; 35; 29; 66; 47; 18; 89; 60; 57; 67; 46; 50; 68; 7], [[10]; [2]; [97; 14]; [1]; [22; 87]; [92; 34]; [32; 84]; [64; 58]; [25]; [0]; [55; 69]; [91; 17]; [99; 12]; [6]; [53; 63]; [43; 72]; [76; 39]; [86; 27]; [38; 77]; [74; 45]; [15; 94]; [70; 54]; [16; 96]; [28]; [5]; [48; 71]; [44; 73]; [36; 93]; [21; 90]; [80; 42]; [8]; [11]; [3]; [88; 19]; [9]; [13; 98]; [40; 78]; [95; 24]; [20]; [62; 51]; [52; 61]; [75; 37]; [59; 56]; [85; 26]; [33]; [31; 83]; [81; 30]; [79; 41]; [49; 65]; [4]; [23]; [82; 35]; [29]; [66; 47]; [18; 89]; [60; 57]; [67; 46]; [50; 68]; [7]], [9300; 9700; 11900; 9700; 12000; 10700; 11800; 11500; 8000; 9900; 11400; 11700; 12000; 9400; 12000; 12000; 12000; 11700; 12000; 11700; 11900; 11400; 11500; 7800; 9500; 11600; 11800; 10600; 11600; 11500; 9300; 9100; 9700; 12000; 9300; 11900; 11800; 11300; 8200; 12000; 12000; 12000; 11900; 12000; 7300; 11900; 12000; 11700; 11900; 9600; 8100; 11800; 7700; 11900; 11700; 11700; 12000; 11600; 9400], 103950, 103951, 3.4694721698760986
