Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
26, 60, 0.8394953703703706, [98; 17; 24; 90; 41; 29; 86; 28; 91; 82; 36; 47; 73; 46; 72; 13; 23; 95; 43; 64; 55; 30; 85; 37; 79; 26; 94; 78; 44; 48; 71; 9; 0; 18; 33; 84; 50; 67; 8; 15; 16; 88; 32; 5; 22; 93; 2; 66; 53; 14; 81; 34; 70; 52; 39; 76; 38; 75; 89; 27; 51; 65; 99; 19; 7; 58; 59; 25; 92; 83; 35; 74; 45; 57; 61; 63; 60; 3; 4; 62; 56; 54; 68; 10; 12; 97; 20; 42; 77; 69; 49; 1; 6; 11; 31; 87; 40; 80; 21; 96], [[98; 17]; [24; 90]; [41]; [29; 86]; [28; 91]; [82; 36]; [47; 73]; [46; 72]; [13]; [23; 95]; [43]; [64; 55]; [30; 85]; [37; 79]; [26; 94]; [78; 44]; [48; 71]; [9]; [0]; [18]; [33; 84]; [50; 67]; [8]; [15]; [16]; [88; 32]; [5]; [22; 93]; [2]; [66; 53]; [14]; [81; 34]; [70; 52]; [39; 76]; [38; 75]; [89; 27]; [51; 65]; [99; 19]; [7]; [58; 59]; [25; 92]; [83; 35]; [74; 45]; [57; 61]; [63; 60]; [3]; [4]; [62; 56]; [54; 68]; [10]; [12]; [97; 20]; [42; 77]; [69; 49]; [1]; [6]; [11]; [31; 87]; [40; 80]; [21; 96]], [12000; 12000; 7100; 11600; 11700; 11800; 12000; 12000; 9200; 11600; 7000; 11700; 11800; 11800; 11500; 11500; 11900; 9400; 10000; 9000; 12000; 12000; 9400; 9100; 9100; 11500; 9600; 12000; 9800; 11800; 9100; 12000; 11700; 11800; 11900; 11800; 12000; 12000; 9400; 11600; 11900; 11800; 11800; 11700; 11500; 9700; 9600; 11800; 11600; 9300; 9200; 12000; 11600; 11900; 9900; 9500; 9300; 11500; 11500; 11700], 128700, 128701, 5.848921537399292
27, 60, 0.8385324074074076, [9; 1; 69; 48; 81; 35; 17; 99; 90; 24; 42; 74; 4; 16; 6; 40; 88; 18; 21; 94; 30; 85; 7; 63; 55; 98; 19; 61; 56; 65; 53; 44; 82; 49; 71; 15; 33; 84; 25; 68; 51; 26; 97; 36; 78; 5; 76; 37; 67; 50; 23; 91; 20; 96; 3; 31; 86; 70; 60; 79; 34; 32; 87; 10; 89; 29; 72; 46; 13; 27; 92; 0; 41; 75; 12; 43; 2; 14; 8; 52; 66; 45; 83; 38; 80; 58; 57; 39; 77; 62; 59; 47; 73; 95; 28; 22; 93; 11; 64; 54], [[9]; [1]; [69; 48]; [81; 35]; [17; 99]; [90; 24]; [42; 74]; [4]; [16]; [6]; [40; 88]; [18]; [21; 94]; [30; 85]; [7]; [63; 55]; [98; 19]; [61; 56]; [65; 53]; [44; 82]; [49; 71]; [15]; [33; 84]; [25]; [68; 51]; [26; 97]; [36; 78]; [5]; [76; 37]; [67; 50]; [23; 91]; [20; 96]; [3]; [31; 86]; [70; 60]; [79; 34]; [32; 87]; [10]; [89; 29]; [72; 46]; [13]; [27; 92]; [0]; [41; 75]; [12]; [43]; [2]; [14]; [8]; [52; 66]; [45; 83]; [38; 80]; [58; 57]; [39; 77]; [62; 59]; [47; 73]; [95; 28]; [22; 93]; [11]; [64; 54]], [9400; 9900; 12000; 11900; 12000; 12000; 11800; 9600; 9100; 9500; 10900; 9000; 11800; 11800; 9400; 12000; 12000; 11800; 11800; 11300; 11800; 9100; 12000; 8400; 11800; 11400; 12000; 9600; 12000; 12000; 12000; 12000; 9700; 11600; 11000; 12000; 11500; 9300; 11300; 12000; 9200; 11700; 10000; 11700; 9200; 7000; 9800; 9100; 9400; 11900; 11300; 11700; 11800; 11800; 11500; 12000; 11300; 12000; 9300; 11800], 133650, 133651, 4.427086353302002
33, 60, 0.840078703703704, [3; 65; 51; 85; 30; 67; 50; 52; 73; 43; 61; 56; 18; 98; 66; 53; 76; 40; 63; 69; 2; 42; 47; 71; 92; 23; 11; 80; 34; 10; 89; 26; 25; 90; 5; 93; 29; 14; 97; 20; 15; 46; 72; 68; 49; 27; 87; 4; 36; 81; 55; 62; 19; 99; 74; 39; 32; 82; 1; 17; 94; 22; 75; 37; 84; 45; 59; 57; 60; 58; 64; 54; 8; 88; 28; 21; 96; 0; 41; 77; 13; 44; 95; 6; 31; 86; 12; 33; 83; 70; 48; 9; 91; 24; 79; 35; 16; 78; 38; 7], [[3]; [65; 51]; [85; 30]; [67; 50]; [52; 73]; [43]; [61; 56]; [18; 98]; [66; 53]; [76; 40]; [63; 69]; [2]; [42]; [47; 71]; [92; 23]; [11]; [80; 34]; [10]; [89; 26]; [25; 90]; [5]; [93; 29]; [14]; [97; 20]; [15]; [46; 72]; [68; 49]; [27; 87]; [4]; [36; 81]; [55; 62]; [19; 99]; [74; 39]; [32; 82]; [1]; [17]; [94; 22]; [75; 37]; [84; 45]; [59; 57]; [60; 58]; [64; 54]; [8]; [88; 28]; [21; 96]; [0]; [41; 77]; [13]; [44; 95]; [6]; [31; 86]; [12]; [33; 83]; [70; 48]; [9]; [91; 24]; [79; 35]; [16]; [78; 38]; [7]], [9700; 12000; 11800; 12000; 11600; 7000; 11800; 12000; 11800; 11700; 10900; 9800; 7000; 12000; 12000; 9300; 12000; 9300; 11900; 12000; 9600; 11100; 9100; 12000; 9100; 12000; 11900; 12000; 9600; 11900; 12000; 12000; 12000; 12000; 9900; 9000; 11800; 12000; 11300; 11800; 11600; 11800; 9400; 12000; 11700; 10000; 11700; 9200; 10100; 9500; 11600; 9200; 12000; 12000; 9400; 11900; 11900; 9100; 11800; 9400], 163350, 163351, 5.411968469619751
23, 60, 0.8370277777777776, [48; 69; 13; 42; 82; 25; 90; 96; 23; 34; 84; 60; 58; 7; 62; 59; 73; 50; 61; 56; 16; 72; 47; 28; 87; 15; 24; 99; 31; 85; 93; 21; 8; 81; 40; 6; 57; 63; 2; 11; 12; 3; 92; 39; 18; 68; 53; 1; 30; 83; 33; 97; 10; 27; 38; 76; 4; 91; 32; 29; 88; 55; 66; 41; 74; 54; 64; 14; 71; 46; 52; 65; 67; 49; 36; 79; 95; 20; 9; 0; 75; 45; 98; 17; 44; 78; 89; 26; 43; 77; 19; 22; 94; 37; 86; 51; 70; 5; 35; 80], [[48; 69]; [13]; [42; 82]; [25; 90]; [96; 23]; [34; 84]; [60; 58]; [7]; [62; 59]; [73; 50]; [61; 56]; [16]; [72; 47]; [28; 87]; [15]; [24; 99]; [31; 85]; [93; 21]; [8]; [81; 40]; [6]; [57; 63]; [2]; [11]; [12]; [3]; [92; 39]; [18]; [68; 53]; [1]; [30; 83]; [33; 97]; [10]; [27]; [38; 76]; [4]; [91; 32]; [29; 88]; [55; 66]; [41; 74]; [54; 64]; [14]; [71; 46]; [52; 65]; [67; 49]; [36; 79]; [95; 20]; [9]; [0]; [75; 45]; [98; 17]; [44; 78]; [89; 26]; [43; 77]; [19]; [22; 94]; [37; 86]; [51; 70]; [5]; [35; 80]], [12000; 9200; 11300; 12000; 11600; 11900; 11600; 9400; 11500; 11800; 11800; 9100; 12000; 12000; 9100; 11400; 11800; 12000; 9400; 11500; 9500; 11700; 9800; 9300; 9200; 9700; 10700; 9000; 11600; 9900; 12000; 10800; 9300; 8200; 11900; 9600; 11200; 11500; 11700; 11900; 11800; 9100; 12000; 11900; 12000; 11900; 12000; 9400; 10000; 11600; 12000; 11500; 11900; 11600; 9000; 11800; 11300; 11800; 9600; 11900], 113850, 113851, 3.8327627182006836
30, 60, 0.8394351851851851, [2; 34; 81; 75; 38; 23; 94; 3; 12; 8; 43; 79; 7; 92; 32; 73; 47; 93; 22; 72; 46; 87; 40; 5; 57; 63; 67; 52; 71; 48; 44; 74; 14; 28; 91; 17; 89; 24; 26; 97; 41; 39; 51; 68; 6; 61; 56; 82; 31; 21; 95; 15; 36; 83; 16; 55; 62; 4; 64; 54; 29; 85; 9; 49; 69; 11; 33; 86; 99; 19; 0; 80; 35; 27; 88; 10; 77; 45; 60; 58; 30; 84; 50; 70; 42; 76; 78; 37; 98; 18; 53; 65; 1; 20; 96; 13; 59; 66; 90; 25], [[2]; [34; 81]; [75; 38]; [23; 94]; [3]; [12]; [8]; [43; 79]; [7]; [92; 32]; [73; 47]; [93; 22]; [72; 46]; [87; 40]; [5]; [57; 63]; [67; 52]; [71; 48]; [44; 74]; [14]; [28; 91]; [17]; [89; 24]; [26; 97]; [41]; [39]; [51; 68]; [6]; [61; 56]; [82; 31]; [21; 95]; [15]; [36; 83]; [16]; [55; 62]; [4]; [64; 54]; [29; 85]; [9]; [49; 69]; [11]; [33; 86]; [99; 19]; [0]; [80; 35]; [27; 88]; [10]; [77; 45]; [60; 58]; [30; 84]; [50; 70]; [42; 76]; [78; 37]; [98; 18]; [53; 65]; [1]; [20; 96]; [13]; [59; 66]; [90; 25]], [9800; 12000; 11900; 11700; 9700; 9200; 9400; 11400; 9400; 11200; 12000; 12000; 12000; 10900; 9600; 11700; 11800; 11900; 11800; 9100; 11700; 9000; 12000; 11400; 7100; 7200; 11800; 9500; 11800; 12000; 11700; 9100; 11800; 9100; 12000; 9600; 11800; 11800; 9400; 11900; 9300; 11600; 12000; 10000; 11900; 12000; 9300; 11600; 11600; 12000; 11900; 11600; 11900; 12000; 11800; 9900; 12000; 9200; 11200; 12000], 148500, 148501, 4.957179307937622
23, 60, 0.8367384259259262, [46; 72; 36; 85; 23; 97; 65; 53; 35; 80; 42; 78; 4; 7; 34; 81; 1; 0; 39; 76; 14; 99; 17; 91; 27; 88; 29; 60; 57; 41; 74; 10; 48; 70; 58; 62; 77; 44; 24; 93; 96; 26; 16; 11; 12; 87; 31; 51; 69; 84; 45; 40; 86; 8; 18; 98; 61; 56; 38; 79; 43; 89; 94; 28; 9; 22; 13; 32; 83; 75; 37; 5; 67; 54; 52; 66; 30; 82; 2; 92; 25; 20; 21; 95; 59; 63; 73; 50; 15; 68; 49; 19; 47; 71; 6; 3; 33; 90; 55; 64], [[46; 72]; [36; 85]; [23; 97]; [65; 53]; [35; 80]; [42; 78]; [4]; [7]; [34; 81]; [1]; [0]; [39; 76]; [14]; [99; 17]; [91; 27]; [88; 29]; [60; 57]; [41; 74]; [10]; [48; 70]; [58; 62]; [77; 44]; [24; 93]; [96; 26]; [16]; [11]; [12]; [87; 31]; [51; 69]; [84; 45]; [40; 86]; [8]; [18; 98]; [61; 56]; [38; 79]; [43; 89]; [94; 28]; [9]; [22]; [13]; [32; 83]; [75; 37]; [5]; [67; 54]; [52; 66]; [30; 82]; [2]; [92; 25]; [20]; [21; 95]; [59; 63]; [73; 50]; [15]; [68; 49]; [19]; [47; 71]; [6]; [3]; [33; 90]; [55; 64]], [12000; 11600; 11600; 11800; 11900; 11500; 9600; 9400; 12000; 9900; 10000; 11800; 9100; 12000; 11700; 11500; 11800; 11900; 9300; 12000; 11500; 11600; 11800; 11400; 9100; 9300; 9200; 11500; 11800; 11300; 11000; 9400; 12000; 11800; 11700; 10600; 11400; 9400; 8600; 9200; 12000; 12000; 9600; 11700; 11900; 12000; 9800; 11900; 8900; 11700; 11500; 11800; 9100; 11900; 9000; 12000; 9500; 9700; 11300; 11700], 113850, 113851, 3.801205635070801
28, 60, 0.8389722222222225, [22; 96; 20; 95; 12; 48; 71; 54; 69; 1; 74; 43; 66; 51; 10; 52; 64; 11; 80; 36; 34; 93; 15; 28; 89; 9; 49; 67; 3; 92; 23; 18; 2; 63; 62; 30; 84; 8; 53; 65; 16; 90; 24; 70; 59; 0; 27; 88; 13; 61; 55; 14; 38; 47; 72; 78; 37; 35; 5; 29; 87; 31; 83; 32; 82; 6; 91; 25; 57; 58; 75; 44; 33; 86; 94; 26; 60; 56; 85; 45; 46; 73; 7; 42; 79; 97; 21; 17; 99; 4; 19; 98; 40; 81; 77; 39; 76; 41; 50; 68], [[22; 96]; [20; 95]; [12]; [48; 71]; [54; 69]; [1]; [74; 43]; [66; 51]; [10]; [52; 64]; [11]; [80; 36]; [34; 93]; [15]; [28; 89]; [9]; [49; 67]; [3]; [92; 23]; [18]; [2]; [63; 62]; [30; 84]; [8]; [53; 65]; [16]; [90; 24]; [70; 59]; [0]; [27; 88]; [13]; [61; 55]; [14]; [38]; [47; 72]; [78; 37]; [35]; [5]; [29; 87]; [31; 83]; [32; 82]; [6]; [91; 25]; [57; 58]; [75; 44]; [33; 86]; [94; 26]; [60; 56]; [85; 45]; [46; 73]; [7]; [42; 79]; [97; 21]; [17; 99]; [4]; [19; 98]; [40; 81]; [77; 39]; [76; 41]; [50; 68]], [11700; 12000; 9200; 11900; 11600; 9900; 11800; 12000; 9300; 11900; 9300; 11900; 11000; 9100; 11800; 9400; 12000; 9700; 12000; 9000; 9800; 11400; 12000; 9400; 11800; 9100; 12000; 11000; 10000; 12000; 9200; 12000; 9100; 7300; 12000; 11900; 7500; 9600; 11500; 12000; 12000; 9500; 11900; 11800; 11600; 11600; 11500; 11900; 11100; 12000; 9400; 11400; 11700; 12000; 9600; 12000; 11500; 11800; 11700; 11900], 138600, 138601, 4.612437963485718
27, 60, 0.8396527777777778, [44; 15; 39; 74; 52; 64; 71; 47; 16; 32; 86; 17; 99; 31; 82; 36; 81; 0; 1; 29; 83; 11; 12; 7; 62; 57; 18; 30; 90; 66; 54; 14; 75; 41; 9; 20; 96; 19; 98; 2; 5; 88; 28; 69; 51; 55; 65; 60; 59; 45; 76; 22; 95; 78; 37; 42; 26; 93; 43; 85; 77; 40; 10; 84; 35; 70; 49; 56; 63; 58; 61; 46; 73; 25; 91; 80; 38; 6; 50; 68; 94; 21; 4; 27; 92; 8; 48; 72; 89; 24; 33; 87; 53; 67; 79; 34; 97; 23; 3; 13], [[44]; [15]; [39; 74]; [52; 64]; [71; 47]; [16]; [32; 86]; [17; 99]; [31; 82]; [36; 81]; [0]; [1]; [29; 83]; [11]; [12]; [7]; [62; 57]; [18]; [30; 90]; [66; 54]; [14]; [75; 41]; [9]; [20; 96]; [19; 98]; [2]; [5]; [88; 28]; [69; 51]; [55; 65]; [60; 59]; [45; 76]; [22; 95]; [78; 37]; [42]; [26; 93]; [43; 85]; [77; 40]; [10]; [84; 35]; [70; 49]; [56; 63]; [58; 61]; [46; 73]; [25; 91]; [80; 38]; [6]; [50; 68]; [94; 21]; [4]; [27; 92]; [8]; [48; 72]; [89; 24]; [33; 87]; [53; 67]; [79; 34]; [97; 23]; [3]; [13]], [7000; 9100; 12000; 11900; 12000; 9100; 11600; 12000; 12000; 11900; 10000; 9900; 12000; 9300; 9200; 9400; 11700; 9000; 11300; 11800; 9100; 11700; 9400; 12000; 12000; 9800; 9600; 12000; 11800; 11700; 11600; 11600; 11700; 11900; 7000; 11700; 11100; 11700; 9300; 11800; 11900; 11800; 11500; 12000; 11900; 11700; 9500; 11900; 11800; 9600; 11700; 9400; 11900; 12000; 11500; 11700; 12000; 11600; 9700; 9200], 133650, 133651, 4.4501001834869385
39, 61, 0.8194922586520949, [37; 76; 23; 92; 24; 89; 4; 83; 31; 9; 3; 99; 17; 97; 87; 73; 88; 27; 20; 95; 91; 26; 0; 15; 57; 59; 22; 94; 1; 86; 33; 96; 28; 7; 61; 55; 41; 77; 70; 50; 51; 65; 62; 2; 45; 38; 75; 11; 56; 60; 29; 82; 69; 48; 43; 68; 54; 21; 93; 6; 19; 16; 10; 32; 84; 44; 52; 66; 78; 35; 13; 18; 98; 14; 25; 90; 53; 64; 80; 40; 46; 72; 71; 47; 12; 8; 49; 67; 85; 30; 58; 63; 81; 34; 39; 74; 5; 36; 79; 42], [[37; 76]; [23; 92]; [24; 89]; [4]; [83; 31]; [9]; [3]; [99; 17]; [97; 87; 73]; [88; 27]; [20; 95]; [91; 26]; [0]; [15]; [57; 59]; [22; 94]; [1]; [86; 33]; [96; 28]; [7]; [61; 55]; [41; 77]; [70; 50]; [51; 65]; [62]; [2]; [45]; [38; 75]; [11]; [56; 60]; [29; 82]; [69; 48]; [43]; [68; 54]; [21; 93]; [6]; [19]; [16]; [10]; [32; 84]; [44]; [52; 66]; [78; 35]; [13]; [18; 98]; [14]; [25; 90]; [53; 64]; [80; 40]; [46; 72]; [71; 47]; [12]; [8]; [49; 67]; [85; 30]; [58; 63]; [81; 34]; [39; 74]; [5]; [36; 79]; [42]], [12000; 12000; 12000; 9600; 12000; 9400; 9700; 12000; 12000; 12000; 12000; 11800; 10000; 9100; 11800; 11800; 9900; 11600; 11300; 9400; 12000; 11700; 11900; 12000; 5700; 9800; 7000; 11900; 9300; 11900; 12000; 12000; 7000; 11600; 12000; 9500; 9000; 9100; 9300; 12000; 7000; 11900; 12000; 9200; 12000; 9100; 12000; 11800; 11500; 12000; 12000; 9200; 9400; 12000; 11800; 11500; 12000; 12000; 9600; 11900; 7000], 198000, 198001, 6.530191421508789
42, 61, 0.8203506375227689, [28; 87; 83; 30; 15; 21; 93; 18; 98; 31; 85; 58; 56; 71; 47; 73; 46; 5; 43; 33; 86; 41; 75; 44; 6; 65; 52; 3; 8; 14; 22; 94; 27; 88; 17; 23; 92; 24; 89; 69; 48; 97; 95; 60; 0; 29; 82; 37; 77; 51; 64; 39; 74; 76; 38; 62; 61; 57; 59; 42; 20; 96; 66; 54; 35; 79; 40; 80; 45; 68; 53; 16; 13; 70; 49; 4; 72; 9; 84; 32; 78; 36; 12; 99; 19; 1; 2; 10; 11; 90; 25; 81; 34; 67; 50; 7; 63; 55; 26; 91], [[28; 87]; [83; 30]; [15]; [21; 93]; [18; 98]; [31; 85]; [58; 56]; [71; 47]; [73; 46]; [5]; [43]; [33; 86]; [41; 75]; [44]; [6]; [65; 52]; [3]; [8]; [14]; [22; 94]; [27; 88]; [17]; [23; 92]; [24; 89]; [69; 48]; [97; 95; 60]; [0]; [29; 82]; [37; 77]; [51; 64]; [39; 74]; [76; 38]; [62; 61]; [57; 59]; [42]; [20; 96]; [66; 54]; [35; 79]; [40; 80]; [45]; [68; 53]; [16]; [13]; [70; 49]; [4]; [72]; [9]; [84; 32]; [78; 36]; [12]; [99; 19]; [1]; [2]; [10]; [11]; [90; 25]; [81; 34]; [67; 50]; [7]; [63; 55]; [26; 91]], [12000; 12000; 9100; 12000; 12000; 11800; 11900; 12000; 12000; 9600; 7000; 11600; 11700; 7000; 9500; 11900; 9700; 9400; 9100; 11800; 12000; 9000; 12000; 12000; 12000; 12000; 10000; 12000; 12000; 12000; 12000; 11900; 11400; 11800; 7000; 12000; 11800; 11900; 11500; 7000; 11600; 9100; 9200; 11900; 9600; 5100; 9400; 12000; 12000; 9200; 12000; 9900; 9800; 9300; 9300; 12000; 12000; 12000; 9400; 12000; 11800], 212850, 212851, 6.936964988708496
