Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
13, 34, 0.9594509803921568, [30; 16; 97; 76; 14; 74; 29; 69; 94; 59; 6; 45; 83; 93; 22; 61; 15; 32; 55; 1; 36; 12; 68; 75; 8; 35; 11; 87; 65; 13; 89; 40; 62; 96; 60; 0; 70; 54; 92; 20; 84; 63; 56; 31; 90; 58; 2; 43; 18; 88; 80; 42; 25; 28; 52; 72; 38; 47; 66; 73; 37; 98; 64; 78; 5; 41; 79; 53; 21; 24; 77; 46; 91; 9; 85; 67; 33; 86; 23; 49; 10; 99; 26; 27; 4; 44; 3; 95; 57; 19; 82; 50; 81; 71; 51; 48; 34; 17; 7; 39], [[30; 16]; [97; 76; 14; 74]; [29; 69; 94; 59]; [6; 45]; [83; 93; 22; 61]; [15; 32]; [55; 1]; [36; 12]; [68; 75; 8]; [35; 11]; [87; 65; 13; 89]; [40; 62; 96; 60]; [0; 70]; [54; 92; 20; 84]; [63; 56; 31]; [90; 58; 2]; [43; 18; 88]; [80; 42; 25]; [28; 52; 72]; [38; 47; 66]; [73; 37; 98; 64; 78]; [5; 41]; [79; 53; 21]; [24; 77; 46]; [91; 9; 85; 67]; [33; 86; 23]; [49; 10; 99]; [26; 27]; [4; 44]; [3; 95; 57]; [19; 82; 50]; [81; 71; 51; 48]; [34; 17]; [7; 39]], [14900; 14000; 15000; 14500; 14300; 14900; 14600; 14700; 15000; 15000; 14500; 14700; 13300; 14900; 14900; 15000; 14800; 14700; 14600; 14500; 14800; 15000; 14900; 15000; 14900; 15000; 14200; 14000; 14700; 14800; 14800; 15000; 14700; 14800], 64350, 64351, 3.3739993572235107
19, 34, 0.9591450980392155, [52; 3; 95; 63; 1; 13; 53; 89; 35; 99; 15; 4; 47; 50; 0; 14; 30; 28; 24; 23; 66; 94; 75; 64; 85; 2; 76; 21; 57; 42; 10; 90; 79; 25; 58; 37; 73; 33; 77; 65; 60; 70; 83; 84; 78; 39; 43; 87; 38; 22; 45; 68; 41; 62; 7; 98; 86; 29; 20; 12; 36; 48; 26; 74; 31; 49; 67; 91; 40; 81; 27; 92; 6; 54; 19; 80; 59; 9; 51; 56; 11; 88; 44; 32; 71; 17; 34; 69; 18; 72; 55; 5; 96; 46; 93; 16; 97; 61; 8; 82], [[52; 3]; [95; 63; 1]; [13; 53; 89]; [35; 99; 15]; [4; 47]; [50; 0]; [14; 30]; [28; 24]; [23; 66; 94; 75]; [64; 85; 2]; [76; 21; 57]; [42; 10]; [90; 79; 25; 58]; [37; 73; 33]; [77; 65; 60; 70; 83]; [84; 78; 39; 43]; [87; 38; 22]; [45; 68; 41]; [62; 7; 98; 86]; [29; 20]; [12; 36]; [48; 26; 74]; [31; 49; 67]; [91; 40; 81; 27]; [92; 6; 54]; [19; 80; 59]; [9; 51]; [56; 11; 88]; [44; 32; 71]; [17; 34]; [69; 18; 72]; [55; 5; 96]; [46; 93; 16; 97]; [61; 8; 82]], [14500; 14600; 14500; 14800; 14500; 14900; 15000; 14100; 14400; 14700; 14900; 14500; 14700; 14900; 15000; 14400; 14700; 14300; 14900; 14500; 14700; 14800; 14900; 15000; 14800; 14600; 14000; 14600; 14900; 14700; 14800; 14800; 15000; 15000], 94050, 94051, 2.579251289367676
25, 34, 0.9593176470588237, [34; 79; 38; 55; 10; 73; 20; 63; 94; 96; 67; 64; 36; 22; 26; 92; 40; 17; 56; 27; 98; 81; 88; 97; 35; 13; 23; 25; 71; 83; 85; 65; 49; 30; 19; 86; 14; 48; 57; 53; 43; 77; 90; 89; 42; 52; 75; 66; 11; 51; 0; 33; 15; 70; 78; 5; 3; 58; 12; 37; 46; 91; 24; 87; 76; 69; 7; 6; 44; 41; 8; 80; 59; 99; 18; 2; 60; 61; 74; 21; 4; 62; 84; 47; 9; 93; 1; 54; 50; 39; 68; 95; 32; 82; 29; 31; 16; 28; 45; 72], [[34; 79; 38]; [55; 10]; [73; 20; 63]; [94; 96; 67; 64; 36]; [22; 26]; [92; 40; 17]; [56; 27; 98; 81; 88; 97]; [35; 13]; [23; 25]; [71; 83; 85; 65; 49]; [30; 19]; [86; 14; 48]; [57; 53; 43]; [77; 90; 89; 42; 52]; [75; 66; 11]; [51; 0]; [33; 15]; [70; 78; 5]; [3; 58]; [12; 37]; [46; 91; 24; 87]; [76; 69; 7]; [6; 44]; [41; 8]; [80; 59; 99; 18]; [2; 60]; [61; 74; 21]; [4; 62; 84]; [47; 9; 93]; [1; 54]; [50; 39; 68; 95]; [32; 82; 29]; [31; 16]; [28; 45; 72]], [14100; 13800; 14900; 14800; 15000; 15000; 15000; 14700; 14900; 14800; 14700; 14900; 14700; 14700; 14900; 14900; 14800; 14800; 13900; 14500; 14700; 15000; 14500; 14800; 14700; 13900; 14700; 14900; 15000; 14600; 14600; 14400; 14800; 15000], 123750, 123751, 3.4695303440093994
21, 34, 0.9593150326797383, [5; 50; 20; 47; 84; 99; 98; 7; 40; 6; 54; 37; 8; 19; 86; 53; 41; 4; 51; 11; 58; 55; 80; 94; 73; 59; 45; 42; 70; 75; 15; 21; 28; 89; 29; 92; 31; 97; 83; 13; 60; 17; 93; 39; 10; 79; 64; 0; 52; 2; 85; 65; 26; 22; 12; 35; 36; 14; 16; 34; 71; 27; 56; 3; 44; 95; 1; 67; 77; 33; 76; 63; 88; 9; 62; 69; 30; 48; 61; 49; 68; 82; 87; 32; 24; 25; 23; 66; 90; 18; 78; 46; 57; 91; 81; 74; 43; 72; 38; 96], [[5; 50]; [20; 47; 84; 99; 98]; [7; 40]; [6; 54]; [37; 8]; [19; 86; 53]; [41; 4]; [51; 11]; [58; 55; 80; 94; 73]; [59; 45; 42]; [70; 75; 15]; [21; 28]; [89; 29; 92; 31]; [97; 83; 13; 60]; [17; 93; 39]; [10; 79; 64]; [0; 52]; [2; 85; 65]; [26; 22]; [12; 35]; [36; 14]; [16; 34]; [71; 27; 56]; [3; 44]; [95; 1; 67]; [77; 33; 76; 63]; [88; 9; 62]; [69; 30; 48]; [61; 49; 68; 82]; [87; 32; 24]; [25; 23]; [66; 90; 18; 78]; [46; 57; 91; 81; 74]; [43; 72; 38; 96]], [14300; 14800; 14800; 13900; 15000; 14300; 15000; 13800; 14700; 15000; 14300; 14600; 14800; 14800; 14900; 14900; 14900; 14700; 15000; 14800; 14600; 14700; 14700; 14900; 14200; 14900; 14400; 14900; 14200; 14900; 14900; 15000; 14800; 15000], 103950, 103951, 2.9274086952209473
17, 34, 0.9593228758169934, [66; 67; 99; 37; 97; 40; 11; 5; 47; 96; 38; 17; 33; 56; 83; 87; 85; 29; 19; 16; 32; 20; 78; 55; 57; 45; 53; 42; 3; 35; 92; 23; 59; 76; 60; 77; 81; 94; 1; 62; 63; 73; 21; 58; 2; 4; 50; 72; 70; 14; 12; 34; 39; 6; 18; 28; 52; 9; 84; 82; 74; 25; 89; 86; 0; 68; 90; 15; 36; 80; 46; 24; 44; 31; 71; 75; 41; 27; 10; 43; 91; 49; 64; 48; 22; 26; 88; 51; 65; 95; 61; 54; 93; 7; 13; 30; 69; 8; 79; 98], [[66; 67; 99; 37; 97]; [40; 11]; [5; 47]; [96; 38; 17]; [33; 56; 83; 87; 85]; [29; 19]; [16; 32]; [20; 78; 55]; [57; 45; 53]; [42; 3]; [35; 92; 23]; [59; 76; 60; 77; 81]; [94; 1; 62]; [63; 73; 21]; [58; 2]; [4; 50]; [72; 70; 14]; [12; 34]; [39; 6]; [18; 28]; [52; 9]; [84; 82; 74; 25; 89; 86]; [0; 68; 90]; [15; 36]; [80; 46; 24]; [44; 31; 71]; [75; 41; 27]; [10; 43]; [91; 49; 64; 48]; [22; 26]; [88; 51; 65; 95; 61]; [54; 93; 7]; [13; 30]; [69; 8; 79; 98]], [13600; 14500; 14500; 15000; 14700; 14800; 14800; 14800; 14600; 15000; 14600; 14900; 14900; 14900; 14000; 14300; 15000; 14900; 14800; 14900; 14000; 15000; 14400; 14600; 14700; 14900; 14800; 14500; 14700; 15000; 14600; 14700; 15000; 15000], 84150, 84151, 2.34698224067688
19, 34, 0.959095424836601, [71; 60; 90; 81; 88; 64; 63; 35; 83; 80; 95; 92; 57; 5; 7; 42; 51; 4; 13; 33; 97; 49; 11; 56; 10; 93; 67; 96; 37; 55; 14; 36; 52; 58; 43; 99; 22; 27; 12; 34; 75; 61; 69; 87; 85; 78; 6; 41; 28; 20; 91; 45; 19; 0; 53; 8; 38; 77; 46; 74; 54; 68; 70; 72; 48; 26; 24; 29; 21; 65; 1; 86; 31; 15; 40; 17; 94; 3; 59; 98; 76; 73; 2; 66; 47; 50; 84; 9; 39; 44; 82; 25; 16; 30; 32; 18; 89; 62; 23; 79], [[71; 60; 90; 81; 88; 64]; [63; 35; 83; 80; 95]; [92; 57; 5]; [7; 42]; [51; 4]; [13; 33]; [97; 49; 11]; [56; 10; 93]; [67; 96; 37; 55]; [14; 36]; [52; 58; 43; 99]; [22; 27]; [12; 34]; [75; 61; 69; 87; 85; 78]; [6; 41]; [28; 20]; [91; 45; 19]; [0; 53]; [8; 38]; [77; 46; 74; 54]; [68; 70; 72; 48]; [26; 24]; [29; 21]; [65; 1; 86]; [31; 15]; [40; 17; 94]; [3; 59; 98]; [76; 73; 2]; [66; 47; 50; 84]; [9; 39]; [44; 82; 25]; [16; 30]; [32; 18]; [89; 62; 23; 79]], [15000; 14300; 14800; 14600; 14300; 14800; 14400; 14500; 14800; 14600; 14700; 14600; 14900; 14500; 14800; 14600; 14500; 14800; 15000; 14700; 14900; 14700; 14500; 14800; 14900; 14900; 14200; 15000; 14900; 14700; 14200; 14900; 14600; 15000], 94050, 94051, 2.640294313430786
19, 34, 0.9599084967320257, [29; 17; 49; 2; 85; 22; 46; 84; 65; 0; 51; 1; 71; 3; 80; 60; 58; 39; 52; 98; 8; 70; 43; 32; 26; 23; 59; 50; 79; 66; 31; 12; 18; 96; 36; 78; 44; 35; 88; 90; 24; 93; 40; 81; 53; 61; 76; 83; 45; 99; 5; 20; 33; 94; 14; 77; 63; 4; 62; 86; 69; 9; 13; 91; 42; 16; 95; 37; 82; 48; 21; 57; 7; 10; 47; 87; 6; 54; 19; 97; 34; 55; 25; 73; 15; 30; 75; 67; 72; 38; 11; 41; 68; 27; 56; 64; 89; 28; 74; 92], [[29; 17]; [49; 2]; [85; 22; 46]; [84; 65; 0]; [51; 1]; [71; 3; 80]; [60; 58; 39]; [52; 98; 8]; [70; 43; 32]; [26; 23]; [59; 50; 79; 66]; [31; 12]; [18; 96; 36]; [78; 44; 35; 88]; [90; 24; 93; 40]; [81; 53; 61; 76; 83]; [45; 99; 5]; [20; 33; 94]; [14; 77; 63]; [4; 62; 86]; [69; 9]; [13; 91; 42]; [16; 95; 37]; [82; 48; 21]; [57; 7]; [10; 47]; [87; 6; 54]; [19; 97; 34]; [55; 25; 73]; [15; 30]; [75; 67; 72; 38]; [11; 41]; [68; 27; 56]; [64; 89; 28; 74; 92]], [15000; 14700; 14300; 15000; 14800; 14900; 14100; 14400; 15000; 14800; 14900; 15000; 15000; 14600; 14900; 14600; 14800; 15000; 14900; 14800; 12500; 14900; 15000; 14700; 13700; 14200; 15000; 15000; 14900; 15000; 14900; 14500; 14800; 14800], 94050, 94051, 2.5694692134857178
35, 34, 0.962060130718954, [36; 79; 34; 95; 59; 89; 4; 88; 19; 40; 17; 30; 87; 61; 97; 7; 44; 2; 58; 84; 10; 69; 45; 33; 1; 52; 28; 18; 51; 0; 63; 62; 27; 64; 75; 66; 73; 76; 56; 83; 22; 90; 71; 16; 53; 49; 54; 48; 74; 70; 3; 46; 5; 39; 26; 77; 42; 72; 23; 91; 68; 13; 31; 29; 80; 35; 98; 12; 81; 57; 78; 99; 55; 20; 32; 15; 38; 6; 47; 93; 11; 21; 82; 43; 50; 8; 96; 24; 65; 67; 60; 85; 94; 14; 9; 37; 92; 86; 25; 41], [[36; 79; 34; 95]; [59; 89; 4]; [88; 19; 40]; [17; 30]; [87; 61; 97; 7]; [44; 2]; [58; 84; 10]; [69; 45; 33]; [1; 52]; [28; 18]; [51; 0]; [63; 62; 27]; [64; 75; 66; 73; 76]; [56; 83; 22; 90]; [71; 16]; [53; 49; 54]; [48; 74; 70]; [3; 46]; [5; 39]; [26; 77; 42]; [72; 23; 91; 68]; [13; 31]; [29; 80; 35; 98]; [12; 81; 57]; [78; 99; 55; 20]; [32; 15]; [38; 6]; [47; 93; 11]; [21; 82; 43]; [50; 8; 96]; [24; 65; 67]; [60; 85; 94; 14]; [9; 37]; [92; 86; 25; 41]], [15000; 14800; 15000; 14900; 15000; 15000; 14700; 14900; 14800; 14900; 14900; 15000; 15000; 14900; 11800; 14500; 10900; 14800; 15000; 14900; 15000; 14900; 14900; 14900; 14900; 14900; 15000; 14800; 15000; 14800; 14800; 14900; 14900; 15000], 173250, 173251, 4.817805290222168
16, 34, 0.9592653594771242, [8; 99; 74; 76; 13; 33; 87; 42; 20; 14; 32; 26; 34; 96; 70; 11; 77; 1; 63; 7; 37; 5; 41; 12; 45; 50; 10; 92; 80; 48; 23; 4; 95; 53; 56; 88; 79; 27; 9; 38; 52; 0; 3; 90; 62; 65; 68; 31; 85; 57; 40; 98; 60; 39; 94; 66; 58; 35; 19; 6; 54; 89; 36; 15; 2; 83; 67; 17; 29; 69; 25; 59; 93; 28; 30; 86; 44; 43; 64; 24; 75; 51; 91; 73; 72; 55; 71; 81; 47; 21; 18; 84; 46; 22; 78; 49; 61; 82; 16; 97], [[8; 99; 74; 76]; [13; 33]; [87; 42; 20]; [14; 32]; [26; 34; 96]; [70; 11; 77]; [1; 63]; [7; 37]; [5; 41]; [12; 45]; [50; 10; 92]; [80; 48; 23]; [4; 95; 53]; [56; 88; 79; 27]; [9; 38]; [52; 0]; [3; 90; 62]; [65; 68; 31; 85]; [57; 40; 98; 60]; [39; 94; 66; 58]; [35; 19]; [6; 54; 89]; [36; 15]; [2; 83; 67]; [17; 29]; [69; 25; 59]; [93; 28; 30; 86]; [44; 43; 64]; [24; 75; 51]; [91; 73; 72; 55; 71]; [81; 47; 21]; [18; 84; 46]; [22; 78; 49]; [61; 82; 16; 97]], [14200; 14800; 14500; 14900; 14100; 14500; 13900; 15000; 15000; 14000; 14900; 14700; 14900; 14600; 14900; 14900; 14800; 14700; 14600; 14300; 14400; 15000; 14600; 14800; 15000; 15000; 15000; 14400; 14800; 14900; 14800; 14800; 14900; 14800], 79200, 79201, 2.2429568767547607
19, 34, 0.9593464052287581, [82; 22; 46; 21; 27; 74; 12; 66; 47; 67; 34; 0; 54; 35; 18; 61; 23; 95; 76; 39; 4; 26; 71; 57; 77; 5; 70; 28; 91; 63; 72; 84; 14; 62; 10; 68; 78; 2; 60; 33; 64; 58; 36; 83; 24; 69; 15; 73; 51; 55; 42; 90; 11; 52; 93; 50; 92; 89; 25; 3; 44; 88; 96; 86; 41; 80; 87; 81; 85; 16; 31; 6; 48; 43; 32; 75; 9; 38; 8; 40; 53; 94; 13; 37; 17; 1; 59; 45; 99; 56; 49; 65; 79; 7; 30; 19; 98; 29; 97; 20], [[82; 22; 46]; [21; 27]; [74; 12; 66]; [47; 67; 34]; [0; 54]; [35; 18]; [61; 23; 95; 76]; [39; 4]; [26; 71; 57]; [77; 5; 70]; [28; 91; 63; 72]; [84; 14; 62]; [10; 68; 78]; [2; 60]; [33; 64; 58]; [36; 83; 24]; [69; 15; 73]; [51; 55; 42]; [90; 11; 52]; [93; 50; 92; 89; 25]; [3; 44]; [88; 96; 86; 41; 80; 87; 81; 85]; [16; 31]; [6; 48]; [43; 32; 75]; [9; 38]; [8; 40]; [53; 94; 13]; [37; 17]; [1; 59]; [45; 99; 56; 49]; [65; 79; 7]; [30; 19; 98]; [29; 97; 20]], [14600; 14800; 14800; 14900; 14700; 14400; 14900; 15000; 15000; 15000; 14600; 14100; 14600; 13900; 14200; 15000; 14900; 15000; 14800; 15000; 14900; 14700; 14800; 14300; 14100; 14900; 14800; 14200; 14300; 14200; 15000; 15000; 15000; 15000], 94050, 94051, 2.677517890930176
24, 34, 0.96000522875817, [92; 90; 10; 63; 70; 73; 67; 49; 61; 87; 8; 42; 84; 71; 50; 59; 69; 25; 31; 15; 97; 54; 2; 80; 89; 82; 3; 28; 62; 79; 94; 93; 41; 5; 16; 29; 1; 47; 85; 40; 20; 57; 46; 51; 68; 9; 74; 35; 27; 23; 66; 83; 0; 53; 14; 44; 91; 21; 48; 88; 95; 98; 17; 36; 37; 22; 86; 78; 58; 18; 32; 30; 77; 34; 12; 4; 43; 96; 64; 38; 56; 99; 7; 45; 33; 19; 26; 24; 11; 65; 75; 6; 39; 13; 81; 55; 72; 52; 60; 76], [[92; 90; 10; 63]; [70; 73; 67; 49]; [61; 87; 8]; [42; 84; 71; 50]; [59; 69; 25]; [31; 15]; [97; 54; 2]; [80; 89; 82; 3]; [28; 62; 79; 94; 93]; [41; 5]; [16; 29]; [1; 47]; [85; 40; 20]; [57; 46; 51]; [68; 9; 74]; [35; 27]; [23; 66; 83]; [0; 53]; [14; 44; 91]; [21; 48; 88; 95]; [98; 17; 36]; [37; 22; 86]; [78; 58; 18]; [32; 30; 77]; [34; 12]; [4; 43]; [96; 64; 38; 56; 99]; [7; 45]; [33; 19]; [26; 24]; [11; 65; 75]; [6; 39]; [13; 81; 55]; [72; 52; 60; 76]], [15000; 14800; 14500; 14900; 15000; 14900; 14900; 14300; 14500; 15000; 15000; 15000; 14900; 14600; 15000; 12900; 12700; 14800; 14800; 14900; 14800; 14800; 14700; 15000; 14900; 14800; 14900; 14500; 14500; 14700; 15000; 14800; 15000; 14600], 118800, 118801, 3.332148313522339
21, 34, 0.9597751633986926, [42; 3; 25; 24; 18; 54; 12; 33; 17; 37; 68; 48; 30; 50; 8; 32; 13; 52; 41; 58; 44; 89; 14; 16; 29; 51; 0; 91; 2; 59; 57; 11; 40; 9; 47; 7; 92; 39; 21; 75; 38; 28; 1; 94; 80; 77; 98; 36; 19; 74; 72; 5; 46; 15; 87; 76; 66; 63; 81; 70; 27; 22; 35; 23; 84; 6; 83; 90; 71; 86; 62; 49; 60; 34; 56; 69; 93; 82; 10; 85; 73; 55; 4; 88; 67; 31; 65; 53; 20; 78; 45; 61; 43; 79; 26; 96; 95; 64; 99; 97], [[42; 3]; [25; 24]; [18; 54]; [12; 33]; [17; 37]; [68; 48; 30]; [50; 8]; [32; 13]; [52; 41; 58]; [44; 89; 14]; [16; 29]; [51; 0]; [91; 2; 59]; [57; 11]; [40; 9]; [47; 7]; [92; 39; 21]; [75; 38; 28]; [1; 94; 80; 77]; [98; 36; 19]; [74; 72; 5]; [46; 15; 87]; [76; 66; 63; 81; 70]; [27; 22]; [35; 23; 84]; [6; 83; 90; 71]; [86; 62; 49; 60]; [34; 56; 69; 93]; [82; 10; 85; 73]; [55; 4]; [88; 67; 31; 65]; [53; 20; 78]; [45; 61; 43]; [79; 26; 96; 95; 64; 99; 97]], [15000; 14800; 13000; 14900; 14300; 14900; 14100; 14900; 14800; 15000; 15000; 14900; 14900; 13400; 14700; 14300; 14500; 14800; 15000; 14600; 15000; 14900; 15000; 14600; 15000; 15000; 14600; 15000; 14900; 14100; 14700; 14900; 14900; 15000], 103950, 103951, 2.8973915576934814
