Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
12, 31, 0.9424630824372762, [10; 28; 12; 22; 75; 96; 87; 23; 47; 46; 79; 8; 64; 4; 67; 18; 80; 38; 42; 55; 32; 14; 99; 98; 49; 65; 31; 89; 20; 17; 25; 5; 37; 13; 24; 60; 70; 34; 76; 0; 94; 71; 73; 2; 84; 61; 3; 45; 86; 85; 29; 74; 63; 48; 1; 95; 53; 11; 15; 30; 27; 51; 69; 78; 7; 41; 52; 97; 40; 43; 33; 57; 91; 66; 81; 16; 26; 39; 6; 54; 90; 19; 72; 93; 68; 88; 59; 82; 35; 44; 58; 21; 36; 77; 50; 62; 56; 83; 9; 92], [[10; 28]; [12; 22]; [75; 96; 87; 23; 47]; [46; 79; 8]; [64; 4; 67]; [18; 80; 38]; [42; 55; 32]; [14; 99; 98; 49; 65]; [31; 89; 20]; [17; 25]; [5; 37]; [13; 24]; [60; 70; 34; 76]; [0; 94; 71; 73]; [2; 84; 61]; [3; 45]; [86; 85; 29; 74; 63]; [48; 1; 95]; [53; 11]; [15; 30]; [27; 51; 69; 78]; [7; 41]; [52; 97; 40; 43]; [33; 57; 91; 66; 81]; [16; 26]; [39; 6]; [54; 90; 19; 72; 93]; [68; 88; 59; 82; 35]; [44; 58; 21]; [36; 77; 50; 62]; [56; 83; 9; 92]], [14700; 15000; 14900; 15000; 15000; 14800; 14800; 15000; 14900; 14300; 15000; 14800; 13900; 15000; 14500; 14300; 14300; 14600; 11600; 14400; 14900; 13900; 14000; 14900; 14400; 14600; 14500; 14800; 15000; 14800; 14400], 59400, 59401, 3.212810516357422
11, 31, 0.9415369175627242, [67; 74; 49; 36; 63; 46; 23; 60; 31; 39; 93; 27; 19; 22; 95; 24; 97; 72; 55; 6; 58; 42; 41; 90; 8; 54; 66; 92; 28; 20; 85; 7; 84; 91; 78; 81; 5; 53; 94; 47; 0; 99; 73; 57; 35; 64; 25; 10; 33; 11; 16; 51; 62; 45; 1; 71; 29; 56; 68; 96; 14; 30; 50; 52; 21; 34; 48; 70; 80; 88; 44; 9; 79; 18; 37; 59; 61; 15; 12; 69; 98; 76; 77; 32; 26; 2; 40; 38; 13; 43; 4; 3; 75; 65; 83; 89; 17; 86; 82; 87], [[67; 74; 49; 36]; [63; 46; 23]; [60; 31; 39]; [93; 27; 19]; [22; 95; 24; 97]; [72; 55; 6]; [58; 42; 41; 90]; [8; 54; 66]; [92; 28; 20]; [85; 7; 84; 91; 78]; [81; 5; 53]; [94; 47; 0; 99]; [73; 57; 35; 64]; [25; 10]; [33; 11]; [16; 51; 62]; [45; 1]; [71; 29; 56; 68; 96]; [14; 30]; [50; 52; 21]; [34; 48; 70; 80]; [88; 44; 9]; [79; 18; 37]; [59; 61; 15]; [12; 69; 98; 76; 77]; [32; 26]; [2; 40]; [38; 13]; [43; 4]; [3; 75; 65]; [83; 89; 17; 86; 82; 87]], [14600; 14300; 15000; 14400; 14100; 15000; 14000; 14900; 14400; 14300; 14700; 14900; 14800; 14900; 14500; 14900; 14600; 14900; 14400; 14800; 14900; 14400; 14900; 14400; 14500; 13000; 15000; 13600; 14400; 14500; 15000], 54450, 54451, 1.5110185146331787
26, 31, 0.9485333333333332, [41; 2; 75; 56; 4; 97; 18; 54; 84; 95; 80; 99; 1; 43; 36; 6; 5; 40; 8; 35; 11; 71; 48; 45; 98; 62; 22; 12; 49; 65; 44; 0; 26; 10; 87; 24; 93; 31; 63; 32; 38; 92; 15; 29; 74; 50; 33; 3; 64; 73; 27; 78; 25; 16; 94; 23; 90; 79; 85; 39; 59; 70; 28; 30; 83; 77; 7; 55; 46; 42; 88; 47; 57; 82; 60; 72; 58; 89; 51; 14; 66; 17; 20; 53; 96; 52; 21; 34; 86; 19; 76; 37; 9; 69; 91; 61; 81; 67; 13; 68], [[41; 2]; [75; 56; 4]; [97; 18; 54; 84; 95; 80; 99]; [1; 43]; [36; 6]; [5; 40]; [8; 35]; [11; 71; 48]; [45; 98; 62; 22]; [12; 49; 65]; [44; 0]; [26; 10]; [87; 24; 93; 31]; [63; 32; 38]; [92; 15; 29]; [74; 50; 33]; [3; 64; 73]; [27; 78; 25]; [16; 94; 23]; [90; 79; 85; 39; 59; 70]; [28; 30; 83]; [77; 7; 55]; [46; 42; 88; 47]; [57; 82; 60; 72; 58; 89]; [51; 14; 66]; [17]; [20; 53; 96; 52]; [21; 34; 86]; [19; 76; 37]; [9; 69; 91; 61]; [81; 67; 13; 68]], [14800; 15000; 14900; 14900; 15000; 14600; 15000; 14800; 14700; 14900; 14600; 14900; 15000; 14900; 15000; 12500; 14800; 15000; 15000; 15000; 14500; 14300; 14900; 15000; 14700; 7700; 14800; 14900; 14900; 15000; 15000], 128700, 128701, 3.481214761734009
13, 31, 0.9423971326164873, [33; 19; 89; 81; 17; 95; 78; 64; 6; 92; 40; 25; 12; 13; 32; 84; 18; 37; 36; 16; 21; 39; 69; 41; 34; 53; 44; 5; 2; 87; 62; 75; 51; 56; 52; 86; 70; 1; 26; 45; 66; 91; 23; 11; 8; 77; 47; 4; 57; 29; 58; 99; 73; 63; 0; 82; 60; 46; 30; 49; 50; 71; 43; 68; 3; 55; 79; 14; 27; 31; 98; 10; 22; 15; 65; 83; 72; 24; 88; 61; 74; 80; 85; 28; 96; 42; 38; 59; 90; 94; 35; 9; 93; 20; 97; 76; 48; 7; 67; 54], [[33; 19; 89]; [81; 17; 95; 78; 64]; [6; 92; 40]; [25; 12]; [13; 32]; [84; 18; 37]; [36; 16]; [21; 39; 69]; [41; 34; 53]; [44; 5]; [2; 87; 62]; [75; 51; 56; 52; 86]; [70; 1]; [26; 45; 66; 91]; [23; 11]; [8; 77; 47]; [4; 57]; [29; 58; 99; 73; 63]; [0; 82; 60]; [46; 30; 49]; [50; 71; 43; 68]; [3; 55; 79]; [14; 27]; [31; 98; 10]; [22; 15]; [65; 83; 72; 24; 88]; [61; 74; 80; 85; 28]; [96; 42; 38; 59; 90; 94]; [35; 9]; [93; 20; 97; 76; 48]; [7; 67; 54]], [14900; 14600; 15000; 14700; 14500; 14600; 13600; 15000; 14900; 14000; 14300; 14600; 12400; 14500; 14900; 15000; 12900; 15000; 14900; 15000; 13800; 15000; 14500; 14800; 14900; 14500; 14900; 15000; 15000; 14300; 15000], 64350, 64351, 1.7496798038482666
15, 31, 0.9421763440860216, [30; 10; 52; 72; 25; 69; 14; 48; 26; 17; 2; 55; 15; 59; 54; 97; 82; 84; 1; 23; 11; 92; 47; 86; 40; 57; 6; 43; 9; 63; 64; 67; 68; 62; 29; 49; 70; 46; 50; 33; 13; 7; 85; 45; 38; 37; 53; 51; 27; 80; 65; 16; 21; 18; 20; 99; 36; 58; 41; 87; 35; 22; 3; 66; 74; 12; 34; 19; 95; 98; 31; 90; 24; 60; 42; 91; 61; 32; 73; 94; 83; 93; 5; 44; 56; 4; 77; 8; 78; 96; 71; 81; 79; 75; 0; 89; 28; 76; 39; 88], [[30; 10]; [52; 72; 25]; [69; 14; 48]; [26; 17]; [2; 55]; [15; 59; 54; 97]; [82; 84; 1]; [23; 11]; [92; 47; 86; 40; 57]; [6; 43]; [9; 63; 64]; [67; 68; 62; 29]; [49; 70; 46; 50]; [33; 13]; [7; 85; 45]; [38; 37; 53]; [51; 27; 80; 65]; [16; 21]; [18; 20; 99]; [36; 58; 41]; [87; 35; 22]; [3; 66; 74]; [12; 34]; [19; 95; 98; 31; 90]; [24; 60; 42]; [91; 61; 32; 73; 94; 83; 93]; [5; 44]; [56; 4; 77]; [8; 78; 96; 71; 81]; [79; 75; 0; 89]; [28; 76; 39; 88]], [14700; 12600; 14800; 14300; 13300; 14900; 13200; 14900; 15000; 14100; 14600; 14600; 15000; 14500; 14900; 14600; 15000; 14900; 15000; 14100; 14600; 14500; 14500; 15000; 14800; 15000; 14000; 14800; 15000; 15000; 14800], 74250, 74251, 2.0440402030944824
24, 31, 0.9472745519713263, [86; 72; 8; 71; 47; 50; 27; 56; 6; 75; 93; 0; 48; 85; 25; 2; 77; 61; 26; 24; 83; 33; 59; 40; 18; 76; 39; 70; 65; 91; 32; 69; 37; 5; 38; 4; 36; 99; 35; 90; 80; 52; 58; 16; 11; 30; 23; 44; 62; 28; 92; 17; 63; 12; 57; 54; 53; 14; 82; 10; 41; 64; 21; 67; 78; 49; 7; 88; 29; 66; 68; 60; 97; 46; 96; 51; 87; 42; 79; 73; 9; 74; 15; 45; 81; 94; 43; 95; 3; 34; 13; 19; 89; 31; 98; 22; 20; 55; 84; 1], [[86; 72; 8; 71]; [47; 50; 27]; [56; 6; 75]; [93; 0; 48]; [85; 25]; [2; 77; 61]; [26; 24; 83]; [33; 59; 40]; [18; 76; 39]; [70; 65; 91; 32; 69]; [37; 5]; [38; 4]; [36; 99; 35; 90; 80]; [52; 58; 16]; [11; 30]; [23; 44; 62]; [28; 92; 17]; [63; 12; 57]; [54; 53; 14]; [82; 10; 41]; [64; 21; 67; 78]; [49; 7; 88]; [29; 66; 68; 60; 97]; [46; 96; 51; 87; 42]; [79; 73; 9; 74]; [15; 45; 81; 94]; [43; 95; 3]; [34; 13]; [19; 89; 31; 98]; [22; 20]; [55; 84; 1]], [14800; 14900; 14700; 14800; 8000; 14900; 15000; 14800; 14800; 14600; 15000; 15000; 14800; 14800; 14500; 14500; 14700; 14500; 15000; 15000; 14500; 14100; 15000; 15000; 14800; 14800; 14900; 14500; 15000; 14300; 15000], 118800, 118801, 3.2438271045684814
13, 31, 0.9415799283154122, [16; 23; 15; 35; 87; 89; 19; 46; 7; 39; 43; 86; 8; 58; 61; 40; 97; 62; 37; 28; 65; 38; 17; 83; 69; 80; 18; 66; 13; 33; 10; 29; 0; 45; 72; 1; 71; 49; 51; 32; 6; 50; 59; 53; 77; 34; 27; 41; 64; 21; 30; 84; 11; 94; 63; 54; 20; 60; 75; 73; 95; 3; 48; 4; 67; 88; 82; 74; 93; 2; 81; 98; 22; 76; 70; 79; 90; 92; 47; 25; 56; 14; 24; 9; 44; 36; 96; 68; 31; 99; 42; 12; 91; 85; 52; 26; 55; 78; 5; 57], [[16; 23]; [15; 35]; [87; 89; 19; 46]; [7; 39]; [43; 86; 8]; [58; 61; 40; 97; 62]; [37; 28; 65]; [38; 17; 83]; [69; 80; 18; 66]; [13; 33]; [10; 29]; [0; 45]; [72; 1; 71]; [49; 51; 32]; [6; 50]; [59; 53; 77; 34]; [27; 41; 64]; [21; 30; 84]; [11; 94; 63; 54]; [20; 60; 75; 73]; [95; 3; 48]; [4; 67; 88; 82]; [74; 93; 2; 81; 98]; [22; 76; 70; 79; 90; 92]; [47; 25; 56]; [14; 24]; [9; 44]; [36; 96; 68; 31; 99]; [42; 12; 91; 85]; [52; 26; 55]; [78; 5; 57]], [14600; 14300; 14400; 14300; 15000; 15000; 14700; 14900; 14500; 14500; 14700; 14600; 14700; 14500; 13200; 15000; 14400; 15000; 15000; 14900; 14300; 14900; 14300; 14400; 14400; 14700; 13300; 15000; 15000; 13800; 14700], 64350, 64351, 1.7790751457214355
14, 31, 0.9416774193548387, [96; 11; 30; 5; 38; 76; 63; 10; 80; 13; 88; 86; 61; 32; 18; 70; 60; 27; 77; 14; 52; 62; 42; 7; 24; 81; 59; 66; 6; 69; 64; 99; 48; 92; 8; 72; 37; 55; 57; 56; 31; 40; 45; 1; 34; 91; 25; 87; 93; 29; 15; 2; 50; 12; 58; 74; 67; 39; 22; 41; 95; 3; 21; 79; 54; 75; 49; 68; 33; 89; 26; 90; 19; 51; 47; 28; 23; 16; 20; 43; 71; 17; 65; 44; 4; 53; 98; 84; 94; 36; 9; 83; 85; 0; 78; 35; 97; 82; 73; 46], [[96; 11; 30]; [5; 38]; [76; 63; 10; 80]; [13; 88; 86; 61]; [32; 18]; [70; 60; 27; 77]; [14; 52; 62]; [42; 7]; [24; 81; 59; 66]; [6; 69; 64; 99]; [48; 92; 8]; [72; 37; 55; 57]; [56; 31; 40]; [45; 1]; [34; 91; 25; 87]; [93; 29; 15]; [2; 50]; [12; 58; 74]; [67; 39; 22]; [41; 95; 3]; [21; 79; 54; 75]; [49; 68; 33; 89]; [26; 90; 19]; [51; 47; 28]; [23; 16]; [20; 43; 71]; [17; 65; 44]; [4; 53; 98; 84; 94]; [36; 9]; [83; 85; 0; 78]; [35; 97; 82; 73; 46]], [14700; 14900; 15000; 13800; 13900; 14000; 14800; 13800; 14400; 14700; 13600; 14800; 15000; 14600; 15000; 14900; 13800; 13500; 14900; 15000; 14500; 14100; 14800; 14800; 14600; 14700; 15000; 15000; 14500; 15000; 14900], 69300, 69301, 1.9146537780761719
16, 31, 0.9457949820788533, [13; 70; 80; 69; 6; 75; 53; 23; 12; 71; 1; 95; 79; 9; 60; 73; 36; 76; 46; 77; 41; 39; 44; 37; 5; 29; 96; 82; 27; 11; 22; 94; 38; 17; 86; 56; 47; 83; 88; 48; 51; 0; 74; 8; 50; 78; 32; 24; 98; 21; 16; 43; 52; 59; 64; 26; 87; 93; 35; 28; 42; 58; 91; 65; 49; 19; 2; 40; 7; 34; 81; 25; 61; 67; 31; 72; 54; 55; 15; 62; 57; 10; 85; 99; 68; 66; 14; 30; 92; 97; 33; 89; 20; 18; 3; 84; 90; 63; 4; 45], [[13; 70; 80; 69]; [6; 75; 53]; [23; 12]; [71; 1; 95; 79]; [9; 60; 73]; [36; 76; 46; 77]; [41; 39; 44]; [37; 5]; [29; 96; 82; 27]; [11; 22]; [94; 38; 17; 86]; [56; 47; 83; 88; 48]; [51; 0]; [74; 8; 50]; [78; 32; 24]; [98; 21; 16]; [43; 52; 59; 64]; [26; 87; 93; 35]; [28; 42; 58]; [91; 65; 49; 19]; [2; 40]; [7]; [34; 81; 25]; [61; 67; 31; 72]; [54; 55; 15]; [62; 57; 10]; [85; 99; 68; 66; 14]; [30; 92; 97; 33; 89]; [20; 18]; [3; 84; 90; 63]; [4; 45]], [14800; 14800; 14900; 14500; 14100; 14100; 15000; 15000; 14800; 15000; 15000; 14900; 14000; 14800; 15000; 15000; 14700; 14800; 14600; 14800; 15000; 8900; 14800; 14500; 15000; 14800; 14700; 14700; 14900; 15000; 14100], 79200, 79201, 2.1547884941101074
15, 31, 0.9419670250896057, [0; 45; 40; 81; 56; 48; 20; 28; 91; 42; 2; 11; 23; 92; 58; 94; 65; 38; 75; 17; 27; 29; 10; 5; 73; 60; 71; 37; 26; 1; 82; 72; 98; 90; 34; 46; 50; 93; 83; 64; 49; 43; 3; 68; 69; 7; 52; 16; 70; 51; 76; 30; 33; 21; 36; 4; 39; 53; 87; 97; 31; 63; 35; 9; 61; 32; 41; 13; 24; 15; 47; 67; 99; 8; 80; 95; 77; 96; 86; 78; 59; 62; 25; 22; 44; 54; 19; 18; 6; 74; 57; 66; 14; 85; 88; 79; 12; 55; 84; 89], [[0; 45]; [40; 81; 56; 48]; [20; 28; 91]; [42; 2]; [11; 23]; [92; 58; 94; 65; 38; 75]; [17; 27]; [29; 10]; [5; 73; 60]; [71; 37; 26]; [1; 82; 72; 98; 90]; [34; 46; 50]; [93; 83; 64; 49; 43]; [3; 68; 69]; [7; 52]; [16; 70; 51]; [76; 30; 33]; [21; 36]; [4; 39]; [53; 87; 97; 31; 63]; [35; 9]; [61; 32; 41]; [13; 24]; [15; 47; 67]; [99; 8; 80; 95; 77; 96; 86]; [78; 59; 62; 25]; [22; 44; 54]; [19; 18]; [6; 74; 57]; [66; 14; 85; 88; 79]; [12; 55; 84; 89]], [14600; 14700; 14400; 14700; 14900; 14600; 14200; 14700; 14800; 14600; 14900; 14900; 14100; 14700; 12600; 14200; 14700; 12900; 14900; 14500; 15000; 14600; 14800; 15000; 14400; 14800; 15000; 14900; 14700; 15000; 14200], 74250, 74251, 2.037735939025879
