Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
60, 44, 0.9465333333333333, [42; 83; 75; 87; 25; 82; 28; 84; 85; 40; 99; 64; 21; 53; 9; 71; 10; 74; 93; 32; 72; 29; 49; 19; 55; 12; 59; 37; 44; 13; 58; 30; 47; 43; 35; 36; 45; 24; 79; 89; 41; 77; 80; 0; 66; 14; 60; 52; 22; 54; 92; 11; 90; 4; 69; 3; 96; 91; 57; 16; 62; 7; 97; 70; 27; 2; 68; 86; 76; 33; 78; 23; 94; 39; 95; 67; 15; 34; 46; 61; 17; 8; 88; 65; 1; 81; 18; 98; 6; 73; 50; 26; 63; 5; 20; 56; 48; 31; 51; 38], [[42; 83; 75]; [87; 25; 82]; [28; 84; 85]; [40; 99; 64]; [21; 53]; [9; 71]; [10; 74]; [93; 32; 72]; [29; 49]; [19; 55]; [12; 59]; [37; 44]; [13; 58]; [30; 47]; [43; 35]; [36; 45]; [24; 79; 89]; [41; 77; 80]; [0; 66]; [14; 60]; [52]; [22; 54]; [92; 11; 90]; [4; 69]; [3; 96; 91]; [57; 16]; [62; 7]; [97; 70; 27]; [2; 68]; [86; 76; 33]; [78; 23; 94]; [39; 95; 67]; [15]; [34; 46]; [61; 17]; [8; 88]; [65; 1]; [81; 18; 98]; [6; 73]; [50; 26]; [63; 5]; [20; 56]; [48; 31]; [51; 38]], [15000; 15000; 15000; 15000; 15000; 14000; 13900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 6600; 14900; 15000; 14400; 15000; 15000; 15000; 15000; 14700; 14900; 15000; 15000; 9300; 15000; 14900; 12600; 15000; 15000; 14100; 15000; 15000; 14900; 15000; 14400], 301950, 301951, 10.318527936935425
62, 45, 0.9160375308641976, [36; 44; 46; 34; 68; 79; 54; 76; 33; 86; 48; 32; 14; 60; 41; 51; 9; 24; 81; 89; 31; 92; 74; 7; 62; 78; 21; 96; 29; 49; 40; 42; 10; 5; 64; 3; 73; 59; 13; 0; 67; 63; 1; 66; 61; 17; 71; 4; 80; 82; 39; 23; 94; 77; 22; 53; 83; 8; 95; 88; 11; 70; 2; 84; 15; 98; 93; 75; 25; 90; 18; 87; 43; 38; 55; 12; 58; 57; 16; 26; 52; 45; 35; 72; 6; 20; 56; 27; 50; 69; 97; 28; 47; 30; 85; 91; 19; 65; 37; 99], [[36; 44]; [46; 34]; [68; 79; 54]; [76; 33; 86]; [48; 32]; [14; 60]; [41; 51]; [9]; [24; 81; 89]; [31; 92; 74]; [7; 62]; [78; 21; 96]; [29; 49]; [40; 42]; [10]; [5; 64]; [3; 73]; [59; 13]; [0; 67]; [63]; [1; 66]; [61; 17]; [71; 4]; [80; 82; 39]; [23; 94; 77]; [22; 53]; [83; 8]; [95; 88; 11]; [70; 2]; [84; 15; 98]; [93; 75; 25]; [90; 18; 87]; [43; 38]; [55]; [12; 58]; [57; 16]; [26; 52]; [45; 35]; [72; 6]; [20; 56]; [27; 50]; [69; 97; 28]; [47; 30]; [85; 91; 19]; [65; 37; 99]], [15000; 15000; 14700; 14900; 15000; 15000; 14100; 9600; 15000; 15000; 15000; 14900; 15000; 15000; 9600; 15000; 14300; 15000; 14800; 5200; 15000; 14900; 14300; 15000; 15000; 15000; 13200; 15000; 14300; 15000; 15000; 14900; 15000; 6000; 15000; 15000; 14900; 15000; 14100; 14900; 15000; 15000; 15000; 15000; 15000], 311850, 311851, 9.217316150665283
58, 44, 0.9495252525252525, [23; 54; 74; 18; 48; 31; 5; 64; 8; 63; 65; 1; 49; 29; 3; 67; 44; 35; 21; 53; 17; 59; 46; 75; 77; 62; 6; 84; 38; 79; 66; 0; 42; 41; 73; 10; 14; 60; 71; 91; 33; 89; 90; 13; 39; 34; 94; 69; 36; 43; 26; 52; 40; 82; 76; 96; 28; 72; 15; 57; 24; 78; 92; 70; 4; 12; 61; 47; 30; 37; 45; 83; 99; 11; 95; 88; 50; 27; 16; 58; 80; 22; 93; 32; 81; 85; 97; 7; 87; 20; 56; 2; 68; 9; 98; 86; 25; 51; 19; 55], [[23; 54]; [74; 18]; [48; 31]; [5; 64]; [8; 63]; [65; 1]; [49; 29]; [3; 67]; [44; 35]; [21; 53]; [17; 59]; [46; 75; 77]; [62; 6]; [84; 38; 79]; [66; 0]; [42; 41]; [73; 10]; [14; 60]; [71; 91; 33]; [89; 90; 13]; [39]; [34; 94; 69]; [36; 43]; [26; 52]; [40; 82; 76]; [96; 28; 72]; [15; 57]; [24; 78; 92]; [70; 4]; [12; 61]; [47; 30]; [37; 45]; [83; 99]; [11; 95; 88]; [50; 27]; [16; 58]; [80; 22; 93]; [32; 81; 85]; [97; 7; 87]; [20; 56]; [2; 68]; [9; 98; 86]; [25; 51]; [19; 55]], [14800; 13400; 15000; 15000; 14800; 15000; 15000; 14700; 15000; 15000; 14900; 14900; 15000; 15000; 15000; 14900; 14000; 15000; 15000; 15000; 7700; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 14300; 15000; 15000; 15000; 5800; 15000; 15000; 14900; 15000; 15000; 15000; 14900; 14700; 15000; 15000; 15000], 292050, 292051, 8.769594669342041
66, 44, 0.951969696969697, [78; 85; 34; 43; 36; 6; 62; 42; 40; 23; 54; 8; 81; 10; 72; 58; 14; 12; 60; 61; 15; 49; 29; 26; 50; 63; 5; 41; 76; 80; 79; 27; 88; 74; 87; 39; 46; 33; 67; 3; 66; 0; 38; 94; 69; 47; 32; 70; 4; 2; 68; 28; 71; 96; 48; 30; 89; 92; 11; 9; 77; 45; 35; 17; 84; 98; 82; 18; 53; 22; 24; 55; 52; 25; 44; 37; 73; 51; 75; 20; 56; 7; 64; 65; 1; 91; 21; 83; 16; 57; 19; 90; 86; 59; 13; 99; 97; 31; 95; 93], [[78; 85; 34]; [43; 36]; [6; 62]; [42; 40]; [23; 54]; [8; 81]; [10; 72]; [58; 14]; [12; 60]; [61; 15]; [49; 29]; [26; 50]; [63; 5]; [41; 76; 80]; [79; 27; 88]; [74; 87; 39]; [46; 33]; [67; 3]; [66; 0]; [38; 94; 69]; [47; 32]; [70; 4]; [2; 68]; [28; 71; 96]; [48; 30]; [89; 92; 11]; [9; 77]; [45; 35]; [17; 84; 98]; [82; 18]; [53; 22]; [24; 55]; [52; 25]; [44; 37]; [73; 51; 75]; [20; 56]; [7; 64]; [65; 1]; [91; 21; 83]; [16; 57]; [19; 90; 86]; [59; 13]; [99; 97; 31; 95]; [93]], [15000; 15000; 15000; 15000; 14800; 13300; 14000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14700; 15000; 14900; 15000; 14300; 14700; 15000; 15000; 15000; 13400; 15000; 15000; 12700; 15000; 14500; 15000; 15000; 15000; 14900; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 2600], 331650, 331651, 9.618767738342285
68, 44, 0.9468020202020202, [26; 50; 39; 3; 67; 71; 40; 87; 96; 80; 54; 91; 10; 69; 83; 42; 75; 49; 29; 34; 46; 9; 86; 99; 78; 24; 92; 97; 90; 2; 32; 47; 35; 28; 74; 1; 65; 17; 57; 7; 62; 13; 61; 21; 88; 85; 73; 11; 20; 55; 77; 23; 93; 82; 84; 33; 27; 52; 8; 64; 36; 43; 81; 41; 76; 5; 63; 38; 44; 22; 53; 72; 16; 14; 58; 15; 60; 45; 37; 19; 56; 18; 98; 79; 30; 48; 31; 94; 70; 4; 68; 59; 12; 25; 51; 66; 0; 6; 95; 89], [[26; 50]; [39]; [3; 67]; [71; 40; 87]; [96; 80; 54; 91]; [10; 69]; [83; 42; 75]; [49; 29]; [34; 46]; [9; 86; 99]; [78; 24; 92]; [97; 90; 2]; [32; 47]; [35]; [28; 74]; [1; 65]; [17; 57]; [7; 62]; [13; 61]; [21; 88; 85]; [73; 11]; [20; 55]; [77; 23; 93]; [82; 84; 33]; [27; 52]; [8; 64]; [36; 43]; [81; 41; 76]; [5; 63]; [38; 44]; [22; 53]; [72; 16]; [14; 58]; [15; 60]; [45; 37]; [19; 56]; [18; 98; 79]; [30; 48]; [31; 94; 70]; [4; 68]; [59; 12]; [25; 51]; [66; 0]; [6; 95; 89]], [15000; 7700; 14700; 15000; 15000; 14100; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 7800; 12500; 15000; 15000; 15000; 15000; 15000; 13900; 14900; 15000; 15000; 14900; 14800; 15000; 15000; 15000; 15000; 15000; 13700; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 14700; 15000; 15000; 15000; 15000], 341550, 341551, 9.962442398071289
66, 45, 0.9135051851851854, [81; 22; 7; 62; 35; 45; 34; 92; 71; 24; 86; 85; 89; 82; 23; 14; 59; 43; 37; 93; 6; 91; 17; 57; 29; 70; 95; 16; 80; 99; 26; 69; 18; 97; 84; 54; 68; 75; 9; 73; 88; 96; 10; 61; 15; 65; 3; 94; 72; 31; 25; 51; 30; 48; 66; 0; 56; 19; 42; 27; 50; 58; 13; 49; 28; 52; 47; 32; 2; 67; 8; 63; 33; 46; 40; 76; 83; 55; 20; 74; 11; 38; 44; 1; 90; 98; 21; 53; 36; 87; 78; 60; 12; 4; 64; 5; 77; 79; 41; 39], [[81; 22]; [7; 62]; [35; 45]; [34; 92; 71]; [24; 86; 85]; [89; 82; 23]; [14; 59]; [43; 37]; [93; 6; 91]; [17; 57]; [29; 70; 95]; [16; 80]; [99; 26; 69]; [18; 97; 84]; [54; 68; 75]; [9; 73]; [88; 96; 10]; [61; 15]; [65; 3]; [94; 72; 31]; [25; 51]; [30; 48]; [66; 0]; [56; 19]; [42]; [27; 50]; [58; 13]; [49]; [28; 52]; [47; 32]; [2; 67]; [8; 63]; [33; 46]; [40; 76; 83]; [55; 20]; [74; 11]; [38; 44]; [1; 90; 98]; [21; 53]; [36; 87; 78]; [60; 12]; [4]; [64; 5]; [77; 79; 41]; [39]], [12400; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 13000; 15000; 14900; 15000; 14000; 15000; 14900; 14900; 15000; 15000; 15000; 15000; 15000; 7400; 15000; 15000; 6900; 14800; 15000; 14700; 14800; 15000; 15000; 14900; 13800; 15000; 15000; 15000; 14600; 15000; 9900; 15000; 15000; 7700], 331650, 331651, 9.753238916397095
62, 44, 0.9478101010101011, [47; 30; 40; 76; 82; 37; 45; 80; 24; 89; 43; 36; 38; 70; 90; 34; 46; 22; 53; 61; 13; 5; 64; 68; 3; 19; 55; 4; 95; 96; 7; 62; 12; 60; 49; 29; 27; 50; 63; 9; 1; 65; 39; 74; 17; 84; 98; 81; 21; 94; 35; 44; 58; 16; 92; 8; 91; 59; 14; 41; 33; 85; 77; 48; 32; 0; 66; 51; 25; 15; 57; 69; 10; 31; 87; 75; 72; 11; 78; 93; 23; 73; 71; 54; 42; 6; 97; 88; 28; 86; 83; 26; 52; 99; 79; 18; 20; 56; 2; 67], [[47; 30]; [40; 76; 82]; [37; 45]; [80; 24; 89]; [43; 36]; [38; 70; 90]; [34; 46]; [22; 53]; [61; 13]; [5; 64]; [68; 3]; [19; 55]; [4; 95; 96]; [7; 62]; [12; 60]; [49; 29]; [27; 50]; [63; 9]; [1; 65]; [39; 74]; [17; 84; 98]; [81; 21; 94]; [35; 44]; [58; 16]; [92; 8; 91]; [59; 14]; [41]; [33; 85; 77]; [48; 32]; [0; 66]; [51; 25]; [15; 57]; [69; 10]; [31; 87; 75]; [72; 11]; [78; 93; 23]; [73; 71; 54]; [42]; [6; 97; 88]; [28; 86; 83]; [26; 52]; [99; 79; 18]; [20; 56]; [2; 67]], [15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14700; 15000; 14800; 15000; 15000; 15000; 15000; 14800; 15000; 12000; 15000; 15000; 15000; 14900; 15000; 15000; 7500; 15000; 15000; 15000; 15000; 15000; 14100; 15000; 13900; 15000; 15000; 7400; 15000; 15000; 14900; 15000; 14900; 14700], 311850, 311851, 9.124939680099487
51, 45, 0.920323950617284, [28; 94; 81; 57; 16; 70; 74; 75; 97; 83; 90; 23; 37; 43; 59; 14; 78; 22; 95; 91; 24; 77; 45; 36; 1; 66; 47; 30; 41; 35; 89; 73; 79; 32; 85; 44; 38; 88; 93; 13; 55; 20; 39; 31; 48; 69; 52; 76; 65; 0; 19; 56; 7; 62; 63; 5; 71; 8; 53; 21; 9; 72; 27; 80; 87; 40; 42; 2; 67; 6; 64; 12; 58; 49; 29; 26; 50; 17; 61; 11; 86; 25; 51; 34; 54; 82; 10; 68; 3; 15; 99; 84; 4; 96; 92; 60; 18; 46; 33; 98], [[28; 94; 81]; [57; 16]; [70; 74; 75; 97]; [83; 90; 23]; [37; 43]; [59; 14]; [78; 22; 95]; [91; 24; 77]; [45; 36]; [1; 66]; [47; 30]; [41]; [35; 89; 73]; [79; 32; 85]; [44; 38]; [88; 93; 13]; [55; 20]; [39]; [31; 48]; [69; 52; 76]; [65; 0]; [19; 56]; [7; 62]; [63; 5]; [71; 8]; [53; 21]; [9; 72]; [27; 80; 87]; [40; 42]; [2; 67]; [6; 64]; [12; 58]; [49; 29]; [26; 50]; [17; 61]; [11; 86]; [25; 51]; [34; 54]; [82; 10]; [68; 3]; [15; 99; 84]; [4; 96; 92]; [60; 18]; [46; 33]; [98]], [14500; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 7500; 15000; 15000; 15000; 15000; 14900; 7700; 15000; 14900; 15000; 15000; 15000; 15000; 14000; 15000; 14000; 15000; 15000; 14700; 14900; 15000; 15000; 15000; 14900; 12700; 15000; 14100; 13200; 14700; 15000; 15000; 14700; 15000; 2200], 257400, 257401, 7.579345226287842
54, 44, 0.9444747474747474, [7; 64; 10; 70; 29; 96; 98; 97; 8; 79; 65; 0; 78; 9; 2; 72; 63; 5; 57; 15; 20; 56; 52; 25; 1; 66; 84; 74; 73; 90; 68; 4; 32; 94; 71; 47; 30; 42; 40; 50; 26; 34; 85; 76; 14; 59; 36; 75; 86; 11; 88; 27; 51; 21; 53; 99; 18; 81; 23; 89; 82; 31; 48; 38; 43; 44; 35; 13; 60; 87; 17; 92; 39; 49; 12; 58; 83; 91; 22; 19; 55; 28; 46; 33; 61; 67; 69; 62; 6; 3; 95; 93; 16; 54; 24; 45; 37; 41; 80; 77], [[7; 64]; [10; 70]; [29; 96; 98; 97]; [8; 79]; [65; 0]; [78; 9]; [2; 72]; [63; 5]; [57; 15]; [20; 56]; [52; 25]; [1; 66]; [84; 74; 73; 90]; [68; 4]; [32; 94; 71]; [47; 30]; [42; 40]; [50; 26]; [34; 85; 76]; [14; 59]; [36; 75; 86]; [11; 88]; [27; 51]; [21; 53]; [99; 18; 81]; [23; 89; 82]; [31; 48]; [38; 43]; [44; 35]; [13; 60]; [87; 17; 92]; [39; 49]; [12; 58]; [83; 91; 22]; [19; 55]; [28]; [46; 33]; [61; 67; 69]; [62; 6]; [3; 95; 93]; [16]; [54; 24]; [45; 37]; [41; 80; 77]], [14900; 14000; 15000; 13300; 15000; 13400; 14300; 15000; 15000; 14900; 15000; 15000; 15000; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 12500; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14600; 15000; 15000; 15000; 8200; 15000; 14900; 15000; 15000; 9300; 14700; 15000; 15000], 272250, 272251, 7.967469930648804
53, 44, 0.947248484848485, [96; 98; 97; 77; 74; 27; 50; 0; 65; 88; 90; 24; 56; 20; 15; 72; 75; 35; 86; 78; 82; 41; 58; 12; 85; 80; 31; 68; 4; 94; 10; 89; 45; 17; 60; 69; 38; 91; 8; 73; 2; 67; 1; 66; 48; 30; 49; 29; 46; 34; 83; 33; 84; 11; 71; 21; 53; 9; 70; 23; 79; 92; 13; 61; 59; 14; 39; 5; 63; 52; 25; 55; 19; 6; 62; 42; 40; 26; 51; 36; 44; 81; 99; 18; 28; 76; 87; 54; 22; 47; 32; 43; 37; 3; 95; 93; 7; 64; 16; 57], [[96; 98; 97; 77; 74]; [27; 50]; [0; 65]; [88; 90; 24]; [56; 20]; [15; 72]; [75; 35; 86]; [78; 82; 41]; [58; 12]; [85; 80; 31]; [68; 4]; [94; 10; 89]; [45]; [17; 60]; [69; 38; 91]; [8; 73]; [2; 67]; [1; 66]; [48; 30]; [49; 29]; [46; 34]; [83; 33; 84]; [11; 71]; [21; 53]; [9; 70]; [23; 79; 92]; [13; 61]; [59; 14]; [39]; [5; 63]; [52; 25]; [55; 19]; [6; 62]; [42; 40]; [26; 51]; [36; 44]; [81; 99; 18]; [28; 76; 87]; [54; 22]; [47; 32]; [43; 37]; [3; 95; 93]; [7; 64]; [16; 57]], [15000; 15000; 15000; 14300; 14900; 13700; 15000; 14900; 15000; 15000; 14700; 15000; 7200; 14900; 15000; 14000; 14700; 15000; 15000; 15000; 15000; 15000; 13900; 15000; 14000; 15000; 15000; 15000; 7700; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14900; 15000], 267300, 267301, 7.887746095657349
