Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
50, 46, 0.8689913043478262, [46; 99; 51; 32; 52; 2; 68; 25; 85; 84; 44; 41; 79; 83; 33; 88; 93; 16; 17; 87; 96; 63; 4; 5; 70; 22; 50; 12; 89; 9; 77; 18; 59; 60; 11; 78; 13; 62; 21; 56; 49; 26; 38; 39; 66; 94; 54; 28; 40; 74; 82; 15; 61; 98; 67; 23; 6; 71; 14; 90; 10; 80; 58; 20; 37; 3; 69; 55; 30; 35; 43; 42; 0; 65; 75; 8; 7; 73; 57; 34; 64; 1; 36; 91; 72; 24; 47; 97; 48; 92; 76; 31; 45; 95; 19; 53; 27; 29; 81; 86], [[46; 99; 51]; [32; 52]; [2; 68]; [25; 85; 84]; [44; 41]; [79; 83; 33]; [88; 93; 16]; [17; 87; 96]; [63; 4]; [5; 70]; [22; 50]; [12; 89]; [9; 77]; [18; 59]; [60]; [11; 78]; [13; 62]; [21; 56]; [49; 26]; [38]; [39; 66; 94]; [54; 28]; [40; 74; 82]; [15; 61]; [98; 67; 23]; [6; 71]; [14; 90]; [10; 80]; [58; 20]; [37]; [3; 69]; [55; 30]; [35]; [43; 42]; [0; 65]; [75; 8]; [7; 73]; [57; 34]; [64; 1]; [36; 91; 72]; [24; 47]; [97; 48; 92; 76]; [31; 45]; [95; 19]; [53; 27]; [29; 81; 86]], [15000; 14200; 14400; 15000; 15000; 15000; 15000; 14800; 15000; 14300; 15000; 12600; 13400; 14900; 5700; 13200; 15000; 15000; 14700; 7800; 15000; 14400; 15000; 15000; 15000; 14100; 12600; 13200; 15000; 7800; 14400; 14400; 7900; 14900; 14800; 13500; 13800; 14000; 14900; 15000; 14800; 15000; 15000; 11500; 14400; 15000], 252450, 252451, 9.033931016921997
50, 44, 0.9301757575757577, [4; 68; 14; 89; 48; 25; 35; 93; 69; 78; 34; 81; 29; 46; 47; 23; 13; 90; 26; 49; 5; 63; 62; 12; 40; 44; 99; 6; 87; 32; 73; 91; 41; 57; 98; 16; 76; 1; 66; 30; 55; 15; 61; 52; 28; 59; 71; 64; 36; 86; 75; 53; 27; 97; 10; 84; 2; 67; 21; 56; 83; 33; 80; 88; 85; 24; 54; 38; 51; 37; 94; 3; 95; 65; 0; 43; 42; 19; 58; 11; 79; 70; 8; 20; 96; 31; 45; 22; 50; 74; 39; 82; 9; 77; 7; 72; 18; 92; 17; 60], [[4; 68]; [14; 89]; [48; 25]; [35; 93; 69]; [78; 34; 81]; [29; 46]; [47; 23]; [13; 90]; [26; 49]; [5; 63]; [62; 12]; [40; 44]; [99; 6; 87]; [32; 73; 91]; [41; 57]; [98; 16; 76]; [1; 66]; [30; 55]; [15; 61]; [52; 28]; [59; 71; 64]; [36; 86; 75]; [53; 27]; [97; 10; 84]; [2; 67]; [21; 56]; [83; 33; 80]; [88; 85; 24]; [54; 38]; [51; 37]; [94; 3; 95]; [65; 0]; [43; 42]; [19; 58]; [11; 79]; [70; 8]; [20; 96]; [31; 45]; [22; 50]; [74; 39; 82]; [9; 77]; [7; 72]; [18; 92]; [17; 60]], [14400; 12600; 14700; 15000; 15000; 15000; 14900; 12600; 14700; 15000; 15000; 15000; 15000; 15000; 13800; 15000; 14700; 14400; 15000; 14400; 15000; 15000; 14400; 15000; 14500; 15000; 15000; 14800; 14000; 14000; 15000; 14800; 14900; 15000; 13200; 14100; 11500; 15000; 15000; 15000; 13400; 13900; 11900; 14800], 252450, 252451, 7.4580302238464355
49, 45, 0.8999150617283953, [47; 23; 59; 16; 43; 42; 68; 3; 25; 48; 4; 63; 73; 8; 10; 91; 96; 19; 57; 21; 92; 12; 58; 61; 84; 60; 17; 55; 35; 11; 88; 86; 34; 75; 20; 94; 82; 31; 45; 65; 28; 99; 71; 9; 70; 6; 29; 51; 90; 13; 76; 41; 81; 54; 36; 2; 67; 50; 22; 64; 0; 39; 44; 24; 79; 89; 78; 80; 37; 5; 69; 74; 7; 27; 46; 26; 49; 56; 14; 62; 1; 66; 30; 93; 72; 33; 77; 85; 95; 18; 83; 15; 32; 52; 40; 53; 38; 98; 87; 97], [[47; 23]; [59; 16]; [43; 42]; [68; 3]; [25; 48]; [4; 63]; [73; 8]; [10; 91; 96]; [19]; [57; 21]; [92; 12]; [58; 61; 84]; [60; 17]; [55; 35]; [11; 88]; [86; 34; 75]; [20; 94; 82]; [31; 45]; [65; 28; 99]; [71; 9]; [70; 6]; [29; 51]; [90; 13]; [76; 41; 81]; [54; 36]; [2; 67]; [50; 22]; [64; 0]; [39; 44]; [24; 79; 89]; [78; 80; 37]; [5; 69]; [74; 7]; [27; 46]; [26; 49]; [56]; [14; 62]; [1; 66]; [30; 93; 72]; [33; 77; 85]; [95; 18; 83]; [15]; [32; 52]; [40; 53]; [38; 98; 87; 97]], [14900; 15000; 14900; 14400; 14700; 15000; 13800; 15000; 9000; 15000; 12300; 15000; 14800; 14100; 12800; 15000; 15000; 15000; 15000; 14000; 14200; 14400; 12600; 15000; 14100; 14500; 15000; 14900; 15000; 15000; 15000; 14400; 13600; 15000; 14700; 6100; 15000; 14700; 15000; 15000; 15000; 9400; 14200; 13900; 15000], 247500, 247501, 7.340407848358154
51, 44, 0.9304464646464649, [21; 57; 41; 44; 83; 11; 98; 25; 79; 90; 95; 67; 36; 89; 13; 42; 43; 32; 84; 80; 23; 76; 92; 61; 15; 30; 52; 22; 82; 91; 1; 64; 7; 72; 19; 99; 77; 0; 65; 70; 6; 3; 63; 39; 93; 40; 60; 10; 87; 12; 62; 37; 74; 85; 96; 48; 56; 28; 46; 94; 17; 86; 73; 8; 51; 29; 50; 27; 55; 38; 18; 59; 4; 69; 45; 31; 2; 68; 9; 71; 24; 49; 54; 35; 14; 88; 81; 34; 78; 33; 53; 26; 47; 58; 20; 97; 75; 16; 5; 66], [[21; 57]; [41; 44]; [83; 11; 98]; [25; 79; 90]; [95; 67; 36]; [89; 13]; [42; 43]; [32; 84; 80]; [23; 76; 92]; [61; 15]; [30; 52]; [22; 82; 91]; [1; 64]; [7; 72]; [19; 99; 77]; [0; 65]; [70; 6]; [3; 63]; [39; 93]; [40; 60]; [10; 87]; [12; 62]; [37; 74; 85]; [96; 48; 56]; [28; 46]; [94; 17; 86]; [73; 8]; [51; 29]; [50; 27]; [55; 38]; [18; 59]; [4; 69]; [45; 31]; [2; 68]; [9; 71]; [24; 49]; [54; 35]; [14; 88]; [81; 34; 78]; [33; 53]; [26; 47]; [58; 20]; [97; 75; 16]; [5; 66]], [15000; 15000; 15000; 15000; 15000; 12600; 14900; 15000; 15000; 15000; 14400; 15000; 14900; 13900; 14700; 14800; 14200; 15000; 10300; 13400; 12800; 15000; 15000; 15000; 15000; 15000; 13800; 14400; 14500; 14000; 14900; 14400; 15000; 14400; 14000; 14700; 14100; 12700; 15000; 14200; 14800; 15000; 15000; 14600], 257400, 257401, 7.632617473602295
49, 45, 0.9009580246913583, [0; 64; 51; 34; 10; 96; 91; 37; 32; 52; 19; 58; 5; 71; 63; 2; 33; 88; 75; 38; 94; 67; 53; 30; 85; 81; 29; 55; 24; 3; 69; 21; 57; 6; 73; 28; 80; 87; 90; 13; 7; 78; 9; 79; 25; 86; 83; 45; 31; 26; 48; 16; 59; 18; 60; 44; 39; 22; 50; 41; 36; 56; 65; 49; 76; 46; 68; 77; 35; 54; 61; 15; 47; 23; 62; 14; 11; 82; 98; 40; 1; 66; 17; 74; 97; 12; 84; 99; 93; 72; 27; 43; 42; 8; 95; 92; 4; 70; 89; 20], [[0; 64]; [51; 34]; [10; 96; 91]; [37]; [32; 52]; [19; 58]; [5; 71]; [63; 2]; [33; 88; 75]; [38; 94; 67]; [53; 30]; [85; 81; 29]; [55; 24]; [3; 69]; [21; 57]; [6; 73]; [28; 80; 87]; [90; 13]; [7; 78]; [9; 79]; [25; 86; 83]; [45; 31]; [26; 48]; [16; 59]; [18; 60]; [44; 39]; [22; 50]; [41]; [36; 56]; [65; 49; 76]; [46; 68; 77]; [35; 54]; [61; 15]; [47; 23]; [62; 14]; [11; 82; 98]; [40]; [1; 66]; [17; 74; 97]; [12; 84; 99]; [93; 72; 27]; [43; 42]; [8; 95; 92]; [4; 70]; [89; 20]], [14900; 14100; 15000; 7800; 14200; 15000; 14200; 15000; 15000; 15000; 14400; 15000; 14500; 14400; 15000; 13900; 15000; 12600; 13300; 13300; 15000; 15000; 14700; 15000; 14800; 15000; 15000; 7700; 14000; 15000; 15000; 14100; 15000; 14900; 15000; 15000; 7700; 14700; 15000; 14900; 15000; 14900; 15000; 14300; 12100], 247500, 247501, 7.382205247879028
49, 46, 0.8719980676328504, [1; 65; 48; 24; 63; 4; 42; 27; 46; 40; 44; 33; 81; 82; 16; 87; 94; 91; 11; 95; 38; 0; 64; 75; 12; 17; 60; 50; 22; 18; 59; 83; 79; 86; 66; 78; 98; 85; 57; 88; 99; 6; 67; 5; 76; 10; 90; 3; 97; 30; 53; 73; 7; 21; 56; 2; 69; 68; 8; 89; 74; 32; 70; 9; 41; 13; 62; 49; 26; 14; 23; 47; 93; 84; 19; 28; 55; 29; 54; 37; 15; 61; 58; 20; 51; 35; 43; 34; 52; 39; 80; 77; 45; 31; 92; 36; 71; 25; 72; 96], [[1; 65]; [48; 24]; [63; 4]; [42]; [27; 46]; [40; 44]; [33; 81; 82]; [16; 87; 94]; [91; 11; 95]; [38]; [0; 64]; [75; 12]; [17; 60]; [50; 22]; [18; 59]; [83; 79; 86; 66]; [78; 98; 85; 57]; [88; 99; 6]; [67; 5]; [76; 10]; [90; 3; 97]; [30; 53]; [73; 7]; [21; 56]; [2; 69]; [68; 8]; [89; 74; 32]; [70; 9]; [41]; [13; 62]; [49; 26]; [14]; [23; 47]; [93; 84; 19]; [28; 55]; [29; 54]; [37]; [15; 61]; [58; 20]; [51; 35]; [43]; [34; 52]; [39; 80; 77]; [45; 31]; [92; 36; 71]; [25; 72; 96]], [14800; 14700; 15000; 7500; 15000; 15000; 14900; 15000; 15000; 7800; 14900; 13300; 14800; 15000; 14900; 15000; 15000; 15000; 14500; 13400; 15000; 14400; 13800; 15000; 14400; 14200; 15000; 14100; 7700; 15000; 14700; 9500; 14900; 15000; 14400; 14400; 7800; 15000; 15000; 14100; 7400; 14100; 15000; 15000; 15000; 15000], 247500, 247501, 7.472695350646973
56, 45, 0.9052602469135804, [95; 93; 4; 17; 90; 92; 6; 98; 88; 16; 59; 77; 84; 35; 20; 60; 31; 45; 40; 24; 48; 29; 87; 80; 49; 25; 54; 38; 27; 52; 57; 2; 67; 34; 75; 85; 10; 96; 91; 82; 12; 28; 46; 99; 26; 66; 32; 70; 94; 76; 39; 81; 51; 15; 61; 3; 68; 0; 65; 83; 33; 78; 50; 22; 37; 73; 89; 43; 42; 11; 79; 63; 5; 7; 71; 58; 19; 13; 62; 72; 8; 36; 53; 44; 41; 86; 14; 74; 18; 97; 30; 55; 23; 47; 21; 56; 9; 69; 64; 1], [[95; 93; 4]; [17; 90; 92]; [6; 98; 88]; [16; 59]; [77; 84; 35]; [20; 60]; [31; 45]; [40]; [24; 48]; [29; 87; 80]; [49; 25]; [54; 38]; [27; 52]; [57]; [2; 67]; [34; 75; 85]; [10; 96; 91]; [82; 12]; [28; 46]; [99; 26; 66]; [32; 70; 94]; [76; 39; 81]; [51]; [15; 61]; [3; 68]; [0; 65]; [83; 33; 78]; [50; 22]; [37; 73; 89]; [43; 42]; [11; 79]; [63; 5]; [7; 71]; [58; 19]; [13; 62]; [72; 8]; [36; 53]; [44; 41]; [86; 14]; [74; 18; 97]; [30; 55]; [23; 47]; [21; 56]; [9; 69]; [64; 1]], [15000; 15000; 15000; 15000; 15000; 14700; 15000; 7700; 14700; 15000; 14700; 14000; 14400; 6100; 14500; 15000; 15000; 12900; 15000; 15000; 15000; 15000; 6200; 15000; 14400; 14800; 15000; 15000; 15000; 14900; 13200; 15000; 14000; 15000; 15000; 13900; 14100; 15000; 12800; 15000; 14400; 14900; 15000; 14200; 14900], 282150, 282151, 8.497751712799072
70, 44, 0.9331656565656569, [41; 40; 44; 51; 36; 6; 70; 39; 83; 74; 55; 38; 76; 87; 33; 46; 29; 27; 50; 97; 75; 16; 48; 25; 15; 61; 14; 90; 37; 56; 3; 63; 96; 11; 91; 42; 43; 67; 4; 9; 72; 1; 65; 22; 94; 77; 47; 23; 85; 8; 99; 45; 31; 98; 88; 79; 53; 12; 62; 2; 69; 73; 10; 17; 95; 82; 21; 57; 58; 19; 18; 59; 5; 66; 24; 84; 86; 0; 64; 89; 80; 26; 81; 34; 78; 28; 54; 93; 68; 35; 52; 32; 13; 92; 49; 30; 20; 60; 7; 71], [[41]; [40; 44]; [51; 36]; [6; 70]; [39; 83; 74]; [55; 38]; [76; 87; 33]; [46; 29]; [27; 50]; [97; 75; 16]; [48; 25]; [15; 61]; [14; 90]; [37; 56]; [3; 63]; [96; 11; 91]; [42; 43]; [67; 4]; [9; 72]; [1; 65]; [22; 94; 77]; [47; 23]; [85; 8; 99]; [45; 31]; [98; 88; 79; 53]; [12; 62]; [2; 69]; [73; 10]; [17; 95; 82]; [21; 57]; [58; 19]; [18; 59]; [5; 66]; [24; 84; 86]; [0; 64]; [89; 80; 26]; [81; 34; 78]; [28; 54]; [93; 68; 35]; [52; 32]; [13; 92]; [49; 30]; [20; 60]; [7; 71]], [7700; 15000; 14100; 14200; 15000; 14000; 15000; 15000; 14500; 15000; 14700; 15000; 12600; 13900; 15000; 15000; 14900; 14500; 13900; 14800; 15000; 14900; 15000; 15000; 15000; 15000; 14400; 13700; 15000; 15000; 15000; 14900; 14600; 15000; 14900; 15000; 15000; 14400; 15000; 14200; 12300; 14600; 14700; 14000], 351450, 351451, 10.522886037826538
56, 44, 0.9360949494949499, [22; 50; 21; 57; 75; 14; 8; 69; 1; 64; 30; 54; 61; 15; 89; 19; 91; 62; 13; 40; 56; 88; 23; 82; 24; 47; 58; 20; 45; 33; 70; 9; 98; 17; 74; 35; 51; 55; 28; 42; 43; 81; 38; 77; 68; 6; 59; 16; 46; 29; 39; 44; 10; 97; 83; 52; 34; 53; 36; 87; 76; 32; 72; 41; 90; 60; 11; 99; 84; 67; 3; 26; 48; 0; 65; 49; 25; 7; 73; 71; 27; 95; 2; 63; 93; 85; 18; 12; 92; 4; 96; 94; 79; 80; 37; 5; 66; 86; 31; 78], [[22; 50]; [21; 57]; [75; 14]; [8; 69]; [1; 64]; [30; 54]; [61; 15]; [89; 19; 91]; [62; 13]; [40; 56]; [88; 23; 82]; [24; 47]; [58; 20]; [45; 33]; [70; 9]; [98; 17; 74]; [35; 51]; [55; 28]; [42; 43]; [81; 38; 77]; [68; 6]; [59; 16]; [46; 29]; [39; 44]; [10; 97; 83]; [52; 34]; [53; 36]; [87; 76; 32]; [72; 41; 90]; [60]; [11; 99; 84]; [67; 3]; [26; 48]; [0; 65]; [49; 25]; [7; 73]; [71; 27; 95]; [2; 63]; [93; 85; 18]; [12; 92]; [4; 96; 94]; [79; 80; 37]; [5; 66]; [86; 31; 78]], [15000; 15000; 13300; 14200; 14900; 14400; 15000; 15000; 15000; 13800; 15000; 14800; 15000; 14900; 14100; 15000; 14100; 14400; 14900; 15000; 14300; 15000; 15000; 15000; 15000; 14100; 14100; 15000; 15000; 5700; 15000; 14500; 14700; 14800; 14700; 13800; 15000; 15000; 15000; 12300; 15000; 15000; 14600; 15000], 282150, 282151, 8.399088382720947
52, 46, 0.8736502415458941, [22; 50; 13; 62; 93; 17; 85; 84; 30; 83; 16; 59; 56; 15; 61; 32; 45; 77; 11; 53; 37; 6; 99; 88; 20; 31; 90; 75; 18; 74; 98; 73; 89; 38; 23; 47; 35; 55; 7; 69; 21; 57; 24; 95; 72; 79; 97; 54; 87; 2; 68; 40; 42; 43; 36; 81; 80; 63; 3; 48; 27; 78; 14; 60; 9; 70; 46; 29; 49; 28; 52; 34; 67; 4; 12; 94; 65; 1; 51; 33; 26; 82; 86; 64; 0; 10; 71; 39; 44; 19; 58; 5; 66; 41; 8; 96; 92; 25; 76; 91], [[22; 50]; [13; 62]; [93; 17; 85]; [84; 30; 83]; [16; 59]; [56]; [15; 61]; [32; 45]; [77; 11]; [53; 37]; [6; 99; 88]; [20]; [31; 90; 75]; [18; 74; 98]; [73; 89; 38]; [23; 47]; [35; 55]; [7; 69]; [21; 57]; [24; 95; 72]; [79; 97; 54; 87]; [2; 68]; [40]; [42; 43]; [36; 81; 80]; [63; 3]; [48; 27]; [78; 14]; [60]; [9; 70]; [46; 29]; [49; 28]; [52; 34]; [67; 4]; [12; 94]; [65; 1]; [51; 33]; [26; 82; 86]; [64; 0]; [10; 71]; [39; 44]; [19; 58]; [5; 66]; [41]; [8; 96; 92]; [25; 76; 91]], [15000; 15000; 15000; 15000; 15000; 6100; 15000; 14900; 13300; 14000; 15000; 9000; 15000; 15000; 15000; 14900; 14100; 14200; 15000; 15000; 15000; 14400; 7700; 14900; 15000; 15000; 14600; 13100; 5700; 14100; 15000; 14600; 14100; 14500; 12100; 14800; 14200; 15000; 14900; 13900; 15000; 15000; 14600; 7700; 15000; 15000], 262350, 262351, 7.910463333129883
