Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
64, 46, 0.9172289855072466, [82; 58; 77; 21; 62; 56; 16; 35; 44; 42; 0; 75; 48; 24; 11; 55; 92; 30; 94; 76; 6; 65; 10; 84; 29; 72; 57; 86; 8; 66; 20; 61; 26; 46; 15; 53; 59; 17; 12; 54; 1; 71; 22; 49; 23; 81; 64; 80; 74; 93; 73; 50; 89; 25; 98; 32; 91; 97; 60; 18; 45; 27; 14; 51; 78; 2; 63; 19; 79; 9; 47; 31; 90; 37; 87; 95; 34; 99; 83; 36; 88; 96; 33; 3; 70; 4; 69; 13; 52; 68; 5; 39; 40; 41; 38; 43; 28; 85; 67; 7], [[82; 58; 77]; [21; 62]; [56; 16]; [35; 44]; [42]; [0; 75]; [48; 24]; [11; 55]; [92; 30; 94]; [76; 6]; [65; 10]; [84; 29]; [72; 57; 86]; [8; 66]; [20; 61]; [26; 46]; [15; 53]; [59; 17]; [12; 54]; [1; 71]; [22; 49]; [23; 81]; [64; 80; 74]; [93; 73; 50]; [89; 25; 98]; [32; 91; 97]; [60; 18]; [45; 27]; [14; 51]; [78; 2]; [63; 19]; [79; 9]; [47; 31]; [90; 37]; [87; 95; 34]; [99; 83; 36]; [88; 96; 33]; [3; 70]; [4; 69]; [13; 52]; [68; 5]; [39]; [40; 41]; [38; 43]; [28; 85]; [67; 7]], [15000; 14200; 14700; 15000; 7500; 14800; 15000; 15000; 15000; 14200; 15000; 12100; 15000; 15000; 14200; 15000; 14900; 14400; 15000; 15000; 15000; 12700; 15000; 15000; 15000; 14900; 14400; 15000; 15000; 14600; 14300; 14000; 14800; 11300; 15000; 15000; 15000; 14900; 15000; 14900; 14900; 7600; 15000; 15000; 12100; 15000], 321750, 321751, 11.105353355407715
54, 47, 0.886556973995272, [7; 67; 91; 94; 31; 16; 56; 36; 90; 48; 28; 33; 93; 92; 15; 53; 76; 8; 44; 35; 9; 66; 73; 80; 64; 60; 21; 72; 98; 50; 87; 99; 25; 49; 23; 2; 75; 3; 70; 58; 19; 40; 13; 51; 57; 18; 22; 62; 10; 65; 34; 97; 88; 37; 4; 68; 26; 46; 61; 84; 71; 59; 14; 42; 20; 63; 96; 41; 83; 39; 24; 47; 45; 29; 12; 54; 69; 5; 55; 11; 27; 81; 38; 43; 30; 79; 74; 0; 82; 32; 17; 52; 6; 77; 78; 1; 86; 89; 85; 95], [[7; 67]; [91; 94; 31]; [16; 56]; [36; 90]; [48; 28]; [33; 93; 92]; [15; 53]; [76; 8]; [44; 35]; [9; 66]; [73; 80; 64]; [60; 21]; [72; 98; 50]; [87; 99; 25]; [49; 23]; [2; 75]; [3; 70]; [58; 19]; [40]; [13; 51]; [57; 18]; [22; 62]; [10; 65]; [34; 97; 88]; [37]; [4; 68]; [26; 46]; [61; 84; 71]; [59; 14]; [42]; [20; 63]; [96; 41; 83]; [39]; [24; 47]; [45; 29]; [12; 54]; [69; 5]; [55; 11]; [27; 81]; [38; 43]; [30; 79]; [74; 0]; [82; 32]; [17; 52]; [6; 77]; [78; 1]; [86; 89; 85; 95]], [15000; 15000; 14700; 11300; 14800; 15000; 14900; 14100; 15000; 15000; 15000; 14300; 15000; 15000; 15000; 14700; 14900; 14400; 7500; 15000; 14500; 14100; 15000; 15000; 7700; 15000; 15000; 15000; 14400; 7500; 14200; 15000; 7600; 15000; 15000; 15000; 14900; 15000; 12400; 15000; 12600; 14800; 12400; 14900; 14200; 14600; 15000], 272250, 272251, 8.06442403793335
56, 46, 0.9176347826086958, [55; 11; 32; 45; 25; 46; 63; 80; 78; 89; 96; 27; 19; 52; 87; 38; 92; 7; 67; 9; 66; 70; 3; 68; 6; 4; 69; 81; 29; 14; 53; 61; 20; 58; 17; 26; 90; 97; 44; 21; 99; 93; 57; 18; 0; 75; 71; 2; 88; 94; 35; 77; 8; 86; 95; 37; 31; 62; 60; 13; 50; 22; 42; 41; 79; 30; 24; 47; 33; 91; 39; 43; 12; 54; 56; 15; 23; 49; 51; 16; 5; 73; 74; 1; 34; 84; 10; 64; 40; 28; 48; 65; 72; 83; 82; 59; 76; 85; 36; 98], [[55; 11]; [32; 45]; [25; 46]; [63; 80; 78]; [89; 96; 27]; [19; 52]; [87; 38; 92]; [7; 67]; [9; 66]; [70; 3]; [68; 6]; [4; 69]; [81; 29]; [14; 53]; [61; 20]; [58; 17]; [26; 90; 97]; [44]; [21; 99; 93]; [57; 18]; [0; 75]; [71; 2]; [88; 94; 35]; [77; 8]; [86; 95; 37]; [31; 62]; [60; 13]; [50; 22]; [42; 41]; [79; 30]; [24; 47]; [33; 91]; [39; 43]; [12; 54]; [56; 15]; [23; 49]; [51; 16]; [5; 73]; [74; 1]; [34; 84]; [10; 64]; [40]; [28; 48]; [65; 72; 83]; [82; 59; 76]; [85; 36; 98]], [15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 14900; 14900; 15000; 12400; 14900; 14200; 14400; 15000; 7200; 15000; 14500; 14800; 15000; 15000; 14100; 14900; 13800; 14400; 15000; 15000; 12600; 15000; 11500; 15000; 15000; 14700; 15000; 15000; 14300; 14700; 12000; 15000; 7500; 14800; 15000; 15000; 15000], 282150, 282151, 8.36996841430664
57, 46, 0.9205449275362322, [12; 53; 8; 67; 47; 23; 50; 71; 2; 45; 30; 81; 31; 95; 34; 87; 43; 38; 27; 80; 11; 55; 82; 28; 7; 66; 69; 1; 72; 42; 40; 26; 63; 78; 64; 79; 57; 83; 74; 35; 44; 13; 60; 4; 68; 86; 41; 92; 15; 59; 18; 56; 90; 89; 37; 54; 14; 73; 0; 17; 51; 98; 36; 84; 93; 20; 99; 77; 9; 49; 22; 16; 58; 25; 46; 5; 75; 61; 29; 91; 94; 32; 76; 6; 70; 3; 48; 24; 21; 62; 19; 52; 88; 33; 97; 10; 65; 96; 85; 39], [[12; 53]; [8; 67]; [47]; [23; 50]; [71; 2]; [45; 30]; [81; 31]; [95; 34; 87]; [43; 38]; [27; 80]; [11; 55]; [82; 28]; [7; 66]; [69]; [1; 72]; [42; 40]; [26; 63]; [78; 64; 79]; [57; 83; 74]; [35; 44]; [13; 60]; [4; 68]; [86; 41; 92]; [15; 59]; [18; 56]; [90; 89; 37]; [54; 14]; [73; 0]; [17; 51]; [98; 36; 84]; [93; 20; 99]; [77; 9]; [49; 22]; [16; 58]; [25; 46]; [5; 75]; [61; 29]; [91; 94; 32]; [76; 6]; [70; 3]; [48; 24]; [21; 62]; [19; 52]; [88; 33; 97]; [10; 65]; [96; 85; 39]], [15000; 15000; 6800; 15000; 15000; 15000; 12400; 15000; 15000; 12500; 15000; 12400; 15000; 5400; 15000; 15000; 13900; 15000; 15000; 15000; 14400; 15000; 15000; 14400; 14700; 15000; 14900; 14800; 15000; 15000; 15000; 14100; 15000; 14400; 15000; 14300; 13800; 15000; 14200; 14900; 15000; 14200; 14900; 15000; 15000; 15000], 287100, 287101, 8.511330604553223
51, 46, 0.916432850241546, [32; 83; 72; 2; 21; 61; 40; 41; 30; 86; 79; 58; 80; 19; 98; 96; 34; 44; 37; 54; 12; 38; 0; 73; 60; 20; 45; 31; 42; 84; 94; 3; 75; 23; 50; 47; 25; 93; 95; 24; 9; 67; 65; 22; 4; 68; 53; 13; 43; 39; 16; 59; 78; 5; 36; 91; 89; 82; 28; 1; 71; 63; 81; 74; 8; 76; 6; 77; 55; 11; 18; 56; 26; 46; 29; 48; 15; 57; 17; 51; 88; 62; 69; 27; 85; 87; 33; 97; 52; 14; 10; 64; 99; 49; 70; 66; 7; 92; 35; 90], [[32; 83]; [72; 2]; [21; 61]; [40; 41]; [30; 86]; [79; 58; 80]; [19; 98; 96]; [34]; [44; 37]; [54; 12]; [38]; [0; 73]; [60; 20]; [45; 31]; [42; 84; 94]; [3; 75]; [23; 50]; [47; 25]; [93; 95; 24]; [9; 67]; [65; 22]; [4; 68]; [53; 13]; [43; 39]; [16; 59]; [78; 5]; [36; 91; 89]; [82; 28]; [1; 71]; [63; 81; 74]; [8; 76]; [6; 77]; [55; 11]; [18; 56]; [26; 46]; [29; 48]; [15; 57]; [17; 51]; [88; 62; 69]; [27; 85]; [87; 33; 97]; [52; 14]; [10; 64]; [99; 49; 70]; [66; 7]; [92; 35; 90]], [12200; 15000; 14200; 15000; 11900; 15000; 15000; 7900; 14900; 15000; 7600; 14800; 14300; 15000; 15000; 14500; 15000; 14900; 15000; 15000; 14000; 15000; 14900; 15000; 14400; 14200; 15000; 12400; 15000; 15000; 14100; 14200; 15000; 14700; 15000; 14800; 14500; 15000; 15000; 12100; 15000; 14900; 15000; 15000; 15000; 15000], 257400, 257401, 7.701835870742798
51, 47, 0.8874042553191492, [15; 54; 20; 61; 24; 98; 91; 26; 46; 62; 31; 79; 32; 7; 66; 1; 71; 64; 10; 65; 80; 74; 3; 70; 44; 28; 76; 58; 16; 22; 50; 17; 57; 14; 52; 5; 75; 42; 35; 96; 86; 18; 59; 73; 0; 55; 11; 13; 60; 78; 30; 2; 72; 49; 19; 56; 47; 25; 48; 88; 81; 82; 84; 51; 34; 85; 68; 4; 12; 53; 43; 38; 29; 93; 97; 36; 89; 90; 69; 6; 8; 77; 45; 27; 63; 21; 67; 9; 23; 95; 94; 33; 39; 87; 92; 40; 41; 99; 37; 83], [[15; 54]; [20; 61]; [24; 98; 91]; [26; 46]; [62; 31]; [79; 32]; [7; 66]; [1; 71]; [64; 10]; [65; 80; 74]; [3; 70]; [44]; [28; 76]; [58; 16]; [22; 50]; [17; 57]; [14; 52]; [5; 75]; [42]; [35; 96; 86]; [18; 59]; [73; 0]; [55; 11]; [13; 60]; [78; 30]; [2; 72]; [49]; [19; 56]; [47; 25]; [48; 88; 81]; [82; 84; 51]; [34; 85]; [68; 4]; [12; 53]; [43; 38]; [29; 93; 97]; [36; 89; 90]; [69; 6]; [8; 77]; [45; 27]; [63; 21]; [67; 9]; [23; 95; 94]; [33]; [39; 87; 92]; [40; 41]; [99; 37; 83]], [14900; 14200; 15000; 15000; 13800; 12600; 15000; 15000; 15000; 15000; 14900; 7200; 12700; 14400; 15000; 14500; 14900; 14300; 7500; 15000; 14400; 14800; 15000; 14400; 12700; 15000; 6700; 14700; 14900; 15000; 15000; 12000; 15000; 15000; 15000; 14800; 15000; 14900; 14100; 15000; 14200; 15000; 15000; 7900; 15000; 15000; 15000], 257400, 257401, 7.760809659957886
50, 46, 0.9194202898550727, [97; 90; 26; 2; 72; 96; 30; 91; 4; 69; 70; 3; 88; 92; 39; 40; 41; 36; 44; 55; 11; 81; 32; 14; 58; 50; 22; 0; 73; 10; 65; 37; 99; 83; 45; 27; 59; 18; 52; 12; 80; 62; 78; 9; 67; 46; 25; 75; 82; 61; 95; 34; 87; 51; 13; 64; 8; 66; 23; 49; 48; 24; 71; 1; 85; 94; 42; 5; 74; 31; 47; 43; 38; 7; 76; 17; 60; 86; 77; 53; 6; 68; 57; 15; 56; 16; 54; 19; 29; 84; 33; 20; 79; 89; 35; 93; 63; 21; 98; 28], [[97; 90; 26]; [2; 72]; [96; 30; 91]; [4; 69]; [70; 3]; [88; 92; 39]; [40; 41]; [36; 44]; [55; 11]; [81; 32]; [14; 58]; [50; 22]; [0; 73]; [10; 65]; [37; 99; 83]; [45; 27]; [59; 18]; [52; 12]; [80; 62; 78]; [9; 67]; [46; 25]; [75; 82; 61]; [95; 34; 87]; [51; 13]; [64]; [8; 66]; [23; 49]; [48; 24]; [71; 1]; [85; 94; 42]; [5; 74]; [31; 47]; [43; 38]; [7; 76]; [17; 60]; [86; 77; 53]; [6; 68]; [57; 15]; [56; 16]; [54; 19]; [29; 84]; [33]; [20; 79]; [89; 35; 93]; [63; 21]; [98; 28]], [15000; 15000; 14900; 15000; 14900; 15000; 15000; 14900; 15000; 12400; 14400; 15000; 14800; 15000; 15000; 15000; 14400; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 5700; 15000; 15000; 15000; 15000; 15000; 14300; 14800; 15000; 14100; 14400; 15000; 14900; 14500; 14700; 14900; 12100; 7900; 13000; 15000; 14200; 11200], 252450, 252451, 7.489189863204956
57, 47, 0.8904813238770689, [16; 59; 87; 34; 47; 24; 50; 23; 9; 67; 30; 83; 58; 78; 82; 74; 0; 12; 53; 10; 65; 95; 97; 20; 11; 55; 25; 46; 29; 80; 66; 7; 99; 86; 27; 32; 81; 21; 61; 42; 94; 84; 76; 8; 15; 96; 98; 89; 37; 90; 1; 72; 18; 57; 73; 3; 19; 60; 91; 70; 56; 64; 79; 77; 28; 62; 5; 69; 44; 35; 63; 22; 6; 75; 14; 51; 45; 31; 26; 48; 49; 13; 52; 93; 36; 88; 2; 71; 38; 41; 40; 68; 4; 33; 85; 43; 39; 17; 54; 92], [[16; 59]; [87; 34]; [47; 24]; [50; 23]; [9; 67]; [30; 83]; [58; 78; 82]; [74; 0]; [12; 53]; [10; 65]; [95; 97; 20]; [11; 55]; [25; 46]; [29; 80]; [66; 7]; [99; 86; 27]; [32; 81]; [21; 61]; [42; 94; 84]; [76; 8]; [15; 96; 98]; [89; 37; 90]; [1; 72]; [18; 57]; [73; 3]; [19; 60]; [91; 70; 56]; [64; 79; 77]; [28; 62]; [5; 69]; [44; 35]; [63; 22]; [6; 75]; [14; 51]; [45; 31]; [26; 48]; [49]; [13; 52]; [93; 36; 88]; [2; 71]; [38]; [41; 40]; [68; 4]; [33; 85]; [43; 39]; [17; 54]; [92]], [14400; 11700; 15000; 15000; 15000; 12200; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 12500; 15000; 15000; 12400; 14200; 15000; 14100; 15000; 15000; 15000; 14500; 14500; 14400; 15000; 15000; 13800; 14900; 15000; 14100; 14300; 15000; 15000; 14900; 6700; 14900; 15000; 15000; 7600; 15000; 15000; 12000; 15000; 14900; 3600], 287100, 287101, 8.653655767440796
54, 46, 0.9143478260869569, [33; 92; 0; 74; 99; 88; 25; 24; 47; 28; 85; 44; 35; 20; 61; 56; 68; 97; 72; 1; 7; 66; 52; 12; 81; 29; 46; 26; 49; 23; 96; 89; 27; 67; 9; 53; 13; 37; 15; 59; 48; 31; 6; 77; 58; 16; 82; 62; 73; 43; 39; 75; 3; 21; 98; 94; 60; 14; 41; 95; 83; 63; 78; 80; 79; 8; 70; 84; 65; 87; 32; 22; 50; 91; 36; 18; 51; 4; 69; 42; 40; 17; 54; 57; 19; 64; 10; 34; 90; 30; 45; 93; 86; 38; 2; 71; 5; 76; 55; 11], [[33; 92]; [0; 74]; [99; 88; 25]; [24; 47]; [28; 85]; [44; 35]; [20; 61]; [56; 68; 97]; [72; 1]; [7; 66]; [52; 12]; [81; 29]; [46; 26]; [49; 23]; [96; 89; 27]; [67; 9]; [53; 13]; [37]; [15; 59]; [48; 31]; [6; 77]; [58; 16]; [82; 62; 73]; [43; 39]; [75; 3]; [21; 98; 94]; [60; 14]; [41; 95; 83]; [63; 78; 80]; [79; 8]; [70; 84; 65]; [87; 32]; [22; 50]; [91; 36]; [18; 51]; [4; 69]; [42; 40]; [17; 54]; [57; 19]; [64; 10]; [34; 90]; [30; 45]; [93; 86; 38]; [2; 71]; [5; 76]; [55; 11]], [11500; 14800; 15000; 15000; 12100; 15000; 14200; 14900; 15000; 15000; 15000; 12400; 15000; 15000; 15000; 15000; 14900; 7700; 14400; 14800; 14200; 14400; 15000; 15000; 14500; 15000; 14400; 15000; 15000; 14000; 15000; 11800; 15000; 11300; 15000; 15000; 15000; 14900; 14500; 15000; 11500; 15000; 15000; 15000; 14200; 15000], 272250, 272251, 8.202702522277832
56, 46, 0.9208000000000002, [11; 55; 7; 75; 20; 61; 1; 72; 15; 51; 45; 32; 77; 29; 54; 12; 49; 23; 0; 74; 40; 41; 21; 59; 5; 73; 63; 76; 80; 31; 62; 14; 57; 87; 82; 47; 50; 30; 17; 53; 26; 46; 69; 4; 28; 89; 95; 8; 66; 65; 10; 67; 9; 60; 16; 64; 27; 34; 78; 37; 94; 86; 42; 97; 83; 3; 70; 58; 13; 52; 18; 84; 85; 98; 92; 90; 99; 22; 91; 25; 96; 6; 68; 36; 93; 88; 56; 19; 24; 48; 33; 44; 35; 2; 71; 39; 43; 38; 79; 81], [[11; 55]; [7; 75]; [20; 61]; [1; 72]; [15; 51]; [45; 32]; [77; 29]; [54; 12]; [49; 23]; [0; 74]; [40; 41]; [21; 59]; [5; 73]; [63; 76; 80]; [31; 62]; [14; 57]; [87; 82; 47]; [50; 30]; [17; 53]; [26; 46]; [69; 4]; [28; 89; 95]; [8; 66]; [65; 10]; [67; 9]; [60; 16]; [64; 27]; [34; 78]; [37; 94; 86]; [42; 97; 83]; [3; 70]; [58; 13]; [52; 18]; [84; 85; 98; 92]; [90; 99; 22]; [91; 25; 96]; [6; 68]; [36; 93; 88]; [56; 19]; [24; 48]; [33]; [44; 35]; [2; 71]; [39; 43]; [38; 79]; [81]], [15000; 14200; 14200; 15000; 15000; 15000; 12700; 15000; 15000; 14800; 15000; 14300; 14300; 15000; 13800; 14500; 15000; 14700; 14900; 15000; 15000; 15000; 15000; 15000; 15000; 14400; 13700; 12600; 15000; 15000; 14900; 14400; 14900; 15000; 15000; 15000; 14900; 15000; 14700; 15000; 7900; 15000; 15000; 15000; 12200; 4400], 282150, 282151, 8.482836246490479
