Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
53, 46, 0.9175468599033817, [80; 46; 83; 69; 1; 72; 37; 85; 90; 42; 36; 5; 66; 10; 60; 16; 56; 7; 63; 81; 94; 38; 14; 58; 54; 19; 27; 43; 77; 89; 65; 4; 44; 71; 98; 97; 30; 88; 53; 23; 76; 17; 51; 40; 12; 61; 91; 22; 47; 35; 49; 31; 9; 62; 70; 0; 52; 25; 18; 75; 79; 41; 92; 33; 48; 6; 64; 29; 50; 13; 67; 73; 2; 82; 34; 96; 15; 57; 24; 8; 68; 95; 93; 28; 45; 32; 87; 26; 99; 11; 59; 78; 21; 55; 20; 3; 74; 86; 39; 84], [[80; 46; 83]; [69]; [1; 72]; [37; 85; 90]; [42; 36]; [5; 66]; [10; 60]; [16; 56]; [7; 63]; [81; 94; 38]; [14; 58]; [54; 19]; [27]; [43; 77; 89]; [65; 4]; [44; 71; 98]; [97; 30; 88]; [53; 23]; [76; 17]; [51; 40]; [12; 61]; [91; 22]; [47; 35]; [49; 31]; [9; 62]; [70; 0]; [52; 25]; [18; 75]; [79; 41; 92]; [33; 48]; [6; 64]; [29; 50]; [13; 67]; [73; 2]; [82; 34; 96]; [15; 57]; [24]; [8; 68]; [95; 93; 28]; [45; 32]; [87; 26; 99]; [11; 59]; [78; 21]; [55; 20]; [3; 74]; [86; 39; 84]], [15000; 5200; 14800; 14900; 14900; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 8300; 15000; 15000; 15000; 15000; 15000; 13400; 14300; 14700; 11900; 14800; 15000; 14900; 15000; 15000; 13600; 15000; 14900; 15000; 15000; 14200; 14700; 15000; 15000; 8400; 14700; 15000; 15000; 15000; 14900; 12700; 15000; 14600; 15000], 267300, 267301, 9.448793411254883
56, 46, 0.9111623188405796, [46; 32; 25; 19; 54; 84; 33; 96; 15; 56; 58; 90; 66; 93; 27; 37; 42; 74; 8; 48; 36; 63; 59; 87; 24; 94; 80; 18; 45; 35; 3; 69; 44; 98; 71; 85; 16; 6; 67; 79; 13; 29; 51; 49; 40; 31; 47; 4; 64; 0; 70; 91; 22; 10; 60; 62; 11; 73; 12; 41; 78; 92; 9; 61; 65; 5; 34; 43; 28; 2; 75; 38; 86; 88; 82; 50; 77; 20; 55; 21; 53; 52; 26; 72; 1; 76; 14; 83; 30; 99; 17; 57; 95; 97; 23; 89; 81; 39; 7; 68], [[46; 32]; [25]; [19; 54]; [84; 33; 96]; [15; 56]; [58; 90; 66]; [93; 27]; [37; 42]; [74; 8]; [48; 36]; [63; 59; 87]; [24; 94]; [80; 18]; [45; 35]; [3; 69]; [44; 98; 71]; [85; 16]; [6; 67]; [79; 13]; [29; 51]; [49; 40]; [31; 47]; [4; 64]; [0; 70]; [91; 22]; [10; 60]; [62; 11]; [73; 12]; [41; 78; 92]; [9; 61]; [65; 5]; [34; 43]; [28]; [2; 75]; [38; 86; 88]; [82; 50; 77]; [20; 55]; [21; 53]; [52; 26]; [72; 1]; [76; 14]; [83; 30; 99]; [17; 57]; [95; 97; 23]; [89; 81; 39]; [7; 68]], [15000; 8300; 15000; 15000; 15000; 15000; 11700; 14900; 14200; 14600; 15000; 11800; 13000; 14900; 15000; 15000; 12500; 14900; 13100; 15000; 14400; 15000; 15000; 15000; 11900; 15000; 14700; 13800; 15000; 14900; 15000; 15000; 8300; 14700; 15000; 15000; 15000; 15000; 15000; 14800; 13500; 15000; 15000; 15000; 15000; 14800], 282150, 282151, 8.410050392150879
52, 46, 0.9147140096618359, [37; 47; 3; 69; 41; 78; 94; 22; 99; 90; 64; 5; 45; 33; 61; 9; 77; 85; 46; 23; 53; 1; 70; 60; 11; 72; 75; 67; 57; 16; 12; 62; 95; 91; 25; 20; 84; 82; 92; 38; 17; 76; 66; 4; 83; 21; 40; 39; 28; 89; 34; 43; 63; 6; 13; 74; 54; 2; 73; 30; 51; 32; 44; 55; 19; 0; 71; 52; 27; 42; 80; 88; 48; 31; 87; 24; 98; 97; 18; 93; 86; 35; 10; 59; 15; 56; 29; 50; 36; 14; 58; 65; 7; 8; 68; 81; 49; 79; 26; 96], [[37; 47]; [3; 69]; [41; 78; 94]; [22; 99; 90]; [64; 5]; [45; 33]; [61; 9]; [77; 85; 46]; [23; 53]; [1; 70]; [60; 11]; [72; 75; 67]; [57; 16]; [12; 62]; [95; 91; 25]; [20; 84]; [82; 92; 38]; [17; 76]; [66; 4]; [83; 21]; [40; 39]; [28; 89]; [34; 43]; [63; 6]; [13; 74]; [54]; [2; 73]; [30; 51]; [32; 44]; [55; 19]; [0; 71]; [52; 27]; [42; 80; 88]; [48; 31]; [87; 24]; [98; 97; 18]; [93; 86; 35]; [10; 59]; [15; 56]; [29; 50]; [36]; [14; 58]; [65; 7]; [8; 68]; [81; 49; 79]; [26; 96]], [14600; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 14900; 14900; 15000; 15000; 14700; 15000; 12400; 15000; 13400; 15000; 12300; 15000; 11900; 15000; 15000; 13700; 6400; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 12100; 15000; 15000; 15000; 15000; 15000; 7700; 15000; 14900; 14700; 15000; 11500], 262350, 262351, 7.795707702636719
56, 46, 0.9179410628019322, [21; 54; 36; 85; 88; 69; 3; 33; 46; 95; 75; 48; 9; 62; 56; 15; 52; 27; 6; 64; 22; 53; 35; 43; 73; 14; 30; 50; 24; 10; 59; 12; 60; 81; 94; 38; 26; 96; 90; 47; 31; 11; 61; 16; 57; 8; 67; 23; 1; 74; 86; 45; 77; 37; 82; 91; 28; 44; 32; 17; 18; 0; 71; 83; 97; 84; 78; 51; 29; 5; 63; 2; 72; 76; 70; 66; 58; 13; 42; 89; 80; 98; 25; 87; 34; 49; 93; 79; 41; 40; 39; 92; 20; 99; 19; 55; 68; 7; 65; 4], [[21; 54]; [36; 85; 88]; [69; 3]; [33; 46]; [95; 75; 48]; [9; 62]; [56; 15]; [52; 27]; [6; 64]; [22; 53]; [35; 43]; [73; 14]; [30; 50]; [24]; [10; 59]; [12; 60]; [81; 94; 38]; [26; 96; 90]; [47; 31]; [11; 61]; [16; 57]; [8; 67]; [23]; [1; 74]; [86; 45; 77]; [37; 82; 91]; [28]; [44; 32]; [17]; [18]; [0; 71]; [83; 97; 84; 78]; [51; 29]; [5; 63]; [2; 72]; [76; 70; 66]; [58; 13]; [42; 89; 80]; [98; 25; 87]; [34; 49]; [93; 79; 41]; [40; 39]; [92; 20; 99]; [19; 55]; [68; 7]; [65; 4]], [14900; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 15000; 13700; 15000; 8400; 15000; 14900; 15000; 15000; 15000; 14700; 15000; 14700; 8500; 14700; 15000; 15000; 8300; 15000; 8800; 8800; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 14800; 15000], 282150, 282151, 8.406526565551758
58, 46, 0.9150347826086958, [14; 68; 9; 62; 35; 88; 92; 98; 25; 85; 70; 0; 80; 22; 69; 3; 42; 73; 99; 46; 32; 1; 72; 2; 71; 48; 37; 49; 6; 64; 57; 18; 89; 82; 39; 24; 94; 74; 83; 54; 15; 56; 20; 55; 79; 21; 84; 86; 40; 16; 77; 8; 67; 30; 51; 50; 29; 65; 4; 19; 53; 23; 81; 38; 93; 52; 27; 31; 47; 66; 5; 58; 13; 43; 34; 45; 36; 17; 76; 60; 12; 91; 41; 78; 28; 90; 96; 26; 11; 61; 10; 59; 33; 95; 87; 63; 7; 75; 44; 97], [[14; 68]; [9; 62]; [35; 88; 92]; [98; 25; 85]; [70; 0]; [80; 22]; [69; 3]; [42; 73; 99]; [46; 32]; [1; 72]; [2; 71]; [48; 37]; [49]; [6; 64]; [57; 18]; [89; 82; 39]; [24; 94]; [74; 83; 54]; [15; 56]; [20; 55]; [79; 21]; [84; 86; 40]; [16; 77]; [8; 67]; [30; 51]; [50; 29]; [65; 4]; [19]; [53; 23]; [81; 38; 93]; [52; 27]; [31; 47]; [66; 5]; [58; 13]; [43; 34]; [45; 36]; [17; 76]; [60; 12]; [91; 41; 78]; [28; 90; 96]; [26]; [11; 61]; [10; 59]; [33; 95; 87]; [63; 7]; [75; 44; 97]], [14200; 14900; 14900; 15000; 15000; 12700; 15000; 15000; 15000; 14800; 14900; 14600; 6900; 15000; 15000; 15000; 11800; 15000; 15000; 15000; 12700; 15000; 13100; 14700; 15000; 15000; 15000; 8600; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 14700; 13400; 14900; 15000; 15000; 8300; 14700; 15000; 15000; 14900; 15000], 292050, 292051, 8.752386808395386
58, 45, 0.9448602469135807, [32; 46; 31; 47; 56; 18; 69; 3; 8; 75; 41; 40; 94; 34; 87; 82; 64; 62; 42; 38; 11; 76; 52; 28; 5; 66; 80; 81; 48; 37; 99; 77; 74; 65; 73; 72; 1; 58; 14; 10; 60; 20; 55; 63; 6; 45; 33; 53; 22; 39; 84; 85; 24; 92; 97; 0; 71; 15; 86; 25; 90; 57; 17; 29; 50; 13; 78; 7; 67; 49; 36; 35; 43; 68; 4; 59; 12; 61; 9; 93; 27; 23; 89; 2; 70; 83; 79; 44; 51; 30; 98; 96; 16; 19; 54; 91; 26; 95; 21; 88], [[32; 46]; [31; 47]; [56; 18]; [69; 3]; [8; 75]; [41; 40]; [94; 34; 87]; [82; 64; 62]; [42; 38]; [11; 76]; [52; 28]; [5; 66]; [80; 81; 48]; [37; 99; 77]; [74; 65; 73]; [72; 1]; [58; 14]; [10; 60]; [20; 55]; [63; 6]; [45; 33]; [53; 22]; [39; 84; 85]; [24; 92; 97]; [0; 71]; [15; 86]; [25; 90]; [57; 17]; [29; 50]; [13; 78]; [7; 67]; [49; 36]; [35; 43]; [68; 4]; [59; 12]; [61; 9]; [93; 27]; [23; 89]; [2; 70]; [83; 79; 44]; [51; 30]; [98; 96; 16]; [19; 54]; [91; 26; 95]; [21; 88]], [15000; 15000; 15000; 15000; 14200; 14900; 15000; 15000; 14900; 13600; 15000; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 15000; 12500; 11800; 15000; 15000; 13100; 14800; 14600; 15000; 14900; 14900; 14900; 11700; 12100; 14900; 15000; 15000; 15000; 15000; 15000; 12100], 292050, 292051, 8.681707859039307
70, 46, 0.9173014492753625, [45; 33; 1; 72; 26; 5; 64; 61; 12; 6; 63; 76; 25; 19; 91; 99; 48; 95; 75; 97; 40; 80; 31; 47; 66; 4; 16; 57; 34; 43; 28; 35; 44; 68; 13; 51; 30; 52; 27; 10; 60; 93; 23; 98; 29; 11; 59; 15; 56; 8; 67; 81; 88; 39; 17; 73; 79; 82; 50; 24; 96; 94; 55; 21; 69; 3; 74; 18; 20; 54; 84; 49; 77; 22; 53; 36; 86; 89; 37; 83; 90; 38; 42; 62; 9; 0; 71; 46; 32; 41; 14; 58; 2; 70; 7; 65; 85; 78; 87; 92], [[45; 33]; [1; 72]; [26]; [5; 64]; [61; 12]; [6; 63]; [76; 25]; [19; 91; 99]; [48; 95; 75]; [97; 40; 80]; [31; 47]; [66; 4]; [16; 57]; [34; 43]; [28]; [35; 44]; [68; 13]; [51; 30]; [52; 27]; [10; 60]; [93; 23; 98]; [29]; [11; 59]; [15; 56]; [8; 67]; [81; 88; 39]; [17; 73]; [79; 82; 50]; [24; 96; 94]; [55; 21]; [69; 3]; [74; 18]; [20; 54]; [84; 49; 77]; [22; 53]; [36; 86; 89]; [37; 83; 90]; [38; 42]; [62; 9]; [0; 71]; [46; 32]; [41]; [14; 58]; [2; 70]; [7; 65]; [85; 78; 87; 92]], [15000; 14800; 8300; 15000; 14700; 15000; 12900; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 8300; 14900; 14200; 15000; 15000; 15000; 14900; 8200; 14900; 15000; 14700; 15000; 13600; 14900; 15000; 14900; 15000; 13600; 15000; 15000; 15000; 15000; 15000; 14900; 14900; 15000; 15000; 7400; 15000; 14900; 14900; 15000], 351450, 351451, 10.58471393585205
55, 46, 0.9201246376811594, [51; 29; 79; 67; 68; 30; 50; 36; 89; 87; 83; 28; 49; 82; 80; 85; 35; 94; 3; 63; 6; 90; 47; 76; 65; 4; 70; 0; 54; 19; 32; 46; 7; 66; 93; 38; 81; 5; 64; 1; 72; 52; 25; 57; 17; 96; 15; 98; 18; 74; 11; 59; 27; 48; 31; 42; 37; 53; 23; 84; 86; 40; 8; 69; 58; 13; 73; 22; 62; 9; 14; 75; 45; 33; 24; 78; 16; 56; 43; 88; 77; 20; 55; 10; 60; 34; 44; 99; 21; 92; 26; 91; 95; 41; 39; 61; 12; 2; 71; 97], [[51; 29]; [79; 67; 68]; [30; 50]; [36; 89; 87]; [83; 28]; [49; 82; 80]; [85; 35; 94]; [3]; [63; 6]; [90; 47; 76]; [65; 4]; [70; 0]; [54; 19]; [32; 46]; [7; 66]; [93; 38; 81]; [5; 64]; [1; 72]; [52; 25]; [57; 17]; [96; 15; 98]; [18; 74]; [11; 59]; [27]; [48; 31]; [42; 37]; [53; 23]; [84; 86; 40]; [8; 69]; [58; 13]; [73; 22]; [62; 9]; [14; 75]; [45; 33]; [24; 78]; [16; 56]; [43; 88; 77]; [20; 55]; [10; 60]; [34; 44]; [99; 21; 92]; [26; 91; 95]; [41; 39]; [61; 12]; [2; 71]; [97]], [15000; 14800; 15000; 15000; 12100; 15000; 15000; 9800; 15000; 15000; 15000; 15000; 15000; 15000; 14900; 15000; 15000; 14800; 15000; 15000; 15000; 13600; 14900; 8300; 15000; 14900; 15000; 15000; 14600; 15000; 13300; 14900; 13700; 15000; 12600; 15000; 15000; 15000; 15000; 14900; 14900; 15000; 14900; 14700; 14900; 3200], 277200, 277201, 8.327399969100952
53, 46, 0.9155333333333333, [34; 43; 7; 66; 3; 69; 27; 52; 71; 2; 31; 97; 86; 28; 33; 45; 0; 70; 35; 93; 85; 68; 8; 29; 51; 22; 53; 23; 99; 90; 15; 82; 55; 19; 32; 46; 25; 84; 30; 92; 94; 57; 18; 61; 12; 21; 83; 11; 59; 75; 72; 67; 74; 1; 65; 4; 50; 10; 60; 64; 6; 56; 17; 26; 38; 42; 14; 58; 41; 48; 5; 63; 77; 16; 44; 37; 49; 78; 81; 91; 96; 24; 13; 76; 9; 62; 88; 87; 36; 95; 73; 47; 20; 54; 39; 40; 98; 80; 79; 89], [[34; 43]; [7; 66]; [3; 69]; [27; 52]; [71; 2]; [31; 97; 86]; [28]; [33; 45]; [0; 70]; [35; 93; 85]; [68; 8]; [29; 51]; [22; 53]; [23; 99; 90]; [15; 82]; [55; 19]; [32; 46]; [25; 84]; [30; 92; 94]; [57; 18]; [61; 12]; [21; 83]; [11; 59]; [75; 72; 67]; [74; 1]; [65; 4]; [50]; [10; 60]; [64; 6]; [56; 17]; [26]; [38; 42]; [14; 58]; [41; 48]; [5; 63]; [77; 16]; [44; 37]; [49; 78; 81]; [91; 96; 24]; [13; 76]; [9; 62]; [88; 87; 36]; [95; 73; 47]; [20; 54]; [39; 40]; [98; 80; 79; 89]], [15000; 14900; 15000; 15000; 14900; 15000; 8300; 15000; 15000; 15000; 14700; 15000; 15000; 15000; 12700; 15000; 15000; 12100; 15000; 15000; 14700; 12300; 14900; 15000; 14700; 15000; 6800; 15000; 15000; 15000; 8300; 14900; 15000; 14300; 15000; 13100; 14700; 15000; 15000; 13500; 14900; 15000; 15000; 15000; 15000; 15000], 267300, 267301, 7.98654842376709
50, 46, 0.912617391304348, [20; 55; 72; 2; 61; 9; 49; 31; 74; 1; 56; 16; 76; 63; 70; 81; 89; 95; 78; 48; 84; 77; 33; 45; 27; 85; 99; 91; 23; 22; 88; 30; 41; 25; 90; 96; 44; 35; 60; 83; 68; 5; 66; 19; 54; 80; 98; 36; 51; 29; 10; 59; 21; 53; 26; 52; 67; 7; 69; 3; 32; 46; 47; 37; 57; 15; 58; 14; 17; 86; 24; 97; 93; 64; 4; 40; 39; 82; 13; 38; 42; 34; 43; 62; 11; 73; 92; 50; 71; 0; 28; 94; 12; 79; 8; 75; 6; 65; 18; 87], [[20; 55]; [72; 2]; [61; 9]; [49; 31]; [74; 1]; [56; 16]; [76; 63; 70]; [81; 89; 95; 78]; [48; 84; 77]; [33; 45]; [27; 85; 99]; [91; 23]; [22; 88]; [30]; [41]; [25; 90; 96]; [44; 35]; [60; 83; 68]; [5; 66]; [19; 54]; [80; 98; 36]; [51; 29]; [10; 59]; [21; 53]; [26; 52]; [67; 7]; [69; 3]; [32; 46]; [47; 37]; [57; 15]; [58; 14]; [17; 86]; [24; 97; 93]; [64; 4]; [40; 39]; [82; 13]; [38; 42]; [34; 43]; [62; 11]; [73; 92; 50]; [71; 0]; [28; 94]; [12; 79]; [8; 75]; [6; 65]; [18; 87]], [15000; 14800; 14900; 15000; 14700; 15000; 15000; 15000; 15000; 15000; 15000; 11900; 12100; 8200; 7400; 15000; 14900; 15000; 15000; 15000; 14900; 15000; 15000; 15000; 15000; 14800; 15000; 15000; 14600; 15000; 15000; 12500; 15000; 15000; 15000; 12800; 14900; 15000; 14700; 15000; 15000; 11700; 13200; 14200; 15000; 12500], 252450, 252451, 7.562831878662109
