Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
66, 35, 0.9273623142857144, [13; 65; 74; 27; 38; 80; 24; 31; 99; 58; 66; 36; 57; 77; 16; 15; 92; 46; 23; 67; 72; 70; 40; 51; 47; 95; 10; 82; 64; 0; 68; 78; 34; 42; 76; 11; 86; 53; 25; 30; 29; 69; 63; 62; 83; 4; 3; 22; 41; 87; 43; 9; 97; 52; 98; 2; 45; 18; 89; 94; 50; 7; 93; 39; 19; 55; 84; 8; 5; 81; 61; 59; 1; 90; 21; 79; 54; 73; 35; 48; 37; 20; 96; 28; 60; 71; 17; 91; 44; 12; 14; 32; 75; 49; 56; 6; 85; 33; 26; 88], [[13; 65; 74]; [27; 38; 80]; [24; 31; 99]; [58; 66; 36]; [57; 77; 16]; [15; 92; 46]; [23; 67; 72]; [70; 40; 51]; [47; 95; 10]; [82; 64]; [0; 68; 78]; [34; 42; 76]; [11; 86; 53]; [25; 30]; [29; 69; 63]; [62; 83]; [4; 3]; [22; 41; 87]; [43; 9; 97]; [52; 98; 2]; [45; 18; 89]; [94; 50; 7]; [93; 39; 19]; [55; 84; 8]; [5; 81; 61]; [59; 1; 90]; [21; 79; 54]; [73; 35; 48]; [37; 20; 96]; [28; 60; 71]; [17; 91; 44]; [12; 14]; [32; 75; 49]; [56; 6; 85]; [33; 26; 88]], [100000; 100000; 100000; 99900; 100000; 100000; 99500; 100000; 100000; 60500; 100000; 100000; 100000; 73400; 99800; 60800; 78700; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 100000; 99700; 100000; 100000; 99800; 100000; 76800; 100000; 100000; 100000], 331650, 331651, 10.740538120269775
65, 37, 0.8485663513513513, [26; 80; 40; 2; 84; 63; 20; 21; 12; 60; 79; 66; 75; 6; 15; 22; 25; 71; 45; 42; 74; 52; 31; 88; 33; 86; 3; 59; 93; 55; 1; 19; 18; 24; 36; 92; 29; 28; 47; 50; 67; 0; 77; 68; 51; 70; 39; 95; 48; 9; 13; 44; 96; 41; 98; 8; 83; 57; 46; 16; 89; 4; 64; 82; 85; 27; 35; 30; 97; 10; 94; 49; 81; 61; 5; 11; 73; 69; 14; 62; 91; 34; 76; 43; 56; 17; 78; 38; 90; 23; 54; 72; 32; 87; 7; 53; 37; 65; 58; 99], [[26; 80; 40]; [2; 84; 63]; [20; 21]; [12; 60; 79]; [66; 75]; [6; 15]; [22; 25]; [71; 45; 42]; [74; 52]; [31; 88; 33]; [86; 3; 59]; [93; 55; 1]; [19; 18]; [24; 36; 92]; [29; 28]; [47; 50; 67]; [0; 77; 68]; [51; 70; 39]; [95; 48; 9]; [13; 44; 96]; [41; 98]; [8; 83; 57]; [46; 16; 89]; [4; 64; 82]; [85; 27; 35]; [30; 97]; [10; 94; 49]; [81; 61; 5]; [11; 73; 69]; [14; 62; 91]; [34; 76; 43]; [56; 17; 78]; [38; 90; 23]; [54; 72; 32]; [87; 7; 53]; [37; 65; 58]; [99]], [100000; 100000; 75200; 100000; 61300; 76900; 74600; 99800; 63800; 99800; 100000; 100000; 75600; 100000; 72600; 100000; 100000; 100000; 100000; 100000; 61500; 100000; 100000; 99800; 100000; 63000; 100000; 100000; 100000; 98400; 100000; 100000; 100000; 100000; 100000; 100000; 26600], 326700, 326701, 9.174548387527466
71, 38, 0.8094738157894735, [88; 9; 53; 69; 62; 26; 68; 64; 80; 60; 8; 10; 61; 1; 89; 66; 75; 7; 39; 72; 42; 49; 11; 96; 67; 58; 35; 14; 12; 28; 45; 77; 43; 90; 16; 46; 87; 83; 36; 27; 24; 25; 55; 91; 0; 56; 93; 29; 81; 37; 34; 82; 33; 51; 70; 40; 30; 92; 32; 5; 52; 94; 48; 38; 50; 97; 4; 6; 17; 78; 57; 20; 86; 44; 95; 41; 15; 13; 23; 85; 47; 21; 19; 65; 73; 98; 31; 22; 76; 59; 71; 2; 74; 18; 54; 79; 3; 84; 63; 99], [[88; 9; 53]; [69; 62]; [26; 68; 64]; [80; 60]; [8; 10]; [61; 1; 89]; [66; 75; 7]; [39; 72; 42]; [49; 11; 96]; [67; 58; 35]; [14; 12]; [28; 45; 77]; [43; 90]; [16; 46; 87]; [83; 36; 27]; [24; 25]; [55; 91]; [0; 56; 93]; [29; 81; 37]; [34; 82; 33]; [51; 70; 40]; [30; 92; 32]; [5; 52; 94]; [48; 38]; [50; 97]; [4; 6]; [17; 78; 57]; [20; 86; 44]; [95; 41; 15]; [13; 23]; [85; 47; 21]; [19; 65; 73]; [98; 31]; [22; 76; 59]; [71; 2; 74]; [18; 54; 79]; [3; 84; 63]; [99]], [100000; 63700; 100000; 61400; 77300; 100000; 100000; 100000; 99900; 100000; 76800; 99800; 62200; 100000; 100000; 74200; 60600; 100000; 100000; 99900; 100000; 99900; 100000; 69200; 60800; 78100; 100000; 100000; 100000; 75700; 100000; 99900; 63000; 100000; 100000; 99900; 100000; 26600], 356400, 356401, 10.101556777954102
58, 38, 0.8089781842105263, [52; 27; 76; 79; 61; 9; 8; 39; 24; 87; 21; 19; 46; 18; 86; 58; 7; 85; 72; 51; 35; 84; 28; 57; 4; 90; 60; 70; 29; 32; 92; 64; 41; 55; 50; 95; 3; 94; 54; 23; 53; 77; 14; 40; 98; 15; 12; 73; 65; 16; 49; 48; 62; 74; 20; 89; 44; 33; 56; 69; 11; 10; 5; 45; 99; 83; 2; 63; 68; 78; 0; 59; 81; 6; 66; 31; 67; 37; 30; 82; 13; 38; 97; 36; 93; 22; 43; 47; 80; 25; 71; 75; 1; 26; 34; 88; 17; 91; 42; 96], [[52; 27; 76]; [79; 61]; [9; 8]; [39; 24; 87]; [21; 19]; [46; 18; 86]; [58; 7; 85]; [72; 51]; [35; 84; 28]; [57; 4; 90]; [60; 70]; [29; 32; 92]; [64; 41; 55]; [50; 95]; [3; 94; 54]; [23; 53; 77]; [14; 40; 98]; [15; 12]; [73; 65; 16]; [49; 48]; [62; 74]; [20; 89; 44]; [33; 56; 69]; [11; 10]; [5; 45; 99]; [83; 2; 63]; [68; 78; 0]; [59; 81; 6]; [66; 31; 67]; [37; 30; 82]; [13; 38; 97]; [36; 93]; [22; 43]; [47; 80; 25]; [71; 75; 1]; [26; 34; 88]; [17; 91; 42]; [96]], [100000; 61400; 77400; 99700; 75400; 100000; 99700; 64600; 100000; 100000; 63800; 99900; 100000; 61200; 100000; 100000; 99900; 76600; 100000; 68400; 62500; 99900; 100000; 77200; 100000; 100000; 100000; 100000; 99500; 100000; 100000; 62700; 72100; 100000; 100000; 99900; 100000; 27100], 292050, 292051, 8.28097915649414
56, 38, 0.8021815, [54; 81; 15; 47; 85; 7; 9; 37; 46; 20; 17; 60; 45; 63; 70; 76; 0; 68; 78; 29; 86; 34; 2; 56; 92; 5; 58; 84; 73; 66; 11; 61; 79; 30; 31; 19; 80; 53; 71; 74; 3; 33; 89; 26; 62; 77; 13; 55; 88; 4; 6; 35; 36; 52; 69; 38; 40; 16; 96; 23; 49; 82; 97; 8; 44; 72; 64; 18; 90; 43; 91; 51; 12; 65; 75; 57; 59; 50; 24; 98; 32; 21; 25; 39; 99; 10; 94; 48; 42; 14; 95; 1; 83; 67; 27; 93; 28; 87; 22; 41], [[54; 81; 15]; [47; 85]; [7; 9]; [37; 46]; [20; 17]; [60; 45; 63]; [70; 76]; [0; 68; 78]; [29; 86; 34]; [2; 56; 92]; [5; 58; 84]; [73; 66]; [11; 61; 79]; [30; 31]; [19; 80; 53]; [71; 74; 3]; [33; 89; 26]; [62; 77; 13]; [55; 88]; [4; 6]; [35; 36]; [52; 69; 38]; [40; 16; 96]; [23; 49; 82]; [97; 8; 44]; [72; 64]; [18; 90; 43]; [91; 51]; [12; 65; 75]; [57; 59; 50]; [24; 98; 32]; [21; 25]; [39; 99]; [10; 94; 48]; [42; 14; 95]; [1; 83; 67]; [27; 93; 28]; [87; 22; 41]], [99900; 62400; 77400; 69700; 75500; 99700; 60700; 100000; 99800; 100000; 100000; 61900; 100000; 72600; 100000; 100000; 100000; 99900; 60800; 78100; 70900; 100000; 99900; 100000; 100000; 62600; 100000; 61600; 100000; 100000; 99900; 74700; 61500; 100000; 100000; 99400; 100000; 100000], 282150, 282151, 8.00341010093689
52, 37, 0.8413037567567567, [31; 28; 43; 20; 86; 70; 61; 26; 79; 41; 37; 46; 73; 93; 39; 18; 35; 34; 69; 74; 5; 99; 21; 33; 77; 25; 52; 36; 95; 15; 49; 87; 75; 23; 58; 51; 97; 4; 3; 30; 60; 71; 98; 8; 42; 17; 85; 50; 91; 9; 57; 83; 38; 66; 54; 67; 78; 2; 62; 80; 6; 82; 7; 59; 89; 1; 63; 16; 40; 94; 32; 92; 27; 10; 96; 47; 65; 44; 53; 55; 76; 24; 84; 0; 64; 90; 11; 56; 13; 22; 72; 68; 12; 14; 88; 45; 19; 81; 48; 29], [[31; 28]; [43; 20; 86]; [70; 61]; [26; 79; 41]; [37; 46; 73]; [93; 39; 18]; [35; 34]; [69; 74; 5]; [99; 21; 33]; [77; 25; 52]; [36; 95]; [15; 49; 87]; [75; 23; 58]; [51; 97]; [4; 3]; [30; 60; 71]; [98; 8; 42]; [17; 85]; [50; 91]; [9; 57; 83]; [38; 66; 54]; [67; 78; 2]; [62; 80; 6]; [82; 7; 59]; [89; 1; 63]; [16; 40; 94]; [32; 92; 27]; [10; 96; 47]; [65; 44; 53]; [55; 76; 24]; [84; 0; 64]; [90; 11; 56]; [13; 22]; [72; 68]; [12; 14]; [88; 45; 19]; [81; 48; 29]], [72600; 100000; 63700; 100000; 100000; 100000; 71200; 99900; 100000; 100000; 62500; 100000; 100000; 60800; 78700; 99800; 100000; 66000; 61600; 100000; 100000; 100000; 100000; 99900; 99700; 100000; 100000; 100000; 100000; 99900; 99900; 99300; 75800; 61900; 76800; 100000; 98900], 262350, 262351, 7.398486137390137
58, 38, 0.8094269210526315, [85; 61; 4; 70; 75; 7; 5; 15; 69; 71; 55; 47; 62; 40; 97; 8; 9; 57; 91; 2; 98; 28; 18; 90; 43; 33; 96; 25; 38; 74; 39; 66; 49; 48; 72; 36; 50; 20; 14; 65; 79; 0; 77; 68; 53; 32; 73; 45; 19; 87; 44; 88; 21; 84; 17; 52; 63; 60; 41; 78; 27; 42; 80; 59; 11; 76; 31; 51; 10; 93; 92; 29; 13; 12; 94; 34; 24; 23; 22; 64; 3; 82; 95; 56; 1; 83; 26; 35; 58; 67; 46; 89; 16; 86; 6; 54; 37; 30; 81; 99], [[85; 61]; [4; 70; 75]; [7; 5]; [15; 69; 71]; [55; 47; 62]; [40; 97]; [8; 9]; [57; 91; 2]; [98; 28]; [18; 90; 43]; [33; 96; 25]; [38; 74; 39]; [66; 49; 48]; [72; 36; 50]; [20; 14]; [65; 79]; [0; 77; 68]; [53; 32; 73]; [45; 19; 87]; [44; 88; 21]; [84; 17; 52]; [63; 60; 41]; [78; 27; 42]; [80; 59; 11]; [76; 31]; [51; 10; 93]; [92; 29]; [13; 12]; [94; 34; 24]; [23; 22]; [64; 3; 82]; [95; 56; 1]; [83; 26]; [35; 58; 67]; [46; 89; 16]; [86; 6; 54]; [37; 30; 81]; [99]], [60800; 100000; 77600; 99900; 100000; 61600; 77400; 100000; 63000; 100000; 100000; 99800; 100000; 100000; 75900; 60500; 100000; 100000; 100000; 99900; 100000; 100000; 100000; 100000; 66000; 100000; 63800; 76800; 100000; 74900; 99900; 99800; 64700; 100000; 100000; 100000; 100000; 26600], 292050, 292051, 8.32750153541565
49, 37, 0.8422385135135134, [58; 55; 39; 70; 50; 91; 52; 3; 6; 95; 46; 12; 66; 51; 44; 93; 15; 92; 25; 37; 85; 62; 4; 89; 22; 41; 29; 32; 90; 31; 34; 84; 8; 57; 48; 11; 94; 63; 10; 77; 38; 79; 28; 87; 5; 54; 98; 43; 7; 86; 61; 0; 1; 21; 20; 30; 83; 35; 60; 75; 9; 49; 96; 72; 42; 40; 14; 18; 36; 59; 65; 78; 45; 26; 76; 19; 64; 27; 33; 88; 47; 80; 24; 82; 53; 16; 2; 71; 74; 23; 69; 68; 56; 13; 81; 73; 67; 17; 99; 97], [[58; 55]; [39; 70; 50]; [91; 52]; [3; 6]; [95; 46; 12]; [66; 51]; [44; 93; 15]; [92; 25; 37]; [85; 62; 4]; [89; 22; 41]; [29; 32; 90]; [31; 34]; [84; 8; 57]; [48; 11; 94]; [63; 10; 77]; [38; 79; 28]; [87; 5; 54]; [98; 43; 7]; [86; 61]; [0; 1]; [21; 20]; [30; 83; 35]; [60; 75]; [9; 49; 96]; [72; 42; 40]; [14; 18]; [36; 59; 65]; [78; 45; 26]; [76; 19; 64]; [27; 33; 88]; [47; 80; 24]; [82; 53; 16]; [2; 71; 74]; [23; 69; 68]; [56; 13; 81]; [73; 67; 17]; [99; 97]], [66000; 100000; 61400; 78200; 100000; 65700; 100000; 99900; 100000; 100000; 100000; 72000; 100000; 100000; 100000; 100000; 100000; 100000; 60500; 79200; 75200; 100000; 62500; 100000; 100000; 76100; 100000; 100000; 99600; 99900; 100000; 99900; 100000; 99900; 99800; 99800; 53300], 247500, 247501, 7.055278301239014
68, 36, 0.8829851944444446, [96; 34; 17; 55; 77; 36; 83; 29; 85; 54; 15; 8; 79; 62; 20; 92; 39; 18; 84; 52; 5; 98; 46; 53; 68; 40; 45; 19; 87; 9; 66; 76; 22; 23; 71; 74; 3; 70; 50; 26; 94; 30; 80; 12; 58; 59; 41; 63; 35; 32; 82; 37; 99; 14; 97; 38; 65; 73; 16; 27; 33; 86; 88; 0; 61; 69; 47; 42; 91; 51; 10; 11; 4; 56; 90; 93; 57; 1; 75; 72; 2; 89; 21; 44; 28; 31; 24; 25; 43; 95; 13; 81; 60; 6; 49; 48; 67; 78; 7; 64], [[96; 34]; [17; 55; 77]; [36; 83; 29]; [85; 54; 15]; [8; 79; 62]; [20; 92; 39]; [18; 84; 52]; [5; 98; 46]; [53; 68; 40]; [45; 19; 87]; [9; 66; 76]; [22; 23]; [71; 74; 3]; [70; 50]; [26; 94; 30]; [80; 12; 58]; [59; 41; 63]; [35; 32; 82]; [37; 99]; [14; 97; 38]; [65; 73; 16]; [27; 33; 86]; [88; 0; 61]; [69; 47; 42]; [91; 51]; [10; 11]; [4; 56; 90]; [93; 57; 1]; [75; 72; 2]; [89; 21; 44]; [28; 31]; [24; 25]; [43; 95; 13]; [81; 60; 6]; [49; 48; 67]; [78; 7; 64]], [62800; 100000; 99900; 99600; 100000; 100000; 99900; 100000; 99900; 100000; 100000; 74900; 100000; 65100; 100000; 100000; 100000; 100000; 61900; 100000; 100000; 100000; 100000; 100000; 61600; 77200; 100000; 100000; 99600; 99900; 72600; 74200; 100000; 100000; 100000; 99800], 341550, 341551, 9.578129053115845
59, 37, 0.8486460270270269, [77; 2; 67; 68; 35; 55; 37; 96; 20; 70; 40; 50; 47; 32; 30; 31; 95; 71; 74; 3; 92; 48; 12; 10; 17; 15; 25; 83; 44; 98; 34; 14; 13; 65; 59; 36; 56; 4; 90; 7; 64; 78; 23; 21; 11; 73; 69; 43; 84; 24; 22; 87; 41; 75; 49; 27; 86; 33; 97; 42; 6; 93; 52; 82; 58; 9; 62; 38; 63; 54; 5; 88; 29; 61; 72; 94; 1; 57; 28; 46; 79; 80; 26; 39; 8; 76; 66; 19; 89; 45; 51; 18; 85; 16; 53; 81; 60; 0; 91; 99], [[77; 2; 67]; [68; 35; 55]; [37; 96; 20]; [70; 40; 50]; [47; 32]; [30; 31; 95]; [71; 74; 3]; [92; 48]; [12; 10]; [17; 15]; [25; 83; 44]; [98; 34]; [14; 13]; [65; 59; 36]; [56; 4; 90]; [7; 64; 78]; [23; 21]; [11; 73; 69]; [43; 84; 24]; [22; 87; 41]; [75; 49]; [27; 86; 33]; [97; 42]; [6; 93; 52]; [82; 58; 9]; [62; 38; 63]; [54; 5; 88]; [29; 61; 72]; [94; 1; 57]; [28; 46; 79]; [80; 26; 39]; [8; 76; 66]; [19; 89; 45]; [51; 18; 85]; [16; 53; 81]; [60; 0; 91]; [99]], [100000; 100000; 100000; 100000; 70400; 99700; 100000; 61700; 77100; 76000; 99900; 62400; 76600; 100000; 100000; 99800; 75000; 100000; 99900; 100000; 63900; 100000; 61300; 100000; 100000; 100000; 100000; 99500; 99900; 99400; 100000; 100000; 100000; 100000; 99900; 99900; 26600], 297000, 297001, 8.402477741241455
