Iteración, Número Contenedores, FBPP, Solución, Representación, Pesos, Total Vecinos Visitados, Evaluaciones, Tiempo Ejecución 
77, 33, 0.9550982727272728, [53; 47; 39; 3; 38; 94; 2; 44; 50; 30; 62; 14; 84; 67; 74; 28; 13; 0; 72; 95; 77; 26; 18; 34; 69; 40; 65; 41; 59; 78; 4; 81; 49; 48; 15; 76; 55; 35; 54; 56; 82; 92; 12; 86; 17; 70; 73; 32; 10; 45; 68; 25; 83; 93; 21; 63; 87; 23; 22; 24; 20; 43; 9; 91; 96; 90; 6; 52; 29; 97; 89; 37; 33; 27; 51; 8; 1; 80; 57; 60; 66; 16; 61; 71; 5; 7; 58; 75; 46; 11; 79; 36; 88; 42; 85; 99; 19; 98; 31; 64], [[53; 47; 39]; [3; 38]; [94; 2; 44]; [50; 30; 62]; [14; 84; 67; 74]; [28; 13]; [0; 72; 95; 77]; [26; 18]; [34; 69; 40]; [65; 41; 59; 78]; [4; 81; 49]; [48; 15; 76]; [55; 35; 54]; [56; 82; 92; 12]; [86; 17; 70; 73]; [32; 10]; [45; 68; 25]; [83; 93; 21; 63; 87]; [23; 22]; [24; 20]; [43; 9; 91]; [96; 90; 6; 52]; [29; 97; 89; 37]; [33; 27]; [51; 8]; [1; 80; 57]; [60; 66; 16]; [61; 71; 5]; [7; 58; 75]; [46; 11; 79]; [36; 88; 42; 85; 99]; [19; 98; 31]; [64]], [100000; 100000; 100000; 99200; 100000; 99900; 99900; 100000; 100000; 99900; 99500; 100000; 99900; 100000; 98900; 100000; 100000; 100000; 100000; 99500; 98200; 100000; 100000; 90900; 86400; 99900; 100000; 100000; 100000; 100000; 99900; 99900; 23000], 386100, 386101, 12.495753288269043
60, 33, 0.9508042727272725, [27; 69; 21; 58; 79; 85; 6; 87; 45; 17; 97; 36; 12; 29; 2; 94; 44; 22; 23; 53; 51; 74; 60; 76; 15; 50; 40; 63; 41; 68; 8; 61; 14; 28; 56; 55; 32; 49; 95; 88; 11; 52; 3; 82; 30; 47; 62; 26; 18; 46; 5; 83; 75; 0; 66; 13; 70; 57; 19; 84; 77; 92; 71; 7; 34; 4; 37; 10; 81; 89; 78; 86; 72; 65; 1; 43; 9; 35; 90; 67; 33; 54; 16; 31; 99; 24; 93; 42; 96; 48; 73; 39; 80; 59; 64; 20; 25; 98; 38; 91], [[27; 69]; [21; 58; 79; 85]; [6; 87; 45]; [17; 97; 36]; [12; 29]; [2; 94; 44]; [22; 23]; [53; 51; 74; 60]; [76; 15; 50]; [40; 63; 41]; [68; 8; 61]; [14; 28]; [56; 55; 32]; [49; 95; 88; 11]; [52; 3; 82]; [30; 47; 62]; [26; 18]; [46; 5; 83]; [75; 0; 66]; [13; 70; 57]; [19; 84; 77; 92; 71]; [7; 34]; [4; 37]; [10; 81; 89; 78; 86]; [72; 65]; [1; 43]; [9; 35]; [90; 67; 33; 54]; [16; 31]; [99; 24; 93; 42; 96]; [48; 73; 39; 80]; [59; 64; 20]; [25; 98; 38; 91]], [65800; 100000; 100000; 100000; 99600; 100000; 100000; 100000; 99500; 99900; 100000; 99700; 100000; 100000; 99600; 100000; 100000; 100000; 99700; 99900; 99900; 99800; 98900; 100000; 40100; 95500; 99600; 99900; 97700; 99900; 100000; 100000; 99900], 301950, 301951, 8.770250797271729
72, 33, 0.9494985757575757, [98; 49; 84; 11; 6; 35; 7; 41; 51; 46; 43; 17; 80; 50; 21; 85; 88; 71; 86; 0; 83; 30; 62; 47; 15; 70; 56; 25; 87; 34; 23; 22; 39; 5; 66; 31; 59; 90; 82; 28; 54; 77; 18; 48; 74; 36; 4; 32; 10; 72; 2; 65; 99; 44; 12; 91; 52; 67; 19; 8; 40; 58; 27; 61; 9; 93; 95; 92; 60; 64; 16; 63; 37; 76; 33; 24; 20; 69; 79; 53; 55; 81; 14; 97; 89; 78; 68; 42; 73; 26; 75; 45; 13; 29; 3; 38; 57; 1; 96; 94], [[98; 49; 84; 11]; [6]; [35; 7]; [41; 51; 46]; [43; 17; 80]; [50; 21; 85; 88]; [71; 86; 0; 83]; [30; 62; 47]; [15; 70; 56]; [25; 87; 34]; [23; 22]; [39; 5]; [66; 31; 59; 90]; [82; 28; 54; 77]; [18; 48; 74]; [36; 4]; [32; 10]; [72; 2; 65]; [99; 44; 12; 91]; [52; 67; 19]; [8; 40]; [58; 27; 61]; [9; 93; 95; 92; 60]; [64; 16; 63]; [37; 76; 33]; [24; 20]; [69; 79; 53; 55; 81]; [14; 97; 89; 78; 68]; [42; 73; 26]; [75; 45]; [13; 29]; [3; 38]; [57; 1; 96; 94]], [100000; 57200; 99700; 99800; 99800; 99600; 100000; 100000; 100000; 99900; 100000; 97400; 99900; 100000; 99900; 99400; 100000; 99800; 99900; 99600; 95200; 98900; 100000; 100000; 100000; 99500; 100000; 100000; 100000; 50100; 99300; 100000; 100000], 361350, 361351, 10.405602931976318
70, 33, 0.9589237878787876, [58; 70; 11; 1; 96; 53; 98; 95; 59; 72; 21; 12; 29; 23; 22; 86; 34; 27; 6; 79; 68; 82; 41; 40; 63; 26; 25; 31; 16; 9; 45; 7; 56; 76; 39; 2; 32; 10; 17; 52; 73; 14; 97; 37; 61; 90; 69; 89; 60; 77; 74; 91; 36; 42; 28; 13; 18; 75; 47; 44; 33; 65; 8; 35; 19; 24; 38; 3; 83; 46; 5; 50; 4; 80; 66; 20; 57; 62; 48; 30; 54; 49; 43; 93; 51; 84; 15; 92; 0; 71; 88; 81; 64; 67; 78; 94; 87; 55; 85; 99], [[58; 70; 11]; [1; 96; 53; 98]; [95; 59; 72; 21]; [12; 29]; [23; 22]; [86; 34; 27]; [6; 79; 68; 82]; [41; 40; 63]; [26; 25]; [31; 16]; [9; 45]; [7; 56; 76]; [39; 2]; [32; 10]; [17; 52; 73]; [14; 97; 37]; [61; 90; 69; 89; 60; 77]; [74; 91; 36; 42]; [28; 13]; [18; 75; 47]; [44; 33; 65]; [8; 35]; [19; 24]; [38; 3]; [83; 46; 5]; [50; 4; 80]; [66; 20; 57]; [62; 48; 30]; [54; 49; 43; 93]; [51; 84; 15; 92]; [0; 71; 88; 81]; [64; 67; 78; 94; 87; 55]; [85; 99]], [100000; 99800; 100000; 99600; 100000; 100000; 99800; 99900; 95300; 97700; 90400; 100000; 99800; 100000; 100000; 100000; 100000; 100000; 99900; 100000; 99900; 99600; 99600; 100000; 100000; 99700; 100000; 99700; 100000; 99900; 100000; 100000; 14300], 351450, 351451, 10.24953579902649
62, 33, 0.9510430606060604, [78; 88; 1; 75; 20; 24; 44; 94; 99; 21; 19; 68; 49; 72; 66; 82; 87; 81; 52; 3; 38; 92; 71; 48; 40; 93; 6; 64; 67; 58; 37; 30; 50; 61; 51; 59; 31; 55; 42; 63; 79; 95; 90; 62; 0; 41; 85; 97; 4; 57; 18; 26; 22; 23; 89; 33; 27; 14; 91; 74; 65; 32; 10; 46; 5; 83; 11; 96; 60; 77; 47; 84; 54; 76; 98; 86; 80; 43; 17; 29; 12; 39; 2; 25; 69; 45; 36; 8; 9; 35; 16; 53; 73; 15; 70; 56; 7; 34; 28; 13], [[78; 88; 1; 75]; [20; 24]; [44; 94; 99; 21]; [19; 68; 49]; [72; 66; 82; 87; 81; 52]; [3; 38]; [92; 71; 48; 40; 93]; [6; 64; 67]; [58; 37]; [30; 50; 61]; [51; 59; 31]; [55; 42; 63; 79]; [95; 90; 62]; [0; 41]; [85; 97; 4; 57]; [18; 26]; [22; 23]; [89; 33; 27]; [14; 91; 74; 65]; [32; 10]; [46; 5; 83]; [11; 96; 60; 77]; [47; 84; 54; 76; 98; 86]; [80; 43; 17]; [29; 12]; [39; 2]; [25; 69; 45]; [36; 8]; [9; 35]; [16; 53; 73]; [15; 70; 56]; [7; 34]; [28; 13]], [99900; 99500; 95300; 100000; 100000; 100000; 100000; 99700; 67900; 99600; 99800; 99800; 38300; 99800; 100000; 100000; 100000; 99800; 99600; 100000; 100000; 100000; 99200; 99800; 99600; 99800; 100000; 98300; 99600; 99900; 100000; 99800; 99900], 311850, 311851, 8.979675769805908
71, 33, 0.9508949393939391, [1; 67; 71; 59; 24; 60; 0; 79; 91; 95; 92; 93; 69; 61; 9; 72; 48; 86; 36; 13; 28; 33; 10; 3; 38; 62; 74; 97; 15; 43; 42; 50; 34; 8; 31; 7; 98; 40; 29; 12; 26; 25; 99; 57; 6; 76; 54; 51; 90; 65; 81; 70; 49; 20; 23; 22; 4; 85; 46; 78; 41; 84; 58; 80; 82; 11; 45; 2; 39; 47; 66; 27; 53; 16; 73; 56; 32; 55; 30; 17; 89; 37; 88; 18; 68; 52; 83; 5; 87; 64; 77; 19; 44; 21; 35; 96; 14; 75; 63; 94], [[1; 67; 71]; [59; 24; 60]; [0; 79; 91; 95; 92; 93]; [69; 61; 9]; [72; 48; 86; 36]; [13; 28]; [33; 10]; [3; 38]; [62; 74; 97; 15]; [43; 42; 50]; [34; 8]; [31]; [7; 98; 40]; [29; 12]; [26; 25; 99]; [57; 6; 76]; [54; 51; 90; 65; 81]; [70; 49; 20]; [23; 22]; [4; 85; 46]; [78; 41; 84; 58; 80]; [82; 11; 45]; [2; 39]; [47; 66; 27]; [53; 16; 73]; [56; 32; 55]; [30; 17]; [89; 37; 88]; [18; 68; 52]; [83; 5; 87; 64]; [77; 19; 44]; [21; 35; 96]; [14; 75; 63; 94]], [98200; 99400; 99900; 100000; 100000; 99900; 100000; 100000; 99800; 100000; 99700; 44100; 100000; 99600; 99800; 100000; 100000; 99600; 100000; 99700; 100000; 99900; 99800; 99900; 99900; 100000; 98000; 59000; 100000; 100000; 99800; 98900; 100000], 356400, 356401, 10.331287860870361
63, 33, 0.9491436060606061, [27; 56; 61; 17; 93; 34; 8; 30; 36; 78; 63; 21; 75; 86; 87; 7; 44; 98; 15; 58; 77; 94; 39; 71; 83; 88; 97; 82; 53; 40; 46; 57; 66; 14; 50; 76; 38; 3; 22; 23; 12; 29; 28; 13; 60; 32; 48; 42; 70; 51; 74; 79; 49; 9; 18; 26; 99; 91; 2; 52; 81; 11; 45; 80; 5; 47; 62; 6; 84; 90; 54; 85; 1; 43; 10; 89; 31; 41; 72; 24; 19; 37; 4; 92; 55; 0; 64; 96; 95; 65; 33; 16; 35; 25; 20; 73; 68; 59; 67; 69], [[27; 56; 61]; [17; 93]; [34; 8]; [30; 36; 78]; [63; 21; 75; 86]; [87; 7; 44]; [98; 15; 58; 77]; [94; 39; 71; 83; 88; 97; 82]; [53; 40; 46]; [57; 66]; [14; 50; 76]; [38; 3]; [22; 23]; [12; 29]; [28; 13]; [60; 32; 48]; [42; 70; 51; 74]; [79; 49; 9]; [18; 26]; [99; 91; 2; 52]; [81; 11; 45]; [80; 5; 47]; [62; 6; 84; 90]; [54; 85; 1]; [43; 10; 89]; [31; 41; 72]; [24; 19]; [37; 4]; [92; 55; 0]; [64; 96; 95; 65; 33]; [16; 35]; [25; 20]; [73; 68; 59; 67; 69]], [100000; 59900; 99700; 99800; 100000; 100000; 100000; 99900; 99400; 49000; 99600; 100000; 100000; 99600; 99900; 99300; 99500; 100000; 100000; 100000; 100000; 100000; 99800; 99100; 100000; 100000; 99600; 98900; 96700; 99900; 96500; 98800; 100000], 316800, 316801, 9.17179536819458
61, 33, 0.9630131818181819, [26; 18; 51; 60; 73; 56; 39; 92; 17; 24; 19; 97; 46; 52; 54; 96; 11; 58; 70; 69; 63; 4; 32; 10; 87; 7; 44; 13; 28; 55; 49; 37; 33; 34; 93; 91; 71; 20; 47; 42; 9; 90; 45; 12; 82; 3; 38; 88; 59; 68; 95; 72; 64; 41; 0; 80; 43; 16; 14; 98; 50; 83; 25; 21; 36; 5; 77; 89; 8; 67; 62; 53; 31; 30; 15; 40; 1; 57; 76; 6; 74; 78; 84; 2; 27; 35; 85; 22; 23; 81; 86; 29; 99; 79; 75; 48; 61; 66; 65; 94], [[26; 18]; [51; 60; 73; 56]; [39; 92; 17]; [24; 19]; [97; 46; 52; 54; 96]; [11; 58; 70]; [69; 63; 4]; [32; 10]; [87; 7; 44]; [13; 28]; [55; 49; 37]; [33; 34; 93; 91]; [71; 20; 47]; [42; 9; 90]; [45; 12; 82]; [3; 38]; [88; 59; 68; 95; 72; 64]; [41; 0]; [80; 43; 16]; [14; 98; 50; 83]; [25; 21]; [36; 5]; [77; 89; 8; 67]; [62; 53; 31]; [30; 15]; [40; 1]; [57; 76; 6]; [74; 78; 84; 2]; [27; 35; 85]; [22; 23]; [81; 86; 29; 99; 79; 75]; [48; 61; 66; 65]; [94]], [100000; 100000; 100000; 99600; 100000; 100000; 99700; 100000; 100000; 99900; 100000; 99800; 100000; 100000; 99400; 100000; 100000; 99800; 99900; 99600; 98300; 98900; 99700; 97300; 98400; 99300; 100000; 99900; 100000; 100000; 99900; 99300; 6200], 306900, 306901, 8.831153631210327
62, 33, 0.9503936060606056, [75; 59; 6; 29; 17; 82; 57; 0; 50; 71; 56; 13; 39; 14; 95; 26; 48; 66; 20; 24; 2; 85; 49; 97; 22; 96; 99; 43; 19; 77; 44; 70; 73; 64; 37; 21; 25; 69; 61; 8; 9; 35; 33; 10; 34; 7; 51; 11; 76; 54; 72; 16; 31; 23; 94; 32; 87; 27; 92; 28; 41; 84; 60; 12; 81; 88; 53; 46; 52; 86; 5; 65; 80; 89; 58; 30; 36; 91; 40; 79; 42; 93; 15; 98; 4; 63; 68; 38; 3; 83; 55; 1; 18; 45; 78; 62; 47; 90; 67; 74], [[75; 59; 6]; [29; 17]; [82; 57]; [0; 50]; [71; 56; 13]; [39; 14; 95]; [26; 48; 66]; [20; 24]; [2; 85; 49]; [97; 22; 96; 99; 43]; [19; 77; 44]; [70; 73; 64; 37]; [21; 25]; [69; 61; 8]; [9; 35]; [33; 10]; [34; 7]; [51; 11; 76]; [54; 72; 16]; [31; 23; 94]; [32; 87; 27]; [92; 28; 41; 84]; [60; 12; 81; 88]; [53; 46; 52; 86]; [5; 65; 80; 89]; [58; 30]; [36; 91; 40; 79]; [42; 93; 15; 98]; [4; 63; 68]; [38; 3]; [83; 55; 1]; [18; 45; 78]; [62; 47; 90; 67; 74]], [99600; 98600; 38700; 92100; 100000; 99700; 99800; 99500; 99900; 100000; 99800; 99800; 98300; 100000; 99600; 100000; 99800; 100000; 100000; 99900; 100000; 100000; 99700; 99600; 100000; 71300; 99800; 100000; 99700; 100000; 99900; 99900; 99900], 311850, 311851, 9.10852313041687
85, 33, 0.9515885151515151, [23; 91; 32; 53; 63; 25; 34; 8; 11; 40; 92; 15; 39; 96; 76; 57; 6; 90; 9; 42; 10; 33; 16; 66; 60; 4; 55; 78; 0; 87; 52; 18; 61; 65; 26; 88; 59; 73; 37; 27; 80; 72; 68; 22; 83; 77; 67; 46; 45; 89; 38; 21; 14; 81; 43; 85; 48; 3; 24; 93; 58; 70; 49; 19; 69; 29; 12; 62; 30; 47; 50; 79; 7; 28; 13; 56; 44; 41; 1; 71; 75; 97; 51; 17; 74; 31; 64; 94; 95; 84; 82; 86; 99; 5; 54; 36; 2; 20; 35; 98], [[23; 91; 32]; [53; 63; 25]; [34; 8]; [11; 40; 92]; [15; 39; 96]; [76; 57; 6]; [90; 9; 42]; [10; 33]; [16; 66; 60]; [4; 55; 78]; [0; 87; 52]; [18; 61; 65]; [26; 88; 59; 73]; [37; 27; 80]; [72; 68; 22; 83]; [77; 67; 46; 45]; [89; 38; 21]; [14; 81; 43]; [85; 48; 3]; [24; 93; 58; 70]; [49; 19; 69]; [29; 12]; [62; 30; 47]; [50; 79; 7]; [28; 13]; [56; 44; 41]; [1; 71; 75; 97]; [51; 17; 74]; [31; 64; 94; 95; 84; 82]; [86; 99; 5; 54]; [36]; [2]; [20; 35; 98]], [100000; 100000; 99700; 99900; 99500; 100000; 100000; 100000; 100000; 100000; 99900; 99500; 100000; 100000; 97400; 99900; 100000; 100000; 100000; 99900; 100000; 99600; 100000; 100000; 99900; 100000; 100000; 99800; 100000; 100000; 41600; 59700; 98600], 425700, 425701, 12.178488731384277
